period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1116c484,growth1116c484,Y1155c191,growth1155c191,Y1276c32,Y1292c246,growth1292c246,Y1432c428,growth1432c428,Y1435c826,growth1435c826,Y1528c807,Y1695c752,growth1695c752,Y1766c586,growth1766c586,Y1850c222,Y1909c152,growth1909c152,Y2164c348,growth2164c348,Y2398c152,growth2398c152,Y2481c428,growth2481c428,Y260c208,Y297c36,Y2991c152,growth2991c152,Y3044c752,growth3044c752,Y3315c620,growth3315c620,Y3394c792,growth3394c792,Y3491c586,growth3491c586,Y3576c376,Y3716c68,growth3716c68,Y3745c246,growth3745c246,Y3753c484,growth3753c484,Y388c757,growth388c757,Y3916c218,Y402c251,growth402c251,Y4190c251,growth4190c251,Y4277c498,Y4282c792,growth4282c792,Y4359c440,growth4359c440,Y4462c792,growth4462c792,Y4471c218,Y448c208,growth448c208,Y4491c344,Y4772c792,growth4772c792,Y4846c36,Y4909c703,growth4909c703,Y4966c32,Y496c208,growth496c208,Y4977c251,growth4977c251,Y4990c32,Y5016c268,growth5016c268,Y609c703,growth609c703,Y633c203,Y661c757,growth661c757,Y71c233,Y892c752,growth892c752,Y915c251,growth915c251,_merge,x,r2,s,sf
201011,902131,610,4766,2768410,11,0,0,0,0,0,0,0,0,0,1,0,729083,.3815650939941406,297133,4.229767799377441,51220600,98620,.8227291107177734,59262,.5668764114379883,1652959,1.016195297241211,3204,1075999,.1023235321044922,200482,-1.260684013366699,266467,6705634,.3700113296508789,3502831,-.3542976379394531,706514,.0455760955810547,324985,-.206355094909668,273618,472807,338211,-.4802818298339844,1779651,.1162223815917969,542731,-.1080684661865234,807114,1.121520042419434,656684,.249384880065918,227000,16037,-.462092399597168,69319,.27099609375,3538351,-.117919921875,3049858,.5997371673583984,300200,284159,.1344013214111328,10750872,.2142982482910156,30921,81834,1.294071197509766,15655,3.086263179779053,85257,.1002044677734375,637224,123060,-.865997314453125,5724302,873464,.4928598403930664,261287,73415,1.025760650634766,531595,365425,-.0760154724121094,23406216,.3357028961181641,218002,5675,-.3130407333374023,116861,1.177660942077637,865324,316612,-.563328742980957,15825,384349,-.1585273742675781,246,-4.500351428985596,matched (3),8598968,.88604981,1153715.1,1370320.4
201012,902131,611,4766,2487028,12,0,0,0,0,0,0,0,0,0,0,1,594613,-.2038774490356445,752,-5.979198932647705,40642228,78848,-.2237520217895508,33691,-.5647373199462891,1186440,-.3316106796264648,10504,1260278,.1580820083618164,211988,.0558052062988281,5613,12520132,.6243896484375,4852974,.3260202407836914,681485,-.0360689163208008,132258,-.8990240097045898,233201,437093,370656,.0916042327880859,933067,-.645695686340332,670822,.2118892669677734,557034,-.3708381652832031,767873,.1564207077026367,63000,33205,.7278022766113281,67361,-.0286521911621094,3460394,-.02227783203125,1748578,-.5562925338745117,197996,347105,.2000932693481445,10081102,-.0643253326416016,13392,13590,-1.795358657836914,770,-3.012155055999756,43373,-.6758337020874023,110954,13033,-2.245187759399414,4854920,334871,-.9587221145629883,164467,112727,.4288406372070313,404873,269274,-.3053312301635742,22521892,-.03851318359375,261628,7761,.3130407333374023,39589,-1.082433700561523,864622,234186,-.3015613555908203,10548,260431,-.3892135620117188,92027,5.924505710601807,matched (3),9163585,.88604981,894148.75,1160267.8
201101,902131,612,4766,2907709,01,0,0,0,0,0,0,0,0,0,0,0,958733,.4777021408081055,3874,1.639306545257568,38296692,298997,1.332911491394043,67686,.6976490020751953,2030336,.5372447967529297,1446,1627368,.2556324005126953,406948,.652155876159668,118214,7971425,-.4514741897583008,2644104,-.6072597503662109,841435,.2108345031738281,198217,.4046077728271484,256525,436759,300861,-.2086257934570313,1309881,.3392152786254883,1035926,.4345474243164063,290947,-.6494855880737305,729174,-.0517110824584961,156000,12916,-.9442338943481445,89592,.2851991653442383,3792509,.0916452407836914,938189,-.6226062774658203,74921,399237,.139927864074707,6963432,-.369990348815918,50153,48050,1.262907981872559,964,.224700927734375,95428,.7885351181030273,220191,117448,2.198511123657227,5260615,657536,.6747541427612305,335694,128069,.1276006698608398,213621,330433,.2046747207641602,14028454,-.4734001159667969,280852,98,-4.371898651123047,107227,.9963970184326172,588855,1498192,1.855898857116699,11650,447894,.5422191619873047,9285,-2.293682098388672,matched (3),9646484,.88604981,1370919.3,1557606.9
201102,902131,613,4766,2383046,02,1,0,0,0,0,0,0,0,0,0,0,549014,-.5574884414672852,28772,2.005114555358887,28916364,255182,-.1584568023681641,63522,-.0634937286376953,1523287,-.2873306274414063,32511,1413163,-.1411342620849609,157879,-.9468564987182617,125831,4713049,-.5255279541015625,3139420,.1717061996459961,833576,-.0093841552734375,178098,-.1070289611816406,289564,418149,433994,.3663825988769531,1488191,.12762451171875,1015379,-.0200338363647461,306898,.0533742904663086,435788,-.5147571563720703,232000,15946,.2107410430908203,67945,-.2765674591064453,3958646,.0428743362426758,2297614,.8956747055053711,547919,294750,-.3034276962280273,8708676,.2236480712890625,46942,74520,.4388246536254883,742,-.261742115020752,63855,-.4017572402954102,271873,46352,-.9297313690185547,2669788,589810,-.108698844909668,158179,65488,-.6707019805908203,362578,329664,-.0023298263549805,22640496,.4786529541015625,239151,1416,2.670623779296875,99883,-.070948600769043,793171,173019,-2.158613204956055,4177,254240,-.5662775039672852,41875,1.506289482116699,matched (3),6715775,.88604981,1033642.1,1270879.8
201103,902131,614,4766,2084881,03,0,1,0,0,0,0,0,0,0,0,0,480913,-.1324377059936523,214,-4.901181697845459,26379458,108464,-.8555583953857422,51272,-.2142410278320313,579577,-.9663276672363281,14917,1489102,.0523433685302734,225554,.3567304611206055,14088,1766425,-.9813776016235352,3193984,.0172309875488281,713635,-.1553535461425781,93938,-.6396989822387695,285384,322279,285843,-.4175882339477539,1467305,-.0141334533691406,741481,-.3143672943115234,577608,.632380485534668,462726,.0599794387817383,61000,6183,-.9474039077758789,121105,.5779600143432617,5506428,.3300142288208008,1041324,-.7913780212402344,230101,712129,.8821315765380859,10356446,.1732892990112305,33359,392979,1.662689208984375,299,-.9089055061340332,71643,.1150808334350586,81587,664015,2.662040710449219,4684692,853095,.3690700531005859,135107,63667,-.0282011032104492,221455,276284,-.1766452789306641,21733238,-.0408973693847656,321362,1526,.0748138427734375,58110,-.5416622161865234,831597,179062,.0343313217163086,6888,327465,.2531023025512695,35599,-.1623716354370117,matched (3),6566187,.88604981,386876.03,834501.31
201104,902131,615,4766,2663982,04,0,0,1,0,0,0,0,0,0,0,0,511163,.0610017776489258,546980,7.846191883087158,30205068,17561,-1.820737838745117,63901,.2201900482177734,774295,.2896547317504883,23336,1284183,-.1480512619018555,183630,-.2056369781494141,8071,2164146,.203068733215332,4904099,.4288015365600586,561070,-.2405252456665039,139828,.3977785110473633,363447,491285,407626,.3549070358276367,1075496,-.3106460571289063,742525,.0014066696166992,1176507,.7114095687866211,495087,.0675983428955078,317000,8613,.3314685821533203,97267,-.2191982269287109,6695083,.1954565048217773,2143620,.7220029830932617,358749,484370,-.3854093551635742,10309826,-.0045127868652344,53176,241060,-.4887104034423828,531,.5743184089660645,55149,-.2616567611694336,97922,589176,-.1195802688598633,4061612,924369,.0802412033081055,190995,155800,.8949069976806641,172188,277705,.0051307678222656,25724972,.1686191558837891,302036,2936,.6543979644775391,104791,.589630126953125,1138405,522344,1.07059383392334,14890,412536,.2309417724609375,36278,.0188941955566406,matched (3),5029598,.88604981,573848.81,935960.38
201105,902131,616,4766,2083680,05,0,0,0,1,0,0,0,0,0,0,0,433785,-.1641387939453125,1960,-5.631467819213867,27995022,143118,2.097989082336426,19417,-1.19118595123291,1060846,.3148689270019531,17759,1584359,.210057258605957,191438,.0416412353515625,56794,2584427,.1774778366088867,2901994,-.5246725082397461,581626,.0359811782836914,177474,.2384109497070313,425754,482477,141842,-1.055636405944824,595143,-.5917348861694336,692199,-.0701828002929688,500559,-.8545799255371094,375414,-.2767038345336914,281000,6744,-.2446193695068359,71509,-.3076362609863281,8940879,.2892599105834961,976247,-.7865362167358398,380052,583521,.1862306594848633,7508137,-.3171091079711914,47567,130399,-.6144466400146484,238,-.8024916648864746,138806,.9230384826660156,156357,432311,-.3095798492431641,3582886,1349993,.3787431716918945,183373,61279,-.933135986328125,336499,155472,-.5800943374633789,22232306,-.1459159851074219,283497,7392,.9233503341674805,54593,-.6520624160766602,1019074,343088,-.4203395843505859,12884,268503,-.4294614791870117,21909,-.5043144226074219,matched (3),7260515,.88604981,794049.56,1085004.1
201106,902131,617,4766,2758745,06,0,0,0,0,1,0,0,0,0,0,0,469335,.0787677764892578,347935,5.179071426391602,29207954,183907,.2507610321044922,64705,1.203689575195313,486447,-.7796945571899414,39837,1513776,-.0455722808837891,210894,.0967912673950195,2628,4000986,.4370365142822266,3414762,.1627092361450195,1227476,.7468881607055664,181731,.0237035751342773,362347,491039,373609,.9684963226318359,877596,.3883838653564453,465178,-.3974533081054688,1573894,1.14558219909668,569684,.4170522689819336,209000,4697,-.3617286682128906,81810,.1345758438110352,8532842,-.0467109680175781,2566941,.9667549133300781,188883,971003,.5092496871948242,10001991,.2867975234985352,25680,28797,-1.51032829284668,753,1.151794910430908,95767,-.371159553527832,238583,426762,-.0129184722900391,3530502,1391830,.0305194854736328,223961,162484,.9751424789428711,346277,210885,.3048477172851563,19880244,-.1118202209472656,276608,10005,.3026866912841797,64991,.1743440628051758,1071992,406127,.1686792373657227,15582,406087,.4137058258056641,42214,.6558542251586914,matched (3),4193911,.88604981,399227.03,840298.5
201107,902131,618,4766,2723596,07,0,0,0,0,0,1,0,0,0,0,0,467695,-.0035009384155273,3963,-4.475014686584473,27640752,785447,1.451822280883789,98679,.4220333099365234,454128,-.0687484741210938,15953,1190117,-.2405557632446289,147333,-.3586597442626953,15287,3944756,-.0141534805297852,3797405,.1062107086181641,1061275,-.1454887390136719,98337,-.6141271591186523,334377,424928,536008,.3609390258789063,1026637,.1568574905395508,444390,-.0457181930541992,615222,-.9393243789672852,393245,-.3706493377685547,92000,780,-1.795385360717773,73859,-.1022415161132813,8604628,.0083780288696289,427339,-1.792892456054688,164349,586065,-.5048990249633789,5267267,-.6412734985351563,44010,109908,1.339372634887695,375,-.6971392631530762,58977,-.4847707748413086,98842,584154,.3139381408691406,3191897,742211,-.6287403106689453,293392,52563,-1.128566741943359,380179,167017,-.2332172393798828,20417248,.0266532897949219,230358,3928,-.9349546432495117,38156,-.5325660705566406,771868,297724,-.3104991912841797,6704,181895,-.8031377792358398,927,-3.818553447723389,matched (3),4920140.5,.88604981,425489.09,853088.69
201108,902131,619,4766,3246606,08,0,0,0,0,0,0,1,0,0,0,0,301835,-.4379358291625977,294342,4.307741165161133,41640880,75760,-2.338682174682617,101319,.026402473449707,695561,.4263391494750977,6627,2080079,.558354377746582,196767,.2893247604370117,156658,4365634,.1013765335083008,4806167,.2355813980102539,1179675,.1057672500610352,67459,-.3768806457519531,419705,619447,620801,.1468620300292969,689870,-.3975400924682617,316953,-.3379487991333008,653669,.0606174468994141,564218,.3610076904296875,301000,8019,2.33027458190918,85958,.1517009735107422,10130317,.1632318496704102,1448111,1.220437049865723,416319,501776,-.1552772521972656,8328593,.4581832885742188,53980,72336,-.4183216094970703,12570,3.512141704559326,109911,.6225242614746094,208648,599408,.0257778167724609,4356882,650150,-.1324310302734375,314536,112162,.7579317092895508,515743,245409,.3848304748535156,22943508,.1166553497314453,443871,16817,1.454259872436523,68832,.5899858474731445,1023101,546712,.6077556610107422,12952,284709,.4480381011962891,63310,4.2238450050354,matched (3),8074505,.88604981,555064.56,924562.63
