period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1365c757,growth1365c757,Y1430c818,Y1452c818,Y1456c191,growth1456c191,Y1811c792,growth1811c792,Y2212c792,growth2212c792,Y2220c498,Y2275c807,growth2275c807,Y2292c124,Y2426c807,growth2426c807,Y2558c440,growth2558c440,Y2570c484,growth2570c484,Y2631c440,growth2631c440,Y2690c688,growth2690c688,Y2716c372,growth2716c372,Y2876c246,growth2876c246,Y291c36,Y2922c757,growth2922c757,Y2932c826,growth2932c826,Y3088c620,growth3088c620,Y3089c428,growth3089c428,Y3304c705,growth3304c705,Y3316c348,growth3316c348,Y3397c826,growth3397c826,Y3434c586,growth3434c586,Y3687c818,Y3695c818,Y3750c818,Y3760c428,growth3760c428,Y4041c484,growth4041c484,Y4186c268,growth4186c268,Y4193c218,Y4241c554,Y425c826,growth425c826,Y4288c642,Y4339c268,growth4339c268,Y4387c792,growth4387c792,Y439c705,growth439c705,Y4417c124,growth4417c124,Y4463c792,growth4463c792,Y4474c620,growth4474c620,Y4760c792,growth4760c792,Y4774c440,Y4934c818,Y4959c705,growth4959c705,Y4984c600,growth4984c600,Y5039c792,growth5039c792,Y604c586,growth604c586,Y609c222,growth609c222,Y983c792,growth983c792,_merge,x,r2,s,sf
201011,902212,610,4771,5125029,11,0,0,0,0,0,0,0,0,0,1,0,67563,-.4092416763305664,1296103,94230,41814,.1629104614257813,655248,.1508321762084961,625520,.9760227203369141,15896,264724,1.860832214355469,15972,112261,.4205799102783203,167533,-.2200288772583008,10974,.6091165542602539,77050,.8588542938232422,187773,.0571765899658203,336654,.3826742172241211,200858,1.084547996520996,108982,5845452,.2139215469360352,16889080,-.0600929260253906,1025719,.127842903137207,370182,.0494346618652344,107627,-.1490259170532227,182262,.2337932586669922,1316139,.5396595001220703,3756839,-.2051763534545898,155079,410095,610395,14628,-.332794189453125,1790610,-.5520906448364258,30029,.1429519653320313,1707617,1600,1040363,.3070650100708008,163543,388068,.4368352890014648,3516021,.4211568832397461,49071,.0031223297119141,3170307,.2288913726806641,32165,.298675537109375,2651543,.0732746124267578,6624589,.1683826446533203,62244,3056567,1206926,.2648391723632813,22538,.9978628158569336,515196,2.923043251037598,97642,-.0589303970336914,461340,-.0977001190185547,897532,.489628791809082,matched (3),1010117.1,.88550168,2054667.6,2743723
201012,902212,611,4771,5095550,12,0,0,0,0,0,0,0,0,0,0,1,209535,1.131830215454102,932633,934,30189,-.3257532119750977,636067,-.0297098159790039,957160,.4253873825073242,13540,109431,-.8833942413330078,13265,57949,-.6612634658813477,208974,.2210292816162109,59214,1.685629844665527,74017,-.0401592254638672,115293,-.4877567291259766,165897,-.7076892852783203,55716,-1.282331466674805,222644,5964120,.0200967788696289,16395593,-.0296535491943359,1096867,.0670642852783203,287318,-.2534046173095703,89770,-.1814203262329102,224186,.20703125,893610,-.3871879577636719,3686842,-.0188074111938477,43326,343804,756196,6604,-.7952613830566406,2651289,.3924903869628906,18431,-.488128662109375,1569425,26094,1067949,.0261697769165039,103845,681133,.5625772476196289,2582031,-.3087539672851563,26067,-.6325979232788086,3137535,-.0103912353515625,64062,.6889724731445313,1918799,-.3234424591064453,4815867,-.3188724517822266,271272,4867551,749389,-.4765729904174805,15109,-.3999118804931641,147690,-1.249431610107422,184908,.6385507583618164,440042,-.0472650527954102,659409,-.3083047866821289,matched (3),3276595,.88550168,1389586.4,2288516.5
201101,902212,612,4771,4881722,01,0,0,0,0,0,0,0,0,0,0,0,197584,-.0587272644042969,910760,1289,20242,-.3997182846069336,527055,-.1879987716674805,729505,-.2716045379638672,6750,12530,-2.167168617248535,1452,65177,.1175432205200195,110210,-.6398220062255859,6946,-2.14299201965332,88589,.1797122955322266,49800,-.8394622802734375,163102,-.0169906616210938,25090,-.7977981567382813,199384,5123380,-.151947021484375,22997860,.3383884429931641,613296,-.5813655853271484,231678,-.2152414321899414,44729,-.696629524230957,104689,-.7614822387695313,3897722,1.472877502441406,4090754,.1039590835571289,98831,302636,605164,4575,-.3670692443847656,2077600,-.2438325881958008,17333,-.0614223480224609,662739,2013,795383,-.2946710586547852,92463,254368,-.9849758148193359,1217126,-.7520837783813477,7718,-1.21711540222168,1641508,-.647822380065918,10365,-1.821416854858398,1769106,-.0812253952026367,4324314,-.1076622009277344,40009,2613942,393870,-.6432380676269531,2010,-2.01715612411499,893173,1.799664497375488,60282,-1.120824813842773,356548,-.2104005813598633,400720,-.4980812072753906,matched (3),4977095,.88550168,1307767.3,2239779.5
201102,902212,613,4771,5095382,02,1,0,0,0,0,0,0,0,0,0,0,505244,.9388771057128906,544631,4599,55557,1.009650230407715,609342,.1450748443603516,555865,-.2718400955200195,10089,60770,1.578970909118652,31247,120582,.6152238845825195,199385,.5928497314453125,21995,1.15264892578125,52020,-.532379150390625,167824,1.214900970458984,299945,.6092233657836914,61148,.8908281326293945,221127,5241214,.0227394104003906,18189942,-.2345333099365234,719282,.1594057083129883,141712,-.491551399230957,136742,1.117474555969238,103364,-.0127372741699219,1567366,-.9109954833984375,4578515,.112645149230957,46941,343237,363502,5570,.1967887878417969,2523547,.1944513320922852,26339,.4184389114379883,1112107,15014,1085143,.310643196105957,138050,463472,.5999641418457031,1233151,.0130805969238281,16514,.7606534957885742,1726162,.0502853393554688,19864,.6504745483398438,2299488,.2622127532958984,3821466,-.1236190795898438,85733,2711300,201520,-.6701316833496094,656,-1.119729042053223,557856,-.4706792831420898,70723,.1597366333007813,470079,.2764310836791992,685500,.5368852615356445,matched (3),7243860,.88550168,1550313.3,2389524.8
201103,902212,614,4771,8644038,03,0,1,0,0,0,0,0,0,0,0,0,478449,-.0544910430908203,985445,97463,88926,.4703950881958008,833960,.3138055801391602,907166,.4897994995117188,10864,115363,.6409873962402344,16108,92358,-.266657829284668,149329,-.2890853881835938,9167,-.8752050399780273,116357,.8050346374511719,216595,.2551136016845703,140017,-.761836051940918,31694,-.6571693420410156,224679,4485488,-.1557064056396484,20355896,.1125011444091797,772728,.0716733932495117,248402,.5612516403198242,171014,.2236490249633789,203769,.6787300109863281,3001226,.6496248245239258,8628471,.633692741394043,150206,516341,596061,11795,.7502803802490234,3473501,.3194980621337891,30398,.1433258056640625,1063504,62059,1087680,.0023345947265625,141508,484511,.0443944931030273,1926831,.4463033676147461,65364,1.375762939453125,2155754,.2222404479980469,25407,.2461156845092773,2391924,.0394115447998047,6225381,.4879999160766602,569135,3106604,593871,1.08077335357666,40323,4.118516445159912,3123129,1.722489356994629,70017,-.0100326538085938,506889,.0753917694091797,1356919,.6828241348266602,matched (3),7623388.5,.88550168,2342737.3,2965598.5
201104,902212,615,4771,4970706,04,0,0,1,0,0,0,0,0,0,0,0,75047,-1.852435111999512,588016,7423,16210,-1.702177047729492,797390,-.0448417663574219,432298,-.7412099838256836,8136,87711,-.2740364074707031,793,90401,-.0214176177978516,156023,.0438518524169922,65496,1.966379165649414,83913,-.3268823623657227,207146,-.0446052551269531,128284,-.0875167846679688,12406,-.9379472732543945,258187,4503597,.0040292739868164,19296996,-.0534210205078125,777729,.0064516067504883,201231,-.2105951309204102,124627,-.3164196014404297,214796,.0527019500732422,771694,-1.358188629150391,7320140,-.1644382476806641,16456,146890,259484,15939,.3010931015014648,2184371,-.4638357162475586,12036,-.9264745712280273,1276819,6878,731147,-.3971872329711914,55055,335318,-.3680610656738281,1560691,-.2107477188110352,35845,-.6007671356201172,2410719,.1117839813232422,74427,1.074793815612793,1870392,-.2459497451782227,3732114,-.5116596221923828,264584,3044811,287046,-.7270193099975586,4496,-2.193734169006348,674886,-1.532046318054199,112451,.4737796783447266,380248,-.2874679565429688,715943,-.6393718719482422,matched (3),9932864,.88550168,2263627,2903509
201105,902212,616,4771,6432446,05,0,0,0,1,0,0,0,0,0,0,0,78002,.0386199951171875,1217813,14260,28854,.5766210556030273,993279,.2196683883666992,303618,-.3533449172973633,17444,183552,.7384510040283203,9809,16397,-1.707156181335449,213814,.3151025772094727,18414,-1.268877983093262,120466,.3615865707397461,131068,-.4577083587646484,149592,.1536645889282227,11335,-.0902853012084961,442472,6950583,.4339494705200195,21505964,.1083812713623047,974714,.2257661819458008,295738,.3850202560424805,176210,.3463506698608398,238301,.1038455963134766,902578,.1566677093505859,7765944,.0591182708740234,124042,267048,505370,30074,.634892463684082,3704737,.528285026550293,41118,1.228543281555176,1810474,50917,768601,.049957275390625,189100,477857,.3542318344116211,2169205,.3292322158813477,12340,-1.06635856628418,1858384,-.2602176666259766,48104,-.4364538192749023,2568637,.3172273635864258,4837734,.2594718933105469,160989,3128199,1155064,1.392268180847168,5075,.1211385726928711,803268,.1741447448730469,228132,.7074069976806641,381640,.0036535263061523,986400,.3204612731933594,matched (3),5891061.5,.88550168,2016078.6,2714945.8
201106,902212,617,4771,6803078,06,0,0,0,0,1,0,0,0,0,0,0,137664,.5680809020996094,862805,182217,151950,1.66130256652832,907433,-.0903921127319336,396839,.2677602767944336,9033,45291,-1.39939022064209,14078,87402,1.673418998718262,98343,-.7766447067260742,21637,.1612930297851563,48975,-.9000568389892578,188547,.3636312484741211,295265,.679962158203125,24086,.7537355422973633,334910,4951187,-.339198112487793,21062596,-.0208320617675781,826038,-.1655035018920898,339891,.1391515731811523,91723,-.6529035568237305,532917,.8048315048217773,486604,-.6178045272827148,9150176,.1640253067016602,51973,371671,727745,8064,-1.316251754760742,3827712,.0326547622680664,19887,-.72637939453125,1785624,50586,1295230,.5218715667724609,48305,406792,-.1610088348388672,2393874,.0985517501831055,3319,-1.313181877136231,1444998,-.2515993118286133,66197,.319270133972168,2232344,-.1403236389160156,5518604,.131678581237793,533108,3343879,892297,-.2581119537353516,15065,1.088047981262207,968743,.1873102188110352,93738,-.8894205093383789,461155,.1892566680908203,953180,-.0342578887939453,matched (3),11721143,.88550168,2296401,2929132
201107,902212,618,4771,8126073,07,0,0,0,0,0,1,0,0,0,0,0,337977,.8981618881225586,799458,3765,208771,.3176860809326172,1253890,.3233861923217773,917334,.8379411697387695,7090,61549,.3067255020141602,31907,71899,-.1952552795410156,132289,.2965278625488281,53502,.9053144454956055,93681,.648585319519043,202201,.0699148178100586,136010,-.7751445770263672,73089,1.110047340393066,313060,5084048,.0264797210693359,17848646,-.1655712127685547,899487,.0851831436157227,214212,-.4616594314575195,183053,.6910028457641602,442911,-.1849966049194336,427206,-.1301841735839844,5284516,-.5489921569824219,24527,454945,634871,12962,.4746122360229492,1954378,-.6721954345703125,35271,.5729951858520508,2614241,68922,955186,-.3045377731323242,76410,610560,.4060745239257813,2324420,-.0294418334960938,10041,1.107012748718262,1740875,.1862802505493164,42913,-.4334602355957031,2569155,.1405248641967773,4081527,-.3016538619995117,112118,3034190,1240634,.3295783996582031,17082,.1256513595581055,471361,-.7203750610351563,183301,.6706256866455078,515577,.1115522384643555,662996,-.3630352020263672,matched (3),4918138,.88550168,1771115.4,2538347.3
201108,902212,619,4771,6849979,08,0,0,0,0,0,0,1,0,0,0,0,281430,-.1830940246582031,1603213,52586,85186,-.8964004516601563,708360,-.5710535049438477,615846,-.3984746932983398,5756,76640,.2192859649658203,8535,49409,-.3751296997070313,185674,.3390035629272461,34094,-.4505977630615234,74742,-.2258539199829102,181272,-.1092634201049805,85192,-.4678211212158203,39787,-.6081380844116211,271243,5839461,.1385307312011719,21255190,.1746749877929688,742077,-.1923713684082031,402626,.63104248046875,199261,.0848398208618164,423362,-.0451412200927734,711500,.5101089477539063,3654192,-.3689060211181641,68569,239830,755988,3895,-1.202327728271484,1880470,-.0385503768920898,41748,.1685905456542969,1585327,7811,1404243,.3853483200073242,80410,598733,-.0195608139038086,1565860,-.3950357437133789,29530,1.078730583190918,1413870,-.2080574035644531,43238,.0075445175170898,2113792,-.1950931549072266,4513279,.1005525588989258,243733,3226259,1414009,.1308069229125977,32772,.6515483856201172,1269087,.9904289245605469,96319,-.6434640884399414,429023,-.1837759017944336,673856,.0162477493286133,matched (3),5186449,.88550168,953616.19,2053226.9
