period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1306c124,Y1386c554,Y1436c705,growth1436c705,Y144c124,growth144c124,Y1507c124,growth1507c124,Y1537c208,growth1537c208,Y1686c752,growth1686c752,Y1723c440,growth1723c440,Y1764c222,growth1764c222,Y1765c752,growth1765c752,Y1773c124,growth1773c124,Y1794c32,Y2053c826,growth2053c826,Y212c124,growth212c124,Y2130c124,growth2130c124,Y2398c554,Y2481c752,growth2481c752,Y2631c251,growth2631c251,Y3028c124,growth3028c124,Y3080c36,Y3153c300,growth3153c300,Y3279c752,growth3279c752,Y3313c203,Y3429c124,growth3429c124,Y3499c484,growth3499c484,Y3547c372,growth3547c372,Y3592c124,growth3592c124,Y3705c300,growth3705c300,Y3712c826,growth3712c826,Y3745c554,Y3760c36,Y3771c826,growth3771c826,Y3848c208,growth3848c208,Y3873c752,growth3873c752,Y3973c428,growth3973c428,Y4302c124,growth4302c124,Y4333c442,Y4386c124,growth4386c124,Y4454c348,growth4454c348,Y4491c372,growth4491c372,Y4607c124,growth4607c124,Y4610c124,growth4610c124,Y4630c372,growth4630c372,Y4682c440,growth4682c440,Y4920c191,growth4920c191,Y4926c124,growth4926c124,Y5015c208,growth5015c208,Y638c124,growth638c124,Y810c191,growth810c191,Y913c251,growth913c251,_merge,x,r2,s,sf
201011,721710,610,3317,3779295,11,0,0,0,0,0,0,0,0,0,1,0,1155159,1600958,500359,.1871776580810547,22875352,-.1120109558105469,3828857,-.0997467041015625,417049,.1239337921142578,5611616,.1649618148803711,30635,-.3669881820678711,231221,-.2351961135864258,6844017,-.0861539840698242,4832662,-.0539617538452148,769221,27731172,-.0256118774414063,1175021,-.1178226470947266,4344032,-.2113189697265625,659744,398453,-.1291322708129883,1854719,.3324089050292969,2016940,.0059518814086914,5872798,143281,-.8561468124389648,9615643,-.2541999816894531,2520973,44511128,-.0442981719970703,1422112,-.661834716796875,27710,-.8961982727050781,2709431,-.0420074462890625,80625,-.8506832122802734,8197908,.5385293960571289,45859,384381,2006437,-.1062002182006836,659824,-.0704851150512695,3939774,.0162954330444336,4490,-.3184938430786133,11733109,.3311147689819336,110021,6989154,.2023048400878906,12696100,-.0202960968017578,435043,-.3687515258789063,67207056,-.0755634307861328,36692336,-.0403347015380859,140629,.0613937377929688,267851,.0054845809936523,8561,-.9024820327758789,116251480,-.0392551422119141,94783,-.1188335418701172,580116,.0357189178466797,1030939,.8709068298339844,365357,-.0308475494384766,matched (3),4859606.5,.8631435,461577.56,718472
201012,721710,611,3317,3582673,12,0,0,0,0,0,0,0,0,0,0,1,1176331,1100787,441562,-.1250076293945313,20378292,-.1155891418457031,3242380,-.1662588119506836,405411,-.0283021926879883,5731898,.0212078094482422,22279,-.3184986114501953,186961,-.2124738693237305,6081673,-.1180944442749023,4643448,-.0399408340454102,927625,27617744,-.0040988922119141,1364244,.1493148803710938,4343997,-7.62939453125e-06,785058,321474,-.2146730422973633,999847,-.6178865432739258,1794111,-.1170711517333984,5708660,73535,-.6670465469360352,5998397,-.471898078918457,1828753,41085852,-.0800762176513672,2157798,.4169445037841797,14802,-.6270313262939453,2557827,-.0575809478759766,37157,-.7746572494506836,3555129,-.8354873657226563,29599,67525,1767988,-.1265182495117188,769409,.1536493301391602,3805500,-.0346765518188477,90417,3.002579689025879,10280892,-.1321277618408203,74143,5482710,-.2427606582641602,9197816,-.3223285675048828,422736,-.0286970138549805,57969752,-.147857666015625,34782908,-.0534420013427734,105585,-.2866096496582031,243147,-.0967645645141602,3164,-.9953804016113281,100715936,-.1434516906738281,82589,-.1377143859863281,333176,-.5545578002929688,527716,-.6696672439575195,509229,.3320226669311523,matched (3),4694804,.8631435,414881.53,689401.81
201101,721710,612,3317,4246078,01,0,0,0,0,0,0,0,0,0,0,0,1639553,888706,778503,.5670547485351563,29042288,.3542823791503906,4740740,.3798856735229492,470379,.1486368179321289,4220798,-.3060216903686523,7078,-1.146653175354004,228914,.2024459838867188,7454399,.2035245895385742,5733482,.2108659744262695,431964,31635412,.1358184814453125,1373572,.0068140029907227,4654114,.0689563751220703,499368,499530,.4407510757446289,1247958,.2216615676879883,1990671,.1039619445800781,5256917,346011,1.548708915710449,11164832,.6212759017944336,2024361,45403076,.0999164581298828,782522,-1.014321327209473,34089,.8342132568359375,2478341,-.0315685272216797,100253,.9925451278686523,4781202,.296299934387207,47196,485829,2300048,.263087272644043,1326929,.5450000762939453,2223318,-.5374460220336914,272108,1.101766586303711,8280683,-.2163619995117188,116299,6518210,.1730003356933594,12808392,.3311347961425781,576483,.3101978302001953,72243280,.2201194763183594,42898980,.2097206115722656,123549,.1571216583251953,240654,-.0103063583374023,21373,1.91029167175293,122513376,.1959171295166016,76914,-.0711879730224609,324389,-.0267276763916016,536015,.0156040191650391,324247,-.4513921737670898,matched (3),4482009.5,.8631435,469618.31,723664
201102,721710,613,3317,4685663,02,1,0,0,0,0,0,0,0,0,0,0,3925447,1132777,388105,-.6960973739624023,25158042,-.1435756683349609,4357597,-.0842723846435547,536146,.1308679580688477,8506821,.7008438110351563,12463,.5657720565795898,287165,.226710319519043,6261738,-.174346923828125,5479340,-.0453386306762695,862076,31776272,.0044441223144531,1617522,.1634807586669922,5185179,.1080532073974609,731255,662550,.2824287414550781,1575641,.233154296875,2020401,.0148239135742188,5604519,490067,.3480720520019531,11713435,.0479679107666016,2858087,36889152,-.2076625823974609,1021150,.2661628723144531,37061,.0835905075073242,2805108,.1238527297973633,105616,.0521125793457031,3259418,-.383143424987793,44411,150049,1816623,-.2359504699707031,1308844,-.0137233734130859,3567930,.4729843139648438,105350,-.9489107131958008,8918220,.0741710662841797,199180,5861054,-.1062698364257813,15492420,.1902484893798828,688110,.1770029067993164,66645460,-.0806522369384766,42570064,-.0076961517333984,156531,.2366161346435547,167729,-.3610105514526367,71790,1.211616516113281,117351608,-.0430469512939453,80147,.0411739349365234,752607,.8416004180908203,326964,-.4943122863769531,782879,.8814725875854492,matched (3),6038058.5,.8631435,480183.72,730564.56
201103,721710,614,3317,2287448,03,0,1,0,0,0,0,0,0,0,0,0,5082011,1003321,646359,.5100793838500977,15080986,-.5117416381835938,4775288,.0915327072143555,451846,-.1710653305053711,7960293,-.0664024353027344,29014,.8450145721435547,152678,-.6317253112792969,9211258,.3859682083129883,7042224,.2509393692016602,1006548,30477336,-.0417366027832031,1995973,.2102365493774414,5920695,.1326494216918945,676185,362938,-.6018638610839844,986636,-.4681167602539063,2651429,.2718029022216797,5043075,613660,.2248983383178711,15671307,.2910957336425781,2345840,49422656,.2924919128417969,1636656,.4717254638671875,44920,.1923179626464844,2989097,.0635290145874023,51488,-.7184610366821289,6948077,.7569169998168945,38802,182132,1734479,-.0462722778320313,887957,-.3879766464233398,3380437,-.0539798736572266,1083,-4.577553272247315,10499161,.1631984710693359,156271,5713247,-.0255422592163086,15181216,-.0202903747558594,567357,-.1929597854614258,78953632,.1694736480712891,50656164,.1739101409912109,154527,-.0128850936889648,233915,.3326082229614258,65221,-.0959634780883789,139161600,.1704616546630859,175239,.7822885513305664,347279,-.7734146118164063,623301,.6451797485351563,579405,-.3009757995605469,matched (3),7604965.5,.8631435,663417.63,862131.75
201104,721710,615,3317,5433689,04,0,0,1,0,0,0,0,0,0,0,0,3761866,1132267,658590,.0187463760375977,18462032,.2022800445556641,4343602,-.0947494506835938,286645,-.4550962448120117,8493889,.0648813247680664,45710,.4545383453369141,191869,.2284812927246094,7659965,-.1844186782836914,5772711,-.1987819671630859,823954,30557476,.0026264190673828,2235100,.113154411315918,5516172,-.070770263671875,488708,434054,.1789369583129883,824393,-.1796541213989258,2087435,-.2391624450683594,5414343,190331,-1.170676231384277,13022626,-.1851444244384766,2304120,55539272,.1166820526123047,1577761,-.0366477966308594,42858,-.0469913482666016,3346176,.1128473281860352,44756,-.1401233673095703,8627870,.2165327072143555,43450,241808,2364469,.3098468780517578,785847,-.1221609115600586,2306286,-.3823671340942383,46574,3.761307239532471,8640200,-.1948690414428711,123364,5742535,.0051136016845703,13592088,-.1105709075927734,502885,-.1206274032592773,71157032,-.1039714813232422,40134360,-.2328281402587891,90037,-.5401477813720703,308588,.2770490646362305,34164,-.6466093063354492,106731376,-.26531982421875,98191,-.5792360305786133,232069,-.4030942916870117,632940,.015345573425293,561895,-.0306873321533203,matched (3),4995928.5,.8631435,373912.91,665551.69
201105,721710,616,3317,5926404,05,0,0,0,1,0,0,0,0,0,0,0,4578334,1316220,897984,.3100509643554688,23735712,.2512645721435547,5457706,.2283239364624023,481265,.5181732177734375,8126265,-.044245719909668,64336,.3418025970458984,206219,.0721263885498047,9504734,.2157831192016602,5894524,.0208826065063477,939720,32433358,.0595779418945313,1846195,-.1911592483520508,5626049,.0197238922119141,519538,294946,-.3863773345947266,1237518,.4062156677246094,2736510,.270747184753418,5971728,655862,1.237185478210449,21996200,.5241813659667969,2407659,67681584,.197723388671875,801786,-.6769208908081055,40476,-.0571832656860352,3116026,-.0712594985961914,123247,1.012965202331543,15111648,.5604686737060547,49636,314295,2479088,.0473365783691406,1931588,.8993358612060547,2518782,.0881376266479492,112252,.879704475402832,9414005,.0857725143432617,148915,5503192,-.0425729751586914,15654532,.1412715911865234,694107,.3222646713256836,77837272,.0897312164306641,37348796,-.0719318389892578,125232,.3299474716186523,212390,-.3735828399658203,270925,2.070670127868652,108474528,.0161991119384766,112199,.1333599090576172,765946,1.194077491760254,819520,.2583436965942383,933920,.5080757141113281,matched (3),6352496.5,.8631435,447985.81,709816.5
201106,721710,617,3317,6862895,06,0,0,0,0,1,0,0,0,0,0,0,5413643,1395517,871412,-.0300378799438477,31733276,.2903861999511719,6328890,.1480960845947266,637201,.2806673049926758,4305436,-.635223388671875,59924,-.0710420608520508,289451,.3390474319458008,8976400,-.0571918487548828,6234132,.0560150146484375,884357,46388976,.3578739166259766,2381696,.2546863555908203,5760802,.0236692428588867,948694,372908,.2345399856567383,1542537,.2203207015991211,2322236,-.1641530990600586,7217309,481725,-.3085765838623047,11984729,-.6072349548339844,2918476,76354968,.1205787658691406,1134822,.3473892211914063,42965,.0596771240234375,2834525,-.0946846008300781,59624,-.7261323928833008,12454962,-.1933479309082031,68970,282841,2227190,-.1071500778198242,1296201,-.3989048004150391,3485205,.3247509002685547,190415,.5284595489501953,12136478,.2540168762207031,197389,4275632,-.2523965835571289,15750141,.0060882568359375,700169,.0086956024169922,81543304,.0465126037597656,49107432,.2737083435058594,155091,.2138433456420898,288156,.3050785064697266,224229,-.1891746520996094,120257184,.1031169891357422,99133,-.1238117218017578,209733,-1.295276641845703,974549,.1732559204101563,463538,-.7005023956298828,matched (3),7899716.5,.8631435,606314.69,819002.88
201107,721710,618,3317,5481609,07,0,0,0,0,0,1,0,0,0,0,0,3758761,1162463,665587,-.2694454193115234,28105110,-.1214141845703125,5388459,-.1608648300170898,429475,-.3945217132568359,5797888,.2976160049438477,20069,-1.093900680541992,369344,.2437419891357422,7863429,-.1323757171630859,4631914,-.2970685958862305,777872,45828764,-.0121498107910156,1792091,-.2844305038452148,5809163,.0083599090576172,529604,264041,-.3452272415161133,1532239,-.0066976547241211,2538446,.0890216827392578,6279117,447348,-.0740365982055664,12780230,.0642662048339844,2750627,51583624,-.3921890258789063,2468642,.7771930694580078,38637,-.106175422668457,3334816,.1625432968139648,31980,-.6229476928710938,4260235,-1.072793960571289,62894,394055,2511036,.1199550628662109,882599,-.3843221664428711,3201954,-.0847654342651367,17217,-2.403308868408203,12109571,-.0022182464599609,182522,5077520,.1718912124633789,13903691,-.12469482421875,432857,-.4809141159057617,70249248,-.1490840911865234,36666960,-.2921333312988281,123814,-.2252311706542969,231700,-.2180585861206055,20309,-2.401603698730469,84691544,-.350616455078125,60422,-.4951095581054688,596091,1.044557571411133,557590,-.5583505630493164,271487,-.5349740982055664,matched (3),5047550,.8631435,341859.84,648086.69
201108,721710,619,3317,5842630,08,0,0,0,0,0,0,1,0,0,0,0,5462506,1361972,950130,.3559293746948242,30630152,.0860328674316406,5557077,.0308122634887695,507384,.1667041778564453,5998271,.0339775085449219,43482,.7731704711914063,144843,-.9360780715942383,8060465,.0247488021850586,6851283,.3914651870727539,979359,35407180,-.2579975128173828,1367340,-.2705154418945313,6397144,.0964145660400391,1143606,314069,.1735076904296875,2112953,.3213558197021484,2678094,.053553581237793,7468491,428196,-.0437555313110352,18341398,.3612594604492188,2840660,63477440,.2074813842773438,2713984,.0947494506835938,19747,-.6712093353271484,3476861,.041712760925293,248622,2.050823211669922,5495242,.2545576095581055,93065,431201,2576257,.0256423950195313,960665,.0847549438476563,3993134,.2208147048950195,206658,2.485167503356934,30240036,.9151706695556641,221069,5300150,.042912483215332,18392804,.2798061370849609,578604,.2902107238769531,93404656,.2848911285400391,55269348,.4103412628173828,179951,.3739042282104492,293598,.2367677688598633,20957,.0314083099365234,127251304,.4071483612060547,61990,.0256195068359375,638928,.0693988800048828,737044,.2790231704711914,1039638,1.342714309692383,matched (3),7508496,.8631435,601387.5,815361.94
