period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1038c757,growth1038c757,Y1237c251,growth1237c251,Y1292c246,growth1292c246,Y1411c600,Y1453c826,growth1453c826,Y1516c246,growth1516c246,Y1596c152,growth1596c152,Y1627c68,growth1627c68,Y1738c757,growth1738c757,Y1741c752,growth1741c752,Y1901c68,growth1901c68,Y2047c792,growth2047c792,Y2426c344,Y2626c32,Y2659c208,growth2659c208,Y2723c440,growth2723c440,Y2774c484,growth2774c484,Y2789c428,growth2789c428,Y2901c428,growth2901c428,Y2947c752,growth2947c752,Y2953c344,Y3029c554,Y3042c608,Y3085c616,growth3085c616,Y3173c826,growth3173c826,Y3386c152,growth3386c152,Y3623c344,Y3709c68,growth3709c68,Y3841c372,growth3841c372,Y3882c586,growth3882c586,Y3917c68,growth3917c68,Y393c757,growth393c757,Y3966c372,growth3966c372,Y4006c554,Y4156c208,growth4156c208,Y4324c792,Y4326c152,growth4326c152,Y4450c586,growth4450c586,Y4545c344,Y4693c620,growth4693c620,Y46c32,Y4784c600,growth4784c600,Y4792c152,growth4792c152,Y4851c818,Y4931c608,Y518c348,growth518c348,Y586c792,growth586c792,Y646c818,Y6c152,Y920c826,growth920c826,_merge,x,r2,s,sf
201011,840890,610,3809,248732,11,0,0,0,0,0,0,0,0,0,1,0,3101652,.1713085174560547,7728129,-.1171960830688477,98620,.8227291107177734,102776,589262,.0795173645019531,44907,-.0700807571411133,287726,-.1485633850097656,48224,.5238847732543945,12780895,.1196784973144531,155910,1.216732025146484,5522,-.6417779922485352,242746,2.050348281860352,373257,46520,329134,.8817968368530273,151043,.1864147186279297,854277,.2482213973999023,325243,-.6460418701171875,13502,1.234962463378906,17108,-1.132894515991211,200679,598605,28207,517813,.3885602951049805,442909,.4778299331665039,1168438,1.204770088195801,1982488,104240,-.721226692199707,20194,1.232978820800781,296272,-1.003771781921387,67959,.2874507904052734,3020537,-.2478618621826172,445,-4.83263635635376,41541,378874,.0797595977783203,73064,47505,.0386924743652344,18558,-1.901556015014648,465049,116154,1.430708885192871,0,36954,.7992477416992188,648890,1.28513240814209,702882,961185,1004291,-.2068214416503906,3252059,.3664770126342773,704385,0,2170226,.2543706893920898,matched (3),3544720.8,.93041915,1402905.9,1866843
201012,840890,611,3809,247280,12,0,0,0,0,0,0,0,0,0,0,1,1721729,-.5886058807373047,3878030,-.689539909362793,78848,-.2237520217895508,53331,134392,-1.478109359741211,104069,.8404607772827148,344705,.1806802749633789,45205,-.0646495819091797,9156709,-.333465576171875,24573,-1.847630500793457,7659,.3271417617797852,106067,-.8279447555541992,146973,56674,303655,-.0805721282958984,89672,-.5214061737060547,564620,-.4141025543212891,91535,-1.267850875854492,10550,-.2467126846313477,2630,-1.872561931610107,197557,574935,539779,299240,-.5483684539794922,163909,-.9940528869628906,786616,-.3956823348999023,2043697,43048,-.8843803405761719,6361,-1.155200004577637,227698,-.2632579803466797,32340,-.7425994873046875,4519514,.4029703140258789,21853,3.894018650054932,3631,342042,-.1022701263427734,133452,18178,-.9606227874755859,33109,.5789041519165039,397616,30668,-1.331697463989258,0,6572,-1.726856231689453,876246,.3003835678100586,216675,683147,745219,-.2983589172363281,2676613,-.1947355270385742,996591,0,1247377,-.5537881851196289,matched (3),466494.94,.93041915,800762.19,1469073.9
201101,840890,612,3809,397306,01,0,0,0,0,0,0,0,0,0,0,0,1653307,-.0405521392822266,10491474,.9952354431152344,298997,1.332911491394043,65320,199765,.3963804244995117,36339,-1.052163124084473,578998,.5186100006103516,57658,.243321418762207,14899460,.4868392944335938,86292,1.256088256835938,37604,1.591228485107422,172139,.4842319488525391,156861,67322,458355,.4117517471313477,145549,.4843549728393555,394464,-.3586244583129883,392920,1.456884384155273,4689,-.8109064102172852,14496,1.706888675689697,251744,461874,171137,522116,.5566434860229492,328409,.6949481964111328,918841,.1553726196289063,2290503,310412,1.975584983825684,8820,.3268356323242188,822042,1.283771514892578,18789,-.5430326461791992,4866004,.0738677978515625,10176,-.7643060684204102,47660,195283,-.5604839324951172,197817,18239,.0033502578735352,73050,.7913389205932617,322611,25754,-.1746292114257813,0,33472,1.627891540527344,499156,-.5627279281616211,472985,1051718,842067,.1221809387207031,2509739,-.0643739700317383,1985020,0,2736420,.7856073379516602,matched (3),5678880,.93041915,1248918.9,1754068.5
201102,840890,613,3809,393937,02,1,0,0,0,0,0,0,0,0,0,0,3574070,.7709274291992188,5201020,-.7017078399658203,255182,-.1584568023681641,100651,359346,.5871438980102539,115307,1.154706954956055,219297,-.9708719253540039,42200,-.3121089935302734,13126893,-.1266632080078125,48959,-.5667533874511719,22117,-.5307636260986328,203525,.1674861907958984,76231,14928,284377,-.4773435592651367,100779,-.3675832748413086,267123,-.3898191452026367,91398,-1.458382606506348,1398,-1.210176467895508,66266,1.519804000854492,239126,397029,51658,496801,-.0496997833251953,318398,-.0309572219848633,53941,-2.835222244262695,856936,135416,-.8295488357543945,5780,-.4226179122924805,784590,-.0466299057006836,13765,-.3111429214477539,4552992,-.0664882659912109,159558,2.752375602722168,43164,208611,.0660209655761719,77195,29747,.489166259765625,54827,-.286961555480957,976492,115481,1.500515937805176,0,3074,-2.387729644775391,205518,-.887385368347168,85930,246117,1636911,.6647071838378906,2464716,-.018101692199707,3060592,0,1814359,-.4109182357788086,matched (3),-744665.56,.93041915,1145845.5,1682236.6
201103,840890,614,3809,165936,03,0,1,0,0,0,0,0,0,0,0,0,2702815,-.2794113159179688,15624438,1.099981307983398,108464,-.8555583953857422,921,286760,-.2256402969360352,54876,-.7425222396850586,289652,.2782526016235352,19191,-.7879781723022461,14860134,.1240196228027344,83448,.5332403182983398,26182,.1687259674072266,156076,-.2654457092285156,346507,170858,179425,-.4605436325073242,39520,-.9361228942871094,209590,-.2425556182861328,183030,.6944265365600586,3101,.7966823577880859,15581,-1.447624206542969,169998,443296,468067,491519,-.0106887817382813,292656,-.0843048095703125,3313863,4.117979049682617,1978541,126614,-.0672082901000977,1260,-1.523292064666748,231793,-1.219317436218262,40959,1.090442657470703,5962079,.2696352005004883,9545,-2.816390037536621,39351,524851,.9226436614990234,76101,15852,-.6294326782226563,40535,-.3020162582397461,381863,55757,-.7281026840209961,0,18953,1.818982124328613,364423,.5727815628051758,176106,528563,1118142,-.3811426162719727,3705274,.4076805114746094,1249640,0,1239577,-.3809614181518555,matched (3),2652162.3,.93041915,877405.13,1512216.1
201104,840890,615,3809,1002140,04,0,0,1,0,0,0,0,0,0,0,0,3531069,.2673072814941406,14233862,-.0932121276855469,17561,-1.820737838745117,29030,461219,.4752273559570313,122122,.7999448776245117,347379,.181736946105957,70109,1.295609474182129,11559043,-.2512130737304688,120287,.365656852722168,39395,.4085664749145508,188945,.1911125183105469,264431,142332,354421,.6807289123535156,31360,-.2312736511230469,108567,-.6577863693237305,82827,-.7928953170776367,2928,-.0574054718017578,23035,.3909626007080078,164225,629721,423886,648035,.2764434814453125,599965,.7178735733032227,2375158,-.3330507278442383,2679714,138708,.0912275314331055,7351,1.763724803924561,536771,.8397274017333984,56678,.3248147964477539,6043571,.013575553894043,91246,2.257541656494141,71920,230307,-.8237009048461914,360929,32806,.7273159027099609,91440,.8135166168212891,513215,30273,-.6107473373413086,0,86854,1.522266387939453,223129,-.490565299987793,524220,554082,1578987,.3451147079467773,2848936,-.2628116607666016,130756,0,3245906,.9626235961914063,matched (3),5875662,.93041915,1054511.1,1621404.3
201105,840890,616,3809,60762,05,0,0,0,1,0,0,0,0,0,0,0,3276935,-.0746917724609375,5478368,-.9548168182373047,143118,2.097989082336426,25010,165405,-1.02547550201416,52800,-.8385095596313477,273392,-.2395105361938477,16356,-1.455456733703613,14424294,.2214450836181641,47577,-.9275312423706055,74373,.6354541778564453,192115,.0166387557983398,457086,58027,225718,-.4511995315551758,18916,-.5055255889892578,31120,-1.249516487121582,101177,.2001171112060547,5877,.6967267990112305,18752,-.205714225769043,131447,474890,257110,823066,.2390918731689453,531888,-.1204385757446289,1263455,-.6312141418457031,2398544,211195,.4204111099243164,984,-2.010965824127197,137731,-1.360269546508789,46975,-.1877708435058594,5593169,-.077448844909668,90776,-.0051641464233398,38095,251200,.0868358612060547,0,30408,-.0759057998657227,19391,-1.550873756408691,407971,101431,1.209122657775879,0,22662,-1.343538284301758,209907,-.0610847473144531,331550,487419,1259082,-.2264003753662109,3694916,.2600116729736328,804987,0,2015480,-.476536750793457,matched (3),-2149193.5,.93041915,1420173.5,1879853.9
201106,840890,617,3809,492741,06,0,0,0,0,1,0,0,0,0,0,0,3434596,.0469903945922852,8897741,.4849910736083984,183907,.2507610321044922,68013,377394,.8248929977416992,153203,1.065252304077148,302953,.1026716232299805,29894,.6030635833740234,12861747,-.1146564483642578,50113,.0519313812255859,13878,-1.678788185119629,204187,.0609416961669922,62608,213090,147966,-.4223041534423828,46240,.8938369750976563,218348,1.948239326477051,203215,.6973934173583984,2542,-.8380951881408691,21855,.1531286239624023,212855,492621,242530,577315,-.3546476364135742,496422,-.0690059661865234,2336268,.6147050857543945,1992842,298750,.3468255996704102,3021,1.121716976165772,357107,.952733039855957,64415,.3157310485839844,4309752,-.2606658935546875,37921,-.872889518737793,49551,724537,1.059283256530762,77902,46573,.4263153076171875,51925,.9849910736083984,582395,56516,-.5848550796508789,0,34680,.4254732131958008,1393851,1.893160820007324,518146,739076,951119,-.2804994583129883,3992701,.0775108337402344,766219,0,5233169,.9541597366333008,matched (3),8457165,.93041915,1719462.6,2115067.3
201107,840890,618,3809,722662,07,0,0,0,0,0,1,0,0,0,0,0,2637011,-.2642536163330078,11429330,.2503852844238281,785447,1.451822280883789,115246,640069,.5282859802246094,103856,-.388758659362793,369909,.1996793746948242,101284,1.220270156860352,11379390,-.1224536895751953,112144,.8055028915405273,23453,.524693489074707,134476,-.4176502227783203,163291,470249,189811,.2490463256835938,197159,1.450165748596191,456300,.737060546875,1299568,1.855522155761719,3276,.2536721229553223,1583,-2.625107765197754,168778,662172,412201,581336,.0069408416748047,625225,.2306852340698242,4541269,.6646518707275391,2099863,251960,-.1703367233276367,1773,-.5329146385192871,235602,-.4158916473388672,56292,-.1347942352294922,3842742,-.1146945953369141,540140,2.656323432922363,60306,2732169,1.32731819152832,51438,48324,.0369071960449219,73030,.3410701751708984,617345,22531,-.9196310043334961,0,78873,.8216762542724609,321935,-1.465476036071777,673931,556085,737549,-.2543067932128906,3375368,-.167963981628418,421366,0,1650038,-1.154218673706055,matched (3),10106599,.93041915,1726765.4,2121008.5
201108,840890,619,3809,241171,08,0,0,0,0,0,0,1,0,0,0,0,3152748,.1786289215087891,7465732,-.4258594512939453,75760,-2.338682174682617,122305,259643,-.9022684097290039,70424,-.3884706497192383,136041,-1.000301361083984,43860,-.8369255065917969,11136003,-.0216197967529297,86660,-.2577905654907227,6980,-1.211949348449707,114023,-.1649856567382813,92850,367796,296929,.4474649429321289,133773,-.3878660202026367,588316,.2541141510009766,185465,-1.946920394897461,3212,-.0197296142578125,11374,1.97200870513916,107169,550830,139705,454624,-.2458581924438477,378601,-.5016288757324219,1698488,-.9834680557250977,1597184,138280,-.5999898910522461,18360,2.337501049041748,329109,.3342456817626953,89030,.4584207534790039,2670829,-.3637971878051758,20365,-3.278011322021484,50568,159222,-2.842551231384277,342264,20104,-.877009391784668,73922,.0121402740478516,202468,42091,.6249418258666992,0,35102,-.8095817565917969,1284113,1.38347339630127,297271,525571,1109116,.4079866409301758,3121505,-.0781888961791992,914892,0,2577279,.4459362030029297,matched (3),-1680052.9,.93041915,946045.31,1553048.5
