period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1177c705,growth1177c705,Y1185c616,growth1185c616,Y1197c586,growth1197c586,Y1380c376,Y1490c352,growth1490c352,Y1850c191,growth1850c191,Y1907c442,Y1974c68,growth1974c68,Y2051c376,Y2148c208,growth2148c208,Y2311c246,Y236c705,Y2408c251,growth2408c251,Y246c352,growth246c352,Y2481c124,growth2481c124,Y248c352,growth248c352,Y2567c152,growth2567c152,Y2724c381,Y2818c152,Y2879c484,growth2879c484,Y2923c752,growth2923c752,Y3208c376,Y3317c807,growth3317c807,Y3363c642,Y3453c352,growth3453c352,Y3547c757,growth3547c757,Y356c440,growth356c440,Y3614c246,growth3614c246,Y3713c554,Y3903c152,growth3903c152,Y4007c376,Y4025c757,growth4025c757,Y4142c642,Y4192c376,Y4268c191,growth4268c191,Y4271c68,growth4271c68,Y4272c376,Y4306c484,growth4306c484,Y4354c376,Y4442c554,Y4563c616,growth4563c616,Y4563c757,growth4563c757,Y465c826,growth465c826,Y4717c792,growth4717c792,Y4743c372,growth4743c372,Y4788c376,Y4833c600,growth4833c600,Y4989c246,growth4989c246,Y5016c222,growth5016c222,Y688c251,growth688c251,_merge,x,r2,s,sf
201011,300390,610,1376,3351016,11,0,0,0,0,0,0,0,0,0,1,0,18638,.2831497192382813,166246,1.011618614196777,322594,.2987728118896484,1131000,59221,-.136052131652832,162306,.094212532043457,49481,10093,-2.404788970947266,1689000,3469407,.2835226058959961,67695,38857,5827138,.176386833190918,74468,1.00766658782959,904919,-.0775833129882813,53512,.7902936935424805,577,-4.540839195251465,828774,136198,228290,.3972816467285156,317733,.0591163635253906,1122000,62767,.4660701751708984,59052,72166,-.0329570770263672,823282,.0658769607543945,46841,-.2927980422973633,68623,-.4121990203857422,175542,417372,1.1275634765625,1460000,3026,-2.451899528503418,674542,40545000,1265776,1.284322738647461,369303,.1431407928466797,993000,63811136,.2324581146240234,2305000,4078268,3885296,.078129768371582,7264722,.290003776550293,547496,-.1911039352416992,284099,.4924421310424805,96411,.2629623413085938,1314000,1729492,.5096349716186523,683554,.0144195556640625,153238,.3017683029174805,522837,-.5983171463012695,matched (3),3177807.3,.77614522,724023.81,1220577.6
201012,300390,611,1376,2241033,12,0,0,0,0,0,0,0,0,0,0,1,7904,-.8578338623046875,51724,-1.167547225952148,182731,-.5683794021606445,541000,33565,-.5677928924560547,159742,-.0159235000610352,54830,37852,1.321841239929199,1309000,2380202,-.3767976760864258,8724,22413,3317130,-.5634260177612305,55468,-.2945632934570313,954429,.0532674789428711,48686,-.0945138931274414,95477,5.108798027038574,488212,3662,135942,-.5183887481689453,396449,.2213363647460938,1431000,26895,-.8474893569946289,40819,4431,-2.79034423828125,469958,-.5606546401977539,5618,-2.120782852172852,23185,-1.085122108459473,86942,242151,-.5444164276123047,558000,329,-2.218938827514648,506731,36228000,247018,-1.633979797363281,150534,-.8974285125732422,1098000,51335512,-.2175445556640625,2174000,4173200,3351366,-.1478309631347656,4238562,-.5388059616088867,407328,-.2957363128662109,713377,.9206867218017578,28005,-1.236237525939941,1316000,1191848,-.3723230361938477,589320,-.1483354568481445,47830,-1.164339065551758,412576,-.2368488311767578,matched (3),-1081894.3,.77614522,651420.69,1178960.6
201101,300390,612,1376,4789829,01,0,0,0,0,0,0,0,0,0,0,0,35257,1.495294570922852,75753,.381556510925293,450102,.901458740234375,1259000,28145,-.1761140823364258,103484,-.43414306640625,31810,42139,.1072902679443359,933000,1775771,-.2929506301879883,27308,19521,3821842,.1416330337524414,80874,.3770866394042969,988988,.0355691909790039,70385,.3685884475708008,19337,-1.596864700317383,592903,1467,147705,.0829887390136719,539504,.3081026077270508,1398000,44772,.5096426010131836,51875,34914,2.064262390136719,617770,.273472785949707,5752,.0235719680786133,54870,.8614606857299805,125951,170809,-.3490152359008789,669000,454195,7.230224609375,375459,39260000,769941,1.136853218078613,2134122,2.651620864868164,1228000,47255860,-.0828056335449219,2690000,4208944,2744800,-.1996593475341797,8104730,.648223876953125,903075,.7961874008178711,299982,-.8662872314453125,38009,.3054399490356445,1467000,603228,-.680964469909668,614159,.0412845611572266,106461,.8001251220703125,602082,.3779735565185547,matched (3),2517054.5,.77614522,1301073.9,1630457.8
201102,300390,613,1376,4091107,02,1,0,0,0,0,0,0,0,0,0,0,5293,-1.896278381347656,175362,.8393745422363281,3862,-4.758288383483887,331000,25171,-.1116771697998047,144435,.3334121704101563,48795,146348,1.245013236999512,1930000,1777236,.000823974609375,40005,19003,4044990,.0567464828491211,70323,-.1397933959960938,940714,-.0500431060791016,95173,.3017158508300781,602,-3.469518184661865,748593,58380,102068,-.3695774078369141,362149,-.3985939025878906,1043000,101964,.8230371475219727,35971,44437,.241185188293457,664133,.0723657608032227,5148,-.1109390258789063,146358,.9810895919799805,125797,380147,.8000116348266602,1231000,235680,-.6560516357421875,356870,28104000,529848,-.3737239837646484,437517,-1.584694862365723,1043000,65282104,.3231410980224609,2158000,3355745,2381179,-.1421127319335938,4675391,-.5501346588134766,1740624,.6561927795410156,71047,-1.440381050109863,86421,.8214082717895508,1331000,588636,-.0244874954223633,446745,-.3182659149169922,10165,-2.348828315734863,390047,-.4341268539428711,matched (3),1240071.6,.77614522,699724.5,1206322.4
201103,300390,614,1376,3183324,03,0,1,0,0,0,0,0,0,0,0,0,41795,2.066390991210938,30559,-1.747193336486816,50,-4.346917629241943,1078000,51645,.7187013626098633,122277,-.1665401458740234,96887,130863,-.1118364334106445,1780000,2851708,.4728593826293945,78772,18637,4843780,.1802158355712891,65785,-.0667076110839844,820818,-.1363382339477539,81715,-.1524581909179688,10146,2.824576854705811,618560,30437,135512,.2834205627441406,318883,-.1272315979003906,1491000,59231,-.5431747436523438,13397,108800,.8954381942749023,803163,.1900749206542969,30271,1.771581649780273,567813,1.355735778808594,123351,320806,-.1697216033935547,1449000,23167,-2.319746971130371,1018237,38730000,1152068,.7767238616943359,354309,-.2109460830688477,906000,83531392,.2465038299560547,2729000,4364935,5379234,.8149499893188477,7943152,.5299978256225586,365280,-1.561334609985352,394322,1.713826179504395,65529,-.276738166809082,1339000,862531,.3820629119873047,547347,.203094482421875,25848,.9332828521728516,476204,.1995792388916016,matched (3),3266301.8,.77614522,764503.81,1245016.1
201104,300390,615,1376,2866295,04,0,0,1,0,0,0,0,0,0,0,0,36361,-.1392793655395508,31349,.0255231857299805,233189,8.447582244873047,4000,34889,-.3922224044799805,127111,.0387716293334961,49493,83955,-.4438695907592773,1642000,1733574,-.4977331161499023,43138,9647,5466167,.1208829879760742,105437,.4717226028442383,653748,-.2275791168212891,178724,.7826051712036133,76,-4.894101142883301,333509,20,228767,.5236434936523438,457306,.3605279922485352,1060000,93362,.4550390243530273,36661,56632,-.6529369354248047,543164,-.3911457061767578,9766,-1.131282806396484,133993,-1.444004058837891,131118,297964,-.0738639831542969,1252000,54923,.8632040023803711,760883,37117000,296397,-1.357614517211914,275171,-.2527761459350586,752000,67741896,-.2095165252685547,2029000,3219735,4878068,-.0977964401245117,7807003,-.0172891616821289,602766,.5008649826049805,413084,.046483039855957,135597,.7271947860717773,1218000,939139,.0850925445556641,467747,-.1571550369262695,12709,-.7099227905273438,812781,.5346155166625977,matched (3),1571759.8,.77614522,764181.75,1244818.5
201105,300390,616,1376,5298578,05,0,0,0,1,0,0,0,0,0,0,0,9970,-1.293916702270508,80501,.9430875778198242,456004,.6706523895263672,735000,50651,.3727874755859375,323994,.935664176940918,59285,224056,.9816150665283203,3106000,2551251,.3863983154296875,103863,27582,4694854,-.1521110534667969,99795,-.0549955368041992,856176,.2697544097900391,144675,-.2113533020019531,35250,6.139487266540527,527622,84245,249341,.0861177444458008,490921,.0709304809570313,1474000,89327,-.0441808700561523,6124,64593,.1315317153930664,687759,.2360267639160156,30161,1.127642631530762,52771,-.9318256378173828,185538,488614,.4946002960205078,1853000,61889,.1194095611572266,1438398,32173000,911140,1.122997283935547,192658,-.3564767837524414,877000,66461640,-.0190811157226563,3341000,4950045,8156440,.5140581130981445,11051096,.347508430480957,1251436,.7305183410644531,602003,.3766117095947266,356681,.9671545028686523,1462000,1082898,.1424322128295898,677958,.3711576461791992,14825,.1540050506591797,900103,.1020469665527344,matched (3),1190809.6,.77614522,977551.19,1386075.6
201106,300390,617,1376,4328520,06,0,0,0,0,1,0,0,0,0,0,0,43058,1.462967872619629,66184,-.195831298828125,40277,-2.426721572875977,650000,29078,-.5549764633178711,71189,-1.515386581420898,41812,79845,-1.031808853149414,2490000,2488563,-.0248785018920898,2518,24088,4118853,-.1308927536010742,91264,-.0893621444702148,759925,-.1192569732666016,122780,-.1640958786010742,1449,-3.191591739654541,508256,76665,186183,-.2920913696289063,783614,.4676332473754883,1307000,51299,-.5546321868896484,76126,10295,-1.836447715759277,552087,-.2197322845458984,21551,-.3361282348632813,202612,1.345331192016602,140698,528902,.0792303085327148,1355000,1242,-3.908618927001953,1566127,24311000,418110,-.7789525985717773,151260,-.2419157028198242,888000,64866404,-.0242938995361328,2173000,3412868,6192308,-.2754993438720703,7646678,-.3682584762573242,1035508,-.1893997192382813,382696,-.4530210494995117,216571,-.4989233016967773,1642000,780087,-.3279905319213867,545737,-.2169485092163086,12896,-.1393985748291016,867783,-.0365676879882813,matched (3),-1903804.4,.77614522,1059788.9,1445251.5
201107,300390,618,1376,4953638,07,0,0,0,0,0,1,0,0,0,0,0,33287,-.2573814392089844,115803,.5594520568847656,885761,3.090666770935059,973000,63123,.7751026153564453,62303,-.1333293914794922,70108,119974,.4071874618530273,2539000,3048616,.2029829025268555,223146,53013,4199892,.0194845199584961,63821,-.3576736450195313,915475,.1862239837646484,71059,-.5468835830688477,19415,2.59517240524292,915877,11057,243170,.2670307159423828,1041044,.2840633392333984,1465000,139661,1.001546859741211,77096,43222,1.434691429138184,577789,.0455026626586914,29212,.3041582107543945,27501,-1.997071266174316,208322,676672,.2463836669921875,637000,107532,4.461065292358398,256257,33237000,1096429,.9640693664550781,212350,.3392353057861328,761000,69171440,.0642585754394531,2198000,5341700,6869182,.1037368774414063,7229145,-.0561504364013672,1074194,.0366783142089844,637332,.5100488662719727,227316,.0484218597412109,1111000,972676,.2206459045410156,749744,.3175945281982422,15864,.2071352005004883,661179,-.271916389465332,matched (3),476806.06,.77614522,955888.81,1370883.9
201108,300390,619,1376,4369579,08,0,0,0,0,0,0,1,0,0,0,0,31463,-.0563545227050781,9326,-2.519084930419922,756210,-.1581277847290039,294000,39580,-.4667606353759766,106045,.5318546295166016,51577,109909,-.0876226425170898,1824000,3157827,.0351963043212891,70367,25542,2320683,-.5931968688964844,8485,-2.017783164978027,913619,-.0020294189453125,27042,-.9661188125610352,110182,1.736087799072266,742279,70917,3775986,2.742655754089356,873474,-.1755008697509766,1589000,125432,-.1074542999267578,27966,49306,.1316967010498047,695616,.1855888366699219,2344,-2.522721290588379,153068,1.716660499572754,205676,111255,-1.805361747741699,813000,26681,-1.393836975097656,845563,42770000,771543,-.3514213562011719,358331,.5232210159301758,824000,81061928,.1586246490478516,2468000,5033614,4896315,-.33856201171875,8084400,.1118154525756836,463120,-.8413400650024414,286854,-.7983169555664063,108898,-.7359285354614258,1515000,807624,-.1859550476074219,989638,.2776079177856445,26047,.4958505630493164,686642,.0377883911132813,matched (3),227191.86,.77614522,784452.25,1257364.1
