period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1068c124,growth1068c124,Y1199c484,growth1199c484,Y1247c752,growth1247c752,Y1268c826,growth1268c826,Y1504c586,growth1504c586,Y1594c440,growth1594c440,Y1755c222,growth1755c222,Y1765c344,Y1783c32,Y2055c705,growth2055c705,Y2074c203,Y2150c352,growth2150c352,Y2346c705,growth2346c705,Y2355c152,growth2355c152,Y2464c218,Y2472c826,growth2472c826,Y2599c616,growth2599c616,Y2620c826,growth2620c826,Y2712c372,growth2712c372,Y2934c688,growth2934c688,Y3276c616,growth3276c616,Y3279c484,growth3279c484,Y3334c124,growth3334c124,Y3415c348,growth3415c348,Y3495c344,Y3603c608,Y3632c826,growth3632c826,Y3646c251,growth3646c251,Y3868c620,growth3868c620,Y3949c152,growth3949c152,Y3984c600,growth3984c600,Y4357c600,growth4357c600,Y4401c68,growth4401c68,Y4414c757,growth4414c757,Y4417c152,growth4417c152,Y4625c268,growth4625c268,Y4630c344,Y4748c32,Y4770c152,growth4770c152,Y4927c268,growth4927c268,Y4982c428,growth4982c428,Y4989c68,growth4989c68,Y573c68,growth573c68,Y599c372,growth599c372,Y629c554,Y663c428,growth663c428,Y667c705,growth667c705,Y674c428,growth674c428,Y829c268,growth829c268,Y855c826,growth855c826,_merge,x,r2,s,sf
201011,901890,610,4759,34312596,11,0,0,0,0,0,0,0,0,0,1,0,37286,3.025290966033936,364645,1.449636459350586,779429,.3836336135864258,2094053,.3695430755615234,1521109,.0329074859619141,101549,1.196865081787109,5960,-1.589749336242676,15763832,4682672,95906,-.2774744033813477,295901,1232858,.3881654739379883,141318,-.9518289566040039,14179,-.7270536422729492,1767505,1979089,.7857332229614258,103112,-1.17495059967041,1084137,.0819377899169922,52800,1.593467712402344,5422,-.9423589706420898,1379887,.2542009353637695,10861098,.0749416351318359,19781536,.1926040649414063,414428,.0087366104125977,1953405,40633,3185631,.0591764450073242,277564,-.2654075622558594,2472050,.1023702621459961,7643346,1.736001968383789,174081,-.156916618347168,82409,.3485145568847656,30908,.0959568023681641,7239126,-.0694398880004883,298340,.0253305435180664,69458,-.0265522003173828,795047,1648932,816145,.3211479187011719,11357,.1363906860351563,104466,-.1421737670898438,61411,.3718090057373047,40365,.0821113586425781,402897,-.1193571090698242,919247,718939,.1769895553588867,1254687,.1240520477294922,754943,.1745738983154297,3028083,.6025228500366211,3623952,.2897768020629883,matched (3),45349568,.91917032,1652324,2675379.5
201012,901890,611,4759,39852460,12,0,0,0,0,0,0,0,0,0,0,1,153563,1.415493011474609,542860,.3979272842407227,1155508,.3937339782714844,459475,-1.516772270202637,1584822,.0410327911376953,28888,-1.257115364074707,11999,.6997528076171875,18512968,4550057,142194,.3938236236572266,437136,2180810,.5703611373901367,187457,.2825374603271484,17482,.2094097137451172,2276609,879995,-.8104753494262695,354269,1.234240531921387,707375,-.4269781112670898,10076,-1.656354904174805,56652,2.346462249755859,1107274,-.2201004028320313,7290491,-.3986177444458008,10130454,-.6692028045654297,275632,-.407832145690918,2066811,71312,3230549,.0140018463134766,420679,.4158182144165039,2550696,.0313186645507813,6485070,-.1643333435058594,423959,.8901157379150391,102343,.2166347503662109,39061,.2341098785400391,8522975,.1632652282714844,441064,.390955924987793,36253,-.6501998901367188,894521,2758989,853841,.0451526641845703,15319,.299260139465332,193212,.6149263381958008,52001,-.166325569152832,85841,.7545337677001953,313869,-.2497053146362305,885792,511081,-.3412485122680664,1139389,-.0963935852050781,813362,.0745344161987305,2287065,-.2806596755981445,2424313,-.4020175933837891,matched (3),36572440,.91917032,1004799.4,2331759.5
201101,901890,612,4759,41456084,01,0,0,0,0,0,0,0,0,0,0,0,139405,-.0967273712158203,320619,-.5265979766845703,1249347,.0780811309814453,449960,-.0209255218505859,1366802,-.1479988098144531,50488,.5583095550537109,27958,.8458805084228516,20813328,2351282,152232,.0682134628295898,233680,464692,-1.546076774597168,413754,.791722297668457,87286,1.60801887512207,2498015,2309576,.9649028778076172,693594,.6718301773071289,973765,.3196086883544922,11324,.1167678833007813,6058,-2.235547065734863,1215786,.0934896469116211,11262484,.4349069595336914,21675386,.7606315612792969,408803,.3941669464111328,1524564,161184,4026800,.2203197479248047,621868,.3908576965332031,1167215,-.7817459106445313,2356575,-1.012292861938477,895506,.7477521896362305,36487,-1.031373977661133,62668,.4727268218994141,8339557,-.0217552185058594,364064,-.1918601989746094,73703,.7095212936401367,1750909,2751552,1077620,.2327651977539063,14621,-.046635627746582,481696,.9135255813598633,157451,1.107851028442383,112734,.2725343704223633,335145,.0655879974365234,525262,560282,.0919122695922852,917240,-.2168788909912109,537577,-.4141044616699219,3365025,.3861656188964844,3875881,.4692249298095703,matched (3),34092932,.91917032,1483166.9,2574347.5
201102,901890,613,4759,30773366,02,1,0,0,0,0,0,0,0,0,0,0,7974,-2.861197471618652,152130,-.745518684387207,2088488,.5138187408447266,1821127,1.398051261901856,1463532,.0683794021606445,37046,-.309575080871582,10542,-.9753360748291016,8220059,1067671,117426,-.2595968246459961,178215,326865,-.3518276214599609,289570,-.3568744659423828,14584,-1.789265632629395,2337584,1076476,-.763371467590332,126227,-1.703804969787598,695429,-.3366413116455078,7734,-.3812980651855469,3935,-.4314689636230469,1667580,.3159828186035156,6449683,-.5574464797973633,17756664,-.1994152069091797,344351,-.1715726852416992,844803,53321,2464657,-.4909191131591797,477142,-.2649135589599609,2037990,.5573434829711914,1485231,-.461639404296875,811256,-.0988054275512695,83500,.8278903961181641,22923,-1.005710601806641,7432166,-.1151924133300781,450782,.213653564453125,10068,-1.990681648254395,721069,1741224,561273,-.6523027420043945,27367,.6268796920776367,326093,-.3901309967041016,126240,-.2209291458129883,131019,.1503105163574219,304766,-.0950193405151367,380030,490967,-.1320629119873047,858307,-.0664072036743164,374148,-.3624200820922852,1006748,-1.206709861755371,1880459,-.7232570648193359,matched (3),40273000,.91917032,1372886.3,2512428.5
201103,901890,614,4759,31763962,03,0,1,0,0,0,0,0,0,0,0,0,59387,2.007889747619629,587265,1.350741386413574,1061292,-.6769533157348633,2333248,.2478065490722656,2181176,.3990116119384766,93324,.9239168167114258,25660,.8895664215087891,16153730,3276245,155308,.2796010971069336,196658,336354,.0286169052124023,267134,-.0806474685668945,147814,2.316030502319336,2193029,1467810,.3100786209106445,361903,1.053294181823731,726008,.0430326461791992,15234,.6779031753540039,23956,1.806307792663574,2468570,.3922653198242188,9921774,.4307012557983398,20711728,.1539382934570313,478458,.3289070129394531,1443952,60098,4470209,.5953817367553711,468477,-.0183267593383789,2618722,.2507228851318359,2353256,.4602298736572266,1063997,.271204948425293,39770,-.7417335510253906,27617,.1862907409667969,7998523,.0734395980834961,777950,.5456790924072266,155324,2.736151695251465,639987,1996971,1026701,.6038990020751953,10712,-.9379739761352539,1005355,1.125913619995117,129273,.0237417221069336,137347,.0471687316894531,483381,.4612607955932617,536056,665744,.3045282363891602,1334707,.4415054321289063,695219,.6195755004882813,1929164,.6503610610961914,2159931,.1385602951049805,matched (3),33493618,.91917032,1640153.8,2667880.3
201104,901890,615,4759,29909060,04,0,0,1,0,0,0,0,0,0,0,0,102613,.5468893051147461,477960,-.2059497833251953,1459826,.3188304901123047,1498305,-.442927360534668,1989886,-.0917873382568359,71676,-.263920783996582,21549,-.1746044158935547,17084584,3772189,35868,-1.465563774108887,469553,356216,.057373046875,128278,-.7335500717163086,102527,-.3658285140991211,1814108,1053365,-.3317813873291016,107427,-1.214564323425293,854353,.1627836227416992,25263,.5058116912841797,5661,-1.442618370056152,2364558,-.0430479049682617,10930767,.0968494415283203,15046893,-.3195285797119141,227693,-.7425699234008789,1617724,42952,3844856,-.1506986618041992,871705,.6209640502929688,2300270,-.1296606063842773,1827303,-.2529582977294922,520617,-.7147731781005859,60214,.4147920608520508,9617,-1.054899215698242,7040928,-.1275177001953125,747064,-.0405120849609375,354719,.8258123397827148,610944,2806797,766856,-.2918071746826172,2025,-1.665794372558594,537164,-.6267929077148438,176127,.3092784881591797,48370,-1.043630599975586,407009,-.1719694137573242,754562,892911,.2935810089111328,2178045,.489715576171875,565277,-.2069110870361328,5728211,1.088316917419434,2009006,-.0724363327026367,matched (3),43210984,.91917032,1357608.9,2504113
201105,901890,616,4759,32823902,05,0,0,0,1,0,0,0,0,0,0,0,136920,.2884321212768555,652853,.3118257522583008,1987099,.3083591461181641,566727,-.9722118377685547,1638223,-.1944646835327148,100230,.3353109359741211,15200,-.349034309387207,18241496,3522586,73017,.710845947265625,209491,1248906,1.254486083984375,348550,.9995813369750977,43835,-.8496942520141602,1472761,1585894,.4091587066650391,205349,.6478996276855469,880131,.0297260284423828,29474,.1541671752929688,25215,1.493839263916016,4168481,.566960334777832,9887336,-.1003265380859375,19668666,.2678546905517578,454636,.6914987564086914,1486926,45375,3337012,-.1416606903076172,614655,-.3493900299072266,2389680,.0381336212158203,3888015,.7550573348999023,606163,.1521339416503906,85380,.3492069244384766,44428,1.530337333679199,7137186,.0135793685913086,520957,-.3604831695556641,198373,-.5811767578125,635448,2511403,815236,.0611782073974609,71378,3.562419891357422,647461,.1867551803588867,141986,-.2154769897460938,157178,1.178499221801758,336613,-.1899013519287109,536135,950320,.062312126159668,2287576,.0490655899047852,949909,.5190496444702148,4365111,-.2717599868774414,1650976,-.1962728500366211,matched (3),29659066,.91917032,1891473.5,2829337.8
201106,901890,617,4759,37428320,06,0,0,0,0,1,0,0,0,0,0,0,193654,.3466758728027344,424099,-.4313850402832031,899739,-.7923269271850586,1112651,.6746234893798828,1925252,.1614446640014648,169837,.5273714065551758,18907,.2182369232177734,15977235,6678871,205227,1.033424377441406,237301,420870,-1.087699890136719,453473,.2631540298461914,81665,.6221933364868164,1640093,2258681,.353632926940918,271287,.2784662246704102,1038498,.1654596328735352,9692,-1.112207412719727,38385,.42022705078125,3904984,-.0652980804443359,15644676,.4588756561279297,16718161,-.1625308990478516,553276,.1963596343994141,3030282,77294,5139135,.4318094253540039,754579,.2050991058349609,3270047,.3136444091796875,5291375,.3081789016723633,1121581,.6153459548950195,78406,-.0852108001708984,19203,-.8388032913208008,10173780,.3544950485229492,708935,.3080968856811523,518443,.9606809616088867,660451,2747164,1515411,.619964599609375,13577,-1.659612655639648,679759,.048680305480957,235386,.5054988861083984,183565,.1551895141601563,341973,.0157976150512695,644601,1804065,.6409988403320313,2235869,-.0228633880615234,797348,-.175074577331543,6839350,.4490489959716797,6251732,1.331491470336914,matched (3),42045136,.91917032,2139908.3,3001114.5
201107,901890,618,4759,35589828,07,0,0,0,0,0,1,0,0,0,0,0,240883,.2182388305664063,778918,.6079387664794922,2436790,.9963321685791016,868517,-.2477140426635742,1936940,.0060520172119141,91153,-.6222991943359375,12872,-.3844776153564453,14541376,5730489,80646,-.934046745300293,186259,1388724,1.193817138671875,565462,.220707893371582,48130,-.5287199020385742,969342,1693506,-.2879800796508789,262705,-.0321455001831055,874488,-.1718921661376953,11311,.154475212097168,44590,.1498432159423828,3265953,-.1787014007568359,9332145,-.5166664123535156,18873512,.1212635040283203,399820,-.3248424530029297,2848231,94459,5047235,-.0180444717407227,464322,-.4855823516845703,4788974,.3815116882324219,1930189,-1.00846004486084,1039060,-.0764226913452148,110497,.3430871963500977,12841,-.4024229049682617,10527493,.0341758728027344,558379,-.2387266159057617,322596,-.4744291305541992,1284210,2802792,1299092,-.1540212631225586,58445,1.459709167480469,315246,-.7683849334716797,161889,-.3743162155151367,16670,-2.398958206176758,280618,-.1977376937866211,465692,968096,-.6224660873413086,1999900,-.1115322113037109,1054450,.2794837951660156,1281523,-1.674643516540527,1995608,-1.141909599304199,matched (3),35891560,.91917032,1803679.6,2771415
201108,901890,619,4759,34926748,08,0,0,0,0,0,0,1,0,0,0,0,142082,-.5279073715209961,596485,-.2668523788452148,2103659,-.147003173828125,1041577,.1817035675048828,1847381,-.0473403930664063,154428,.5271883010864258,24927,.6608972549438477,15254107,6261305,306834,1.336236953735352,177925,1025188,-.3035097122192383,432827,-.2673053741455078,32344,-.3974771499633789,1532562,947609,-.5806150436401367,176722,-.396453857421875,1193739,.3112077713012695,8316,-.3075942993164063,66129,.3940973281860352,2549606,-.2476129531860352,8767349,-.0624303817749023,17977652,-.0486297607421875,482527,.1880226135253906,1661136,146417,3789632,-.2865715026855469,859590,.6158781051635742,2956580,-.4822826385498047,2708792,.3388853073120117,808799,-.2505216598510742,44974,-.8989038467407227,26971,.7421188354492188,8104707,-.2615451812744141,381329,-.3813753128051758,323323,.0022506713867188,757081,2195314,842177,-.4334306716918945,23475,-.9121503829956055,300760,-.0470409393310547,187668,.1477632522583008,160946,2.267457962036133,179273,-.4480838775634766,779630,909059,-.0629215240478516,1730338,-.144780158996582,960660,-.0931549072265625,2156054,.5202302932739258,5452256,1.005081176757813,matched (3),36342508,.91917032,1703978.1,2707586
