period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1025c203,Y1386c68,growth1386c68,Y1474c222,growth1474c222,Y1486c688,growth1486c688,Y1531c381,Y1571c348,growth1571c348,Y1718c705,growth1718c705,Y1760c818,Y1798c826,growth1798c826,Y1810c300,growth1810c300,Y1820c807,growth1820c807,Y1823c233,Y2012c251,growth2012c251,Y2128c757,growth2128c757,Y2677c620,growth2677c620,Y2807c440,growth2807c440,Y2876c68,Y2900c352,growth2900c352,Y2946c807,growth2946c807,Y2963c233,Y3106c251,growth3106c251,Y3108c300,growth3108c300,Y3225c484,growth3225c484,Y323c352,growth323c352,Y3417c352,growth3417c352,Y3457c300,growth3457c300,Y3528c208,growth3528c208,Y3690c757,growth3690c757,Y3709c705,growth3709c705,Y3738c348,growth3738c348,Y3761c300,growth3761c300,Y3787c222,growth3787c222,Y4066c440,growth4066c440,Y4160c703,Y4175c705,growth4175c705,Y4181c428,growth4181c428,Y4319c300,growth4319c300,Y4325c222,growth4325c222,Y4396c703,growth4396c703,Y4613c688,Y4614c792,growth4614c792,Y4800c300,growth4800c300,Y4846c620,growth4846c620,Y4887c191,growth4887c191,Y5015c381,Y5019c352,growth5019c352,Y5031c203,Y619c222,growth619c222,Y625c300,growth625c300,Y744c484,growth744c484,_merge,x,r2,s,sf
201011,760611,610,3583,8354876,11,0,0,0,0,0,0,0,0,0,1,0,300762,13676,-.6706304550170898,174511,-.1696767807006836,450963,.6845817565917969,477466,349368,.5402183532714844,362350,.0866832733154297,1391533,202933,.3469247817993164,264525,.9359035491943359,14903,-.5421619415283203,67176,274383,-.4479026794433594,1265356,-.0490350723266602,554989,.652857780456543,16648,-.8245859146118164,11476,2547,-1.55870246887207,12044,1.49939775466919,1043558,116929,-1.055136680603027,780426,-.4203605651855469,512992,-.2793684005737305,70915,.194422721862793,11561,.1625032424926758,346365,.1022615432739258,79532,-1.074389457702637,1349027,.0884075164794922,19147,-1.565382957458496,38681,-.1909408569335938,158177,.4425230026245117,16476,-3.500710487365723,8045,-.2667045593261719,0,845316,-.323216438293457,24710,-.0973310470581055,107167,-.1362333297729492,14926,-.3153667449951172,1175193,-.1488809585571289,137714,62193996,-.1037673950195313,1778805,-.4029102325439453,3529,-1.972553253173828,137845,.1996536254882813,37042,16005,.8903875350952148,559443,43674,-.1013612747192383,238078,-.2362937927246094,22741,-.4721002578735352,matched (3),5356867,.78285015,3807625.3,6537796.5
201012,760611,611,3583,6528160,12,0,0,0,0,0,0,0,0,0,0,1,235633,26598,.6651935577392578,214561,.2066059112548828,301005,-.4042577743530273,550022,153440,-.8228158950805664,144531,-.9191160202026367,1282756,182124,-.1081886291503906,263802,-.0027370452880859,25844,.5505161285400391,62510,420097,.4259605407714844,1050835,-.1857681274414063,403419,-.3189725875854492,9690,-.5411949157714844,5439,6137,.879420280456543,6399,-.6324253082275391,899955,303589,.9541082382202148,852276,.0880699157714844,333387,-.4309568405151367,42626,-.5090169906616211,26403,.8258399963378906,334613,-.0345182418823242,52689,-.4117527008056641,1153778,-.156341552734375,11132,-.5423221588134766,28658,-.2999153137207031,155595,-.0164585113525391,20006,.194127082824707,6379,-.2320394515991211,217960,983434,.1513404846191406,15481,-.467595100402832,59298,-.5918130874633789,15345,.0276851654052734,646147,-.5981607437133789,75074,68461064,.09600830078125,868574,-.7168445587158203,12674,1.278537750244141,50587,-1.002435684204102,25023,11711,-.3123722076416016,482317,38177,-.1345195770263672,178000,-.2908153533935547,52341,.8336105346679688,matched (3),-7412091,.78285015,3570881.8,6402809.5
201101,760611,612,3583,4684128,01,0,0,0,0,0,0,0,0,0,0,0,125744,3311,-2.083585739135742,180934,-.1704616546630859,154262,-.6684751510620117,326104,254268,.5050792694091797,122039,-.1691532135009766,1168927,117614,-.4372797012329102,104756,-.9235649108886719,7056,-1.298200607299805,47121,252664,-.5084257125854492,867190,-.192082405090332,328617,-.205082893371582,5988,-.4813375473022461,1673,432,-2.653666019439697,5316,-.1854209899902344,1169214,191810,-.4591693878173828,789229,-.0768537521362305,515926,.4366598129272461,80537,.6362514495849609,1279,-3.027398586273193,214588,-.4442548751831055,50180,-.0487899780273438,1478343,.2478799819946289,24414,.7853326797485352,22071,-.2611684799194336,37328,-1.427512168884277,16544,-.1900091171264648,11706,.6070899963378906,98811,861283,-.1326274871826172,19011,.2054042816162109,31543,-.6312236785888672,16641,.0810794830322266,365009,-.5711050033569336,45423,55846664,-.2036571502685547,2478013,1.048358917236328,24337,.6524457931518555,62978,.2190914154052734,56219,6274,-.624114990234375,393505,43873,.1390657424926758,101042,-.5662469863891602,36476,-.3611259460449219,matched (3),-22471694,.78285015,4574166.5,7011973.5
201102,760611,613,3583,19112250,02,1,0,0,0,0,0,0,0,0,0,0,311852,32490,2.283682823181152,237888,.2736682891845703,329590,.7591972351074219,493425,291706,.1373577117919922,188816,.436431884765625,1298427,243034,.7257928848266602,345306,1.19279670715332,13189,.6255054473876953,59223,264941,.0474472045898438,990269,.1327180862426758,191034,-.5424413681030273,5266,-.1284866333007813,11258,6699,2.741287708282471,7670,.3665962219238281,1655815,174038,-.0972318649291992,831006,.0515804290771484,408720,-.2329330444335938,40122,-.6967916488647461,4911,1.345399379730225,207629,-.0329666137695313,82508,.4972782135009766,1569451,.0598039627075195,22627,-.0760126113891602,9036,-.8930482864379883,82071,.7878408432006836,3545,-1.540485382080078,18071,.4342069625854492,152159,978623,.1277227401733398,15307,-.2167072296142578,91271,1.062480926513672,9794,-.5300989151000977,487515,.2893991470336914,75556,65735016,.1630229949951172,2690109,.0821247100830078,17914,-.3064155578613281,63252,.0043411254882813,61748,7355,.158966064453125,384779,62585,.3552265167236328,282780,1.029132843017578,16648,-.7843647003173828,matched (3),-3207961.3,.78285015,4514355,6973103.5
201103,760611,614,3583,20490398,03,0,1,0,0,0,0,0,0,0,0,0,2110111,106124,1.183675765991211,244254,.0264081954956055,346319,.0495109558105469,3153667,274100,-.0622539520263672,420308,.8002147674560547,1067139,288855,.1727237701416016,149495,-.8371677398681641,10451,-.2326860427856445,67433,428103,.4798564910888672,1443965,.377171516418457,205913,.0750026702880859,34780,1.887771606445313,7278,2578,-.9549441337585449,4114,-.6229209899902344,1482690,253858,.3775014877319336,1042688,.2269201278686523,794609,.6648197174072266,56716,.3461313247680664,5351,.0858058929443359,290661,.3364048004150391,166630,.702880859375,1460986,-.0716142654418945,25154,.1058731079101563,50564,1.722023963928223,94703,.1431608200073242,13255,1.31883716583252,14443,-.2240991592407227,249406,1501614,.4281492233276367,15870,.0361204147338867,168744,.6145496368408203,31324,1.162613868713379,484743,-.005702018737793,71015,78419856,.1764450073242188,3385504,.2299213409423828,17346,-.0322208404541016,85101,.2967119216918945,98623,11062,.4081354141235352,479676,44589,-.3390388488769531,152813,-.6154546737670898,31650,.6424484252929688,matched (3),-6113334.5,.78285015,4652153.5,7063095
201104,760611,615,3583,10096622,04,0,0,1,0,0,0,0,0,0,0,0,710128,28230,-1.324223518371582,253691,.0379085540771484,284570,-.196380615234375,708452,356082,.2616682052612305,263815,-.4657392501831055,1230607,164860,-.5608282089233398,236531,.4588165283203125,27460,.9660329818725586,63299,240878,-.5750732421875,1502820,.0399503707885742,796998,1.353398323059082,6097,-1.741245269775391,19635,907,-1.044626712799072,17448,1.444828987121582,632343,89150,-1.046454429626465,1178308,.1222782135009766,527236,-.4102020263671875,56089,-.0111160278320313,2189,-.8938388824462891,581146,.6928443908691406,182836,.0928134918212891,1426306,-.0240240097045898,13991,-.5866031646728516,38502,-.2725305557250977,51601,-.6072044372558594,13008,-.0188102722167969,11992,-.185969352722168,84645,1258560,-.1765718460083008,11381,-.3324851989746094,150226,-.116241455078125,12234,-.9401655197143555,452352,-.0691585540771484,94863,75720208,-.0350322723388672,2420190,-.3356561660766602,55353,1.160368919372559,53113,-.4714174270629883,85742,7365,-.4067764282226563,381038,35594,-.2253093719482422,305058,.6912870407104492,23368,-.303370475769043,matched (3),3145062.3,.78285015,4892208,7223467
201105,760611,616,3583,7866698,05,0,0,0,1,0,0,0,0,0,0,0,217597,26184,-.0752363204956055,249221,-.0177774429321289,395499,.3291683197021484,1433020,227181,-.4494132995605469,345915,.2709445953369141,963055,79406,-.7305221557617188,112658,-.7417230606079102,8046,-1.227555274963379,62326,284142,.1651830673217773,1210198,-.2165594100952148,558193,-.3561477661132813,4247,-.3615846633911133,4901,872,-.0393528938293457,4518,-1.351155281066895,1236112,104867,.1623716354370117,996763,-.1673221588134766,478319,-.0973701477050781,50656,-.1018819808959961,6433,1.077996253967285,207697,-1.028922080993652,110807,-.5007991790771484,1308434,-.0862560272216797,34804,.9113187789916992,32383,-.1730756759643555,39427,-.2690906524658203,8284,-.4512386322021484,10295,-.1525821685791016,658689,1086013,-.1474552154541016,35658,1.142027854919434,100735,-.3996477127075195,10618,-.1416683197021484,552932,.2007741928100586,70959,71023112,-.0640392303466797,1834626,-.2770061492919922,19712,-1.032503128051758,86281,.4851884841918945,102557,6229,-.1675233840942383,338577,19798,-.5865964889526367,337630,.1014490127563477,18805,-.2172451019287109,matched (3),4601901,.78285015,4641044.5,7055782.5
201106,760611,617,3583,10686749,06,0,0,0,0,1,0,0,0,0,0,0,848230,22526,-.1504783630371094,214832,-.1484832763671875,253019,-.4466829299926758,928213,200396,-.1254520416259766,404620,.1567554473876953,1409381,203171,.9394741058349609,279847,.909886360168457,21669,.9907073974609375,61537,306594,.0760507583618164,1592774,.274693489074707,374351,-.3995113372802734,6751,.4634780883789063,5710,1880,.7682375907897949,1661,-1.000649929046631,1499186,119536,.130925178527832,773254,-.2539052963256836,777130,.4853296279907227,87083,.5418033599853516,20694,1.168402671813965,276250,.2852258682250977,229891,.7298154830932617,1256844,-.0402278900146484,27146,-.2485027313232422,36128,.1094341278076172,38934,-.0125827789306641,188735,3.126017570495606,20548,.691105842590332,111378,1080952,-.0046710968017578,10958,-1.179903030395508,114874,.131342887878418,25167,.8629837036132813,583189,.0532770156860352,71775,83962368,.1673641204833984,2507987,.3126401901245117,23221,.1638298034667969,105297,.1991748809814453,67854,18440,1.085306167602539,386160,29447,.3970108032226563,432460,.2475395202636719,43079,.8289127349853516,matched (3),11551893,.78285015,4679240.5,7080965
201107,760611,618,3583,8250203,07,0,0,0,0,0,1,0,0,0,0,0,650153,12522,-.5871829986572266,210224,-.0216827392578125,232023,-.0866289138793945,778857,91589,-.782984733581543,218254,-.6172885894775391,738446,77075,-.9692697525024414,232546,-.185154914855957,25149,.1489353179931641,67768,285266,-.0721025466918945,1357388,-.1599149703979492,385028,.0281229019165039,29373,1.470385551452637,7706,9867,1.657923698425293,7419,1.49662446975708,1069943,114897,-.039581298828125,739389,-.0447835922241211,770569,-.0084781646728516,73756,-.1660985946655273,5541,-1.317668914794922,306762,.1047658920288086,95512,-.8783531188964844,1834628,.3782377243041992,19789,-.3161039352416992,16461,-.7860746383666992,30126,-.2564792633056641,8349,-3.118202209472656,1924,-2.368357658386231,102915,879865,-.2058286666870117,53939,1.593783378601074,69794,-.4982881546020508,22532,-.1105976104736328,521649,-.1115169525146484,116661,75760560,-.1027908325195313,1287383,-.6668691635131836,12222,-.641819953918457,40049,-.9666805267333984,89920,5777,-1.160636901855469,367269,42220,.3603019714355469,202050,-.7609748840332031,46313,.0723876953125,matched (3),-14825723,.78285015,5270705.5,7484992.5
201108,760611,619,3583,33318224,08,0,0,0,0,0,0,1,0,0,0,0,155521,78482,1.835381507873535,275799,.2714986801147461,357935,.4335155487060547,262047,341607,1.316349983215332,244160,.1121635437011719,1204118,266425,1.240314483642578,118344,-.6754922866821289,15180,-.5048389434814453,68101,545837,.6488981246948242,1116909,-.1949968338012695,43930,-2.170719146728516,70141,.8704319000244141,10915,10635,.0749549865722656,5593,-.2825279235839844,1676840,56899,-.7027587890625,409880,-.5899600982666016,629784,-.2017526626586914,127814,.5498132705688477,8484,.4260072708129883,237592,-.2555170059204102,171055,.582733154296875,1102881,-.508915901184082,32611,.4995231628417969,28356,.5438451766967773,30092,-.001129150390625,16374,.673553466796875,5809,1.105002403259277,116594,1101784,.2249174118041992,56213,.0412940979003906,124096,.5755071640014648,37497,.5093240737915039,626961,.1838893890380859,67428,60085672,-.2318077087402344,1093525,-.1632051467895508,22873,.6267194747924805,63556,.461817741394043,18703,51760,2.192732810974121,516922,58581,.3275165557861328,226748,.1153240203857422,25566,-.5941600799560547,matched (3),11595946,.78285015,4443102,6927188
