period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1159c246,growth1159c246,Y1317c705,growth1317c705,Y1418c826,growth1418c826,Y1468c705,growth1468c705,Y1470c208,growth1470c208,Y1712c124,growth1712c124,Y1971c348,growth1971c348,Y2017c251,growth2017c251,Y2072c152,growth2072c152,Y2117c246,growth2117c246,Y2124c752,growth2124c752,Y2209c246,growth2209c246,Y2307c208,growth2307c208,Y25c152,growth25c152,Y2671c703,growth2671c703,Y2731c440,growth2731c440,Y2763c268,growth2763c268,Y2960c752,growth2960c752,Y3110c752,growth3110c752,Y3142c484,growth3142c484,Y3209c268,growth3209c268,Y3340c752,growth3340c752,Y3427c484,growth3427c484,Y3452c348,growth3452c348,Y3501c752,growth3501c752,Y3604c752,growth3604c752,Y3709c484,growth3709c484,Y3981c752,growth3981c752,Y4071c152,growth4071c152,Y408c600,growth408c600,Y4252c208,growth4252c208,Y4267c586,growth4267c586,Y4420c68,growth4420c68,Y4431c792,growth4431c792,Y4437c152,growth4437c152,Y4579c600,growth4579c600,Y4701c246,growth4701c246,Y4763c554,Y4777c703,growth4777c703,Y4851c344,Y4886c807,growth4886c807,Y4894c792,growth4894c792,Y533c705,growth533c705,Y583c32,Y633c616,growth633c616,Y641c440,growth641c440,Y890c703,growth890c703,Y913c251,growth913c251,Y915c251,growth915c251,Y959c222,growth959c222,_merge,x,r2,s,sf
201001,841350,600,3837,20265716,01,0,0,0,0,0,0,0,0,0,0,0,35874,,51473,,475202,,42610,,206170,,3171237,,345643,,586660,,278521,,790661,,333656,,198079,,79625,,32655010,,21761,,6023,,79307,,239947,,632908,,587152,,80899,,5526265,,1901837,,2055,,2616197,,414680,,578379,,2078639,,28932,,17065,,1594579,,354030,,127772,,292935,,1137357,,5889952,,2897,,532465,101287,,334150,12534,,51266,,168986,,21690,3725331,,38595,,144596,,230043,,6350,,871450,,matched (3),,.92411417,,
201002,841350,601,3837,20673694,02,1,0,0,0,0,0,0,0,0,0,0,347841,2.271732330322266,32403,-.4628067016601563,796278,.5162086486816406,76827,.5894670486450195,165607,-.2190828323364258,3258241,.0270662307739258,353808,.0233478546142578,412404,-.3524417877197266,451657,.4834299087524414,562069,-.3412446975708008,271278,-.2069664001464844,207030,.0441970825195313,54559,-.3780460357666016,48174376,.3888301849365234,28833,.2814006805419922,7764,.2539119720458984,294702,1.312638282775879,402852,.5181512832641602,644873,.0187292098999023,736104,.2260875701904297,61220,-.2787275314331055,3471242,-.4649991989135742,2415845,.2392282485961914,18871,2.217350482940674,2376443,-.0961170196533203,429208,.0344343185424805,656010,.1259469985961914,2788368,.2937431335449219,34031,.1623239517211914,16163,-.0543050765991211,4023937,.9256505966186523,160000,-.7942075729370117,105209,-.1942977905273438,128641,-.8229246139526367,1767791,.4410238265991211,7841648,.2862014770507813,4817,.5084762573242188,690120,105438,.0401649475097656,266104,1545,-2.09342098236084,85922,.5164127349853516,236539,.3362970352172852,57196,3737182,.0031757354736328,19444,-.6855840682983398,83898,-.5443410873413086,419793,.6014957427978516,17817,1.031698226928711,351870,-.9068965911865234,matched (3),22489586,.92411417,2373612.8,4965624.5
201003,841350,602,3837,23855328,03,0,1,0,0,0,0,0,0,0,0,0,857340,.9020891189575195,57612,.5754795074462891,1080476,.3052082061767578,112702,.3831911087036133,175861,.0600757598876953,4362134,.291773796081543,436757,.2106227874755859,588165,.3550033569335938,302278,-.401576042175293,599107,.0638160705566406,526931,.6639251708984375,254114,.2049198150634766,33492,-.48797607421875,61033732,.2365989685058594,67868,.856043815612793,67124,2.157044410705566,569068,.6580352783203125,701935,.555272102355957,962410,.4003868103027344,1042449,.347956657409668,84225,.3190174102783203,4676031,.2979373931884766,2987962,.2125425338745117,6185,-1.115499496459961,3867802,.4870815277099609,581423,.3035364151000977,1060077,.4799203872680664,3729619,.2908496856689453,56523,.5073757171630859,23124,.3581457138061523,2597505,-.4377098083496094,269787,.5224590301513672,557219,1.667009353637695,384011,1.093645095825195,2976127,.5208921432495117,9576622,.1998748779296875,16923,1.256522178649902,888147,269528,.9385499954223633,780285,16855,2.389623641967773,170789,.6869888305664063,343364,.3726787567138672,41318,6770121,.5941867828369141,58349,1.098903656005859,183609,.7832059860229492,720313,.5399236679077148,46609,.9616403579711914,950464,.9936885833740234,matched (3),40365040,.92411417,2313167.5,4937016.5
201004,841350,603,3837,21552850,04,0,0,1,0,0,0,0,0,0,0,0,410423,-.7366456985473633,3666,-2.754629135131836,914968,-.1662673950195313,90812,-.2159557342529297,108214,-.4855823516845703,4391335,.0066719055175781,40558,-2.376644134521484,329172,-.5804271697998047,446954,.391108512878418,519615,-.1423521041870117,209656,-.9216012954711914,134640,-.6351785659790039,34672,.0346260070800781,45417376,-.2955322265625,64223,-.0552024841308594,26826,-.917170524597168,620683,.0868206024169922,578623,-.1931896209716797,794138,-.1921834945678711,677774,-.4305143356323242,89654,.0624666213989258,3694706,-.2355489730834961,2747073,-.0840549468994141,20460,1.196344375610352,3118524,-.2153263092041016,391357,-.3958578109741211,1177988,.1054668426513672,2719296,-.3159332275390625,44423,-.2408905029296875,19036,-.1945390701293945,1423482,-.601445198059082,138938,-.663604736328125,46805,-2.476968765258789,237081,-.482269287109375,1782170,-.512791633605957,8821653,-.0821151733398438,16760,-.009678840637207,623295,201250,-.2921247482299805,403247,8305,-.707789421081543,90576,-.6342401504516602,242254,-.3488044738769531,17220,5882695,-.1405038833618164,37846,-.4329166412353516,98010,-.6277389526367188,340582,-.7490301132202148,125000,.9865198135375977,306600,-1.131406784057617,matched (3),24745754,.92411417,2078124.6,4831355
201005,841350,604,3837,26361788,05,0,0,0,1,0,0,0,0,0,0,0,289166,-.3501873016357422,36034,2.285361289978027,595149,-.4300775527954102,78277,-.1485376358032227,316042,1.07176399230957,4187012,-.0476465225219727,341750,2.131346702575684,553705,.5200519561767578,486384,.0845422744750977,447847,-.1486368179321289,351646,.5171566009521484,151911,.1206903457641602,38267,.0986557006835938,47462392,.0440425872802734,39912,-.4756851196289063,12685,-.7489509582519531,419439,-.391901969909668,715626,.2125062942504883,753189,-.0529413223266602,525329,-.2547893524169922,130014,.3716840744018555,4107544,.1059236526489258,2842545,.0341634750366211,4835,-1.44258975982666,2759080,-.122462272644043,432927,.1009483337402344,1127183,-.0440864562988281,3261696,.1818742752075195,40698,-.0875778198242188,22446,.1647806167602539,2297997,.4789323806762695,357801,.945948600769043,163593,1.251391410827637,283632,.1792764663696289,932163,-.6480789184570313,6267554,-.341822624206543,11328,-.3917179107666016,1194196,307904,.4252405166625977,408262,12558,.4134998321533203,75685,-.1796092987060547,298054,.2072877883911133,37356,6037907,.0260429382324219,8782,-1.460821151733398,139993,.3565235137939453,514371,.4122886657714844,34964,-1.273994445800781,446272,.3753852844238281,matched (3),22847084,.92411417,2023046.8,4807921.5
201006,841350,605,3837,26534614,06,0,0,0,0,1,0,0,0,0,0,0,475039,.4963951110839844,47741,.2813282012939453,2035424,1.229647636413574,39344,-.6879100799560547,316799,.0023927688598633,5188511,.2144594192504883,413430,.1904087066650391,720451,.2632455825805664,827198,.5310459136962891,507010,.1240787506103516,475344,.3014135360717773,198414,.2670602798461914,51685,.3005790710449219,47628440,.0034923553466797,72083,.5911417007446289,15436,.1962823867797852,454203,.0796260833740234,676420,-.0563440322875977,1284956,.5341634750366211,595016,.1245641708374023,134355,.0328435897827148,6156822,.4047355651855469,2476729,-.137761116027832,12476,.9479255676269531,2451637,-.1181411743164063,502347,.1487226486206055,893601,-.2322177886962891,2953776,-.0991630554199219,71441,.5626926422119141,21156,-.0591888427734375,2142761,-.0699424743652344,189840,-.6337947845458984,156087,-.0469675064086914,145299,-.66888427734375,1889240,.7064218521118164,9904013,.4575529098510742,18030,.4647598266601563,936286,26734,-2.443852424621582,863016,14411,.13763427734375,203516,.9891653060913086,329530,.1003923416137695,40423,7456695,.211054801940918,35746,1.40373420715332,64344,-.7773494720458984,539285,.0472993850708008,45545,.2643814086914063,872825,.6708059310913086,matched (3),44400952,.92411417,2552987.3,5053823.5
201007,841350,606,3837,26160480,07,0,0,0,0,0,1,0,0,0,0,0,451760,-.0502452850341797,19985,-.8708086013793945,1580574,-.2529163360595703,53797,.3128738403320313,66817,-1.556310653686523,3987283,-.263336181640625,295560,-.3356161117553711,579172,-.2182779312133789,917363,.103459358215332,477994,-.0589323043823242,281734,-.5230751037597656,145160,-.3125190734863281,47497,-.0845003128051758,51846624,.0848598480224609,37453,-.6547317504882813,8484,-.5985202789306641,289118,-.4517097473144531,498363,-.3054847717285156,949510,-.3025331497192383,688195,.1454839706420898,98202,-.3134593963623047,3847797,-.4700593948364258,2440794,-.0146150588989258,9430,-.2799110412597656,3644841,.3965568542480469,490236,-.0244045257568359,1154319,.256007194519043,2071282,-.3549165725708008,37908,-.6337099075317383,16501,-.2485027313232422,2314081,.0769166946411133,162987,-.1525115966796875,114490,-.3099260330200195,229247,.4560060501098633,2397673,.2383241653442383,10138622,.0234127044677734,9533,-.6372776031494141,1047686,127693,1.563693046569824,390974,8213,-.5622739791870117,58434,-1.247846603393555,230627,-.3568658828735352,42773,5368531,-.3285579681396484,34538,-.0343780517578125,182051,1.040043830871582,468717,-.1402444839477539,35741,-.2424020767211914,719245,-.1935329437255859,matched (3),30241852,.92411417,1830826.8,4730255.5
201008,841350,607,3837,26333354,08,0,0,0,0,0,0,1,0,0,0,0,36584,-2.513540267944336,39236,.6746120452880859,1408453,-.11529541015625,34372,-.4479751586914063,303097,1.512095451354981,4586648,.1400394439697266,371546,.2288007736206055,272185,-.7551174163818359,1477932,.4768962860107422,505969,.0568771362304688,359828,.2446632385253906,162396,.1122016906738281,25072,-.6389150619506836,66531652,.2493896484375,34843,-.0722341537475586,19814,.8482065200805664,471953,.4900445938110352,195950,-.9334697723388672,1013781,.0654964447021484,634350,-.0814714431762695,77834,-.232447624206543,5664697,.3867521286010742,2681864,.0941886901855469,42230,1.499235153198242,3312162,-.0957117080688477,813049,.5059041976928711,729047,-.4595279693603516,2743133,.2809333801269531,48282,.2418966293334961,21827,.2797269821166992,2419927,.0447254180908203,182390,.1124763488769531,138369,.1894359588623047,325484,.3505134582519531,1186048,-.7038717269897461,9294063,-.0869770050048828,11743,.2084980010986328,1214597,109841,-.1505947113037109,327462,14909,.5962467193603516,114775,.6750755310058594,287353,.2199106216430664,84361,5319409,-.0091924667358398,7438,-1.535458564758301,61011,-1.093233108520508,549526,.1590566635131836,69583,.6662216186523438,640247,-.1163482666015625,matched (3),22405700,.92411417,3221193.8,5422129
201009,841350,608,3837,26349888,09,0,0,0,0,0,0,0,1,0,0,0,374872,2.326973915100098,55759,.3514442443847656,973485,-.3693647384643555,55611,.4811382293701172,76132,-1.381584167480469,4284203,-.0682153701782227,403527,.0825710296630859,829897,1.114819526672363,1943775,.2739877700805664,588391,.1509160995483398,469579,.2662105560302734,223884,.3210897445678711,40193,.4719409942626953,69930736,.0498256683349609,46213,.2824087142944336,17047,-.1504144668579102,552255,.1571311950683594,187777,-.0426044464111328,1232780,.1955842971801758,578271,-.0925588607788086,139972,.5868635177612305,6371785,.1176261901855469,3015788,.1173486709594727,31930,-.2795848846435547,3918240,.1680412292480469,1195629,.3856363296508789,910790,.2225742340087891,2721244,-.0080118179321289,130942,.9976959228515625,37649,.5451583862304688,2688051,.1050786972045898,321586,.5671186447143555,232789,.5202083587646484,241519,-.2983646392822266,1760285,.3948488235473633,8174748,-.1283254623413086,21244,.5928173065185547,1395557,113669,.0342559814453125,334243,3883,-1.345356941223145,67360,-.5329227447509766,228920,-.2273387908935547,30829,6432641,.1900234222412109,4351,-.5361957550048828,193733,1.155426979064941,495167,-.104161262512207,18704,-1.313782691955566,1283062,.6951513290405273,matched (3),32407880,.92411417,3328223.8,5486389
201010,841350,609,3837,25872400,10,0,0,0,0,0,0,0,0,1,0,0,27544,-2.610799789428711,35322,-.4565324783325195,567262,-.5400619506835938,150998,.9988861083984375,512591,1.907010078430176,4871838,.1285371780395508,400428,-.0077095031738281,773632,-.0702056884765625,1292176,-.4083042144775391,694572,.1659040451049805,461478,-.0174026489257813,217766,-.0277061462402344,49807,.2144622802734375,43242932,-.4806709289550781,88941,.6547117233276367,76006,1.494837760925293,247312,-.8033599853515625,125768,-.4008159637451172,1195628,-.0305995941162109,766794,.2821760177612305,116995,-.1793107986450195,6562775,.0295343399047852,2201586,-.3146829605102539,117096,1.299448013305664,3546111,-.0997915267944336,891034,-.2940444946289063,683536,-.2870330810546875,2610440,-.0415706634521484,73653,-.5753898620605469,23312,-.4793376922607422,2445566,-.0945396423339844,160427,-.6954259872436523,185769,-.2256278991699219,270408,.1129837036132813,1125885,-.4469060897827148,11049405,.3013277053833008,14203,-.4026212692260742,1034791,128700,.1241941452026367,419993,13942,1.278297424316406,28184,-.8712968826293945,326476,.3549833297729492,30687,7134275,.1035251617431641,11396,.9628562927246094,66984,-1.062026977539063,376803,-.2731723785400391,22152,.1691904067993164,220038,-1.763204574584961,matched (3),38795404,.92411417,2712792,5136402.5
