period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1084c752,growth1084c752,Y1164c818,Y1173c152,growth1173c152,Y1358c484,growth1358c484,Y1456c818,Y1489c222,growth1489c222,Y1527c222,growth1527c222,Y1539c428,Y1569c586,growth1569c586,Y1602c688,growth1602c688,Y1710c124,growth1710c124,Y1757c586,growth1757c586,Y1771c268,growth1771c268,Y2137c376,Y2393c344,Y2452c376,Y24c191,Y2637c352,growth2637c352,Y2638c372,growth2638c372,Y2790c372,growth2790c372,Y3059c68,growth3059c68,Y3081c246,growth3081c246,Y3266c484,growth3266c484,Y3315c440,growth3315c440,Y3397c222,growth3397c222,Y3461c818,Y3482c344,Y3518c818,Y3697c498,Y3703c818,Y3749c428,growth3749c428,Y3804c642,Y3811c818,Y4076c818,Y4204c818,Y4252c246,growth4252c246,Y4272c376,Y4275c818,Y4345c484,growth4345c484,Y4354c818,Y4682c428,growth4682c428,Y4753c352,growth4753c352,Y4917c484,growth4917c484,Y4925c818,Y4982c344,Y596c620,growth596c620,Y603c203,Y677c32,Y684c818,Y723c554,_merge,x,r2,s,sf
201011,901832,610,4754,709617,11,0,0,0,0,0,0,0,0,0,1,0,2681403,.050572395324707,473559,2235374,.240574836730957,1610238,.2699241638183594,62979,1175,-3.246374607086182,93156,.078150749206543,297,90079,-.535212516784668,308604,.0892477035522461,558475,-.1522140502929688,23094,-.2764806747436523,159573,.6586618423461914,34000,2959040,96000,1220892,41691,.0154943466186523,240195,.0886049270629883,1152525,.3919849395751953,37677,-.4944162368774414,133437,-.3323268890380859,1238221,.2150430679321289,1794272,-.1061849594116211,255270,.0597801208496094,31426,1482707,10052245,14593,10987929,30622,.7716512680053711,261808,2697276,857570,441769,2506678,.3613252639770508,993000,3880341,6030995,.6780405044555664,1031375,192480,.125300407409668,62250,.2206764221191406,5816124,.000340461730957,127353,2310842,119991,.4705162048339844,2825312,62814,69058,61453,matched (3),1400723.5,.85415035,529520.25,557467.13
201012,901832,611,4754,634058,12,0,0,0,0,0,0,0,0,0,0,1,4117774,.4289731979370117,963929,529075,-1.441033363342285,558985,-1.058014869689941,53376,34029,3.365944385528565,79828,-.1544017791748047,47,9089,-2.293622016906738,181299,-.5319118499755859,481635,-.1480236053466797,13247,-.5558013916015625,121049,-.27630615234375,30000,2731472,232000,1127576,24568,-.5288400650024414,149032,-.4772891998291016,541210,-.7559032440185547,4676,-2.086606979370117,114485,-.1531858444213867,931148,-.2850131988525391,876586,-.7163200378417969,248374,-.0273857116699219,4989,1447690,748205,8969,915334,10718,-1.04979419708252,156983,1889550,2112176,158044,1631969,-.4291706085205078,1098000,2777586,2067148,-1.070742607116699,2876667,152280,-.2342710494995117,20510,-1.110245704650879,5302412,-.0924720764160156,119365,1925390,92892,-.2559795379638672,2960428,39584,29729,8894,matched (3),916641.75,.85415035,251694.92,306150.75
201101,901832,612,4754,862998,01,0,0,0,0,0,0,0,0,0,0,0,4728438,.1382818222045898,1113385,3067322,1.757430076599121,2422363,1.466376304626465,66851,36346,.0658712387084961,93328,.1562461853027344,1077,22383,.9012365341186523,228647,.2320318222045898,479942,-.0035209655761719,20779,.4501714706420898,240299,.6856880187988281,393000,3533571,238000,1186288,39820,.4829244613647461,261988,.5641374588012695,471831,-.1371870040893555,69541,2.699473381042481,155337,.3051528930664063,946290,.0161314010620117,655073,-.2912883758544922,373638,.408350944519043,239802,1773139,850920,16081,807875,12716,.1709356307983398,304154,2442005,563438,190749,1375318,-.1711025238037109,1228000,4070737,661934,-1.138759613037109,2150603,170806,.11480712890625,280317,2.615008354187012,5659026,.0650901794433594,115872,1813985,91088,-.0196113586425781,1891175,65327,18670,69633,matched (3),800961.56,.85415035,272960.28,323859.97
201102,901832,613,4754,843601,02,1,0,0,0,0,0,0,0,0,0,0,2832168,-.5125522613525391,574334,515517,-1.783390045166016,1139361,-.7542762756347656,33470,13583,-.9842653274536133,119916,.25067138671875,148,30061,.294926643371582,167810,-.3093471527099609,514555,.0696372985839844,18390,-.122136116027832,68139,-1.260334014892578,28000,2279500,139000,1353945,21347,-.6234588623046875,207061,-.235285758972168,511615,.0809516906738281,1551,-3.803016185760498,154739,-.0038566589355469,1227833,.2604570388793945,950917,.3726806640625,198203,-.6339950561523438,6274,1664011,1052292,6880,488012,12983,.0207805633544922,112312,1689039,419205,122234,1665547,.1914691925048828,1043000,1632064,64855,-2.32301139831543,863156,144014,-.1706180572509766,108639,-.9478902816772461,5304801,-.0646390914916992,89655,1457023,105474,.1466379165649414,2354125,19350,51604,20090,matched (3),756054.56,.85415035,226753.3,285998.28
201103,901832,614,4754,342139,03,0,1,0,0,0,0,0,0,0,0,0,1298687,-.779688835144043,1583168,1270520,.9020109176635742,1868587,.4947147369384766,7154,4818,-1.036459922790527,106866,-.1152153015136719,242,38737,.2535667419433594,145800,-.1405963897705078,884424,.5416336059570313,9329,-.6786785125732422,140870,.726287841796875,67000,4024879,363000,1904298,40538,.6413288116455078,195497,-.0574684143066406,58180,-2.174030303955078,2589,.5123715400695801,131871,-.1599159240722656,944214,-.2626533508300781,1216285,.246129035949707,421403,.7542972564697266,25875,1207564,1386696,7357,632518,17291,.2865447998046875,209701,2304944,1307420,138327,3094815,.6195745468139648,906000,2841452,93402,.3647584915161133,2686889,184077,.2454442977905273,28352,-1.343333244323731,4631646,-.1357002258300781,72925,2315494,100049,-.0528039932250977,2985595,3307,16981,169,matched (3),795870.38,.85415035,106057.76,204025.02
201104,901832,615,4754,629080,04,0,0,1,0,0,0,0,0,0,0,0,588959,-.7907524108886719,332663,1512731,.1744909286499023,1162149,-.4749116897583008,5588,457,-2.355430603027344,63509,-.5203943252563477,201,83029,.762394905090332,97029,-.4072256088256836,715868,-.2114410400390625,9649,.0337257385253906,89215,-.4567880630493164,29000,2673569,168000,1850009,60681,.4033908843994141,273417,.3354530334472656,86740,.3993730545043945,33842,2.570430755615234,105874,-.219573974609375,687058,-.3179340362548828,1548108,.2412328720092773,138767,-1.110793113708496,19468,1466448,1168099,17399,1105004,10762,-.4741649627685547,204094,1859465,672855,267003,3123155,.0091152191162109,752000,3909361,104924,.1163234710693359,2253690,195773,.0616016387939453,71029,.9183902740478516,4923241,.0610542297363281,63143,1917574,108381,.0799922943115234,3220595,1587,23377,13881,matched (3),821852.19,.85415035,77965.859,190936.2
201105,901832,616,4754,1079250,05,0,0,0,1,0,0,0,0,0,0,0,1068918,.5960454940795898,1985341,1950720,.2542819976806641,1778754,.4256420135498047,18993,24580,3.985005378723145,145914,.8318357467651367,823,110250,.2835607528686523,147204,.41680908203125,740603,.0339689254760742,22348,.8398828506469727,163005,.6027317047119141,61000,3806217,249000,1766638,67312,.1037082672119141,308346,.1202249526977539,90600,.0435390472412109,86121,.9340505599975586,121511,.1377544403076172,951623,.3257503509521484,1698440,.0926761627197266,350826,.9274940490722656,44874,1679803,3742683,19868,856965,18068,.5181217193603516,373132,2865568,2748157,326356,4793021,.4283170700073242,877000,4959489,208581,.6870918273925781,2505110,241725,.2108449935913086,67749,-.0472784042358398,6605428,.2939252853393555,177931,2412239,129148,.1753063201904297,3958932,92935,33958,53715,matched (3),1325706.8,.85415035,104766.93,203357
201106,901832,617,4754,926576,06,0,0,0,0,1,0,0,0,0,0,0,1596492,.4011621475219727,1336916,2252517,.1438493728637695,2092039,.162226676940918,67039,4968,-1.598916053771973,117332,-.2180099487304688,250,60386,-.6019935607910156,116394,-.2348384857177734,943216,.2418308258056641,20474,-.087580680847168,171711,.0520315170288086,40000,3376970,259000,1674216,62217,-.0787105560302734,244931,-.2302465438842773,133934,.3908929824829102,6495,-2.584720611572266,40991,-1.086651802062988,966828,.0158510208129883,1987096,.1569643020629883,167169,-.7412853240966797,13609,1766265,2712384,11913,3242814,14492,-.220545768737793,72972,2629078,1977587,280620,3780418,-.2373266220092773,888000,2819272,103890,-.6969947814941406,2209789,151557,-.4668397903442383,28795,-.8556079864501953,5990261,-.0977573394775391,257827,2077253,78640,-.4960784912109375,3523995,117200,22529,15992,matched (3),1034030.8,.85415035,87385.992,194972.48
201107,901832,618,4754,567750,07,0,0,0,0,0,1,0,0,0,0,0,828182,-.6563310623168945,799706,1401226,-.474700927734375,1485364,-.3424797058105469,107342,2368,-.740971565246582,41248,-1.045405387878418,1509,26833,-.8111248016357422,97344,-.1787290573120117,737609,-.2458810806274414,2575,-2.073306560516357,66178,-.9534645080566406,169000,3199390,65000,1522352,58978,-.0534639358520508,469466,.6506195068359375,119563,-.1135034561157227,12345,.6422185897827148,69808,.5323963165283203,704081,-.3171272277832031,1836646,-.0787334442138672,138799,-.1859779357910156,10775,1030606,1244133,3756,1333142,22064,.4203500747680664,108563,2337634,1498925,504119,485532,-2.05234432220459,761000,3614237,87701,-.1694002151489258,1976793,138628,-.089167594909668,27885,-.0321121215820313,4370696,-.3152122497558594,60455,1812838,97592,.2159156799316406,3450904,633,20233,74610,matched (3),681070.38,.85415035,157343.14,234808.05
201108,901832,619,4754,1322945,08,0,0,0,0,0,0,1,0,0,0,0,3091533,1.31718921661377,1263057,2128414,.41802978515625,1153567,-.2528009414672852,130155,22041,2.23085880279541,153074,1.311319351196289,149,74131,1.016201019287109,160055,.4972658157348633,856719,.1496953964233398,11126,1.463435649871826,201205,1.111976623535156,37000,2729279,350000,2039146,31510,-.6268596649169922,377748,-.2173681259155273,85831,-.3314638137817383,59393,1.570925712585449,123077,.5670614242553711,1010554,.3613605499267578,2277224,.2150163650512695,123937,-.1132535934448242,12469,1565138,1996666,10660,2728744,16442,-.2941083908081055,142253,2220878,3842764,1150816,2764972,1.739541053771973,824000,6211000,260037,1.086891174316406,2980353,148114,.0661888122558594,30946,.1041545867919922,5800287,.282984733581543,256913,2371745,115279,.1665592193603516,3938961,72562,22420,22973,matched (3),1355954.9,.85415035,120449.91,211863.48
