period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1002c757,growth1002c757,Y1027c348,growth1027c348,Y1071c642,Y1141c300,growth1141c300,Y1376c442,Y1383c600,growth1383c600,Y1479c268,growth1479c268,Y1482c300,growth1482c300,Y1536c616,growth1536c616,Y1617c191,growth1617c191,Y1721c498,Y2017c381,Y2099c222,growth2099c222,Y2272c757,growth2272c757,Y2539c616,growth2539c616,Y2550c428,growth2550c428,Y2585c428,growth2585c428,Y2995c484,growth2995c484,Y3135c152,growth3135c152,Y3170c752,growth3170c752,Y3309c442,Y3440c620,growth3440c620,Y3528c246,growth3528c246,Y3537c440,growth3537c440,Y3596c208,growth3596c208,Y3681c32,Y3877c616,growth3877c616,Y3883c826,growth3883c826,Y3995c616,growth3995c616,Y4038c554,Y4189c124,growth4189c124,Y4214c124,growth4214c124,Y4219c208,growth4219c208,Y4292c152,growth4292c152,Y4306c381,Y4427c807,growth4427c807,Y4598c703,growth4598c703,Y4757c428,growth4757c428,Y491c620,growth491c620,Y4968c554,Y4993c428,growth4993c428,Y5027c792,growth5027c792,Y508c124,growth508c124,Y554c246,growth554c246,Y58c642,Y623c381,Y643c703,growth643c703,Y896c705,growth896c705,Y967c208,growth967c208,Y981c68,growth981c68,_merge,x,r2,s,sf
201011,730661,610,3412,126609,11,0,0,0,0,0,0,0,0,0,1,0,9203,.6376686096191406,41917,-.0196075439453125,455566,224984,.3084917068481445,907091,753575,.0599565505981445,724063,.0115375518798828,5603246,.0320491790771484,9503,-1.055059432983398,186887,.320551872253418,78381,153357,836451,-.5186014175415039,27973,-1.202531814575195,720350,-.0706396102905273,112898,-.4153423309326172,66601,-.4890527725219727,300591,-.5033130645751953,35240,1.318180084228516,202619,.6105203628540039,416407,38154,-.7060890197753906,194891,.0612344741821289,224091,1.960161209106445,160116,.0569314956665039,34705,494206,-.8365373611450195,144906,.7040548324584961,612910,.1384353637695313,1052633,29551,-.8122568130493164,793440,-1.019174575805664,91356,-.0748863220214844,295521,.5400314331054688,69006056,55637,1.965365409851074,673027,-1.305904388427734,170059,-.0009527206420898,13608783,.1300048828125,372986,30855,-.6578531265258789,1121025,.3737554550170898,90522,.0811653137207031,178302,.9314327239990234,68459,301157,353683,.6978826522827148,25763,-.3594350814819336,4205,.2028398513793945,172958,.6045446395874023,matched (3),520967.06,.68773323,106320,210224.39
201012,730661,611,3412,163851,12,0,0,0,0,0,0,0,0,0,0,1,2516,-1.296859264373779,20819,-.6998252868652344,746317,327806,.3763923645019531,934151,365835,-.7226467132568359,832888,.1400203704833984,5024140,-.1090917587280273,20145,.7513484954833984,144135,-.2597541809082031,39766,139614,614107,-.3089981079101563,38244,.3127470016479492,726608,.0086498260498047,220045,.6673469543457031,129271,.6631917953491211,573611,.6462011337280273,21695,-.4850997924804688,164081,-.2109670639038086,3166677,90559,.8643712997436523,106211,-.6070127487182617,46192,-1.579245567321777,181649,.1261777877807617,42504,1343846,1.000338554382324,141266,-.0254402160644531,476738,-.251251220703125,320985,39470,.2894229888916016,2461078,1.131977081298828,249050,1.002889633178711,241306,-.2026748657226563,79029352,60473,.0833492279052734,164425,-1.409330368041992,199858,.1614618301391602,10990063,-.2137241363525391,187476,31659,.0257234573364258,1508175,.296656608581543,41806,-.7725534439086914,143249,-.2188949584960938,326748,482594,386522,.0887880325317383,105010,1.405116081237793,9491,.8140697479248047,88404,-.6711320877075195,matched (3),435279.25,.68773323,125989.42,220825.02
201101,730661,612,3412,93308,01,0,0,0,0,0,0,0,0,0,0,0,5523,.7862505912780762,23914,.1385974884033203,1135515,5304,-4.123960494995117,1242587,407608,.108123779296875,687102,-.1924161911010742,4868224,-.031524658203125,9777,-.7229232788085938,158161,.0928630828857422,67283,63073,659952,.0719976425170898,15003,-.9357357025146484,604756,-.1835622787475586,96164,-.8277769088745117,20504,-1.841291427612305,244732,-.8517875671386719,2734,-2.071316719055176,94161,-.555354118347168,1045687,61678,-.3840751647949219,396966,1.318423271179199,47437,.0265960693359375,130060,-.334080696105957,42555,1122339,-.1801204681396484,56562,-.9153079986572266,452704,-.0517282485961914,191808,22519,-.5611810684204102,915750,-.9886112213134766,109312,-.8234481811523438,186153,-.2594966888427734,33903404,18271,-1.196882247924805,2565,-4.160496234893799,176092,-.1266002655029297,10253465,-.0693759918212891,148918,109324,1.239293098449707,754579,-.6924953460693359,125675,1.100659370422363,118530,-.189417839050293,83493,176165,147681,-.9621343612670898,25148,-1.429276466369629,35164,1.30967903137207,148957,.5217409133911133,matched (3),-551516.69,.68773323,156015.75,239230.58
201102,730661,613,3412,163920,02,1,0,0,0,0,0,0,0,0,0,0,73049,2.582209587097168,35296,.3893060684204102,2251149,537320,4.618132591247559,1328744,359060,-.1268167495727539,686952,-.000218391418457,5696274,.1570825576782227,93496,2.257885932922363,213059,.2979555130004883,116010,219544,1162541,.5661964416503906,116319,2.048086166381836,1237448,.7159814834594727,132620,.3214330673217773,35327,.5440273284912109,273918,.1126651763916016,18345,1.903591156005859,154930,.4979667663574219,655343,156262,.9296073913574219,353318,-.1164827346801758,13964,-1.222919464111328,170340,.2698001861572266,72546,1579298,.3415660858154297,4688184,4.417463302612305,357761,-.2353734970092773,599361,17150,-.2723617553710938,578671,-.4590091705322266,257134,.8553915023803711,342063,.6084260940551758,38018048,53170,1.068179130554199,3208,.2236895561218262,151820,-.1483116149902344,9917415,-.0333232879638672,186322,40795,-.9857559204101563,1498043,.6857547760009766,103494,-.1941852569580078,143178,.1889228820800781,146049,417318,183484,.2170724868774414,81057,1.170373916625977,3590,-2.281870841979981,173430,.1521158218383789,matched (3),207004.89,.68773323,139958.81,229082.56
201103,730661,614,3412,18920,03,0,1,0,0,0,0,0,0,0,0,0,27092,-.9918918609619141,7909,-1.495768547058106,1529915,21362,-3.224980354309082,1151698,420397,.157710075378418,649517,-.056035041809082,5433166,-.0472898483276367,77440,-.18841552734375,222395,.0428857803344727,35411,226882,806197,-.3660354614257813,68522,-.5291814804077148,864175,-.3590307235717773,84944,-.44549560546875,28144,-.2273130416870117,227905,-.1838998794555664,5545,-1.196459770202637,210391,.305994987487793,1411253,69624,-.8084249496459961,132249,-.9826822280883789,129227,2.225088119506836,122757,-.3275890350341797,151269,2112656,.2909650802612305,47165,-4.599148750305176,353002,-.0133914947509766,1329222,36341,.7509489059448242,395556,-.3804426193237305,227414,-.1228256225585938,273873,-.2223300933837891,83768704,54875,.0315637588500977,247054,4.343958854675293,166387,.0916213989257813,9634220,-.0289707183837891,219407,72262,.5717391967773438,587924,-.9353170394897461,252201,.8907127380371094,59902,-.8713788986206055,132265,462793,175239,-.0459766387939453,68053,-.17486572265625,44055,2.50728702545166,151026,-.1383218765258789,matched (3),-118057.08,.68773323,106635.27,210384.02
201104,730661,615,3412,441640,04,0,0,1,0,0,0,0,0,0,0,0,72410,.9831056594848633,55038,1.940022468566895,2062041,323746,2.718345642089844,1924425,421830,.0034027099609375,792873,.1994333267211914,4639348,-.1579484939575195,66315,-.1550874710083008,200314,-.1045684814453125,83001,237845,1053453,.2675008773803711,66721,-.0266351699829102,891850,.0315227508544922,123620,.3752202987670898,67660,.8771610260009766,401059,.5651798248291016,17214,1.13282585144043,352226,.5153045654296875,675467,182612,.9642543792724609,269473,.7117824554443359,86228,-.404576301574707,163050,.2838497161865234,521563,1197975,-.5673131942749023,194003,1.41422176361084,587712,.5097637176513672,732179,44619,.2052135467529297,806561,.7124872207641602,125660,-.5931921005249023,507540,.6169109344482422,71753968,66352,.189915657043457,477525,.6590099334716797,217115,.2661104202270508,8871329,-.0824966430664063,252258,63471,-.1297159194946289,1310929,.8018932342529297,152204,-.5050048828125,49074,-.1993808746337891,170111,678673,229093,.2679777145385742,113619,.5125637054443359,32682,-.298614501953125,129556,-.1533384323120117,matched (3),580140.94,.68773323,139235.45,228641.34
201105,730661,616,3412,233430,05,0,0,0,1,0,0,0,0,0,0,0,3431,-3.049492835998535,35869,-.4281501770019531,1860310,3228,-4.608096122741699,1367049,500918,.1718406677246094,666917,-.1729974746704102,5734374,.2119045257568359,78178,.1645727157592773,256225,.2461700439453125,59508,288403,953706,-.0994739532470703,58389,-.133392333984375,834818,-.0660848617553711,86606,-.3558435440063477,161032,.8671073913574219,253180,-.4600076675415039,6968,-.9043941497802734,230639,-.4234189987182617,455869,123854,-.3882598876953125,235675,-.1340150833129883,39241,-.7872724533081055,134381,-.1933774948120117,241299,1327455,.102630615234375,139800,-.3276605606079102,1166969,.6859273910522461,352495,32016,-.3319244384765625,803959,-.0032310485839844,152573,.1940631866455078,383927,-.2791233062744141,98590080,34935,-.641484260559082,19097,-3.219085693359375,200206,-.081080436706543,8370616,-.0580968856811523,199417,128102,.7022438049316406,1229963,-.0637521743774414,386494,.9318952560424805,46845,-.0464849472045898,111340,594526,308476,.297515869140625,172733,.4188966751098633,3773,-2.158954620361328,41953,-1.1275634765625,matched (3),217243.53,.68773323,92495.016,203582.13
201106,730661,617,3412,251231,06,0,0,0,0,1,0,0,0,0,0,0,6774,.6802396774291992,28431,-.2323932647705078,2020279,324248,4.609645843505859,1416930,629091,.2278327941894531,936054,.3390083312988281,5780796,.0080633163452148,74935,-.0423669815063477,293969,.1374177932739258,35488,224712,874029,-.0872411727905273,45849,-.2417745590209961,904573,.0802497863769531,154674,.5799503326416016,113062,-.3536663055419922,320222,.2349138259887695,9152,.27264404296875,344348,.4007987976074219,808001,108487,-.1324729919433594,239143,.0146083831787109,113494,1.062027931213379,165304,.2071065902709961,50441,1605604,.1902370452880859,656388,1.546539306640625,464758,-.9206476211547852,537636,100667,1.14558219909668,1456369,.5941534042358398,138053,-.1000051498413086,611893,.4661054611206055,138410448,33553,-.0403633117675781,64573,1.218265533447266,216238,.0770330429077148,9317637,.107182502746582,188038,244300,.6455707550048828,1391063,.1230840682983398,265816,-.3743124008178711,206022,1.481138229370117,78107,284379,109104,-1.039342880249023,34285,-1.617039680480957,11956,1.153363227844238,68395,.4887495040893555,matched (3),-183652.63,.68773323,131554.89,224046.97
201107,730661,618,3412,308709,07,0,0,0,0,0,1,0,0,0,0,0,7131,.0513601303100586,50694,.5783271789550781,2386711,300058,-.0775327682495117,1488406,781068,.2163867950439453,862355,-.0820064544677734,4353772,-.2834987640380859,81428,.0830974578857422,311737,.058685302734375,170965,144908,1072626,.2047510147094727,65098,.3505401611328125,1082998,.1800251007080078,167148,.0775604248046875,129778,.1378889083862305,230715,-.3278322219848633,136886,2.705175399780273,208183,-.50323486328125,656629,49884,-.7769308090209961,291727,.198756217956543,71173,-.4666366577148438,141784,-.1534814834594727,56146,1640436,.0214614868164063,2229208,1.222649574279785,389435,-.1768207550048828,1004875,164178,.4891328811645508,2304205,.4587898254394531,116565,-.1691884994506836,538309,-.1281251907348633,74063896,43779,.2660284042358398,555868,2.15273380279541,387622,.5836505889892578,11406602,.2022819519042969,151423,21885,-2.412595748901367,1322138,-.0508174896240234,405435,.4221563339233398,34690,-1.78153133392334,59279,438518,179013,.4951572418212891,98343,1.053753852844238,870,-2.620495319366455,194973,1.047561645507813,matched (3),409123.53,.68773323,99730.867,206970.05
201108,730661,619,3412,179608,08,0,0,0,0,0,0,1,0,0,0,0,5298,-.2971220016479492,15189,-1.205236434936523,1660765,248048,-.1903543472290039,1288174,549952,-.3508310317993164,770726,-.1123342514038086,5091077,.1564464569091797,9056,-2.196290969848633,258790,-.1861429214477539,156339,66609,868759,-.2107992172241211,34804,-.6261606216430664,934291,-.147700309753418,133723,-.223109245300293,67019,-.6608495712280273,286814,.2176513671875,44800,-1.116939544677734,308647,.3937807083129883,156066,54691,.0919990539550781,142785,-.7144784927368164,70736,-.0061588287353516,134164,-.055241584777832,116692,602092,-1.002306938171387,497351,-1.500105857849121,409317,.0497932434082031,157222,101820,-.4777441024780273,3819238,.505314826965332,123579,.0584316253662109,402618,-.2904443740844727,66078360,42795,-.0227327346801758,91035,-1.809286117553711,78868,-1.592254638671875,9955509,-.1360664367675781,107464,28573,.2666606903076172,1153830,-.1361637115478516,237124,-.536376953125,43789,.2329311370849609,166779,344734,156023,-.1374549865722656,94897,-.0356693267822266,1320,.4168939590454102,175234,-.1067390441894531,matched (3),169594.34,.68773323,83298.219,199571.91
