period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1325c608,Y1343c826,growth1343c826,Y1358c818,Y1764c586,growth1764c586,Y1822c152,growth1822c152,Y1836c246,growth1836c246,Y2105c222,growth2105c222,Y2157c703,growth2157c703,Y2229c428,growth2229c428,Y2241c642,Y2280c826,growth2280c826,Y2295c554,Y2314c826,growth2314c826,Y2363c826,growth2363c826,Y2509c703,growth2509c703,Y2556c203,Y2570c348,growth2570c348,Y2654c208,growth2654c208,Y2829c222,Y2944c807,growth2944c807,Y3271c191,growth3271c191,Y3275c826,growth3275c826,Y3296c792,growth3296c792,Y3412c792,growth3412c792,Y3454c586,growth3454c586,Y3636c348,growth3636c348,Y3693c208,growth3693c208,Y3704c440,growth3704c440,Y3743c608,Y3898c600,growth3898c600,Y393c616,growth393c616,Y404c826,growth404c826,Y4157c68,growth4157c68,Y4158c616,growth4158c616,Y4165c484,growth4165c484,Y4198c428,growth4198c428,Y4318c440,growth4318c440,Y4321c705,growth4321c705,Y4492c608,Y4823c344,Y4889c348,growth4889c348,Y4975c344,Y4988c208,growth4988c208,Y4c68,Y514c348,growth514c348,Y577c208,growth577c208,Y723c826,growth723c826,Y824c826,growth824c826,Y853c208,growth853c208,Y901c372,growth901c372,_merge,x,r2,s,sf
201011,902129,610,4765,323582,11,0,0,0,0,0,0,0,0,0,1,0,1297766,73661,-.4592418670654297,792824,517989,1.051804542541504,49245,.084406852722168,246707,.1056909561157227,76307,-.1541862487792969,34311,.4726829528808594,34517,-1.41501522064209,38776,142448,-.0831499099731445,109488,341736,.1456775665283203,2495605,-.1330060958862305,166369,-.1042490005493164,86605,27457,1.801898956298828,41125,.1864099502563477,5898,4136,-.5648527145385742,297169,.4120264053344727,80466704,.0104293823242188,1842068,.8938388824462891,3933189,.1134243011474609,7391,-1.265000343322754,243020,1.516776084899902,85594,.1773891448974609,18934,.7576084136962891,137072,61851,-1.873212814331055,4066752,.0689830780029297,140796,-.0764236450195313,57050,-1.985472679138184,1287616,.0595817565917969,2256335,-.1101493835449219,1276447,.5026969909667969,23321,.3811502456665039,130593,.0059671401977539,159023,31509,5147,.2725772857666016,225397,13776,-.0027542114257813,16340,81362,.2635974884033203,1481579,.0900974273681641,827599,.7604160308837891,67561616,-.3055019378662109,72391,1.111010551452637,19034,-.4445838928222656,matched (3),201367.31,.87761158,53775.898,90386.828
201012,902129,611,4765,263189,12,0,0,0,0,0,0,0,0,0,0,1,1228292,4164,-2.872997283935547,933509,377828,-.3155145645141602,74790,.4178762435913086,257272,.0419330596923828,13347,-1.743473052978516,8539,-1.39082145690918,157391,1.517281532287598,30640,72067,-.6813812255859375,30413,271495,-.2300949096679688,867847,-1.056270599365234,173876,.0441341400146484,20793,727,-3.631449699401856,50706,.2094278335571289,4688,1064,-1.357693672180176,696292,.8514680862426758,60142628,-.2911243438720703,1046437,-.5654973983764648,4307786,.090972900390625,16925,.8285293579101563,66727,-1.292533874511719,72239,-.1696348190307617,6974,-.9987707138061523,95340,80528,.2638769149780273,3340156,-.1968269348144531,115212,-.2005376815795898,172901,1.108791351318359,972128,-.2810602188110352,2447030,.0811328887939453,1124444,-.1267919540405273,33555,.3638315200805664,120187,-.0830364227294922,138737,48064,3397,-.4155216217041016,142380,11394,-.1898412704467773,0,68591,-.1707468032836914,1321520,-.1143255233764648,819944,-.0092926025390625,47316704,-.3561763763427734,18175,-1.382035255432129,24497,.252324104309082,matched (3),494731.56,.87761158,52105.547,89403.133
201101,902129,612,4765,467406,01,0,0,0,0,0,0,0,0,0,0,0,1674090,278342,4.202374458312988,1691818,493850,.2677927017211914,69522,-.0730409622192383,275764,.0694112777709961,135161,2.31517505645752,11249,.275634765625,61443,-.9406232833862305,15318,159137,.7921695709228516,88275,711801,.9638547897338867,2018773,.8442296981811523,181015,.0402383804321289,93547,347,-.7396016120910645,20574,-.9020156860351563,11922,1577,.3934893608093262,274497,-.9308290481567383,73198864,.1964607238769531,1044463,-.0018882751464844,4612701,.068389892578125,50497,1.093121528625488,274695,1.415051460266113,65157,-.1031808853149414,8180,.1595029830932617,273089,172351,.7609281539916992,6423505,.6539459228515625,174490,.4150934219360352,84830,-.7120695114135742,1102061,.1254501342773438,2325525,-.050929069519043,1198981,.064183235168457,24379,-.3194637298583984,130391,.0814886093139648,153649,297030,4235,.2204914093017578,528837,40361,1.264777183532715,0,77916,.1274700164794922,1472018,.1078510284423828,730583,-.1153926849365234,73593664,.4416942596435547,88323,1.580953598022461,35173,.3617277145385742,matched (3),372693.38,.87761158,51467.211,89032.609
201102,902129,613,4765,236995,02,1,0,0,0,0,0,0,0,0,0,0,1101835,487736,.5609235763549805,453432,280220,-.5666570663452148,23003,-1.106019020080566,64259,-1.456624031066895,127141,-.0611705780029297,149334,2.585906028747559,118930,.6604251861572266,36733,79536,-.6935558319091797,70349,568844,-.2241916656494141,1853806,-.0852489471435547,121804,-.3961668014526367,49805,246,-.3439931869506836,80461,1.363743782043457,2641,776,-.7091274261474609,280558,.0218400955200195,67524080,-.0806961059570313,726888,-.3624858856201172,4412668,-.0443344116210938,8539,-1.77726936340332,181054,-.4168663024902344,60383,-.0760917663574219,6737,-.1940774917602539,93510,166331,-.035552978515625,4422502,-.3732576370239258,176508,.0114984512329102,74305,-.1324710845947266,976466,-.120997428894043,2189052,-.0604772567749023,322604,-1.312801361083984,15271,-.4677667617797852,124193,-.0487003326416016,153544,177967,1133,-1.318514823913574,239803,32062,-.2301921844482422,0,23381,-1.203707695007324,1024071,-.3628482818603516,678321,-.0742225646972656,85284560,.1474342346191406,11083,-2.075588226318359,42375,.1862802505493164,matched (3),504595.91,.87761158,61316.977,95066.836
201103,902129,614,4765,362727,03,0,1,0,0,0,0,0,0,0,0,0,1541733,262665,-.6188945770263672,1383530,296132,.0552301406860352,38377,.5118341445922852,216887,1.21645450592041,198386,.4449176788330078,13523,-2.401793479919434,798833,1.904616355895996,38511,126263,.4621572494506836,130994,557431,-.0202674865722656,2283397,.2084236145019531,162570,.2886953353881836,99225,3206,2.567448139190674,25240,-1.159341812133789,5227,3004,1.3535475730896,423967,.4128751754760742,85987216,.2417144775390625,1100704,.4149332046508789,5036451,.1322221755981445,44720,1.655776023864746,219448,.1923208236694336,88908,.3868942260742188,5503,-.2023210525512695,69606,273501,.4973249435424805,6339482,.3600912094116211,170321,-.0356817245483398,202909,1.004579544067383,1980463,.7071456909179688,3116018,.3530874252319336,745889,.8381509780883789,33631,.7894926071166992,135332,.0858936309814453,89040,176420,9057,2.078668594360352,235861,45483,.3496665954589844,215511,140172,1.790946960449219,1525527,.3985538482666016,1051583,.4384317398071289,116031024,.3078651428222656,65431,1.775584220886231,49439,.1541805267333984,matched (3),405616.94,.87761158,56074.496,91772.984
201104,902129,615,4765,375585,04,0,0,1,0,0,0,0,0,0,0,0,1252658,728617,1.020268440246582,1621015,349839,.1666679382324219,34484,-.1069631576538086,228848,.0536823272705078,239158,.1869106292724609,99404,1.994800567626953,439787,-.5968608856201172,11742,104773,-.1865711212158203,109434,431717,-.2555685043334961,2209342,-.0329704284667969,194823,.1809825897216797,124028,10384,1.175241470336914,27599,.0893487930297852,11595,33109,2.399860382080078,360292,-.1627407073974609,65618528,-.2703399658203125,932885,-.1654233932495117,3408169,-.3905258178710938,79687,.5776863098144531,315572,.3632707595825195,69307,-.2490558624267578,2983,-.6123638153076172,78735,250404,-.0882291793823242,5844769,-.0812501907348633,198906,.1551475524902344,87922,-.836308479309082,1590656,-.2191839218139648,2887965,-.0760040283203125,352649,-.7491035461425781,35057,.0415267944335938,219569,.4839363098144531,93386,361355,7105,-.2427387237548828,297076,50619,.1069889068603516,0,64931,-.7695455551147461,1066643,-.357823371887207,1376028,.2689037322998047,85820080,-.301605224609375,86147,.2750587463378906,37610,-.2734689712524414,matched (3),587955.44,.87761158,48307.207,87244.016
201105,902129,616,4765,489805,05,0,0,0,1,0,0,0,0,0,0,0,1612862,170245,-1.453909873962402,1949184,502783,.3626852035522461,58823,.5340375900268555,225575,-.0144052505493164,303736,.2390336990356445,6629,-2.707737922668457,456720,.0377798080444336,36918,51670,-.7069187164306641,116012,660873,.4257907867431641,3164180,.3591995239257813,258976,.2846441268920898,77133,39241,1.329456329345703,29815,.0772323608398438,519,610,-3.994101524353027,383150,.0615119934082031,89736936,.3130245208740234,1584151,.5295219421386719,4926684,.3684902191162109,39359,-.7053823471069336,240539,-.2715044021606445,85039,.204564094543457,21815,1.989667892456055,207591,463021,.6146965026855469,3874994,-.4110031127929688,175900,-.1229162216186523,128737,.381321907043457,1667072,.0469217300415039,3259869,.1211347579956055,391299,.1039981842041016,42433,.1909513473510742,473313,.7680902481079102,71450,418011,3931,-.5919046401977539,325650,16973,-1.092703819274902,0,88081,.304931640625,1742270,.4906730651855469,1372451,-.0026025772094727,89232136,.0389881134033203,62341,-.3234357833862305,57190,.4191083908081055,matched (3),509152.38,.87761158,30092.854,78635.305
201106,902129,617,4765,417158,06,0,0,0,0,1,0,0,0,0,0,0,866861,278147,.4909114837646484,1380840,255833,-.675633430480957,37193,-.4584121704101563,120053,-.6307201385498047,69889,-1.469250679016113,13827,.73516845703125,204756,-.8022518157958984,19081,123354,.8701810836791992,160016,581608,-.1277647018432617,3123528,-.0129308700561523,172714,-.4050989151000977,45279,763,-3.940219402313232,110773,1.312471389770508,325,388,-.45245361328125,345823,-.1024999618530273,84006144,-.0659923553466797,988230,-.471888542175293,4939432,.0025844573974609,25447,-.436126708984375,192368,-.2234716415405273,66127,-.2515325546264648,19982,-.0877656936645508,98914,146597,-1.150084495544434,3396278,-.1318635940551758,148490,-.169398307800293,92440,-.331212043762207,1213249,-.3177661895751953,3111057,-.0467243194580078,267552,-.380157470703125,37070,-.1351184844970703,251786,-.6311779022216797,67869,247038,2863,-.3170242309570313,282662,11410,-.3971338272094727,0,62976,-.3355026245117188,1073575,-.4841947555541992,1035256,-.2819490432739258,99429968,.1082134246826172,34546,-.590327262878418,21322,-.9866390228271484,matched (3),570197.94,.87761158,30238.568,78691.188
201107,902129,618,4765,502831,07,0,0,0,0,0,1,0,0,0,0,0,1327590,374819,.2982940673828125,1931084,269963,.0537605285644531,32671,-.1296329498291016,154850,.2545242309570313,159451,.8248291015625,92416,1.899677276611328,26419,-2.047735214233398,84957,257184,.7347335815429688,83603,849040,.3783092498779297,3054171,-.0224552154541016,172880,.0009613037109375,195103,14278,2.929216861724854,139730,.2322292327880859,3734,2387,1.816787242889404,706380,.7142267227172852,85964512,.0230445861816406,1054788,.0651798248291016,5646904,.1338577270507813,35251,.3258962631225586,232032,.187464714050293,44946,-.3861160278320313,8723,-.8288688659667969,145578,438890,1.096561431884766,4077718,.1828575134277344,173967,.1583480834960938,40629,-.822077751159668,1537076,.2365798950195313,3565809,.1364288330078125,322219,.1859169006347656,16919,-.7843704223632813,122488,-.7205657958984375,153464,130864,23921,2.122886657714844,372749,26018,.8242988586425781,0,40652,-.4377059936523438,1195623,.1076726913452148,877537,-.1652851104736328,66888804,-.39642333984375,61364,.5745315551757813,48847,.828953742980957,matched (3),496533.94,.87761158,58264.246,93127.086
201108,902129,619,4765,441140,08,0,0,0,0,0,0,1,0,0,0,0,1505266,116771,-1.166229248046875,1586187,328349,.1957921981811523,15083,-.7729196548461914,170969,.099024772644043,162405,.0183563232421875,5952,-2.742572784423828,13254,-.689784049987793,1506,66065,-1.359152793884277,96380,572552,-.3940019607543945,2259769,-.3012447357177734,142541,-.1929683685302734,46830,775,-2.913611888885498,27496,-1.62567138671875,5288,838,-1.046774387359619,600636,-.1621646881103516,94095064,.0903701782226563,1047860,-.0065898895263672,4400816,-.2493181228637695,27045,-.2649917602539063,92412,-.9206180572509766,51448,.1351099014282227,3511,-.9100618362426758,146472,133304,-1.191617012023926,3174963,-.2502422332763672,353475,.7089471817016602,140107,1.237924575805664,1030132,-.4001951217651367,6100269,.5369415283203125,581955,.5911617279052734,33666,.6880512237548828,198358,.4820594787597656,100968,278094,7846,-1.114752769470215,250759,15835,-.4965658187866211,0,62277,.426544189453125,1098057,-.0851249694824219,1190076,.3046531677246094,109829864,.4959011077880859,43330,-.3479785919189453,43768,-.1097908020019531,matched (3),806576,.87761158,63297.891,96356.398
201109,902129,620,4765,498136,09,0,0,0,0,0,0,0,1,0,0,0,883731,226608,.6630067825317383,1098187,508099,.4365987777709961,101741,1.908862113952637,189200,.101323127746582,88271,-.6096811294555664,20334,1.228567123413086,97094,1.991379737854004,27144,230872,1.251224517822266,108535,486795,-.1622610092163086,2889073,.2456731796264648,162895,.1334762573242188,64333,23492,3.411551952362061,59294,.7684669494628906,5456,1141,.3086423873901367,426087,-.3433456420898438,94500440,.0042991638183594,766402,-.3127985000610352,4627219,.050166130065918,7788,-1.244917869567871,144241,.4452285766601563,77016,.4034414291381836,12643,1.28120231628418,203212,188156,.344639778137207,4232706,.2875461578369141,227317,-.44146728515625,30587,-1.521831512451172,1368549,.2840642929077148,4567546,-.2893562316894531,577537,-.0076198577880859,42232,.226689338684082,137785,-.3643789291381836,126172,252580,8345,.0616588592529297,348956,10768,-.3856439590454102,119796,82895,.2859821319580078,1387644,.234065055847168,1271500,.0661802291870117,79141064,-.3276996612548828,66619,.4301443099975586,37139,-.1642351150512695,matched (3),633740.38,.87761158,41675.164,83754.109
201110,902129,621,4765,453358,10,0,0,0,0,0,0,0,0,1,0,0,763496,61562,-1.303176879882813,2268545,1596980,1.145193099975586,64528,-.4553308486938477,269830,.3549871444702148,87297,-.0110960006713867,2481,-2.10363245010376,20304,-1.564861297607422,42627,84349,-1.006900787353516,98785,460901,-.0546598434448242,1752068,-.5001392364501953,71943,-.8172321319580078,55290,5373,-1.475273132324219,58333,-.0163393020629883,10971,2208,.660181999206543,383831,-.1044406890869141,74357496,-.2397193908691406,510602,-.4061164855957031,5025294,.0825281143188477,20702,.9776458740234375,155207,.0732736587524414,69435,-.1036214828491211,4258,-1.088303565979004,287888,154996,-.1938724517822266,4225138,-.0017900466918945,134619,-.5238971710205078,408797,2.592643737792969,862059,-.4621829986572266,3008055,-.4176826477050781,528983,-.0878162384033203,29627,-.3544921875,234112,.5301055908203125,97682,205233,6387,-.2673978805541992,346986,17982,.5127925872802734,0,78974,-.0484561920166016,1132938,-.2027931213378906,1056707,-.1850395202636719,55364192,-.3572998046875,24424,-1.003423690795898,43932,.1679754257202148,matched (3),574540.13,.87761158,30905.396,78949.828
201111,902129,622,4765,539767,11,0,0,0,0,0,0,0,0,0,1,0,1268756,373999,1.804208755493164,1576641,646229,-.9047155380249023,25829,-.9156017303466797,98471,-1.008029937744141,86417,-.0101318359375,15251,1.815983295440674,16652,-.1982879638671875,60863,109364,.2597188949584961,123628,511775,.1047019958496094,2786837,.4641103744506836,124864,.5513515472412109,72986,39868,2.00418758392334,89768,.4310598373413086,10578,2309,.0447273254394531,443930,.1454639434814453,88533352,.1744937896728516,874148,.53765869140625,5687916,.1238603591918945,6560,-1.149239540100098,185500,.1782951354980469,72321,.0407228469848633,8463,.6869039535522461,153832,698775,1.505928993225098,4687276,.1037998199462891,170322,.2352428436279297,69444,-1.772697448730469,1766128,.7172212600708008,3359046,.1103630065917969,493731,-.0689659118652344,45551,.4301471710205078,152846,-.4263687133789063,108376,152292,3972,-.4749946594238281,542123,25512,.3497772216796875,119796,130219,.5000991821289063,1123345,-.0085029602050781,1112228,.0512075424194336,119239648,.7672023773193359,55647,.8234624862670898,38454,-.1331806182861328,matched (3),561148.69,.87761158,31072.971,79015.578
