period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1480c372,growth1480c372,Y1489c826,growth1489c826,Y1492c428,growth1492c428,Y1575c152,growth1575c152,Y1669c792,growth1669c792,Y1730c807,growth1730c807,Y2003c191,growth2003c191,Y200c705,Y2148c616,growth2148c616,Y2540c616,growth2540c616,Y2621c705,growth2621c705,Y2715c68,growth2715c68,Y2715c792,growth2715c792,Y2729c757,growth2729c757,Y2740c68,growth2740c68,Y2821c381,Y2848c620,growth2848c620,Y2877c208,growth2877c208,Y2884c124,growth2884c124,Y3208c688,growth3208c688,Y3210c246,growth3210c246,Y3439c246,growth3439c246,Y3443c688,growth3443c688,Y3552c233,Y3577c268,growth3577c268,Y3729c757,growth3729c757,Y3793c152,growth3793c152,Y37c246,growth37c246,Y3800c348,growth3800c348,Y3908c251,growth3908c251,Y3977c152,growth3977c152,Y405c807,growth405c807,Y4105c372,growth4105c372,Y4138c68,growth4138c68,Y4198c348,growth4198c348,Y4209c372,growth4209c372,Y4277c191,growth4277c191,Y4286c705,growth4286c705,Y4338c348,growth4338c348,Y4363c251,growth4363c251,Y4489c792,growth4489c792,Y4685c381,Y4699c757,growth4699c757,Y4882c68,growth4882c68,Y4890c792,growth4890c792,Y4935c642,Y4995c124,growth4995c124,Y5010c246,growth5010c246,Y532c703,growth532c703,Y868c372,growth868c372,_merge,x,r2,s,sf
201011,901520,610,4736,593020,11,0,0,0,0,0,0,0,0,0,1,0,1105903,.4922409057617188,810341,.0394668579101563,216447,-.1172657012939453,364348,1.232992172241211,857320,.149479866027832,788800,.3364267349243164,105340,.2677316665649414,265259,2504644,.012782096862793,2840413,.6102848052978516,17528,-.3507871627807617,14172,1.015189170837402,4270,.0509233474731445,281364,.2797050476074219,13913,1.714534759521484,8582749,589029,-.3891868591308594,72228,-.1609516143798828,2252704,-.0123615264892578,521095,.0229263305664063,258900,.4827690124511719,124548,.4478282928466797,251710,.9221782684326172,132085,190171,.4607067108154297,471134,.1337766647338867,43029,.8731708526611328,48730,.1919803619384766,83028,3.169849395751953,35257512,.0440292358398438,331160,.5481157302856445,239766,.4208860397338867,884998,3.02333927154541,1240,-2.240537643432617,29727560,.2206592559814453,2093815,2.08126163482666,272438,.3383989334106445,60053,.6583414077758789,3710748,.1194286346435547,1490919,1.103691101074219,1659995,.4324531555175781,815557,32123,.0900754928588867,39237,1.17707633972168,95244,.0470123291015625,687390,52454,.6751604080200195,69155,1.368054389953613,1311852,-.0277252197265625,258740,-.2533273696899414,matched (3),909202.56,.80423963,139904.2,226833.88
201012,901520,611,4736,532532,12,0,0,0,0,0,0,0,0,0,0,1,720916,-.4278955459594727,543650,-.3991489410400391,232630,.0721035003662109,157316,-.8398523330688477,926217,.0772972106933594,1314568,.5107507705688477,30918,-1.22585391998291,325452,4153226,.5057392120361328,1505468,-.6348457336425781,26480,.4125900268554688,23953,.5248250961303711,3999,-.0655698776245117,302621,.0728321075439453,23869,.5397567749023438,2528210,588611,-.0007104873657227,423,-5.140210628509522,2105999,-.0673408508300781,509048,-.0233898162841797,213902,-.1909236907958984,193704,.4416399002075195,100102,-.922088623046875,74024,99328,-.6494960784912109,457004,-.0304498672485352,51652,.1826543807983398,32822,-.3951959609985352,20793,-1.384561538696289,45738152,.26025390625,30531,-2.383858680725098,201786,-.1724557876586914,817279,-.0796041488647461,4744,1.341769218444824,41816036,.3412055969238281,953573,-.7865276336669922,220497,-.2115268707275391,31227,-.6539449691772461,1881733,-.6790409088134766,1066032,-.33544921875,1700307,.0239944458007813,1092839,30831,-.0410518646240234,12130,-1.173938751220703,131004,.3187856674194336,1099475,28336,-.6158037185668945,28605,-.8827686309814453,1164827,-.1188669204711914,72767,-1.268561363220215,matched (3),-11674.441,.80423963,170685.44,247010
201101,901520,612,4736,284573,01,0,0,0,0,0,0,0,0,0,0,0,249354,-1.061648368835449,361268,-.4086856842041016,210139,-.101679801940918,254496,.4810285568237305,688484,-.2966165542602539,1078871,-.1975927352905273,45822,.3934249877929688,222888,2015518,-.7230091094970703,1187273,-.2374448776245117,9946,-.9792194366455078,5341,-1.500680923461914,1490,-.9872679710388184,490921,.4838018417358398,1976,-2.49150562286377,3510140,883407,.4060211181640625,17435,3.718863010406494,1922455,-.0911874771118164,183708,-1.019194602966309,270046,.2330741882324219,121229,-.4686498641967773,117671,.1617031097412109,6720,70549,-.3421201705932617,509546,.1088275909423828,166087,1.167983055114746,55257,.5208959579467773,53333,.9419393539428711,36906812,-.2145366668701172,47885,.4500598907470703,130969,-.4322471618652344,119380,-1.92366886138916,17186,1.287214279174805,18837440,-.7974338531494141,2797982,1.076437950134277,219944,-.0025110244750977,53798,.5439538955688477,3107897,.5017538070678711,495188,-.7667608261108398,855325,-.6870822906494141,714854,23422,-.2748451232910156,10050,-.1881084442138672,101735,-.2528562545776367,1398192,50591,.5796403884887695,7067,-1.39814567565918,1003670,-.1489095687866211,166170,.8257484436035156,matched (3),-241056.31,.80423963,153581.78,235515.98
201102,901520,613,4736,502305,02,1,0,0,0,0,0,0,0,0,0,0,470261,.6344137191772461,337038,-.0694246292114258,224934,.0680379867553711,315659,.2153768539428711,923331,.2934961318969727,1593887,.3902597427368164,50165,.0905532836914063,212436,2543992,.2328577041625977,2100281,.5704126358032227,12593,.2359704971313477,9870,.6140871047973633,2771,.6204319000244141,777994,.4604358673095703,20975,2.36225700378418,5118006,1137246,.2525787353515625,4845,-1.280532836914063,2122725,.0990982055664063,454147,.9050731658935547,481346,.5779943466186523,121230,8.58306884766e-06,48897,-.8781766891479492,12134,272165,1.350101470947266,347599,-.3824710845947266,19684,-2.132705688476563,63427,.1378946304321289,54419,.0201578140258789,33714396,-.0904712677001953,159729,1.204675674438477,111638,-.1596994400024414,701964,1.771570205688477,42840,.9133777618408203,27790306,.3888416290283203,964388,-1.065159797668457,282272,.2494983673095703,74031,.3192472457885742,3153874,.0146846771240234,677959,.3141489028930664,1329397,.4409990310668945,885028,48614,.7302360534667969,14580,.3720779418945313,139838,.3181133270263672,1489821,154142,1.114100456237793,17225,.890925407409668,1067952,.0620794296264648,237160,.3557243347167969,matched (3),390043.81,.80423963,183550.94,256069.06
201103,901520,614,4736,458437,03,0,1,0,0,0,0,0,0,0,0,0,727640,.436518669128418,310405,-.0823183059692383,229022,.0180110931396484,479851,.4188137054443359,1680267,.598719596862793,1421510,-.1144552230834961,143577,1.051554679870606,405259,2036862,-.2223234176635742,2886456,.317957878112793,8203,-.4286403656005859,18424,.6241540908813477,17315,1.8323655128479,757635,-.0265169143676758,15452,-.3055934906005859,5315182,992728,-.1359081268310547,3402,-.3535833358764648,3168900,.4006834030151367,399832,-.1273765563964844,326989,-.3866605758666992,192766,.4637870788574219,24970,-.6720409393310547,216355,166853,-.4892959594726563,563293,.4827508926391602,447123,3.123026847839356,245808,1.354660987854004,47541,-.1351203918457031,32272596,-.0437068939208984,276544,.5488920211791992,132873,.1741323471069336,471409,-.3981561660766602,1613,-3.279376983642578,35160856,.2352466583251953,1360650,.3442239761352539,308387,.0884838104248047,40096,-.6132078170776367,2783813,-.1248092651367188,917900,.3030023574829102,1964440,.3904819488525391,805908,16071,-1.106895446777344,11645,-.2247743606567383,104926,-.2872295379638672,1310118,70453,-.782928466796875,10849,-.4622888565063477,1286928,.1865148544311523,335597,.3471755981445313,matched (3),1005155.2,.80423963,176935.94,251369.73
201104,901520,615,4736,458433,04,0,0,1,0,0,0,0,0,0,0,0,936659,.2525129318237305,370720,.1775693893432617,236402,.0317153930664063,392778,-.2002315521240234,1224156,-.3167009353637695,914790,-.4407806396484375,73830,-.6651067733764648,276451,1646316,-.2128705978393555,2579739,-.1123409271240234,4088,-.6964445114135742,11443,-.4762754440307617,10761,-.4756450653076172,449484,-.5221014022827148,9198,-.5187520980834961,3535430,840920,-.1659603118896484,303,-2.418386459350586,3164600,-.0013580322265625,282614,-.3469629287719727,248922,-.2727861404418945,8723,-3.095514297485352,85362,1.229226112365723,42662,146800,-.1280412673950195,353356,-.4663238525390625,61777,-1.979302406311035,212427,-.1459522247314453,48179,.0133304595947266,32619148,.01068115234375,456541,.5013084411621094,256674,.6584129333496094,20209,-3.149598121643066,33166,3.023429870605469,20905848,-.5199050903320313,1258382,-.0781354904174805,269555,-.13458251953125,29798,-.2968349456787109,2442157,-.1309404373168945,847774,-.0794744491577148,1660058,-.1683549880981445,756732,32525,.7049922943115234,36936,1.15431022644043,52326,-.6957616806030273,920100,48193,-.3797311782836914,9387,-.1447467803955078,1257205,-.0233669281005859,162523,-.7250909805297852,matched (3),690867.69,.80423963,130996.92,221451.14
201105,901520,616,4736,261725,05,0,0,0,1,0,0,0,0,0,0,0,898061,-.0420808792114258,419265,.1230564117431641,217703,-.082402229309082,278054,-.3454294204711914,805964,-.4179677963256836,846605,-.0774602890014648,77018,.0422744750976563,240847,3581530,.7772502899169922,2355528,-.0909233093261719,1905,-.7635736465454102,3739,-1.118559837341309,3745,-1.055506706237793,313067,-.3616828918457031,20678,.810084342956543,3551945,749548,-.1150264739990234,646,.7570667266845703,2918704,-.0808868408203125,291002,.0292482376098633,128986,-.6574363708496094,148384,2.833840370178223,86431,.0124454498291016,5495,211238,.3639135360717773,439403,.2179412841796875,37692,-.4940834045410156,135614,-.4487857818603516,197008,1.408321380615234,34386600,.0527687072753906,156700,-1.069345474243164,230024,-.1096229553222656,73997,1.297896385192871,22046,-.4083938598632813,29867162,.3567314147949219,1644974,.2678976058959961,253189,-.0626363754272461,24254,-.2058601379394531,2230852,-.0904979705810547,1133698,.2906255722045898,1352778,-.2046918869018555,736496,9297,-1.252316474914551,15188,-.8886814117431641,102871,.6759824752807617,2157778,51040,.0573949813842773,23358,.9116134643554688,1313661,.0439271926879883,233288,.3614540100097656,matched (3),757614.31,.80423963,122586.73,216582.38
201106,901520,617,4736,475693,06,0,0,0,0,1,0,0,0,0,0,0,817951,-.0934362411499023,330951,-.2365331649780273,231514,.0615091323852539,32189,-2.156189918518066,1039363,.2543239593505859,828542,-.0215673446655273,29400,-.9630451202392578,234009,3118429,-.1384611129760742,2591181,.0953483581542969,3482,.6031246185302734,5475,.381373405456543,5554,.3940963745117188,413187,.2774829864501953,14189,-.3766031265258789,3846517,985159,.2733325958251953,518,-.2208242416381836,2971152,.0178098678588867,306502,.0518941879272461,95608,-.2994470596313477,40704,-1.293477058410645,249487,1.060060501098633,64573,130569,-.4810829162597656,409936,-.0694160461425781,110247,1.073275566101074,232985,.5411615371704102,156959,-.227259635925293,32122706,-.0681037902832031,180386,.1407661437988281,381349,.5055313110351563,165776,.8066129684448242,28341,.2511777877807617,36515896,.2009868621826172,1443370,-.1307439804077148,226681,-.1105928421020508,57359,.860748291015625,1528998,-.3777713775634766,718954,-.4554424285888672,1437216,.0605478286743164,587649,21715,.8483114242553711,28785,.6393489837646484,200118,.665431022644043,1303592,52405,.026392936706543,15280,-.4243946075439453,1896569,.3672285079956055,216406,-.0751180648803711,matched (3),471806.25,.80423963,161242.22,240581.53
201107,901520,618,4736,631509,07,0,0,0,0,0,1,0,0,0,0,0,708526,-.1436147689819336,394948,.176783561706543,260291,.1171598434448242,398215,2.51536750793457,1384863,.2869930267333984,1131537,.3116655349731445,22434,-.2704172134399414,254623,2910374,-.0690479278564453,2632226,.015716552734375,8809,.9281673431396484,7375,.2979040145874023,7257,.2674484252929688,426597,.0319395065307617,21884,.43328857421875,1958604,1098464,.1088657379150391,157,-1.193729400634766,2421887,-.204401969909668,473617,.4351749420166016,181709,.6421499252319336,25661,-.4613533020019531,370707,.3960046768188477,17730,346349,.9755449295043945,410349,.001007080078125,830327,2.019096374511719,80691,-1.060346603393555,114897,-.3119487762451172,44238228,.3200263977050781,141959,-.2395610809326172,248723,-.4273748397827148,70508,-.8549108505249023,34678,.2017955780029297,28061624,-.2633438110351563,1371865,-.0508098602294922,237972,.048609733581543,80191,.3350820541381836,2686639,.5636787414550781,509253,-.3448524475097656,990191,-.3725652694702148,600201,57601,.9755363464355469,9486,-1.110036849975586,118416,-.5247030258178711,1216571,67067,.2466897964477539,40966,.9861974716186523,1438139,-.2766962051391602,94836,-.8250064849853516,matched (3),313210.47,.80423963,115266.54,212524.8
201108,901520,619,4736,745584,08,0,0,0,0,0,0,1,0,0,0,0,1196527,.523991584777832,488908,.2134208679199219,262932,.0100946426391602,246235,-.4807062149047852,1342073,-.0313854217529297,816225,-.3266429901123047,68893,1.121977806091309,397183,2616407,-.1064796447753906,2386367,-.098057746887207,10648,.1895980834960938,9563,.2598056793212891,24493,1.216421127319336,425850,-.0017528533935547,3766,-1.759742736816406,1428018,1375417,.2248439788818359,1563,2.298116683959961,2719480,.1158933639526367,378949,-.2229976654052734,231869,.2437658309936523,40519,.4567985534667969,446833,.1867733001708984,11948,260272,-.2857198715209961,498577,.1947498321533203,127675,-1.872331619262695,117397,.374934196472168,126132,.093292236328125,55716860,.2306919097900391,552833,1.359518051147461,216935,-.1367416381835938,67808,-.0390462875366211,19524,-.5744609832763672,31312088,.1096000671386719,1990779,.3723554611206055,279263,.1600008010864258,32120,-.9149322509765625,3341374,.2180910110473633,1019199,.6938276290893555,1418429,.3594064712524414,600800,23182,-.9101638793945313,50654,1.675200462341309,105061,-.1196622848510742,319802,54198,-.213047981262207,15863,-.9487533569335938,1713888,.1754140853881836,256830,.9962654113769531,matched (3),1210984.5,.80423963,136140.64,224532.17
