period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1462c826,growth1462c826,Y1774c124,growth1774c124,Y1827c352,growth1827c352,Y1853c752,growth1853c752,Y1859c826,growth1859c826,Y1887c620,growth1887c620,Y1969c246,growth1969c246,Y2022c705,growth2022c705,Y2049c616,growth2049c616,Y2072c616,growth2072c616,Y2106c757,growth2106c757,Y2271c381,Y2397c757,growth2397c757,Y2550c348,growth2550c348,Y2637c757,growth2637c757,Y2644c826,growth2644c826,Y2661c348,growth2661c348,Y2675c381,Y2787c203,Y2979c826,growth2979c826,Y3029c826,growth3029c826,Y3102c826,growth3102c826,Y3129c620,growth3129c620,Y3141c752,growth3141c752,Y3262c703,growth3262c703,Y3355c826,growth3355c826,Y3410c440,growth3410c440,Y3419c348,growth3419c348,Y3451c616,growth3451c616,Y3463c752,growth3463c752,Y3502c348,growth3502c348,Y3583c752,growth3583c752,Y3592c642,Y3744c826,growth3744c826,Y3754c616,growth3754c616,Y4174c703,growth4174c703,Y4316c124,growth4316c124,Y4380c484,growth4380c484,Y4434c826,growth4434c826,Y4455c348,growth4455c348,Y4485c208,growth4485c208,Y4601c752,growth4601c752,Y4607c826,growth4607c826,Y4609c208,growth4609c208,Y4797c348,growth4797c348,Y4928c608,Y613c757,growth613c757,Y638c352,growth638c352,Y658c208,growth658c208,Y966c620,growth966c620,_merge,x,r2,s,sf
201011,841480,610,3851,24963998,11,0,0,0,0,0,0,0,0,0,1,0,31879422,-.0797233581542969,3081693,-.2624378204345703,512981,-.2301301956176758,519533,.1240520477294922,26031312,-.0538845062255859,8503843,-.1240968704223633,2288412,.1519937515258789,8261,-.1568622589111328,5932366,-.0913381576538086,17562816,.0469417572021484,1151688,-.2482175827026367,5240579,5284134,-.23211669921875,606848,-.3274908065795898,1631372,-.204167366027832,2830460,.1313333511352539,584702,-.2089071273803711,2382758,858934,12866456,-.2154083251953125,4276185,.1973915100097656,169660,-.4673147201538086,808439,-.8087472915649414,674638,-.3632316589355469,3624676,-.0113859176635742,3181548,.1772422790527344,379039,-.4322052001953125,235607,-.0380878448486328,530374,-.6587858200073242,6353621,-.0952882766723633,32000024,-.0365924835205078,5335458,.0887537002563477,1094022,11378869,-.0602207183837891,20332258,-.1290054321289063,415479,-.1684446334838867,3717920,.1474523544311523,6824145,-.3654155731201172,35828440,-.0206394195556641,1378222,-.0416126251220703,5235691,-.043492317199707,8295135,.1430187225341797,52105660,-.0166568756103516,6056887,-.0260133743286133,495202,-.7911043167114258,326772,44956,-.9642200469970703,3357,-.4435548782348633,2033130,-.1579732894897461,174732,-.0994472503662109,matched (3),35035512,.92735356,1018562.2,2028643.1
201012,841480,611,3851,21272416,12,0,0,0,0,0,0,0,0,0,0,1,32242314,.0113182067871094,2830005,-.085200309753418,191942,-.9830455780029297,200234,-.9534435272216797,21133870,-.2084217071533203,7090389,-.1817779541015625,2244686,-.0192928314208984,5151,-.4723539352416992,5455724,-.0837583541870117,14382733,-.1997566223144531,1115812,-.031646728515625,2657223,3515862,-.4074239730834961,449270,-.300654411315918,895290,-.6000289916992188,2400321,-.1648359298706055,410196,-.354466438293457,1642663,578931,12566735,-.0235710144042969,2672741,-.4699563980102539,134459,-.2325372695922852,1202039,.3966693878173828,487445,-.3249988555908203,4579536,.2338333129882813,2364248,-.2969074249267578,425283,.1151161193847656,191483,-.2073659896850586,471279,-.1181316375732422,5714503,-.10601806640625,27624114,-.1470489501953125,2941513,-.5954504013061523,918990,10079728,-.1212310791015625,17367484,-.1576080322265625,374850,-.1029062271118164,3050532,-.1978483200073242,2573445,-.9752206802368164,33677156,-.0619220733642578,985664,-.3352336883544922,3333111,-.4515924453735352,6594234,-.2294740676879883,42068748,-.2139682769775391,5881109,-.0294513702392578,143315,-1.239921569824219,297441,69808,.4400644302368164,6316,.6320381164550781,2159149,.0601377487182617,88227,-.6833400726318359,matched (3),29792620,.92735356,1730643,2464355.8
201101,841480,612,3851,27662020,01,0,0,0,0,0,0,0,0,0,0,0,34275240,.0611438751220703,3345292,.1672754287719727,106769,-.5865259170532227,340546,.5310630798339844,29310360,.3270626068115234,8382017,.1673479080200195,2125776,-.0544281005859375,6577,.2443876266479492,7299830,.2911863327026367,17416180,.1913719177246094,1262358,.1233997344970703,5791199,6249266,.5751800537109375,632128,.3414678573608398,1908417,.7568817138671875,3666979,.4237651824951172,844606,.7222347259521484,2497278,991860,17590228,.3362903594970703,4235526,.4604024887084961,454325,1.217554092407227,861886,-.3326511383056641,535375,.0937900543212891,6067097,.2812824249267578,4604011,.6664676666259766,675179,.4622230529785156,354548,.6160440444946289,752604,.4680891036987305,7248268,.2377557754516602,33227628,.1846923828125,5321021,.5927410125732422,759883,11959767,.1710205078125,21637756,.2198390960693359,189391,-.6827116012573242,3712592,.1964149475097656,4343401,.523411750793457,44903544,.2876968383789063,1423281,.3674039840698242,3396874,.0189495086669922,8385711,.2403335571289063,50775680,.1881122589111328,7329924,.2202205657958984,1022548,1.965007781982422,295122,75583,.0794820785522461,6341,.0039510726928711,2306831,.0661602020263672,174009,.6791934967041016,matched (3),27388548,.92735356,1579809.8,2360873.3
201102,841480,613,3851,24838220,02,1,0,0,0,0,0,0,0,0,0,0,29169464,-.1613006591796875,4723591,.3450155258178711,159360,.4004983901977539,292416,-.1523723602294922,26544798,-.0991058349609375,6524563,-.250514030456543,2372223,.1096906661987305,14553,.7942180633544922,5808723,-.2284908294677734,17203784,-.0122699737548828,1334622,.0556659698486328,6596985,5801985,-.0742645263671875,914469,.3692522048950195,2105474,.0982666015625,3182508,-.1416988372802734,731750,-.1434316635131836,2374476,778826,13031411,-.2999801635742188,4544449,.070399284362793,247777,-.6062841415405273,517451,-.5102081298828125,639538,.1777791976928711,4285226,-.3477067947387695,6890749,.4032516479492188,545255,-.2137241363525391,329432,-.0734739303588867,137876,-1.697184562683106,6246287,-.1487751007080078,31103504,-.0660610198974609,4572046,-.1517047882080078,920969,12585894,.0510292053222656,23998500,.1035518646240234,575455,1.111347198486328,3341838,-.1052093505859375,5088793,.1583833694458008,42855200,-.0466899871826172,1496026,.0498476028442383,3471964,.0218648910522461,8931605,.0630664825439453,47872456,-.0588760375976563,8256567,.1190433502197266,1372052,.2940101623535156,223977,74649,-.0124340057373047,1408,-1.504866600036621,1658490,-.3299674987792969,124393,-.3356609344482422,matched (3),32584466,.92735356,1398362,2243510.8
201103,841480,614,3851,23579838,03,0,1,0,0,0,0,0,0,0,0,0,38257176,.2712078094482422,3343923,-.3454246520996094,147099,-.0800600051879883,391440,.2916545867919922,29939760,.1203536987304688,10110282,.4379777908325195,2621621,.0999650955200195,8579,-.5284795761108398,7479056,.2527456283569336,21074356,.2029266357421875,1200209,-.1061525344848633,5046514,6651808,.1366891860961914,905343,-.0100297927856445,2196646,.0423908233642578,1706410,-.6232776641845703,684579,-.0666341781616211,2654014,616082,12156553,-.0694942474365234,4523180,-.0046911239624023,413214,.5114364624023438,705425,.3098850250244141,884443,.3242120742797852,7521873,.5626411437988281,6464103,-.0639152526855469,596910,.0905122756958008,215473,-.4245338439941406,81139,-.5301914215087891,6517752,.04254150390625,38183072,.2050724029541016,5378416,.1624336242675781,1105838,13138420,.0429649353027344,22711302,-.0551280975341797,532662,-.0772743225097656,4425611,.2808866500854492,6629959,.2645578384399414,44477752,.0371627807617188,1396736,-.0686740875244141,4633781,.2886524200439453,10210227,.1337947845458984,61231776,.2461261749267578,9693468,.1604442596435547,1186191,-.1455602645874023,388607,49574,-.4093303680419922,12946,2.218616485595703,2816389,.5295486450195313,457233,1.30174732208252,matched (3),35646860,.92735356,2066815.1,2711023.5
201104,841480,615,3851,32634570,04,0,0,1,0,0,0,0,0,0,0,0,34678424,-.0982131958007813,3147228,-.0606231689453125,180073,.2022562026977539,304567,-.250941276550293,28408392,-.0525035858154297,11703495,.1463356018066406,2671091,.0186939239501953,46937,1.699488639831543,7726252,.0325174331665039,21391168,.0149211883544922,719554,-.5116186141967773,5081042,6414351,-.036351203918457,608875,-.3967008590698242,2212670,.0072689056396484,1601089,-.0637073516845703,426039,-.474273681640625,3725097,1044330,13389849,.0966281890869141,4460457,-.0139646530151367,510572,.2115659713745117,868399,.2078514099121094,896372,.013397216796875,4795668,-.4501018524169922,3446531,-.6288967132568359,671376,.1175632476806641,280868,.2650489807128906,106709,.2739419937133789,6228546,-.0453863143920898,35093712,-.0843696594238281,5250389,-.0240917205810547,1049447,12125921,-.0801963806152344,22901610,.0083446502685547,288941,-.6116647720336914,3513719,-.2307329177856445,9287784,.3371009826660156,39575872,-.1167697906494141,1500769,.0718393325805664,3771730,-.2058391571044922,8058520,-.2366600036621094,49875480,-.2051372528076172,9772887,.0081596374511719,1237997,.0427474975585938,452180,129029,.9565706253051758,3818,-1.221059799194336,1403993,-.6961355209350586,241391,-.6387748718261719,matched (3),35219616,.92735356,1475736.1,2292536
201105,841480,616,3851,33300416,05,0,0,0,1,0,0,0,0,0,0,0,43227772,.2203655242919922,2557046,-.2076692581176758,195908,.0842828750610352,386412,.2380132675170898,32163136,.1241359710693359,12682137,.0803070068359375,3376143,.2342472076416016,4023,-2.456778526306152,9756222,.2332820892333984,22987254,.0719623565673828,1757117,.8927974700927734,6849578,6736207,.0489587783813477,783958,.2527427673339844,2053204,-.074798583984375,2433003,.4184417724609375,512026,.1838445663452148,4091749,483690,18456776,.3209342956542969,5241623,.1613798141479492,402800,-.237091064453125,928585,.0670099258422852,1057110,.1649379730224609,5400991,.1188697814941406,4693387,.3087863922119141,947909,.3449287414550781,641514,.8259458541870117,157412,.3887605667114258,8125504,.2658653259277344,41140536,.1589717864990234,6422045,.2014341354370117,1320097,11935376,-.015838623046875,24137880,.0525741577148438,347473,.1844644546508789,4168620,.1709098815917969,5494191,-.5250082015991211,38246488,-.0341682434082031,1525304,.0162162780761719,4463383,.1683731079101563,8730776,.0801239013671875,57942504,.1499214172363281,9063428,-.0753650665283203,1782056,.3642730712890625,421760,59457,-.7747840881347656,7986,.7379627227783203,1550656,.0993576049804688,324255,.2951116561889648,matched (3),44486600,.92735356,1575538.5,2358017.3
201106,841480,617,3851,28514222,06,0,0,0,0,1,0,0,0,0,0,0,38238436,-.1226406097412109,2561356,.0016841888427734,69249,-1.039936065673828,415828,.0733680725097656,28840790,-.1090297698974609,10692127,-.1706867218017578,2751115,-.2047281265258789,7067,.5634088516235352,8534914,-.1337404251098633,20082840,-.1350746154785156,1204250,-.3778171539306641,5940561,6003909,-.1150856018066406,749442,-.0450267791748047,2051216,-.0009689331054688,3353902,.3209981918334961,566743,.1015310287475586,2759000,492947,14173094,-.2640857696533203,4494989,-.1536674499511719,358553,-.116363525390625,952933,.0258827209472656,822202,-.251307487487793,6442774,.1763763427734375,2990552,-.4506959915161133,444259,-.7578506469726563,455035,-.3434562683105469,154193,-.0206613540649414,7020308,-.1462011337280273,36022100,-.1328620910644531,5231664,-.2050075531005859,1118334,11479310,-.0389595031738281,26910936,.1087512969970703,236150,-.3862190246582031,3513972,-.17083740234375,4836709,-.1274576187133789,43700736,.1333141326904297,1323308,-.142059326171875,3817683,-.1562633514404297,7280429,-.1816644668579102,54167736,-.0673656463623047,9459678,.0427913665771484,1611255,-.1007537841796875,385064,20781,-1.051214218139648,9267,.1487703323364258,1383910,-.113764762878418,199295,-.4867439270019531,matched (3),32007976,.92735356,1292785.5,2179270.3
201107,841480,618,3851,25546938,07,0,0,0,0,0,1,0,0,0,0,0,34554680,-.1012992858886719,2487838,-.0291223526000977,229541,1.198372840881348,428647,.0303611755371094,25162944,-.1364192962646484,6793650,-.4535198211669922,1358204,-.7058429718017578,8256,.1555042266845703,6074485,-.3400678634643555,21128976,.0507793426513672,1058738,-.128779411315918,3754142,5842624,-.0272312164306641,496088,-.4125757217407227,2195923,.0681695938110352,2587848,-.2592973709106445,570945,.0073862075805664,2392900,718064,13227907,-.0690174102783203,5212066,.1480131149291992,584585,.488825798034668,900283,-.0568351745605469,885737,.0744342803955078,3202011,-.6991796493530273,2456937,-.1965427398681641,915971,.7235774993896484,419447,-.0814371109008789,119435,-.25543212890625,4653530,-.4111804962158203,34874680,-.0323715209960938,3971369,-.2756185531616211,1299311,9306870,-.2097949981689453,24377312,-.0988807678222656,462396,.6719541549682617,3302989,-.0619192123413086,5055776,.0442972183227539,42749588,-.0220069885253906,1201186,-.0968246459960938,3445940,-.1024465560913086,5346803,-.3086910247802734,60988568,.1186008453369141,11440227,.1900959014892578,1146883,-.3399658203125,278944,24375,.1595191955566406,7955,-.1526594161987305,1224236,-.1225957870483398,382294,.6514034271240234,matched (3),29309692,.92735356,1277140.4,2170025.8
201108,841480,619,3851,25318004,08,0,0,0,0,0,0,1,0,0,0,0,30364012,-.1292839050292969,3247858,.2665815353393555,193751,-.1695079803466797,342798,-.2234916687011719,29203992,.1489334106445313,3856411,-.5662508010864258,2758718,.7086029052734375,5654,-.3785772323608398,5315541,-.1334629058837891,21497248,.0172805786132813,817755,-.258270263671875,1398686,4084074,-.3580846786499023,676760,.3105630874633789,1868000,-.1617336273193359,2467336,-.0476875305175781,309881,-.6111040115356445,1288962,661327,12321079,-.0710163116455078,4726441,-.097804069519043,334147,-.559321403503418,742752,-.1923465728759766,662747,-.2900266647338867,2741478,-.1552820205688477,3161715,.2521991729736328,971722,.0590848922729492,361860,-.147679328918457,298692,.9166402816772461,7019048,.4110012054443359,35863208,.0279502868652344,4912406,.2126531600952148,1005253,9282235,-.0026493072509766,22868732,-.0638809204101563,300285,-.4316902160644531,4421859,.2917318344116211,7874134,.4430522918701172,37996364,-.1178684234619141,1128378,-.0625286102294922,3821606,.1034736633300781,7139228,.2891063690185547,52853428,-.1431636810302734,9242299,-.2133445739746094,726028,-.45721435546875,203263,15328,-.4638767242431641,8257,.0372610092163086,1711708,.335174560546875,106496,-1.278081893920898,matched (3),34887236,.92735356,1390654.9,2238715
