period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c222,Y1214c792,growth1214c792,Y1239c792,growth1239c792,Y1267c792,growth1267c792,Y1305c705,growth1305c705,Y1387c152,growth1387c152,Y1728c32,Y1758c344,Y1775c818,Y1820c586,growth1820c586,Y1901c68,growth1901c68,Y2120c757,growth2120c757,Y2493c124,growth2493c124,Y262c352,growth262c352,Y2762c440,growth2762c440,Y2830c586,growth2830c586,Y284c36,Y2914c68,growth2914c68,Y2979c484,growth2979c484,Y3092c608,Y3149c208,growth3149c208,Y3411c705,growth3411c705,Y3422c344,Y3486c152,growth3486c152,Y3597c688,growth3597c688,Y361c792,growth361c792,Y3702c68,growth3702c68,Y3726c68,growth3726c68,Y3834c352,growth3834c352,Y3850c344,Y3855c348,growth3855c348,Y4021c344,Y4184c586,Y4285c376,Y4322c344,Y4381c344,Y4422c344,Y4515c428,growth4515c428,Y4533c428,growth4533c428,Y4667c251,growth4667c251,Y4688c818,Y4719c348,growth4719c348,Y4833c428,growth4833c428,Y4881c124,growth4881c124,Y4976c344,Y543c268,growth543c268,Y573c68,growth573c68,Y617c428,growth617c428,Y829c440,growth829c440,Y937c484,growth937c484,_merge,x,r2,s,sf
201011,901850,610,4758,976974,11,0,0,0,0,0,0,0,0,0,1,0,950,656284,-.1156673431396484,249232,-.4507246017456055,589464,.5895261764526367,216560,1.669111251831055,586668,-.3308324813842773,3346193,16424506,4810069,206141,.0779008865356445,5522,-.6417779922485352,6942507,-.3712100982666016,59589,.2437267303466797,6849,-.0483102798461914,7775,-.4675893783569336,189140,.7971220016479492,528589,15836,.8555622100830078,246941,-.284031867980957,25253,2717066,-.1918973922729492,80842,-.3271713256835938,261791,44244,-.3411493301391602,385835,-.3921375274658203,1256583,-.1106290817260742,41891,.0673131942749023,6902,-.6006155014038086,10341,-.3338165283203125,2654839,1174606,-.1190700531005859,376161,2470923,3294000,24149784,17057680,21886508,320,-.3801474571228027,3871462,-.0753650665283203,5170304,-1.040431022644043,235381,64199,-.3275470733642578,222978,.2348060607910156,198960,-.6448469161987305,1147988,92231,3.44690752029419,40365,.0821113586425781,9555,.7585582733154297,773901,-.4648408889770508,116586,.4220972061157227,matched (3),5415111.5,.93101412,1685262.5,1690914.3
201012,901850,611,4758,490723,12,0,0,0,0,0,0,0,0,0,0,1,137520,770705,.1607122421264648,222319,-.1142711639404297,397039,-.3951797485351563,62508,-1.242572784423828,559693,-.0470705032348633,3299321,15573376,4747993,164981,-.2227296829223633,7659,.3271417617797852,8860710,.2439632415771484,17443,-1.228531837463379,33573,1.589619636535645,11253,.3697214126586914,65054,-1.067270278930664,517012,8536,-.6179933547973633,202056,-.2006044387817383,11264,977905,-1.021895408630371,39148,-.7251472473144531,236245,101573,.8310575485229492,376580,-.0242786407470703,1661695,.2794418334960938,13012,-1.169198989868164,2947,-.8510231971740723,3597,-1.056015968322754,2336294,1386766,.166041374206543,185093,11521,2812000,21074460,12594085,20462960,100,-1.163150787353516,3819225,-.013585090637207,4168441,-.2153892517089844,440569,37580,-.5355157852172852,216127,-.0312061309814453,354557,.5777654647827148,1082345,46196,-.6914033889770508,85841,.7545337677001953,7314,-.2672739028930664,905085,.1565847396850586,142271,.1991043090820313,matched (3),361904.44,.93101412,97658.109,169170.22
201101,901850,612,4758,886279,01,0,0,0,0,0,0,0,0,0,0,0,426,887223,.1407899856567383,181812,-.2011404037475586,408225,.0277843475341797,715053,2.43706226348877,1106035,.6811485290527344,3645476,15867052,4765268,90562,-.5997962951660156,37604,1.591228485107422,7685052,-.1423492431640625,23815,.3113765716552734,35079,.0438804626464844,4697,-.8737106323242188,183577,1.037417411804199,659280,19505,.8263788223266602,151800,-.2859811782836914,31365,3104917,1.155329704284668,11306,-1.242015838623047,334326,39331,-.9487648010253906,304972,-.2109107971191406,1443606,-.1406946182250977,28558,.7860651016235352,6781,.833336353302002,13309,1.308340072631836,2420385,713304,-.6648216247558594,505858,19556,2944000,20590996,13589694,15774544,10235,4.628397941589356,3719642,-.0264196395874023,1994488,-.7371549606323242,378781,168122,1.498217582702637,271763,.2290639877319336,152335,-.84478759765625,2366944,10224,-1.50815486907959,112734,.2725343704223633,13162,.5875434875488281,726660,-.2195701599121094,91201,-.4446678161621094,matched (3),882982.88,.93101412,145547.17,200662.48
201102,901850,613,4758,395766,02,1,0,0,0,0,0,0,0,0,0,0,79,1121385,.2342233657836914,426797,.8533353805541992,410222,.0048799514770508,75644,-2.246318817138672,601787,-.6086330413818359,3354120,8976487,3859959,211693,.8491029739379883,22117,-.5307636260986328,5696872,-.2993602752685547,88140,1.308610916137695,9549,-1.301166534423828,5224,.1063394546508789,138908,-.2788228988647461,482661,11168,-.5576190948486328,152524,.0047588348388672,19249,4543042,.3806095123291016,9432,-.1812257766723633,173567,46885,.175684928894043,414220,.3061771392822266,1042163,-.3258457183837891,5304,-1.683475494384766,1774,-1.340887069702148,10468,-.240117073059082,1964888,594100,-.1828603744506836,1764882,10636,2756000,18791068,7688400,14480396,879,-2.454783439636231,3134195,-.1712551116943359,3783871,.6403608322143555,85052,69173,-.8880786895751953,94852,-1.0526123046875,206321,.3033514022827148,1601927,44688,1.474967002868652,131019,.1503105163574219,2242,-1.769965648651123,698293,-.0398197174072266,69844,-.2668018341064453,matched (3),1349055.8,.93101412,131941.69,191023.72
201103,901850,614,4758,1248971,03,0,1,0,0,0,0,0,0,0,0,0,104,869761,-.2541007995605469,508373,.1749067306518555,604221,.3872413635253906,183723,.8873910903930664,979750,.4873933792114258,3206416,15654420,6395084,195245,-.0808820724487305,26182,.1687259674072266,8432796,.3922109603881836,101304,.1391992568969727,10601,.1045122146606445,4897,-.064640998840332,39402,-1.259995460510254,348213,34690,1.13339900970459,266184,.5568656921386719,19615,5401808,.1731367111206055,12517,.2829799652099609,443889,66588,.3508262634277344,653148,.4554061889648438,1528696,.3831167221069336,20472,1.350596427917481,42944,3.186659812927246,28843,1.013544082641602,2180307,289681,-.7182674407958984,2381652,133232,3271000,24050150,14893649,21217916,52,-2.82754111289978,2972864,-.0528469085693359,8059756,.7561359405517578,308697,39995,-.547856330871582,95582,.0076665878295898,342138,.5057811737060547,908503,50192,.1161508560180664,137347,.0471687316894531,5355,.8706622123718262,48554,-2.665962219238281,54173,-.2540817260742188,matched (3),1311777.4,.93101412,109302.03,176148.77
201104,901850,615,4758,1582959,04,0,0,1,0,0,0,0,0,0,0,0,4447,1082908,.2191867828369141,34047,-2.703473091125488,577484,-.0452594757080078,225770,.2060880661010742,806557,-.1945228576660156,3560379,15832612,5837045,118939,-.4956445693969727,39395,.4085664749145508,8027346,-.0492744445800781,20079,-1.618451118469238,16724,.4558963775634766,1580,-1.131197929382324,45803,.1505336761474609,565517,18066,-.6524190902709961,279299,.0480947494506836,26179,7548963,.3346767425537109,12282,-.0189533233642578,206889,41757,-.4666566848754883,878530,.2964468002319336,1810196,.1690206527709961,39258,.651097297668457,12646,-1.222556114196777,5409,-1.673803329467773,3073620,335141,.1457710266113281,349763,72489,2948000,22920240,13166199,17567032,74,.3528215885162354,4759499,.4706172943115234,8292423,.0284585952758789,257002,70477,.5665321350097656,152063,.4643096923828125,316694,-.0772781372070313,805269,43498,-.1431407928466797,48370,-1.043630599975586,1838,-1.069352626800537,652860,2.598686218261719,75556,.3326921463012695,matched (3),1715348,.93101412,103135.55,172390.25
201105,901850,616,4758,2072081,05,0,0,0,1,0,0,0,0,0,0,0,108492,873785,-.2145709991455078,418942,2.509990692138672,855538,.3930501937866211,798413,1.26310920715332,860659,.0649242401123047,3930746,16442393,6145186,343832,1.061542510986328,74373,.6354541778564453,8087727,.0074939727783203,227546,2.427678108215332,8331,-.6968612670898438,9863,1.831365585327148,6405,-1.967270851135254,768960,21670,.1818971633911133,334323,.1798248291015625,45546,8318624,.0970869064331055,35594,1.064043045043945,261045,56717,.3062067031860352,1217832,.3265771865844727,1762827,-.0265169143676758,35564,-.0988216400146484,16543,.2686223983764648,21921,1.399380683898926,3356538,939846,1.03116512298584,1894918,99829,3231000,25588400,16319411,19425080,536,1.980069160461426,6124841,.2522096633911133,40685544,1.590530395507813,268559,48782,-.3679256439208984,175951,.1459112167358398,370943,.1581125259399414,1105894,55308,.2402019500732422,157178,1.178499221801758,4628,.9234471321105957,2227536,1.227288246154785,109135,.367711067199707,matched (3),2110614.3,.93101412,168149.77,217613.88
201106,901850,617,4758,1193066,06,0,0,0,0,1,0,0,0,0,0,0,22478,1086713,.21807861328125,372232,-.1182155609130859,574497,-.3982353210449219,111734,-1.96650505065918,971873,.1215267181396484,3436582,15141589,5636337,117696,-1.072048187255859,13878,-1.678788185119629,7908928,-.0223550796508789,104314,-.7799472808837891,26607,1.161190986633301,6005,-.4961977005004883,8399,.2710332870483398,629047,5878,-1.304712295532227,511996,.4262094497680664,34714,4055013,-.7185430526733398,18707,-.643280029296875,224658,99200,.5590639114379883,1174469,-.0362558364868164,1306575,-.2995090484619141,34565,-.0284919738769531,5222,-1.153082847595215,5282,-1.423140525817871,3079517,682869,-.3194131851196289,656027,34331,2634000,23587252,16310011,23365272,11070,3.027859210968018,4553563,-.2964420318603516,10752196,-1.33076286315918,774545,18057,-.9938278198242188,245104,.331477165222168,353977,-.0468168258666992,1020988,70986,.2495651245117188,183565,.1551895141601563,3878,-.1768054962158203,1160769,-.6518135070800781,116149,.0622882843017578,matched (3),1113572.9,.93101412,112854.75,178375.03
201107,901850,618,4758,849142,07,0,0,0,0,0,1,0,0,0,0,0,21766,771579,-.3424739837646484,214437,-.5515012741088867,510001,-.1190824508666992,208644,.6245079040527344,925417,-.048980712890625,3238664,16448532,6757758,321806,1.005844116210938,23453,.524693489074707,7332692,-.0756492614746094,37232,-1.03023624420166,45723,.5414276123046875,1391,-1.462569713592529,3682,-.8246564865112305,567697,8769,.4000053405761719,326633,-.4494800567626953,15168,4222957,.0405817031860352,24023,.2501144409179688,221846,79202,-.2251367568969727,897858,-.268559455871582,1988858,.4201507568359375,29307,-.1650152206420898,2742,-.6441926956176758,11397,.7690458297729492,2820265,416552,-.4942913055419922,369171,18541,3771000,26719856,11961884,15222322,29,-5.944697856903076,6257126,.3178110122680664,6122451,-.5631475448608398,460128,104755,1.758090972900391,212807,-.1412973403930664,276531,-.2469091415405273,1317633,30969,-.8294954299926758,16670,-2.398958206176758,9084,.8511953353881836,875869,-.281620979309082,110649,-.0485105514526367,matched (3),997808.25,.93101412,103860.04,172824.66
201108,901850,619,4758,1537250,08,0,0,0,0,0,0,1,0,0,0,0,42568,1321095,.5377769470214844,228761,.064661979675293,816095,.4701175689697266,95722,-.7791814804077148,1198769,.2588062286376953,4547080,18792012,8146616,393533,.2012157440185547,6980,-1.211949348449707,8364337,.1316337585449219,15802,-.8570327758789063,57662,.2319965362548828,6319,1.513537883758545,13144,1.272509574890137,615372,4648,-.6347856521606445,746358,.8263683319091797,33164,4352183,.0301418304443359,2784,-2.155123233795166,362442,81537,.0290555953979492,952295,.0588626861572266,1164420,-.5353374481201172,47800,.4891996383666992,9063,1.195512771606445,11318,-.0069561004638672,2638231,537031,.2540445327758789,705859,39107,3924000,31008732,13779619,25019384,17496,6.402431964874268,8234424,.274601936340332,5651285,-.0800790786743164,535447,32386,-1.173897743225098,313923,.3887624740600586,288125,.041071891784668,917576,84219,1.000433921813965,160946,2.267457962036133,8303,-.0898981094360352,914129,.042755126953125,199192,.5879058837890625,matched (3),1111179.9,.93101412,109921.39,176533.75
