period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y107c124,growth107c124,Y1094c792,growth1094c792,Y1212c300,growth1212c300,Y1214c191,Y1344c372,growth1344c372,Y1626c608,Y1742c792,growth1742c792,Y1756c826,growth1756c826,Y2073c705,Y2162c381,Y2213c381,Y2266c428,Y2638c428,growth2638c428,Y2641c826,growth2641c826,Y2757c251,growth2757c251,Y2868c251,growth2868c251,Y2871c705,growth2871c705,Y2984c124,growth2984c124,Y2986c484,growth2986c484,Y3008c381,Y3012c620,growth3012c620,Y3019c246,growth3019c246,Y3057c68,growth3057c68,Y3127c752,growth3127c752,Y3147c586,growth3147c586,Y356c246,growth356c246,Y3735c826,growth3735c826,Y3790c792,growth3790c792,Y3826c600,growth3826c600,Y3833c620,growth3833c620,Y3879c807,Y3912c68,growth3912c68,Y4029c428,growth4029c428,Y4225c688,growth4225c688,Y4266c688,growth4266c688,Y4289c554,Y4365c251,growth4365c251,Y4378c251,growth4378c251,Y4395c218,Y4626c222,growth4626c222,Y4770c68,growth4770c68,Y4885c300,growth4885c300,Y4937c251,growth4937c251,Y4990c792,growth4990c792,Y4992c300,growth4992c300,Y544c300,growth544c300,Y560c703,growth560c703,Y933c124,Y965c586,growth965c586,Y992c68,growth992c68,_merge,x,r2,s,sf
201011,760900,610,3592,1596682,11,0,0,0,0,0,0,0,0,0,1,0,4481669,-.0564212799072266,255711,.680537223815918,153535,-.1033515930175781,7829,3847242,-.0810613632202148,733368,85811,.5540609359741211,3010987,-.1160688400268555,200608,2127736,372525,12340,10037,-1.804399490356445,985107,-.4560546875,14781579,.2713394165039063,1219103,.5647382736206055,36456,.2671928405761719,5883508,.4470605850219727,358138,.8182153701782227,71449,23462,-.2787342071533203,52539,1.533219337463379,23787,-.2075262069702148,136987,.4122629165649414,6478,-2.187036514282227,8520,.3362607955932617,1714264,-.1224536895751953,1317724,.6163492202758789,183574,1.444511413574219,35336,-.3223361968994141,32160,9020,-2.251431465148926,24818,.3415136337280273,537508,2.092211723327637,128906,.7781286239624023,22208,446869,.2807741165161133,560822,.3807134628295898,435015,87523,1.017478942871094,14523,-1.595026969909668,217065,.1778240203857422,5455938,.5032968521118164,505458,.3246345520019531,347525,.1663894653320313,296010,.4615278244018555,519642,.2096261978149414,148745,25029,-1.268465995788574,305756,.5531387329101563,matched (3),2038704.3,.92442697,102853.73,210347.45
201012,760900,611,3592,1147223,12,0,0,0,0,0,0,0,0,0,0,1,4373265,-.0244855880737305,351930,.3193845748901367,74103,-.7284727096557617,5344,3263054,-.1646938323974609,319880,12668,-1.913067817687988,2775806,-.0813264846801758,195930,1208924,250610,8223,13449,.2926273345947266,922347,-.0658292770385742,13295815,-.1059322357177734,1027434,-.171051025390625,14176,-.9445552825927734,11717076,.6888942718505859,275704,-.2615900039672852,112080,8152,-1.05711841583252,37831,-.3284273147583008,4296,-1.711455345153809,68075,-.6992759704589844,41118,1.848033905029297,8790,.0311985015869141,1362854,-.2294025421142578,754474,-.5576400756835938,105972,-.5494422912597656,132176,1.319231986999512,31968,23911,.9748945236206055,11880,-.7367134094238281,183261,-1.076032638549805,89185,-.3683710098266602,169481,428689,-.041534423828125,125060,-1.500609397888184,352426,64767,-.3011054992675781,45963,1.152103424072266,166884,-.2628984451293945,5715891,.0465459823608398,458582,-.0973262786865234,270054,-.2522144317626953,239070,-.2136363983154297,2445,-5.359095096588135,76249,42925,.5394191741943359,145302,-.7439727783203125,matched (3),1565353,.92442697,92777.461,205608.41
201101,760900,612,3592,1054346,01,0,0,0,0,0,0,0,0,0,0,0,4894865,.1126766204833984,336816,-.0438957214355469,33253,-.8013105392456055,9772,2361675,-.3232917785644531,680016,52800,1.427432060241699,2789181,.0048074722290039,245475,1338859,202524,3889,4788,-1.032792091369629,829827,-.1057043075561523,12749354,-.0419692993164063,794933,-.2565622329711914,6775,-.738311767578125,12611560,.0735664367675781,568049,.7228794097900391,161496,16,-6.233429908752441,16994,-.8002681732177734,9614,.8055362701416016,141349,.730621337890625,6170,-1.896746635437012,7482,-.1611146926879883,1850020,.3056154251098633,494580,-.4223117828369141,46346,-.8270406723022461,150834,.1320457458496094,1564938,9419,-.931610107421875,9519,-.2215662002563477,4608,-3.683117866516113,85414,-.0432024002075195,11087,358061,-.180027961730957,207654,.5070791244506836,272000,37374,-.5498208999633789,43293,-.0598459243774414,44836,-1.314287185668945,4638365,-.208888053894043,328326,-.334132194519043,107949,-.9169626235961914,85076,-1.033211708068848,3313,.3038086891174316,221003,10701,-1.389117240905762,136840,-.060002326965332,matched (3),3083212.5,.92442697,573270.56,601918.88
201102,760900,613,3592,1430178,02,1,0,0,0,0,0,0,0,0,0,0,4529817,-.0775051116943359,515784,.4261512756347656,540951,2.789183616638184,13168,2484416,.0506658554077148,470422,84696,.4725570678710938,3245561,.1515398025512695,247518,1431289,442924,18551,34592,1.977509498596191,1113990,.2944869995117188,10903777,-.1563701629638672,1132676,.3540811538696289,13258,.6713619232177734,9167369,-.3189640045166016,266390,-.7572460174560547,518935,2139,4.895504951477051,95420,1.725427627563477,42575,1.488046646118164,150098,.0600566864013672,7485,.193202018737793,7971,.0633096694946289,1929032,.0418214797973633,358835,-.3208465576171875,117804,.9328880310058594,175979,.1541852951049805,1211691,11322,.1840190887451172,4650,-.7164230346679688,639807,4.93337345123291,339654,1.380416870117188,44697,588859,.4974832534790039,319428,.4306583404541016,427156,79264,.7518091201782227,61366,.3488655090332031,163856,1.295976638793945,7072475,.4218482971191406,544522,.5059013366699219,371294,1.235335350036621,118241,.3291797637939453,2825,-.1593451499938965,130099,74213,1.936602592468262,180581,.2773666381835938,matched (3),3612290.3,.92442697,484532.84,518111.22
201103,760900,614,3592,770014,03,0,1,0,0,0,0,0,0,0,0,0,4940374,.0867595672607422,292362,-.5676956176757813,49192,-2.397598266601563,11195,5369095,.7706222534179688,571010,66200,-.2463874816894531,2347681,-.3238601684570313,282327,1173242,310050,9738,4695,-1.997124671936035,1103876,-.0091209411621094,10518863,-.0359401702880859,823071,-.3192958831787109,31605,.8687143325805664,7550478,-.1940393447875977,390277,.3818950653076172,220512,23839,2.410984039306641,12683,-2.018025398254395,9547,-1.495039939880371,70317,-.758275032043457,11827,.457484245300293,9057,.1277275085449219,963814,-.6938753128051758,4626037,2.55659294128418,68251,-.5458307266235352,112266,-.4494943618774414,1021007,17071,.4106330871582031,22809,1.590288162231445,155075,-1.417258262634277,150171,-.8161525726318359,1399,381487,-.4341096878051758,393414,.2083311080932617,143920,15211,-1.650765419006348,50788,-.1891956329345703,77036,-.7547149658203125,7320819,.0345115661621094,316768,-.5417385101318359,383951,.0335206985473633,94773,-.2212400436401367,7013,.9092574119567871,135496,46873,-.4594974517822266,101305,-.5780429840087891,matched (3),2537606.3,.92442697,362365.91,406172.63
201104,760900,615,3592,1278752,04,0,0,1,0,0,0,0,0,0,0,0,5185611,.0484466552734375,517356,.5707387924194336,15049,-1.184418678283691,25952,4302575,-.2214460372924805,499647,33242,-.6888666152954102,2627734,.1126937866210938,209832,2232892,335517,17091,21307,1.512537956237793,1101500,-.0021543502807617,6669128,-.4556808471679688,448944,-.606144905090332,63959,.7049264907836914,6146421,-.2057409286499023,177776,-.7863321304321289,251522,6044,-1.372256278991699,36206,1.048961639404297,15900,.5100917816162109,118266,.519923210144043,43689,1.306711196899414,8059,-.1167478561401367,1231976,.2454767227172852,760571,-1.805386543273926,123087,.5896997451782227,170274,.4165382385253906,33896,28809,.5233068466186523,4612,-1.598493576049805,933197,1.794707298278809,284534,.6390781402587891,3089,447659,.1599550247192383,245326,-.4722747802734375,252447,25924,.5331506729125977,58537,.141998291015625,58707,-.2717142105102539,6146039,-.1749143600463867,424490,.2927188873291016,366090,-.0476360321044922,128231,.3023490905761719,588064,4.429069519042969,136230,93189,.6871871948242188,193741,.6483860015869141,matched (3),2763405,.92442697,182534.5,258816.55
201105,760900,616,3592,1645163,05,0,0,0,1,0,0,0,0,0,0,0,6868409,.2810449600219727,486465,-.0615663528442383,449356,3.396503448486328,22889,3991292,-.0750980377197266,755652,124212,1.318175315856934,3573576,.3074445724487305,340816,2086313,467792,11838,11040,-.6575107574462891,1243744,.1214532852172852,10024021,.4074954986572266,780572,.5531291961669922,37263,-.5402412414550781,8182670,.2861490249633789,360035,.7056770324707031,225531,6294,.0405302047729492,202905,1.723513603210449,21268,.2908849716186523,287384,.887883186340332,7762,-1.727856636047363,11708,.3734827041625977,1671739,.3052453994750977,916198,.1861639022827148,156249,.2385597229003906,170283,.0000534057617188,86895,57134,.6847114562988281,12727,1.015064239501953,1013193,.0822458267211914,250377,-.1278848648071289,45072,583578,.2651462554931641,462541,.6341476440429688,411257,5371,-1.574155807495117,77776,.2841739654541016,129488,.7910289764404297,6478230,.0526399612426758,449466,.0571718215942383,405925,.1032886505126953,142114,.1027956008911133,429986,-.3130826950073242,173428,35389,-.9682283401489258,204726,.055150032043457,matched (3),2742179.3,.92442697,203138.8,273738.06
201106,760900,617,3592,1602572,06,0,0,0,0,1,0,0,0,0,0,0,5273521,-.2642345428466797,484827,-.0033731460571289,510903,.1283645629882813,5265,3260022,-.2023811340332031,674822,80036,-.4395132064819336,2972334,-.1842193603515625,223843,1275050,491379,5761,17790,.47711181640625,804866,-.435206413269043,13647996,.3086090087890625,1470756,.6335048675537109,15915,-.850738525390625,12332730,.4102373123168945,171683,-.7405519485473633,154239,24454,1.357197761535645,93249,-.7774648666381836,15141,-.3397979736328125,37653,-2.032406806945801,91590,2.468082427978516,10014,-.1562881469726563,1666931,-.0028800964355469,297988,-1.123179435729981,128272,-.1972980499267578,137487,-.213932991027832,17190,8603,-1.893288612365723,11787,-.0767288208007813,582052,-.5543022155761719,80252,-1.137796401977539,31415,471236,-.2138195037841797,455567,-.015192985534668,265308,74655,2.631863594055176,70855,-.0931968688964844,104889,-.2106857299804688,4729710,-.3145837783813477,397408,-.1230974197387695,347931,-.1541633605957031,53682,-.9735517501831055,613332,.3551540374755859,89775,27559,-.2500715255737305,298732,.3778743743896484,matched (3),2121731.3,.92442697,173104.69,252254.63
201107,760900,618,3592,1668573,07,0,0,0,0,0,1,0,0,0,0,0,5251347,-.0042133331298828,531649,.0921916961669922,514317,.0066595077514648,22087,3081943,-.0561742782592773,1476158,72635,-.0970296859741211,3726266,.2260599136352539,422731,1577356,511807,17136,33496,.6327886581420898,770667,-.0434188842773438,14980238,.0931377410888672,1104305,-.28656005859375,33645,.7486019134521484,8301949,-.3957653045654297,362343,.7469415664672852,69680,16018,-.4230813980102539,41851,-.8011579513549805,36013,.8664741516113281,96097,.9369449615478516,12591,-1.984339714050293,8059,-.2171945571899414,1700655,.0200290679931641,751832,.9254589080810547,155263,.1909675598144531,164227,.1777200698852539,18872,13519,.4519853591918945,9491,-.2166528701782227,544795,-.0661497116088867,313149,1.361507415771484,78927,425124,-.1029777526855469,602326,.2792558670043945,555081,17060,-1.476140975952148,58133,-.1979026794433594,120017,.1347312927246094,4821089,.0191364288330078,419306,.0536375045776367,541761,.4428205490112305,55059,.0253276824951172,691048,.1193027496337891,177692,85578,1.133098602294922,240690,-.2160367965698242,matched (3),2870838.3,.92442697,185197.02,260701.17
201108,760900,619,3592,1502876,08,0,0,0,0,0,0,1,0,0,0,0,4798702,-.0901393890380859,68543,-2.048521995544434,432083,-.1742219924926758,211,3673671,.1756315231323242,781342,44701,-.4854507446289063,3636253,-.0244531631469727,135189,1101671,380577,7979,18605,-.5879955291748047,1077866,.3354816436767578,18172236,.1931648254394531,1464019,.2819690704345703,7826,-1.458412170410156,6867117,-.1897459030151367,291309,-.2182064056396484,34997,18416,.1395072937011719,26750,-.4475803375244141,7603,-1.555336952209473,56511,-.5309228897094727,12307,-.0228137969970703,10757,.2887668609619141,1524544,-.109318733215332,647570,-.1492853164672852,118647,-.2689685821533203,18094,-2.205668449401856,76501,92794,1.926285743713379,19765,.7335691452026367,237348,-.8308820724487305,390665,.2211713790893555,8472,256984,-.5033674240112305,168946,-1.271219253540039,560968,41131,.8800258636474609,37550,-.4370603561401367,39271,-1.117147445678711,4538039,-.0605049133300781,384479,-.0867109298706055,362433,-.4019851684570313,167770,1.114189147949219,632899,-.0878982543945313,114510,48858,-.5605096817016602,370297,.4307956695556641,matched (3),3165570.5,.92442697,268327.75,325064.5
