period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1231c124,growth1231c124,Y1463c208,growth1463c208,Y1587c807,growth1587c807,Y1727c826,growth1727c826,Y1755c752,growth1755c752,Y2054c826,growth2054c826,Y2073c152,growth2073c152,Y229c246,growth229c246,Y231c124,growth231c124,Y245c124,growth245c124,Y2709c36,Y2842c208,growth2842c208,Y284c124,growth284c124,Y2857c792,growth2857c792,Y2857c826,growth2857c826,Y2863c826,growth2863c826,Y2871c807,growth2871c807,Y2881c124,growth2881c124,Y2917c554,Y2919c152,growth2919c152,Y2943c300,growth2943c300,Y2943c381,Y2953c381,Y2955c826,growth2955c826,Y2973c826,growth2973c826,Y3008c124,growth3008c124,Y3284c703,growth3284c703,Y336c124,growth336c124,Y3571c586,growth3571c586,Y3769c586,growth3769c586,Y3848c586,growth3848c586,Y3946c818,Y4073c344,Y4175c826,growth4175c826,Y4329c381,Y4635c620,growth4635c620,Y4637c440,growth4637c440,Y4919c208,growth4919c208,Y4922c208,growth4922c208,Y4924c191,growth4924c191,Y4924c208,growth4924c208,Y4924c757,growth4924c757,Y4942c826,growth4942c826,Y4966c124,growth4966c124,Y4969c124,growth4969c124,Y4978c191,growth4978c191,Y4982c251,growth4982c251,Y661c372,growth661c372,Y717c300,growth717c300,Y754c752,growth754c752,_merge,x,r2,s,sf
201011,841370,610,3839,16457413,11,0,0,0,0,0,0,0,0,0,1,0,1197919,-.1225528717041016,191028,.2599897384643555,61727,-1.343882560729981,1063042,-.198002815246582,1366971,-.0270442962646484,3938040,-.0167474746704102,215455,-.524470329284668,1406,-2.152786731719971,2590145,-.2339487075805664,534514,.1379175186157227,149672,823094,-.485011100769043,507470,-.1297969818115234,310893,-.5316600799560547,6361117,.0589675903320313,22148624,-.0276565551757813,27054,-.2132024765014648,2610336,.1139240264892578,50424,461809,-.4076623916625977,48771,.0352239608764648,618058,404543,2135655,-.3773126602172852,437557,.0616579055786133,98545,1.379306793212891,1354191,.0221405029296875,15446397,.0606918334960938,4286042,-.2339076995849609,189011,.7661857604980469,129124,-1.031660079956055,781832,4600241,13414935,-.1939620971679688,25886244,382175,-.2019996643066406,726361,.297236442565918,131880,-.5747823715209961,2205070,.1862316131591797,260818,-.2530584335327148,6879134,.4026594161987305,6288247,.3427133560180664,1458259,-.5659055709838867,1430461,.4056816101074219,1296187,.5151576995849609,276926,-.6646232604980469,2732113,-.0581865310668945,4700700,.0223178863525391,1041551,.6143798828125,207289,.1024971008300781,matched (3),25169380,.92074353,1251371.8,2477309
201012,841370,611,3839,22838474,12,0,0,0,0,0,0,0,0,0,0,1,856902,-.3350181579589844,87810,-.7772445678710938,22825,-.9948644638061523,1426170,.2938575744628906,915328,-.4010705947875977,1392767,-1.039390563964844,129726,-.5073270797729492,50177,3.574807643890381,3106351,.1817350387573242,765212,.3587942123413086,409533,1736845,.7467546463012695,523814,.0316991806030273,585188,.6324844360351563,8556295,.2964639663696289,26055156,.1624393463134766,18676,-.3705959320068359,2937581,.118107795715332,21400,1216702,.9687480926513672,115741,.8642187118530273,503017,546730,4573694,.7615480422973633,1179196,.9913816452026367,410246,1.426243782043457,1462759,.0771207809448242,15547091,.0064964294433594,4399692,.0261707305908203,89494,-.7476339340209961,120939,-.0654869079589844,929920,5172765,13687545,.0201187133789063,23704406,270115,-.3470306396484375,1106371,.4207925796508789,117142,-.1185054779052734,1789243,-.2089662551879883,470396,.5897512435913086,9272368,.2985458374023438,6431570,.0225362777709961,1673898,.1379117965698242,3412253,.8693752288818359,2570301,.684596061706543,320413,.1458606719970703,2924553,.0680656433105469,5332143,.1260414123535156,1189361,.1327056884765625,109211,-.6408319473266602,matched (3),26533322,.92074353,1276069.9,2489876
201101,841370,612,3839,29985492,01,0,0,0,0,0,0,0,0,0,0,0,1311065,.4252719879150391,131462,.4035425186157227,66205,1.064899444580078,1651245,.1465377807617188,1196294,.2677011489868164,3944957,1.041145324707031,235064,.5944328308105469,349538,1.941055297851563,3301647,.0609722137451172,1143707,.4018774032592773,1248592,3441456,.6838245391845703,801434,.4252662658691406,941221,.4752445220947266,19845936,.8413324356079102,42897404,.49859619140625,8530,-.7836494445800781,4414094,.4072160720825195,194563,1662752,.3123292922973633,134028,.1466941833496094,827959,1245099,7553412,.501678466796875,4384455,1.313232421875,762572,.6199407577514648,1914582,.2691745758056641,28186828,.5949821472167969,7092020,.4774360656738281,155732,.5539646148681641,186352,.4323501586914063,611506,5660777,22122756,.4801197052001953,21667608,353817,.2699317932128906,1911356,.5467281341552734,150407,.2499580383300781,3490434,.6682329177856445,576895,.2040853500366211,9846520,.0600795745849609,8500795,.2789411544799805,3357026,.6958999633789063,4052197,.1718864440917969,1344590,-.6479339599609375,232143,-.3222570419311523,5806483,.6858339309692383,1942201,-1.009931564331055,993530,-.1799077987670898,277808,.9336481094360352,matched (3),34917076,.92074353,1255666.6,2479481.3
201102,841370,613,3839,20649292,02,1,0,0,0,0,0,0,0,0,0,0,961960,-.3096227645874023,69405,-.638758659362793,383337,1.756157875061035,897584,-.6095781326293945,1306837,.0883817672729492,2227379,-.5716123580932617,399439,.5302038192749023,69159,-1.620203971862793,9626035,1.070051193237305,1059144,-.0768136978149414,3399682,3593127,.0431280136108398,665654,-.1856327056884766,1642389,.5567293167114258,28205188,.3515052795410156,44430460,.0351142883300781,14260,.5138692855834961,4100183,-.0737705230712891,171043,3164466,.6435108184814453,35037,-1.341644287109375,693001,3069360,9420307,.2208681106567383,5381624,.2049245834350586,561426,-.3062171936035156,2093020,.0891084671020508,34175220,.1926460266113281,2402351,-1.082522392272949,119217,-.2671909332275391,797525,1.453876495361328,421730,3927385,19804184,-.1107139587402344,29764074,463681,.2704172134399414,1362400,-.3385648727416992,136094,-.0999994277954102,3224003,-.079401969909668,1230102,.7571926116943359,9041179,-.0853290557861328,10635482,.2240362167358398,3663955,.0874881744384766,2652097,-.4239082336425781,2423184,.5889930725097656,519906,.8062944412231445,5654549,-.026515007019043,4631527,.8690652847290039,607121,-.4925355911254883,165972,-.515110969543457,matched (3),29847070,.92074353,890336.38,2315993.8
201103,841370,614,3839,16324337,03,0,1,0,0,0,0,0,0,0,0,0,1282073,.2872610092163086,21824,-1.156949043273926,697831,.5990629196166992,1932980,.7671108245849609,1064106,-.205474853515625,1634665,-.30938720703125,256912,-.4413280487060547,54820,-.2323532104492188,2787554,-1.239307403564453,1394089,.2747802734375,1231447,2672185,-.2961263656616211,546672,-.1969213485717773,2329431,.3494720458984375,31474268,.1096649169921875,45396176,.0215015411376953,3843,-1.311205863952637,3297376,-.2179050445556641,122499,2422435,-.2672109603881836,34298,-.0213174819946289,677678,3677747,12487832,.2818870544433594,5903902,.0926227569580078,797333,.3507919311523438,2695241,.2528800964355469,31797976,-.0720977783203125,3175121,.2788982391357422,84562,-.3434600830078125,881878,.1005401611328125,775245,7392648,18771486,-.0535526275634766,26935938,382464,-.1925621032714844,1117068,-.1985406875610352,108198,-.2293834686279297,3707565,.1397514343261719,1487885,.1902580261230469,7844984,-.1419143676757813,13257683,.2203807830810547,3584330,-.0219717025756836,4875502,.6088724136352539,2460950,.0154647827148438,634594,.1993370056152344,5646091,-.0014963150024414,5218808,.1193819046020508,1272117,.7397098541259766,290829,.5609169006347656,matched (3),26628584,.92074353,1025715.9,2371333.3
201104,841370,615,3839,27538258,04,0,0,1,0,0,0,0,0,0,0,0,1317544,.0272912979125977,156696,1.971297264099121,640752,-.0853347778320313,1390490,-.32940673828125,2020104,.6410140991210938,2171816,.2841253280639648,312654,.1963634490966797,286804,1.654744148254395,4468842,.4719648361206055,1163239,-.1810331344604492,1663839,1387905,-.6551008224487305,1042141,.6451835632324219,2837264,.1972160339355469,27153620,-.1476593017578125,43718520,-.0376548767089844,7855,.7148971557617188,1840542,-.5830669403076172,277547,3657103,.4118976593017578,19930,-.5428609848022461,547453,2504459,16209388,.2608356475830078,7033481,.1750688552856445,546885,-.3770332336425781,3225202,.1795082092285156,40008312,.2296848297119141,6440616,.7072782516479492,137496,.486109733581543,990460,.1161155700683594,2909197,7210326,20829600,.104034423828125,28884534,369034,-.0357456207275391,1136423,.0171785354614258,81323,-.2855339050292969,4203330,.1255016326904297,1660676,.1098690032958984,8948538,.1316146850585938,15016782,.1245918273925781,4252069,.1708345413208008,5561301,.1316089630126953,2358326,-.0425949096679688,1398152,.7899208068847656,4917544,-.1381549835205078,5947549,.1307106018066406,697577,-.600825309753418,152392,-.6462793350219727,matched (3),23282446,.92074353,1962655.5,2902265.5
201105,841370,616,3839,25406628,05,0,0,0,1,0,0,0,0,0,0,0,1294166,-.0179033279418945,195674,.222142219543457,1351100,.7460317611694336,1139496,-.1990699768066406,1116624,-.592839241027832,3034208,.3343868255615234,182422,-.5387744903564453,35511,-2.088955879211426,4547333,.0174112319946289,1236522,.0610942840576172,1204722,1058903,-.2705621719360352,638121,-.490504264831543,1458492,-.6654367446899414,28935092,.0635433197021484,50079408,.1358375549316406,14976,.645298957824707,2273865,.211421012878418,121930,2156773,-.5280580520629883,104810,1.659922599792481,476745,2470387,21456984,.2804603576660156,7493578,.0633649826049805,478920,-.1327056884765625,2023585,-.46612548828125,35999608,-.1055793762207031,799623,-2.086238861083984,101248,-.3060216903686523,792143,-.2234268188476563,1258242,7074450,21728592,.0422554016113281,30637004,540426,.3814687728881836,1043409,-.085392951965332,114079,.3384628295898438,3214157,-.2683115005493164,1633763,-.0163383483886719,8785498,-.0183868408203125,15319228,.0199394226074219,5668861,.2875823974609375,5184622,-.0701351165771484,2010982,-.1593294143676758,1317321,-.0595512390136719,3906004,-.2302942276000977,4237315,-.3390493392944336,886860,.2400741577148438,275748,.5930309295654297,matched (3),18782280,.92074353,1512362.5,2618848.8
201106,841370,617,3839,23774860,06,0,0,0,0,1,0,0,0,0,0,0,1099492,-.1630182266235352,169519,-.1434850692749023,729888,-.6157827377319336,2430382,.7574625015258789,694926,-.4742593765258789,1575402,-.6554393768310547,118939,-.4277114868164063,84630,.8684463500976563,3361465,-.3021640777587891,824096,-.4057703018188477,750214,918429,-.1423234939575195,541923,-.1634044647216797,905860,-.4762735366821289,17682078,-.4925022125244141,34558316,-.3709621429443359,5375,-1.024690628051758,3060582,.297123908996582,137876,2554148,.1691055297851563,30287,-1.241430282592773,543665,1089920,18250716,-.1618461608886719,3189910,-.8540544509887695,267002,-.5842771530151367,1771537,-.1330232620239258,31543112,-.1321525573730469,641634,-.2201223373413086,132711,.2706003189086914,1128758,.354130744934082,847637,6490434,19903164,-.0877513885498047,22305688,367350,-.386042594909668,477897,-.780853271484375,109205,-.0436649322509766,2154445,-.4000320434570313,1523313,-.0699987411499023,5963308,-.387476921081543,9478147,-.4801197052001953,4301849,-.2759437561035156,3796656,-.3115758895874023,1766226,-.1297779083251953,1075057,-.2032260894775391,3540628,-.098210334777832,5272799,.2186317443847656,1233958,.3302955627441406,254581,-.0798683166503906,matched (3),20663326,.92074353,845018.63,2298953
201107,841370,618,3839,20216568,07,0,0,0,0,0,1,0,0,0,0,0,1215989,.1007099151611328,128832,-.2744550704956055,55211,-2.581728935241699,1556901,-.4453506469726563,867037,.2212762832641602,2962350,.6314716339111328,67072,-.5728445053100586,24206,-1.251688957214356,3024082,-.105769157409668,712091,-.1460819244384766,643981,1627451,.5721054077148438,574944,.0591487884521484,857963,-.0543241500854492,11798282,-.4045982360839844,33444576,-.0327587127685547,1787,-1.10122013092041,4211019,.3190994262695313,156661,6528179,.9384098052978516,83473,1.013804435729981,505445,1000177,11424995,-.4684009552001953,1985506,-.4741182327270508,134188,-.688014030456543,1968033,.1051874160766602,24337944,-.2593193054199219,4309101,1.904465675354004,107257,-.2129459381103516,346634,-1.180603981018066,243670,5753335,19211360,-.0353755950927734,17308680,315368,-.1525754928588867,237349,-.6998634338378906,76997,-.3494596481323242,1895087,-.1282691955566406,1019425,-.4016485214233398,3596810,-.5055780410766602,7311943,-.2594795227050781,3963942,-.0818052291870117,2303666,-.4996194839477539,1697185,-.0398740768432617,577272,-.6218156814575195,2780510,-.2416696548461914,4648197,-.1260824203491211,1001889,-.2083396911621094,127263,-.6933631896972656,matched (3),19641328,.92074353,745796.5,2264363.3
201108,841370,619,3839,15295483,08,0,0,0,0,0,0,1,0,0,0,0,1080136,-.1184711456298828,100917,-.2442111968994141,224974,1.40482234954834,1560054,.0020227432250977,786914,-.0969629287719727,3433728,.1476640701293945,112689,.5188655853271484,17470,-.326115608215332,2906193,-.0397634506225586,223817,-1.157376289367676,432652,3029715,.6214532852172852,564319,-.0186529159545898,650108,-.2774229049682617,6429068,-.6071243286132813,24049896,-.3297576904296875,12839,1.971948623657227,3679991,-.1347942352294922,81096,5945082,-.0935640335083008,41150,-.7072992324829102,367582,797184,6470493,-.5685510635375977,728585,-1.002525329589844,78566,-.5353031158447266,1799559,-.0894927978515625,19565384,-.2182750701904297,690472,-1.831109046936035,98644,-.0837106704711914,329872,-.0495643615722656,196488,5712739,17056746,-.11895751953125,15231535,141833,-.7990894317626953,472732,.6889972686767578,121571,.4567317962646484,1771246,-.0675811767578125,479097,-.7550907135009766,4200104,.1550617218017578,5002843,-.3795022964477539,3157307,-.2275199890136719,1296777,-.5746192932128906,1128032,-.4084968566894531,469851,-.205897331237793,2513051,-.1011371612548828,4255903,-.0881719589233398,1091947,.0860748291015625,267067,.7412433624267578,matched (3),17555634,.92074353,1162479.5,2433616
