period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1104c752,growth1104c752,Y1438c484,growth1438c484,Y1483c376,Y1574c752,growth1574c752,Y1714c826,growth1714c826,Y1722c268,growth1722c268,Y1750c152,growth1750c152,Y1762c818,Y1846c826,growth1846c826,Y1982c352,growth1982c352,Y2078c300,growth2078c300,Y2219c124,Y2219c348,growth2219c348,Y2313c792,growth2313c792,Y2404c348,growth2404c348,Y2485c222,growth2485c222,Y2555c620,growth2555c620,Y2611c752,growth2611c752,Y271c757,growth271c757,Y2946c203,Y2950c300,growth2950c300,Y3102c36,Y3214c586,Y3431c246,growth3431c246,Y3534c792,growth3534c792,Y3582c152,Y3735c600,growth3735c600,Y3799c381,Y3816c757,growth3816c757,Y3990c826,growth3990c826,Y4018c616,growth4018c616,Y4022c428,growth4022c428,Y4112c620,Y4123c484,growth4123c484,Y4138c703,growth4138c703,Y4199c222,growth4199c222,Y4317c300,growth4317c300,Y4321c705,growth4321c705,Y4395c818,Y4438c428,growth4438c428,Y4466c68,growth4466c68,Y4472c705,growth4472c705,Y4484c807,growth4484c807,Y4694c792,growth4694c792,Y4697c152,growth4697c152,Y4777c376,Y4790c608,Y4796c352,growth4796c352,Y496c251,growth496c251,Y990c251,growth990c251,_merge,x,r2,s,sf
201011,840490,610,3792,815265,11,0,0,0,0,0,0,0,0,0,1,0,485372,1.510592460632324,274647,-.1148891448974609,3662000,155515,.0506381988525391,5379723,.2613601684570313,197738,-.0286693572998047,358682,-.0844335556030273,216517,464209,-.222198486328125,430301,1.681596755981445,419534,.7097396850585938,50421,53659,-.7753448486328125,23309,3.45536470413208,142899,.9246101379394531,368867,.5637283325195313,14476,.8740873336791992,10199,-.8441123962402344,6651,-.4153890609741211,263487,997013,-.328944206237793,163691,589205,989736,.0405092239379883,892575,-.015559196472168,48271,40398,.0859994888305664,1371217,4186189,.4260482788085938,1451514,.5165195465087891,362858,.1286287307739258,8164,-1.921286582946777,461468,355291,-.0398149490356445,188966,.8959197998046875,109919,.3035678863525391,1416233,-.2118654251098633,130593,.0059671401977539,235093,1045214,1.269731521606445,24842,1.691710472106934,330296,-.2727184295654297,282772,.6180334091186523,169131,.9105491638183594,130954,1.143626213073731,583000,277824,338233,.016448974609375,3490666,.5355997085571289,63284,2.343779563903809,matched (3),2524322,.83091044,404726.47,693891.56
201012,840490,611,3792,735991,12,0,0,0,0,0,0,0,0,0,0,1,429112,-.1231975555419922,264760,-.0366630554199219,2447000,61730,-.9239721298217773,2987368,-.5882434844970703,200329,.0130176544189453,256042,-.3370952606201172,92415,422106,-.0950784683227539,104006,-1.420036315917969,308388,-.3077850341796875,12502,50111,-.0684089660644531,8854,-.9679698944091797,53667,-.979339599609375,138224,-.9815607070922852,15805,.087834358215332,15942,.4466667175292969,7741,.151763916015625,175846,977891,-.0193653106689453,73172,181039,278236,-1.26896858215332,472148,-.6368179321289063,2554,57278,.3491363525390625,2839995,1531269,-1.005693435668945,1998175,.3196268081665039,183156,-.6836729049682617,55483,1.916342735290527,254086,172262,-.7239198684692383,110546,-.5361356735229492,100838,-.0862283706665039,984593,-.3635272979736328,120187,-.0830364227294922,439808,990045,-.0542268753051758,7823,-1.155467033386231,294111,-.1160316467285156,110923,-.9358043670654297,79571,-.7540245056152344,55325,-.8616209030151367,491000,183187,108565,-1.136385917663574,17771864,1.627523422241211,57091,-.1029853820800781,matched (3),342893.03,.83091044,251287.14,617111.94
201101,840490,612,3792,10942725,01,0,0,0,0,0,0,0,0,0,0,0,437794,.0200309753417969,186975,-.3478488922119141,4366000,142284,.8350553512573242,2335477,-.2461767196655273,192223,-.0413045883178711,369513,.3668451309204102,2065,820742,.664952278137207,361278,1.245199203491211,402230,.2656650543212891,27343,120200,.8749170303344727,44042,1.604273796081543,56393,.0495471954345703,120618,-.1362466812133789,69127,1.475619316101074,20614,.2570133209228516,35813,1.531779289245606,365797,1314116,.2955207824707031,117648,19297,390740,.3395719528198242,762822,.479731559753418,28457,70162,.2028894424438477,12173258,2248825,.3843107223510742,6379702,1.160886764526367,129717,-.3449831008911133,47652,-.1521520614624023,823991,355710,.7250986099243164,156753,.3492393493652344,144191,.3576231002807617,1176856,.1783733367919922,130391,.0814886093139648,566014,248058,-1.384087562561035,14558,.6210718154907227,317618,.0768918991088867,268291,.8832359313964844,425046,1.675547599792481,179345,1.17608642578125,554000,400436,175662,.4812126159667969,3322699,-1.676838874816895,41937,-.3084783554077148,matched (3),2056338.5,.83091044,490907.19,747443.5
201102,840490,613,3792,769309,02,1,0,0,0,0,0,0,0,0,0,0,434571,-.0073890686035156,372184,.6884136199951172,1182000,99187,-.3608179092407227,3619193,.4380350112915039,188333,-.0204448699951172,171346,-.7685012817382813,36728,483192,-.5297946929931641,52818,-1.922796249389648,216637,-.6188011169433594,39489,92649,-.2603397369384766,15307,-1.056833267211914,39009,-.3685531616210938,234708,.6657133102416992,43671,-.4592609405517578,31843,.4348478317260742,7067,-1.622874259948731,273499,1186003,-.1025753021240234,87737,0,1245280,1.159073829650879,487614,-.4475002288818359,5524,58247,-.1861143112182617,760850,9213774,1.410292625427246,6378214,-.0002326965332031,508235,1.365589141845703,3224,-2.693302154541016,184700,138219,-.9452762603759766,186009,.1711244583129883,156839,.0840816497802734,771892,-.421757698059082,124193,-.0487003326416016,222261,1064126,1.456246376037598,6863,-.7519960403442383,443784,.3344879150390625,112423,-.8698034286499023,110665,-1.34568977355957,27737,-1.866544723510742,483000,334898,69390,-.9288187026977539,3259886,-.0190849304199219,125857,1.098978042602539,matched (3),706325.31,.83091044,357433.78,667413.56
201103,840490,614,3792,446882,03,0,1,0,0,0,0,0,0,0,0,0,482000,.1035842895507813,333820,-.1087865829467773,2308000,160625,.4820652008056641,4071015,.1176414489746094,170273,-.1008081436157227,503531,1.077960014343262,376261,936986,.6622543334960938,307155,1.760500907897949,493171,.8226327896118164,35238,94619,.0210409164428711,7891,-.6625871658325195,30182,-.2565469741821289,178068,-.2761764526367188,15476,-1.037393569946289,35389,.1055831909179688,12794,.5935401916503906,270573,1164465,-.0183267593383789,1300,1664190,1137811,-.0902538299560547,1042741,.7600841522216797,2928,85139,.3795928955078125,1093952,4336642,-.7536001205444336,6253342,-.0197725296020508,634722,.2222433090209961,36653,2.430872917175293,238838,613894,1.490983009338379,430497,.8391447067260742,193785,.2115287780761719,1809147,.8517665863037109,135332,.0858936309814453,382375,564736,-.6335506439208984,2788,-.9008197784423828,539620,.1955280303955078,292614,.9565858840942383,94683,-.1559724807739258,219026,2.066423416137695,753000,110900,144895,.7362661361694336,2765922,-.1643180847167969,8175,-2.734066009521484,matched (3),2022364.1,.83091044,439097.84,714485.06
201104,840490,615,3792,420847,04,0,0,1,0,0,0,0,0,0,0,0,265675,-.5956697463989258,495546,.3950586318969727,1790000,150977,-.0619449615478516,3018282,-.2992048263549805,83991,-.7066936492919922,283149,-.5756721496582031,387874,904242,-.0355710983276367,220656,-.3307476043701172,279366,-.5683326721191406,32253,141069,.3993902206420898,399,-2.984517097473145,34069,.1211423873901367,168948,-.0525751113891602,6655,-.8439226150512695,12333,-1.054122924804688,23451,.6059370040893555,201856,1099441,-.057459831237793,107437,735076,973766,-.1556911468505859,785059,-.2838497161865234,46970,55066,-.4357528686523438,235982,2883996,-.407923698425293,8466359,.3029851913452148,591815,-.0699930191040039,1340,-3.308825969696045,432768,183475,-1.207743644714356,98596,-1.473909378051758,403509,.7334499359130859,1336477,-.3028182983398438,219569,.4839363098144531,192136,165556,-1.227048873901367,5616,.7002954483032227,220317,-.8957977294921875,99247,-1.081242561340332,169984,.585169792175293,105194,-.7333841323852539,569000,201797,83411,-.5522289276123047,6215765,.8097143173217773,39354,1.571516990661621,matched (3),1605885.5,.83091044,535220.13,777266.06
201105,840490,616,3792,461915,05,0,0,0,1,0,0,0,0,0,0,0,343857,.2579517364501953,353757,-.3370504379272461,2995000,87894,-.5409955978393555,3394216,.1173849105834961,253450,1.104456901550293,304225,.0717945098876953,60406,1128777,.2217931747436523,182093,-.1920871734619141,204225,-.3133010864257813,34483,43402,-1.178743362426758,97577,5.499435424804688,56745,.5101795196533203,145398,-.150115966796875,70407,2.358924865722656,14448,.1582775115966797,14918,-.4523448944091797,257154,1338052,.1964130401611328,89962,514389,1377494,.3468503952026367,1087952,.3262939453125,961,56091,.0184431076049805,1030093,2988478,.0355873107910156,6656992,-.2404336929321289,622754,.0509567260742188,50792,3.635069370269775,148530,217033,.1679706573486328,295993,1.099305152893066,112973,-1.273050308227539,1769258,.2805233001708984,473313,.7680902481079102,328850,784425,1.555641174316406,9493,.5249347686767578,794789,1.283008575439453,174717,.5655555725097656,144144,-.1648921966552734,235551,.8061208724975586,1258000,370722,137522,.5000038146972656,7335993,.1657037734985352,18537,-.7528285980224609,matched (3),660357.88,.83091044,421204.03,703629.75
201106,840490,617,3792,549104,06,0,0,0,0,1,0,0,0,0,0,0,423597,.20855712890625,363968,.0284557342529297,3106000,66947,-.2722311019897461,3410272,.0047197341918945,211868,-.1792030334472656,397977,.2686271667480469,343519,1355143,.1827716827392578,275432,.413823127746582,398361,.6681365966796875,12356,155534,1.276358604431152,20733,-1.548914909362793,4878,-2.453831672668457,243147,.5141916275024414,13612,-1.643341064453125,14201,-.0172433853149414,18200,.1988525390625,426705,1134321,-.1651811599731445,175435,179360,1076553,-.2465019226074219,1171678,.0741395950317383,11509,107233,.6480283737182617,529047,3669713,.2053499221801758,4263428,-.4455938339233398,368105,-.525782585144043,304547,1.791086196899414,1252631,321664,.393458366394043,305428,.0313777923583984,70554,-.4707698822021484,2296454,.2608051300048828,251786,-.6311779022216797,461003,86003,-2.210568428039551,1254,-2.024216175079346,503980,-.4555397033691406,103444,-.5241374969482422,34625,-1.426236152648926,8748,-3.293102264404297,415000,348495,91984,-.4021692276000977,10445328,.3533620834350586,150844,2.096477508544922,matched (3),1155667.3,.83091044,413989.38,699334.81
201107,840490,618,3792,1896181,07,0,0,0,0,0,1,0,0,0,0,0,57142,-2.003243446350098,446494,.2043600082397461,4134000,96624,.3669261932373047,3718314,.0864782333374023,355864,.518585205078125,165614,-.876734733581543,179414,1505160,.1049928665161133,64579,-1.450451850891113,312981,-.241215705871582,25107,183620,.1660041809082031,15854,-.2683048248291016,12039,.9034156799316406,204183,-.1746492385864258,93468,1.926667213439941,23949,.5226144790649414,28617,.4525794982910156,561445,1323143,.1539764404296875,123111,864654,1511442,.3393001556396484,1330351,.1270055770874023,30406,21471,-1.60830020904541,5661153,4071996,.1040191650390625,1355007,-1.146266937255859,446084,.192138671875,244460,-.2197732925415039,1067427,375593,.154998779296875,284638,-.07049560546875,393706,1.719225883483887,2091858,-.0933132171630859,122488,-.7205657958984375,702173,301682,1.254990577697754,25420,3.00919771194458,620840,.2085371017456055,745566,1.975113868713379,72415,.7378368377685547,173363,2.986562728881836,1364000,464839,63612,-.3688125610351563,5302057,-.6780595779418945,87396,-.5457973480224609,matched (3),1094516.1,.83091044,587103.13,813862.44
201108,840490,619,3792,1747972,08,0,0,0,0,0,0,1,0,0,0,0,272617,1.562528610229492,342400,-.2654457092285156,3531000,152595,.4569606781005859,3931878,.0558462142944336,339917,-.0458469390869141,541758,1.185159683227539,123057,987357,-.4216232299804688,169262,.9635581970214844,229488,-.3102922439575195,11510,80751,-.821497917175293,6448,-.8996515274047852,1291,-2.232734203338623,284802,.3327770233154297,13585,-1.928652763366699,21830,-.0926418304443359,5843,-1.588756561279297,775913,827778,-.4690208435058594,121379,356482,1211510,-.2211971282958984,616491,-.7691545486450195,30174,32901,.4267997741699219,312304,3104679,-.2712230682373047,1891275,.3334445953369141,679544,.4209146499633789,5510,-3.792487144470215,611111,169569,-.7952461242675781,54030,-1.661678314208984,145380,-.9962539672851563,1404137,-.3986301422119141,198358,.4820594787597656,770274,311972,.0335407257080078,23382,-.0835695266723633,600568,-.033198356628418,350470,-.7548685073852539,135533,.6268024444580078,93036,-.622401237487793,1081000,322709,70756,.1064348220825195,10084162,.6428709030151367,14572,-1.791347503662109,matched (3),1518527.4,.83091044,381822.53,680786.63
