period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1162c826,growth1162c826,Y1199c484,growth1199c484,Y1485c376,Y1622c586,growth1622c586,Y1771c344,Y1888c826,growth1888c826,Y2049c68,growth2049c68,Y2108c620,growth2108c620,Y2160c752,growth2160c752,Y2224c344,Y2717c344,Y271c36,Y2789c208,growth2789c208,Y2871c344,Y2883c428,growth2883c428,Y2897c251,growth2897c251,Y2912c440,growth2912c440,Y3109c300,growth3109c300,Y3110c792,growth3110c792,Y3150c428,growth3150c428,Y3152c792,growth3152c792,Y3300c124,growth3300c124,Y3329c372,Y3487c124,growth3487c124,Y350c246,growth350c246,Y3674c124,growth3674c124,Y4194c442,Y4195c251,growth4195c251,Y4246c381,Y427c344,Y4299c688,growth4299c688,Y4342c600,growth4342c600,Y437c251,growth437c251,Y4389c428,growth4389c428,Y4437c600,Y4441c251,growth4441c251,Y4703c222,growth4703c222,Y4732c352,Y4755c428,growth4755c428,Y4808c268,growth4808c268,Y487c484,growth487c484,Y4925c484,growth4925c484,Y5024c124,growth5024c124,Y516c152,growth516c152,Y654c705,growth654c705,Y718c484,growth718c484,Y887c620,growth887c620,Y894c203,Y933c484,growth933c484,Y937c191,growth937c191,_merge,x,r2,s,sf
201011,293329,610,1292,1804926,11,0,0,0,0,0,0,0,0,0,1,0,864956,.2431936264038086,364645,1.449636459350586,1133000,2245133,-.1583700180053711,6194898,1708489,.0349578857421875,323390,-.7606992721557617,237152,.0479755401611328,9421,.016265869140625,2455937,330197,535957,818055,-.4815950393676758,401168,44724,-1.082890510559082,12288568,.1360301971435547,6842,.0694417953491211,112355,.0473403930664063,3039470,.0933094024658203,612866,-.2152681350708008,659570,-.3132047653198242,6028024,.1684341430664063,41570,381265,-.7483663558959961,249260,.5033979415893555,313702,-.3467998504638672,2057830,157171488,-.0435714721679688,15975,66934,127314,.0819644927978516,412605,.7407302856445313,2054949,.5689506530761719,121083,.4635868072509766,1368905,25228276,.4003467559814453,499,-3.501293659210205,836209,1308800,.1582374572753906,19935,1.191758155822754,13041083,.0639762878417969,1358511,.0447368621826172,174541,.5776205062866211,3700869,-.1341114044189453,15980,.5086383819580078,27276,-.5961475372314453,369364,-1.049728393554688,417363,150430,-.5965814590454102,62281,.203582763671875,matched (3),2834105.8,.80747455,443009.09,579737.63
201012,293329,611,1292,1921406,12,0,0,0,0,0,0,0,0,0,0,1,853571,-.0132503509521484,542860,.3979272842407227,513000,2144571,-.0458250045776367,5971539,1681922,-.0156726837158203,743239,.8321590423583984,267060,.1187725067138672,10707,.1279563903808594,2046299,496758,712128,999398,.2002229690551758,1259872,100917,.8137884140014648,14071767,.1354999542236328,6962,.0173864364624023,157525,.337921142578125,3353556,.0983381271362305,1402912,.8281583786010742,1112336,.5226297378540039,6384363,.0574321746826172,0,439584,.142333984375,75874,-1.189421653747559,660821,.7450399398803711,2927422,213303968,.3053798675537109,55888,88784,177720,.3335533142089844,421211,.0206432342529297,1955994,-.0493526458740234,72682,-.5103826522827148,1335784,36232200,.3619823455810547,1563,1.141756534576416,1348628,1375646,.0498123168945313,26398,.2808113098144531,16830700,.2551002502441406,1499999,.0990753173828125,109816,-.463353157043457,4027474,.0845718383789063,26859,.5192632675170898,55653,.7131290435791016,2274113,1.817562103271484,573181,250652,.5105676651000977,136047,.7813444137573242,matched (3),2359665.8,.80747455,627762.63,730701.44
201101,293329,612,1292,1275501,01,0,0,0,0,0,0,0,0,0,0,0,1185113,.3281650543212891,320619,-.5265979766845703,444000,2077512,-.031768798828125,5236599,1505990,-.1104860305786133,1482687,.6905937194824219,38695,-1.9317626953125,15818,.3902502059936523,2288908,855350,697813,828601,-.1874141693115234,1825321,9748,-2.337236404418945,15249585,.0803813934326172,4874,-.3565511703491211,182124,.1451034545898438,3597341,.0701742172241211,1265807,-.102839469909668,589272,-.6353302001953125,5679304,-.1170225143432617,330577,252314,-.5551538467407227,226372,1.093105316162109,624575,-.0564117431640625,2190492,169088272,-.2322959899902344,12679,90294,30169,-1.773394584655762,130579,-1.17115592956543,1542813,-.2372913360595703,82114,.1220149993896484,1538230,23289366,-.4419517517089844,4153,.9772233963012695,395506,1086470,-.2359895706176758,5920,-1.494952201843262,14838984,-.1259479522705078,1401665,-.0678033828735352,179876,.4934616088867188,3643428,-.1002140045166016,19976,-.2960700988769531,113112,.7092428207397461,530570,-1.455392837524414,645315,162926,-.4307699203491211,30604,-1.491869926452637,matched (3),2599565.8,.80747455,327040.94,496784.09
201102,293329,613,1292,1271131,02,1,0,0,0,0,0,0,0,0,0,0,1259190,.0606307983398438,152130,-.745518684387207,984000,1915968,-.0809478759765625,2166778,1623401,.0750722885131836,596510,-.9105157852172852,133846,1.240979194641113,14700,-.0733003616333008,2179242,193947,602375,611421,-.3039531707763672,2160369,34296,1.257966995239258,17646928,.1460094451904297,10245,.7428741455078125,121149,-.4076662063598633,3723751,.0345363616943359,745742,-.5290861129760742,625244,.0592546463012695,5609660,-.0123386383056641,515858,447222,.5723810195922852,290014,.2477493286132813,492968,-.2366275787353516,1601901,107855344,-.4496307373046875,57940,75000,33138,.0938653945922852,348508,.9816827774047852,1901906,.2092494964599609,271404,1.195500373840332,2705646,26348520,.1234169006347656,985,-1.438944339752197,391913,1352973,.2193708419799805,22125,1.318371772766113,11628690,-.2437820434570313,1377971,-.0170488357543945,143335,-.2270832061767578,3718280,.0203361511230469,8332,-.8744277954101563,87339,-.2585821151733398,713657,.2964506149291992,775372,113652,-.3601541519165039,27887,-.0929698944091797,matched (3),1766586.3,.80747455,324896.63,495375.09
201103,293329,614,1292,1154487,03,0,1,0,0,0,0,0,0,0,0,0,1619347,.2515544891357422,587265,1.350741386413574,662000,1602185,-.1788549423217773,5762917,1626858,.0021276473999023,792890,.2845888137817383,99811,-.2934112548828125,11437,-.2509937286376953,2850374,518590,414873,553744,-.0990829467773438,1725299,26865,-.2442045211791992,19095896,.0789127349853516,6762,-.415471076965332,117354,-.0318260192871094,4859127,.2661266326904297,1427544,.6493310928344727,1060029,.5279092788696289,5530107,-.0142831802368164,510597,599460,.292973518371582,72893,-1.380936622619629,448703,-.0940828323364258,1940135,221640048,.7202644348144531,42431,57008,76678,.8389339447021484,275752,-.2341594696044922,2461402,.2578744888305664,165641,-.4937858581542969,1898996,22381560,-.1631755828857422,4263,1.465086460113525,46135,1229118,-.0960073471069336,13022,-.5300674438476563,12959003,.1083164215087891,1747639,.2376537322998047,126701,-.1233549118041992,5002701,.2967166900634766,20279,.8894824981689453,54373,-.4739294052124023,1101854,.4343471527099609,1690169,157431,.3258457183837891,18557,-.407313346862793,matched (3),456511.09,.80747455,291376.75,474066.53
201104,293329,615,1292,1143378,04,0,0,1,0,0,0,0,0,0,0,0,696084,-.8443078994750977,477960,-.2059497833251953,1214000,1136467,-.3434438705444336,6709809,1793067,.0972766876220703,847001,.0660171508789063,119768,.1822776794433594,60757,1.670028686523438,3409866,343775,320209,687988,.2170686721801758,811889,59807,.800297737121582,17963104,-.0611534118652344,6566,-.0294132232666016,108676,-.0768241882324219,3787369,-.2491865158081055,983954,-.37213134765625,893265,-.171168327331543,5665110,.0241193771362305,139105,445951,-.2958202362060547,257472,1.261918067932129,169487,-.9735851287841797,1677308,150470368,-.3872890472412109,707109,26335,61913,-.2138843536376953,64181,-1.457794189453125,1924368,-.2461338043212891,82829,-.6930446624755859,1432622,17931836,-.2216606140136719,3573,-.1765670776367188,699200,1381145,.1166152954101563,68788,1.664388656616211,11401534,-.1280441284179688,3639695,.7336339950561523,85138,-.3975563049316406,4678936,-.0669069290161133,20273,-.0002956390380859,92710,.5336093902587891,1481466,.2960376739501953,857248,282265,.5838594436645508,12129,-.4252481460571289,matched (3),2187692.3,.80747455,428364.78,568625.56
201105,293329,616,1292,854020,05,0,0,0,1,0,0,0,0,0,0,0,2122223,1.114748954772949,652853,.3118257522583008,1295000,1341825,.1661062240600586,5111647,1463746,-.2029285430908203,987599,.1535749435424805,54881,-.7803888320922852,69759,.1381635665893555,4909884,261054,296577,484708,-.350224494934082,422459,37738,-.4604549407958984,17707100,-.0143547058105469,4394,-.4016647338867188,101209,-.0711832046508789,3593529,-.0525369644165039,862380,-.1318836212158203,961853,.0739784240722656,5588912,-.0135421752929688,130643,450240,.0095720291137695,134036,-.6528024673461914,192864,.1292095184326172,2037990,150316464,-.0010242462158203,18652,20973,54103,-.1348409652709961,369011,1.749118804931641,1802832,-.0652389526367188,105103,.2381629943847656,993443,21569444,.1847000122070313,1570,-.8223299980163574,841712,1325075,-.04144287109375,10321,-1.896848678588867,8289813,-.3187198638916016,2810991,-.2583627700805664,150427,.5692043304443359,4995037,.065373420715332,19092,-.0600204467773438,84734,-.0899600982666016,724646,-.7151041030883789,1023077,305048,.0776224136352539,6109,-.6858358383178711,matched (3),2116802.5,.80747455,423006.75,564600.19
201106,293329,617,1292,1181729,06,0,0,0,0,1,0,0,0,0,0,0,1809850,-.1592206954956055,424099,-.4313850402832031,547000,913200,-.3848304748535156,6833390,1260280,-.1496648788452148,1063393,.0739431381225586,96308,.5623836517333984,101766,.3776302337646484,1705752,789742,336606,645762,.2868843078613281,816307,9998,-1.328282356262207,18875042,.0638751983642578,5470,.2190380096435547,138470,.3134660720825195,3999516,.1070384979248047,1115817,.2576465606689453,957658,-.0043706893920898,5613917,.0044641494750977,89895,213281,-.7471704483032227,185317,.3239593505859375,363332,.633331298828125,2268297,174358640,.1483726501464844,93191,73066,316188,1.765447616577148,324576,-.1283063888549805,1506452,-.1796016693115234,169132,.475738525390625,712310,16780652,-.2510509490966797,279,-1.727619171142578,76967,976662,-.305084228515625,27585,.9830913543701172,9028581,.0853672027587891,1823510,-.4327735900878906,161630,.0718317031860352,5063338,.0135812759399414,17021,-.1148223876953125,69691,-.1954450607299805,1192174,.4978504180908203,1711611,331944,.0844974517822266,22490,1.30330753326416,matched (3),1434171.5,.80747455,251415.16,450608.75
201107,293329,618,1292,1264737,07,0,0,0,0,0,1,0,0,0,0,0,1306531,-.3258686065673828,778918,.6079387664794922,1020000,1111589,.1965904235839844,6942787,1610643,.2452993392944336,780001,-.3099241256713867,216362,.8094015121459961,55116,-.6132364273071289,2166558,764144,741789,1077588,.512049674987793,1815735,11189,.1125459671020508,23928102,.237213134765625,14157,.9509305953979492,209609,.4145898818969727,5512007,.3207550048828125,1304073,.1559057235717773,888825,-.0745906829833984,6331154,.1202335357666016,91714,492995,.8378887176513672,238451,.2520961761474609,763770,.742950439453125,1978959,151730032,-.1390113830566406,327330,43670,55026,-1.748531341552734,377894,.1520938873291016,1819658,.1888914108276367,81289,-.7326688766479492,1694357,22061886,.2736263275146484,3018,2.381138324737549,97984,859552,-.1277294158935547,47590,.5453510284423828,19353280,.7624664306640625,1447320,-.2310495376586914,61389,-.96807861328125,4601592,-.0956230163574219,23836,.3367500305175781,71851,.0305233001708984,1041122,-.1354799270629883,608773,110997,-1.095463752746582,43372,.656743049621582,matched (3),1546711.4,.80747455,310352.16,485960
201108,293329,619,1292,749026,08,0,0,0,0,0,0,1,0,0,0,0,1233002,-.0579233169555664,596485,-.2668523788452148,743000,1380256,.2164783477783203,6825409,1361865,-.1677780151367188,1347241,.5465183258056641,2364,-4.516597747802734,40519,-.3076686859130859,221994,744664,731224,1006563,-.0681838989257813,990248,273899,3.19782829284668,22590340,-.0575313568115234,10526,-.296360969543457,23594,-2.18425178527832,2896090,-.6435670852661133,2086819,.4701480865478516,871258,-.0199623107910156,4979828,-.240086555480957,9674,488066,-.0100488662719727,80393,-1.087236404418945,1965558,.9452638626098633,1768162,115284056,-.2747039794921875,28571,81756,29995,-.6067743301391602,561608,.3961906433105469,1587297,-.1366157531738281,38295,-.7526912689208984,812908,11362238,-.6635570526123047,2808,-.0721220970153809,76198,1050570,.2006769180297852,103279,.774810791015625,8666044,-.8034486770629883,2165290,.4028406143188477,119983,.6701192855834961,5184938,.1193552017211914,17542,-.3065996170043945,65332,-.0951128005981445,169626,-1.814457893371582,434263,377558,1.224221229553223,52600,.192901611328125,matched (3),257777.28,.80747455,354366.81,515183.94
