period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1029c428,growth1029c428,Y1128c826,growth1128c826,Y1155c616,growth1155c616,Y1156c484,growth1156c484,Y1161c705,growth1161c705,Y1321c620,growth1321c620,Y1365c152,Y1498c586,growth1498c586,Y1525c600,growth1525c600,Y1770c586,growth1770c586,Y1781c124,growth1781c124,Y1851c440,growth1851c440,Y1901c703,growth1901c703,Y2046c428,growth2046c428,Y2116c757,growth2116c757,Y2308c344,Y2375c703,growth2375c703,Y2381c372,Y2504c124,growth2504c124,Y2509c348,growth2509c348,Y2554c208,growth2554c208,Y2638c352,growth2638c352,Y2669c807,Y2854c703,growth2854c703,Y3092c440,growth3092c440,Y3133c124,growth3133c124,Y3426c36,Y3775c600,growth3775c600,Y3886c484,growth3886c484,Y3987c600,growth3987c600,Y399c124,growth399c124,Y4022c68,growth4022c68,Y4041c616,growth4041c616,Y4254c152,growth4254c152,Y428c152,growth428c152,Y4405c372,growth4405c372,Y4457c600,growth4457c600,Y4470c586,growth4470c586,Y4489c36,Y4638c586,growth4638c586,Y4641c68,Y4839c68,growth4839c68,Y4886c246,growth4886c246,Y4961c376,Y4989c440,growth4989c440,Y4998c36,Y581c124,growth581c124,Y612c600,growth612c600,Y612c826,growth612c826,Y741c208,growth741c208,_merge,x,r2,s,sf
201011,841319,610,3833,1258553,11,0,0,0,0,0,0,0,0,0,1,0,464,-4.709024906158447,195014,.7085771560668945,60636,.2017650604248047,447825,.2155494689941406,15735,-.7883710861206055,18673,.6219968795776367,3394,2377545,.3822498321533203,265747,.1301765441894531,236169,.8347339630126953,5400176,.0742940902709961,226545,-.3735637664794922,129777,.2065191268920898,859,-4.895544052124023,51126,.8065242767333984,1514814,66930,.446711540222168,799,68711,-.8293447494506836,197035,.2704954147338867,1175548,.3942222595214844,140150,.8506050109863281,24960,22324,.7135105133056641,51374,-.0046606063842773,193390,.0218143463134766,2085391,295076,.0461130142211914,5975583,.1990585327148438,1959216,-.8597850799560547,1124738,.0067710876464844,91606,.9549741744995117,888890,.1073856353759766,1405583,.4357023239135742,5227892,.7325477600097656,3302355,.3417701721191406,2371,-.2013988494873047,703653,2.976188659667969,1069142,39378,.2221088409423828,30844,5288,.2945137023925781,888904,.6467695236206055,466000,297158,.0741424560546875,89483,10915842,.0064582824707031,188059,-.0676126480102539,6194748,-.0215539932250977,48061,-.3987770080566406,matched (3),1045081.2,.87494093,148314.63,255303.47
201012,841319,611,3833,1393529,12,0,0,0,0,0,0,0,0,0,0,1,40958,4.480417728424072,120526,-.4812049865722656,257021,1.444269180297852,338171,-.2808504104614258,17753,.12066650390625,5611,-1.202349662780762,3147,2511849,.0549507141113281,184805,-.3632440567016602,269459,.1318683624267578,3510486,-.4306764602661133,388002,.5380668640136719,71988,-.5893182754516602,26555,3.431204795837402,22361,-.8269748687744141,1226463,51949,-.2533845901489258,2457,144762,.7451810836791992,240563,.1996011734008789,1237199,.0511150360107422,58036,-.8816499710083008,46120,9570,-.8470287322998047,38070,-.2997055053710938,132578,-.377537727355957,3258597,508914,.5450468063354492,5996281,.0034580230712891,4266473,.7782430648803711,741718,-.4163360595703125,150328,.4953231811523438,825733,-.0737028121948242,4026539,1.052454948425293,8033757,.4296445846557617,3821718,.1460647583007813,13375,1.730075359344482,880828,.2245769500732422,598384,52341,.2845735549926758,276108,19680,1.314162254333496,509084,-.5573759078979492,758000,268281,-.102229118347168,114748,10565512,-.0326213836669922,255465,.3063297271728516,6107449,-.0141925811767578,41929,-.1364936828613281,matched (3),2828196.5,.87494093,238969.86,316684.75
201101,841319,612,3833,1252361,01,0,0,0,0,0,0,0,0,0,0,0,3832,-2.369159698486328,169804,.3427791595458984,43354,-1.779758453369141,313748,-.0749616622924805,37577,.7498378753662109,16672,1.089001655578613,3492,1620603,-.4382200241088867,299306,.4821653366088867,152409,-.5698480606079102,4833089,.3197307586669922,229823,-.5237007141113281,64061,-.116663932800293,63256,.8679714202880859,8450,-.9731521606445313,1209535,80053,.4324264526367188,2341,101910,-.3510007858276367,95965,-.9189987182617188,852488,-.3724460601806641,95939,.5026493072509766,42114,6212,-.4321498870849609,7444,-1.632018089294434,40179,-1.193826675415039,5079383,192405,-.9726772308349609,2322771,-.9483785629272461,11210525,.966064453125,726733,-.0204105377197266,43100,-1.249297142028809,1617634,.6724491119384766,13238560,1.190225601196289,8023714,-.001251220703125,802650,-1.560537338256836,3320,-1.39342212677002,234241,-1.324511528015137,571729,27078,-.6590585708618164,438389,8839,-.8004283905029297,355630,-.3587226867675781,1967000,144454,-.6190738677978516,95679,9369209,-.1201667785644531,231758,-.0973920822143555,6595627,.0768976211547852,41656,-.0065326690673828,matched (3),7489857.5,.87494093,1107872.9,1127193.4
201102,841319,613,3833,1185503,02,1,0,0,0,0,0,0,0,0,0,0,23213,1.801324844360352,149071,-.1302223205566406,233283,1.682852745056152,404254,.253453254699707,20077,-.6268167495727539,14057,-.1706104278564453,384,1903408,.1608476638793945,252258,-.1710138320922852,220285,.3683538436889648,4881398,.0099458694458008,208799,-.0959377288818359,77854,.1949996948242188,51638,-.2029314041137695,52255,1.821969032287598,1174292,22644,-1.262794494628906,4918,110333,.0794134140014648,66375,-.3686628341674805,1127353,.2794685363769531,64391,-.3987388610839844,62256,3399,-.6030025482177734,13924,.6262054443359375,87935,.7832536697387695,5064999,172465,-.1094074249267578,3888870,.5153570175170898,9434617,-.1724662780761719,1124020,.4361076354980469,38667,-.1085357666015625,887799,-.5999746322631836,967787,-2.615876197814941,6321753,-.2384052276611328,1135437,.3468542098999023,5930,.5800590515136719,8940,-3.265815734863281,449652,50839,.6299419403076172,94200,17019,.655156135559082,111144,-1.163064002990723,507000,215663,.4007558822631836,88066,8944553,-.0463829040527344,131634,-.5656681060791016,6344547,-.0388116836547852,27776,-.4052724838256836,matched (3),1787704.9,.87494093,243129.5,319835.25
201103,841319,614,3833,1109335,03,0,1,0,0,0,0,0,0,0,0,0,22300,-.040125846862793,105186,-.3486928939819336,120440,-.6611003875732422,394045,-.025578498840332,42372,.746912956237793,9003,-.4455623626708984,3305,2369499,.2190322875976563,368165,.3780784606933594,229212,.0397253036499023,6222488,.2427387237548828,189821,-.0952901840209961,41409,-.6313371658325195,1073,-3.873799800872803,16117,-1.176260948181152,1022714,19571,-.1458454132080078,2367,90175,-.2017507553100586,38539,-.5436496734619141,1101455,-.0232400894165039,41164,-.4474096298217773,22077,322,-2.356684684753418,15179,.086298942565918,161133,.6056318283081055,3065622,57433,-1.099575996398926,3481247,-.1107273101806641,5222428,-.5914230346679688,1554678,.3243570327758789,143750,1.313088417053223,553099,-.4732084274291992,1825653,.6346807479858398,13231536,.7386064529418945,652657,-.5537204742431641,15190,.94061279296875,2520,-1.266276359558106,567215,11803,-1.460309982299805,7863,39913,.8523721694946289,324511,1.071493148803711,200000,237291,.0955705642700195,42937,11474091,.2490463256835938,122915,-.0685319900512695,9483173,.4019231796264648,27522,-.0091867446899414,matched (3),1644710.9,.87494093,137477.59,249164.05
201104,841319,615,3833,1391426,04,0,0,1,0,0,0,0,0,0,0,0,30113,.3003711700439453,118220,.1168174743652344,254524,.7482433319091797,554243,.3411388397216797,38538,-.094843864440918,15681,.5548915863037109,6931,2590533,.0891847610473633,141940,-.9531259536743164,406993,.5741491317749023,7668915,.2090053558349609,296277,.4452133178710938,87981,.7536230087280273,90162,4.431149959564209,3299,-1.586255073547363,849241,50937,.9565401077270508,6783,169227,.6294889450073242,705145,2.906732559204102,1288501,.1568470001220703,61410,.4000082015991211,169557,6253,2.966265678405762,5646,-.9889659881591797,147214,-.0903425216674805,7574652,189791,1.195304870605469,3926773,.120427131652832,5435853,.0400533676147461,902814,-.5435066223144531,535093,1.314365386962891,2206152,1.383467674255371,1158004,-.4552392959594727,14529547,.0935821533203125,1323453,.7069473266601563,24815,.4908113479614258,74375,3.384860992431641,707034,58920,1.607827186584473,36918,29738,-.294276237487793,291338,-.1078357696533203,285000,219064,-.0799236297607422,77736,10776368,-.0627365112304688,230930,.6306209564208984,8167610,-.1493425369262695,94956,1.238428115844727,matched (3),2022664.9,.87494093,141955.22,251662.31
201105,841319,616,3833,1294763,05,0,0,0,1,0,0,0,0,0,0,0,78571,.95904541015625,106417,-.1051816940307617,56129,-1.51174259185791,558455,.0075702667236328,25107,-.428497314453125,14772,-.0597162246704102,3258,2447056,-.0569782257080078,316346,.8014316558837891,326897,-.219151496887207,5086883,-.4105100631713867,271141,-.0886564254760742,174066,.6823139190673828,82072,-.0940113067626953,71739,3.079415321350098,455897,185788,1.294016838073731,4115,95194,-.5753240585327148,335779,-.7419500350952148,1777350,.3216438293457031,23011,-.9815998077392578,33092,5352,-.1555910110473633,19867,1.258112907409668,131842,-.1102838516235352,1773500,206750,.0855865478515625,3413804,-.1399908065795898,6906272,.2394142150878906,923164,.0222902297973633,178051,-1.100370407104492,572324,-1.349299430847168,1617474,.33416748046875,14717724,.0128669738769531,1085609,-.1981029510498047,18123,-.3142662048339844,36741,-.7052268981933594,776350,22449,-.964935302734375,86363,8725,-1.22623348236084,252247,-.1440753936767578,72000,224491,.0244712829589844,99289,10762297,-.0013065338134766,190204,-.1940174102783203,7886640,-.0350055694580078,57147,-.507786750793457,matched (3),1285318.3,.87494093,214814.8,298877.97
201106,841319,617,3833,1840893,06,0,0,0,0,1,0,0,0,0,0,0,25526,-1.124305725097656,100024,-.061955451965332,145488,.9524412155151367,445521,-.2259292602539063,94485,1.325294494628906,31199,.7476530075073242,7265,2786425,.1298742294311523,177092,-.5801668167114258,457052,.3351526260375977,7011195,.3208427429199219,378630,.3339204788208008,123190,-.3457069396972656,98698,.1844673156738281,60919,-.1634893417358398,513572,35783,-1.647132873535156,5391,82003,-.1491613388061523,697401,.7309074401855469,1181845,-.4080467224121094,109983,1.564352989196777,55852,32747,1.81134033203125,14831,-.2923402786254883,105615,-.2218036651611328,3891200,352657,.5339860916137695,6139990,.5869960784912109,2536729,-1.001555442810059,881056,-.0466861724853516,171454,-.037755012512207,1595314,1.025120735168457,2572480,.4640045166015625,2721871,-1.687732696533203,1017747,-.064549446105957,7055,-.9434452056884766,136315,1.311075210571289,936608,43853,.6695976257324219,107298,7813,-.1104040145874023,464833,.6112699508666992,55000,215165,-.0424299240112305,142330,11243956,.0437831878662109,107871,-.5671606063842773,9539417,.1902627944946289,76343,.2896089553833008,matched (3),2998210.5,.87494093,168820.27,267736.66
201107,841319,618,3833,707973,07,0,0,0,0,0,1,0,0,0,0,0,23809,-.0696334838867188,65829,-.4183492660522461,32439,-1.500732421875,560604,.2297697067260742,19827,-1.561396598815918,21757,-.3604507446289063,2871,2169785,-.2501316070556641,171840,-.0301055908203125,415275,-.0958566665649414,5644170,-.2168846130371094,348066,-.08416748046875,118077,-.0423908233642578,19520,-1.620624542236328,9484,-1.859939575195313,403934,56756,.4612884521484375,1847,53258,-.4316082000732422,395683,-.5667476654052734,768074,-.4309453964233398,87967,-.2233638763427734,11101,19998,-.4931783676147461,9178,-.4799108505249023,167163,.4591693878173828,3283253,167994,-.7415676116943359,5744600,-.0665626525878906,6877087,.9973201751708984,1026151,.1524496078491211,54327,-1.149293899536133,625384,-.9364604949951172,1094086,-.8549509048461914,5011254,.6103668212890625,674407,-.4115133285522461,2001,-1.260089874267578,32873,-1.422316551208496,818899,33131,-.2803735733032227,190109,14576,.6235876083374023,564213,.1937532424926758,171000,261465,.1948947906494141,119376,10224502,-.0950450897216797,113927,.054621696472168,6169998,-.435734748840332,43291,-.567291259765625,matched (3),1673642.8,.87494093,113120.79,236598.72
201108,841319,619,3833,1052334,08,0,0,0,0,0,0,1,0,0,0,0,861,-3.319724559783936,82171,.2217416763305664,141675,1.474174499511719,609377,.0834226608276367,21272,.0703468322753906,9462,-.8326520919799805,3256,1394569,-.442042350769043,207671,.1893911361694336,179571,-.8383703231811523,8670975,.4293575286865234,299063,-.1517372131347656,121973,.0324621200561523,97842,1.611913681030273,27481,1.063889503479004,570617,4532,-2.527598381042481,3673,77386,.3736581802368164,463767,.1587686538696289,1019300,.2829856872558594,23974,-1.299991607666016,18497,58835,1.079104423522949,18245,.6870822906494141,228597,.3129911422729492,4806422,254913,.4169940948486328,6378677,.1047000885009766,8923432,.2604846954345703,797999,-.2514629364013672,44274,-.2046241760253906,776524,.2164621353149414,1979938,.5931463241577148,1997926,-.9195766448974609,565753,-.1756763458251953,5800,1.064210891723633,1167192,3.569705009460449,1046062,36178,.0879812240600586,260174,16333,.1138114929199219,439599,-.2495689392089844,294000,331895,.2385187149047852,243691,12980567,.2386665344238281,172376,.4141197204589844,10463627,.5282068252563477,39658,-.0876522064208984,matched (3),1708439.6,.87494093,137791.69,249337.5
