period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1203c792,growth1203c792,Y1269c68,growth1269c68,Y1288c152,growth1288c152,Y1292c124,growth1292c124,Y1380c705,growth1380c705,Y1577c246,growth1577c246,Y1617c807,growth1617c807,Y1659c752,growth1659c752,Y1850c251,growth1850c251,Y2175c792,growth2175c792,Y2212c124,growth2212c124,Y232c300,growth232c300,Y2618c251,growth2618c251,Y2660c484,growth2660c484,Y3133c440,growth3133c440,Y3214c688,growth3214c688,Y3238c300,growth3238c300,Y3339c191,growth3339c191,Y3453c807,Y3464c68,growth3464c68,Y3582c440,growth3582c440,Y3692c554,Y3732c348,growth3732c348,Y3893c251,Y3907c348,growth3907c348,Y3946c251,growth3946c251,Y4006c616,growth4006c616,Y4013c620,growth4013c620,Y4030c218,Y4089c68,Y4140c757,growth4140c757,Y4170c688,growth4170c688,Y422c152,growth422c152,Y4256c218,Y4276c344,Y4470c32,Y4514c705,growth4514c705,Y467c246,growth467c246,Y4737c703,growth4737c703,Y4764c484,growth4764c484,Y4765c152,growth4765c152,Y4793c484,growth4793c484,Y4851c203,Y579c498,Y605c208,growth605c208,Y647c620,growth647c620,Y668c352,growth668c352,Y897c124,growth897c124,Y954c620,growth954c620,Y966c124,growth966c124,_merge,x,r2,s,sf
201011,841239,610,3829,707467,11,0,0,0,0,0,0,0,0,0,1,0,577739,.733830451965332,229151,.0991392135620117,184356,-.1911182403564453,1708953,-.4624404907226563,1587318,.4781560897827148,1431908,-1.019168853759766,33131,-.0425453186035156,3444039,.0694828033447266,3776845,.0516242980957031,166407,-.0733013153076172,261348,.9872112274169922,27649,.3636379241943359,299792,.0498218536376953,99577,-.4993686676025391,27110,-.1196260452270508,2514130,1.365131378173828,72091,-.0388526916503906,2434,-.7076268196105957,6659,78174,-.3165798187255859,4491,-.8905324935913086,374989,1302431,.3019418716430664,16152,1818141,-.2107753753662109,8037164,.1743650436401367,176063,-.0386991500854492,2189685,1.040711402893066,17044,9216,856201,.1584749221801758,221319,.888218879699707,1305287,.1606988906860352,485712,691309,1312262,22844988,.3411331176757813,209651,-.3788137435913086,89021,-.0449094772338867,112499,.1919479370117188,1097530,.2789535522460938,3071704,.0703105926513672,316941,304330,11237,-.1788749694824219,3432130,.1476516723632813,104992,.2986898422241211,116893,.1172428131103516,64689,1.322185516357422,1808910,-.0173091888427734,matched (3),811704.94,.89989918,149962.27,225329.63
201012,841239,611,3829,846312,12,0,0,0,0,0,0,0,0,0,0,1,573106,-.0080509185791016,102451,-.8049964904785156,195615,.0592794418334961,917068,-.6224546432495117,1824315,.1391582489013672,4773002,1.203967094421387,39586,.1780061721801758,5102619,.3931093215942383,4495466,.1741800308227539,354128,.7552213668823242,149671,-.5574131011962891,33178,.1822977066040039,314984,.0494327545166016,65042,-.4258975982666016,29443,.0825538635253906,427171,-1.772497177124023,62444,-.1436586380004883,7775,1.161377429962158,20572,79231,.0134305953979492,6847,.4217348098754883,383605,697699,-.6241998672485352,223485,2230516,.2044181823730469,7341079,-.0905904769897461,262400,.3990278244018555,3940744,.5876121520996094,129885,12693,5344470,1.831313133239746,105361,-.742213249206543,1357643,.0393276214599609,326568,642281,10794018,15015383,-.4196567535400391,299848,.3578310012817383,41810,-.7557363510131836,138634,.2088937759399414,1150586,.0472087860107422,5109741,.508915901184082,162495,195883,26384,.853546142578125,1801433,-.6445989608764648,293297,1.027300834655762,140119,.1812334060668945,96381,.3987178802490234,3017039,.5115518569946289,matched (3),1684974.5,.89989918,133794.14,214908.42
201101,841239,612,3829,681412,01,0,0,0,0,0,0,0,0,0,0,0,343662,-.5114126205444336,77736,-.2760658264160156,127914,-.4247903823852539,2656177,1.063461303710938,1292715,-.3444595336914063,3500587,-.3100442886352539,28188,-.3395795822143555,2832226,-.5886917114257813,3767854,-.1765632629394531,117358,-1.104429244995117,147972,-.0114164352416992,20989,-.4578886032104492,141776,-.798274040222168,20750,-1.142486572265625,57202,.6641321182250977,24526,-2.857451438903809,39372,-.4612150192260742,3778,-.7217187881469727,5131,59253,-.2905511856079102,1073,-1.853352069854736,332236,793036,.1280803680419922,34202,832034,-.986114501953125,5799923,-.2356405258178711,156692,-.5155878067016602,1220476,-1.172128677368164,48305,3538,940242,-1.737680435180664,46873,-.8099498748779297,1303445,-.0407390594482422,323399,610297,2145612,9529792,-.4546527862548828,439344,.3820075988769531,67962,.4858131408691406,92174,-.4081592559814453,976859,-.1636838912963867,2412980,-.7502861022949219,240240,121852,17782,-.3945713043212891,1495633,-.1860322952270508,41023,-1.967052459716797,56801,-.9029378890991211,61213,-.4539499282836914,1806921,-.5126514434814453,matched (3),985202.19,.89989918,151677.02,226474.45
201102,841239,613,3829,850827,02,1,0,0,0,0,0,0,0,0,0,0,514276,.403101921081543,146108,.6310272216796875,229450,.5843267440795898,518845,-1.633037567138672,1608387,.2184867858886719,7337197,.7400264739990234,42697,.4152326583862305,3603759,.2409152984619141,4412026,.1578283309936523,238627,.7096729278564453,84147,-.564457893371582,61120,1.068840980529785,197160,.3297672271728516,30685,.3912277221679688,35274,-.4834423065185547,1138275,3.837535858154297,79301,.7001953125,34024,2.197871208190918,9431,266256,1.502641677856445,24868,3.143123149871826,275565,900534,.1271190643310547,141363,1459529,.5619955062866211,11994673,.7266168594360352,166327,.0596742630004883,1481782,.194005012512207,119899,10350,631299,-.3983583450317383,160195,1.228949546813965,2023964,.4400472640991211,915277,581812,2170311,3953691,-.8797731399536133,253407,-.5502862930297852,56166,-.1906375885009766,100701,.0884771347045898,343651,-1.044715881347656,2638881,.0894927978515625,322635,219270,12475,-.3544597625732422,2841782,.641880989074707,39290,-.0431632995605469,152975,.9907207489013672,49850,-.2053413391113281,2109128,.1546497344970703,matched (3),970360.69,.89989918,124520.58,209260.92
201103,841239,614,3829,555066,03,0,1,0,0,0,0,0,0,0,0,0,581739,.1232614517211914,91354,-.4696035385131836,125232,-.6055164337158203,2404123,1.533334732055664,1406569,-.1340780258178711,5639679,-.2631301879882813,33797,-.2337570190429688,3264343,-.0989189147949219,4840490,.092681884765625,115898,-.7221908569335938,52403,-.4736013412475586,35781,-.5354223251342773,183219,-.0733327865600586,25117,-.2002296447753906,32267,-.0891008377075195,2597629,.8250856399536133,46071,-.5430669784545898,47321,.3298883438110352,193,70797,-1.324641227722168,6944,-1.275703430175781,334186,893836,-.0074653625488281,10051,2036896,.33331298828125,10831306,-.1020221710205078,190754,.137028694152832,1106853,-.2917251586914063,45252,7947,477217,-.2798080444335938,137373,-.1536922454833984,2756380,.3088598251342773,630893,501668,679518,9113690,.8351278305053711,176527,-.3615226745605469,64997,.1460294723510742,79871,-.2317428588867188,771458,.8086557388305664,3830811,.3727216720581055,317021,116702,14139,.1252098083496094,2144448,-.2815485000610352,71244,.5951414108276367,121378,-.2313652038574219,27143,-.6078987121582031,1892193,-.1085376739501953,matched (3),521367.66,.89989918,111446.54,201755.03
201104,841239,615,3829,870448,04,0,0,1,0,0,0,0,0,0,0,0,1334343,.8301725387573242,330204,1.284968376159668,295015,.8568582534790039,1154639,-.7333974838256836,2091387,.3966741561889648,5920787,.0486421585083008,70158,.7303781509399414,4229282,.2589731216430664,4960885,.0245685577392578,123959,.0672397613525391,48973,-.0676946640014648,293173,2.10334587097168,259393,.3476619720458984,38582,.4292411804199219,74413,.8355855941772461,1793527,-.3704156875610352,96487,.7392244338989258,28083,-.52178955078125,14333,113114,.4685792922973633,2113,-1.189769268035889,254503,1065935,.1760854721069336,10990,945807,-.7671432495117188,5117407,-.7497920989990234,388749,.711949348449707,787199,-.340794563293457,25190,3616,1043032,.7819156646728516,86616,-.4612150192260742,1878025,-.383697509765625,249149,1125693,2328664,10586366,.1497898101806641,354075,.6960344314575195,102408,.4546241760253906,285265,1.273005485534668,1086694,.3426122665405273,1931744,-.6846532821655273,158024,140000,10225,-.324101448059082,2861138,.2883367538452148,76323,.0688629150390625,84168,-.3660945892333984,85131,1.143072128295898,2853449,.410792350769043,matched (3),1669295.8,.89989918,105239.39,198393.78
201105,841239,616,3829,1193381,05,0,0,0,1,0,0,0,0,0,0,0,395844,-1.215173721313477,100220,-1.192342758178711,354859,.1846942901611328,1737025,.40838623046875,1763136,-.1707334518432617,4211222,-.3407163619995117,38340,-.6042566299438477,2853600,-.3934507369995117,5600912,.1213445663452148,98313,-.2317943572998047,80443,.4962797164916992,29155,-2.308135986328125,334330,.2537841796875,16739,-.8350448608398438,17681,-1.437140464782715,1499106,-.1793146133422852,11564,-2.121511459350586,8884,-1.150912284851074,1735,135529,.1807899475097656,8129,1.347328662872315,279796,1278911,.1821565628051758,445,1576540,.5109491348266602,7259592,.3496761322021484,84095,-1.530986785888672,1051817,.2897930145263672,44848,11618,1476796,.347743034362793,113792,.2728872299194336,926819,-.7062177658081055,350680,455593,1665199,10909268,.0300464630126953,380544,.0720930099487305,73288,-.3345680236816406,154762,-.6115293502807617,1259989,.1479635238647461,4403295,.8239297866821289,225876,129146,28322,1.018803596496582,3135516,.0915746688842773,125760,.4994010925292969,196093,.8457736968994141,152285,.5815620422363281,2534057,-.1187076568603516,matched (3),811706.5,.89989918,116376.39,204519.5
201106,841239,617,3829,1734599,06,0,0,0,0,1,0,0,0,0,0,0,840631,.7531318664550781,192240,.6513767242431641,271072,-.2693367004394531,2935924,.5248479843139648,1668482,-.0551795959472656,4841317,.1394338607788086,41082,.0690765380859375,4604361,.4784221649169922,4691064,-.1772699356079102,155626,.4592990875244141,83987,.0431127548217773,8676,-1.212066650390625,276768,-.1889486312866211,44058,.9677658081054688,54187,1.119950294494629,588318,-.9353570938110352,163376,2.648158073425293,45984,1.644041061401367,11033,45901,-1.082698822021484,28188,1.24345874786377,373142,1216290,-.0502042770385742,9122,965305,-.490544319152832,11657230,.473602294921875,367491,1.474751472473145,2303614,.7839603424072266,134642,13884,13856783,2.238901138305664,176822,.4407720565795898,1177734,.2395896911621094,413507,850501,2303184,11474553,.0505180358886719,287156,-.2815761566162109,113895,.4408798217773438,163667,.0559453964233398,1162859,-.0802211761474609,4662412,.0571794509887695,253387,95631,26042,-.083928108215332,2713361,-.1446056365966797,141992,.1213960647583008,210908,.0728330612182617,46052,-1.195981979370117,1902087,-.2868690490722656,matched (3),1404095.4,.89989918,278511.88,325351.56
201107,841239,618,3829,1018274,07,0,0,0,0,0,1,0,0,0,0,0,380967,-.7914400100708008,111699,-.5429372787475586,26967,-2.307770729064941,1541798,-.6440725326538086,1077004,-.4377317428588867,4724265,-.02447509765625,40915,-.0040731430053711,2402742,-.6503925323486328,5077742,.0792074203491211,83709,-.6201086044311523,51791,-.4834451675415039,4679,-.6174755096435547,157189,-.5657310485839844,59123,.2941131591796875,1824,-3.391408920288086,359717,-.4919500350952148,9115,-2.886133193969727,4717,-2.277120590209961,9921,27172,-.5243005752563477,25199,-.1120920181274414,334202,1001832,-.193974494934082,8059,1336580,.3254251480102539,9593011,-.1948909759521484,156321,-.8547868728637695,732333,-1.145999908447266,17893,8298,1408012,-2.28659725189209,124641,-.3497066497802734,938598,-.2269601821899414,441688,539957,1765522,14943203,.2641258239746094,199539,-.3640155792236328,55744,-.7145071029663086,131447,-.2192306518554688,1072374,-.0810070037841797,2967538,-.4518003463745117,151855,140199,14735,-.5694856643676758,2360440,-.1393404006958008,115918,-.2028884887695313,125608,-.5182561874389648,58922,.2464427947998047,2494622,.2711849212646484,matched (3),203935.2,.89989918,125493.38,209841.25
201108,841239,619,3829,1055570,08,0,0,0,0,0,0,1,0,0,0,0,353963,-.0735197067260742,67701,-.500706672668457,491280,2.902400970458984,2615034,.5283279418945313,2064587,.6507472991943359,5150973,.0864744186401367,54790,.2920103073120117,2904027,.1894874572753906,5660938,.1087226867675781,85479,.0209236145019531,110849,.7609519958496094,17341,1.309988975524902,161043,.0242223739624023,134128,.8191747665405273,44984,3.20527458190918,779895,.7738418579101563,20568,.8138151168823242,7612,.4785528182983398,34592,122372,1.504878997802734,2618,-2.26439380645752,416712,1399059,.3339691162109375,128901,1776854,.2847309112548828,40866104,1.44926643371582,206376,.2777881622314453,2370741,1.174722671508789,43529,25978,4927770,1.252708435058594,184239,.3907966613769531,1576513,.5185832977294922,462874,710411,2767833,12072750,-.2133064270019531,387232,.6630144119262695,66293,.1733150482177734,158883,.1895647048950195,783277,-.3141441345214844,3348667,.1208295822143555,207242,193397,16179,.0934886932373047,2879453,.1987524032592773,96761,-.180638313293457,279270,.7990131378173828,88611,.4080419540405273,2410832,-.0341653823852539,matched (3),2037456.5,.89989918,153784.56,227891.31
201109,841239,620,3829,1007992,09,0,0,0,0,0,0,0,1,0,0,0,715746,.7041330337524414,118591,.5605792999267578,147979,-1.199944496154785,887046,-1.081135749816895,1471441,-.3386878967285156,2485568,-.7286844253540039,52244,-.0475826263427734,2476856,-.1591081619262695,4681993,-.1898651123046875,63868,-.2914524078369141,30589,-1.287528038024902,9584,-.5929784774780273,240369,.4005041122436523,79260,-.5260610580444336,27182,-.5037517547607422,759266,-.0268068313598633,28834,.3378190994262695,12667,.5092744827270508,18587,72761,-.5198850631713867,3895,.3972835540771484,401691,960926,-.3756570816040039,127083,1948262,.0920934677124023,9602606,-1.448266983032227,57419,-1.279324531555176,502753,-1.550858497619629,22334,7279,1034331,-1.561132431030273,169904,-.0810003280639648,1522203,-.0350570678710938,319149,509193,1347096,15987988,.2808876037597656,193923,-.6915626525878906,62570,-.0577983856201172,91722,-.5494060516357422,1104616,.3437671661376953,4035309,.1865205764770508,215087,145909,7615,-.7535943984985352,2690687,-.0678033828735352,70710,-.3136568069458008,107367,-.9559259414672852,44441,-.690093994140625,1960356,-.2068452835083008,matched (3),873121.44,.89989918,96645.078,193971.73
