period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1075c348,growth1075c348,Y1298c348,growth1298c348,Y1357c372,growth1357c372,Y1425c124,growth1425c124,Y1504c826,growth1504c826,Y1585c348,Y1726c554,Y1726c757,growth1726c757,Y1838c826,growth1838c826,Y1900c124,growth1900c124,Y1977c440,growth1977c440,Y1980c826,growth1980c826,Y2099c222,growth2099c222,Y2368c826,growth2368c826,Y2481c191,growth2481c191,Y2503c826,growth2503c826,Y2897c36,Y2930c440,growth2930c440,Y2963c36,Y3035c233,Y3087c372,growth3087c372,Y3115c620,growth3115c620,Y3209c124,growth3209c124,Y3216c191,growth3216c191,Y3295c705,growth3295c705,Y3328c705,growth3328c705,Y3340c616,growth3340c616,Y3392c616,growth3392c616,Y3395c616,growth3395c616,Y3463c826,growth3463c826,Y3484c616,growth3484c616,Y3541c440,growth3541c440,Y3703c372,growth3703c372,Y3714c300,growth3714c300,Y3717c152,growth3717c152,Y4285c616,growth4285c616,Y4425c484,growth4425c484,Y4452c616,growth4452c616,Y4459c616,growth4459c616,Y4473c703,growth4473c703,Y4636c222,growth4636c222,Y464c620,growth464c620,Y4688c428,growth4688c428,Y4943c124,growth4943c124,Y4988c826,growth4988c826,Y5026c251,growth5026c251,Y5027c36,Y773c246,growth773c246,Y780c616,growth780c616,Y838c620,growth838c620,_merge,x,r2,s,sf
201001,901510,600,4735,2579299,01,0,0,0,0,0,0,0,0,0,0,0,329689,,37044,,829201,,216179,,1904484,,157,1316327,2577333,,3329439,,6109990,,326332,,5687734,,664153,,3686929,,65767,,64943,,4813130,24456,,11538089,742400,1755021,,1542152,,3893133,,85504,,2197212,,91945,,5222162,,6444912,,722580,,8711799,,6018559,,233684,,805661,,498144,,21677,,8702223,,739385,,2268156,,442935,,966422,,14511,,110657,,26231,,21472916,,1130620,,994134,,370198,48118,,64285,,59419,,matched (3),,.92781305,,
201002,901510,601,4735,3528267,02,1,0,0,0,0,0,0,0,0,0,0,493935,.4042539596557617,223903,1.799106597900391,491338,-.5233297348022461,183638,-.1631402969360352,999413,-.6447982788085938,602,1512181,2713469,.0514726638793945,3820971,.1377010345458984,6388817,.0446233749389648,354457,.082672119140625,10530576,.615971565246582,399341,-.508697509765625,3154253,-.1560420989990234,135202,.7206525802612305,92949,.3585405349731445,4494270,110387,1.50711727142334,12477613,743025,1583187,-.1030416488647461,1721746,.1101598739624023,4654284,.1785736083984375,29160,-1.075765609741211,2865708,.2656259536743164,227460,.9057846069335938,5347236,.0236682891845703,7772395,.1872873306274414,1177671,.4884662628173828,8831384,.0136327743530273,6341318,.0522394180297852,322035,.3206911087036133,753340,-.0671463012695313,473189,-.0513944625854492,27642,.2430849075317383,9448735,.0823030471801758,779035,.0522375106811523,2299907,.0139017105102539,552271,.2206153869628906,969492,.0031719207763672,13708,-.0569276809692383,53124,-.7338066101074219,31273,.1758136749267578,21903436,.0198516845703125,932897,-.1922264099121094,951469,-.0438652038574219,476377,19172,-.9202051162719727,149994,.8472690582275391,75801,.2434968948364258,matched (3),2336875.3,.92781305,746894.56,1029254.8
201003,901510,602,4735,2385337,03,0,1,0,0,0,0,0,0,0,0,0,368183,-.2938232421875,10222,-3.086669921875,1310048,.9806861877441406,333561,.5968589782714844,852353,-.1591672897338867,761,1461873,2723550,.0037078857421875,3708384,-.0299081802368164,5356861,-.1761703491210938,395143,.1086606979370117,5489149,-.6515102386474609,213472,-.6263093948364258,3595682,.1309823989868164,220356,.4884738922119141,182680,.675684928894043,3431020,25677,-1.458396911621094,11808568,758463,1522420,-.0391378402709961,1641595,-.0476703643798828,5449536,.1577425003051758,101079,1.243104934692383,3403289,.1719264984130859,138160,-.4985628128051758,6302481,.1643638610839844,10215573,.2733345031738281,730181,-.478001594543457,9630847,.0866603851318359,7033110,.1035423278808594,245599,-.270960807800293,726138,-.0367765426635742,715637,.4136781692504883,21035,-.2731485366821289,10042267,.0609207153320313,1289866,.5042381286621094,2383177,.0355653762817383,593127,.0713701248168945,1171696,.1894350051879883,13210,-.0370054244995117,79768,.4064931869506836,34873,.1089572906494141,21195206,-.0328693389892578,681063,-.3146400451660156,724255,-.2728633880615234,238899,28776,.4060907363891602,112533,-.287348747253418,90528,.1775474548339844,matched (3),-847843.44,.92781305,837492.19,1096771.1
201004,901510,603,4735,3427295,04,0,0,1,0,0,0,0,0,0,0,0,551056,.4032564163208008,234541,3.133088111877441,741911,-.5685892105102539,281368,-.1701622009277344,911590,.0671892166137695,3794,1854206,2737943,.0052709579467773,5119328,.3224267959594727,5215738,-.026698112487793,470817,.1752214431762695,7291335,.2839136123657227,635036,1.090175628662109,4366325,.194188117980957,201679,-.088566780090332,140928,-.259486198425293,0,8730,-1.078829765319824,0,1016505,1400926,-.0831680297851563,2110617,.2513113021850586,3766391,-.3694124221801758,151016,.4014835357666016,4240854,.2200222015380859,383391,1.02064323425293,6941113,.0965185165405273,6820135,-.4040336608886719,925761,.2373237609863281,9708636,.0080432891845703,7656990,.0849895477294922,404723,.4995031356811523,713298,-.0178413391113281,603011,-.1712379455566406,33460,.4641628265380859,8773369,-.1350812911987305,486153,-.9757709503173828,2177263,-.0903654098510742,728950,.2061958312988281,1742277,.3967409133911133,47240,1.274267196655273,73821,-.077479362487793,66351,.6432466506958008,20029772,-.0565547943115234,992787,.376861572265625,928671,.2486104965209961,0,52585,.6028890609741211,143811,.2452535629272461,256956,1.043246269226074,matched (3),-213408.55,.92781305,839232.31,1098100.5
201005,901510,604,4735,2696544,05,0,0,0,1,0,0,0,0,0,0,0,275515,-.6931943893432617,288878,.2083740234375,36128,-3.022161483764648,171882,-.4928550720214844,583093,-.446843147277832,176,1890872,2763002,.0091104507446289,4838705,-.0563764572143555,6152146,.1651210784912109,442802,-.0613460540771484,13302118,.6012372970581055,846554,.2874927520751953,3019763,-.368743896484375,137534,-.3828058242797852,68973,-.7145347595214844,0,13276,.4191923141479492,0,848196,935489,-.4038190841674805,1357787,-.4411239624023438,3774705,.0022048950195313,108654,-.3292179107666016,3627154,-.156315803527832,230420,-.5091514587402344,5633526,-.2087268829345703,6369082,-.0684242248535156,648989,-.3552007675170898,9308771,-.0420589447021484,7289278,-.0492143630981445,377401,-.0698947906494141,605796,-.163355827331543,511269,-.1650390625,42600,.2415037155151367,7894135,-.1056003570556641,569162,.1576423645019531,1740524,-.2238826751708984,651161,-.1128482818603516,1030537,-.5251131057739258,10552,-1.498926162719727,64243,-.1389703750610352,28652,-.8397359848022461,27549818,.3187751770019531,1064471,.0697174072265625,733773,-.2355546951293945,0,16226,-1.175815582275391,184928,.2514667510986328,401074,.4452409744262695,matched (3),4952780,.92781305,565533.81,906279.31
201006,901510,605,4735,4307015,06,0,0,0,0,1,0,0,0,0,0,0,332387,.187657356262207,391714,.3045272827148438,1193340,3.497443199157715,202256,.1627264022827148,937005,.4743413925170898,403,1574390,2744638,-.0066680908203125,3545003,-.3111076354980469,8308969,.3005342483520508,309830,-.3570995330810547,8616906,-.4341983795166016,1013240,.1797342300415039,3761264,.2195768356323242,48875,-1.034605979919434,139198,.7021827697753906,0,29578,.8010730743408203,0,1095416,785887,-.1742563247680664,1798892,.2813148498535156,3934365,.0414266586303711,102812,-.0552663803100586,2132583,-.5311145782470703,325062,.3441123962402344,5640217,.0011873245239258,7508709,.1646089553833008,716191,.0985307693481445,8760975,-.0606489181518555,7682038,.0524806976318359,510831,.3027305603027344,748427,.211430549621582,527103,.0304994583129883,46940,.097015380859375,9060586,.137812614440918,1933241,1.222787857055664,1875401,.0746364593505859,408193,-.4670162200927734,1048968,.0177268981933594,58648,1.715238571166992,76491,.1745004653930664,34150,.1755390167236328,24955006,-.0989208221435547,1416256,.2855386734008789,1103497,.4080400466918945,0,7715,-.7434482574462891,128138,-.3668584823608398,73226,-1.700595855712891,matched (3),6650804.5,.92781305,490924.84,861696.56
201007,901510,606,4735,6954815,07,0,0,0,0,0,1,0,0,0,0,0,268266,-.2143211364746094,5277,-4.307174682617188,1434035,.1837358474731445,348809,.5449895858764648,823593,-.1290121078491211,5827,2283440,3482677,.2381515502929688,6097731,.5423774719238281,8334008,.0030088424682617,350603,.123631477355957,9055310,.0496253967285156,746568,-.3054218292236328,3070793,-.2028188705444336,82665,.5255308151245117,46704,-1.092067718505859,7276513,9832,-1.101388931274414,14752716,1247893,857180,.0868349075317383,1897310,.0532665252685547,3995744,.0154809951782227,142193,.3242835998535156,3001735,.3418569564819336,369384,.1278209686279297,6119148,.0815000534057617,8121236,.0784187316894531,480435,-.3992547988891602,9402672,.0706872940063477,10290566,.2923421859741211,570808,.1110143661499023,633629,-.1665105819702148,578993,.0938949584960938,26007,-.5905036926269531,9318681,.0280876159667969,1145404,-.5234403610229492,2005142,.0668926239013672,465829,.1320781707763672,1405973,.2929229736328125,57468,-.0203256607055664,78885,.030817985534668,43935,.2519493103027344,26978208,.0779552459716797,1413307,-.0020847320556641,1135343,.0284509658813477,558779,15142,.6743059158325195,113867,-.118077278137207,303826,1.422904968261719,matched (3),6261721,.92781305,534732.63,887385.31
201008,901510,607,4735,9301925,08,0,0,0,0,0,0,1,0,0,0,0,363940,.3050107955932617,580,-2.208084583282471,1148551,-.2219905853271484,416435,.1772060394287109,695022,-.1697330474853516,52,2056568,3540083,.0163488388061523,2683256,-.8208856582641602,8713180,.0444927215576172,582215,.5071849822998047,4505020,-.6981592178344727,982799,.2749176025390625,4064651,.2803916931152344,86261,.0425815582275391,68874,.3884487152099609,7078584,14036,.355982780456543,15213088,1591229,1233302,.3638019561767578,1816659,-.0434379577636719,4540503,.1278076171875,152317,.0687780380249023,3402032,.1251821517944336,178520,-.7271366119384766,5013863,-.1992158889770508,9360806,.1420488357543945,700411,.3769750595092773,8733846,-.0737886428833008,9140376,-.1185264587402344,610168,.066680908203125,661703,.0433530807495117,400382,-.3688716888427734,53275,.7171010971069336,7342228,-.2383785247802734,1493006,.2650337219238281,2654355,.2804861068725586,610550,.2705421447753906,2376215,.5247793197631836,70837,.2091531753540039,82055,.0393991470336914,54016,.206568717956543,28331080,.0489292144775391,1363052,-.0362062454223633,1199999,.0553855895996094,622148,124923,2.110224723815918,208364,.6042556762695313,163088,-.6221647262573242,matched (3),4704282.5,.92781305,581470.88,916309
201009,901510,608,4735,7575866,09,0,0,0,0,0,0,0,1,0,0,0,516488,.350062370300293,500929,6.761191844940186,859696,-.289677619934082,296806,-.3386516571044922,1262467,.5968799591064453,5659,1607665,3354754,-.0537710189819336,4179223,.4430942535400391,8489851,-.025965690612793,520891,-.1112995147705078,7208346,.4700479507446289,807953,-.1958999633789063,4501862,.1021633148193359,80199,-.0728673934936523,107121,.441680908203125,6702845,77579,1.709671974182129,15330181,1455413,1524270,.2118206024169922,2251698,.2146854400634766,5328194,.1599740982055664,205961,.3017234802246094,4379224,.2524986267089844,398493,.8029890060424805,6864219,.3141155242919922,8747368,-.0677785873413086,622152,-.1184825897216797,11902819,.3095693588256836,11383650,.2194766998291016,666001,.0875568389892578,888866,.2951297760009766,493671,.2094507217407227,31724,-.5183935165405273,9161607,.2213802337646484,934467,-.4685707092285156,2527357,-.0490274429321289,736182,.1871166229248047,2316003,-.0256662368774414,58291,-.1949338912963867,81157,-.0110044479370117,64373,.1754140853881836,29178620,.0294780731201172,1288261,-.0564327239990234,1136074,-.0547418594360352,557425,32549,-1.344950675964356,267377,.2493734359741211,403398,.9056329727172852,matched (3),3309862.3,.92781305,808962.69,1075143.9
201010,901510,609,4735,4720878,10,0,0,0,0,0,0,0,0,1,0,0,303302,-.532322883605957,25612,-2.973403930664063,936841,.0859346389770508,288447,-.0285673141479492,728773,-.5494604110717773,42,1968834,2811205,-.1767654418945313,2764489,-.4132699966430664,10331052,.1962833404541016,371999,-.3366489410400391,4716670,-.4241371154785156,1404967,.5532646179199219,4485827,-.0035686492919922,54000,-.3955268859863281,119973,.113306999206543,7678295,224724,1.063575744628906,13566263,1554366,1143392,-.2875165939331055,2322330,.0308866500854492,6261378,.1613883972167969,139828,-.3872737884521484,3692999,-.1704330444335938,184896,-.7678956985473633,7300539,.0616264343261719,7235431,-.189763069152832,855722,.318760871887207,11497002,-.0346889495849609,10241422,-.1057376861572266,899774,.3008527755737305,726821,-.2012662887573242,497985,.0087003707885742,31021,-.0224094390869141,9988427,.0864048004150391,1316195,.342524528503418,2238557,-.121342658996582,562842,-.2684783935546875,2982880,.2530460357666016,37641,-.4373531341552734,95456,.1622800827026367,69382,.0749330520629883,25462472,-.1362323760986328,1143403,-.1192846298217773,1227175,.0771360397338867,405304,11340,-1.054409980773926,182037,-.3844499588012695,406899,.008641242980957,matched (3),2456087.3,.92781305,525486.13,881844.31
