period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y129c381,Y1497c191,growth1497c191,Y1595c68,growth1595c68,Y1708c757,growth1708c757,Y1900c586,growth1900c586,Y1927c191,growth1927c191,Y2166c208,growth2166c208,Y2207c124,growth2207c124,Y2295c344,Y2307c222,growth2307c222,Y2401c300,growth2401c300,Y2495c703,growth2495c703,Y2646c705,growth2646c705,Y2914c68,growth2914c68,Y3157c152,growth3157c152,Y3431c484,growth3431c484,Y3699c124,growth3699c124,Y3735c268,growth3735c268,Y3748c124,growth3748c124,Y3757c440,growth3757c440,Y3908c208,growth3908c208,Y3955c484,growth3955c484,Y4005c372,growth4005c372,Y4019c440,growth4019c440,Y4089c191,growth4089c191,Y4174c222,growth4174c222,Y4196c484,growth4196c484,Y4271c600,growth4271c600,Y4396c484,growth4396c484,Y4425c218,Y4526c300,growth4526c300,Y4526c484,growth4526c484,Y4528c376,Y4581c68,growth4581c68,Y4620c222,growth4620c222,Y462c752,growth462c752,Y4667c752,Y471c484,growth471c484,Y4759c208,growth4759c208,Y4917c484,growth4917c484,Y4961c600,growth4961c600,Y4977c300,growth4977c300,Y4984c246,growth4984c246,Y5034c757,growth5034c757,Y533c208,growth533c208,Y606c705,growth606c705,Y621c191,growth621c191,Y668c792,growth668c792,Y694c752,growth694c752,Y749c348,growth749c348,_merge,x,r2,s,sf
201011,901920,610,4761,21103304,11,0,0,0,0,0,0,0,0,0,1,0,130078,356625,.3580636978149414,265240,.2395792007446289,2705944,.0201387405395508,348039,.0575704574584961,57102,.0177927017211914,2287825,-.1956825256347656,60944,.4846553802490234,2437014,1245064,.9051742553710938,49999,-.095911979675293,84038,.6053705215454102,63197,.7313871383666992,15836,.8555622100830078,146937,.5673751831054688,3042656,.2652168273925781,1416372,-.2823371887207031,39408,1.007087707519531,3924152,-.063471794128418,126953,.1961431503295898,4941716,-.0624475479125977,18068352,-.4939174652099609,89974,-.4727334976196289,21079,.2342472076416016,29805,.1972684860229492,52819,-.3459262847900391,42673968,.1708869934082031,177625,-.6637191772460938,12644781,.2247714996337891,567051,2969945,.5120325088500977,111800424,.1501312255859375,2322000,7612916,.2875328063964844,845446,-.1793651580810547,85062,.3761501312255859,1422159,213516,.2226037979125977,23754644,-.0039329528808594,5816124,.000340461730957,49390,-.5340280532836914,1539662,-.2740287780761719,90469,-2.041804313659668,455824,1.177127838134766,2124896,-.0389919281005859,779777,.1375446319580078,37457,-.9127340316772461,163863,-.415501594543457,15159838,.7634735107421875,419056,-.667759895324707,matched (3),20440040,.92614591,1249471.9,1986135.8
201012,901920,611,4761,19670260,12,0,0,0,0,0,0,0,0,0,0,1,55822,394640,.1012887954711914,277551,.0453701019287109,1570414,-.5441122055053711,392674,.1206655502319336,1713,-3.506593227386475,1788688,-.246119499206543,17619,-1.240977287292481,2413021,1218958,-.0211906433105469,29861,-.5154495239257813,21625,-1.357419013977051,22570,-1.029635429382324,8536,-.6179933547973633,173262,.1648006439208984,2302782,-.2786130905151367,1167617,-.1931343078613281,25897,-.4198417663574219,3726260,-.0517454147338867,75444,-.5204267501831055,5992554,.192805290222168,17363002,-.0398216247558594,29549,-1.113471031188965,5420,-1.358181953430176,18244,-.490839958190918,53475,.0123434066772461,50659676,.1715412139892578,430122,.8843936920166016,7486930,-.5240850448608398,421676,1784233,-.5095548629760742,104214272,-.0702667236328125,1665000,10144027,.2870378494262695,670945,-.2311763763427734,118900,.3349027633666992,1108147,149529,-.3562211990356445,25113380,.0556240081787109,5302412,-.0924720764160156,47153,-.0463504791259766,2498389,.4840831756591797,202137,.8039379119873047,3607739,2.068729400634766,2129315,.0020771026611328,971408,.2197389602661133,86337,.8350648880004883,297477,.5963058471679688,9774155,-.4389076232910156,106356,-1.371212959289551,matched (3),23254898,.92614591,1257098.1,1990942.1
201101,901920,612,4761,20889112,01,0,0,0,0,0,0,0,0,0,0,0,59813,371370,-.0607748031616211,132361,-.7404718399047852,4132326,.9675016403198242,358502,-.0910463333129883,4514,.9689373970031738,2495194,.3328847885131836,22370,.2387428283691406,2789543,1287571,.0547609329223633,45558,.4224328994750977,49125,.8205175399780273,147430,1.876731872558594,19505,.8263788223266602,179549,.0356435775756836,2426017,.0521326065063477,1413386,.1910238265991211,8094,-1.163003921508789,3292868,-.1236457824707031,69084,-.0880670547485352,4602587,-.2638998031616211,30817756,.5737495422363281,38805,.2724990844726563,6902,.2417154312133789,23320,.2454757690429688,42403,-.2319955825805664,42448280,-.1768436431884766,271729,-.4592628479003906,5440243,-.3193349838256836,465959,1711322,-.041722297668457,98065576,-.0608119964599609,2310000,5238163,-.6609134674072266,865878,.2550563812255859,135404,.1299800872802734,2374847,49674,-1.102008819580078,30651754,.1992893218994141,5659026,.0650901794433594,51940,.0966911315917969,2054942,-.1953983306884766,717566,1.26692008972168,252420,-2.65974235534668,1771656,-.1838855743408203,495024,-.6741399765014648,80487,-.0701627731323242,63550,-1.543509483337402,11286274,.1438446044921875,35738,-1.090577125549316,matched (3),22935980,.92614591,1152306.8,1926490.5
201102,901920,613,4761,16392537,02,1,0,0,0,0,0,0,0,0,0,0,138223,251997,-.3877811431884766,78915,-.5171613693237305,1472936,-1.031582832336426,345111,-.0380678176879883,2861,-.4560122489929199,2307828,-.0780601501464844,10485,-.7577753067016602,1298522,793068,-.4846038818359375,25633,-.5751056671142578,25974,-.6372718811035156,50024,-1.080850601196289,11168,-.5576190948486328,141913,-.235234260559082,2555097,.0518398284912109,1565527,.10223388671875,28224,1.249049186706543,3160140,-.0411434173583984,53823,-.2496223449707031,3977018,-.1460857391357422,15234075,-.7045555114746094,20443,-.6409082412719727,3977,-.5512828826904297,18483,-.2324600219726563,39397,-.0735292434692383,39401824,-.0744743347167969,373230,.3173894882202148,7476445,.3179330825805664,363867,1559398,-.0929660797119141,100497096,.0244922637939453,2096000,3936006,-.2858037948608398,578574,-.4031772613525391,119456,-.1253147125244141,614396,299346,1.796117782592773,29048280,-.0537319183349609,5304801,-.0646390914916992,16470,-1.148548126220703,2003141,-.0255308151245117,53995,-2.586974143981934,239104,-.0541954040527344,1815099,.0242252349853516,517817,.0450153350830078,40843,-.6783599853515625,25886,-.8981246948242188,8183736,-.3214378356933594,78018,.7807254791259766,matched (3),19158282,.92614591,1028986.9,1855362.3
201103,901920,614,4761,20297796,03,0,1,0,0,0,0,0,0,0,0,0,147927,248124,-.0154886245727539,285196,1.284805297851563,1652962,.1153106689453125,208282,-.5049734115600586,27081,2.247661113739014,2994988,.2606334686279297,23086,.789280891418457,2412836,501892,-.4575233459472656,26304,.0258398056030273,53364,.7200403213500977,71192,.3528776168823242,34690,1.13339900970459,150309,.0574789047241211,2940237,.1403999328613281,1939853,.2143898010253906,19112,-.3898563385009766,3454227,.0889825820922852,107631,.6930074691772461,4871008,.2027683258056641,24972232,.4942302703857422,52989,.9524440765380859,11913,1.097102165222168,32097,.5519113540649414,51002,.2581758499145508,51090876,.2597942352294922,336687,-.1030416488647461,9676698,.2579641342163086,228341,1488108,-.0467939376831055,106505952,.0580711364746094,2602000,4855729,.2099924087524414,1057604,.6031942367553711,51880,-.834014892578125,870640,197227,-.4172439575195313,39533848,.3081989288330078,4631646,-.1357002258300781,67697,1.413500785827637,1757546,-.13079833984375,60994,.1218843460083008,620135,.953038215637207,2313307,.2425384521484375,905975,.5593900680541992,88666,.7751407623291016,53340,.7229833602905273,8650234,.0554370880126953,119733,.4283246994018555,matched (3),16373759,.92614591,1099073.9,1895130.1
201104,901920,615,4761,21553446,04,0,0,1,0,0,0,0,0,0,0,0,290443,337786,.3084831237792969,182935,-.4440460205078125,5549240,1.211092948913574,363717,.5574836730957031,2224,-2.49952507019043,4930528,.4985055923461914,33645,.3766374588012695,2851719,1169136,.8456354141235352,85872,1.183136940002441,17764,-1.09996223449707,15041,-1.554600715637207,18066,-.6524190902709961,99267,-.4148797988891602,2919124,-.007206916809082,1661616,-.1548213958740234,12970,-.3876771926879883,3522433,.0195531845092773,129556,.1854047775268555,4122599,-.1668167114257813,28056568,.1164569854736328,110337,.733454704284668,134143,2.421276092529297,38958,.193720817565918,36998,-.3210010528564453,55041760,.0744857788085938,337598,.0027027130126953,13309952,.3187904357910156,458000,2325913,.4466066360473633,104988944,-.0143451690673828,1796000,5775748,.1735086441040039,897558,-.1640834808349609,108561,.7383794784545898,2506568,56425,-1.251443862915039,31687972,-.2212200164794922,4923241,.0610542297363281,22213,-1.114363670349121,1706496,-.0294761657714844,158414,.9544363021850586,240950,-.945347785949707,2495520,.0758190155029297,610629,-.3945226669311523,243885,1.011820793151856,66816,.2252569198608398,8185726,-.0551948547363281,440149,1.301848411560059,matched (3),20907928,.92614591,879643.81,1776887.3
201105,901920,616,4761,22881354,05,0,0,0,1,0,0,0,0,0,0,0,254184,389415,.1422338485717773,217362,.1724328994750977,2286109,-.886810302734375,452036,.2173852920532227,16145,1.982302665710449,3246526,-.4178600311279297,60073,.5796966552734375,3398179,506205,-.8370790481567383,125600,.380244255065918,39643,.8027400970458984,46371,1.125894546508789,21670,.1818971633911133,134358,.3026943206787109,3064140,.0484838485717773,1358280,-.2015714645385742,45253,1.249629974365234,3654326,.0367603302001953,82059,-.4566745758056641,5142675,.2210893630981445,23634324,-.1715221405029297,269430,.8927688598632813,1124120,2.125849723815918,30350,-.2496871948242188,66941,.5929470062255859,53100064,-.0359134674072266,690239,.7151813507080078,11117806,-.1799640655517578,343479,2871377,.2106790542602539,119413928,.1287403106689453,2536000,6245644,.078216552734375,1325615,.3899545669555664,182173,.517643928527832,4357325,345785,1.812905311584473,35441576,.1119480133056641,6605428,.2939252853393555,26667,.1827487945556641,1946352,.1315145492553711,5438969,3.5361328125,284435,.1659154891967773,2511837,.0065164566040039,972562,.4654445648193359,186559,-.267949104309082,206154,1.126680374145508,16421129,.6961765289306641,610093,.3264980316162109,matched (3),23825296,.92614591,1051154.6,1867747.6
201106,901920,617,4761,21942586,06,0,0,0,0,1,0,0,0,0,0,0,306479,362640,-.0712356567382813,216343,-.0046987533569336,1551258,-.3877849578857422,619356,.3149185180664063,30731,.6436614990234375,2496519,-.2626886367797852,50593,-.1717472076416016,1597775,1448606,1.05141544342041,15165,-2.11411190032959,18014,-.7887649536132813,27096,-.5372886657714844,5878,-1.304712295532227,185930,.3248624801635742,3209606,.0463809967041016,1482828,.0877313613891602,21784,-.7310934066772461,3409531,-.0693368911743164,110930,.3014602661132813,3985778,-.2548408508300781,33432888,.3468399047851563,328833,.1992416381835938,1443,-6.658031940460205,31585,.0398855209350586,45701,-.3816909790039063,75890312,.3571109771728516,624212,-.1005477905273438,9193757,-.1900234222412109,278898,2263535,-.2378635406494141,109812160,-.0838241577148438,3920000,5058910,-.2107334136962891,750305,-.5691518783569336,70717,-.9462709426879883,3079161,79192,-1.473941802978516,33606412,-.0531692504882813,5990261,-.0977573394775391,87742,1.190974235534668,1834671,-.0590915679931641,198468,-3.31071662902832,344895,.1927356719970703,2166113,-.1480798721313477,579385,-.5179662704467773,76691,-.8889636993408203,71526,-1.058562278747559,10810194,-.4180774688720703,439237,-.3285722732543945,matched (3),17565106,.92614591,1770676.4,2349223.3
201107,901920,618,4761,23242596,07,0,0,0,0,0,1,0,0,0,0,0,177772,451739,.2196941375732422,192054,-.1190881729125977,1824049,.1619930267333984,542101,-.1332273483276367,63678,.7285671234130859,2695154,.0765581130981445,54795,.0797853469848633,1442848,977212,-.3936538696289063,97280,1.858603477478027,20740,.1409149169921875,71507,.9704093933105469,8769,.4000053405761719,205918,.1021080017089844,2464888,-.2640018463134766,1285285,-.142970085144043,21480,-.0140533447265625,3969482,.1520605087280273,111434,.0045337677001953,4243640,.0626888275146484,19599860,-.5340175628662109,53021,-1.824861526489258,26246,2.900789737701416,47100,.3995904922485352,73407,.4738988876342773,54079436,-.3388347625732422,744264,.1759061813354492,8968085,-.0248527526855469,333950,3045849,.2968511581420898,109888088,.0006904602050781,2838000,6284109,.2168731689453125,1032407,.3191680908203125,152140,.7661151885986328,2512761,183005,.8376379013061523,23367370,-.3633766174316406,4370696,-.3152122497558594,21480,-1.407279014587402,1004642,-.60223388671875,55915,-1.266795158386231,419035,.1947145462036133,2528208,.154576301574707,678838,.1584148406982422,108254,.344696044921875,229661,1.166543006896973,12077471,.1108512878417969,461840,.0501794815063477,matched (3),20989630,.92614591,1341551.3,2045315.3
201108,901920,619,4761,24868342,08,0,0,0,0,0,0,1,0,0,0,0,221944,607508,.2962608337402344,265318,.3231525421142578,3320582,.5990810394287109,563607,.0389041900634766,195078,1.119561195373535,3431964,.2416772842407227,15198,-1.282435417175293,1751092,1100956,.1192312240600586,67355,-.3676166534423828,71729,1.24083137512207,23886,-1.096502304077148,4648,-.6347856521606445,247862,.185394287109375,3131586,.2393932342529297,2513938,.6708698272705078,29615,.3211593627929688,4322772,.085261344909668,109390,-.0185136795043945,6134788,.3685541152954102,23179118,.1677303314208984,131382,.9074211120605469,42355,.4785728454589844,22066,-.758234977722168,41131,-.5792570114135742,63205348,.1559333801269531,1280407,.5425376892089844,12819030,.3572597503662109,390587,2479159,-.2058601379394531,120268320,.0902633666992188,2886000,11524248,.6064291000366211,1069085,.0349102020263672,114959,-.2802257537841797,1023144,198932,.0834493637084961,24605344,.0516242980957031,5800287,.282984733581543,25813,.1837558746337891,1225882,.1990289688110352,11101,-1.61679744720459,313439,-.2903499603271484,2674496,.0562505722045898,860988,.2376976013183594,249674,.8356761932373047,300376,.2684307098388672,8133758,-.3953189849853516,941733,.7125034332275391,matched (3),16867378,.92614591,1139361.6,1918775.6
