period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1450c688,growth1450c688,Y1617c807,growth1617c807,Y1698c372,growth1698c372,Y1789c152,Y1809c807,growth1809c807,Y2050c268,growth2050c268,Y2118c642,Y2125c703,growth2125c703,Y2577c792,growth2577c792,Y2742c348,growth2742c348,Y2750c251,growth2750c251,Y2821c554,Y2927c222,growth2927c222,Y2962c268,growth2962c268,Y3024c792,growth3024c792,Y3158c440,growth3158c440,Y3215c703,growth3215c703,Y327c440,growth327c440,Y3339c484,growth3339c484,Y3388c208,Y3511c208,growth3511c208,Y3583c807,growth3583c807,Y3730c222,growth3730c222,Y3980c600,growth3980c600,Y4039c620,growth4039c620,Y4040c440,growth4040c440,Y4140c620,growth4140c620,Y4146c484,growth4146c484,Y4198c348,growth4198c348,Y4431c428,growth4431c428,Y4445c688,growth4445c688,Y4484c792,growth4484c792,Y4539c826,growth4539c826,Y4681c484,growth4681c484,Y4701c191,growth4701c191,Y472c792,growth472c792,Y4736c616,growth4736c616,Y4761c124,growth4761c124,Y47c124,growth47c124,Y4887c440,growth4887c440,Y4974c705,growth4974c705,Y4975c218,Y581c688,growth581c688,Y614c484,growth614c484,Y651c428,growth651c428,Y675c484,growth675c484,Y694c792,growth694c792,Y712c348,growth712c348,Y712c688,growth712c688,Y729c703,growth729c703,_merge,x,r2,s,sf
201011,840721,610,3800,6456286,11,0,0,0,0,0,0,0,0,0,1,0,508118,-.2917747497558594,33131,-.0425453186035156,321327,.3515968322753906,90342,5003,-1.417290687561035,290320,-.1036109924316406,164335,422743,-.3290815353393555,618890,-.1410408020019531,401525,-.0406951904296875,724665,1.085284233093262,2512,35716,.2764339447021484,3662,.477348804473877,10131159,-.079437255859375,62779,-.7233114242553711,2244433,.8252267837524414,152571,.2014226913452148,824026,.3050327301025391,887,75641,.3369407653808594,134624,.4271507263183594,13141,.3105430603027344,40283,-.0456609725952148,4728699,.1443500518798828,1369922,.1045246124267578,285117,-.2970266342163086,1112569,.8002824783325195,29727560,.2206592559814453,32648,.3061885833740234,21685,-.7936840057373047,8951509,-.9525127410888672,728187,.28448486328125,37486,.4641199111938477,316,-1.688506603240967,169580,-.8955316543579102,554200,-.0298881530761719,8761690,-.2273044586181641,79124,-.3524169921875,8884,-1.277005195617676,59718,-.8482017517089844,66510,124062,-.2088394165039063,1270029,-.217799186706543,140722,-.1071701049804688,6091346,-.3143978118896484,3313098,-2.315892219543457,8226403,-.0531396865844727,8207771,.4482269287109375,31499,.1326475143432617,matched (3),3026067.8,.82285452,1004533.9,1569899.9
201012,840721,611,3800,7197202,12,0,0,0,0,0,0,0,0,0,0,1,476910,-.0633859634399414,39586,.1780061721801758,364394,.1257762908935547,132112,8119,.4841699600219727,539440,.6195478439331055,340469,788444,.6232976913452148,479977,-.2541894912719727,528251,.2743024826049805,278765,-.9553403854370117,4363,11914,-1.097884178161621,7622,.7330293655395508,14230558,.3397750854492188,93963,.4032802581787109,929340,-.8817338943481445,211656,.32733154296875,653657,-.2316198348999023,96852,5882,-2.554101943969727,66147,-.7106056213378906,5002,-.9658994674682617,61110,.4167461395263672,4588453,-.0301074981689453,1051259,-.2647647857666016,1155938,1.399767875671387,407749,-1.003774642944336,41816036,.3412055969238281,28249,-.1447248458862305,38009,.5612020492553711,8008147,-.1113615036010742,673602,-.0779180526733398,86624,.8376092910766602,3307,2.348054885864258,363182,.7615785598754883,476699,-.1506404876708984,12973536,.3925228118896484,32652,-.8851099014282227,52934,1.784793853759766,79336,.2840585708618164,210724,181233,.379002571105957,1287771,.0138731002807617,195926,.3309507369995117,8311003,.3107118606567383,7125673,.7658205032348633,13414147,.4889621734619141,10133066,.2107229232788086,43145,.3146114349365234,matched (3),6560727.5,.82285452,1023750.8,1582265.1
201101,840721,612,3800,4040787,01,0,0,0,0,0,0,0,0,0,0,0,264095,-.5910186767578125,28188,-.3395795822143555,263734,-.3232946395874023,270635,5349,-.41729736328125,336876,-.4708166122436523,234619,467092,-.5235357284545898,369825,-.2607078552246094,338529,-.4449625015258789,316124,.1257658004760742,4299,5484,-.7758798599243164,1823,-1.43055534362793,11671103,-.1982746124267578,61329,-.4266481399536133,952996,.0251369476318359,79892,-.9742860794067383,598337,-.0884284973144531,7642,521,-2.423902034759522,103502,.4477109909057617,4606,-.0824785232543945,172331,1.036742210388184,3768799,-.1967859268188477,973210,-.0771446228027344,326603,-1.263921737670898,629232,.4338474273681641,18837440,-.7974338531494141,18040,-.4484672546386719,89682,.8584470748901367,3569670,-.8079862594604492,782060,.1492919921875,11322,-2.034829139709473,1047,-1.150112628936768,277507,-.2690572738647461,286400,-.509495735168457,11765084,-.0977745056152344,202286,1.823776245117188,9271,-1.742155075073242,121404,.4254312515258789,82565,81413,-.8002490997314453,745512,-.5465965270996094,110042,-.5768747329711914,4761336,-.5570526123046875,3569032,-.6914100646972656,2586015,-1.64619255065918,385944,-3.267868041992188,5331,-2.091028213500977,matched (3),8140914.5,.82285452,1006213.4,1570975.1
201102,840721,613,3800,5048206,02,1,0,0,0,0,0,0,0,0,0,0,457169,.5487442016601563,42697,.4152326583862305,1029335,1.361726760864258,176169,4105,-.264704704284668,532474,.4578189849853516,224947,1018966,.7800178527832031,282354,-.2698688507080078,379947,.115422248840332,593800,.6304082870483398,8338,9314,.5296840667724609,2149,.1645193099975586,9995163,-.1550159454345703,78957,.2526512145996094,2662824,1.027531623840332,221262,1.018671989440918,791136,.2793159484863281,18699,56452,4.68539571762085,1049883,2.316843032836914,5841,.2375421524047852,42296,-1.404725074768066,3695641,-.0196027755737305,930329,-.0450611114501953,254159,-.2507858276367188,1321089,.7417116165161133,27790306,.3888416290283203,20982,.1510734558105469,36476,-.8996152877807617,4530522,.2383632659912109,813282,.0391464233398438,34071,1.101698875427246,273,-1.344212532043457,264810,-.0468339920043945,368810,.2528924942016602,11503027,-.0225257873535156,202019,-.0013208389282227,23433,.9272537231445313,206961,.5334072113037109,115357,114595,.3418693542480469,563639,-.2796573638916016,157351,.3576164245605469,7425286,.4443635940551758,12707233,1.269876480102539,6233280,.8797845840454102,806539,.737060546875,27216,1.630266189575195,matched (3),11954402,.82285452,3870450.5,4054119.5
201103,840721,614,3800,3447780,03,0,1,0,0,0,0,0,0,0,0,0,645555,.345057487487793,33797,-.2337570190429688,597836,-.5433511734008789,135629,6611,.4765300750732422,483709,-.0960502624511719,252475,814868,-.2235174179077148,872312,1.127985954284668,449578,.1682777404785156,345383,-.5418891906738281,4080,275570,3.387323379516602,9574,1.494048118591309,13662531,.3125572204589844,40607,-.6649637222290039,888475,-1.097636222839356,207207,-.0656299591064453,668164,-.1689367294311523,8553,56164,-.0051145553588867,84462,-2.520132064819336,4783,-.199833869934082,292754,1.934639930725098,6327157,.5376968383789063,1041781,.1131486892700195,72091,-1.260030746459961,506074,-.9595279693603516,35160856,.2352466583251953,9940,-.7470979690551758,17180,-.7529087066650391,4881857,.0746889114379883,793257,-.0249309539794922,22457,-.416844367980957,1089,1.383543491363525,362290,.3134326934814453,697958,.6378774642944336,14903970,.2590160369873047,123199,-.4945602416992188,23911,.0201940536499023,121839,-.5298299789428711,84279,177362,.4367885589599609,965969,.5387172698974609,176762,.1163253784179688,6066898,-.2020444869995117,24345326,.6501693725585938,9822664,.4547891616821289,2279957,1.039159774780273,19333,-.3419914245605469,matched (3),6832258.5,.82285452,873613.88,1489529.6
201104,840721,615,3800,7862307,04,0,0,1,0,0,0,0,0,0,0,0,657520,.0183649063110352,70158,.7303781509399414,529756,-.1209001541137695,196445,8071,.1995420455932617,680419,.3412246704101563,323064,852367,.0449905395507813,1184791,.3061742782592773,548680,.1992063522338867,275813,-.2249307632446289,6001,3418,-4.389785766601563,1316,-1.984454154968262,15763498,.1430397033691406,232075,1.743120193481445,1934289,.7779884338378906,371989,.5851459503173828,743576,.1069374084472656,24320,161779,1.057954788208008,168400,.6900405883789063,2272,-.7444071769714356,481935,.4984769821166992,4832955,-.2693929672241211,1082495,.0383367538452148,351042,1.582977294921875,1023467,.7042675018310547,20905848,-.5199050903320313,13292,.2905960083007813,18007,.0470151901245117,8812301,.5906229019165039,470896,-.521510124206543,49124,.782745361328125,4301,1.373587608337402,694985,.6514453887939453,640055,-.0866050720214844,14575832,-.0222625732421875,164728,.2904939651489258,13261,-.5895118713378906,195266,.4716625213623047,120804,213855,.1871051788330078,1017590,.0520610809326172,149547,-.1671934127807617,8052506,.2831363677978516,28645704,.1626625061035156,11296836,.13983154296875,4985453,.7823677062988281,8752,-.7925310134887695,matched (3),12026236,.82285452,1110207,1639529.5
201105,840721,616,3800,7719786,05,0,0,0,1,0,0,0,0,0,0,0,902013,.3161535263061523,38340,-.6042566299438477,448816,-.1658039093017578,24681,6344,-.2407674789428711,540172,-.2308206558227539,71322,973592,.1329755783081055,981530,-.1882085800170898,524150,-.0457382202148438,201556,-.3136558532714844,1482,5885,.5433511734008789,8419,1.855894088745117,14592500,-.0771903991699219,71464,-1.177865982055664,1695999,-.1314678192138672,587742,.4574241638183594,527666,-.3430070877075195,9139,105197,-.4303960800170898,134375,-.2257080078125,3012,.2819437980651856,418320,-.1415624618530273,4212577,-.1373834609985352,729375,-.3948354721069336,259323,-.3028316497802734,778115,-.2740764617919922,29867162,.3567314147949219,16839,.2365350723266602,9500,-.6394691467285156,4287438,-.720458984375,399638,-.1640777587890625,28976,-.5278797149658203,7684,.5802927017211914,482533,-.3648414611816406,732628,.1350841522216797,9796350,-.3973541259765625,56211,-1.075182914733887,6035,-.7872514724731445,127330,-.4275808334350586,78982,200058,-.0666904449462891,652729,-.44403076171875,145556,-.0270500183105469,7383849,-.0866880416870117,24404108,-.1602516174316406,13113482,.1491165161132813,4360771,-.133875846862793,33387,1.338884353637695,matched (3),2113579.3,.82285452,1087345.6,1624136
201106,840721,617,3800,7751038,06,0,0,0,0,1,0,0,0,0,0,0,978625,.0815191268920898,41082,.0690765380859375,325084,-.3225288391113281,136045,8228,.2600326538085938,585857,.0811882019042969,556013,1043173,.0690298080444336,924526,-.0598316192626953,478444,-.0912380218505859,522889,.9533023834228516,21408,8933,.4173450469970703,8726,.0358161926269531,16050728,.0952472686767578,103068,.3661947250366211,1808356,.0641460418701172,1872554,1.158770561218262,1267918,.8766679763793945,51380,227330,.7705678939819336,156563,.1528244018554688,5323,.569432258605957,513962,.205902099609375,3719780,-.1244096755981445,1042850,.3575239181518555,889243,1.232295989990234,1519466,.6692399978637695,36515896,.2009868621826172,26338,.4473152160644531,4144,-.8296298980712891,6258805,.3782997131347656,484094,.1917200088500977,27021,-.0698537826538086,13700,.5782556533813477,390166,-.2124767303466797,750481,.0240764617919922,12697234,.2593746185302734,190502,1.220550537109375,16190,.9868183135986328,199919,.4511299133300781,100631,224200,.1139307022094727,931070,.3551731109619141,169296,.151087760925293,11788656,.4678421020507813,43671784,.5819511413574219,9430629,-.3296775817871094,6592039,.4132137298583984,25496,-.2696456909179688,matched (3),7867684,.82285452,1054797.9,1602528
201107,840721,618,3800,6646531,07,0,0,0,0,0,1,0,0,0,0,0,910257,-.0724210739135742,40915,-.0040731430053711,151515,-.7633991241455078,217907,5909,-.3310661315917969,180288,-1.178520202636719,234248,850648,-.2040243148803711,788854,-.1586999893188477,424853,-.1187963485717773,269846,-.6615180969238281,4908,6157,-.3721628189086914,7516,-.1492729187011719,18247376,.1282672882080078,60698,-.5294780731201172,897363,-.7007131576538086,1983826,.0577239990234375,1165887,-.0838937759399414,3637,97409,-.8474836349487305,95647,-.4927940368652344,3558,-.4028377532958984,107462,-1.565011978149414,3151892,-.1656618118286133,887415,-.1613998413085938,119492,-2.007121086120606,2000296,.2749357223510742,28061624,-.2633438110351563,10116,-.9568948745727539,14397,1.245357513427734,5552622,-.1197195053100586,431806,-.1143026351928711,17838,-.415283203125,10659,-.2509918212890625,244986,-.4653711318969727,442755,-.5276985168457031,11182317,-.1270503997802734,125465,-.4176359176635742,15808,-.0238780975341797,178965,-.1107215881347656,90782,216008,-.0372228622436523,893215,-.0415077209472656,157677,-.0711002349853516,7721116,-.4231786727905273,22083736,-.6818599700927734,9727905,.031036376953125,4321367,-.4222908020019531,14578,-.5590076446533203,matched (3),8206078.5,.82285452,608130.81,1351044.1
201108,840721,619,3800,8277149,08,0,0,0,0,0,0,1,0,0,0,0,933171,.0248613357543945,54790,.2920103073120117,212052,.336146354675293,292303,38673,1.878664970397949,831637,1.528840065002441,290193,1851810,.7779207229614258,1071182,.3059368133544922,362935,-.1575193405151367,501230,.6192140579223633,7697,25661,1.427383422851563,8485,.1212654113769531,17847304,-.0221691131591797,72541,.1782407760620117,1239508,.3230094909667969,1542419,-.2516756057739258,1624485,.3317079544067383,84753,103499,.060643196105957,127477,.2872714996337891,3418,-.0401430130004883,231363,.766850471496582,3316821,.0510044097900391,988142,.107513427734375,1688084,2.648099899291992,2050640,.0248575210571289,31312088,.1096000671386719,25251,.9147481918334961,13807,-.0418434143066406,5709660,.0278892517089844,636741,.3883867263793945,42548,.8693017959594727,9049,-.1637496948242188,404772,.5021228790283203,454836,.0269203186035156,10360867,-.0762977600097656,86102,-.3764944076538086,58378,1.306423187255859,186782,.0427513122558594,194627,194178,-.1065397262573242,1168480,.2686319351196289,160391,.0170660018920898,16988984,.7886056900024414,17838966,-.2134571075439453,10505745,.0769233703613281,6291390,.3756103515625,18388,.2321844100952148,matched (3),11479739,.82285452,894132.19,1501655.6
