period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1166c203,Y1233c616,growth1233c616,Y1276c826,growth1276c826,Y1322c616,growth1322c616,Y137c246,growth137c246,Y1459c36,Y1486c752,growth1486c752,Y1502c440,growth1502c440,Y1505c218,Y1508c792,growth1508c792,Y1823c152,growth1823c152,Y1911c600,Y1924c792,growth1924c792,Y2052c688,growth2052c688,Y2095c348,growth2095c348,Y2117c68,growth2117c68,Y2441c208,growth2441c208,Y2523c807,growth2523c807,Y2668c705,growth2668c705,Y2941c344,Y2954c246,growth2954c246,Y3117c440,growth3117c440,Y3197c152,growth3197c152,Y3216c792,growth3216c792,Y3479c826,growth3479c826,Y3523c705,growth3523c705,Y3695c807,growth3695c807,Y3742c68,growth3742c68,Y3918c68,growth3918c68,Y4019c620,growth4019c620,Y4084c586,growth4084c586,Y4085c208,growth4085c208,Y412c348,growth412c348,Y4231c268,Y4247c251,growth4247c251,Y4388c32,Y4569c440,growth4569c440,Y4837c440,Y4892c36,Y4966c233,Y4981c152,growth4981c152,Y526c124,growth526c124,Y540c268,Y545c222,growth545c222,Y550c642,Y620c233,Y652c428,growth652c428,Y699c703,growth699c703,Y719c440,growth719c440,Y983c586,growth983c586,_merge,x,r2,s,sf
201011,901490,610,4734,534796,11,0,0,0,0,0,0,0,0,0,1,0,185116,167434,-.1637611389160156,6918593,-.3169689178466797,46886,-.2628269195556641,38298,-.4383573532104492,2627877,1009192,-.4253339767456055,191700,.2479267120361328,571968,275409,.132568359375,229709,.2287216186523438,2477,5206068,-.1711416244506836,122383,-.1260156631469727,2770384,.047760009765625,954,-.2218847274780273,783334,.0805845260620117,129298,-.1663217544555664,553334,-.3451204299926758,46307,30366,-.9694652557373047,673848,-.171809196472168,1220733,-.3790187835693359,9586116,.5969820022583008,3189358,-.0464563369750977,50612,-.1003952026367188,26149,-.2069129943847656,99353,-.3323068618774414,24937,-.7817373275756836,1100925,-.6081123352050781,3055439,-.4968681335449219,585644,-.1695241928100586,22419,-.3317909240722656,3650,467185,-.1356315612792969,47162948,439935,-.2557287216186523,14271,240551,3659,33145,-1.243309020996094,79477,-.8250102996826172,54581,19487,-.0878324508666992,21435060,523957,273450,-.1070394515991211,165386,-.2520942687988281,2127822,-.0953760147094727,118718,-.5216760635375977,matched (3),-443405.06,.83343625,294795.09,354381.22
201012,901490,611,4734,428451,12,0,0,0,0,0,0,0,0,0,0,1,173969,406905,.8879909515380859,6753292,-.0241823196411133,99919,.7566413879394531,34950,-.0914793014526367,1970008,1416230,.3388490676879883,178932,-.0689258575439453,273784,398406,.3692140579223633,252741,.0955524444580078,39108,3698775,-.3418235778808594,147211,.1847114562988281,1750209,-.4592504501342773,3271,1.232186794281006,470922,-.5088672637939453,148666,.1395816802978516,539540,-.0252447128295898,26497,17065,-.5762939453125,483780,-.3313741683959961,1022152,-.1775417327880859,7546793,-.2391929626464844,2399858,-.2844104766845703,40003,-.2352333068847656,23867,-.0913143157958984,86480,-.1387662887573242,125954,1.619564056396484,755082,-.377079963684082,2905346,-.0503711700439453,529097,-.1015396118164063,4878,-1.525173187255859,36326,2075846,1.491398811340332,64919836,75561,-1.761686325073242,3041,226183,9993,16014,-.7274293899536133,180599,.8208112716674805,59904,6249,-1.137325286865234,3451350,522726,349989,.2467832565307617,164914,-.0028572082519531,2178820,.0236845016479492,135035,.1287832260131836,matched (3),-697563,.83343625,439049.81,481089.03
201101,901490,612,4734,274207,01,0,0,0,0,0,0,0,0,0,0,0,120320,165753,-.8980808258056641,7826588,.147496223449707,96451,-.0353250503540039,21242,-.4979381561279297,1927632,929669,-.4209251403808594,256553,.3603296279907227,220867,304851,-.2676477432250977,55732,-1.511811256408691,6095,2734270,-.3021373748779297,78127,-.6335306167602539,1106408,-.4586172103881836,282,-2.450943470001221,702830,.4004230499267578,123290,-.1871623992919922,356671,-.4139032363891602,16354,34081,.6917104721069336,261941,-.6135110855102539,444429,-.8328752517700195,14622291,.6614246368408203,3040262,.2365341186523438,2898,-2.624934196472168,13197,-.5925064086914063,122979,.3521003723144531,69713,-.5915298461914063,581791,-.2607145309448242,2786369,-.0418128967285156,635174,.1827268600463867,54669,2.416561126708984,6815,1435038,-.3691778182983398,30729164,28534,-.9738435745239258,2173,181425,3126,5528,-1.063636779785156,40399,-1.49747371673584,46791,6543,.0459737777709961,1003937,142591,81215,-1.46080207824707,291074,.5681533813476563,1816841,-.1816835403442383,98906,-.3113641738891602,matched (3),-474688.31,.83343625,236559.58,307639.94
201102,901490,613,4734,117410,02,1,0,0,0,0,0,0,0,0,0,0,94901,352012,.7531661987304688,8847806,.1226425170898438,46831,-.7224893569946289,78850,1.311567306518555,1506455,1074231,.14453125,159194,-.4772119522094727,190092,149190,-.7146024703979492,197725,1.266323089599609,3970,3058794,.1121559143066406,87430,.1125020980834961,1597943,.3675985336303711,1550,1.704102993011475,814231,.1471290588378906,64194,-.6526298522949219,305887,-.1535978317260742,4198,42407,.2185726165771484,276107,.052668571472168,813095,.6040582656860352,7327682,-.6908884048461914,3056660,.0053796768188477,74490,3.246644020080566,9412,-.3380041122436523,225897,.6080656051635742,7486,-2.231352806091309,753736,.2589311599731445,3024009,.0818443298339844,590469,-.0729818344116211,125544,.83135986328125,76038,741605,-.6601295471191406,75092992,3230,-2.178614616394043,6349,240307,6674,4870,-.1267318725585938,66684,.50115966796875,20030,16050,.897313117980957,392854,274645,21567,-1.325935363769531,279040,-.0422229766845703,2428342,.2901096343994141,52167,-.6397199630737305,matched (3),-1213703.5,.83343625,496981.41,534483.31
201103,901490,614,4734,253098,03,0,1,0,0,0,0,0,0,0,0,0,153499,413036,.1598691940307617,9841308,.1064186096191406,58958,.2302799224853516,37573,-.7412614822387695,1632445,1020597,-.0512170791625977,242032,.4189462661743164,382392,304348,.7129507064819336,256369,.2597408294677734,16704,6323022,.7261772155761719,120435,.3202724456787109,2325668,.3752908706665039,7876,1.625565528869629,788452,-.0321731567382813,174455,.9997568130493164,440600,.3649215698242188,4480,58586,.3231830596923828,285094,.0320310592651367,957570,.1635503768920898,12024750,.4953069686889648,3787486,.2143793106079102,167516,.8104143142700195,26521,1.035950660705566,77780,-1.066194534301758,57162,2.032855033874512,1221826,.4830589294433594,2714368,-.1080245971679688,642148,.0839014053344727,113686,-.0992164611816406,14413,1453110,.6726446151733398,75252208,13309,1.415958404541016,20463,135387,47289,13518,1.020928382873535,101523,.4203205108642578,91956,23447,.3790340423583984,2868017,465103,8269,-.9586515426635742,441528,.4588861465454102,2729652,.1169652938842773,154788,1.087606430053711,matched (3),-1809670,.83343625,500276.63,537548.69
201104,901490,615,4734,283109,04,0,0,1,0,0,0,0,0,0,0,0,161808,647212,.4491395950317383,10071346,.0231056213378906,47476,-.2166013717651367,77712,.7267236709594727,1695677,1188230,.1520767211914063,246233,.0172090530395508,599049,189042,-.4762020111083984,93914,-1.004239082336426,22112,6867073,.0825405120849609,63927,-.6333684921264648,2176539,-.0662717819213867,1421,-1.712459564208984,857941,.0844640731811523,317897,.6000614166259766,275982,-.4678020477294922,3446,214363,1.297174453735352,361709,.2380208969116211,1154694,.1871919631958008,10102094,-.1742229461669922,4427530,.1561393737792969,24877,-1.907135009765625,18276,-.3723478317260742,82416,.0578956604003906,46058,-.2159881591796875,870314,-.3392477035522461,8796432,1.175786972045898,597321,-.0723638534545898,138513,.1975240707397461,15453,191891,-2.024534225463867,5449076,289007,3.078010559082031,798,205514,108936,1825,-2.002442836761475,63643,-.4669961929321289,25129,4493,-1.652222633361816,40606144,334202,9123,.0982856750488281,493209,.110692024230957,2255527,-.190791130065918,191602,.2133636474609375,matched (3),297161.25,.83343625,188609.64,272498.63
201105,901490,616,4734,343443,05,0,0,0,1,0,0,0,0,0,0,0,170867,363585,-.5766611099243164,8472942,-.1728153228759766,22155,-.7621612548828125,139861,.5876388549804688,2178729,1503381,.2352523803710938,140930,-.5580148696899414,193453,253001,.2914237976074219,230015,.8957653045654297,44804,7287332,.0593996047973633,114528,.5830774307250977,1576898,-.3222761154174805,531,-.9843540191650391,817417,-.0483856201171875,264891,-.1824092864990234,393097,.3537216186523438,4035,231974,.0789546966552734,366260,.0125036239624023,2039737,.5689859390258789,19788458,.6723556518554688,4579334,.0337114334106445,142928,1.748396873474121,13404,-.3100357055664063,87699,.0621309280395508,170777,1.310457229614258,1018727,.1574554443359375,2806278,-1.142487525939941,746138,.2224559783935547,164181,.1700057983398438,7013,362165,.6351728439331055,5660681,207566,-.3310012817382813,8528,181989,68596,13099,1.970956325531006,136125,.760284423828125,138766,12491,1.022488594055176,61168680,417073,33335,1.295808792114258,351791,-.337895393371582,2110824,-.0663051605224609,199362,.0397024154663086,matched (3),197491.05,.83343625,182761.89,268484.28
201106,901490,617,4734,314216,06,0,0,0,0,1,0,0,0,0,0,0,131996,162157,-.8074474334716797,9610233,.1259498596191406,12982,-.5344991683959961,51092,-1.007020950317383,1778424,1132638,-.283167839050293,48644,-1.063735008239746,609414,244059,-.0359830856323242,142375,-.479680061340332,11324,6373923,-.1339225769042969,102302,-.1128902435302734,1504424,-.0470495223999023,880,.505159854888916,693804,-.1639604568481445,165946,-.467656135559082,375488,-.0458307266235352,0,104126,-.8010234832763672,349882,-.0457477569580078,955742,-.7580881118774414,13436989,-.3870868682861328,3868046,-.1688041687011719,112000,-.2438421249389648,60160,1.50145435333252,76683,-.1342306137084961,8437,-3.007731437683106,1357791,.2873048782348633,1010067,-1.021842002868652,719673,-.0361137390136719,221129,.2977762222290039,11294,414561,.1351203918457031,5560569,113244,-.6059045791625977,7800,203411,62818,9677,-.3027839660644531,92255,-.3890171051025391,86918,4816,-.9530649185180664,16964604,214784,23825,-.3358726501464844,262207,-.2939033508300781,3527406,.5134849548339844,86557,-.8343191146850586,matched (3),-149167.94,.83343625,93148.898,217620.34
201107,901490,618,4734,360270,07,0,0,0,0,0,1,0,0,0,0,0,224444,132339,-.2031984329223633,7593189,-.2355766296386719,54415,1.433075904846191,87852,.5420255661010742,1854842,1714547,.4145994186401367,154967,1.158683776855469,346753,78948,-1.128621101379395,246415,.5485525131225586,26713,7244936,.1280879974365234,110290,.0751838684082031,1509773,.0035486221313477,395,-.8010363578796387,676442,-.0253429412841797,152429,-.0849637985229492,185758,-.7037811279296875,146,111944,.0723972320556641,276545,-.2352228164672852,957314,.001643180847168,11617531,-.1454963684082031,3080753,-.2275753021240234,56125,-.6909170150756836,13339,-1.506315231323242,103322,.2981700897216797,103149,2.503547668457031,946078,-.3612890243530273,1259453,.2206611633300781,881030,.2022943496704102,109533,-.7025203704833984,33457,220464,-.6314859390258789,23444524,438789,1.354473114013672,35537,211388,39326,23423,.8839664459228516,165098,.5819826126098633,13253,11410,.8625459671020508,19280460,252601,17093,-.3320655822753906,455364,.5519628524780273,4477110,.2384147644042969,93511,.077275276184082,matched (3),-68443.766,.83343625,178522.11,265616.34
201108,901490,619,4734,506515,08,0,0,0,0,0,0,1,0,0,0,0,255478,343370,.9534416198730469,8174947,.0738229751586914,20718,-.96563720703125,46543,-.6352767944335938,3026811,2649152,.4350910186767578,97877,-.4595012664794922,449141,229898,1.068846702575684,185233,-.2854022979736328,18017,8132069,.1155128479003906,119542,.0805549621582031,1942157,.2518405914306641,1621,1.41191291809082,1076026,.4641838073730469,177118,.1501178741455078,323691,.5553445816040039,2157,232127,.7292852401733398,439148,.46246337890625,1453713,.4177446365356445,19434772,.5145473480224609,2629242,-.158477783203125,42386,-.2807636260986328,26927,.7024374008178711,123044,.1746912002563477,297975,1.060834884643555,715889,-.2788000106811523,3312034,.9668846130371094,975697,.1020603179931641,185226,.5253505706787109,10934,253455,.1394519805908203,19595014,165805,-.97320556640625,2843,215918,27323,217898,2.230308532714844,197999,.1817226409912109,65827,15029,.2754917144775391,46958548,625068,65905,1.349544525146484,542696,.1754522323608398,5622172,.2277402877807617,225577,.8805828094482422,matched (3),-103094.67,.83343625,185455.72,270325.22
