period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1093c826,growth1093c826,Y1194c620,growth1194c620,Y1288c300,growth1288c300,Y1442c348,growth1442c348,Y1514c620,growth1514c620,Y1527c826,growth1527c826,Y1694c616,growth1694c616,Y1714c705,growth1714c705,Y1733c616,growth1733c616,Y1733c705,growth1733c705,Y1737c616,growth1737c616,Y1755c251,growth1755c251,Y1769c203,Y1814c616,growth1814c616,Y1815c826,growth1815c826,Y1966c616,growth1966c616,Y1973c620,growth1973c620,Y2085c807,growth2085c807,Y2486c616,growth2486c616,Y2585c826,growth2585c826,Y2603c792,growth2603c792,Y2677c348,growth2677c348,Y2693c233,Y2696c300,growth2696c300,Y3042c152,growth3042c152,Y3251c620,growth3251c620,Y3303c757,growth3303c757,Y3435c352,growth3435c352,Y3439c642,Y3441c348,growth3441c348,Y3502c251,growth3502c251,Y3520c616,growth3520c616,Y3537c372,growth3537c372,Y3709c826,growth3709c826,Y3752c616,growth3752c616,Y3768c616,growth3768c616,Y3876c203,Y4180c233,Y4256c348,growth4256c348,Y4258c620,growth4258c620,Y4260c348,growth4260c348,Y4410c620,growth4410c620,Y442c616,Y4467c300,growth4467c300,Y4614c705,growth4614c705,Y4937c620,growth4937c620,Y4980c246,growth4980c246,Y5003c428,growth5003c428,Y648c620,growth648c620,Y651c616,growth651c616,_merge,x,r2,s,sf
201011,722220,610,3345,272463,11,0,0,0,0,0,0,0,0,0,1,0,1280557,.3233375549316406,188829,-1.123196601867676,1308575,-.0974254608154297,784413,.4328861236572266,113452,.210200309753418,3673487,-.0339031219482422,8374122,.1111698150634766,3239531,-.1578426361083984,3753880,-.3085365295410156,576483,.2775459289550781,2674849,.0569801330566406,11149639,.0045604705810547,1219239,1067425,.0784826278686523,3905612,-.0122613906860352,2068234,.0069580078125,2752940,.0645675659179688,248408,.476588249206543,1290962,.2834739685058594,41943328,-.1012935638427734,2804,.0415058135986328,202333,.3763551712036133,35499,217843,.4082756042480469,81030,.0410642623901367,174369,1.106609344482422,2698472,-.0038003921508789,271150,-.2881374359130859,239034,550868,-.1586618423461914,138442384,.0650482177734375,12956720,.0372467041015625,114421,.2880058288574219,259446,.2531414031982422,6641589,-.4215974807739258,1104412,.0333051681518555,5626102,223346,821496,-.1222782135009766,16647867,-.1317081451416016,8361424,.0803308486938477,10072420,-.3000850677490234,70739,271475,.7045164108276367,25013194,.1197242736816406,654405,-.1180000305175781,117148,.3718442916870117,285462,-.026637077331543,819772,-.2439556121826172,1266481,.0784292221069336,matched (3),581337.13,.81358963,81749.484,122569.57
201012,722220,611,3345,317061,12,0,0,0,0,0,0,0,0,0,0,1,554847,-.8363580703735352,64028,-1.081521034240723,2119891,.4824256896972656,2037856,.9547176361083984,140918,.2167978286743164,3644195,-.0080051422119141,4012806,-.7356557846069336,1823923,-.5744390487670898,3755230,.0003595352172852,294350,-.6721763610839844,1484768,-.5886344909667969,7748447,-.3639144897460938,1040772,274495,-1.358072280883789,3216233,-.1942033767700195,1602413,-.2551841735839844,2166761,-.239436149597168,302671,.1975736618041992,1252453,-.0302839279174805,34815812,-.186248779296875,42342,2.714732646942139,106039,-.6461086273193359,68393,129832,-.5175333023071289,83047,.0245866775512695,1567254,2.195906639099121,2172326,-.2168874740600586,433907,.4701576232910156,97989,359358,-.4271764755249023,123887536,-.1110801696777344,15719771,.1933040618896484,128794,.1183290481567383,224701,-.1437778472900391,7302600,.0948801040649414,1233312,.1103906631469727,4651537,235659,645050,-.2417993545532227,17183278,.0316543579101563,6461890,-.2577066421508789,7714385,-.2667131423950195,23093,307885,.1258563995361328,21697662,-.1421985626220703,784350,.1811294555664063,128933,.0958547592163086,293902,.0291376113891602,1098395,.2925796508789063,1258943,-.0059700012207031,matched (3),351330.63,.81358963,97470.969,133569.88
201101,722220,612,3345,64162,01,0,0,0,0,0,0,0,0,0,0,0,1039844,.6281328201293945,166900,.9580745697021484,92732,-3.129406929016113,753410,-.9950437545776367,182686,.2595911026000977,3787290,.0385150909423828,3681232,-.08624267578125,2052409,.1180248260498047,3410493,-.0962934494018555,352784,.181086540222168,914408,-.484736442565918,10103313,.2653713226318359,1172006,1161022,1.442123413085938,3030270,-.0595598220825195,1005944,-.4655847549438477,2385942,.0963602066040039,163887,-.613469123840332,1142356,-.092010498046875,32728516,-.0618247985839844,6579,-1.861896514892578,109646,.0334501266479492,1283,85825,-.4139308929443359,174604,.7431144714355469,47852,-3.488966941833496,2077390,-.0446853637695313,219396,-.6819515228271484,148773,242404,-.3937129974365234,135815424,.0919227600097656,10256739,-.4269828796386719,124912,-.030604362487793,253220,.1194877624511719,12995232,.5763511657714844,897860,-.3174448013305664,5748648,175350,1007584,.4459829330444336,12458795,-.3215084075927734,6120710,-.0542440414428711,9020152,.1563749313354492,45858,84408,-1.294064521789551,21403134,-.0136680603027344,603674,-.2618207931518555,254962,.6818218231201172,212449,-.3245439529418945,764579,-.3622798919677734,1113761,-.1225299835205078,matched (3),154340.73,.81358963,121011.58,151605.16
201102,722220,613,3345,134819,02,1,0,0,0,0,0,0,0,0,0,0,509449,-.713496208190918,401208,.8770847320556641,890474,2.262041091918945,623159,-.1898078918457031,183937,.0068244934082031,3858515,.0186319351196289,5716438,.4400978088378906,1940049,-.0563011169433594,4192720,.2064933776855469,646845,.6062507629394531,1623595,.5741214752197266,11266485,.1089687347412109,1012456,1274476,.0932340621948242,3287471,.0814676284790039,1579069,.4509086608886719,2632926,.0985021591186523,202515,.2116365432739258,1978191,.5490894317626953,33431986,.0212669372558594,25304,1.347079277038574,176400,.4754972457885742,1652,206236,.8767108917236328,187494,.0712261199951172,348395,1.985223770141602,2747200,.2794694900512695,528364,.8789072036743164,184219,629779,.9547634124755859,138745232,.0213432312011719,17465048,.5322666168212891,165261,.2799167633056641,405940,.4719467163085938,8814032,-.3882369995117188,1171267,.2658271789550781,6141504,246815,1488301,.390080451965332,14940437,.1816444396972656,7070578,.1442642211914063,12478702,.3245620727539063,48219,133201,.4561977386474609,21744708,.0158329010009766,755510,.2243585586547852,131931,-.6588354110717773,216420,.0185184478759766,925705,.1912298202514648,1359307,.1992321014404297,matched (3),696378.25,.81358963,123897.72,153918.7
201103,722220,614,3345,290279,03,0,1,0,0,0,0,0,0,0,0,0,1723738,1.218920707702637,901904,.810028076171875,189154,-1.549192428588867,1131763,.5967302322387695,111908,-.4969167709350586,4162994,.0759515762329102,10796176,.6358461380004883,2815548,.3724431991577148,5318982,.2379322052001953,492819,-.2719650268554688,2528214,.4428701400756836,12538736,.1069908142089844,1603781,1939371,.4198284149169922,4387268,.2885875701904297,1816219,.1399221420288086,3137594,.1753606796264648,219411,.0801334381103516,1514380,-.267176628112793,42532608,.2407569885253906,52519,.7302122116088867,205211,.1512851715087891,8539,347511,.5217752456665039,275097,.3833770751953125,249549,-.3336820602416992,2770338,.008387565612793,594245,.1175060272216797,350021,673422,.0670032501220703,160004576,.1425628662109375,20167208,.1438560485839844,203145,.2063932418823242,563002,.3270778656005859,11949319,.3043289184570313,1027428,-.1310272216796875,8089350,411795,1684388,.1237668991088867,17558280,.1614532470703125,8584761,.1940460205078125,14140354,.1250076293945313,48646,32478,-1.411296844482422,25471148,.1581764221191406,1078608,.3560333251953125,170368,.2556819915771484,603746,1.025933265686035,1002450,.0796470642089844,1645632,.1911497116088867,matched (3),1056214.4,.81358963,97819.961,133824.77
201104,722220,615,3345,673511,04,0,0,1,0,0,0,0,0,0,0,0,732433,-.8558778762817383,313803,-1.055742263793945,1458021,2.04227352142334,715399,-.4586915969848633,92569,-.1897220611572266,3988702,-.0427684783935547,7863751,-.3169279098510742,3001569,.0639791488647461,4055723,-.271153450012207,424411,-.1494388580322266,1837248,-.319244384765625,12270920,-.0215911865234375,1057400,1202998,-.4775466918945313,3487196,-.2296085357666016,2128029,.1584386825561523,2226465,-.3430414199829102,264496,.1868791580200195,1825765,.1869935989379883,35347520,-.1850414276123047,64896,.2116117477416992,131162,-.447606086730957,22270,144333,-.8786735534667969,270744,-.0159502029418945,1989822,2.076145172119141,2847753,.0275602340698242,317616,-.6264486312866211,183649,803567,.1766881942749023,148925520,-.0717563629150391,17316820,-.1523799896240234,175566,-.145904541015625,996738,.5712051391601563,9879006,-.1902618408203125,900374,-.1320037841796875,7603439,535712,1397321,-.1868457794189453,14127199,-.2174243927001953,7652729,-.1149263381958008,18796616,.2846450805664063,54,2860,-2.429741382598877,18451272,-.3224124908447266,978285,-.097625732421875,145561,-.1573657989501953,403399,-.4032278060913086,1025021,.0222654342651367,1369077,-.1839876174926758,matched (3),790773.25,.81358963,123200.36,153357.91
201105,722220,616,3345,761287,05,0,0,0,1,0,0,0,0,0,0,0,1988330,.9986782073974609,402205,.2481966018676758,1750477,.1828079223632813,761949,.0630397796630859,201294,.7768115997314453,6293446,.4560432434082031,10688906,.3069429397583008,3539085,.1647329330444336,4515896,.1074752807617188,687259,.4820089340209961,2819205,.4281864166259766,15372757,.2253646850585938,2278286,1414633,.162053108215332,4283153,.2055912017822266,2790742,.2711114883422852,3154550,.3484306335449219,289182,.0892305374145508,2212278,.1920232772827148,37700328,.0644397735595703,53058,-.2014007568359375,233695,.5775842666625977,51537,161656,.1133480072021484,538973,.6884918212890625,427824,-1.537088394165039,3036988,.064335823059082,369517,.1513538360595703,256339,1221291,.4186029434204102,174127728,.1563434600830078,15179922,-.1317043304443359,57111,-1.123018264770508,1969576,.6810855865478516,11961058,.1912441253662109,1219881,.3036985397338867,7777529,634929,2181310,.445368766784668,15425544,.0879230499267578,8810392,.1408700942993164,9324975,-.7009811401367188,32345,19384,1.913626194000244,24014788,.2635364532470703,1026377,.0479898452758789,196492,.3000268936157227,611559,.4160852432250977,1066133,.0393257141113281,1479602,.07763671875,matched (3),1020458.5,.81358963,132057.88,160560.28
201106,722220,617,3345,530630,06,0,0,0,0,1,0,0,0,0,0,0,2081769,.0459232330322266,79809,-1.617325782775879,2113554,.1884832382202148,423281,-.5878438949584961,157967,-.2423801422119141,5262765,-.1788530349731445,9236952,-.1459941864013672,3190574,-.1036672592163086,4826149,.0664453506469727,568072,-.1904630661010742,1326415,-.7539758682250977,14557908,-.0544624328613281,2045053,1108781,-.2436084747314453,3506855,-.1999692916870117,2294149,-.1959457397460938,2690159,-.159245491027832,377215,.2657585144042969,1673738,-.2789630889892578,39939288,.0576915740966797,41340,-.2495546340942383,236942,.0137977600097656,6043,138269,-.1562700271606445,319345,-.5233936309814453,145919,-1.07565975189209,3213030,.0563488006591797,113012,-1.184702873229981,236760,938429,-.2634563446044922,160093808,-.0840301513671875,18796036,.2136726379394531,44875,-.2411155700683594,703326,-1.029753684997559,10532952,-.1271476745605469,1059672,-.1407938003540039,8068085,203605,1797349,-.1936130523681641,14279258,-.0772151947021484,8350594,-.0535993576049805,11305109,.1925582885742188,75,60703,1.141545295715332,20030766,-.1814002990722656,1345287,.2705717086791992,125564,-.4478063583374023,282906,-.7708969116210938,1022682,-.0416097640991211,1443213,-.0249013900756836,matched (3),690664.44,.81358963,97768.188,133786.92
201107,722220,618,3345,427446,07,0,0,0,0,0,1,0,0,0,0,0,1307887,-.4648056030273438,236638,1.086894989013672,1566472,-.2995452880859375,402173,-.0511541366577148,127438,-.2147560119628906,4495418,-.157597541809082,7953141,-.1496458053588867,3032097,-.0509471893310547,4106281,-.1615314483642578,493422,-.1408834457397461,2475000,.6237611770629883,11610611,-.2262153625488281,1879881,1383822,.221588134765625,3096661,-.1243953704833984,2175065,-.0533027648925781,2461029,-.0890207290649414,328740,-.1375484466552734,1535146,-.0864343643188477,41659464,.0421676635742188,8333,-1.601607322692871,131742,-.5869693756103516,22337,265382,.6519699096679688,118165,-.9941902160644531,266926,.6039199829101563,3339070,.038477897644043,120447,.063715934753418,327861,1307210,.3314428329467773,147842816,-.0796089172363281,9004233,-.7359523773193359,196278,1.475650787353516,461085,-.4222373962402344,9806710,-.071441650390625,947979,-.1113824844360352,6414778,269418,1498148,-.1820831298828125,14695644,.0287418365478516,7208612,-.1470565795898438,12455837,.0969352722167969,50413,11639,-1.651631355285645,13744673,-.3766193389892578,821060,-.4937658309936523,131371,.0452098846435547,162357,-.5553169250488281,1023025,.000335693359375,1364355,-.0561904907226563,matched (3),662388.06,.81358963,93532.5,130723.56
201108,722220,619,3345,516115,08,0,0,0,0,0,0,1,0,0,0,0,911390,-.3611974716186523,402081,.5301218032836914,30637,-3.934372901916504,4481112,2.410744667053223,86842,-.383540153503418,4396732,-.0221967697143555,9804267,.2092504501342773,3093560,.0200681686401367,5586850,.3078975677490234,499373,.011988639831543,2818175,.1298484802246094,10274034,-.1222991943359375,1475479,444848,-1.134871482849121,3206426,.0348320007324219,1836923,-.1689672470092773,1652673,-.3981857299804688,360657,.0926609039306641,1288980,-.174774169921875,39272944,-.0589923858642578,55507,1.896285057067871,157931,.1813125610351563,18087,274955,.0354366302490234,166944,.345576286315918,3113824,2.456634521484375,1990311,-.5174016952514648,499464,1.42232608795166,270818,1503892,.1401615142822266,124833768,-.1691665649414063,15269351,.5281543731689453,227383,.1471033096313477,506813,.0945596694946289,7693719,-.2426624298095703,966060,.0188932418823242,6041946,332155,2273122,.4169244766235352,10427306,-.3431224822998047,8746204,.1933431625366211,16977008,.3096714019775391,54001,61718,1.668213844299316,14497354,.0533161163330078,1115788,.3067197799682617,169319,.253758430480957,277092,.5345516204833984,1134843,.1037302017211914,1547553,.1259937286376953,matched (3),391943.81,.81358963,101465.94,136512.48
