period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1105c792,growth1105c792,Y1108c348,growth1108c348,Y1387c428,growth1387c428,Y1393c752,growth1393c752,Y1466c705,Y1672c752,growth1672c752,Y1677c757,growth1677c757,Y1848c372,growth1848c372,Y2002c826,growth2002c826,Y2364c616,growth2364c616,Y2425c233,Y2438c826,growth2438c826,Y2521c440,Y2631c251,growth2631c251,Y2774c152,growth2774c152,Y2955c792,growth2955c792,Y2981c608,Y3012c792,growth3012c792,Y3038c600,growth3038c600,Y3058c703,growth3058c703,Y3087c372,growth3087c372,Y3133c752,growth3133c752,Y3146c440,Y3275c440,growth3275c440,Y3391c703,growth3391c703,Y3393c703,growth3393c703,Y3410c348,growth3410c348,Y3487c484,growth3487c484,Y3598c757,growth3598c757,Y3691c348,growth3691c348,Y3736c554,Y3760c484,growth3760c484,Y3767c152,growth3767c152,Y3897c372,growth3897c372,Y4024c348,Y4270c208,growth4270c208,Y428c752,growth428c752,Y4371c203,Y4447c608,Y4882c32,Y4884c554,Y4952c36,Y4990c208,growth4990c208,Y5002c152,growth5002c152,Y5021c442,Y627c251,growth627c251,Y747c124,growth747c124,Y872c372,growth872c372,Y905c705,growth905c705,Y959c752,growth959c752,_merge,x,r2,s,sf
201011,760410,610,3576,581380,11,0,0,0,0,0,0,0,0,0,1,0,249260,.2988758087158203,15128,.5808439254760742,396260,.4659919738769531,26256,-.9431657791137695,6930,790680,.1580896377563477,692771,.5564737319946289,374789,.3245840072631836,3419735,-.090886116027832,1656223,.0151119232177734,22214,629240,-.036158561706543,16746,1854719,.3324089050292969,88515,-.2251682281494141,89022,-.0548477172851563,1494183,110732,.7178325653076172,252772,.5041370391845703,19688,1.027549743652344,1252808,.0913887023925781,266109,.3215675354003906,3541,2246678,-.0407304763793945,1797770,.2612161636352539,159679,-.3239469528198242,3405372,-.0437793731689453,73122,2.115334510803223,333859,.7618379592895508,84024,.144444465637207,87216,1676245,.3010053634643555,492961,.3850860595703125,615618,.0925407409667969,16180,3500401,.1548395156860352,2130480,.2248973846435547,4615763,30162,552314,96107,3256628,384240,-.0759859085083008,172150,.8223018646240234,59284,3146581,.0892791748046875,478105,.2052822113037109,182558,-.1765823364257813,68096,.003382682800293,175053,.5197181701660156,matched (3),227306.7,.84045327,58088.633,94773.531
201012,760410,611,3576,181605,12,0,0,0,0,0,0,0,0,0,0,1,280125,.1167402267456055,27270,.5892400741577148,366637,-.0776987075805664,23529,-.1096611022949219,2350,569691,-.3277988433837891,317692,-.7796173095703125,499497,.2872381210327148,2943311,-.1500282287597656,1035154,-.4699897766113281,1084,517451,-.1955976486206055,121272,999847,-.6178865432739258,443613,1.611780166625977,50565,-.5656242370605469,1252960,273065,.9025974273681641,83024,-1.113357543945313,18493,-.062617301940918,777652,-.4768638610839844,158490,-.518214225769043,20,2059611,-.0869350433349609,1170908,-.428767204284668,244053,.424220085144043,2854086,-.1766023635864258,10395,-1.950803756713867,70587,-1.553873062133789,67137,-.2243671417236328,55242,1022038,-.4947576522827148,151630,-1.178987503051758,496492,-.2150592803955078,2194,2614633,-.2917537689208984,707150,-1.102859497070313,1628413,1429149,582223,84029,3223294,313860,-.2023210525512695,55161,-1.138110160827637,31658,2953780,-.0632314682006836,323322,-.3911809921264648,171032,-.0652170181274414,125940,.6148872375488281,134353,-.2646188735961914,matched (3),365273.19,.84045327,64096.668,98570.359
201101,760410,612,3576,375206,01,0,0,0,0,0,0,0,0,0,0,0,223479,-.2259187698364258,668,-3.709254741668701,343818,-.0642595291137695,91142,1.354185104370117,3087,500599,-.1292886734008789,601266,.6379547119140625,402407,-.2161378860473633,3094426,.0500679016113281,1449433,.3366222381591797,6560,673094,.262969970703125,61920,1247958,.2216615676879883,653191,.3869171142578125,42546,-.172673225402832,705350,44111,-1.823000907897949,189790,.8267879486083984,5892,-1.143796920776367,947589,.1976413726806641,85010,-.6229228973388672,217,3929733,.6460542678833008,1446768,.211552619934082,338235,.32635498046875,3134376,.0936784744262695,18773,.5910940170288086,182582,.9503536224365234,89913,.2921075820922852,23276,1881464,.6102514266967773,264746,.5573282241821289,710502,.3584041595458984,775,3167242,.191737174987793,2117533,1.09676456451416,940811,11765,162494,85559,2741993,280079,-.1138753890991211,65191,.1670646667480469,68590,2923141,-.0104265213012695,218812,-.3904361724853516,141619,-.1887111663818359,115648,-.0852546691894531,140200,.0425996780395508,matched (3),213936.19,.84045327,63027.496,97878.484
201102,760410,613,3576,535046,02,1,0,0,0,0,0,0,0,0,0,0,241386,.0770797729492188,93987,4.9466233253479,357381,.0386905670166016,28390,-1.1663818359375,757,700863,.3365068435668945,396775,-.4156675338745117,260832,-.4335870742797852,3128096,.0108222961425781,1278102,-.1257963180541992,20992,699947,.0391197204589844,91758,1575641,.233154296875,660676,.0113945007324219,302772,1.962393760681152,776371,51649,.1577615737915039,405743,.7598018646240234,8476,.3636436462402344,1054324,.1067342758178711,136886,.47637939453125,1210,3843633,-.0221538543701172,1660182,.1375951766967773,253462,-.2885265350341797,3812070,.1957416534423828,113246,1.79714298248291,583340,1.161570549011231,63973,-.3403816223144531,26164,1638233,-.1384315490722656,352888,.287379264831543,532544,-.2883062362670898,1351,2965218,-.0659103393554688,925457,-.8277196884155273,1151675,38815,219884,91361,2851731,488061,.5553693771362305,110137,.5244035720825195,90971,3829800,.2701539993286133,492475,.8112306594848633,97061,-.3777999877929688,124493,.0736989974975586,206141,.3854904174804688,matched (3),428244.28,.84045327,58529.426,95044.336
201103,760410,614,3576,259672,03,0,1,0,0,0,0,0,0,0,0,0,142888,-.5243358612060547,77064,-.1985197067260742,352080,-.0149440765380859,20299,-.3354644775390625,3702,750164,.0679798126220703,539619,.3074941635131836,223144,-.1560592651367188,2797278,-.1117782592773438,1387012,.0817756652832031,15441,953258,.3088808059692383,2032,986636,-.4681167602539063,506185,-.2663612365722656,473802,.4478092193603516,877206,306862,1.781927108764648,563729,.3288536071777344,10443,.2086925506591797,1053828,-.0004701614379883,108366,-.2336339950561523,161,2450777,-.45001220703125,1938078,.1547689437866211,255258,.0070610046386719,3665708,-.0391502380371094,23832,-1.55853271484375,177843,-1.187869071960449,95865,.40447998046875,16903,1040570,-.4538497924804688,206989,-.5334844589233398,750905,.3436136245727539,39701,2993616,.0095319747924805,2173653,.853877067565918,1296335,11863,49852,105857,2695393,207549,-.8550729751586914,27122,-1.401379585266113,43761,5868563,.4267969131469727,270067,-.600773811340332,76334,-.2402210235595703,110318,-.1208829879760742,185515,-.1054248809814453,matched (3),370904.16,.84045327,66567.281,100194.49
201104,760410,615,3576,336439,04,0,0,1,0,0,0,0,0,0,0,0,225955,.4582738876342773,31527,-.8937921524047852,235374,-.4026832580566406,9951,-.7128992080688477,578,637051,-.1634426116943359,828893,.4292278289794922,318605,.3561344146728516,3967458,.3494787216186523,1757999,.2370243072509766,6383,444268,-.763458251953125,4581,824393,-.1796541213989258,196067,-.9484462738037109,370730,-.2453145980834961,1570680,137115,-.8055782318115234,159280,-1.263909339904785,10138,-.0296411514282227,981585,-.0710163116455078,79691,-.3073577880859375,48424,3773883,.4316987991333008,1925725,-.0063943862915039,267163,.0455837249755859,3754285,.0238761901855469,14823,-.4748497009277344,593033,1.204348564147949,53204,-.5888080596923828,13313,2152568,.726893424987793,365965,.5698719024658203,627281,-.1798849105834961,173304,3120916,.0416440963745117,1016255,-.7602853775024414,3642735,218977,52314,107168,3276874,243405,.1593589782714844,21499,-.2323389053344727,23642,4284970,-.3144960403442383,391415,.371098518371582,100051,.2705612182617188,86245,-.2461748123168945,191270,.0305500030517578,matched (3),189290.72,.84045327,55827.816,93404.914
201105,760410,616,3576,482363,05,0,0,0,1,0,0,0,0,0,0,0,260524,.142359733581543,61810,.6732206344604492,306659,.2645606994628906,8436,-.1651649475097656,9661,783141,.2064628601074219,602258,-.3194055557250977,300053,-.059992790222168,3469910,-.1339969635009766,1978220,.1180219650268555,6399,900014,.7059831619262695,149377,1237518,.4062156677246094,245003,.2228145599365234,310388,-.1776514053344727,1283039,383836,1.02939510345459,322463,.7053241729736328,18781,.6165552139282227,1043490,.0611581802368164,135930,.5339841842651367,100763,2747661,-.3173542022705078,1916910,-.0045881271362305,329423,.2094841003417969,3824092,.0184230804443359,131962,2.186333656311035,574332,-.0320425033569336,105183,.6815681457519531,23819,2311150,.0710830688476563,431857,.1655569076538086,906922,.3686618804931641,273582,3090107,-.0099210739135742,1899191,.6253042221069336,1157070,471997,328786,526485,3270547,321044,.2768516540527344,91655,1.45002555847168,46860,5564095,.2612209320068359,511131,.2668581008911133,109119,.0867586135864258,74425,-.14739990234375,92141,-.7303657531738281,matched (3),487525.97,.84045327,46622.172,88212.016
201106,760410,617,3576,454765,06,0,0,0,0,1,0,0,0,0,0,0,265994,.0207786560058594,55437,-.1088180541992188,223158,-.3178558349609375,7079,-.1753749847412109,4501,690610,-.125737190246582,382182,-.4547891616821289,257486,-.1529941558837891,3122675,-.105438232421875,1564834,-.2344179153442383,3942,675951,-.286290168762207,41902,1542537,.2203207015991211,406619,.5066061019897461,222486,-.3329591751098633,964083,295132,-.2627925872802734,266315,-.1913080215454102,13640,-.3198394775390625,1008324,-.0342817306518555,101320,-.2938566207885742,93684,2495058,-.0964384078979492,2118417,.0999546051025391,283328,-.1507377624511719,3493550,-.0904026031494141,13054,-2.313419342041016,412656,-.3305931091308594,65897,-.4676084518432617,17721,1882539,-.2051239013671875,456136,.0546960830688477,798038,-.1279001235961914,12431,2843932,-.0830183029174805,1242375,-.424403190612793,1215354,42355,44733,92914,3316390,289415,-.1037168502807617,55030,-.5101528167724609,32833,4692056,-.1704635620117188,568211,.1058664321899414,103368,-.054142951965332,83294,.112584114074707,83997,-.0925388336181641,matched (3),146560.3,.84045327,55697.949,93327.352
201107,760410,618,3576,232966,07,0,0,0,0,0,1,0,0,0,0,0,123278,-.7690315246582031,53904,-.0280418395996094,204660,-.0865306854248047,3837,-.6124420166015625,1808,444538,-.4405393600463867,258021,-.3928556442260742,212662,-.1912612915039063,3322312,.0619707107543945,1281065,-.2000885009765625,2796,442729,-.4231624603271484,99026,1532239,-.0066976547241211,325657,-.2220325469970703,2181946,2.283108711242676,1456348,104689,-1.036428451538086,211287,-.2314624786376953,11197,-.1973600387573242,1110693,.0966949462890625,212562,.7409496307373047,32815,1978303,-.2320718765258789,1902418,-.1075429916381836,232061,-.1996049880981445,3267055,-.0670299530029297,10488,-.2188625335693359,491517,.1748828887939453,98564,.402613639831543,13583,1783294,-.0541591644287109,399440,-.1327276229858398,850210,.0633268356323242,4479,2104710,-.3010091781616211,1500901,.1890401840209961,4422154,100846,33218,92048,2745582,310756,.0711460113525391,101778,.6149148941040039,22908,4174345,-.1169137954711914,604582,.0620450973510742,95586,-.0782690048217773,54447,-.4251489639282227,105711,.2299280166625977,matched (3),119962.18,.84045327,47094,88462.289
201108,760410,619,3576,457885,08,0,0,0,0,0,0,1,0,0,0,0,275272,.8033170700073242,60355,.1130390167236328,237985,.1508579254150391,19937,1.647886276245117,2440,780862,.5633621215820313,674746,.9612951278686523,533911,.9205255508422852,4368572,.2737751007080078,1477549,.1426935195922852,17943,564553,.2430763244628906,99975,2112953,.3213558197021484,167791,-.6631250381469727,2204502,.010284423828125,2159995,259986,.9096336364746094,178659,-.1677389144897461,18775,.5168800354003906,1205821,.0821762084960938,176577,-.1854763031005859,96652,3343213,.5246925354003906,1565137,-.1951522827148438,597314,.9454431533813477,3943536,.1881895065307617,68337,1.87421989440918,325120,-.4133024215698242,110240,.1119537353515625,19935,2213258,.21600341796875,475126,.1735162734985352,760085,-.1120529174804688,67685,2761257,.2715082168579102,1327186,-.1230039596557617,2224771,102169,397303,132373,3853713,390416,.228205680847168,67707,-.4076042175292969,28872,5099969,.2002773284912109,711289,.162541389465332,108857,.1300086975097656,58452,.0709781646728516,87205,-.1924476623535156,matched (3),433394.34,.84045327,71588.133,103598.23
