period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1083c642,Y1588c554,Y1682c233,Y1740c703,growth1740c703,Y1900c124,growth1900c124,Y1909c600,growth1909c600,Y2129c826,growth2129c826,Y2137c36,Y2162c826,growth2162c826,Y2654c484,growth2654c484,Y2758c372,growth2758c372,Y2761c826,growth2761c826,Y2765c792,growth2765c792,Y2765c826,growth2765c826,Y2796c124,growth2796c124,Y2800c348,growth2800c348,Y2800c826,growth2800c826,Y2811c792,growth2811c792,Y2815c124,growth2815c124,Y2889c152,growth2889c152,Y2919c124,growth2919c124,Y3089c124,growth3089c124,Y3091c826,growth3091c826,Y326c381,Y3451c616,growth3451c616,Y3482c642,Y3702c124,growth3702c124,Y3725c124,growth3725c124,Y3753c124,growth3753c124,Y4384c124,growth4384c124,Y4384c826,growth4384c826,Y4602c586,growth4602c586,Y4625c152,growth4625c152,Y4843c752,growth4843c752,Y4947c36,Y4954c36,Y4954c381,Y4954c826,growth4954c826,Y4960c191,growth4960c191,Y4960c203,Y4960c68,growth4960c68,Y4960c826,growth4960c826,Y4962c752,growth4962c752,Y4978c36,Y5026c124,growth5026c124,Y566c757,growth566c757,Y586c352,growth586c352,Y597c246,growth597c246,Y670c208,growth670c208,Y767c428,growth767c428,_merge,x,r2,s,sf
201001,901910,600,4760,11985789,01,0,0,0,0,0,0,0,0,0,0,0,203656,1360452,847539,224949,,6109990,,194746,,14803101,,1276476,13138242,,2157519,,519051,,3375785,,419049,,11876253,,159790,,69494,,3701068,,62909,,73124,,27510,,3856035,,4641465,,14033862,,1634334,545592,,611181,2262795,,2929325,,18489156,,6155679,,16512431,,97998,,972612,,175162,,10075972,40009548,74835280,141721344,,134626,,253389,3010,,1246692,,1161034,,7216055,595990,,13506116,,769670,,542623,,6028548,,171483,,matched (3),21077876,.90184456,1106460,5167065
201002,901910,601,4760,13480977,02,1,0,0,0,0,0,0,0,0,0,0,237671,178707,904747,295868,.2740392684936523,6388817,.0446233749389648,166172,-.1586723327636719,12968866,-.1322860717773438,918396,9629069,-.3107395172119141,1417751,-.4198875427246094,228238,-.8216133117675781,2038336,-.5044946670532227,568982,.3058605194091797,7146676,-.5078926086425781,45272,-1.261172294616699,35182,-.6807050704956055,1991153,-.6199073791503906,32085,-.6733007431030273,68756,-.0615930557250977,13494,-.7123050689697266,2393988,-.4766788482666016,5001217,.0746517181396484,11762278,-.17657470703125,2220415,195699,-1.025294303894043,609705,2042582,-.102386474609375,2900945,-.009735107421875,19067268,.0307884216308594,5949519,-.0340652465820313,12244327,-.2990493774414063,56243,-.5552654266357422,983436,.0110673904418945,169247,-.0343523025512695,13101318,42040160,80079976,134972784,-.0487899780273438,36955,-1.292799949645996,78822,1578,-.6457815170288086,1279752,.0261726379394531,1242138,.0675230026245117,6745048,779552,.2684955596923828,16072076,.1739406585693359,803370,.0428543090820313,454196,-.1778860092163086,6278138,.0405673980712891,245134,.3573207855224609,matched (3),20302962,.90184456,1176472.9,5182509
201003,901910,602,4760,10167071,03,0,1,0,0,0,0,0,0,0,0,0,128679,845386,1072491,195584,-.4139232635498047,5356861,-.1761703491210938,63734,-.9583053588867188,11465028,-.1232490539550781,838021,5548917,-.5511837005615234,840183,-.5232076644897461,370537,.4845638275146484,1256714,-.4836330413818359,151713,-1.321858406066895,6090870,-.1598567962646484,15079,-1.099385261535645,40778,.1476078033447266,2092091,.0494499206542969,44730,.3322563171386719,15006,-1.522113800048828,35952,.9799394607543945,2126109,-.1186666488647461,5357549,.0688257217407227,13055168,.1042861938476563,1664536,70043,-1.027468681335449,849961,1875238,-.0854787826538086,2123564,-.3119411468505859,21283160,.1099433898925781,5651341,-.051417350769043,12357022,.0091609954833984,9766,-1.750774383544922,1319724,.2941255569458008,310020,.6052780151367188,10160915,31643570,76036080,131326240,-.0273876190185547,5922,-1.831026077270508,82249,816,-.6594991683959961,1183288,-.078369140625,388422,-1.162497520446777,6282841,678883,-.138270378112793,6783488,-.8625917434692383,1030181,.2486743927001953,482320,.0600786209106445,8689708,.3250656127929688,254538,.0376453399658203,matched (3),20119554,.90184456,1420580.3,5243315.5
201004,901910,603,4760,11189227,04,0,0,1,0,0,0,0,0,0,0,0,0,415741,1209602,204467,.0444164276123047,5215738,-.026698112487793,12725,-1.611149787902832,11721226,.0221004486083984,0,9312841,.517791748046875,978849,.1527576446533203,101680,-1.293122291564941,690322,-.5990972518920898,105689,-.3614892959594727,4769320,-.2445869445800781,23432,.4407997131347656,27741,-.3852310180664063,1496420,-.3350887298583984,9488,-1.550616264343262,95055,1.846005439758301,5152,-1.94279956817627,2009774,-.0562715530395508,5663476,.0555305480957031,12250321,-.0636329650878906,1072187,73729,.0512876510620117,0,1999868,.0643453598022461,2033736,-.0432214736938477,21253992,-.0013713836669922,4648510,-.1953458786010742,13149307,.0621452331542969,82292,2.131366729736328,624962,-.7474870681762695,142779,-.7753391265869141,0,0,60647156,131567960,.0018386840820313,1512,-1.365241527557373,328167,1901,.8457207679748535,1171538,-.009979248046875,76451,-1.625441551208496,0,696474,.0255813598632813,10603404,.4466829299926758,891950,-.1440801620483398,574024,.1740636825561523,9471709,.0861701965332031,380485,.4019966125488281,matched (3),17302612,.90184456,2751113.5,5748298.5
201005,901910,604,4760,14296120,05,0,0,0,1,0,0,0,0,0,0,0,229625,1305736,1332438,230806,.1211709976196289,6152146,.1651210784912109,70090,1.706212043762207,12648018,.0760974884033203,0,7252092,-.2501049041748047,1404485,.361048698425293,137813,.3040666580200195,890670,.2548151016235352,81417,-.2609167098999023,6506325,.3105707168579102,86040,1.30070972442627,18311,-.415410041809082,1532814,.0240297317504883,148381,2.749754905700684,192839,.7074003219604492,34207,1.893045425415039,2271778,.1225404739379883,5936302,.0470485687255859,11816073,-.0360908508300781,1209651,90737,.2075691223144531,469486,2101889,.0497550964355469,2541743,.2229757308959961,23727262,.1100807189941406,5164003,.1051654815673828,14269183,.0817317962646484,119536,.3733434677124023,1076139,.5434436798095703,203641,.3550605773925781,0,0,73921224,122489896,-.0714950561523438,848,-.5783076286315918,311132,1641,-.1470742225646973,1567853,.2913894653320313,250159,1.185445785522461,0,827593,.1724910736083984,11403473,.0727424621582031,975097,.0891265869140625,487445,-.1634941101074219,10233463,.0773544311523438,531897,.3350028991699219,matched (3),26354766,.90184456,2238236.5,5521233
201006,901910,605,4760,17213328,06,0,0,0,0,1,0,0,0,0,0,0,224244,1414825,1484054,117506,-.6750879287719727,8308969,.3005342483520508,91292,.2642831802368164,12162080,-.0391769409179688,0,9792658,.3003425598144531,1471936,.0469083786010742,239956,.5545587539672852,1259211,.3462667465209961,600663,1.998449325561523,16654366,.9398984909057617,186257,.7723150253295898,35071,.6498727798461914,2456667,.4717006683349609,423398,1.048529624938965,132964,-.3717775344848633,107248,1.14271354675293,4614141,.7085628509521484,5867655,-.0116310119628906,13184901,.1096115112304688,2626736,103589,.1324653625488281,753532,2400452,.1328210830688477,2137420,-.1732501983642578,23687062,-.0016956329345703,6187745,.1808586120605469,16436067,.1413764953613281,160116,.2922811508178711,1434487,.2874279022216797,180360,-.121403694152832,0,0,83524288,169967808,.3275814056396484,20064,3.163801193237305,312636,1188,-.3230342864990234,3098711,.681279182434082,294142,.1619663238525391,0,876681,.057621955871582,11559907,.0136260986328125,1119073,.1377191543579102,482925,-.0093154907226563,9963350,-.0267505645751953,569793,.0688238143920898,matched (3),32078092,.90184456,2177015.8,5496699.5
201007,901910,606,4760,20086004,07,0,0,0,0,0,1,0,0,0,0,0,300237,4124656,1556947,202892,.5461845397949219,8334008,.0030088424682617,129384,.3487215042114258,12880847,.0574188232421875,1368269,11868635,.1922664642333984,2404487,.490757942199707,498816,.731781005859375,2551960,.7063760757446289,2923211,1.582404136657715,30010114,.5888614654541016,272194,.3793878555297852,51087,.3761558532714844,5813033,.8612966537475586,1098416,.9533119201660156,2112660,2.765625,148695,.3267536163330078,5953036,.2547760009765625,6187286,.0530414581298828,12491138,-.0540523529052734,3453168,130095,.2278337478637695,1205649,2238148,-.0700082778930664,2122897,-.0068178176879883,25402204,.0699062347412109,6536700,.0548610687255859,21124920,.2509765625,85222,-.6306390762329102,2655744,.6159172058105469,246504,.3124237060546875,18252496,79332928,86870768,201523872,.1702976226806641,23850,.1728572845458984,752559,8583,1.977512359619141,10411767,1.211950302124023,624138,.7523088455200195,13842688,715293,-.2034511566162109,12637940,.0891609191894531,835798,-.2918691635131836,449550,-.0716142654418945,10491222,.0516262054443359,665118,.1546907424926758,matched (3),27560306,.90184456,1335872.9,5221002.5
201008,901910,607,4760,29251584,08,0,0,0,0,0,0,1,0,0,0,0,945861,4505841,2458611,177156,-.1356430053710938,8713180,.0444927215576172,135340,.0450048446655273,12567948,-.0245914459228516,1838965,21925996,.6137733459472656,2820190,.1594676971435547,960324,.655034065246582,3389029,.2836818695068359,3902174,.2888517379760742,40082740,.2894115447998047,475885,.5586605072021484,175609,1.234729766845703,9345517,.4747943878173828,1483682,.3006572723388672,2871009,.3067159652709961,718411,1.575144767761231,7691368,.2561969757080078,6924447,.1125612258911133,15352460,.2062549591064453,4493547,129679,-.0032024383544922,1204021,2619598,.1573715209960938,3135349,.389958381652832,24120712,-.0517654418945313,12162086,.6208906173706055,18755862,-.1189479827880859,122785,.3651752471923828,4386386,.5017805099487305,218341,-.1213197708129883,24401764,83616800,99920288,203427664,.0094032287597656,83033,1.247453689575195,1774056,73986,2.154091835021973,27017756,.9535579681396484,1653645,.9743661880493164,14225835,950927,.2847452163696289,15937389,.231964111328125,1059684,.237339973449707,688590,.4263982772827148,10297694,-.0186195373535156,486422,-.3128881454467773,matched (3),26538526,.90184456,1753869.8,5343254.5
201009,901910,608,4760,33042208,09,0,0,0,0,0,0,0,1,0,0,0,1087245,4268556,2699807,239817,.3028450012207031,8489851,-.025965690612793,119804,-.1219329833984375,15651625,.2194252014160156,1969850,31396242,.3590164184570313,2293963,-.2065238952636719,1482485,.4342041015625,6290535,.6185026168823242,3927358,.0064325332641602,39101224,-.0247917175292969,653522,.3172006607055664,415348,.8608560562133789,15475745,.5043773651123047,1573509,.058781623840332,2870655,-.0001239776611328,1406910,.6721086502075195,7267131,-.056736946105957,9337775,.2990093231201172,18463568,.1845245361328125,6638130,760120,1.768413543701172,1634489,3007187,.1379842758178711,3629619,.1463871002197266,23275166,-.0356826782226563,11338567,-.0701122283935547,20967952,.1114883422851563,87978,-.333348274230957,7893657,.5875539779663086,449753,.7226400375366211,28109120,104838088,155700272,280781760,.3222675323486328,997316,2.485830307006836,3394327,313229,1.443058967590332,48512664,.5853309631347656,3466141,.7400598526000977,20974032,1007843,.0581302642822266,16081648,.0090103149414063,1090125,.0283212661743164,1118234,.4848604202270508,10412047,.0110435485839844,632651,.262843132019043,matched (3),28863260,.90184456,2464661.3,5616837.5
201010,901910,609,4760,46604624,10,0,0,0,0,0,0,0,0,1,0,0,1257234,4434985,3218017,154896,-.4371223449707031,10331052,.1962833404541016,361538,1.104510307312012,19415290,.2154865264892578,1903312,23855924,-.2746562957763672,2372481,.033656120300293,1680384,.1253023147583008,11074519,.5656013488769531,5270335,.2941274642944336,35000052,-.1108036041259766,621356,-.0504722595214844,479141,.142878532409668,17517474,.1239242553710938,3368869,.7612686157226563,1215184,-.8596439361572266,2250934,.4699497222900391,7814303,.0725946426391602,9938887,.0623874664306641,19308228,.0447311401367188,10854349,1024918,.2988920211791992,1614150,2598948,-.1458978652954102,3733386,.0281877517700195,23748594,.0201358795166016,12481227,.0960159301757813,21987222,.0474662780761719,95609,.0831804275512695,9668223,.202784538269043,737722,.494868278503418,25249952,104577664,143889760,331332416,.1655445098876953,2305028,.8377799987792969,4566123,531973,.529658317565918,74613272,.4304924011230469,6739837,.6649932861328125,17798658,851759,-.1682643890380859,17296608,.0728321075439453,926390,-.1627521514892578,1498680,.2928342819213867,10816410,.0381011962890625,684404,.0786294937133789,matched (3),47636604,.90184456,2601460.5,5678195.5
201011,901910,610,4760,45228576,11,0,0,0,0,0,0,0,0,0,1,0,1280243,3953902,2721135,174234,.117645263671875,11016716,.0642585754394531,455971,.2320623397827148,16026104,-.1918430328369141,1581845,21972956,-.0822200775146484,2747362,.1467046737670898,2130128,.2371597290039063,11910527,.0727748870849609,2251644,-.850433349609375,33006896,-.0586338043212891,322063,-.6571569442749023,400870,-.1783571243286133,12433323,-.3428192138671875,1603266,-.7425336837768555,337368,-1.281476974487305,2335589,.0369186401367188,5280107,-.3920097351074219,8231365,-.188502311706543,17690916,-.0874786376953125,8235019,530374,-.6587858200073242,1287780,2492644,-.0417633056640625,3087320,-.1900119781494141,21076962,-.1193428039550781,9699866,-.2521152496337891,26814100,.1984672546386719,41548,-.8334178924560547,5859644,-.5007553100585938,522987,-.3440103530883789,20574662,93073104,104878120,298524064,-.1042728424072266,1635949,-.342869758605957,2222246,430100,-.2125749588012695,48888640,-.4227733612060547,4434949,-.4185190200805664,13809547,535483,-.4641342163085938,18179616,.0497894287109375,942867,.0176296234130859,795609,-.6332321166992188,9042151,-.1791667938232422,552070,-.214874267578125,matched (3),29420652,.90184456,1421776.1,5243639.5
201012,901910,611,4760,18232128,12,0,0,0,0,0,0,0,0,0,0,1,705048,1509374,1346397,172277,-.0112953186035156,7633097,-.3669195175170898,428534,-.0620594024658203,13154311,-.1974697113037109,1520089,16663704,-.2765789031982422,1851544,-.3946218490600586,1356360,-.4513769149780273,7443258,-.4701137542724609,1045049,-.7675971984863281,21176896,-.4438056945800781,255609,-.2310981750488281,192488,-.7336034774780273,9285745,-.2918987274169922,513294,-1.138949394226074,154872,-.7785749435424805,823374,-1.042608261108398,3351962,-.4544000625610352,6828318,-.1868743896484375,14559451,-.1948108673095703,3282709,471279,-.1181316375732422,742113,2009328,-.2155437469482422,2700513,-.1338615417480469,18464052,-.132354736328125,8927191,-.0830097198486328,22367856,-.1813030242919922,224533,1.687173843383789,3425230,-.5369195938110352,299835,-.5563240051269531,17324234,63009984,77161000,223014112,-.2916145324707031,205660,-2.07375431060791,401618,57767,-2.007599830627441,11144570,-1.478591918945313,5245365,.1678285598754883,8947964,658698,.2070960998535156,12625821,-.3645553588867188,734059,-.250335693359375,679986,-.1570358276367188,7413900,-.1985416412353516,352608,-.4483175277709961,matched (3),28060882,.90184456,1393164.8,5235954.5
