period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y10c642,Y1241c620,growth1241c620,Y1341c826,growth1341c826,Y1487c246,growth1487c246,Y1535c124,growth1535c124,Y1683c807,growth1683c807,Y1721c705,growth1721c705,Y1733c484,growth1733c484,Y1759c484,growth1759c484,Y1778c688,growth1778c688,Y1883c484,growth1883c484,Y1988c440,growth1988c440,Y1991c705,growth1991c705,Y2075c484,growth2075c484,Y2159c222,growth2159c222,Y232c642,Y2362c484,growth2362c484,Y2420c757,growth2420c757,Y2551c208,growth2551c208,Y2714c484,growth2714c484,Y2925c352,growth2925c352,Y2958c191,growth2958c191,Y3334c344,Y337c757,growth337c757,Y3414c484,growth3414c484,Y3436c484,growth3436c484,Y3475c484,growth3475c484,Y3517c246,growth3517c246,Y3596c222,growth3596c222,Y3812c233,Y3885c246,growth3885c246,Y3894c268,growth3894c268,Y4081c792,growth4081c792,Y4087c268,Y4112c705,growth4112c705,Y4493c208,growth4493c208,Y4590c554,Y4625c372,growth4625c372,Y4737c68,growth4737c68,Y4757c554,Y4789c620,growth4789c620,Y487c300,growth487c300,Y4944c807,growth4944c807,Y5020c124,growth5020c124,Y524c703,growth524c703,Y584c348,growth584c348,Y587c703,growth587c703,Y594c703,growth594c703,Y669c616,growth669c616,Y694c608,_merge,x,r2,s,sf
201011,730424,610,3389,90840,11,0,0,0,0,0,0,0,0,0,1,0,1417530,14680,2.5669264793396,10038714,1.62448787689209,1279301,.1424341201782227,285877,.4942102432250977,119142,.4224672317504883,136548,.2978696823120117,8332220,.1097097396850586,17092996,.1353664398193359,3404642,.0024604797363281,1545697,-.0537433624267578,681337,-.1630544662475586,390698,-.0304355621337891,1151775,.1234674453735352,15281,1.749035835266113,146776,524718,.8942298889160156,163859,.1009702682495117,388622,3.205195426940918,916495,-.0220279693603516,301982,.3218622207641602,13204,2.578522205352783,9649558,467461,.1458806991577148,2987160,.1633567810058594,501523,.2678241729736328,3946178,.0503883361816406,1375559,-.0989255905151367,135084,.7016820907592773,1123691,30516,.4212198257446289,38471,.7217559814453125,640210,.4712600708007813,14514,1376826,1.600338935852051,252359,.1738796234130859,2963948,3320667,.0468425750732422,9802,.0665407180786133,1491109,1161203,.4441385269165039,210812,.971318244934082,355300,.1329154968261719,277073,-.0716075897216797,6813269,.060389518737793,47214,1.011118888854981,712513,.1293735504150391,278711,.0613002777099609,19896940,.1290149688720703,64739472,matched (3),652881,.81371069,128746.64,229982.47
201012,730424,611,3389,54052,12,0,0,0,0,0,0,0,0,0,0,1,1188608,190,-4.347217082977295,4148825,-.8836240768432617,1171476,-.0880498886108398,201141,-.3515558242797852,65020,-.605621337890625,46135,-1.085103988647461,6681671,-.2207612991333008,17895414,.0458755493164063,2879516,-.1675176620483398,1516657,-.0189657211303711,518803,-.2725324630737305,181895,-.7645053863525391,1077658,-.0665140151977539,35957,.8557138442993164,341764,401695,-.2671680450439453,120593,-.3065853118896484,129026,-1.102593421936035,700108,-.2693214416503906,786332,.9570112228393555,8519,-.4382209777832031,12503644,605279,.2583742141723633,2361096,-.2351970672607422,356531,-.3412275314331055,3545479,-.1070747375488281,1176288,-.1564970016479492,14182,-2.253923416137695,1041776,14977,-.711735725402832,5743,-1.901923179626465,454575,-.3424339294433594,18073,721764,-.6458377838134766,205323,-.206268310546875,2449595,2408475,-.321171760559082,6684,-.3828697204589844,1130912,627189,-.6159639358520508,33443,-1.841124534606934,264833,-.2938632965087891,266421,-.0392026901245117,7196297,.0546941757202148,1507,-3.444569110870361,501973,-.3502511978149414,244397,-.1313810348510742,15375019,-.2578220367431641,32006402,matched (3),-65856.117,.81371069,118090.93,224191.23
201101,730424,612,3389,163707,01,0,0,0,0,0,0,0,0,0,0,0,1888415,703,1.308332920074463,4223490,.0178365707397461,1127223,-.0385074615478516,17276,-2.45468807220459,40390,-.4761123657226563,63773,.3237581253051758,7309214,.0897674560546875,16710267,-.0685195922851563,4434651,.4318265914916992,9058134,1.787155151367188,835419,.4764089584350586,157410,-.1445760726928711,1384663,.250666618347168,22780,-.4564409255981445,410956,229639,-.5591840744018555,129745,.0731496810913086,133146,.03143310546875,527875,-.2823753356933594,48701,-2.781679153442383,24683,1.063815116882324,12386482,488504,-.2143421173095703,1685751,-.3369150161743164,604861,.5285768508911133,3507367,-.0108070373535156,1330910,.123499870300293,138799,2.28105354309082,1147317,26466,.5693454742431641,5613,-.0228967666625977,1075660,.8613271713256836,35338,489640,-.3880271911621094,472116,.8326396942138672,1418272,1821867,-.2791328430175781,14177,.7519035339355469,1168669,459792,-.3104734420776367,26934,-.2164525985717773,83809,-1.150558471679688,143917,-.6158409118652344,6597742,-.0868387222290039,4609,1.117889881134033,343459,-.3794784545898438,157795,-.4374971389770508,12423829,-.2131271362304688,40757376,matched (3),-459680.09,.81371069,202462.86,278042.19
201102,730424,613,3389,356752,02,1,0,0,0,0,0,0,0,0,0,0,2052067,2561,1.292796134948731,6540008,.4372768402099609,943187,-.1782474517822266,56821,1.190587997436523,70022,.550227165222168,100044,.4502801895141602,7693322,.0512170791625977,17543880,.0486812591552734,4309998,-.0285110473632813,16313721,.5883426666259766,588052,-.3511180877685547,323433,.7201385498046875,2021086,.378178596496582,45228,.6858339309692383,447788,348466,.4170322418212891,93947,-.3228397369384766,174584,.2709589004516602,652761,.2123517990112305,60523,.2173233032226563,29626,.1825380325317383,13250934,727076,.3976831436157227,2478881,.3855962753295898,521008,-.1492328643798828,4214440,.1836509704589844,1650710,.2153425216674805,110811,-.2252006530761719,1671402,29373,.1042146682739258,7819,.3314714431762695,1107405,.0290851593017578,13689,1258046,.9436445236206055,134825,-1.253246307373047,2500741,2283337,.2257766723632813,2321,-1.809622287750244,1348599,672382,.3800525665283203,98136,1.292963981628418,372200,1.490890502929688,312784,.776275634765625,6333750,-.0408353805541992,7575,.4968423843383789,633914,.6128454208374023,205349,.2634143829345703,13286360,.0671215057373047,59639172,matched (3),241981.39,.81371069,102005.63,216151.31
201103,730424,614,3389,209828,03,0,1,0,0,0,0,0,0,0,0,0,3295134,94587,3.609122276306152,7711988,.1648378372192383,893850,-.0537271499633789,163104,1.054481506347656,95637,.3117504119873047,114080,.1312894821166992,8803403,.1347856521606445,18294744,.0419082641601563,5634103,.2679004669189453,19208556,.1633491516113281,777534,.2793121337890625,289456,-.1109886169433594,1743592,-.1476879119873047,42879,-.0533342361450195,615739,377037,.0788021087646484,165916,.5687503814697266,141460,-.21038818359375,803545,.2078218460083008,137509,.8206663131713867,18396,-.4765195846557617,19121930,1729047,.8662948608398438,3071497,.2143573760986328,412786,-.2328357696533203,4840075,.1384134292602539,1431426,-.1425342559814453,136630,.2094507217407227,1352933,9715,-1.106405258178711,44936,1.748682975769043,963532,-.1391687393188477,24903,891073,-.3448886871337891,142384,.0545492172241211,2756314,1813768,-.2302312850952148,4840,.7349162101745606,2044564,616169,-.0873050689697266,227176,.8393707275390625,285325,-.2658023834228516,246791,-.2369709014892578,7774905,.2050094604492188,7209,-.0495233535766602,807980,.2426242828369141,406811,.6836376190185547,17189114,.257537841796875,24264762,matched (3),26525.859,.81371069,87334.492,209627.19
201104,730424,615,3389,79304,04,0,0,1,0,0,0,0,0,0,0,0,3667081,150309,.4631729125976563,3723682,-.7280635833740234,1057183,.1678256988525391,113030,-.366734504699707,101611,.0605916976928711,214043,.629277229309082,8524779,-.0321617126464844,16991872,-.0738792419433594,5437731,-.0354766845703125,9049013,-.7527008056640625,825030,.0592918395996094,398225,.3190135955810547,1353599,-.2531805038452148,58945,.3182220458984375,428884,323424,-.1533784866333008,146798,-.1224241256713867,145806,.0302591323852539,666628,-.1868009567260742,79116,-.5527744293212891,24746,.2965307235717773,11027763,3317731,.6517105102539063,2037297,-.4105405807495117,346381,-.1753902435302734,3665134,-.2780656814575195,1578164,.097590446472168,68586,-.6891889572143555,1181269,43297,1.494412422180176,456,-4.59050178527832,893385,-.0755882263183594,469,253155,-1.258424758911133,74131,-.6526937484741211,2311384,3063567,.5241727828979492,2386,-.7072958946228027,1383148,551692,-.1105318069458008,72094,-1.147753715515137,333994,.1574945449829102,256082,.0369558334350586,7130131,-.0865716934204102,6239,-.1445102691650391,699874,-.1436376571655273,336889,-.1885957717895508,15237001,-.1205482482910156,53380616,matched (3),585001.5,.81371069,103434.93,216829.48
201105,730424,616,3389,380624,05,0,0,0,1,0,0,0,0,0,0,0,3992740,165327,.0952320098876953,14323657,1.347199440002441,1224677,.147068977355957,257749,.8243331909179688,113501,.1106605529785156,143443,-.4002389907836914,8745822,.025599479675293,20127410,.1693477630615234,5639102,.0363636016845703,13627860,.4094619750976563,953535,.1447563171386719,474813,.1759033203125,1498910,.1019716262817383,95680,.4844045639038086,460863,442930,.3144474029541016,211699,.3661079406738281,243495,.5128202438354492,983672,.3890600204467773,105274,.2856512069702148,23037,-.0715618133544922,10580038,3478334,.0472726821899414,3021574,.3941535949707031,536183,.4369363784790039,3640570,-.0067243576049805,1472648,-.0691995620727539,150113,.7833003997802734,1643802,14362,-1.103497505187988,49384,4.68488883972168,369475,-.8829345703125,194859,1627389,1.860730171203613,121912,.4974660873413086,2640497,3127813,.0207548141479492,16939,1.960000514984131,1787991,818393,.394352912902832,242476,1.212931632995606,590249,.5694208145141602,312390,.1987552642822266,7957493,.1097841262817383,17131,1.010069847106934,832195,.1731662750244141,343097,.0182600021362305,15926238,.0442409515380859,70942856,matched (3),46149.031,.81371069,124138.67,227434.94
201106,730424,617,3389,358680,06,0,0,0,0,1,0,0,0,0,0,0,2892794,145525,-.1275768280029297,6743998,-.7532596588134766,1252288,.0222949981689453,227636,-.1242380142211914,104554,-.0821084976196289,131086,-.0900850296020508,9567472,.0897922515869141,20069356,-.0028877258300781,7166768,.2397298812866211,11257971,-.1910400390625,843431,-.1226978302001953,293573,-.4807939529418945,1524438,.0168876647949219,225768,.8584985733032227,302669,318230,-.3306379318237305,163310,-.2595148086547852,147333,-.5024013519287109,1143347,.1504230499267578,95787,-.0944395065307617,26670,.1464376449584961,10030561,1169407,-1.090056419372559,2512178,-.1846275329589844,587692,.0917272567749023,4241920,.1528759002685547,1495848,.0156307220458984,77850,-.6566047668457031,1391665,20201,.3411464691162109,60288,.1995067596435547,829315,.8085165023803711,31450,320664,-1.624338150024414,126413,.0362548828125,2547073,2821616,-.1030244827270508,23411,.3235874176025391,1675734,563857,-.3725423812866211,350866,.369502067565918,387833,-.4199695587158203,272002,-.1384429931640625,8732897,.0929832458496094,3295,-1.648483276367188,709947,-.1588764190673828,287256,-.1776390075683594,18556084,.1528301239013672,19295852,matched (3),440251.78,.81371069,76795.055,205459.78
201107,730424,618,3389,135993,07,0,0,0,0,0,1,0,0,0,0,0,2507838,2826,-3.94148588180542,5606227,-.1847743988037109,1245547,-.005396842956543,207027,-.0948991775512695,56457,-.6162242889404297,88319,-.3948974609375,8298298,-.1423187255859375,16594959,-.1900959014892578,5038649,-.3523168563842773,6663283,-.5244646072387695,803481,-.0485239028930664,394787,.2962198257446289,1757906,.1424970626831055,91396,-.9043054580688477,176667,258854,-.2065095901489258,112901,-.3691387176513672,21852,-1.908403396606445,1127993,-.0135202407836914,307436,1.166140556335449,23815,-.1132240295410156,5960454,619849,-.6347761154174805,2077349,-.1900577545166016,415883,-.345799446105957,3992789,-.0605258941650391,1594872,.0641002655029297,94988,.1989669799804688,1331288,9543,-.7499246597290039,27553,-.7830219268798828,555613,-.4005279541015625,11782,1650388,1.638371467590332,80050,-.4569025039672852,2467149,3631555,.2523508071899414,20019,-.156524658203125,1885271,768019,.3090143203735352,206372,-.5307245254516602,241893,-.4720792770385742,179649,-.4148044586181641,7894111,-.1009798049926758,656,-1.614000797271729,538666,-.2760944366455078,254256,-.1220321655273438,16385255,-.1244163513183594,23811148,matched (3),418144.16,.81371069,109641.56,219857.94
201108,730424,619,3389,228099,08,0,0,0,0,0,0,1,0,0,0,0,2766830,1342,-.7447013854980469,5781660,.0308122634887695,1459099,.1582441329956055,117537,-.566096305847168,89988,.4661970138549805,94503,.0676755905151367,8365735,.0080938339233398,18248592,.0949897766113281,4882160,-.031550407409668,10620066,.4661321640014648,1009659,.2284135818481445,460089,.1530733108520508,1822033,.0358295440673828,146119,.4692192077636719,226703,440760,.5322360992431641,113778,.0077371597290039,186287,2.142996788024902,1411221,.2240152359008789,115713,-.9771547317504883,19524,-.1986713409423828,12330099,1287580,.731043815612793,3123702,.4079265594482422,573615,.3215551376342773,5428237,.307124137878418,1047225,-.420649528503418,90421,-.0492744445800781,1851108,76276,2.078551292419434,6281,-1.478582382202148,848571,.4234819412231445,30859,1857395,.1181650161743164,356524,1.493749618530273,2849022,3914894,.0751276016235352,18851,-.0601158142089844,2007377,853291,.10528564453125,233188,.1221647262573242,245478,.0147123336791992,264157,.3855381011962891,8689190,.0959625244140625,7215,2.397757053375244,616935,.1356678009033203,206396,-.2085456848144531,17988424,.0933456420898438,41405288,matched (3),240828.3,.81371069,113760.39,221940.69
