period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1083c372,growth1083c372,Y1383c68,growth1383c68,Y1437c752,growth1437c752,Y1479c344,Y1578c484,growth1578c484,Y1690c826,growth1690c826,Y1782c442,Y1826c32,Y1851c124,growth1851c124,Y1856c208,growth1856c208,Y2046c484,growth2046c484,Y2051c208,growth2051c208,Y2120c372,growth2120c372,Y2282c440,Y25c428,growth25c428,Y2723c251,growth2723c251,Y2723c348,growth2723c348,Y2739c344,Y2782c251,growth2782c251,Y2875c251,growth2875c251,Y2968c484,growth2968c484,Y2995c484,growth2995c484,Y3010c348,growth3010c348,Y3096c484,growth3096c484,Y3317c484,growth3317c484,Y3386c792,growth3386c792,Y3448c32,Y3526c705,growth3526c705,Y3578c554,Y3695c586,growth3695c586,Y3968c32,Y4112c208,Y4197c300,growth4197c300,Y4244c372,growth4244c372,Y4329c222,growth4329c222,Y4354c208,growth4354c208,Y440c752,growth440c752,Y4513c705,growth4513c705,Y451c300,growth451c300,Y4580c152,growth4580c152,Y4755c32,Y4807c32,Y488c428,growth488c428,Y4974c36,Y5040c792,growth5040c792,Y514c208,growth514c208,Y530c208,growth530c208,Y78c757,growth78c757,Y933c705,growth933c705,Y966c300,growth966c300,_merge,x,r2,s,sf
201011,293790,610,1338,1086849,11,0,0,0,0,0,0,0,0,0,1,0,271895,.7203283309936523,545959,.2228927612304688,1548482,.4517202377319336,8407652,1081314,-.2148170471191406,21538772,.0964164733886719,288965,26440764,9872271,.1703548431396484,8364332,-.0008230209350586,45614,-.2460041046142578,2397736,.0256500244140625,9219597,.1942977905273438,10944,152894,-.2396125793457031,2606104,-.0306406021118164,66793,.0151615142822266,2398804,4940937,.3133525848388672,1688650,.4326162338256836,164817,.0154199600219727,300591,-.5033130645751953,42627,-1.403793334960938,250454,-.215205192565918,2330881,-.09393310546875,1304642,.6022825241088867,1765000,1331043,.4283046722412109,871808,88557,-.0714826583862305,345781,1638050,7536555,.2378110885620117,3474361,.3687362670898438,1355969,.397491455078125,2510706,.0206661224365234,1633489,.5262365341186523,328067,.2116031646728516,2123804,.1836318969726563,217071712,.4022731781005859,3952444,75463,845692,.4886960983276367,1956635,1310418176,.0153141021728516,1072176,.2376890182495117,4329202,.0920791625976563,178430,.1494207382202148,31124,1.305115699768066,917877,.8948860168457031,matched (3),-305997.91,.91889381,583879.88,1128241.1
201012,293790,611,1338,768066,12,0,0,0,0,0,0,0,0,0,0,1,46716,-1.761329650878906,492669,-.1027069091796875,1300515,-.1745147705078125,7665435,1211980,.1140785217285156,16133827,-.2889366149902344,245600,22277028,7663963,-.2532005310058594,6548564,-.2447309494018555,75745,.5071573257446289,2133638,-.1166963577270508,8691402,-.0589971542358398,8681,162658,.0619049072265625,1815918,-.3612651824951172,33007,-.7048788070678711,2065290,3337526,-.3923254013061523,1427849,-.1677608489990234,102512,-.4748563766479492,573611,.6462011337280273,24282,-.5627527236938477,319428,.2432565689086914,2132486,-.0889577865600586,649310,-.6977739334106445,1695723,937468,-.3505363464355469,603494,138739,.448948860168457,333722,1237252,5683056,-.2822761535644531,1723748,-.7009096145629883,737313,-.6092586517333984,2562353,.0203619003295898,1380170,-.1685113906860352,223612,-.383305549621582,2567231,.1896190643310547,167048128,-.2619457244873047,3639216,26991,1279339,.4139442443847656,1741543,1360382336,.0374202728271484,899598,-.1754970550537109,3947983,-.0921783447265625,75531,-.8596525192260742,3771,-2.110639572143555,769515,-.1763029098510742,matched (3),-1417992.5,.91889381,767140.94,1233092.6
201101,293790,612,1338,1898441,01,0,0,0,0,0,0,0,0,0,0,0,65815,.3427610397338867,358914,-.3167543411254883,1542586,.1707000732421875,9176514,1210877,-.000910758972168,21753340,.2988491058349609,464861,26834312,9708504,.2364730834960938,10333866,.4561796188354492,100961,.2873620986938477,2974323,.3321876525878906,8738978,.0054588317871094,13303,299656,.6109857559204102,2372175,.2672157287597656,31383,-.0504531860351563,5149391,4882960,.3805217742919922,2108555,.3898344039916992,151435,.3901767730712891,244732,-.8517875671386719,316151,2.566484451293945,323395,.0123424530029297,2724809,.2451105117797852,673040,.0358953475952148,2010745,1083130,.1444282531738281,871540,51859,-.9840660095214844,346002,278222,6102367,.0711879730224609,2511370,.3763275146484375,1530131,.7300958633422852,2787364,.0841703414916992,1097952,-.228759765625,341624,.423797607421875,2344346,-.0908212661743164,155055008,-.0745010375976563,3499405,56038,1344522,.0496950149536133,1760708,2846084864,.7381782531738281,916416,.0185222625732422,3687667,-.0682106018066406,75605,.0009784698486328,31214,2.113527297973633,795788,.0335721969604492,matched (3),-2028290.3,.91889381,913750.38,1329267.4
201102,293790,613,1338,296865,02,1,0,0,0,0,0,0,0,0,0,0,32811,-.6960830688476563,547318,.4219474792480469,1253906,-.2071971893310547,5080217,923693,-.2707195281982422,21291274,-.0214691162109375,760713,21461662,7443924,-.2656040191650391,7267205,-.3520536422729492,91791,-.095219612121582,2350112,-.2355537414550781,7699232,-.1266727447509766,2788,160350,-.6252765655517578,1614868,-.3845539093017578,16311,-.6544265747070313,1953608,5660991,.1478471755981445,1531118,-.3200054168701172,90507,-.5147294998168945,273918,.1126651763916016,122595,-.9473333358764648,260001,-.2181882858276367,2250336,-.191319465637207,461492,-.3773403167724609,1485514,913687,-.1701221466064453,830714,94421,.5992345809936523,428440,3291484,3893514,-.4493646621704102,2555973,.0176048278808594,854790,-.5822525024414063,2611804,-.0650548934936523,827334,-.2829933166503906,225391,-.4158735275268555,2284201,-.0259895324707031,146249648,-.0584659576416016,2369226,20640,871002,-.4341497421264648,2944278,2624271104,-.0811424255371094,856038,-.0681552886962891,3913086,.0593328475952148,74122,-.0198097229003906,4092,-2.031833648681641,1355332,.5324697494506836,matched (3),-1712285.8,.91889381,506891.75,1090390.5
201103,293790,614,1338,813304,03,0,1,0,0,0,0,0,0,0,0,0,28558,-.1388273239135742,792353,.3699769973754883,1972347,.4529609680175781,7660577,1290066,.3340682983398438,24218544,.1288204193115234,3550804,21857756,10599085,.3533706665039063,9676865,.2863664627075195,128724,.3381557464599609,2815857,.1808042526245117,9708045,.2318334579467773,21395,351577,.785069465637207,2022338,.225001335144043,10891,-.4039030075073242,3308746,5957792,.0511007308959961,1698555,.1037797927856445,201267,.7992057800292969,227905,-.1838998794555664,145128,.1687297821044922,265700,.0216817855834961,3235438,.3630847930908203,2033868,1.483229637145996,2168599,798105,-.1352481842041016,717219,83215,-.1263360977172852,310841,922604,6017022,.4352798461914063,2455497,-.0401039123535156,1215345,.3519268035888672,3364520,.2532444000244141,306312,-.9936046600341797,304340,.3003091812133789,2435686,.0642118453979492,205547552,.340362548828125,3810455,35575,1068408,.2042808532714844,1616129,2857060352,.084991455078125,3841718,1.501359939575195,4456036,.1299333572387695,179353,.8836431503295898,9951,.8886394500732422,1492685,.0965299606323242,matched (3),-18010.123,.91889381,753667.38,1224755.8
201104,293790,615,1338,576580,04,0,0,1,0,0,0,0,0,0,0,0,18416,-.4387168884277344,736747,-.0727624893188477,2256822,.1347332000732422,8504009,909486,-.3495693206787109,24538008,.0131053924560547,2459025,23241692,11493230,.0809898376464844,6962069,-.3292617797851563,72472,-.5744705200195313,2321306,-.1931371688842773,8685907,-.1112527847290039,13432,311299,-.1216745376586914,1563014,-.2576379776000977,7409,-.3852415084838867,2896822,4554068,-.2686786651611328,1654605,-.0262155532836914,178206,-.1216926574707031,401059,.5651798248291016,38531,-1.326152801513672,245817,-.0777797698974609,2799777,-.1446247100830078,1164545,-.5576086044311523,1377175,1007317,.2328052520751953,760305,53309,-.4453220367431641,440155,1139546,4177666,-.3648395538330078,3051894,.217432975769043,1133026,-.0701360702514648,2559166,-.2736043930053711,554212,.5929431915283203,197975,-.4300050735473633,1952212,-.2212657928466797,200842528,-.0231552124023438,4216351,10052,1574263,.3876171112060547,1984879,2816434688,-.0143222808837891,1043261,-1.303568840026856,4251811,-.0469150543212891,212254,.1684284210205078,9849,-.0103025436401367,904243,-.5012340545654297,matched (3),-1790782.3,.91889381,1181982.6,1526137.4
201105,293790,616,1338,726787,05,0,0,0,1,0,0,0,0,0,0,0,104374,1.734760284423828,920097,.222233772277832,2171410,-.0385808944702148,7657790,1303088,.3596124649047852,24669128,.0053291320800781,5159246,21699234,10330622,-.1066455841064453,9770755,.3389167785644531,209922,1.063535690307617,2463199,.059330940246582,9301204,.0684423446655273,30304,179642,-.5497875213623047,1559925,-.001978874206543,6514,-.1287422180175781,2954474,4909482,.0751476287841797,1087412,-.4197616577148438,180403,.0122528076171875,253180,-.4600076675415039,21435,-.5864381790161133,260837,.0593080520629883,2983716,.0636301040649414,768869,-.4151649475097656,1555680,1258573,.2226886749267578,1097295,115015,.7689571380615234,595228,2595743,4390640,.0497226715087891,2137080,-.3563213348388672,1534106,.3030567169189453,2824660,.0987071990966797,586362,.0563898086547852,281833,.3531742095947266,2055193,.0514068603515625,175838512,-.1329555511474609,3225973,32629,2674170,.5298519134521484,1936679,2853299200,.0130043029785156,1058846,.0148286819458008,5596937,.2748746871948242,233891,.097071647644043,19574,.6868314743041992,703152,-.2515249252319336,matched (3),-1788326,.91889381,2087301.4,2299747.8
201106,293790,617,1338,912214,06,0,0,0,0,1,0,0,0,0,0,0,26462,-1.372270584106445,746868,-.2085905075073242,1411894,-.4304447174072266,7641801,1246291,-.0445642471313477,26541320,.073150634765625,5420636,21699656,11358199,.0948276519775391,11591534,.1708812713623047,148793,-.3441791534423828,2229277,-.0997838973999023,10197096,.0919589996337891,65133,275057,.4260120391845703,2055829,.2760419845581055,6647,.0202121734619141,2693899,5401111,.0954360961914063,2102590,.6593694686889648,173371,-.0397586822509766,320222,.2349138259887695,97378,1.513575553894043,286756,.0947360992431641,2984900,.000396728515625,401592,-.6494846343994141,1367138,726382,-.5496578216552734,770311,126858,.0980062484741211,313437,1727481,4842958,.0980501174926758,2407944,.1193323135375977,898304,-.5351953506469727,2549309,-.1025657653808594,318104,-.6115589141845703,286416,.0161304473876953,2643349,.2516775131225586,157782736,-.1083469390869141,4202134,201511,908574,-1.07951831817627,1202994,2593185280,-.0955886840820313,4147341,1.365287780761719,3977922,-.3414602279663086,226966,-.030055046081543,19329,-.0125951766967773,726493,.0326557159423828,matched (3),2093435.8,.91889381,761647.75,1229682.8
201107,293790,618,1338,1194580,07,0,0,0,0,0,1,0,0,0,0,0,34428,.2631607055664063,580955,-.2512149810791016,1190060,-.1709280014038086,7368577,1124414,-.102910041809082,22601682,-.1606788635253906,3816405,19761288,10276415,-.1000881195068359,8263677,-.338404655456543,159433,.0690670013427734,2238307,.0040426254272461,7773872,-.2713346481323242,1576,287699,.0449361801147461,4775915,.8429059982299805,37714,1.735865592956543,2479547,6712467,.2173614501953125,1844207,-.1311206817626953,174004,.0036439895629883,230715,-.3278322219848633,205287,.7458086013793945,260739,-.0951118469238281,2458430,-.1940431594848633,426632,.06048583984375,2025498,1129299,.4412765502929688,892466,159302,.2277326583862305,387676,1172230,3655649,-.2812519073486328,2589766,.0727949142456055,1419752,.4577293395996094,2750556,.0759801864624023,613923,.6574907302856445,299852,.0458431243896484,2512432,-.0507955551147461,194543408,.2094364166259766,3304668,60892,585596,-.4392461776733398,1548262,3144933632,.1929054260253906,874868,-1.556149482727051,3776879,-.0518617630004883,229103,.0093708038330078,25241,.2668628692626953,468572,-.4385385513305664,matched (3),915814.63,.91889381,344641.22,1025080.4
201108,293790,619,1338,1284145,08,0,0,0,0,0,0,1,0,0,0,0,186562,1.689892768859863,629028,.0795021057128906,1390396,.1555843353271484,7951064,1350338,.1830930709838867,24064150,.0626983642578125,6440825,24408216,15866905,.4343833923339844,9380681,.1267824172973633,237868,.4000921249389648,2517455,.1175289154052734,9580618,.2089738845825195,1255,283352,-.0152244567871094,6031102,.2333440780639648,111287,1.082080841064453,3535948,8331662,.2160968780517578,1820026,-.0131988525390625,241415,.3274393081665039,286814,.2176513671875,272087,.281712532043457,323363,.2152557373046875,2688843,.0895881652832031,4449839,2.344700813293457,2499158,671719,-.5195131301879883,1608945,216995,.3090724945068359,596033,1685790,4198454,.1384429931640625,2752637,.0609912872314453,1104544,-.2510499954223633,2748219,-.000849723815918,1181304,.6545047760009766,303608,.0124483108520508,2933559,.1549644470214844,189102736,-.0283660888671875,4692464,42549,1044736,.5788898468017578,2480457,2678622976,-.1604900360107422,756263,-.1456842422485352,4382059,.14862060546875,175596,-.2659854888916016,34559,.3141984939575195,597802,.2435693740844727,matched (3),1716388.4,.91889381,688094.69,1185532.1
