period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1026c348,growth1026c348,Y1168c208,growth1168c208,Y1385c218,Y1487c620,growth1487c620,Y1499c826,growth1499c826,Y1538c428,Y1958c251,Y2017c251,growth2017c251,Y2049c222,growth2049c222,Y2094c792,growth2094c792,Y2136c251,growth2136c251,Y2307c705,growth2307c705,Y2361c705,growth2361c705,Y2452c152,growth2452c152,Y2455c251,growth2455c251,Y2970c372,growth2970c372,Y2995c484,growth2995c484,Y3013c826,growth3013c826,Y3020c124,growth3020c124,Y303c705,Y3070c642,Y3085c372,growth3085c372,Y3384c752,growth3384c752,Y3418c586,growth3418c586,Y3604c152,growth3604c152,Y362c152,growth362c152,Y3788c246,growth3788c246,Y3806c705,growth3806c705,Y3812c208,growth3812c208,Y3949c68,growth3949c68,Y3974c792,growth3974c792,Y4002c124,growth4002c124,Y4160c484,growth4160c484,Y4208c826,growth4208c826,Y423c124,growth423c124,Y4359c705,growth4359c705,Y4456c246,growth4456c246,Y4467c152,growth4467c152,Y4889c440,growth4889c440,Y488c428,growth488c428,Y4890c381,Y4890c688,growth4890c688,Y497c372,growth497c372,Y541c208,growth541c208,Y631c348,growth631c348,Y633c752,growth633c752,Y680c344,Y694c246,growth694c246,Y776c218,Y917c586,growth917c586,_merge,x,r2,s,sf
201011,841381,610,3840,7019413,11,0,0,0,0,0,0,0,0,0,1,0,514522,.48699951171875,137724,.2288703918457031,288042,2842131,.1149559020996094,2121292,.0409049987792969,40978,30448,378464,-.7149753570556641,1081809,.4499549865722656,3878487,-.2135553359985352,2709379,.2264261245727539,34524,1.552685737609863,252533,.3666877746582031,95928,.5104227066040039,715831,.1186666488647461,121381,.3292064666748047,300591,-.5033130645751953,1268419,.3137531280517578,11751139,.2284202575683594,49864,272075,11637,-1.856032371520996,670528,.6000776290893555,120509,.447270393371582,90714,-.3178377151489258,887101,.3161230087280273,807679,1.422366142272949,7557,-.631683349609375,27786278,.1657161712646484,440,-3.045928001403809,15774832,.8693771362304688,510638,-.3050775527954102,776850,.387598991394043,10105671,.2696628570556641,540491,.0181980133056641,3278,.2781686782836914,389005,.6017179489135742,115858,.2582721710205078,8865,.8887548446655273,845692,.4886960983276367,372416,21411,-.2321176528930664,886385,.1008377075195313,35172,.8451576232910156,300611,.3367290496826172,559484,-.4983501434326172,56150,4048374,-.415644645690918,224929,205880,.5273952484130859,matched (3),7288041,.89838207,799079.69,1175540.5
201012,841381,611,3840,8495192,12,0,0,0,0,0,0,0,0,0,0,1,725352,.343419075012207,169051,.2049484252929688,585143,1956404,-.3734455108642578,2226339,.0483331680297852,58268,52398,827187,.7819099426269531,1346635,.2189741134643555,2316620,-.5153360366821289,3890072,.3617076873779297,29750,-.1488256454467773,152102,-.5069913864135742,290100,1.106627464294434,527207,-.3058509826660156,169006,.3309993743896484,573611,.6462011337280273,1006655,-.2311382293701172,11064756,-.0601844787597656,188617,339451,38204,1.188750267028809,796309,.1719217300415039,74398,-.4822959899902344,98455,.0818872451782227,732874,-.1909847259521484,482660,-.5148525238037109,8578,.1267271041870117,22410432,-.2150154113769531,127778,5.671275138854981,8889313,-.5735664367675781,574611,.1180324554443359,1047573,.2989835739135742,10195046,.0088062286376953,474211,-.1308259963989258,4246,.2587442398071289,215752,-.5894622802734375,225056,.6639833450317383,5173,-.5386581420898438,1279339,.4139442443847656,512402,58448,1.004233360290527,1234974,.3316545486450195,21189,-.5067672729492188,389285,.2584953308105469,1352305,.8825511932373047,128783,5214632,.2531528472900391,264747,404918,.6763916015625,matched (3),12752651,.89838207,652961.5,1081538.6
201101,841381,612,3840,7971164,01,0,0,0,0,0,0,0,0,0,0,0,521601,-.3297538757324219,86399,-.6712236404418945,276802,1851469,-.0551290512084961,2674606,.1834430694580078,45626,20708,219385,-1.327202796936035,1080849,-.2198619842529297,1617992,-.3589229583740234,2949888,-.2766599655151367,26933,-.0994768142700195,142375,-.0660867691040039,226627,-.2469205856323242,652262,.2128534317016602,100241,-.5223569869995117,244732,-.8517875671386719,1851041,.6091156005859375,8780742,-.2312049865722656,38336,306065,111417,1.070340156555176,476952,-.5125713348388672,58936,-.2329769134521484,116230,.1659717559814453,527926,-.3280181884765625,345075,-.3355503082275391,38933,1.512640953063965,20078636,-.1098709106445313,46850,-1.00334358215332,7468687,-.1741304397583008,528951,-.0827980041503906,588193,-.5771760940551758,11022909,.0780735015869141,402199,-.1647052764892578,1165,-1.293256759643555,343820,.4659881591796875,234323,.0403518676757813,3574,-.3697681427001953,1344522,.0496950149536133,408415,9858,-1.779854774475098,676043,-.6025485992431641,23821,.1170845031738281,440960,.1246423721313477,1247250,-.0808696746826172,61018,3647120,-.3575305938720703,151939,446259,.0972146987915039,matched (3),7792900,.89838207,559488.81,1027810.7
201102,841381,613,3840,7495221,02,1,0,0,0,0,0,0,0,0,0,0,325474,-.4716205596923828,47744,-.5931234359741211,213095,1627522,-.1289205551147461,2453405,-.0863256454467773,33985,36948,675871,1.125174522399902,727946,-.3952751159667969,2683550,.5059547424316406,2904002,-.0156774520874023,23127,-.1523523330688477,163517,.1384525299072266,227143,.0022745132446289,1643012,.9238395690917969,24381,-1.413772583007813,273918,.1126651763916016,550559,-1.212570190429688,5881528,-.4007444381713867,28855,85846,68932,-.4801597595214844,409006,-.1536865234375,26968,-.7818012237548828,169251,.3758115768432617,570678,.0778694152832031,229494,-.4078855514526367,8890,-1.47691535949707,19421748,-.0332622528076172,2263,-3.030259609222412,6893548,-.0801334381103516,501581,-.0531301498413086,570812,-.0299949645996094,10204634,-.0771331787109375,858510,.7582511901855469,3037,.9581489562988281,282616,-.1960287094116211,101808,-.8336124420166016,171,-3.039776802062988,871002,-.4341497421264648,440835,9994,.013702392578125,770214,.1304111480712891,2266,-2.352550983428955,437887,-.006993293762207,960617,-.2611198425292969,123274,5314934,.3765830993652344,160179,277916,-.4735803604125977,matched (3),9956659,.89838207,842369.06,1205384.9
201103,841381,614,3840,7535273,03,0,1,0,0,0,0,0,0,0,0,0,417184,.2482442855834961,186327,1.361650466918945,818865,2196839,.2999610900878906,2307143,-.0614662170410156,56172,24428,504664,-.292109489440918,660296,-.097538948059082,3564113,.2837743759155273,2907480,.0011968612670898,31219,.3000268936157227,180760,.1002531051635742,231800,.0202951431274414,1518122,-.0790567398071289,103143,1.442312240600586,227905,-.1838998794555664,607940,.0991420745849609,7221293,.2052173614501953,204067,269933,162818,.8595123291015625,617272,.4115800857543945,64122,.8661365509033203,54467,-1.133787155151367,722252,.2355489730834961,1052095,1.522662162780762,52637,1.77849292755127,23905420,.2077121734619141,3672,.4840445518493652,8761954,.239832878112793,795554,.461273193359375,1220161,.7596778869628906,12954874,.2386283874511719,946185,.0972404479980469,2310,-.2736225128173828,474020,.5171604156494141,289034,1.043456077575684,772,1.507320880889893,1068408,.2042808532714844,617832,7839,-.2428741455078125,1036489,.2969264984130859,42865,2.940039157867432,461729,.0530166625976563,1069090,.1069869995117188,177176,5626156,.0569057464599609,162728,391302,.3421602249145508,matched (3),11001539,.89838207,836629.19,1201380.6
201104,841381,615,3840,11285285,04,0,0,1,0,0,0,0,0,0,0,0,430271,.030888557434082,90855,-.7182388305664063,979529,3293072,.4048013687133789,4878356,.7487983703613281,42901,31816,572539,.1261882781982422,773689,.158482551574707,3191788,-.1103343963623047,2985364,.0264348983764648,3448,-2.203232765197754,244009,.3000354766845703,478769,.7253437042236328,1756436,.14581298828125,221910,.7661552429199219,401059,.5651798248291016,840133,.3234844207763672,6802302,-.0597724914550781,53361,325923,108497,-.4059104919433594,431686,-.3576116561889648,25247,-.9320802688598633,114505,.7430229187011719,755139,.0445280075073242,488905,-.7663707733154297,21234,-.9078159332275391,27105628,.1256351470947266,143191,3.663443565368652,8808699,.0053205490112305,713207,-.1092672348022461,275379,-1.488589286804199,11001339,-.1634540557861328,462687,-.7153873443603516,2001,-.1436004638671875,358638,-.2789363861083984,249447,-.1472978591918945,3475,1.50436544418335,1574263,.3876171112060547,447182,28083,1.276053428649902,1158722,.1114788055419922,47702,.1069183349609375,745222,.4787044525146484,777485,-.3184986114501953,54700,9194210,.4911470413208008,157424,480928,.2062387466430664,matched (3),10428200,.89838207,867181.5,1222853.5
201105,841381,616,3840,10976914,05,0,0,0,1,0,0,0,0,0,0,0,219979,-.6708831787109375,261817,1.058381080627441,363334,2497880,-.2763786315917969,2060588,-.8618173599243164,71754,19699,445883,-.2500247955322266,379793,-.7115440368652344,3998030,.2252206802368164,2537089,-.1627044677734375,14402,1.429573059082031,170638,-.357661247253418,282093,-.5289821624755859,1849232,.051483154296875,88280,-.9217586517333984,253180,-.4600076675415039,1097273,.2670230865478516,9123174,.2935571670532227,137866,547754,72737,-.399871826171875,378636,-.1311225891113281,11733,-.766301155090332,104561,-.0908479690551758,670046,-.1195554733276367,801133,.4938592910766602,47777,.8109407424926758,28315472,.0436668395996094,1704,-4.431200981140137,9920743,.1188879013061523,638618,-.1104650497436523,5283170,2.954133033752441,10645800,-.0328521728515625,668357,.3677711486816406,671,-1.092633247375488,371548,.035365104675293,186748,-.2894868850708008,615,-1.731727600097656,2674170,.5298519134521484,456113,41954,.4014091491699219,1144810,-.0120792388916016,28480,-.5157718658447266,602144,-.2131853103637695,1164187,.4037132263183594,95420,4829135,-.6439065933227539,128185,469354,-.0243606567382813,matched (3),15062003,.89838207,934625.81,1271570.9
201106,841381,617,3840,9208969,06,0,0,0,0,1,0,0,0,0,0,0,544341,.9060430526733398,177001,-.3914899826049805,277709,2808684,.1172733306884766,2678343,.26220703125,13121,24157,469926,.0525188446044922,845160,.7999000549316406,4667031,.1547212600708008,2064246,-.2062520980834961,22770,.4580764770507813,161512,-.0549650192260742,245303,-.1397418975830078,1064798,-.5519847869873047,34618,-.9361391067504883,320222,.2349138259887695,880706,-.2198591232299805,9191843,.0074977874755859,73092,511581,36646,-.6855459213256836,360808,-.0482292175292969,26347,.8089485168457031,196810,.6324682235717773,629621,-.0622282028198242,329284,-.8891067504882813,43994,-.0824909210205078,24617984,-.1399307250976563,195350,4.741814613342285,11339577,.1336708068847656,850625,.2866649627685547,4738458,-.1088142395019531,10246220,-.0382556915283203,1066293,.4671211242675781,6226,2.227720260620117,423050,.1298122406005859,299208,.471379280090332,33549,3.999139785766602,908574,-1.07951831817627,513335,10610,-1.374776840209961,1115348,-.0260725021362305,403,-4.258020401000977,755701,.2271490097045898,1004829,-.1472053527832031,90565,10744757,.7997503280639648,276841,183244,-.9405384063720703,matched (3),14819391,.89838207,1124230,1416778.1
201107,841381,618,3840,6967267,07,0,0,0,0,0,1,0,0,0,0,0,289488,-.6314611434936523,93172,-.6417083740234375,171913,2720141,-.0320320129394531,2437752,-.0941219329833984,34880,13750,465006,-.0105247497558594,575134,-.384922981262207,3184640,-.3821830749511719,1678716,-.2067356109619141,1713,-2.587197780609131,201569,.221552848815918,483326,.678196907043457,649540,-.4942760467529297,160463,1.533689498901367,230715,-.3278322219848633,701068,-.228118896484375,8452266,-.0838813781738281,60733,198093,42645,.1516056060791016,329784,-.0899085998535156,12333,-.7590761184692383,85484,-.8339090347290039,537297,-.1585674285888672,694771,.7466621398925781,17558,-.918543815612793,24184456,-.0177669525146484,26284,-2.005832672119141,13401815,.1670913696289063,773464,-.0950918197631836,1685220,-1.033815383911133,10988417,.0699329376220703,601557,-.5724220275878906,262,-3.168144702911377,198569,-.7563543319702148,146773,-.7122516632080078,31518,-.0624475479125977,585596,-.4392461776733398,209424,7575,-.3369436264038086,767589,-.3736667633056641,35061,4.465908050537109,251788,-1.099058151245117,884425,-.1276350021362305,83231,6509006,-.5012311935424805,143079,370805,.7048578262329102,matched (3),8527646,.89838207,822278.81,1191431.8
201108,841381,619,3840,8408006,08,0,0,0,0,0,0,1,0,0,0,0,531609,.6077938079833984,146915,.4554071426391602,402557,2774740,.0198726654052734,3099710,.2402324676513672,13010,21041,451059,-.030451774597168,414346,-.3279018402099609,3228564,.013697624206543,2553470,.4194240570068359,5386,1.145556926727295,128684,-.4487724304199219,1129061,.8484506607055664,118688,-1.699766159057617,40321,-1.381191253662109,286814,.2176513671875,882348,.2299814224243164,9307704,.0964069366455078,75074,536370,59308,.329833984375,480161,.3756837844848633,70442,1.742511749267578,85405,-.0009250640869141,907820,.5244951248168945,915628,.2760276794433594,30659,.5574169158935547,27714464,.1362438201904297,62068,.8592700958251953,7984062,-.5179424285888672,1649444,.7573137283325195,532171,-1.152687072753906,10077524,-.0865345001220703,1164911,.6608781814575195,1963,2.013884544372559,227595,.1364316940307617,345587,.8563566207885742,4118,-2.035191535949707,1044736,.5788898468017578,246284,35311,1.539340972900391,506530,-.4156713485717773,24512,-.3579263687133789,281008,.1097955703735352,944142,.0653390884399414,142344,7311387,.116246223449707,148923,288957,-.2493991851806641,matched (3),11760953,.89838207,634833.88,1070691.9
201109,841381,620,3840,9264248,09,0,0,0,0,0,0,0,1,0,0,0,552907,.0392818450927734,141239,-.0394010543823242,460608,2204838,-.2299022674560547,3207257,.0341072082519531,17943,36036,389650,-.1463499069213867,835474,.7012977600097656,3640965,.1202116012573242,2636983,.0321817398071289,13103,.8890380859375,212621,.5021514892578125,705602,-.4700908660888672,1196393,2.310567855834961,245099,1.804789543151856,458397,.4689016342163086,1163594,.2766819000244141,9517506,.0222911834716797,430216,304498,170422,1.055533409118652,597862,.21923828125,47266,-.3989982604980469,128792,.4107942581176758,1080955,.1745538711547852,1219774,.2868108749389648,9722,-1.148534774780273,28806730,.0386543273925781,347661,1.722997665405273,10106062,.2356891632080078,844419,-.6695442199707031,2776092,1.651834487915039,11900764,.1662940979003906,1097747,-.0593843460083008,4024,.7178025245666504,208106,-.0895204544067383,147947,-.8483896255493164,5223,.2377042770385742,1078130,.031463623046875,600413,38227,.0793476104736328,1197249,.8601980209350586,27774,.1249370574951172,388741,.3245296478271484,743598,-.2387762069702148,142546,633062,-2.446619033813477,290130,365424,.2347812652587891,matched (3),12461069,.89838207,558884.44,1027481.8
201110,841381,621,3840,8165835,10,0,0,0,0,0,0,0,0,1,0,0,492690,-.1153097152709961,170174,.1863679885864258,373486,2886366,.2693443298339844,3181369,-.0081043243408203,13782,26549,311044,-.2253141403198242,576675,-.3707208633422852,2543367,-.358759880065918,2356103,-.1126260757446289,5306,-.9040031433105469,159393,-.2881383895874023,213946,-1.193327903747559,579476,-.7249422073364258,44531,-1.705476760864258,351558,-.2653608322143555,1398729,.1840505599975586,8480770,-.1153316497802734,57682,218928,86588,-.6771163940429688,613467,.0257663726806641,6345,-2.008124351501465,32353,-1.381491661071777,802379,-.2980194091796875,848580,-.3628568649291992,17763,.6027259826660156,28839712,.0011444091796875,34344,-2.314801216125488,6785926,-.3982858657836914,608025,-.3284330368041992,569403,-1.584210395812988,10306008,-.1438751220703125,934033,-.161503791809082,726,-1.712481498718262,210003,.0090742111206055,206315,.332550048828125,1929,-.9960703849792481,798366,-.3004159927368164,417759,10487,-1.293405532836914,423536,-1.039142608642578,7223,-1.346829414367676,288415,-.2985124588012695,588152,-.2345151901245117,120122,6688720,2.357608795166016,207280,95956,-1.337168693542481,matched (3),6768674,.89838207,465227.63,979695.81
