period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1198c642,Y1205c642,Y1246c428,growth1246c428,Y1288c152,growth1288c152,Y1402c752,growth1402c752,Y1480c208,growth1480c208,Y1489c344,Y1500c826,growth1500c826,Y1505c586,growth1505c586,Y1525c68,growth1525c68,Y1587c300,growth1587c300,Y1622c300,growth1622c300,Y1657c752,growth1657c752,Y1766c586,growth1766c586,Y1910c203,Y1969c484,growth1969c484,Y2004c152,growth2004c152,Y2104c152,growth2104c152,Y2157c428,growth2157c428,Y2375c191,growth2375c191,Y2545c152,growth2545c152,Y2646c32,Y2701c300,growth2701c300,Y2822c688,Y2935c208,growth2935c208,Y3142c300,growth3142c300,Y3348c807,Y3416c586,growth3416c586,Y3442c703,growth3442c703,Y3537c440,growth3537c440,Y3567c381,Y3597c642,Y3758c608,Y3937c246,growth3937c246,Y3976c600,growth3976c600,Y3977c428,growth3977c428,Y4264c218,Y4445c688,growth4445c688,Y4453c246,growth4453c246,Y4454c616,growth4454c616,Y4484c376,Y4635c152,growth4635c152,Y464c620,growth464c620,Y465c620,growth465c620,Y4660c757,growth4660c757,Y5009c32,Y660c152,growth660c152,Y870c300,growth870c300,Y978c792,growth978c792,Y982c757,growth982c757,_merge,x,r2,s,sf
201011,730630,610,3409,646702,11,0,0,0,0,0,0,0,0,0,1,0,112779,7359,43180,-.5950803756713867,184356,-.1911182403564453,478777,.125514030456543,41029,-.0116558074951172,543645,57462488,.1709861755371094,216956,-.4241771697998047,166583,-.6964797973632813,2560432,-.0649070739746094,412038,-.2461414337158203,3026648,.1192531585693359,200482,-1.260684013366699,391107,2079562,.3994932174682617,755136,-.0979766845703125,653205,-.3345842361450195,46306,.3979024887084961,33296,-.5527267456054688,82944,-.3329381942749023,22606,459908,-.4872198104858398,4809,9749,-.9049224853515625,1106,-.9462180137634277,7621,358265,-1.640880584716797,106826,.8544349670410156,224091,1.960161209106445,1261825,1890218,185147,55311,-.0406026840209961,99735,-.6711492538452148,40730,-.5995426177978516,328809,21685,-.7936840057373047,66616,-.0562705993652344,3369749,-.1486606597900391,658000,177498,.6690568923950195,143551,.408024787902832,388741,.3971977233886719,81253,.1843147277832031,57039,83511,-1.212987899780273,180091,.2114591598510742,935878,.4588508605957031,599256,.1288242340087891,matched (3),-5182037,.86724472,1541012.1,2301903
201012,730630,611,3409,929345,12,0,0,0,0,0,0,0,0,0,0,1,153678,22009,7045,-1.813059806823731,195615,.0592794418334961,295909,-.4811830520629883,49120,.179987907409668,623740,58014544,.0095615386962891,377672,.5543317794799805,204397,.2045707702636719,1501833,-.5334901809692383,469151,.1298084259033203,2342437,-.2562637329101563,211988,.0558052062988281,469759,1016071,-.7162141799926758,934654,.2132787704467773,904490,.3254804611206055,32776,-.3455753326416016,47653,.3585081100463867,150241,.5940752029418945,95404,828840,.5890007019042969,22254,20277,.7323217391967773,1573,.3522343635559082,26961,487831,.3086957931518555,110256,.0316038131713867,46192,-1.579245567321777,788246,1282710,182019,253663,1.523035049438477,132204,.281829833984375,177125,1.469890594482422,113112,38009,.5612020492553711,66211,-.0060977935791016,1945578,-.5492792129516602,80000,145574,-.1982746124267578,54380,-.9706945419311523,694450,.5802068710327148,114305,.3413028717041016,75564,143408,.540715217590332,94631,-.6434764862060547,619752,-.4121665954589844,674653,.1185102462768555,matched (3),-3939213,.86724472,1198319.6,2088063.6
201101,730630,612,3409,1177440,01,0,0,0,0,0,0,0,0,0,0,0,254487,294261,15569,.792963981628418,127914,-.4247903823852539,569256,.6542787551879883,54789,.109222412109375,974822,76477304,.2763004302978516,340253,-.1043367385864258,312451,.4243831634521484,8544789,1.738636016845703,490633,.0447721481323242,2782260,.1720714569091797,406948,.652155876159668,483098,1036413,.0198230743408203,661765,-.3452653884887695,359359,-.9230499267578125,38770,.1679506301879883,82179,.5449542999267578,62587,-.8756837844848633,56548,239264,-1.242460250854492,4363,23353,.1412382125854492,5264,1.207906723022461,800,523917,.0713644027709961,87909,-.2265033721923828,47437,.0265960693359375,3309192,1063725,268969,266826,.0505905151367188,218478,.5023384094238281,173948,-.0180988311767578,133187,89682,.8584470748901367,86853,.2713699340820313,2578557,.2816705703735352,1057000,55158,-.9704828262329102,81822,.4085502624511719,1070105,.4323921203613281,191960,.5184164047241211,95487,192920,.2965812683105469,125865,.2852239608764648,878054,.348388671875,796096,.1655206680297852,matched (3),7674135.5,.86724472,1133467.4,2051533
201102,730630,613,3409,725587,02,1,0,0,0,0,0,0,0,0,0,0,159866,176448,27007,.5508146286010742,229450,.5843267440795898,398619,-.3563241958618164,37330,-.3836917877197266,151846,74802632,-.0221405029296875,264628,-.2513647079467773,150050,-.7334785461425781,9274168,.0819110870361328,303458,-.4804534912109375,2791221,.0032157897949219,157879,-.9468564987182617,398223,1042462,.0058193206787109,510078,-.2603473663330078,352370,-.0196399688720703,22993,-.5224571228027344,74524,-.0977783203125,94365,.4106130599975586,270241,312125,.2658367156982422,2008,25838,.1011209487915039,1897,-1.020617485046387,13203,526005,.0039777755737305,120166,.3125724792480469,13964,-1.222919464111328,2323428,782870,147549,62471,-1.451894760131836,261216,.1786623001098633,180883,.0390939712524414,119884,36476,-.8996152877807617,73309,-.1695337295532227,2809193,.085667610168457,333000,40156,-.3174304962158203,112688,.3200769424438477,827656,-.2569141387939453,19329,-2.295680046081543,74312,248987,.2551250457763672,97740,-.2528982162475586,779172,-.119476318359375,790673,-.0068349838256836,matched (3),1207025.4,.86724472,815552.31,1894509.3
201103,730630,614,3409,716216,03,0,1,0,0,0,0,0,0,0,0,0,165298,4003,14488,-.6227760314941406,125232,-.6055164337158203,390698,-.0200710296630859,73103,.6720724105834961,431234,63945936,-.1568145751953125,884363,1.20654296875,195668,.2654504776000977,10427099,.1171741485595703,724462,.8701868057250977,2553964,-.088831901550293,225554,.3567304611206055,597981,916094,-.1292219161987305,691387,.3041362762451172,1288544,1.296586036682129,50813,.7929630279541016,161240,.7717723846435547,73288,-.2527732849121094,27458,386722,.2143020629882813,62616,11353,-.8223638534545898,1232,-.4316349029541016,4012,412526,-.243011474609375,82692,-.3737516403198242,129227,2.225088119506836,1170218,544684,132054,225594,1.284034729003906,318206,.1973514556884766,338077,.625422477722168,154417,17180,-.7529087066650391,68511,-.0676889419555664,2905488,.0337038040161133,839000,34961,-.1385383605957031,97308,-.1467418670654297,827601,-.0000667572021484,444903,3.136249542236328,2960,305907,.2058811187744141,100639,.0292282104492188,781094,.0024642944335938,935383,.1680717468261719,matched (3),429751.59,.86724472,1389941.3,2203628
201104,730630,615,3409,1088773,04,0,0,1,0,0,0,0,0,0,0,0,209675,8063,627,-3.140129089355469,295015,.8568582534790039,311759,-.2257051467895508,57956,-.2321853637695313,1129922,66599564,.0406589508056641,598875,-.3898153305053711,195214,-.0023231506347656,8946126,-.1531867980957031,484255,-.4028177261352539,2804665,.0936374664306641,183630,-.2056369781494141,696798,1157663,.2340402603149414,749373,.0805368423461914,452315,-1.046889305114746,39674,-.2474565505981445,81335,-.6843175888061523,87409,.1762008666992188,82595,154934,-.9147071838378906,27018,41304,1.291477203369141,2571,.7356562614440918,12633,430588,.0428524017333984,237340,1.054370880126953,86228,-.404576301574707,1692501,734887,183891,215012,-.0480432510375977,462126,.373138427734375,306546,-.097905158996582,118314,18007,.0470151901245117,107622,.4516305923461914,3106861,.067011833190918,861000,58534,.5153741836547852,135883,.3339128494262695,914439,.0997791290283203,126828,-1.255023956298828,28233,221798,-.3215141296386719,133343,.2813854217529297,935293,.1801643371582031,707680,-.2789640426635742,matched (3),5000314.5,.86724472,893625.88,1929405.8
201105,730630,616,3409,1372421,05,0,0,0,1,0,0,0,0,0,0,0,213883,23822,4438,1.957012176513672,354859,.1846942901611328,404347,.2600431442260742,70103,.1902809143066406,672687,49692816,-.2928371429443359,767382,.2479324340820313,332628,.532928466796875,9729649,.0839576721191406,259550,-.6236629486083984,3029531,.0771236419677734,191438,.0416412353515625,550076,1521144,.2730588912963867,977757,.2660245895385742,504016,.1082296371459961,50495,.2411785125732422,86900,.0661821365356445,75287,-.1492900848388672,68820,162029,.0447769165039063,27181,27347,-.4123525619506836,4362,.5286355018615723,23172,390620,-.097416877746582,684443,1.059111595153809,39241,-.7872724533081055,1276587,2212048,176231,507191,.8581943511962891,226046,-.7150983810424805,876560,1.050637245178223,151888,9500,-.6394691467285156,161942,.4086132049560547,3432203,.0995893478393555,1192000,153860,.966435432434082,72031,-.6346979141235352,1604100,.5620079040527344,98185,-.2559785842895508,12564,105714,-.7410297393798828,84178,-.459991455078125,1441290,.43243408203125,841691,.1734209060668945,matched (3),16758841,.86724472,1813735.8,2492724.8
201106,730630,617,3409,2141106,06,0,0,0,0,1,0,0,0,0,0,0,271957,25864,2296,-.6590352058410645,271072,-.2693367004394531,418058,.0333471298217773,131506,.6290874481201172,719049,42493568,-.1565074920654297,389904,-.6770839691162109,307890,-.0772819519042969,8547436,-.129547119140625,536888,.7268400192260742,3589432,.169586181640625,210894,.0967912673950195,658093,1033439,-.3865699768066406,680059,-.3630819320678711,805107,.4683666229248047,50634,.0027484893798828,124856,.3624029159545898,129919,.5456037521362305,33938,376707,.8436918258666992,93444,57653,.7458353042602539,403,-2.381749153137207,83138,508447,.2636260986328125,366103,-.6256904602050781,113494,1.062027931213379,2028550,5670936,181192,146642,-1.240894317626953,752740,1.202980995178223,481833,-.5984077453613281,159761,4144,-.8296298980712891,71293,-.820439338684082,2719931,-.2325954437255859,606000,93992,-.492833137512207,99119,.3192243576049805,2181314,.3073644638061523,12884178,4.876902580261231,36309,214936,.7096023559570313,125622,.4003438949584961,1609407,.1103267669677734,914285,.0827293395996094,matched (3),-3458780.5,.86724472,1772007.4,2462529
201107,730630,618,3409,2044169,07,0,0,0,0,0,1,0,0,0,0,0,181665,13954,7239,1.148314952850342,26967,-2.307770729064941,447818,.0687665939331055,37258,-1.261185646057129,478154,68557544,.4783210754394531,868773,.8011808395385742,294791,-.0434761047363281,7485433,-.1326723098754883,505088,-.0610561370849609,1604643,-.8050928115844727,147333,-.3586597442626953,530792,904375,-.1334037780761719,983641,.3690814971923828,729285,-.0989103317260742,52928,.0443096160888672,61013,-.7160739898681641,77192,-.5206155776977539,11191,1491800,1.37627124786377,26902,24120,-.8714008331298828,1084,.9894766807556152,60381,547279,.0735979080200195,229950,-.465052604675293,71173,-.4666366577148438,1484469,3010483,451580,233958,.4671478271484375,220626,-1.227251052856445,292701,-.4984464645385742,150372,14397,1.245357513427734,71919,.0087423324584961,2710213,-.0035791397094727,346000,182437,.6631956100463867,124877,.2310085296630859,2442953,.1132802963256836,8790783,-.3822975158691406,29328,312002,.3726692199707031,99434,-.2337827682495117,1075385,-.4031867980957031,790892,-.1449813842773438,matched (3),-1017613.4,.86724472,1321461.4,2161087.5
201108,730630,619,3409,1347847,08,0,0,0,0,0,0,1,0,0,0,0,279808,37107,2914,-.9099564552307129,491280,2.902400970458984,396455,-.1218242645263672,27754,-.2944869995117188,666590,66142140,-.0358676910400391,738831,-.162013053894043,213249,-.3238058090209961,4270958,-.5611209869384766,210684,-.8743734359741211,2107030,.2723779678344727,196767,.2893247604370117,401532,1475173,.4892864227294922,805748,-.1994895935058594,607987,-.181910514831543,36953,-.3592863082885742,60987,-.0004262924194336,34753,-.798029899597168,230300,1019214,-.3809518814086914,18020,14214,-.528813362121582,1893,.5575046539306641,37548,403682,-.3043317794799805,154603,-.3970012664794922,70736,-.0061588287353516,608717,2339012,203909,36417,-1.860105514526367,556279,.9248008728027344,236236,-.214320182800293,222595,13807,-.0418434143066406,62277,-.1439485549926758,2866633,.0561103820800781,330000,143337,-.2412071228027344,64907,-.6543741226196289,1411959,-.5482292175292969,96790,-4.508914947509766,52467,646548,.7286386489868164,87593,-.1267938613891602,805795,-.288604736328125,674562,-.1590976715087891,matched (3),7134299.5,.86724472,1189388.8,2082951
