period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1115c757,growth1115c757,Y1146c372,growth1146c372,Y1253c376,Y1357c484,growth1357c484,Y1432c36,Y1436c191,growth1436c191,Y1471c484,growth1471c484,Y1507c152,growth1507c152,Y1507c752,growth1507c752,Y1614c705,growth1614c705,Y1725c124,growth1725c124,Y1806c703,growth1806c703,Y1816c372,growth1816c372,Y1872c616,growth1872c616,Y1980c381,Y1c484,Y1c826,Y2021c440,growth2021c440,Y2051c352,growth2051c352,Y2285c124,growth2285c124,Y2745c36,Y285c440,growth285c440,Y3209c208,growth3209c208,Y3211c616,growth3211c616,Y3232c344,Y3302c376,Y3377c124,growth3377c124,Y3421c222,growth3421c222,Y3470c251,growth3470c251,Y3475c36,Y3501c124,growth3501c124,Y3528c703,growth3528c703,Y3553c124,growth3553c124,Y3578c124,growth3578c124,Y3727c616,growth3727c616,Y3732c757,growth3732c757,Y3800c36,Y4043c32,Y4194c222,growth4194c222,Y4636c826,growth4636c826,Y472c246,growth472c246,Y4748c32,Y4760c208,growth4760c208,Y4922c68,Y4958c124,growth4958c124,Y514c484,growth514c484,Y560c348,growth560c348,Y611c752,growth611c752,Y821c752,growth821c752,Y855c222,growth855c222,_merge,x,r2,s,sf
201012,841229,611,3827,2075110,12,0,0,0,0,0,0,0,0,0,0,1,106262,-.1123580932617188,26232,-.5304622650146484,394000,3446660,-.0243234634399414,446064,350230,-.3178529739379883,36962896,-.1968021392822266,868231,.9046096801757813,1767419,-.0132217407226563,136945,.5966129302978516,8880715,.0361366271972656,885666,.737544059753418,272074,.9708786010742188,1747750,-.5844011306762695,2934097,34000,26288146,94652,.0143976211547852,149182,.670414924621582,1960251,-.0332117080688477,518139,182753,.2481966018676758,1063679,-.2838153839111328,7521009,.0552568435668945,1642182,143000,3062988,-.1433382034301758,2233,-1.837353229522705,23754,-.6519155502319336,1375446,5378077,-.1939897537231445,200604,-.122492790222168,3461450,-.2021865844726563,10824517,-.1055717468261719,353859,.6988296508789063,1213340,.7482271194458008,18057500,17643604,1237205,.5921096801757813,1104763,-.3320388793945313,190333,.1925992965698242,2758989,1618248,.2248153686523438,35317,2392551,.1111307144165039,625310,.3986358642578125,40264,.2177314758300781,1640350,.0679779052734375,872672,.4820146560668945,213487,.0049724578857422,matched (3),3418391.8,.85074556,280399.5,588770.44
201101,841229,612,3827,1532643,01,0,0,0,0,0,0,0,0,0,0,0,78864,-.298182487487793,49526,.6355180740356445,970000,2730594,-.2328872680664063,384791,446553,.2429685592651367,44151832,.1777210235595703,507443,-.537074089050293,1665805,-.0592117309570313,122266,-.1133804321289063,8366746,-.0596170425415039,358355,-.9048166275024414,79663,-1.228268623352051,1654960,-.0545520782470703,2393644,1200,25931876,142078,.4061698913574219,42480,-1.256133079528809,1963301,.0015554428100586,436967,150451,-.1944980621337891,1544095,.3727045059204102,7569497,.0064258575439453,1915109,135000,3296340,.0734224319458008,48865,3.085715770721436,52491,.7928905487060547,1279601,5512330,.0246562957763672,98530,-.7109718322753906,4610978,.2867517471313477,13034162,.185760498046875,127461,-1.021088600158691,908637,-.2891864776611328,9186760,13770354,902676,-.31524658203125,2426240,.786712646484375,79692,-.87060546875,2751552,1144925,-.3460054397583008,230,1847467,-.258544921875,567610,-.0968132019042969,29726,-.303436279296875,1467529,-.1113290786743164,808748,-.0760717391967773,250601,.1602869033813477,matched (3),1828772.9,.85074556,267805.59,582877.81
201102,841229,613,3827,1305265,02,1,0,0,0,0,0,0,0,0,0,0,155817,.6809568405151367,45025,-.0952796936035156,421000,3182646,.1531944274902344,341671,720225,.4780054092407227,42278360,-.0433597564697266,799730,.454890251159668,1861178,.11090087890625,6412,-2.948027610778809,10426771,.2201118469238281,285851,-.2260532379150391,18755,-1.446345329284668,2093513,.2350664138793945,2057696,0,3095892,101168,-.3395938873291016,83339,.6738834381103516,2016333,.0266532897949219,377725,90131,-.5123729705810547,1021054,-.4136028289794922,10101681,.2885751724243164,724805,251000,3023308,-.086461067199707,7341,-1.895586013793945,27107,-.6608495712280273,1305285,5950233,.0764427185058594,145498,.389801025390625,3116696,-.3916664123535156,12213485,-.0650348663330078,134930,.05694580078125,754583,-.1857805252075195,5588440,20127092,1210130,.2931194305419922,1885944,-.2519149780273438,214740,.9912586212158203,1741224,636002,-.5878925323486328,980,1368469,-.3001232147216797,489039,-.148991584777832,46802,.4539041519165039,1450302,-.0118083953857422,944634,.1553096771240234,104920,-.8706645965576172,matched (3),2220753,.85074556,293287.19,595016.06
201103,841229,614,3827,1605817,03,0,1,0,0,0,0,0,0,0,0,0,252627,.4832324981689453,58636,.2641305923461914,467000,3207233,.007695198059082,352333,557350,-.2563705444335938,44206884,.0446052551269531,733553,-.0863742828369141,2060919,.1019430160522461,136353,3.057076454162598,12555222,.185760498046875,631313,.7923316955566406,59196,1.149394035339356,1458197,-.3616428375244141,2459792,10500,12303765,142628,.3434572219848633,57140,-.3774127960205078,2130713,.05517578125,270561,184321,.7154150009155273,1718811,.5207977294921875,9254349,-.0876083374023438,2063533,263000,4395220,.3741655349731445,3097,-.863041877746582,29552,.086359977722168,1566922,6794676,.1327095031738281,194292,.2891998291015625,3741053,.1825933456420898,16379809,.2935104370117188,149858,.1049318313598633,1262795,.5149173736572266,10108499,15030790,1281749,.0574979782104492,2434003,.2551088333129883,189392,-.1256093978881836,1996971,943631,.3945331573486328,20753,2077774,.4176044464111328,762716,.4444437026977539,132949,1.044039726257324,1944475,.2932195663452148,1035492,.0918350219726563,108040,.0293035507202148,matched (3),2126569.3,.85074556,283973.19,590480.75
201104,841229,615,3827,2520848,04,0,0,1,0,0,0,0,0,0,0,0,106763,-.8613033294677734,71362,.1964168548583984,709000,3186241,-.006566047668457,305322,840054,.4102725982666016,46683776,.0545158386230469,1116449,.420008659362793,2067936,.0033988952636719,79323,-.5417194366455078,12881849,.0256824493408203,643117,.018524169921875,72167,.1981287002563477,3180213,.7797479629516602,2600470,0,26792286,148760,.0420942306518555,239717,1.433955192565918,2104649,-.0123081207275391,359171,164725,-.1124019622802734,1361332,-.2331695556640625,15921455,.5425739288330078,2818663,118000,3955623,-.1053791046142578,21168,1.922057151794434,33737,.1324434280395508,1741513,8223519,.1908588409423828,170618,-.1299352645874023,3799883,.0156040191650391,13458095,-.1964702606201172,158041,.053166389465332,1371178,.0823431015014648,8719164,22670216,894992,-.359166145324707,2519595,.0345611572265625,349410,.6124267578125,2806797,1106199,.1589498519897461,1092,2368828,.131098747253418,484672,-.4534139633178711,230870,.5518894195556641,2479287,.2429790496826172,647276,-.4698591232299805,197579,.6036367416381836,matched (3),3429940.5,.85074556,278292.28,587769.81
201105,841229,616,3827,1376788,05,0,0,0,1,0,0,0,0,0,0,0,331229,1.132199287414551,30840,-.8389530181884766,384000,4120363,.2570991516113281,301420,1018884,.1929969787597656,61172348,.2702980041503906,894854,-.221247673034668,1938188,-.0647974014282227,87683,.1001996994018555,11758310,-.0912590026855469,498009,-.2557077407836914,35202,-.7178802490234375,2806593,-.1249771118164063,2801819,0,8081429,179055,.185359001159668,58756,-1.406065940856934,3089107,.3837337493896484,185001,151620,-.0829000473022461,1271952,-.0679101943969727,7065515,-.8124408721923828,1753779,84000,3347903,-.166804313659668,15216,-.3301429748535156,46759,.326411247253418,1529217,8069599,-.018895149230957,152114,-.1147966384887695,4928829,.2601308822631836,16144506,.1819992065429688,146919,-.0729732513427734,1568724,.1345920562744141,6031878,17068034,581788,-.4307088851928711,2395361,-.0505638122558594,141167,-.9063024520874023,2511403,1002560,-.0983724594116211,2192,2326920,-.0178499221801758,469982,-.0307779312133789,264026,.1341924667358398,2288071,-.08026123046875,1224591,.6375894546508789,83755,-.8582420349121094,matched (3),3586256.5,.85074556,351612.75,625826.06
201106,841229,617,3827,2272155,06,0,0,0,0,1,0,0,0,0,0,0,174691,-.6397914886474609,66852,.7736682891845703,1238000,3375375,-.1994352340698242,510487,1003386,-.0153274536132813,60907508,-.0043373107910156,1238793,.3252315521240234,1998306,.0305461883544922,102681,.1578989028930664,13281947,.1218452453613281,639575,.2501850128173828,43026,.2007017135620117,2923476,.040802001953125,3524254,0,11138915,254009,.3496761322021484,99963,.5314064025878906,2296074,-.2966814041137695,441866,166870,.0958375930786133,1571831,.2116880416870117,10369124,.38360595703125,3822139,135000,4094547,.2013216018676758,78375,1.639157295227051,47193,.0092391967773438,1532899,8287067,.0265922546386719,139765,-.0846681594848633,4187658,-.1629600524902344,16227468,.005126953125,199006,.3034534454345703,1085908,-.3678455352783203,7343958,24292984,775192,.2870054244995117,2973152,.2160882949829102,551665,1.362998008728027,2747164,1286402,.2492923736572266,3783,3079236,.2801361083984375,480300,.0217161178588867,304536,.1427421569824219,2289491,.0006198883056641,1285611,.0486268997192383,143509,.5385017395019531,matched (3),2475474,.85074556,405105.72,657371.56
201107,841229,618,3827,2028401,07,0,0,0,0,0,1,0,0,0,0,0,119143,-.3826942443847656,77144,.143193244934082,416000,3678001,.0858631134033203,158596,877644,-.1338939666748047,57512608,-.0573520660400391,1133381,-.0889320373535156,1687503,-.1690502166748047,87063,-.1649942398071289,11019884,-.1867046356201172,797315,.2204465866088867,120616,1.030807495117188,2579030,-.1253595352172852,2103826,0,33673392,201455,-.2318029403686523,77033,-.2605657577514648,2579677,.1164636611938477,222351,77610,-.7655181884765625,2109888,.2943935394287109,10093511,-.0269393920898438,3161659,255000,3775353,-.0811614990234375,23291,-1.213438034057617,31409,-.4071512222290039,1725250,7278996,-.1297025680541992,180069,.2533779144287109,3743139,-.1122169494628906,15414404,-.0514030456542969,180797,-.0959596633911133,761304,-.3551387786865234,12168769,23823256,414717,-.6255149841308594,2924307,-.0165653228759766,117321,-1.548027038574219,2802792,1127897,-.1314945220947266,5216,3023893,-.0181369781494141,658204,.3151044845581055,218311,-.3328685760498047,1936024,-.1676931381225586,875539,-.3841495513916016,135190,-.0597162246704102,matched (3),2486077,.85074556,277032.16,587174.19
201108,841229,619,3827,2284780,08,0,0,0,0,0,0,1,0,0,0,0,239854,.6997060775756836,83806,.0828304290771484,574000,3943899,.0698003768920898,323827,961491,.0912437438964844,54356608,-.0564384460449219,540481,-.7405014038085938,1536293,-.0938777923583984,47184,-.6125774383544922,11699640,.0598564147949219,922269,.1455869674682617,24308,-1.601806640625,2782871,.0760698318481445,1086826,0,40640808,113281,-.5756950378417969,150907,.6724300384521484,2897311,.1161184310913086,481934,175140,.8138895034790039,2311762,.0913753509521484,12741184,.2329463958740234,3355575,188000,4847287,.2499246597290039,93884,1.393992424011231,47647,.4167251586914063,1952030,8202308,.1194219589233398,187936,.0427618026733398,3992997,.0646171569824219,19380868,.2289829254150391,346701,.651087760925293,1199869,.4549341201782227,12598814,20351280,842865,.7092103958129883,2189129,-.2895536422729492,412333,1.256916999816895,2195314,1546563,.3156805038452148,18384,4193435,.3269758224487305,755957,.1384696960449219,197976,-.0977754592895508,2019251,.0420904159545898,913133,.0420417785644531,85873,-.4538125991821289,matched (3),3967771.5,.85074556,384500.25,644877.63
201109,841229,620,3827,1466592,09,0,0,0,0,0,0,0,1,0,0,0,131345,-.602203369140625,71396,-.1602630615234375,890000,3016224,-.2681636810302734,359268,709970,-.3032627105712891,43450264,-.2239494323730469,398360,-.3051033020019531,1793490,.1547918319702148,61874,.2710447311401367,10479353,-.1101512908935547,879408,-.0475883483886719,63997,.9680309295654297,2155331,-.2555389404296875,2786194,13375,26080640,54411,-.7333049774169922,179260,.1721735000610352,2335204,-.2156839370727539,758214,108366,-.480072021484375,1510418,-.425623893737793,9460868,-.2976741790771484,2022363,61000,3786048,-.247096061706543,10561,-2.184891700744629,44215,-.0747556686401367,1466783,6699102,-.2024412155151367,81860,-.8310909271240234,4315776,.0777359008789063,17711362,-.0900802612304688,162530,-.7575998306274414,667040,-.5871171951293945,11833962,25225772,725236,-.1503095626831055,1898687,-.1423406600952148,292323,-.3439722061157227,2178513,1459854,-.0576992034912109,9603,3861878,-.082366943359375,667409,-.1245813369750977,94049,-.7443294525146484,1513182,-.2885122299194336,826352,-.0998611450195313,115663,.2978115081787109,matched (3),2284608.8,.85074556,255102.81,577151.75
