period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1117c586,growth1117c586,Y1288c757,growth1288c757,Y1310c428,growth1310c428,Y1397c208,growth1397c208,Y1428c68,growth1428c68,Y1591c826,growth1591c826,Y1594c428,growth1594c428,Y1689c428,growth1689c428,Y1724c792,growth1724c792,Y1904c600,growth1904c600,Y1912c703,growth1912c703,Y1916c428,growth1916c428,Y2142c218,Y246c757,growth246c757,Y2486c344,Y2552c344,Y2731c600,growth2731c600,Y2794c703,growth2794c703,Y3240c688,growth3240c688,Y3308c208,growth3308c208,Y3332c752,growth3332c752,Y3348c233,Y344c152,growth344c152,Y3450c818,Y3476c68,growth3476c68,Y3480c208,growth3480c208,Y3544c268,growth3544c268,Y3550c268,growth3550c268,Y3918c352,growth3918c352,Y3980c428,Y4003c484,growth4003c484,Y4295c222,growth4295c222,Y4302c268,growth4302c268,Y4589c152,growth4589c152,Y4631c344,Y4656c586,growth4656c586,Y4843c352,growth4843c352,Y4886c233,Y4939c600,growth4939c600,Y4960c608,Y4988c484,growth4988c484,Y5012c484,growth5012c484,Y596c428,growth596c428,Y598c616,growth598c616,Y607c807,growth607c807,Y676c620,growth676c620,Y707c608,Y793c208,growth793c208,Y896c372,growth896c372,Y984c208,_merge,x,r2,s,sf
201011,902140,610,4768,14478422,11,0,0,0,0,0,0,0,0,0,1,0,706318,.094233512878418,10558856,.1397075653076172,187659,3.196788787841797,1207128,.1692476272583008,17281,-1.490306854248047,4420831,.1540517807006836,58423,.7011032104492188,20094,-.5445594787597656,2245285,.2556781768798828,185326,.0843315124511719,25792,-1.348302841186523,15417,-.2905969619750977,91641,1375893,2.10411548614502,1224282,3245870,12890,-.6389102935791016,29847,-1.858881950378418,26575,.5119552612304688,819312,.0776195526123047,954687,.1148777008056641,196940,484480,.4875450134277344,27277,1205240,-.2598228454589844,1079850,.4949369430541992,397,2.177273750305176,10759,1.602860450744629,52310,2.225885391235352,60304,428213,.045557975769043,62578,1.841458320617676,112230,.6519680023193359,44699680,.3055839538574219,9500250,7455097,.3838443756103516,17827,2.179598808288574,22269,24291,1.469484329223633,1253410,21343,.400604248046875,4046,-.3450155258178711,244252,-.1007366180419922,1166400,.1973628997802734,94867,1.199663162231445,237556,.4131202697753906,11505296,317392,-1.085794448852539,95858,-.2600479125976563,31922,matched (3),25888228,.84694231,1851160.5,3082836.8
201012,902140,611,4768,9007120,12,0,0,0,0,0,0,0,0,0,0,1,489784,-.3661012649536133,1882440,-1.724396705627441,30703,-1.810266494750977,1041565,-.1475200653076172,43782,.9296150207519531,3262947,-.3036966323852539,19384,-1.103261947631836,2481,-2.091759204864502,2090079,-.0716304779052734,178164,-.0394115447998047,76033,1.081103324890137,16692,.0794591903686523,67124,2995787,.7781038284301758,1419372,3676798,2628,-1.590228080749512,69966,.8519248962402344,25769,-.0307989120483398,551621,-.395604133605957,584073,-.4913578033447266,89079,405510,-.1779308319091797,5736,1125808,-.0681781768798828,324461,-1.202412605285645,368,-.0758533477783203,15843,.3869848251342773,6886,-2.02769660949707,113084,373525,-.1366357803344727,32024,-.6699285507202148,60246,-.6221141815185547,31094584,-.3629322052001953,9094687,6131040,-.1955337524414063,3153,-1.732359886169434,64665,3762,-1.865155220031738,434327,31923,.4026031494140625,45506,2.420115470886231,494195,.7047300338745117,1034586,-.1199207305908203,13510,-1.949045181274414,155887,-.4212722778320313,14642077,125153,-.9306001663208008,78070,-.2052621841430664,24573,matched (3),17577676,.84694231,2247835.8,3336143.3
201101,902140,612,4768,19743784,01,0,0,0,0,0,0,0,0,0,0,0,740239,.4130086898803711,5527630,1.077190399169922,237846,2.047263145446777,1107223,.061131477355957,22085,-.6843242645263672,4547040,.3318452835083008,2405,-2.086897850036621,49634,2.99601411819458,1863833,-.1145668029785156,282333,.4603824615478516,47749,-.4652099609375,11429,-.3787755966186523,76801,3299100,.0964422225952148,1440945,4161656,3057,.1512107849121094,51316,-.3100070953369141,27784,.0752887725830078,499904,-.098444938659668,1606834,1.011995315551758,22084,400372,-.012751579284668,27816,1590040,.3452587127685547,454774,.3376350402832031,774,.7434887886047363,23389,.3895387649536133,10809,.4508886337280273,726075,569311,.4214420318603516,8466,-1.330427169799805,4653,-2.560923576354981,45641528,.3837833404541016,9934722,5008102,-.2023067474365234,1848,-.5342502593994141,22552,33436,2.184682846069336,106776,30512,-.0452070236206055,67596,.3957052230834961,233763,-.748621940612793,1319564,.2432994842529297,14657,.0814876556396484,225447,.3689537048339844,13156857,268950,.764988899230957,155746,.6906213760375977,36927,matched (3),25779160,.84694231,1782498.3,3042102.5
201102,902140,613,4768,14964018,02,1,0,0,0,0,0,0,0,0,0,0,384860,-.6540937423706055,4851831,-.1304025650024414,53143,-1.498636245727539,864828,-.2470798492431641,7969,-1.019339561462402,3395726,-.2919588088989258,27229,2.426733016967773,40865,-.194401741027832,2864467,.4297475814819336,39417,-1.968890190124512,23176,-.7228403091430664,19605,.5396308898925781,25682,2475095,-.2873706817626953,491874,2988504,805,-1.334347248077393,145990,1.045536041259766,255,-4.690952301025391,617658,.2115192413330078,1090719,-.3874292373657227,104606,358935,-.1092529296875,4564,636040,-.9162530899047852,53054,-2.148489952087402,84,-2.220755100250244,1447,-2.782773494720459,47843,1.487545967102051,223333,181460,-1.143391609191895,3015,-1.032458305358887,44396,2.255637168884277,21255184,-.7642154693603516,6961435,4267167,-.1601076126098633,920,-.6974854469299316,17935,19444,-.5420951843261719,9473,19749,-.4350175857543945,2214,-3.418748378753662,238077,.0182857513427734,1714456,.2617950439453125,18347,.22454833984375,204109,-.0994300842285156,15081115,400530,.3982629776000977,57146,-1.002617835998535,14004,matched (3),13674249,.84694231,1301843.4,2787809.8
201103,902140,614,4768,18787272,03,0,1,0,0,0,0,0,0,0,0,0,466277,.1919002532958984,17897810,1.305322647094727,50827,-.0445594787597656,1713492,.6837577819824219,48016,1.795974731445313,4254284,.2254095077514648,9998,-1.001897811889648,9392,-1.470416069030762,3354983,.1580638885498047,237796,1.797216415405273,82748,1.272682189941406,29499,.4085712432861328,58223,2533219,.0232124328613281,1190052,5499209,6450,2.080993175506592,141726,-.0296430587768555,24446,4.562958717346191,1237456,.6948776245117188,1187703,.0851840972900391,80144,515397,.3617963790893555,199502,1536952,.8822946548461914,93765,.5694818496704102,43,-.6696164608001709,6305,1.471849918365479,54472,.1297616958618164,755837,365057,.6990184783935547,17568,1.762478828430176,17073,-.9556512832641602,30266136,.3534278869628906,9231282,5953774,.3330755233764648,12906,2.641073703765869,44629,22491,.1455764770507813,167182,24664,.2222423553466797,5333,.879112720489502,335906,.3442373275756836,1985482,.1467657089233398,14910,-.2074346542358398,320208,.4503164291381836,15173113,129351,-1.130259513854981,112439,.6768016815185547,19375,matched (3),16808306,.84694231,1666675.1,2975717.3
201104,902140,615,4768,22327766,04,0,0,1,0,0,0,0,0,0,0,0,705520,.4141550064086914,18329348,.0238246917724609,383833,2.021780014038086,1310871,-.2678413391113281,8201,-1.767277717590332,5069324,.1752805709838867,28789,1.057608604431152,34534,1.302085876464844,4092638,.1987428665161133,167209,-.3521690368652344,43369,-.6460552215576172,105726,1.276494979858398,70207,2074578,-.1997337341308594,921556,5544434,1671,-1.350657939910889,65466,-.772364616394043,70657,1.061369895935059,1172618,-.0538187026977539,1165744,-.0186614990234375,109066,561965,.0865020751953125,44500,1901945,.2130756378173828,11972,-2.058221817016602,291,1.912122964859009,11546,.6049966812133789,56776,.0414266586303711,667547,385973,.0557136535644531,21712,.2117862701416016,42099,.9025259017944336,29517504,-.0250453948974609,7186430,5935776,-.0030279159545898,3281,-1.36954402923584,29563,13950,-.477635383605957,336707,27106,.0944099426269531,8551,.4721345901489258,327502,-.0253372192382813,1584254,-.2257480621337891,67559,1.510969161987305,253811,-.2323808670043945,17361928,489064,1.329963684082031,97977,-.1376781463623047,50995,matched (3),30727190,.84694231,2117947.8,3250044.5
201105,902140,616,4768,18021874,05,0,0,0,1,0,0,0,0,0,0,0,346807,-.7101659774780273,13320929,-.3191680908203125,234970,-.4907493591308594,1636126,.2216396331787109,43334,1.664681434631348,5486519,.0790863037109375,66198,.8326568603515625,27333,-.2338495254516602,2648398,-.4352340698242188,80512,-.7308378219604492,38409,-.1214523315429688,38037,-1.022292137145996,56025,580439,-1.273728370666504,807620,3806407,1235,-.3023509979248047,155945,.8679723739624023,24060,-1.077285766601563,1116151,-.0493526458740234,1839863,.4563312530517578,137494,369240,-.4199924468994141,25221,1011331,-.6316099166870117,87808,1.992582321166992,2128,1.989614486694336,32872,1.046281814575195,70729,.2197418212890625,612820,543644,.3425273895263672,11074,-.6732654571533203,31223,-.2988691329956055,24848176,-.1721992492675781,8562401,3588571,-.5032434463500977,4479,.3112516403198242,37792,12231,-.1315059661865234,326059,47607,.5632247924804688,21644,.928680419921875,253682,-.2554121017456055,1453070,-.0864353179931641,49417,-.3127059936523438,147585,-.5421857833862305,14533515,332121,-.386993408203125,103826,.0579833984375,21335,matched (3),18769378,.84694231,1154227.5,2722008
201106,902140,617,4768,12688312,06,0,0,0,0,1,0,0,0,0,0,0,474062,.3125696182250977,6903425,-.657318115234375,9675,-3.189912796020508,1424944,-.1381988525390625,2713,-2.770882606506348,4760291,-.1419849395751953,77016,.151362419128418,10993,-.9108362197875977,3742273,.3457374572753906,159975,.6866111755371094,28244,-.3074111938476563,13520,-1.034388542175293,30713,14722,-3.674441337585449,507692,3381671,1503,.1963920593261719,44790,-1.247517585754395,23161,-.038081169128418,674553,-.5035915374755859,778261,-.8603839874267578,64314,595341,.477686882019043,1416,1172483,.1478567123413086,20618,-1.44898796081543,188,-2.426495552062988,30429,-.0772247314453125,29222,-.8839340209960938,284005,327647,-.5063581466674805,3524,-1.145003318786621,43491,.3313989639282227,33502200,.2988262176513672,10009093,8314891,.8402938842773438,5120,.1337547302246094,21453,328,-3.618715286254883,209155,21172,-.8102998733520508,10615,-.7124605178833008,173876,-.3777399063110352,891273,-.4887828826904297,24026,-.7211580276489258,356899,.8830480575561523,13496935,2203666,1.892377853393555,107336,.0332479476928711,88975,matched (3),9899266,.84694231,1800110.4,3052455.5
201107,902140,618,4768,16760812,07,0,0,0,0,0,1,0,0,0,0,0,701869,.3924083709716797,4330898,-.466242790222168,36869,1.337825775146484,1043326,-.3117189407348633,6919,.9362163543701172,5155637,.0797824859619141,18787,-1.410847663879395,24121,.7858247756958008,2918896,-.2484874725341797,45305,-1.261600494384766,70193,.9103679656982422,30360,.808955192565918,47844,11087,-.2835702896118164,682150,2497693,4815,1.164272785186768,55316,.2110767364501953,66315,1.051945686340332,822819,.1986865997314453,647186,-.1844282150268555,141898,377563,-.4553966522216797,21330,1125712,-.0407075881958008,200,-4.635602474212647,659,1.254281520843506,38375,.2320098876953125,18591,-.4522438049316406,369279,456824,.332362174987793,39709,2.421981811523438,60778,.3346738815307617,44729664,.2890262603759766,11403290,4422068,-.6314401626586914,2528,-.7057261466979981,32165,9177,3.331441879272461,329421,20953,-.0103979110717773,2241,-1.555346012115479,207679,.1776514053344727,892224,.0010662078857422,25285,.0510740280151367,151166,-.8590736389160156,14202549,161397,-2.614010810852051,109396,.0190105438232422,19028,matched (3),25208684,.84694231,1871833.9,3095294.8
201108,902140,619,4768,21742304,08,0,0,0,0,0,0,1,0,0,0,0,423284,-.5057029724121094,7467963,.5448474884033203,287910,2.055276870727539,1206418,.1452417373657227,14052,.7084932327270508,4782057,-.0752201080322266,159229,2.137178421020508,61374,.9339027404785156,2075577,-.3409662246704102,86852,.6507883071899414,34323,-.7154331207275391,36289,.1783885955810547,115024,19435,.5613031387329102,812648,3515395,7680,.466883659362793,48164,-.1384506225585938,16442,-1.394577026367188,806320,-.0202560424804688,1408554,.7776851654052734,101247,499198,.2792654037475586,6588,852610,-.2778692245483398,277107,7.233841419219971,1487,.8137922286987305,17325,-.7952556610107422,78653,1.442368507385254,235083,432515,-.0546817779541016,3921,-2.315231323242188,63082,.0372076034545898,37160416,-.1853923797607422,9173042,5107146,.1440334320068359,941,-.9882407188415527,51549,14215,.4375972747802734,896570,19646,-.0644083023071289,3770,.5201525688171387,142186,-.3788576126098633,1341627,.4079217910766602,15907,-.4634513854980469,193034,.2444877624511719,12964519,297732,.6123266220092773,140171,.2478885650634766,37837,matched (3),25313288,.84694231,1309148.9,2791228.8
