period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c440,growth1058c440,Y1210c792,growth1210c792,Y1686c440,growth1686c440,Y1756c484,growth1756c484,Y1771c818,Y1805c218,Y1858c703,growth1858c703,Y1913c152,growth1913c152,Y1970c152,Y2120c372,growth2120c372,Y2149c372,growth2149c372,Y2156c484,growth2156c484,Y2174c152,growth2174c152,Y2459c32,Y2589c152,growth2589c152,Y2621c586,growth2621c586,Y2735c251,growth2735c251,Y2775c251,growth2775c251,Y2863c208,growth2863c208,Y2883c233,Y2904c554,Y2940c752,growth2940c752,Y3343c344,Y3453c616,growth3453c616,Y3490c208,growth3490c208,Y353c124,growth353c124,Y3550c792,growth3550c792,Y3712c152,growth3712c152,Y3772c191,growth3772c191,Y3810c208,Y3887c233,Y3973c428,growth3973c428,Y4018c381,Y4081c484,growth4081c484,Y418c484,growth418c484,Y4294c826,growth4294c826,Y4358c818,Y4447c381,Y458c233,Y4679c826,growth4679c826,Y475c826,growth475c826,Y4770c68,growth4770c68,Y4947c152,growth4947c152,Y528c428,growth528c428,Y622c757,growth622c757,Y720c586,growth720c586,Y722c300,growth722c300,Y841c124,growth841c124,Y917c818,Y91c36,_merge,x,r2,s,sf
201011,902139,610,4767,479746,11,0,0,0,0,0,0,0,0,0,1,0,7373,-.3289651870727539,333474,.940831184387207,1520537,-.0522298812866211,700599,-.0487966537475586,206735,2285,58506,-.0297212600708008,762814,-.535008430480957,22598,9219597,.1942977905273438,15240,-2.259066581726074,944,-1.46934700012207,72183,-.2249174118041992,602844,228128,-.6040592193603516,958627,-.7805805206298828,21691584,.2682819366455078,2787806,-.2808465957641602,4360851,-.2950773239135742,3045,1926,292733,-.3908414840698242,618376,869175,-.3145027160644531,186290,-.2957944869995117,44367872,-.0534286499023438,46746,-.6212139129638672,247316,.1741819381713867,136607,-.120941162109375,15374,318511,4490,-.3184938430786133,1566942,248812,-.4227132797241211,157911,-.4774112701416016,3329321,-.4715366363525391,44083,12559865,14336,426607,-.2652149200439453,65387,-.3081111907958984,14523,-1.595026969909668,4017185,.1183919906616211,551448,-.1153192520141602,101917,-.3091201782226563,217866,.3650522232055664,351662,.6842918395996094,1592933760,-.1194858551025391,426269,47019,matched (3),599913.81,.92000735,74579.297,158434.27
201012,902139,611,4767,1232836,12,0,0,0,0,0,0,0,0,0,0,1,48745,1.888778686523438,198304,-.5197639465332031,1953748,.2506856918334961,731922,.0437383651733398,257947,59621,63052,.0748300552368164,2289984,1.099286079406738,35435,8691402,-.0589971542358398,5634,-.9951038360595703,6295,1.897384643554688,109731,.4188270568847656,562949,517466,.8190374374389648,973807,.0157108306884766,23832030,.0941066741943359,2925637,.0482578277587891,7417125,.5311241149902344,1137,1222,317416,.0809526443481445,942631,1090725,.2270536422729492,86343,-.768977165222168,49897128,.1174468994140625,313049,1.901630401611328,183472,-.2986040115356445,232984,.5338611602783203,154894,508502,90417,3.002579689025879,1713408,521209,.7394533157348633,147045,-.0712928771972656,2048471,-.4856748580932617,225969,13467893,8698,770163,.5907392501831055,23450,-1.025452613830566,45963,1.152103424072266,4348527,.0792560577392578,568463,.0303888320922852,153660,.41058349609375,127608,-.534916877746582,411571,.1573114395141602,1993634688,.2243824005126953,566424,252448,matched (3),801707.94,.92000735,66578.555,154829.09
201101,902139,612,4767,971311,01,0,0,0,0,0,0,0,0,0,0,0,243747,1.609527587890625,193571,-.0241565704345703,2646383,.3034439086914063,1034727,.3462190628051758,145045,20419,46039,-.3144702911376953,1098580,-.7345266342163086,31799,8738978,.0054588317871094,35877,1.851277351379395,508,-2.517029285430908,67926,-.4796133041381836,1450436,292660,-.5699319839477539,910051,-.0677118301391602,28375316,.1744880676269531,2170746,-.2984409332275391,11253262,.4168663024902344,802,1462,591754,.6228771209716797,377007,1021829,-.0652484893798828,185330,.7638101577758789,60823948,.1980209350585938,203596,-.4302215576171875,62768,-1.072617530822754,215571,-.0776786804199219,135577,227040,272108,1.101766586303711,1361584,313602,-.508026123046875,56268,-.9606122970581055,4110706,.6965007781982422,96912,12577732,1630,598736,-.2517814636230469,56854,.8856163024902344,43293,-.0598459243774414,5354069,.2080192565917969,506084,-.1162338256835938,198043,.2537422180175781,56500,-.814723014831543,147615,-1.025374412536621,2411130624,.1901359558105469,505310,145738,matched (3),461076,.92000735,76858.969,159520.05
201102,902139,613,4767,855160,02,1,0,0,0,0,0,0,0,0,0,0,224926,-.0803594589233398,144381,-.2931890487670898,2917762,.0976238250732422,814881,-.2388515472412109,271035,2177,61120,.2833499908447266,1378865,.2272424697875977,467503,7699232,-.1266727447509766,26815,-.2911357879638672,1521,1.096641540527344,56880,-.1774749755859375,533590,260771,-.1153688430786133,734828,-.2138643264770508,26702876,-.0607471466064453,2049602,-.0574254989624023,10896461,-.0322189331054688,1665,3647,252943,-.8499259948730469,288210,775325,-.276066780090332,226724,.2015953063964844,52706420,-.1432456970214844,134443,-.4149971008300781,149276,.8663520812988281,49296,-1.475447654724121,32839,104374,105350,-.9489107131958008,1467663,492531,.4514331817626953,184994,1.190196990966797,3375197,-.1971406936645508,216265,9686477,1037,592085,-.0111703872680664,13180,-1.461786270141602,61366,.3488655090332031,3620195,-.3913288116455078,432529,-.1570529937744141,119302,-.5068264007568359,85863,.4185123443603516,113942,-.2589178085327148,2221415424,-.0819511413574219,338632,40343,matched (3),537804.75,.92000735,76833.781,159507.91
201103,902139,614,4767,1039054,03,0,1,0,0,0,0,0,0,0,0,0,225075,.0006628036499023,352753,.8933124542236328,2041993,-.3568906784057617,1201038,.3878993988037109,206510,25054,93345,.4234628677368164,1363389,-.011286735534668,137279,9708045,.2318334579467773,107629,1.389729499816895,3236,.7549700736999512,153784,.9946050643920898,334077,964091,1.30754280090332,1212117,.5004873275756836,27379384,.0250186920166016,2147335,.0465812683105469,11859239,.0846691131591797,4802,7315,347315,.3170671463012695,1366332,1459223,.6323766708374023,130933,-.5490474700927734,80315512,.4212245941162109,300899,.805633544921875,219963,.3876619338989258,367112,2.007823944091797,71213,845134,1083,-4.577553272247315,1857233,772716,.4503536224365234,244564,.2791538238525391,5124921,.4176616668701172,140685,12984478,8931,531106,-.1086883544921875,77032,1.765520095825195,50788,-.1891956329345703,4008724,.1019449234008789,632158,.3794898986816406,191105,.471165657043457,90069,.0478229522705078,50214,-.8193960189819336,2526472960,.1286792755126953,1218627,30821,matched (3),1311047.1,.92000735,97909.172,170662.09
201104,902139,615,4767,978752,04,0,0,1,0,0,0,0,0,0,0,0,447961,.6882724761962891,1473420,1.429573059082031,4517968,.7941360473632813,898699,-.2899932861328125,301019,56132,220284,.8586158752441406,763459,-.5798702239990234,125231,8685907,-.1112527847290039,128508,.1773004531860352,2947,-.0935502052307129,75531,-.7110052108764648,1920025,557928,-.5469560623168945,1277553,.0525779724121094,22124652,-.2130985260009766,3121711,.3741540908813477,9932312,-.1773147583007813,1444,1610,266166,-.2661113739013672,585148,1204122,-.1921539306640625,76600,-.5360889434814453,75265888,-.0649356842041016,249200,-.1885185241699219,144310,-.4214954376220703,237430,-.4357938766479492,32913,239752,46574,3.761307239532471,1364870,435307,-.5738601684570313,104256,-.8526277542114258,3289669,-.443328857421875,94949,10244837,2758,936745,.567448616027832,26487,-1.067566871643066,58537,.141998291015625,3907403,-.025599479675293,683849,.0785980224609375,105544,-.5936956405639648,108672,.1877584457397461,615648,2.506381988525391,2566841344,.0158519744873047,373108,37569,matched (3),724657.94,.92000735,68392,155617.5
201105,902139,616,4767,1152510,05,0,0,0,1,0,0,0,0,0,0,0,219006,-.7156076431274414,519103,-1.043238639831543,5230394,.1464242935180664,1184735,.2763261795043945,533981,37790,140665,-.4485368728637695,1633620,.7606945037841797,76194,9301204,.0684423446655273,249521,.6635522842407227,5555,.6339106559753418,125514,.50787353515625,2849854,430671,-.258885383605957,1172534,-.0857791900634766,25006276,.1224346160888672,5652018,.5936317443847656,8114930,-.20208740234375,2583,6270,279938,.0504474639892578,396079,1457389,.1908960342407227,229807,1.098643302917481,69425080,-.0807781219482422,300157,.1860494613647461,193536,.2934999465942383,477563,.6988229751586914,52025,1427582,112252,.879704475402832,2469526,747830,.5411243438720703,199933,.6511325836181641,4123356,.2258806228637695,79878,13340692,3860,295802,-1.152720451354981,20844,-.2395877838134766,77776,.2841739654541016,4403389,.1195011138916016,851639,.2194252014160156,216020,.716242790222168,152281,.3373937606811523,68754,-2.192140579223633,2352170752,-.0873374938964844,440403,91548,matched (3),1114126.8,.92000735,78407.891,160272.08
201106,902139,617,4767,1233481,06,0,0,0,0,1,0,0,0,0,0,0,527550,.8791446685791016,572289,.0975418090820313,8648686,.5029201507568359,773903,-.4258270263671875,318755,37149,313615,.8017845153808594,1370520,-.1756076812744141,216582,10197096,.0919589996337891,15801,-2.759469985961914,2386,-.8450798988342285,154749,.2093877792358398,1440423,684130,.462803840637207,1247893,.0622892379760742,32700340,.2682590484619141,11698523,.7274494171142578,7976549,-.0171995162963867,1453,7216,616684,.7897891998291016,493097,1026254,-.3507308959960938,79206,-1.065188407897949,91042416,.2710762023925781,551104,.6076183319091797,198287,.0242519378662109,563697,.1658210754394531,115694,235661,190415,.5284595489501953,1716934,868331,.1493968963623047,93430,-.7607688903808594,3567533,-.1447925567626953,120347,12508798,15712,756569,.9391031265258789,6204,-1.211872100830078,70855,-.0931968688964844,5960486,.3027772903442383,743769,-.135432243347168,264018,.2006464004516602,146231,-.0405406951904297,101651,.3910102844238281,2009314048,-.1575450897216797,992984,8029,matched (3),1491911.1,.92000735,164019.31,215503.31
201107,902139,618,4767,856048,07,0,0,0,0,0,1,0,0,0,0,0,221539,-.8676443099975586,350267,-.4909486770629883,5259756,-.4973220825195313,843508,.0861225128173828,415694,4328,243258,-.2540426254272461,938300,-.378875732421875,15429,7773872,-.2713346481323242,57631,1.293987274169922,880,-.9974517822265625,52013,-1.090311050415039,1426006,632894,-.077845573425293,820702,-.4190521240234375,31161948,-.048187255859375,19423588,.5070266723632813,8151177,.0216560363769531,1027,2224,490125,-.2296962738037109,814200,630587,-.4870195388793945,148688,.6297979354858398,60698308,-.4054088592529297,398071,-.3252935409545898,140282,-.3460607528686523,471602,-.1783819198608398,48911,97395,17217,-2.403308868408203,1232524,285610,-1.111945152282715,114918,.207005500793457,3288971,-.0812997817993164,63475,11276904,8944,363035,-.7342939376831055,12223,.6781253814697266,58133,-.1979026794433594,5894583,-.0111179351806641,768308,.0324602127075195,182841,-.3674001693725586,214425,.3827724456787109,300771,1.084803581237793,2686858240,.2905788421630859,624836,30605,matched (3),873720.13,.92000735,89073.672,165751.2
201108,902139,619,4767,944860,08,0,0,0,0,0,0,1,0,0,0,0,180783,-.2033014297485352,563684,.4757986068725586,6056243,.1410045623779297,1225835,.3738079071044922,476283,18993,156339,-.4420967102050781,1676863,.5806102752685547,50653,9580618,.2089738845825195,193690,1.212198257446289,4877,1.712363719940186,37543,-.3260068893432617,2011777,608836,-.0387535095214844,1058896,.2548227310180664,27918836,-.1098976135253906,12426646,-.4466457366943359,6971200,-.1563749313354492,31139,1373,594331,.1927757263183594,638198,921314,.3791494369506836,175716,.1670188903808594,69598168,.1368217468261719,484146,.1957569122314453,188999,.2980871200561523,413678,-.131047248840332,9294,144276,206658,2.485167503356934,1601970,1049414,1.301360130310059,247897,.7687950134277344,3576832,.0839023590087891,91470,12024139,6913,410496,.1228666305541992,73061,1.787975311279297,37550,-.4370603561401367,6278271,.0630607604980469,897073,.1549472808837891,198078,.0800437927246094,244872,.1327762603759766,418615,.3306026458740234,2155328000,-.220428466796875,724374,9748,matched (3),1471551.6,.92000735,135805.75,194891.11
