period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1157c826,growth1157c826,Y1197c152,growth1197c152,Y1231c124,growth1231c124,Y1231c218,Y1369c608,Y1428c484,growth1428c484,Y1457c344,Y1468c586,Y1492c124,growth1492c124,Y1566c251,growth1566c251,Y1626c600,growth1626c600,Y1705c381,Y1935c124,growth1935c124,Y1978c124,growth1978c124,Y2102c608,Y2104c300,growth2104c300,Y2134c428,growth2134c428,Y2271c348,growth2271c348,Y2694c807,growth2694c807,Y2744c68,growth2744c68,Y275c251,Y2784c705,growth2784c705,Y2795c300,growth2795c300,Y2857c807,growth2857c807,Y2897c620,growth2897c620,Y2957c344,Y3075c440,growth3075c440,Y3115c268,growth3115c268,Y3263c152,growth3263c152,Y3335c826,growth3335c826,Y3410c440,growth3410c440,Y3428c440,growth3428c440,Y3604c344,Y3687c600,growth3687c600,Y3833c218,Y4170c208,growth4170c208,Y4311c428,growth4311c428,Y4347c381,Y4405c620,growth4405c620,Y4542c203,Y4651c372,growth4651c372,Y4766c152,growth4766c152,Y4800c344,Y4919c208,growth4919c208,Y4976c428,growth4976c428,Y5002c428,growth5002c428,Y573c703,growth573c703,Y603c300,growth603c300,Y674c428,growth674c428,Y978c608,_merge,x,r2,s,sf
201001,722990,600,3377,1223658,01,0,0,0,0,0,0,0,0,0,0,0,240984,,1341,,1298099,,17983,2904447,860678,,416194,5321,15442828,,1029923,,52310,,2611987,438121,,1963504,,788140,663931,,60305,,2583,,149132,,6698,,271041,359438,,90884,,2220,,992584,,528908,12871,,179183,,3411532,,8073617,,445113,,459793,,2297813,9535,,96317,1178100,,138401,,1664315,2015040,,1540354,421094688,,162895,,553983,169682,,135506,,75744,,806629,,3857683,,258236,,548101,matched (3),,.91892946,,
201002,722990,601,3377,1123581,02,1,0,0,0,0,0,0,0,0,0,0,222252,-.0809183120727539,68303,3.930538177490234,1000867,-.2600336074829102,107064,1375728,767363,-.1147603988647461,319296,3314,13424788,-.1400432586669922,566462,-.5978288650512695,26895,-.6652469635009766,2631806,470587,.0714855194091797,1643877,-.17767333984375,612325,1268288,.6472454071044922,56371,-.0674610137939453,2545,-.0148205757141113,73419,-.708648681640625,6346,-.0539846420288086,187653,221170,-.4856100082397461,95297,.0474138259887695,11361,1.632679462432861,947840,-.0461263656616211,466398,9483,-.305476188659668,25451,-1.951652526855469,2162194,-.4560384750366211,8677925,.0721807479858398,397945,-.1120147705078125,259885,-.5705366134643555,2294481,11951,.2258453369140625,59160,989252,-.1747093200683594,102723,-.2981195449829102,1617539,1203850,-.5151138305664063,1201126,722392128,.5397109985351563,100733,-.4806327819824219,553709,92437,-.6073989868164063,39864,-1.223542213439941,45935,-.5001316070556641,613522,-.2736482620239258,3878705,.0054349899291992,403080,.4452610015869141,144009,matched (3),992321.19,.91892946,201833.08,345306.13
201003,722990,602,3377,1306452,03,0,1,0,0,0,0,0,0,0,0,0,1128964,1.625243186950684,59410,-.139491081237793,1051286,.0491466522216797,165176,1779899,859886,.1138401031494141,795885,40386,18661726,.3293724060058594,467857,-.1912479400634766,55985,.7331438064575195,3073695,1205234,.9404478073120117,2459169,.402766227722168,672314,1516336,.1786289215087891,45376,-.2169713973999023,12478,1.589836597442627,11175,-1.882504463195801,16307,.9437694549560547,305521,430482,.6659736633300781,179137,.6311531066894531,27551,.8858518600463867,1364985,.3647127151489258,583261,37254,1.368258476257324,52164,.7176380157470703,2905004,.2953119277954102,7944605,-.0882892608642578,473260,.1733312606811523,474069,.6011133193969727,2935256,4683,-.9368753433227539,187228,1864388,.6337385177612305,111424,.0813064575195313,2015755,1299946,.0767974853515625,2141310,726266624,.0053482055664063,76475,-.2755088806152344,1490625,166102,.5860748291015625,138298,1.243936538696289,36798,-.2217836380004883,656373,.0675134658813477,3826684,-.0135030746459961,436339,.07928466796875,941395,matched (3),1493107.9,.91892946,304821.5,414024
201004,722990,603,3377,1780471,04,0,0,1,0,0,0,0,0,0,0,0,923227,-.2011804580688477,68477,.1420354843139648,931053,-.1214532852172852,253545,2206744,1047743,.1975936889648438,472580,10893,15138594,-.2092266082763672,760713,.4860935211181641,61420,.0926513671875,3885900,1733620,.3635387420654297,1535714,-.4708280563354492,785347,954682,-.4626741409301758,42889,-.0563678741455078,18771,.4083461761474609,111812,2.303139686584473,21886,.2942533493041992,299233,251030,-.5393333435058594,137898,-.2616367340087891,28294,.026611328125,1328332,-.0272188186645508,798473,46630,.2244844436645508,138015,.9729690551757813,3108871,.0678243637084961,12748886,.4729509353637695,768203,.4844093322753906,969674,.7156076431274414,4131651,13826,1.082612037658691,190644,2381288,.2447090148925781,298014,.9837980270385742,1833717,1257578,-.0331354141235352,1771680,1215368576,.5148868560791016,137873,.5893688201904297,1424484,383527,.8368082046508789,519484,1.32342529296875,63477,.5452337265014648,791671,.1874170303344727,4196731,.0923080444335938,529451,.1934213638305664,1507839,matched (3),3203188.5,.91892946,240369.61,369157.53
201005,722990,604,3377,645426,05,0,0,0,1,0,0,0,0,0,0,0,47749,-2.961916923522949,161545,.8582859039306641,767419,-.1932830810546875,86123,2920235,1319383,.2305259704589844,370075,2836,13755048,-.0958423614501953,444895,-.5364179611206055,24084,-.936187744140625,2021665,1394757,-.2174921035766602,1605598,.0445013046264648,784008,716128,-.2875194549560547,17175,-.9151601791381836,22656,.1881113052368164,230356,.7228078842163086,9746,-.808990478515625,305870,152308,-.4996671676635742,64238,-.7639188766479492,31004,.091465950012207,870828,-.4222354888916016,806687,113212,.8870182037353516,48454,-1.046747207641602,1123694,-1.017638206481934,8431602,-.413456916809082,358497,-.7621335983276367,464000,-.7370758056640625,4025229,25586,.6154937744140625,133800,1430548,-.5095844268798828,198462,-.4065427780151367,1560494,803329,-.4481782913208008,1322894,707688192,-.5408000946044922,67306,-.7170839309692383,791887,327270,-.1586246490478516,323158,-.4746942520141602,111699,.5651302337646484,664712,-.1747922897338867,4109390,-.021031379699707,407252,-.2624082565307617,856350,matched (3),2587568.3,.91892946,238516.95,367953.88
201006,722990,605,3377,1777180,06,0,0,0,0,1,0,0,0,0,0,0,585440,2.506405830383301,178135,.0977573394775391,1580066,.7221889495849609,164267,2351313,932520,-.3470296859741211,538703,36561,17839770,.2600250244140625,833598,.6279134750366211,61699,.9407196044921875,2523830,850326,-.4948558807373047,2055014,.2467861175537109,981268,1185248,.5038480758666992,19547,.1293668746948242,28418,.226597785949707,197776,-.152491569519043,13236,.3060836791992188,337014,206612,.3049373626708984,80603,.2269401550292969,10472,-1.085411071777344,1031935,.1697463989257813,609906,132055,.153956413269043,120160,.9082098007202148,3278136,1.070653915405273,10117171,.1822481155395508,555577,.4380865097045898,771381,.5082979202270508,4881312,31869,.2195882797241211,71723,1405965,-.0173330307006836,202031,.0178232192993164,1965648,956628,.1746501922607422,1546310,1151002752,.4863853454589844,86421,.2499818801879883,822835,424893,.261052131652832,313843,-.0292491912841797,69460,-.4750566482543945,602762,-.0978317260742188,4097997,-.002777099609375,576254,.3471164703369141,791942,matched (3),3166139.8,.91892946,270470.81,389428.03
201007,722990,606,3377,2337419,07,0,0,0,0,0,1,0,0,0,0,0,1629911,1.023917198181152,245723,.3216638565063477,1352796,-.1552925109863281,123250,3453017,1651444,.5715150833129883,781086,18805,18748828,.0496997833251953,1058124,.2385015487670898,95919,.4412364959716797,3255208,1122943,.2780885696411133,1432093,-.3611459732055664,1472230,783189,-.414332389831543,56842,1.067453384399414,18183,-.4465351104736328,302860,.4261360168457031,23574,.5772037506103516,250427,503446,.8906335830688477,189846,.8566780090332031,5425,-.6576871871948242,1685755,.4907779693603516,649163,136372,.0321683883666992,125681,.044921875,4309885,.2736358642578125,13698384,.3030433654785156,516769,-.0724105834960938,1719901,.8018398284912109,3771371,27850,-.1347999572753906,25952,2304433,.494110107421875,150571,-.2939863204956055,1012212,1374872,.362701416015625,1558723,449717248,-.9397697448730469,149168,.545842170715332,2043915,150859,-1.035491943359375,343235,.0895233154296875,45655,-.4196376800537109,540671,-.1087112426757813,4841494,.1667251586914063,636089,.0987892150878906,253600,matched (3),3007457.3,.91892946,256998.89,380194.91
201008,722990,607,3377,1704013,08,0,0,0,0,0,0,1,0,0,0,0,385790,-1.440987586975098,396202,.4777193069458008,757154,-.5803623199462891,150147,3304932,1404754,-.1617879867553711,521721,14596,18736376,-.0006637573242188,835066,-.2367420196533203,45303,-.7501306533813477,2130081,593574,-.6375465393066406,1832490,.2465391159057617,483279,852739,.0850791931152344,30583,-.6198310852050781,3957,-1.525001525878906,58837,-1.638500213623047,42972,.6004047393798828,196827,249785,-.7008752822875977,78671,-.8809385299682617,4707,-.1419668197631836,1458305,-.1449384689331055,535118,165032,.1907529830932617,69538,-.5918731689453125,6933584,.4754657745361328,8967887,-.4236278533935547,750525,.3731765747070313,829426,-.7292881011962891,3763295,5675,-1.590763092041016,21092,1242538,-.6176786422729492,162970,.079132080078125,928703,1004704,-.3136672973632813,1402471,300743040,-.4023628234863281,204973,.317805290222168,1605605,149840,-.0067777633666992,95519,-1.279090881347656,132604,1.066253662109375,400330,-.3005218505859375,5548656,.1363325119018555,604053,-.0516757965087891,533465,matched (3),2548102.5,.91892946,261306.11,383119.59
201009,722990,608,3377,2233985,09,0,0,0,0,0,0,0,1,0,0,0,910863,.8590993881225586,29098,-2.611255645751953,782478,.0328989028930664,3192,1832484,1058827,-.2827005386352539,544580,0,17681284,-.0579605102539063,1277987,.4255304336547852,45978,.0147895812988281,3982590,202387,-1.075980186462402,2021115,.0979738235473633,402159,773616,-.0973777770996094,31008,.0138015747070313,11550,1.071199417114258,73947,.2285776138305664,31202,-.3200674057006836,127076,340118,.3086919784545898,103099,.2704143524169922,4981,.05657958984375,1365619,-.0656671524047852,558177,136641,-.1887826919555664,83835,.1869773864746094,4785944,-.3706932067871094,8263829,-.0817623138427734,836563,.1085290908813477,1166654,.341160774230957,2963330,22991,1.399032592773438,53877,1467595,.1664695739746094,298554,.6053838729858398,1208494,1024625,.0196332931518555,1420970,381973088,.2390937805175781,76788,-.9818296432495117,1609106,174732,.1536855697631836,469245,1.591799736022949,493964,1.315095901489258,549320,.3163919448852539,5419672,-.0235204696655273,689920,.1329135894775391,654429,matched (3),1773016.8,.91892946,223711.73,358534.06
201010,722990,609,3377,2242579,10,0,0,0,0,0,0,0,0,1,0,0,1736889,.6454582214355469,81754,1.033045768737793,1354102,.5484285354614258,17401,2865044,1651226,.4443569183349609,715731,28812,18523124,.0465145111083984,1304025,.0201692581176758,104007,.8162956237792969,2977641,301980,.4001798629760742,2821382,.3335771560668945,502320,1097641,.3498430252075195,86413,1.024892807006836,14356,.2174825668334961,96346,.2645978927612305,27690,-.119410514831543,162109,197613,-.5429821014404297,154493,.4044589996337891,6598,.2811365127563477,1529547,.1133642196655273,651133,142126,.0393571853637695,104908,.2242326736450195,5550124,.148137092590332,8168809,-.0115652084350586,583967,-.3594579696655273,730880,-.4676456451416016,3356077,42629,.617431640625,90360,1453376,-.0097360610961914,475301,.4649982452392578,1347940,2043042,.6901130676269531,1948429,595773504,.4445114135742188,88213,.1387052536010742,1492219,234317,.293421745300293,285834,-.4957132339477539,107328,-1.526573181152344,724895,.2773456573486328,5299051,-.0225076675415039,634012,-.084507942199707,1053300,matched (3),2370799.3,.91892946,275845.5,393179.94
