period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1325c792,growth1325c792,Y1538c608,Y1590c620,growth1590c620,Y1720c352,growth1720c352,Y1793c554,Y1818c688,growth1818c688,Y1903c251,growth1903c251,Y1986c826,growth1986c826,Y2135c124,growth2135c124,Y2136c268,growth2136c268,Y2159c203,Y2510c616,growth2510c616,Y2557c442,Y2714c68,growth2714c68,Y2716c300,growth2716c300,Y3129c208,growth3129c208,Y3134c440,growth3134c440,Y3470c208,growth3470c208,Y3534c616,growth3534c616,Y3614c152,growth3614c152,Y3681c498,Y3701c428,growth3701c428,Y3714c600,growth3714c600,Y3743c300,growth3743c300,Y3743c826,growth3743c826,Y4060c152,growth4060c152,Y4156c616,growth4156c616,Y428c344,Y4321c246,growth4321c246,Y4540c757,growth4540c757,Y4637c268,growth4637c268,Y4638c32,Y465c620,growth465c620,Y4699c428,Y4724c191,growth4724c191,Y473c124,growth473c124,Y4754c688,growth4754c688,Y4831c372,Y4837c705,growth4837c705,Y4840c616,growth4840c616,Y491c440,growth491c440,Y4928c372,growth4928c372,Y4957c32,Y4975c498,Y527c246,growth527c246,Y613c208,growth613c208,Y614c807,growth614c807,Y646c203,Y738c826,growth738c826,Y885c703,growth885c703,_merge,x,r2,s,sf
201011,841690,610,3862,1265385,11,0,0,0,0,0,0,0,0,0,1,0,726887,-.65118408203125,695437,632549,-.1985645294189453,54750,.1269826889038086,9533,31031,-.00115966796875,49750836,.1615962982177734,4429856,.0388956069946289,553415,-.0919160842895508,2709,-.5981502532958984,46572,1860057,.0773687362670898,1324,15541,1.200610160827637,54068,-.277705192565918,1151272,.090937614440918,267724,-.2561206817626953,11141,.0096502304077148,401675,.4149627685546875,47394,.1860752105712891,10823,35331,.0494909286499023,301874,.3892173767089844,234760,-.1515932083129883,2905104,.1126527786254883,233872,-.5623321533203125,2937108,.233515739440918,2039682,336493,.1753978729248047,42229,.3969650268554688,2239,3.602910995483398,1804431,388741,.3971977233886719,5249,30925,.4138269424438477,2246308,.2778377532958984,723959,2.170071601867676,136898,28528,2.716427803039551,27444,-.1397428512573242,337031,-.3484020233154297,1715561,.5681371688842773,17896210,12212,342965,.1162776947021484,107467,-.3386516571044922,7786,-1.499958992004395,495475,742237,.1830005645751953,198865,.3556728363037109,matched (3),2157662,.83836871,184178.23,407398.13
201012,841690,611,3862,1957675,12,0,0,0,0,0,0,0,0,0,0,1,1069856,.3865079879760742,1050857,709161,.1143245697021484,43760,-.2240571975708008,4187,39263,.2352962493896484,58260948,.1579036712646484,4602259,.0381803512573242,778580,.3413629531860352,20370,2.017483711242676,233174,1846281,-.0074338912963867,3199,22905,.387873649597168,715068,2.582135200500488,870399,-.2796707153320313,301126,.1175718307495117,20013,.5857505798339844,583385,.373204231262207,95610,.7017822265625,11919,36259,.0259265899658203,374795,.2163686752319336,345452,.3862905502319336,2237152,-.261265754699707,421511,.5890722274780273,2499010,-.1615304946899414,2142835,348730,.0357208251953125,14858,-1.04456901550293,5326,.8665709495544434,1805214,694450,.5802068710327148,19506,14427,-.7624635696411133,2420713,.0747737884521484,1081660,.4015178680419922,45441,53769,.6338109970092773,43885,.4694252014160156,543912,.4786128997802734,1945643,.1258525848388672,20911984,1630,373753,.0859670639038086,84387,-.2417707443237305,122164,2.753037452697754,555521,460440,-.4774856567382813,119879,-.5061435699462891,matched (3),2870279,.83836871,280478.66,459042.34
201101,841690,612,3862,1857796,01,0,0,0,0,0,0,0,0,0,0,0,853165,-.2263259887695313,646957,656151,-.0776920318603516,32265,-.3047370910644531,3057,23574,-.5101385116577148,58150160,-.0019016265869141,5993761,.2641716003417969,578631,-.2968063354492188,2453,-2.116751670837402,38637,1424657,-.2592430114746094,1122,7873,-1.067915916442871,327828,-.7798891067504883,867705,-.0031003952026367,204166,-.3885955810546875,8470,-.8598518371582031,336904,-.5490493774414063,41840,-.8264245986938477,15645,26986,-.2953691482543945,157399,-.8675947189331055,179558,-.6543560028076172,4308575,.6554031372070313,285177,-.3907356262207031,2162091,-.1448192596435547,2140555,235336,-.3932838439941406,10495,-.3476390838623047,2971,-.5837016105651856,1992523,1070105,.4323921203613281,9058,9375,-.4310550689697266,1446768,-.5147294998168945,646670,-.5144166946411133,1968,7292,-1.997919082641602,153,-5.658890247344971,422221,-.2532587051391602,1679735,-.1469564437866211,7784134,1127,266706,-.3374481201171875,53574,-.4543495178222656,31250,-1.363345146179199,464273,636115,.3231964111328125,72318,-.5054092407226563,matched (3),2001378.9,.83836871,273415.53,454761.09
201102,841690,613,3862,1491588,02,1,0,0,0,0,0,0,0,0,0,0,1179644,.3240146636962891,313541,1048343,.4685754776000977,60126,.6224594116210938,2495,14435,-.4904890060424805,59460424,.0222816467285156,4559585,-.2734880447387695,408743,-.3475780487060547,4004,.4899816513061523,30301,2018790,.3485679626464844,723,1908,-1.417383193969727,164539,-.6893405914306641,657527,-.2773656845092773,250917,.2061891555786133,6879,-.2080574035644531,325001,-.0359697341918945,21709,-.6561260223388672,8298,46072,.5348873138427734,69156,-.8224191665649414,191304,.0633659362792969,3532540,-.1985893249511719,187882,-.4172964096069336,3178772,.3854198455810547,1482226,611994,.9557085037231445,8598,-.1993694305419922,225,-2.580553531646729,1468229,827656,-.2569141387939453,3016,12361,.2764997482299805,1431845,-.0103683471679688,114367,-1.732422828674316,53875,23200,1.157374382019043,38278,5.522192478179932,486304,.1413049697875977,981516,-.53729248046875,6176266,1005,202715,-.2743463516235352,66252,.21240234375,186200,1.784802436828613,366912,534314,-.1743955612182617,126431,.5586233139038086,matched (3),2239358.5,.83836871,238654.2,434749.84
201103,841690,614,3862,1490738,03,0,1,0,0,0,0,0,0,0,0,0,1080373,-.0879068374633789,889488,923823,-.1264457702636719,51174,-.1612110137939453,4305,49244,1.227131843566895,44423252,-.2915477752685547,3292295,-.3256464004516602,866637,.7515335083007813,781,-1.63447380065918,47737,1303501,-.4374446868896484,784,1140,-.5150275230407715,50690,-1.177419662475586,702106,.0655984878540039,426345,.5301265716552734,4634,-.3950529098510742,163702,-.6857805252075195,233984,2.377525329589844,5167,35343,-.2651052474975586,466068,1.907966613769531,254110,.2839031219482422,2242408,-.4544668197631836,307069,.4912586212158203,2420733,-.2724246978759766,1409934,421370,-.3732118606567383,27527,1.163637161254883,227,.0088496208190918,774395,827601,-.0000667572021484,8654,26485,.7620325088500977,2915675,.7111368179321289,700588,1.812506675720215,11237,10196,-.8221569061279297,11727,-1.182981491088867,443270,-.0926551818847656,1361414,.3271808624267578,21093256,3709,444454,.7850456237792969,68119,.0277900695800781,26631,-1.944746017456055,544589,478443,-.1104469299316406,78576,-.4756298065185547,matched (3),1769383.1,.83836871,213111.88,421269.84
201104,841690,615,3862,2123576,04,0,0,1,0,0,0,0,0,0,0,0,1359791,.2300252914428711,854352,1193501,.2561254501342773,36065,-.3499088287353516,10108,32373,-.4194622039794922,37624428,-.1661090850830078,3712218,.1200447082519531,841593,-.0293235778808594,26720,3.5325927734375,32408,1433934,.095367431640625,592,1424,.2224416732788086,785486,2.740573883056641,740528,.053278923034668,171601,-.9100770950317383,5965,.2524890899658203,467615,1.04959774017334,640704,1.007315635681152,8484,30279,-.1546459197998047,206306,-.8149709701538086,229368,-.1024389266967773,3247495,.3703336715698242,434957,.348175048828125,1762498,-.3173389434814453,1693224,598592,.351069450378418,30405,.0994396209716797,9372,3.720531940460205,1187011,914439,.0997791290283203,15366,11786,-.8096656799316406,2924897,.0031585693359375,1849456,.9707269668579102,36512,9796,-.0400209426879883,338416,3.362381935119629,660787,.3992528915405273,1008751,-.2998113632202148,6352139,4426,170603,-.9575071334838867,104661,.4294710159301758,46145,.549713134765625,505643,563387,.1634302139282227,156450,.6886701583862305,matched (3),1312476.4,.83836871,393327.34,535497.88
201105,841690,616,3862,1774145,05,0,0,0,1,0,0,0,0,0,0,0,1244763,-.0883865356445313,587564,1118875,-.0645666122436523,57730,.470454216003418,5818,42002,.2603921890258789,48882960,.2617740631103516,4150017,.1114826202392578,648420,-.2607583999633789,6706,-1.382410049438477,109358,1943303,.3039674758911133,832,2580,.5943193435668945,14118,-4.018851280212402,817432,.0988044738769531,550132,1.164986610412598,7863,.2762584686279297,466035,-.0033845901489258,122839,-1.651693344116211,6191,26391,-.1374311447143555,107575,-.6511726379394531,146849,-.4459228515625,3526712,.0824813842773438,265536,-.4934968948364258,1815090,.0294036865234375,1362378,486272,-.2078123092651367,33528,.0977745056152344,4087,-.8299160003662109,1455081,1604100,.5620079040527344,2645,10506,-.1149663925170898,2034342,-.3630867004394531,1027329,-.5879287719726563,4878,11086,.1237087249755859,16498,-3.021036148071289,516903,-.2455768585205078,823155,-.2033233642578125,9112707,4837,250583,.3844509124755859,95943,-.0869722366333008,49299,.0661153793334961,631299,1092358,.6621274948120117,131726,-.1720132827758789,matched (3),651762.75,.83836871,245723.42,438670.28
201106,841690,617,3862,1932494,06,0,0,0,0,1,0,0,0,0,0,0,1518957,.1990795135498047,609693,1339671,.1801004409790039,58958,.0210485458374023,12587,34803,-.188014030456543,59604132,.1982975006103516,4473110,.0749721527099609,675782,.0413322448730469,17420,.9546165466308594,132772,2199392,.1237916946411133,791,11617,1.504680156707764,67264,1.561174392700195,845554,.0338239669799805,462336,-.1738662719726563,20158,.9414339065551758,315197,-.3910627365112305,1197603,2.277202606201172,5204,77845,1.081696510314941,259982,.8824243545532227,224280,.4234895706176758,4136158,.1594018936157227,633790,.8699674606323242,2212962,.1981964111328125,2502567,385570,-.2320451736450195,34999,.042938232421875,27756,1.915640830993652,2422900,2181314,.3073644638061523,12178,30262,1.05794620513916,1678998,-.1919755935668945,771323,-.2866106033325195,34961,45507,1.412182807922363,21643,.2714424133300781,423377,-.1995916366577148,872091,.0577487945556641,9553438,3322,159779,-.4499979019165039,155203,.4809789657592773,89350,.5946569442749023,653503,830774,-.2737369537353516,223100,.5268964767456055,matched (3),2663518,.83836871,265857.09,450257.25
201107,841690,618,3862,1274630,07,0,0,0,0,0,1,0,0,0,0,0,1589933,.0456676483154297,854389,1191170,-.117487907409668,25999,-.8187675476074219,5508,21867,-.4647245407104492,56928980,-.0459213256835938,4229853,-.0559167861938477,619823,-.0864362716674805,368,-3.857291221618652,124953,1284884,-.5375118255615234,1198,16010,.320744514465332,2425,-3.322793960571289,437349,-.6592597961425781,200217,-.8368902206420898,5263,-1.342900276184082,149924,-.7430696487426758,24380,-3.894313812255859,5439,24403,-1.160013198852539,283849,.0878305435180664,230492,.0273208618164063,3754371,-.0968465805053711,253612,-.9159126281738281,1324987,-.5129289627075195,2049363,292997,-.2745609283447266,10798,-1.175958633422852,7487,-1.310283660888672,2275454,2442953,.1132802963256836,20558,1099,-3.315492153167725,2331469,.3283014297485352,296201,-.9570684432983398,18047,29281,-.4409275054931641,13385,-.4805469512939453,211158,-.6956567764282227,1241018,.3527936935424805,4238195,13182,145350,-.0946474075317383,146406,-.058349609375,39421,-.8182621002197266,489412,665145,-.2223520278930664,139687,-.4682159423828125,matched (3),2361148.8,.83836871,244939.11,438231.41
201108,841690,619,3862,1548732,08,0,0,0,0,0,0,1,0,0,0,0,1203904,-.2781219482421875,529951,1067760,-.1093730926513672,29694,.1328868865966797,8322,23677,.0795249938964844,60664880,.0635604858398438,4018190,-.0513362884521484,817146,.2763833999633789,9639,3.26548957824707,40648,942043,-.3103733062744141,2252,6102,-.9645977020263672,70897,3.375396728515625,1153564,.969879150390625,320818,.4714717864990234,6411,.1973142623901367,308215,.7206687927246094,70899,1.067493438720703,7080,29146,.1776113510131836,165495,-.5395021438598633,288782,.2254562377929688,4052475,.0764064788818359,676098,.9805326461791992,2494779,.6327972412109375,2298396,425743,.3736734390258789,46282,1.455391883850098,5540,-.301173210144043,2152946,1411959,-.5482292175292969,17567,11457,2.344200611114502,2142635,-.0844621658325195,205254,-.366790771484375,22889,17676,-.504730224609375,57636,1.460012435913086,293990,.3309392929077148,1069113,-.1491031646728516,8057781,464,333001,.8290004730224609,121500,-.1864700317382813,46423,.1634960174560547,870376,783944,.164332389831543,96184,-.3731412887573242,matched (3),2674090.8,.83836871,241908.3,436544.66
