period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1168c300,growth1168c300,Y1198c440,growth1198c440,Y1223c36,Y1377c348,growth1377c348,Y1428c792,growth1428c792,Y144c124,growth144c124,Y144c484,Y1693c440,growth1693c440,Y1759c124,growth1759c124,Y1825c218,Y183c440,growth183c440,Y1889c586,growth1889c586,Y1900c124,growth1900c124,Y1909c124,growth1909c124,Y1914c124,growth1914c124,Y1960c203,Y1982c484,growth1982c484,Y223c124,growth223c124,Y2617c218,Y2741c36,Y2768c251,growth2768c251,Y2805c381,Y2882c246,growth2882c246,Y3011c344,Y3199c208,growth3199c208,Y3477c616,growth3477c616,Y3513c124,Y3589c233,Y3748c124,growth3748c124,Y3754c124,growth3754c124,Y3754c36,Y3754c586,growth3754c586,Y3771c752,growth3771c752,Y3771c826,growth3771c826,Y3803c484,growth3803c484,Y3845c484,growth3845c484,Y4093c484,growth4093c484,Y4321c68,growth4321c68,Y4480c218,Y451c484,growth451c484,Y4584c376,Y4632c152,growth4632c152,Y4638c484,growth4638c484,Y4690c32,Y482c124,growth482c124,Y4918c124,growth4918c124,Y4944c484,growth4944c484,Y4952c752,growth4952c752,Y4961c124,growth4961c124,Y612c620,growth612c620,_merge,x,r2,s,sf
201011,401699,610,1859,21459032,11,0,0,0,0,0,0,0,0,0,1,0,37288,-.8027553558349609,17253,-.9464244842529297,345099,2331038,-.0376529693603516,305557,-.7893047332763672,22875352,-.1120109558105469,18673502,154161,.3146982192993164,28134460,-.0304126739501953,236254,7089677,-.1678199768066406,20939,-1.349819183349609,11016716,.0642585754394531,33775960,-.0093727111816406,2494378,-.3981685638427734,555838,12038987,-.2256889343261719,4351548,.3290443420410156,112956,2521710,99056080,.0398406982421875,7421483,137287,.0097570419311523,16036662,24331,-.6021413803100586,1734,-1.159937858581543,417473,92954,3924152,-.063471794128418,7634664,.0132675170898438,8434844,151589,-.0965871810913086,268430,-.1225976943969727,2006437,-.1062002182006836,3153984,.0651378631591797,368248,-.2822713851928711,1034975,.5411872863769531,3504,-.0514507293701172,518719,15122643,-.0197257995605469,5102000,148582,.2593059539794922,1206782,-.9467802047729492,89465,514864,.1305255889892578,2726524,-.0572872161865234,8888908,.125335693359375,3511296,-.1675729751586914,4464790,-.4573278427124023,271703,-.4015159606933594,matched (3),26551184,.89543676,1004644.6,1869675
201012,401699,611,1859,21701320,12,0,0,0,0,0,0,0,0,0,0,1,52107,.3346271514892578,9080,-.641911506652832,78190,1716925,-.3057785034179688,670424,.7857742309570313,20378292,-.1155891418457031,19273508,146497,-.0509929656982422,26176588,-.0721302032470703,123905,8132532,.137232780456543,186794,2.188393592834473,7633097,-.3669195175170898,30605270,-.0985774993896484,2846985,.1322202682495117,731155,10441218,-.1423892974853516,4276402,-.0174198150634766,110426,2054389,121733816,.2061500549316406,6670544,331718,.8822116851806641,18499582,41533,.5347375869750977,37369,3.07041072845459,57469,59351,3726260,-.0517454147338867,7894510,.0334692001342773,5484341,191699,.2347536087036133,296055,.0979557037353516,1767988,-.1265182495117188,2157685,-.3796310424804688,488610,.2828073501586914,445808,-.8422441482543945,2428,-.3668370246887207,558552,15138072,.0010204315185547,7288000,311237,.7394170761108398,1810021,.4053812026977539,119305,560998,.0858144760131836,2832699,.038203239440918,8718308,-.019378662109375,3288459,-.0655660629272461,5056927,.124537467956543,389606,.3604269027709961,matched (3),26098366,.89543676,1197718,1980126.8
201101,401699,612,1859,25629828,01,0,0,0,0,0,0,0,0,0,0,0,55471,.06256103515625,46866,1.641218185424805,322802,2706816,.4552383422851563,483998,-.3258295059204102,29042288,.3542823791503906,31084280,141350,-.0357656478881836,27205250,.0385456085205078,376469,8508250,.0451641082763672,34812,-1.680044174194336,9133523,.1794576644897461,33242324,.0826511383056641,4160558,.3793888092041016,593037,10072450,-.0359573364257813,3253986,-.2732315063476563,152591,2526704,128842448,.0567531585693359,9424505,816683,.900965690612793,18772092,56139,.3013420104980469,1514,-3.2060866355896,643595,11623,3292868,-.1236457824707031,8167138,.0339508056640625,7122529,298231,.4419412612915039,381214,.2528152465820313,2300048,.263087272644043,2562432,.1719217300415039,376635,-.2602872848510742,892708,.694371223449707,4344,.5817275047302246,780516,12798367,-.1678962707519531,7608000,122593,-.9316844940185547,2662930,.3860883712768555,154287,596051,.0606088638305664,2264545,-.2238569259643555,10066515,.1437892913818359,3888107,.1675033569335938,4454631,-.1268148422241211,387141,-.0063467025756836,matched (3),24894002,.89543676,1190046.5,1975496
201102,401699,613,1859,20854216,02,1,0,0,0,0,0,0,0,0,0,0,100279,.5920963287353516,43606,-.0720977783203125,131749,2493358,-.0821428298950195,399276,-.1924276351928711,25158042,-.1435756683349609,32534120,146117,.0331687927246094,25005332,-.0843219757080078,292208,7887301,-.0757818222045898,29462,-.1668615341186523,7152614,-.2444734573364258,32678804,-.0170974731445313,2997018,-.3280315399169922,617167,11838235,.161529541015625,3743945,.1402597427368164,189799,2376508,98235632,-.2712211608886719,6217406,308740,-.9727516174316406,5605570,12202,-1.526230812072754,9727,1.860150814056397,127419,89810,3160140,-.0411434173583984,7006911,-.1532220840454102,6667513,210572,-.3480405807495117,173097,-.7895088195800781,1816623,-.2359504699707031,3682712,.3626918792724609,575242,.4235143661499023,727445,-.2047214508056641,4989,.1384401321411133,719481,12644638,-.0120849609375,8341000,13455,-2.209519386291504,1935059,-.3192892074584961,62442,375664,-.4616308212280273,2078321,-.0858135223388672,8005731,-.2290573120117188,3461427,-.116241455078125,4570716,.0257253646850586,455411,.1624107360839844,matched (3),21436210,.89543676,1321420.8,2057310.5
201103,401699,614,1859,19839736,03,0,1,0,0,0,0,0,0,0,0,0,95431,-.0495529174804688,32634,-.2898397445678711,78582,2199145,-.1255617141723633,340393,-.1595525741577148,15080986,-.5117416381835938,23544070,173303,.1706333160400391,28114164,.1171855926513672,282410,9201083,.1540670394897461,13774,-.7603187561035156,5036102,-.3508453369140625,26555528,-.207489013671875,2620625,-.1342048645019531,378491,10885892,-.0838661193847656,4570161,.1994085311889648,169746,1613685,71694272,-.3149585723876953,4182383,150657,-.717494010925293,10671323,77316,1.846301078796387,4842,-.6975774765014648,119281,43887,3454227,.0889825820922852,6927605,-.011383056640625,6357784,164641,-.2460603713989258,236527,.3122100830078125,1734479,-.0462722778320313,2065166,-.5784387588500977,352506,-.4897232055664063,443889,-.4939632415771484,2342,-.756230354309082,899979,14339042,.1257534027099609,6943000,52482,1.361119270324707,1348039,-.3614864349365234,188832,972159,.9508237838745117,2137020,.0278520584106445,7743422,-.0333137512207031,3112034,-.1064043045043945,3841154,-.1738967895507813,581460,.2443418502807617,matched (3),21238654,.89543676,888859.19,1810095.1
201104,401699,615,1859,24877954,04,0,0,1,0,0,0,0,0,0,0,0,111666,.1571083068847656,64975,.6886472702026367,290748,1667502,-.2767419815063477,361281,.0595550537109375,18462032,.2022800445556641,23341802,100048,-.5493907928466797,29564862,.0503120422363281,353076,10712221,.1520633697509766,109343,2.071707725524902,8105398,.4758977890014648,37924928,.3563709259033203,3199471,.1995725631713867,403798,8861453,-.2057571411132813,5833007,.2439842224121094,37827,1925685,43177248,-.5070972442626953,4562979,114973,-.2703084945678711,11224945,45276,-.5351238250732422,7950,.4958438873291016,194312,114872,3522433,.0195531845092773,6796457,-.0191125869750977,6415971,273244,.5065984725952148,271091,.1363925933837891,2364469,.3098468780517578,2956707,.3588657379150391,426576,.1907224655151367,668662,.4097042083740234,10330,1.484046936035156,355144,15181234,.0570735931396484,6114000,105027,.6937475204467773,1903116,.3448419570922852,66053,684580,-.3507137298583984,3145649,.3866081237792969,7662813,-.0104646682739258,3292978,.0565156936645508,5772025,.4072504043579102,741734,.2434482574462891,matched (3),26046880,.89543676,958474.5,1845276.9
201105,401699,616,1859,26772640,05,0,0,0,1,0,0,0,0,0,0,0,62054,-.5875072479248047,20247,-1.165995597839356,74691,6167488,1.307964324951172,455599,.2319574356079102,23735712,.2512645721435547,21024904,134689,.2973175048828125,30898964,.0441360473632813,418634,12515743,.1556034088134766,185504,.5285863876342773,9720072,.1816635131835938,48981476,.2558345794677734,3630888,.1264925003051758,423042,12694688,.3594722747802734,6002450,.0286350250244141,77726,2053124,68589624,.4628276824951172,6309903,712464,1.824031829833984,12856892,78439,.5495443344116211,16619,.7373743057250977,231221,130234,3654326,.0367603302001953,7543158,.1042394638061523,6423585,245726,-.1061487197875977,338218,.2212362289428711,2479088,.0473365783691406,4230032,.3581333160400391,667822,.4482307434082031,904388,.3019790649414063,6593,-.4490432739257813,810020,22797982,.4066123962402344,10988000,155244,.3907804489135742,1830312,-.039006233215332,136139,640623,-.0663642883300781,3698089,.1617956161499023,9835462,.2496156692504883,3853319,.1571426391601563,5315014,-.0824880599975586,758427,.0222558975219727,matched (3),24394496,.89543676,1141023.5,1946357.8
201106,401699,617,1859,26438100,06,0,0,0,0,1,0,0,0,0,0,0,16071,-1.350988388061523,41065,.7071495056152344,199265,2585538,-.8693580627441406,190815,-.8703088760375977,31733276,.2903861999511719,13543193,149660,.1053981781005859,33304802,.0749797821044922,405272,13191799,.0526065826416016,126917,-.3795433044433594,9498888,-.0230197906494141,48173808,-.0166263580322266,3176652,-.1336498260498047,298537,6617766,-.6514244079589844,5137205,-.1556587219238281,121745,1770956,105502024,.4305896759033203,14248436,1170809,.4967212677001953,14768324,79897,.0184164047241211,3637,-1.519387245178223,271550,50919,3409531,-.0693368911743164,8122911,.0740480422973633,7722523,254528,.0351943969726563,280796,-.1860628128051758,2227190,-.1071500778198242,3539743,-.1781549453735352,417036,-.4708490371704102,798448,-.1245880126953125,38108,1.754415512084961,384125,26491784,.1501617431640625,7312000,117771,-.2762556076049805,3698800,.703521728515625,116395,707345,.0990772247314453,4419170,.178135871887207,9699133,-.0139579772949219,3367914,-.1346416473388672,9866493,.6186084747314453,609801,-.218113899230957,matched (3),30968220,.89543676,1043590.9,1890887.5
201107,401699,618,1859,27417648,07,0,0,0,0,0,1,0,0,0,0,0,82774,1.639098167419434,61215,.399235725402832,368905,1375820,-.6308832168579102,333523,.5584077835083008,28105110,-.1214141845703125,11785696,96701,-.4367427825927734,34186916,.0261402130126953,337650,13468812,.020782470703125,42262,-1.099644660949707,10094661,.0608329772949219,39642132,-.1949234008789063,3747893,.1653661727905273,26517,11555725,.5574226379394531,4332310,-.1704082489013672,151650,2412794,135423936,.2496795654296875,22323004,1341700,.1362428665161133,16625852,28471,-1.031851768493652,8708,.8730831146240234,123771,117707,3969482,.1520605087280273,8140557,.0021696090698242,6883823,360503,.3480892181396484,317474,.122767448425293,2511036,.1199550628662109,5895806,.5101871490478516,622232,.4001407623291016,558738,-.356989860534668,159509,1.431675910949707,653246,26757944,.0099983215332031,6109000,89653,-.2727956771850586,3189669,-.1480913162231445,223100,319862,-.7936286926269531,5132615,.1496639251708984,10728797,.1008949279785156,2938427,-.1364192962646484,15485842,.4507827758789063,402425,-.415623664855957,matched (3),39420472,.89543676,3926400.8,4231193.5
201108,401699,619,1859,28015404,08,0,0,0,0,0,0,1,0,0,0,0,41752,-.6843671798706055,59759,-.0240716934204102,505277,1862869,.3030681610107422,418913,.2279510498046875,30630152,.0860328674316406,16384120,144816,.4038410186767578,35613816,.0408916473388672,393789,14189163,.0521011352539063,24801,-.5330047607421875,9731548,-.0366344451904297,35462760,-.1114101409912109,3899949,.039769172668457,92111,17121888,.3931770324707031,4669545,.0749607086181641,373459,3158706,147591184,.0860366821289063,25535688,1293653,-.0364675521850586,14075773,83978,1.081668853759766,12337,.3483600616455078,390605,175788,4322772,.085261344909668,7642933,-.0630769729614258,7632699,237297,-.4181880950927734,390703,.2075519561767578,2576257,.0256423950195313,5679615,-.037358283996582,377607,-.4994592666625977,1237327,.7950286865234375,105419,-.4141569137573242,940245,25522754,-.0472621917724609,7592000,390197,1.470705032348633,3069061,-.0385456085205078,91010,724826,.8180418014526367,3662281,-.337529182434082,11258963,.0482330322265625,4831712,.4973268508911133,18644850,.1856441497802734,1081228,.9883441925048828,matched (3),37105032,.89543676,2451807.8,2915087.5
