period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1015c440,growth1015c440,Y1052c124,growth1052c124,Y1198c246,growth1198c246,Y1267c484,growth1267c484,Y1397c752,growth1397c752,Y1573c124,growth1573c124,Y1776c752,growth1776c752,Y1779c818,Y1944c203,Y1992c376,Y2017c300,Y2049c600,growth2049c600,Y2101c124,growth2101c124,Y2208c484,growth2208c484,Y2282c484,growth2282c484,Y2322c484,growth2322c484,Y2554c376,Y2901c600,growth2901c600,Y3088c152,growth3088c152,Y3118c208,growth3118c208,Y3262c600,growth3262c600,Y3263c600,growth3263c600,Y3275c484,growth3275c484,Y3340c36,Y3348c372,growth3348c372,Y3411c251,growth3411c251,Y3461c300,growth3461c300,Y3570c484,growth3570c484,Y3615c616,growth3615c616,Y361c152,growth361c152,Y3710c152,growth3710c152,Y3727c152,growth3727c152,Y3909c36,Y3974c344,Y4197c484,growth4197c484,Y4219c440,growth4219c440,Y4251c484,growth4251c484,Y4272c620,growth4272c620,Y4291c376,Y4412c792,growth4412c792,Y4420c352,growth4420c352,Y4506c246,growth4506c246,Y4728c191,growth4728c191,Y4929c428,growth4929c428,Y527c826,growth527c826,Y675c752,growth675c752,Y719c688,growth719c688,Y841c152,growth841c152,Y848c616,growth848c616,Y943c124,growth943c124,_merge,x,r2,s,sf
201011,760720,610,3589,852299,11,0,0,0,0,0,0,0,0,0,1,0,100999,-.041778564453125,660058,.871795654296875,196530,-.271489143371582,136458,-.1336145401000977,1285582,-1.36449146270752,1071480,-.1540117263793945,457942,-.7450761795043945,4836698,2376,1002000,5229,713179,-.4814701080322266,656174,.0907716751098633,2056945,.2695903778076172,207952,-.7571983337402344,4483802,.0920343399047852,55000,4797,-1.95391845703125,925629,-.432093620300293,400474,-.0495443344116211,1544939,.0377492904663086,1059316,.0817356109619141,40796760,-.2347736358642578,754080,1268234,-.2095136642456055,729485,-.0648460388183594,238515,-.6270313262939453,3670302,-1.010355949401856,6538859,-.4645175933837891,2345799,-.2884340286254883,2471744,-.3073129653930664,111775,-.5506277084350586,1554379,9072318,210380208,.0350837707519531,17911,-.0651111602783203,3429961,-.0713748931884766,1252949,-.1084175109863281,1954000,1365664,-.066981315612793,578216,-.47235107421875,5079,-.6223812103271484,82569,1.815771102905273,166018,-.7186794281005859,8848803,.2327327728271484,14326518,.0873851776123047,31206,-.4816598892211914,383320704,-.4601497650146484,15249938,-.1766452789306641,164734,.0842609405517578,matched (3),1804489.5,.92448646,364978.16,603178.5
201012,760720,611,3589,1171630,12,0,0,0,0,0,0,0,0,0,0,1,167633,.5066661834716797,57076,-2.447943687438965,263326,.2925777435302734,187658,.3186044692993164,1440327,.1136589050292969,749984,-.3567438125610352,546519,.1768264770507813,6520916,1745,1163000,17700,809915,.127197265625,634316,-.0338783264160156,1371725,-.4051532745361328,517115,.9109573364257813,5792428,.2560806274414063,182000,38696,2.087745666503906,1278745,.3231611251831055,468305,.1564712524414063,754152,-.7171459197998047,259673,-1.405955314636231,44892684,.095672607421875,596943,1337231,.0529756546020508,690865,-.0543947219848633,270398,.125462532043457,4662668,.239314079284668,4493960,-.3750286102294922,1719835,-.3103981018066406,3233187,.2685451507568359,179756,.4751129150390625,832309,13043262,200740944,-.0469017028808594,38326,.7607135772705078,1955623,-.5618400573730469,1474878,.1630754470825195,2100000,1954214,.3583469390869141,698719,.189300537109375,1401,-1.287927627563477,110625,.2925119400024414,251432,.4150762557983398,5213601,-.5290107727050781,7254326,-.6805143356323242,24832,-.2284774780273438,463948096,.1909008026123047,14424569,-.0556430816650391,113370,-.3736743927001953,matched (3),3193171,.92448646,454068.41,660903.44
201101,760720,612,3589,1452485,01,0,0,0,0,0,0,0,0,0,0,0,85555,-.6726179122924805,281230,1.594789505004883,145744,-.5915412902832031,439594,.8512296676635742,4054947,1.035067558288574,1173151,.4473962783813477,645007,.1656913757324219,8284003,66880,1250000,38009,968083,.1783885955810547,699870,.0983467102050781,2095028,.4234981536865234,308688,-.5159339904785156,6064220,.0458536148071289,225000,28233,-.3152446746826172,1230340,-.0385885238647461,677112,.3687171936035156,771360,.0225610733032227,771298,1.088651657104492,54420160,.1924591064453125,848320,2274259,.5310535430908203,709256,.0262718200683594,391902,.3711166381835938,3749582,-.2179441452026367,4126441,-.0853195190429688,5011781,1.069563865661621,2777295,-.1519908905029297,33943,-1.66691780090332,1160724,11704338,161267632,-.2189483642578125,43159,.1187629699707031,2609060,.2882814407348633,1811448,.2055511474609375,2412000,1576867,-.2145481109619141,636552,-.0931825637817383,19051,2.609932899475098,8618,-2.552292823791504,351324,.3345365524291992,5300616,.0165519714355469,13326066,.6081247329711914,36452,.3838634490966797,534619104,.1417808532714844,19564718,.3047943115234375,356741,1.146352767944336,matched (3),3806346.8,.92448646,446731.25,655884.19
201102,760720,613,3589,1009956,02,1,0,0,0,0,0,0,0,0,0,0,30919,-1.017787933349609,191913,-.3821306228637695,203343,.333043098449707,274450,-.4710817337036133,2213513,-.6053571701049805,1107921,-.0572080612182617,575428,-.1141462326049805,6269152,1092,1775000,38654,560322,-.5468063354492188,575789,-.1951532363891602,1558411,-.2959003448486328,480710,.4429330825805664,4354540,-.3311862945556641,67000,9072,-1.135298728942871,827923,-.3961257934570313,430885,-.451995849609375,2283542,1.085328102111816,864381,.1139392852783203,45019428,-.1896400451660156,642085,2000253,-.1283807754516602,843071,.1728353500366211,249231,-.452631950378418,3217271,-.1531105041503906,3713507,-.105438232421875,1645417,-1.113798141479492,2354987,-.164942741394043,62550,.6112833023071289,1313554,10022045,169845824,.0518245697021484,27011,-.4686470031738281,2674985,.0249538421630859,1456115,-.2183551788330078,1791000,1201595,-.27178955078125,507604,-.2263641357421875,9459,-.7001523971557617,13044,.4144754409790039,218859,-.4732818603515625,5272081,-.0053977966308594,10714083,-.2181644439697266,50003,.3160867691040039,421094592,-.2386970520019531,17844010,-.0920600891113281,281085,-.2383527755737305,matched (3),3255011.8,.92448646,335960.09,586075.44
201103,760720,614,3589,1407962,03,0,1,0,0,0,0,0,0,0,0,0,113792,1.303000450134277,621010,1.174304962158203,355491,.5586051940917969,384732,.3377771377563477,5321272,.877131462097168,1462560,.2777032852172852,636171,.1003532409667969,10931220,1960,1963000,60560,617246,.0967559814453125,739681,.2504777908325195,1136278,-.3159084320068359,538683,.1138629913330078,4095455,-.0613412857055664,231000,18426,.7085695266723633,1339892,.4814243316650391,488887,.1262903213500977,3003431,.2740278244018555,2430538,1.033853530883789,62532316,.3285903930664063,742136,2001388,.0005674362182617,1839623,.7802639007568359,401771,.4775028228759766,4589606,.3552608489990234,11965039,1.170011520385742,3420614,.7318267822265625,3569367,.4158535003662109,89224,.3551845550537109,1120589,11691912,226054304,.2858848571777344,72018,.9806718826293945,4658604,.5547714233398438,1995850,.3152980804443359,1970000,2467929,.7197294235229492,1069484,.7452297210693359,23658,.9167346954345703,50125,1.34619140625,91401,-.8731708526611328,6117955,.1488027572631836,23481320,.7846469879150391,22053,-.8186349868774414,692178624,.4969863891601563,20113174,.1197071075439453,169011,-.5086936950683594,matched (3),4674043,.92448646,682942.88,834880.94
201104,760720,615,3589,1352754,04,0,0,1,0,0,0,0,0,0,0,0,44453,-.9399394989013672,405955,-.425105094909668,210593,-.5235719680786133,569974,.3930444717407227,1333820,-1.383665084838867,1092201,-.2919931411743164,206607,-1.124649047851563,2182267,3249,1398000,28249,935796,.4161300659179688,645262,-.1365623474121094,2586686,.8226194381713867,1147710,.7563972473144531,5254981,.249298095703125,93000,316,-4.065775871276856,889740,-.4094152450561523,460888,-.0589761734008789,1411116,-.7553749084472656,1072942,-.8177080154418945,62819988,.0045890808105469,517143,1418258,-.3444118499755859,1788642,-.0281038284301758,356790,-.1187353134155273,4627101,.0081357955932617,3589774,-1.203898429870606,2075009,-.4998550415039063,4869853,.3106746673583984,27059,-1.193130493164063,943023,11455209,157196704,-.3632774353027344,59467,-.1914949417114258,1779604,-.9623250961303711,1545025,-.2560300827026367,1861000,1445904,-.5346450805664063,693241,-.4335536956787109,2181,-2.383918285369873,32105,-.4455080032348633,307914,1.214564323425293,5105349,-.180938720703125,14696771,-.4685783386230469,20425,-.0766887664794922,486056032,-.3535194396972656,24345532,.1909732818603516,147106,-.1388101577758789,matched (3),2939903.8,.92448646,540453.88,722983.88
201105,760720,616,3589,1598164,05,0,0,0,1,0,0,0,0,0,0,0,66458,.4021377563476563,291994,-.3295087814331055,316625,.4077901840209961,232593,-.89630126953125,4980804,1.317543983459473,1144027,.0463590621948242,722708,1.25218677520752,3941943,2037,1573000,43244,1005468,.0718107223510742,792199,.2051563262939453,2323410,-.1073417663574219,496370,-.8382024765014648,7989734,.4189815521240234,177000,19762,4.135773658752441,1034480,.1507244110107422,503848,.0891189575195313,1694616,.1830759048461914,1023734,-.0469474792480469,54727584,-.1379051208496094,800562,2409078,.5298147201538086,1824640,.0199260711669922,130679,-1.004403114318848,5174672,.1118459701538086,4401489,.2038536071777344,5257715,.9297313690185547,3623284,-.2956829071044922,151384,1.721799850463867,1141985,11006370,209886640,.2890701293945313,177590,1.094056129455566,2702395,.4177474975585938,1744102,.1212005615234375,2787000,1799591,.2188253402709961,936244,.3004989624023438,18465,2.136093616485596,121019,1.326935768127441,501874,.4885282516479492,7348344,.3641853332519531,25278854,.5423412322998047,77173,1.329290390014648,691135616,.3520126342773438,30349920,.2204456329345703,314904,.7611141204833984,matched (3),1530220.1,.92448646,496318.03,690613.38
201106,760720,617,3589,1205864,06,0,0,0,0,1,0,0,0,0,0,0,88198,.2830142974853516,133715,-.7810230255126953,251732,-.2293529510498047,369192,.4620265960693359,4033949,-.2108449935913086,1237373,.0784368515014648,434402,-.5090351104736328,1730205,77077,1641000,65494,1584609,.4548845291137695,771611,-.026331901550293,2279620,-.0190267562866211,351653,-.3446769714355469,6784749,-.1634807586669922,182000,9977,-.6834783554077148,1038992,.0043525695800781,454747,-.1025333404541016,2590458,.4243783950805664,1674624,.4921321868896484,61299924,.1134109497070313,571696,2161734,-.1083335876464844,1753005,-.0400514602661133,335125,.9417591094970703,4678542,-.1007900238037109,4944815,.1163959503173828,3702030,-.3508157730102539,4075791,.1176843643188477,129179,-.1586208343505859,1098997,16056673,217518544,.0357151031494141,74944,-.8627357482910156,1758561,-.4296417236328125,1472284,-.1694250106811523,2271000,1420433,-.236598014831543,775102,-.1888818740844727,7036,-.9648370742797852,18359,-1.885828018188477,183935,-1.003767013549805,5475076,-.2942686080932617,20218680,-.2233619689941406,31899,-.8834753036499023,570559616,-.1917190551757813,25669256,-.1674995422363281,305930,-.0289115905761719,matched (3),2089758.6,.92448646,527649.13,713462.56
201107,760720,618,3589,1139895,07,0,0,0,0,0,1,0,0,0,0,0,40075,-.7888317108154297,190038,.3515138626098633,174463,-.3666524887084961,244941,-.4102993011474609,2941508,-.3158235549926758,1354571,.0904941558837891,221777,-.6722984313964844,701129,5905,1835000,27059,709013,-.8042192459106445,764961,-.0086565017700195,1384717,-.4985132217407227,718593,.7146501541137695,5553555,-.2002382278442383,203000,1222,-2.099793434143066,739977,-.3393869400024414,455121,.0008220672607422,1128882,-.8306074142456055,460090,-1.291922569274902,50129820,-.2011623382568359,505939,1738548,-.217860221862793,663704,-.9712495803833008,104755,-1.16287899017334,4314461,-.0810136795043945,10849667,.7857942581176758,1687344,-.7857255935668945,3846955,-.0577831268310547,196542,.4196767807006836,1106522,9423523,207223840,-.0484828948974609,1126882,2.710468292236328,1929890,.0929670333862305,1794361,.1978340148925781,2173000,1773302,.2218818664550781,740791,-.0452766418457031,5135,-.3149604797363281,49034,.9823942184448242,215407,.1579475402832031,4841204,-.123042106628418,17758108,-.1297645568847656,31585,-.009892463684082,569218688,-.0023536682128906,23193768,-.101409912109375,134967,-.8183259963989258,matched (3),982759.31,.92448646,402789.13,626780.94
201108,760720,619,3589,2200416,08,0,0,0,0,0,0,1,0,0,0,0,41154,.0265684127807617,362643,.6461944580078125,250457,.3615751266479492,251733,.0273513793945313,4661389,.4603910446166992,1525644,.118931770324707,376418,.5290279388427734,3629816,26004,1977000,28457,950711,.2933359146118164,908738,.1722326278686523,847490,-.4909725189208984,803591,.1117954254150391,5626156,.0129880905151367,68000,10477,2.148694038391113,1440422,.666071891784668,417898,-.0853261947631836,2258963,.6936788558959961,1764960,1.344461441040039,62256400,.216644287109375,1054907,1960326,.120060920715332,246814,-.989201545715332,226390,.770634651184082,5342332,.2136898040771484,10804752,-.0041465759277344,5032732,1.092807769775391,4102749,.0643758773803711,247579,.2308540344238281,1564005,14821243,258249872,.2201271057128906,1356385,.185368537902832,2950365,.4244651794433594,2042372,.1294622421264648,2311000,1116184,-.4629278182983398,895980,.1901998519897461,3127,-.4960050582885742,70199,.3588199615478516,483788,.809117317199707,5662306,.1566677093505859,8184130,-.7746448516845703,25521,-.2131805419921875,662468480,.1517086029052734,19546208,-.1711025238037109,157941,.157191276550293,matched (3),2077142,.92448646,387289.97,616935
201109,760720,620,3589,1938491,09,0,0,0,0,0,0,0,1,0,0,0,129613,1.147232055664063,331998,-.0882902145385742,112170,-.8032722473144531,303882,.1882705688476563,3033582,-.4295692443847656,743168,-.7192497253417969,487323,.2582273483276367,1858028,18066,911000,42646,1197966,.231170654296875,461046,-.6785593032836914,778294,-.085174560546875,89924,-2.190125465393066,5583136,-.0076761245727539,82000,1789,-1.767525672912598,1023064,-.3421344757080078,437349,.0454950332641602,1170764,-.6572494506835938,761434,-.8406791687011719,52446816,-.1714611053466797,791514,1682818,-.1526412963867188,433452,.563145637512207,214303,-.0548677444458008,5326198,-.0030241012573242,4243000,-.9347162246704102,2905456,-.549372673034668,3454975,-.1718425750732422,76319,-1.17680835723877,1187830,8915028,233810688,-.0994167327880859,26402,-3.939138412475586,2773335,-.0618782043457031,1563583,-.2671318054199219,1954000,1142613,.023402214050293,532861,-.5196571350097656,21963,1.949284553527832,22788,-1.125100135803223,349755,-.3244142532348633,4009683,-.3451194763183594,12248566,.4032115936279297,13971,-.6025180816650391,540751296,-.2030124664306641,18314264,-.0651016235351563,272785,.5464630126953125,matched (3),2357822,.92448646,359838.56,600082.5
