period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1096c348,growth1096c348,Y1156c705,growth1156c705,Y1214c32,Y1330c251,growth1330c251,Y1363c705,growth1363c705,Y1470c616,growth1470c616,Y1514c344,Y1657c344,Y1844c208,growth1844c208,Y1909c376,Y1977c484,growth1977c484,Y1c32,Y2003c124,growth2003c124,Y2409c300,growth2409c300,Y2638c208,growth2638c208,Y2659c826,growth2659c826,Y2691c124,growth2691c124,Y2693c233,Y273c554,Y2742c152,growth2742c152,Y2768c152,growth2768c152,Y2797c620,growth2797c620,Y2861c381,Y2882c344,Y2939c826,growth2939c826,Y2984c124,growth2984c124,Y3059c300,growth3059c300,Y3337c826,growth3337c826,Y3362c752,growth3362c752,Y3466c124,growth3466c124,Y3571c300,growth3571c300,Y3642c826,growth3642c826,Y3705c152,growth3705c152,Y3984c600,growth3984c600,Y4208c705,growth4208c705,Y4316c826,growth4316c826,Y4319c608,Y4321c703,growth4321c703,Y4347c586,growth4347c586,Y4399c608,Y4605c348,growth4605c348,Y4626c752,growth4626c752,Y4789c208,growth4789c208,Y4803c372,growth4803c372,Y4836c191,growth4836c191,Y4918c124,growth4918c124,Y5015c826,growth5015c826,Y557c440,growth557c440,Y73c352,Y911c124,growth911c124,_merge,x,r2,s,sf
201011,293399,610,1310,14706168,11,0,0,0,0,0,0,0,0,0,1,0,454269,3.579136848449707,7779,-2.026618003845215,356727,1387643,.109919548034668,105329,-2.278400421142578,890105,.3325700759887695,575273,2136984,582654,.0915689468383789,871000,145244,.149749755859375,106153,855306,.1722116470336914,154436,.056920051574707,1944669,-.0484285354614258,744763,.34844970703125,295878,-.2360134124755859,35499,840029,867538,.2188320159912109,4355910,.7597112655639648,328725,1.294534683227539,3138321,1155854,10700517,-.0186672210693359,5883508,.4470605850219727,86086,.3468523025512695,998338,-.9677829742431641,2908135,-.0262022018432617,5708922,-.0413579940795898,26935400,-.4634532928466797,987947,2.022717475891113,175095,.6503782272338867,174081,-.156916618347168,86470,.025059700012207,10700258,.0133171081542969,457510,598369,.4113321304321289,108034,.2625579833984375,241908,25565164,.1202278137207031,259405,.6121015548706055,2181722,.1561946868896484,16890,.3901300430297852,111799,.3083992004394531,2726524,-.0572872161865234,130242,-.4125604629516602,641267,.139678955078125,70573,122317264,.1071739196777344,matched (3),6202653.5,.75881469,1456075.1,2953251.3
201012,293399,611,1310,19341786,12,0,0,0,0,0,0,0,0,0,0,1,225,-7.610343933105469,19706,.9294958114624023,340868,1586722,.134063720703125,399295,1.332612037658691,281237,-1.152141571044922,605611,1503795,502396,-.1482048034667969,1046000,220841,.4190282821655273,392902,897672,.048344612121582,164610,.0637989044189453,1739502,-.1114931106567383,679907,-.0911102294921875,324629,.0927362442016602,68393,379875,1017093,.1590452194213867,7938126,.6001434326171875,210109,-.4475955963134766,4025602,836361,9130243,-.1586990356445313,11717076,.6888942718505859,96971,.1190652847290039,1147987,.1396732330322266,1956325,-.3964443206787109,6520247,.1328821182250977,16433239,-.4941349029541016,98280,-2.307808876037598,292116,.5118227005004883,423959,.8901157379150391,89764,.0373868942260742,10524702,-.0165424346923828,1330847,825284,.3215198516845703,129176,.1787300109863281,267977,18912608,-.3014030456542969,84704,-1.119227409362793,1895506,-.1406288146972656,21205,.2275152206420898,232825,.7335844039916992,2832699,.038203239440918,202071,.4392251968383789,934766,.3768501281738281,24836,123750888,.0116519927978516,matched (3),8526245,.75881469,1471637,2960954.8
201101,293399,612,1310,20029328,01,0,0,0,0,0,0,0,0,0,0,0,17021,4.326102256774902,22012,.1106643676757813,374212,2567845,.4813966751098633,809624,.7068691253662109,747014,.9768857955932617,616172,1499476,612329,.197880744934082,1353000,417146,.6359930038452148,235170,687927,-.2661218643188477,68791,-.8725061416625977,1930467,.1041631698608398,930743,.3140268325805664,410468,.2346153259277344,1283,653253,871181,-.1548547744750977,11648568,.3835067749023438,429785,.7156591415405273,4449708,1008732,16968600,.6197719573974609,12611560,.0735664367675781,69191,-.3375415802001953,3176521,1.017776489257813,2194954,.1150932312011719,6545439,.0038557052612305,34741680,.7486343383789063,303667,1.128110885620117,171482,-.5326728820800781,895506,.7477521896362305,59788,-.4063796997070313,11617650,.0988006591796875,1542104,266238,-1.13133716583252,109855,-.1620149612426758,592497,21464284,.1265621185302734,509216,1.793709754943848,1806352,-.0481758117675781,88286,1.426344871520996,33962,-1.925045013427734,2264545,-.2238569259643555,333398,.5007181167602539,610411,-.4261636734008789,48235,128533456,.0379180908203125,matched (3),16099415,.75881469,2356065.3,3486055.3
201102,293399,613,1310,7444341,02,1,0,0,0,0,0,0,0,0,0,0,25974,.4226484298706055,25625,.1519804000854492,256593,1039085,-.9047260284423828,548041,-.3902196884155273,530521,-.34222412109375,362739,1106545,657582,.0713005065917969,1220000,135575,-1.123911857604981,366391,584296,-.1632747650146484,90466,.2739009857177734,1708404,-.1222019195556641,1528339,.4959535598754883,203995,-.6992025375366211,1652,626559,517870,-.5201253890991211,10376626,-.1156291961669922,331935,-.2583465576171875,5495224,525545,14178344,-.1796493530273438,9167369,-.3189640045166016,10987,-1.840157508850098,1838367,-.5469093322753906,2368279,.0760030746459961,6207501,-.0530099868774414,32407066,-.0695648193359375,192089,-.457972526550293,162087,-.0563449859619141,811256,-.0988054275512695,32091,-.6222286224365234,9637775,-.1868343353271484,798902,539586,.7064123153686523,93717,-.1588811874389648,210985,23574636,.093780517578125,182064,-1.028513908386231,1624873,-.1058797836303711,15432,-1.744138717651367,9057,-1.321704864501953,2078321,-.0858135223388672,204257,-.4899578094482422,599712,-.0176830291748047,7728,124050288,-.0355014801025391,matched (3),11153412,.75881469,1719309.4,3091530.8
201103,293399,614,1310,9883360,03,0,1,0,0,0,0,0,0,0,0,0,449970,2.852085113525391,12834,-.6914701461791992,615639,2777864,.9833412170410156,2344940,1.453664779663086,759024,.3581733703613281,279973,2032375,776511,.1662406921386719,1038000,303750,.8066806793212891,109967,445521,-.2711629867553711,135944,.4072694778442383,2002025,.1585988998413086,740048,-.7252216339111328,187925,-.0820531845092773,8539,698071,528614,.0205345153808594,9737402,-.0635814666748047,379938,.1350688934326172,3630571,542469,12849620,-.0984020233154297,7550478,-.1940393447875977,94549,2.152405738830566,2042882,.1054840087890625,2673249,.1211309432983398,6626232,.0652780532836914,28704572,-.1213188171386719,149058,-.2536239624023438,262627,.4826011657714844,1063997,.271204948425293,33475,.0422229766845703,11024649,.1344432830810547,1027461,579041,.0705709457397461,150504,.4737100601196289,245887,28976880,.2063274383544922,274016,.4088277816772461,1967209,.1911859512329102,15553,.0078105926513672,52321,1.753860473632813,2137020,.0278520584106445,104963,-.665771484375,1294388,.769343376159668,25656,81814256,-.4162368774414063,matched (3),12121438,.75881469,1899365.3,3195172.3
201104,293399,615,1310,10442553,04,0,0,1,0,0,0,0,0,0,0,0,8752,-3.939898490905762,36169,1.036104202270508,628418,2253082,-.2093830108642578,882479,-.9772796630859375,509781,-.3980522155761719,382916,1763719,610175,-.2410650253295898,1141000,427924,.3427400588989258,360686,786384,.5682001113891602,143972,.0573749542236328,1842727,-.0829124450683594,949541,.2492637634277344,262015,.3323593139648438,22270,1036599,425578,-.2168102264404297,5411533,-.5874414443969727,218499,-.5532264709472656,3149006,1273267,12650330,-.0156307220458984,6146421,-.2057409286499023,69148,-.3128690719604492,2627423,.2516422271728516,2392144,-.1111049652099609,6658898,.004918098449707,24967820,-.1394691467285156,2588470,2.854487419128418,214467,-.2025785446166992,520617,-.7147731781005859,21164,-.4584970474243164,9904829,-.1071109771728516,1404015,662238,.134251594543457,116361,-.2572927474975586,394855,26419112,-.0924110412597656,196974,-.3301143646240234,1684168,-.1553440093994141,11216,-.3269119262695313,156605,1.096328735351563,3145649,.3866081237792969,154695,.387847900390625,1250413,-.0345640182495117,35638,175381296,.76251220703125,matched (3),14956883,.75881469,1886177.9,3187350.8
201105,293399,616,1310,10878890,05,0,0,0,1,0,0,0,0,0,0,0,23889,1.004135131835938,21290,-.5299644470214844,365717,1123482,-.695866584777832,546478,-.4792413711547852,982171,.6557846069335938,691336,1581004,1072663,.5641536712646484,1974000,218108,-.673954963684082,0,864103,.0942468643188477,124782,-.1430501937866211,1937872,.0503444671630859,1074644,.1237659454345703,327840,.2241239547729492,51537,1076196,525353,.2106218338012695,8645614,.4685201644897461,221493,.0136098861694336,3923336,1692049,12340779,-.0247726440429688,8182670,.2861490249633789,90821,.2726411819458008,2931377,.1094684600830078,1808470,-.2797088623046875,6277264,-.0590200424194336,32762184,.2716865539550781,2909376,.1168718338012695,197977,-.0800056457519531,606163,.1521339416503906,182669,2.155373573303223,10157327,.0251712799072266,1291461,829067,.2246761322021484,151490,.2638225555419922,209113,30077900,.1297035217285156,314459,.4677820205688477,1857252,.0978260040283203,24688,.788975715637207,196889,.2289133071899414,3698089,.1617956161499023,191515,.2135105133056641,1255443,.0040149688720703,17225,109914184,-.4672622680664063,matched (3),18762964,.75881469,2336357.8,3472766.3
201106,293399,617,1310,17361988,06,0,0,0,0,1,0,0,0,0,0,0,235747,2.289341926574707,27022,.2384138107299805,392253,2321835,.7259254455566406,710497,.2624702453613281,593500,-.503727912902832,812874,2361691,558499,-.6526460647583008,2192000,182259,-.1795616149902344,63813,999471,.1455345153808594,125780,.0079660415649414,2033298,.0480680465698242,857178,-.2260990142822266,499145,.4203710556030273,6043,1619229,645270,.2055988311767578,10788848,.2214603424072266,430782,.6652107238769531,4896236,3582734,16748224,.3053817749023438,12332730,.4102373123168945,121017,.2870407104492188,2619905,-.1123342514038086,2698944,.4003801345825195,7077940,.1200485229492188,24575496,-.2875251770019531,120520,-3.183878898620606,203302,.0265417098999023,1121581,.6153459548950195,56042,-1.181573867797852,10136387,-.0020637512207031,1891655,974816,.1619472503662109,220655,.3760805130004883,366791,30680308,.0198307037353516,339830,.0775909423828125,1641772,-.123321533203125,7603,-1.177774429321289,232136,.1646833419799805,4419170,.178135871887207,243981,.2421236038208008,1285672,.0237932205200195,71746,157236864,.3580532073974609,matched (3),20389214,.75881469,2152415.5,3351780.3
201107,293399,618,1310,16123582,07,0,0,0,0,0,1,0,0,0,0,0,226498,-.0400238037109375,12607,-.7623996734619141,265474,2741027,.1659746170043945,579021,-.204625129699707,625179,.0520009994506836,605464,1474914,648099,.1487903594970703,1893000,100227,-.5979909896850586,75368,1275168,.2436065673828125,95883,-.2714052200317383,2285792,.1170539855957031,1090736,.240962028503418,465666,-.0694284439086914,22337,794089,882953,.313603401184082,10442050,-.0326709747314453,437801,.0161628723144531,4324317,1694886,15217619,-.0958385467529297,8301949,-.3957653045654297,115353,-.0479345321655273,3738688,.3555965423583984,2243813,-.1846847534179688,5754597,-.2069835662841797,26139408,.0616950988769531,161983,.2956762313842773,286020,.34136962890625,1039060,-.0764226913452148,128748,.8317556381225586,10624173,.0470008850097656,1763183,782437,-.2198352813720703,214651,-.0275869369506836,375829,29991800,-.0226974487304688,222661,-.4227943420410156,1272948,-.2544412612915039,21959,1.060633659362793,220276,-.0524425506591797,5132615,.1496639251708984,249852,.0237789154052734,1096966,-.1587333679199219,20976,159943712,.0170688629150391,matched (3),18315956,.75881469,2487738,3576363.8
201108,293399,619,1310,15005015,08,0,0,0,0,0,0,1,0,0,0,0,11690,-2.964001655578613,7556,-.5119094848632813,577488,419461,-1.877117156982422,962053,.5077304840087891,584216,-.0677680969238281,480066,1980992,769057,.1711215972900391,1827000,134504,.2941560745239258,212417,779365,-.4923534393310547,60786,-.4557695388793945,1893549,-.1882600784301758,989704,-.0972013473510742,335735,-.3271465301513672,18087,927318,946378,.0693693161010742,8815175,-.1693668365478516,672847,.429753303527832,3243053,1534116,16270241,.0668849945068359,6867117,-.1897459030151367,67828,-.5310220718383789,2000918,-.6251287460327148,4160775,.6175251007080078,6694364,.1512670516967773,25765320,-.0144138336181641,119046,-.3079814910888672,201987,-.3478584289550781,808799,-.2505216598510742,36696,-1.255189895629883,9269112,-.136444091796875,1649058,834877,.0648708343505859,179633,-.1780977249145508,355895,24708140,-.1937904357910156,241106,.0795860290527344,1511265,.1716117858886719,17572,-.222869873046875,20048,-2.396751403808594,3662281,-.337529182434082,250030,.0007123947143555,1041525,-.0518627166748047,23562,109289536,-.3808212280273438,matched (3),20138034,.75881469,2879103.8,3858856.8
