period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1150c616,growth1150c616,Y1454c152,growth1454c152,Y1525c600,growth1525c600,Y1605c440,growth1605c440,Y1783c348,growth1783c348,Y1791c348,growth1791c348,Y1811c233,Y1836c124,growth1836c124,Y2010c208,growth2010c208,Y2012c688,growth2012c688,Y2110c124,growth2110c124,Y2137c68,growth2137c68,Y2219c440,growth2219c440,Y2393c826,growth2393c826,Y2627c124,growth2627c124,Y2687c440,Y2690c208,growth2690c208,Y2754c208,growth2754c208,Y2764c752,growth2764c752,Y2859c124,growth2859c124,Y3031c152,growth3031c152,Y3092c440,growth3092c440,Y3129c484,growth3129c484,Y3149c428,growth3149c428,Y3279c124,growth3279c124,Y3299c792,growth3299c792,Y3316c300,growth3316c300,Y3732c688,growth3732c688,Y3839c600,growth3839c600,Y3872c152,growth3872c152,Y4112c36,Y4164c586,growth4164c586,Y4175c32,Y4339c152,growth4339c152,Y4381c152,growth4381c152,Y4426c484,growth4426c484,Y4489c36,Y4679c124,growth4679c124,Y4733c608,Y4765c152,growth4765c152,Y4770c218,Y4824c600,growth4824c600,Y4988c484,growth4988c484,Y4990c36,Y519c484,growth519c484,Y583c826,growth583c826,Y590c300,growth590c300,Y623c616,growth623c616,Y721c124,Y749c233,_merge,x,r2,s,sf
201011,841360,610,3838,12719542,11,0,0,0,0,0,0,0,0,0,1,0,71231,.2208261489868164,457894,-.299799919128418,265747,.1301765441894531,639296,-.1296405792236328,11246935,.13226318359375,1395261,.1851673126220703,14213,1033233,-.1160573959350586,249124,-.298832893371582,9022,-.3791103363037109,1359275,-.7793474197387695,1046,-1.601182460784912,18792,-.4889402389526367,706983,-.5604705810546875,1101103,.0375089645385742,77136,51160,-.6421928405761719,3297590,-.0369672775268555,8603297,-.0236053466796875,3086619,-.1564035415649414,33093,-.1086463928222656,51374,-.0046606063842773,1172017,-.3612289428710938,22291,-.3912935256958008,8232780,-.4972658157348633,571783,-.0962791442871094,44402,1.779716491699219,767703,.4331483840942383,461803,-.6020402908325195,3070377,-.3936033248901367,1874592,44144,-1.388484001159668,5372224,2589775,-.2032012939453125,1807344,.1940317153930664,7399295,.0233621597290039,1069142,31425,-.6342630386352539,53940,1097530,.2789535522460938,117140,225203,-.4682016372680664,21343,.400604248046875,801826,7827389,-.1742982864379883,18219868,.1091442108154297,48115,-.7818794250488281,237764,.8071231842041016,13078,2533152,matched (3),14138679,.82843125,1014877.7,2147124
201012,841360,611,3838,11688447,12,0,0,0,0,0,0,0,0,0,0,1,59364,-.1822395324707031,391072,-.1577463150024414,184805,-.3632440567016602,499765,-.2462301254272461,9779549,-.1398029327392578,1154649,-.1892852783203125,82483,1495959,.3700742721557617,191774,-.2616329193115234,2721,-1.198666095733643,1083415,-.2268333435058594,13834,2.582155704498291,9014,-.7346525192260742,672399,-.0501546859741211,613062,-.585601806640625,164462,47983,-.0641117095947266,2847714,-.1466751098632813,6860296,-.2263946533203125,4015630,.263117790222168,17346,-.6459598541259766,38070,-.2997055053710938,804570,-.3761730194091797,8473,-.9672985076904297,6130686,-.2948169708251953,346949,-.4995813369750977,34751,-.2450761795043945,420663,-.6015710830688477,630594,.3115243911743164,5310292,.5478458404541016,1685916,57431,.263127326965332,3074821,2272786,-.1305646896362305,2156184,.1764822006225586,1792400,-1.417829513549805,598384,30824,-.0193099975585938,53811,1150586,.0472087860107422,121367,305119,.3036994934082031,31923,.4026031494140625,663229,11532422,.3875341415405273,18130138,-.0049362182617188,101412,.7455978393554688,131855,-.5895757675170898,236307,1154768,matched (3),15966107,.82843125,1067562.1,2172522.5
201101,841360,612,3838,11154583,01,0,0,0,0,0,0,0,0,0,0,0,38534,-.4321470260620117,516181,.2775659561157227,299306,.4821653366088867,314308,-.4637641906738281,8139286,-.1835908889770508,1858630,.476043701171875,12532,1308749,-.1336956024169922,195163,.01751708984375,1198,-.8203458786010742,2456078,.8184471130371094,7319,-.6366558074951172,19278,.7601861953735352,1224101,.5991106033325195,877325,.3584117889404297,8730,37782,-.239013671875,3346306,.1613407135009766,10843230,.457789421081543,3891309,-.0314483642578125,32685,.6335544586181641,7444,-1.632018089294434,1029800,.2468118667602539,32697,1.350399017333984,8890670,.3716955184936523,308509,-.117426872253418,18450,-.6331443786621094,295910,-.351776123046875,392088,-.4751758575439453,4202379,-.2339954376220703,815293,83487,.3741064071655273,4615388,1790900,-.2382879257202148,1440846,-.4031095504760742,2060134,.1392154693603516,571729,58897,.647496223449707,68184,976859,-.1636838912963867,45417,232624,-.2712783813476563,30512,-.0452070236206055,983979,9591755,-.1842594146728516,24320276,.2937335968017578,10461,-2.271537780761719,238260,.5916595458984375,410646,351128,matched (3),15691813,.82843125,1487990.1,2407131
201102,841360,613,3838,8522034,02,1,0,0,0,0,0,0,0,0,0,0,92087,.8711919784545898,315582,-.4920387268066406,252258,-.1710138320922852,708628,.8129568099975586,15715431,.6579408645629883,1715283,-.0802621841430664,27653,932659,-.3387870788574219,168811,-.145054817199707,566,-.7498149871826172,2007156,-.2018470764160156,5486,-.288273811340332,6889,-1.02903938293457,1222998,-.0009012222290039,1002002,.1328773498535156,42041,35446,-.0638227462768555,2980723,-.1156911849975586,9330757,-.1502246856689453,3918300,.0069122314453125,8571,-1.338531494140625,13924,.6262054443359375,935471,-.0960702896118164,13339,-.8965911865234375,14477215,.4875736236572266,442789,.3613424301147461,5419,-1.225152969360352,202272,-.3804416656494141,278969,-.3403863906860352,3247805,-.2576713562011719,2431507,29403,-1.043594360351563,2816093,2062975,.1414308547973633,1422734,-.0126504898071289,1626539,-.2363166809082031,449652,15983,-1.304264068603516,31072,343651,-1.044715881347656,72741,215282,-.0774745941162109,19749,-.4350175857543945,807975,8050121,-.1752166748046875,17352940,-.3375473022460938,38558,1.304509162902832,150959,-.4563541412353516,127425,250173,matched (3),11754740,.82843125,1328048.8,2311683
201103,841360,614,3838,14028282,03,0,1,0,0,0,0,0,0,0,0,0,182528,.6841707229614258,2096079,1.893404960632324,368165,.3780784606933594,928104,.2698135375976563,11221136,-.3368453979492188,1456428,-.1635904312133789,22636,2881937,1.128177642822266,201838,.178685188293457,8214,2.675001621246338,2354114,.1594457626342773,4483,-.2019071578979492,5679,-.193150520324707,1741497,.3534393310546875,842811,-.1730127334594727,86807,76169,.7649450302124023,3241118,.0837526321411133,10947386,.1597843170166016,3330049,-.1626710891723633,24834,1.06382942199707,15179,.086298942565918,931443,-.0043144226074219,32302,.8844366073608398,9985927,-.37139892578125,968681,.782841682434082,141642,3.263391494750977,499581,.9041557312011719,1405482,1.617034912109375,4386311,.3005084991455078,1946472,26030,-.1218471527099609,5641444,1793252,-.1401185989379883,1706184,.1816787719726563,1117574,-.3752937316894531,567215,52247,1.184456825256348,7009,771458,.8086557388305664,209262,322250,.4033784866333008,24664,.2222423553466797,680698,11482133,.3551044464111328,19115580,.09674072265625,60966,.4581527709960938,126630,-.1757392883300781,30868,580483,matched (3),21267204,.82843125,1654615.3,2513546.8
201104,841360,615,3838,14215430,04,0,0,1,0,0,0,0,0,0,0,0,303060,.5070266723632813,359406,-1.763371467590332,141940,-.9531259536743164,893150,-.0383892059326172,11299652,.0069732666015625,1977052,.3056192398071289,31224,1816412,-.4615993499755859,215388,.0649757385253906,31644,1.348708152770996,1216244,-.6603965759277344,8557,.6464576721191406,1780,-1.16016149520874,1982259,.1294918060302734,946910,.1164617538452148,72472,88659,.1518421173095703,2199372,-.3877468109130859,8577133,-.2440004348754883,4060667,.1983604431152344,34488,.3283977508544922,5646,-.9889659881591797,1017671,.088536262512207,40830,.234288215637207,8653679,-.1431922912597656,1324279,.312687873840332,21981,-1.863124847412109,534827,.0681734085083008,701952,-.694270133972168,3995729,-.09326171875,4574464,26725,.0263500213623047,4581512,2485621,.3264923095703125,1403073,-.1955938339233398,1146674,.0257053375244141,707034,45227,-.1442880630493164,2609,1086694,.3426122665405273,43136,350751,.0847492218017578,27106,.0944099426269531,851801,8745246,-.2722806930541992,17339480,-.0975170135498047,283135,1.535608291625977,176421,.33160400390625,33025,1414233,matched (3),19282676,.82843125,2154259.8,2867228.8
201105,841360,616,3838,18396076,05,0,0,0,1,0,0,0,0,0,0,0,220236,-.3192310333251953,541531,.4099483489990234,316346,.8014316558837891,808361,-.0997457504272461,13704837,.1929779052734375,1755527,-.1188373565673828,25094,1906818,.0485725402832031,215789,.0018606185913086,10348,-1.117754936218262,2837145,.8470306396484375,699,-2.504854679107666,28267,2.765081882476807,1045105,-.6401195526123047,1127327,.1744003295898438,93822,93246,.0504436492919922,3264016,.3947868347167969,9398963,.0915002822875977,3755851,-.0780324935913086,101030,1.07480525970459,19867,1.258112907409668,762773,-.2883110046386719,24205,-.522857666015625,12489469,.3669013977050781,593633,-.8023614883422852,116905,1.671183586120606,526129,-.0163965225219727,734053,.0447158813476563,5458930,.3120260238647461,3130539,95868,1.277373313903809,4813145,2280692,-.0860433578491211,1959413,.333979606628418,1723671,.4075908660888672,776350,46819,.0345945358276367,64957,1259989,.1479635238647461,131298,310271,-.1226301193237305,47607,.5632247924804688,1082657,10660157,.198002815246582,21565512,.218109130859375,498439,.5655574798583984,204875,.1495265960693359,45750,3564385,matched (3),27339020,.82843125,2121710.3,2842854.3
201106,841360,617,3838,16277662,06,0,0,0,0,1,0,0,0,0,0,0,11945,-2.914386749267578,458169,-.1671628952026367,177092,-.5801668167114258,848529,.0484952926635742,17572942,.2486114501953125,1597039,-.0946178436279297,36143,1761922,-.0790300369262695,194742,-.102625846862793,11317,.089512825012207,2565914,-.1004838943481445,11663,2.814526081085205,12053,-.852381706237793,1737415,.5082807540893555,2035164,.5907268524169922,101987,98817,.0580291748046875,2870938,-.1283197402954102,9242391,-.0167999267578125,3612703,-.0388584136962891,34045,-1.087734222412109,14831,-.2923402786254883,986951,.257659912109375,29562,.1999301910400391,13768439,.0974922180175781,1255791,.7492589950561523,18359,-1.851242065429688,558727,.060114860534668,537191,-.3122272491455078,5246680,-.0396566390991211,1664022,111246,.1487712860107422,6481761,3205625,.3404273986816406,1885550,-.0384254455566406,989082,-.5554351806640625,936608,21970,-.7566118240356445,487277,1162859,-.0802211761474609,162388,465319,.4052772521972656,21172,-.8102998733520508,848419,9234346,-.1435832977294922,20513636,-.0500049591064453,45034,-2.404064178466797,184743,-.1034336090087891,44212,3447537,matched (3),12350686,.82843125,2898438.3,3461373.8
201107,841360,618,3838,15393254,07,0,0,0,0,0,1,0,0,0,0,0,115985,2.273147583007813,306730,-.4012699127197266,171840,-.0301055908203125,612451,-.3260354995727539,10011146,-.5626621246337891,683374,-.8488645553588867,21111,1636605,-.0737819671630859,50138,-1.35689640045166,34406,1.111924171447754,1769903,-.3713893890380859,4471,-.9588088989257813,73,-5.106609344482422,1510265,-.1401128768920898,1336520,-.4205074310302734,19007,28371,-1.247902870178223,2828451,-.0149097442626953,10292503,.1076164245605469,4127554,.1332283020019531,22750,-.4031181335449219,9178,-.4799108505249023,1245674,.2328119277954102,189281,1.856742858886719,10411392,-.2794780731201172,1001203,-.2265634536743164,25875,.3431577682495117,397960,-.3393096923828125,800910,.3993949890136719,5663040,.0763654708862305,2664457,11673,-2.254465103149414,4873948,2558613,-.2254409790039063,2263524,.182703971862793,1071307,.0798578262329102,818899,34291,.4452056884765625,113315,1072374,-.0810070037841797,120817,442665,-.0499105453491211,20953,-.0103979110717773,1085759,9812042,.0606803894042969,18376692,-.1100082397460938,44061,-.0218420028686523,147391,-.2258768081665039,24745,2508367,matched (3),7917754.5,.82843125,2016235.3,2765026.3
201108,841360,619,3838,16806294,08,0,0,0,0,0,0,1,0,0,0,0,39858,-1.068137168884277,375713,.2028579711914063,207671,.1893911361694336,940941,.4294118881225586,10524650,.0500221252441406,2107646,1.126284599304199,23078,2169050,.2816658020019531,39199,-.2461280822753906,42744,.2169981002807617,2025876,.1350774765014648,5908,.2786951065063477,17780,5.495369911193848,1595688,.0550203323364258,996890,-.2931833267211914,41495,26305,-.0756082534790039,4512810,.4671907424926758,13274905,.2544593811035156,4263984,.0325193405151367,31891,.3377590179443359,18245,.6870822906494141,1771480,.3521385192871094,271562,.3609580993652344,12543389,.1862926483154297,1752392,.5597801208496094,9065,-1.048856735229492,647219,.486332893371582,504872,-.4614439010620117,6060017,.0677509307861328,1922892,31771,1.001275062561035,7437715,3862761,.4119167327880859,1892822,-.1788549423217773,639092,-.5165863037109375,1046062,66358,.6601810455322266,4502,783277,-.3141441345214844,472686,478125,.0770587921142578,19646,-.0644083023071289,1301982,12504851,.2425060272216797,19674550,.0682430267333984,50545,.1372880935668945,179482,.1969852447509766,89869,2971913,matched (3),11415599,.82843125,1987694.8,2744284.3
201109,841360,620,3838,16960482,09,0,0,0,0,0,0,0,1,0,0,0,92816,.8452959060668945,504833,.2954015731811523,240102,.1451082229614258,1127723,.1810750961303711,21936768,.7344436645507813,2231167,.0569534301757813,83942,1815197,-.1780948638916016,117789,1.10024356842041,16022,-.9812660217285156,2077419,.0251235961914063,2615,-.8150434494018555,30113,.5268831253051758,702635,-.8202228546142578,997293,.0004034042358398,142459,36091,.3162851333618164,2535649,-.5764703750610352,7573086,-.5612754821777344,4025624,-.0575237274169922,23784,-.2933111190795898,52683,1.060401916503906,1907788,.0741291046142578,359219,.2797422409057617,17485460,.3321762084960938,421319,-1.425347328186035,50040,1.708401679992676,705550,.0862932205200195,629301,.2203044891357422,4003162,-.4146280288696289,2917889,131909,1.423558235168457,5872149,3948125,.0218582153320313,1897570,.0025053024291992,1671296,.9613065719604492,1306626,36015,-.6111288070678711,65722,1104616,.3437671661376953,176475,293613,-.4876089096069336,28659,.377593994140625,1224293,14723827,.1633510589599609,21968640,.11029052734375,56333,.1084165573120117,208257,.1486988067626953,57214,2266156,matched (3),21146282,.82843125,1321220.1,2307767
201110,841360,621,3838,14883193,10,0,0,0,0,0,0,0,0,1,0,0,21197,-1.476759910583496,495081,-.0195064544677734,181785,-.2782392501831055,685437,-.497899055480957,16006607,-.3151626586914063,1531097,-.3765401840209961,25151,1813864,-.0007352828979492,35238,-1.206769943237305,3656,-1.477592468261719,1304328,-.4654378890991211,8049,1.124283790588379,7539,-1.384867668151856,1099143,.44744873046875,1178984,.1673641204833984,2919,54481,.4118080139160156,2770366,.0885295867919922,8842165,.1549310684204102,3390477,-.1717100143432617,9108,-.9598598480224609,50975,-.0329580307006836,2139284,.1145267486572266,414625,.1434421539306641,10136696,-.5452079772949219,1180217,1.030063629150391,29482,-.5290422439575195,566861,-.2188634872436523,1112055,.5693559646606445,3506728,-.1324005126953125,2911584,45998,-1.05351448059082,5584428,2790256,-.34710693359375,1602321,-.1691207885742188,1822830,.0867910385131836,1039227,46176,.2485246658325195,752685,905165,-.1991357803344727,160678,387722,.2780256271362305,18639,-.430211067199707,1178263,11368199,-.2586479187011719,19479134,-.1202716827392578,46806,-.1852684020996094,131312,-.4611968994140625,56670,981185,matched (3),14704951,.82843125,1121864.9,2199715
