period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1028c440,growth1028c440,Y1275c554,Y1379c586,growth1379c586,Y1451c586,growth1451c586,Y1490c268,growth1490c268,Y1706c620,growth1706c620,Y1772c498,Y1774c68,growth1774c68,Y1851c268,growth1851c268,Y2104c203,Y2166c498,Y2319c484,growth2319c484,Y232c300,growth232c300,Y2360c344,Y2553c705,growth2553c705,Y2646c703,growth2646c703,Y2743c616,growth2743c616,Y2813c218,Y2865c222,growth2865c222,Y2867c703,growth2867c703,Y3032c68,growth3032c68,Y3094c124,growth3094c124,Y3178c372,growth3178c372,Y3257c222,growth3257c222,Y3517c792,growth3517c792,Y3727c348,growth3727c348,Y3727c68,growth3727c68,Y3885c208,growth3885c208,Y3912c32,Y4002c246,growth4002c246,Y4082c642,Y4132c300,growth4132c300,Y4163c818,Y4241c233,Y4252c300,growth4252c300,Y4368c124,growth4368c124,Y4380c498,Y4417c554,Y4450c807,growth4450c807,Y4481c752,growth4481c752,Y4525c757,growth4525c757,Y4613c222,growth4613c222,Y4830c792,growth4830c792,Y4937c203,Y4992c152,growth4992c152,Y5025c440,growth5025c440,Y545c203,Y638c208,growth638c208,Y736c442,Y983c818,_merge,x,r2,s,sf
201011,901820,610,4752,882958,11,0,0,0,0,0,0,0,0,0,1,0,14315,.0231800079345703,602564,347318,-.0843048095703125,154071,.0111541748046875,100374,1.219643592834473,48910,.3555364608764648,113365,131878,-.083648681640625,107313,.4889020919799805,817864,148616,269332,-1.034411430358887,27649,.3636379241943359,1072367,360463,-.2650814056396484,306291,1.726261138916016,216041,.4794282913208008,126320,144452,.5445623397827148,28700,1.631633758544922,37178,.6581029891967773,154896,.1527204513549805,92905,-.9565830230712891,75745,.1992063522338867,2901740,-.3650741577148438,112888,1.539671897888184,44686,-.1377964019775391,1163942,2.088976860046387,357220,117039,.3127517700195313,25723,47337,2.258510589599609,312423,12138,1303905,.6755514144897461,231409,-.1361160278320313,215926,737843,11184,.475311279296875,379584,-.1010026931762695,680919,.2564973831176758,32885,.5442714691162109,1614469,.080470085144043,635794,357405,-.1635351181030273,16975,.9271001815795898,1993,101910,1.461192131042481,379051,410930,matched (3),325468.53,.87384516,92576.273,163815.27
201012,901820,611,4752,170977,12,0,0,0,0,0,0,0,0,0,0,1,10278,-.3313026428222656,475669,96700,-1.278627395629883,111084,-.3271265029907227,41227,-.8898105621337891,43039,-.1278753280639648,140199,123475,-.0658388137817383,90940,-.1655492782592773,581707,5477,109126,-.9034414291381836,33178,.1822977066040039,1425346,294672,-.2015266418457031,37845,-2.091036796569824,86568,-.9145374298095703,57576,255793,.5714206695556641,26992,-.0613565444946289,47412,.2431573867797852,95641,-.482151985168457,251270,.9949502944946289,54963,-.3207120895385742,2040468,-.3521318435668945,65921,-.5379390716552734,30880,-.3695516586303711,133057,-2.168790817260742,334362,52583,-.800114631652832,15386,9504,-1.605579376220703,175267,186064,753534,-.548344612121582,285339,.2094907760620117,285187,616923,1935,-1.754377365112305,289393,-.2712907791137695,1025292,.4092893600463867,13654,-.8789844512939453,908761,-.5746793746948242,542170,461845,.2563600540161133,5589,-1.110941886901856,5353,59179,-.543522834777832,365320,243057,matched (3),106600.23,.87384516,106653.2,172162.66
201101,901820,612,4752,253442,01,0,0,0,0,0,0,0,0,0,0,0,7292,-.3432273864746094,399520,247553,.9400119781494141,291798,.9657754898071289,129430,1.144046783447266,114951,.9823989868164063,77022,95117,-.2609310150146484,56793,-.4707870483398438,1050564,156380,139696,.2469654083251953,20989,-.4578886032104492,1041221,448358,.4197292327880859,94656,.9167509078979492,144590,.5129718780517578,28145,44240,-1.754738807678223,13213,-.7143392562866211,48381,.0202322006225586,118512,.2144126892089844,389230,.4376420974731445,276658,1.616122245788574,2940084,.3652591705322266,31383,-.7421903610229492,41304,.2908506393432617,112852,-.1646995544433594,179831,107040,.7108097076416016,58205,12572,.279759407043457,343436,14429,812275,.0750646591186523,184240,-.4374380111694336,14082,752541,19970,2.334123611450195,353906,.2012462615966797,603319,-.5302867889404297,28527,.7368183135986328,327440,-1.020776748657227,503258,241349,-.6489858627319336,15503,1.020233154296875,7896,102070,.5450916290283203,219251,831875,matched (3),54614.008,.87384516,67567.609,151097.52
201102,901820,613,4752,106849,02,1,0,0,0,0,0,0,0,0,0,0,4659,-.4479770660400391,111025,226841,-.0873756408691406,47603,-1.813166618347168,46152,-1.031199455261231,105568,-.0851497650146484,93303,111906,.1625518798828125,111231,.6721963882446289,393460,17881,392226,1.032369613647461,61120,1.068840980529785,590468,230552,-.6651163101196289,81362,-.151341438293457,265294,.6069364547729492,25088,77512,.5608034133911133,3672,-1.280465126037598,9286,-1.650599479675293,95926,-.2114372253417969,323992,-.1834516525268555,106225,-.9572229385375977,1409185,-.7354269027709961,20255,-.4378652572631836,81729,.6824493408203125,133828,.1704778671264648,171919,92690,-.1439418792724609,194559,10360,-.1935195922851563,261807,72872,664365,-.2010078430175781,89390,-.7232303619384766,114682,671930,31335,.450505256652832,381094,.0740146636962891,384858,-.4495716094970703,21112,-.3010091781616211,2394257,1.989522933959961,649338,529317,.785344123840332,5093,-1.113165855407715,22835,104715,.0255842208862305,590688,406237,matched (3),40642.441,.87384516,130413.39,187810.36
201103,901820,614,4752,77969,03,0,1,0,0,0,0,0,0,0,0,0,9444,.7065792083740234,282928,799486,1.259719848632813,106030,.8008260726928711,56789,.207402229309082,46965,-.8099527359008789,106076,101803,-.0946197509765625,87770,-.2368898391723633,744635,34988,675137,.5430774688720703,35781,-.5354223251342773,1752412,174279,-.2798185348510742,102361,.2295970916748047,186866,-.3504467010498047,17722,92709,.1790323257446289,50634,2.623887062072754,25880,1.024962425231934,90383,-.0595207214355469,60080,-1.685041427612305,97507,-.0856351852416992,1148023,-.2049694061279297,60896,1.100766181945801,44519,-.6074924468994141,178193,.2863121032714844,226958,46169,-.6969518661499023,254584,6916,-.4041147232055664,403746,938,1737528,.9613876342773438,190796,.7581958770751953,23659,568199,914,-3.534660816192627,366354,-.0394458770751953,654889,.5315914154052734,41670,.6799402236938477,2565574,.0691089630126953,602881,254905,-.7306966781616211,4947,-.0290861129760742,826,34886,-1.099157333374023,423820,338433,matched (3),132731.56,.87384516,95345.758,165396.17
201104,901820,615,4752,202314,04,0,0,1,0,0,0,0,0,0,0,0,20023,.7515020370483398,745401,310483,-.9458398818969727,351648,1.198908805847168,110034,.6614465713500977,125445,.9824647903442383,116590,162354,.4667396545410156,100545,.1358861923217773,491692,67784,405238,-.510441780090332,293173,2.10334587097168,2330016,295555,.5281972885131836,81135,-.232391357421875,167600,-.1088123321533203,75919,112545,.1938877105712891,15612,-1.176583290100098,27004,.0425148010253906,111212,.2073822021484375,671022,2.413125038146973,100766,.0328769683837891,218958,-1.656916618347168,40004,-.4201879501342773,44931,.009211540222168,464570,.9582443237304688,159266,269286,1.763465881347656,133902,6095,-.126368522644043,188963,483200,1026696,-.526118278503418,109756,-.5529451370239258,29506,665791,6932,2.026072978973389,459804,.2271995544433594,1030091,.4529361724853516,42330,.0157146453857422,2929595,.1326828002929688,663827,276389,.0809183120727539,8311,.518798828125,12897,146211,1.432965278625488,533603,400661,matched (3),32032.045,.87384516,103832.23,170429.48
201105,901820,616,4752,125517,05,0,0,0,1,0,0,0,0,0,0,0,12508,-.4705133438110352,1288406,686329,.7932281494140625,86144,-1.406610488891602,75716,-.3737993240356445,53064,-.8603687286376953,117551,80765,-.6982355117797852,100495,-.0004978179931641,496488,144653,417240,.0291872024536133,29155,-2.308135986328125,1369900,292405,-.0107145309448242,78453,-.0336141586303711,134068,-.2232322692871094,24041,109472,-.027684211730957,18107,.148259162902832,27569,.0207071304321289,110377,-.0075368881225586,75137,-2.189489364624023,89667,-.1166982650756836,39070,-1.723525047302246,74608,.6232681274414063,35584,-.2332315444946289,213020,-.7797260284423828,243003,84479,-1.159271240234375,2515,3085,-.6809177398681641,455332,61580,817977,-.2272663116455078,81676,-.2954998016357422,98550,649697,6577,-.0525693893432617,238531,-.6563005447387695,383690,-.9875669479370117,20727,-.7140588760375977,2817170,-.0391321182250977,513217,255380,-.0790567398071289,5877,-.3465337753295898,7819,94982,-.4313631057739258,526891,774161,matched (3),694722.19,.87384516,119997.23,180732.98
201106,901820,617,4752,309570,06,0,0,0,0,1,0,0,0,0,0,0,11774,-.0604753494262695,762307,882593,.2515068054199219,315450,1.297980308532715,122703,.4827766418457031,47080,-.1196508407592773,134038,145061,.5856103897094727,105897,.0523586273193359,544773,149749,315372,-.2799081802368164,8676,-1.212066650390625,1313900,443171,.4158153533935547,104601,.2876529693603516,88260,-.418060302734375,38779,72390,-.4136009216308594,33913,.6274995803833008,35886,.2636556625366211,108199,-.0199298858642578,69883,-.0724906921386719,144368,.4762630462646484,830721,3.056939125061035,74760,.0020351409912109,52887,.3962612152099609,174613,-.1988134384155273,229303,88587,.0474824905395508,65427,3324,.0746173858642578,503059,39740,964370,.1646404266357422,313086,1.343717575073242,244244,711100,10352,.4536008834838867,298422,.2240095138549805,630431,.4965686798095703,19620,-.0548877716064453,1941806,-.3721141815185547,589793,649516,.9334745407104492,23846,1.400569915771484,32402,83652,-.1270227432250977,355527,401317,matched (3),84259.398,.87384516,89884.359,162309.2
201107,901820,618,4752,260277,07,0,0,0,0,0,1,0,0,0,0,0,6834,-.5439834594726563,216378,752559,-.1593847274780273,103523,-1.114206314086914,44977,-1.003615379333496,59754,.2383880615234375,108794,124575,-.1522464752197266,136538,.2541360855102539,700819,17261,404628,.2492151260375977,4679,-.6174755096435547,825753,288932,-.4277639389038086,104470,-.0012531280517578,142642,.4800510406494141,37208,46315,-.4466018676757813,9814,-1.239988327026367,29212,-.2057676315307617,73284,-.3896293640136719,174669,.9160709381103516,92907,-.4407672882080078,2570443,1.129539489746094,211036,1.037745475769043,30461,-.5517101287841797,122300,-.3560953140258789,93604,89521,.0104875564575195,24070,232161,4.246262550354004,354942,680350,935847,-.0300226211547852,360462,.1409091949462891,131086,491380,10014,-.0331954956054688,105497,-1.039826393127441,371440,-.5290164947509766,12521,-.4491424560546875,1550782,-.2248592376708984,411302,273313,-.8656101226806641,22,-6.98832893371582,18629,72861,-.1381111145019531,326503,339960,matched (3),132627.36,.87384516,113103.21,176231.14
201108,901820,619,4752,591803,08,0,0,0,0,0,0,1,0,0,0,0,18533,.9976434707641602,238640,839269,.1090517044067383,220555,.7563533782958984,62301,.3258266448974609,75420,.2328357696533203,93281,137681,.100031852722168,255724,.6274957656860352,1208713,301071,816587,.7021646499633789,17341,1.309988975524902,980202,208619,-.3256816864013672,59108,-.5695333480834961,222920,.4464750289916992,64518,70256,.4166793823242188,57013,1.759469032287598,21733,-.2957477569580078,105731,.3665552139282227,231756,.2827920913696289,109009,.1598320007324219,2418518,-.0609235763549805,36646,-1.750723838806152,70839,.8439626693725586,428526,1.253873825073242,257278,194505,.7759847640991211,897616,72246,-1.167354583740234,491686,101950,1094141,.1562728881835938,335465,-.071868896484375,110197,845239,4905,-.7137289047241211,234637,.7993574142456055,851055,.8290891647338867,10973,-.1319694519042969,563241,-1.01280689239502,634520,548722,.6969747543334961,11161,6.229138374328613,8233,101405,.3305683135986328,387032,414801,matched (3),336493.66,.87384516,86119.313,160254.84
