period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1171c616,growth1171c616,Y1330c251,growth1330c251,Y1384c807,growth1384c807,Y1397c620,growth1397c620,Y1454c807,growth1454c807,Y1483c222,growth1483c222,Y1503c807,growth1503c807,Y1624c152,Y1635c124,growth1635c124,Y1653c705,growth1653c705,Y1771c442,Y1818c152,growth1818c152,Y257c440,growth257c440,Y2630c300,growth2630c300,Y2654c246,growth2654c246,Y2739c68,Y2752c222,growth2752c222,Y2764c381,Y2826c620,growth2826c620,Y2826c757,growth2826c757,Y2927c752,growth2927c752,Y3032c554,Y3159c440,growth3159c440,Y3435c222,growth3435c222,Y3594c826,growth3594c826,Y3687c642,Y3695c348,growth3695c348,Y3882c246,growth3882c246,Y3896c381,Y4020c620,growth4020c620,Y4147c124,growth4147c124,Y4164c705,growth4164c705,Y4170c372,growth4170c372,Y4187c203,Y4235c68,growth4235c68,Y4265c818,Y4306c152,growth4306c152,Y4358c807,growth4358c807,Y4422c300,growth4422c300,Y4459c300,growth4459c300,Y4459c642,Y4494c246,growth4494c246,Y4532c372,growth4532c372,Y4724c484,growth4724c484,Y472c372,growth472c372,Y4745c300,growth4745c300,Y4819c251,growth4819c251,Y4819c440,growth4819c440,Y4892c152,growth4892c152,Y616c372,growth616c372,_merge,x,r2,s,sf
201011,300420,610,1378,995994,11,0,0,0,0,0,0,0,0,0,1,0,1290047,-.0655193328857422,1387643,.109919548034668,6717630,-.1392993927001953,3304084,-.3481159210205078,9835,-.7865610122680664,542909,-.18084716796875,180289,.1910915374755859,46508,771392,-.5295686721801758,175366,-.331787109375,784563,614456,.4458236694335938,45949,.0291261672973633,26174,-.9518404006958008,19934,.173431396484375,3128,5787,-.064732551574707,22745504,515444,-.5052318572998047,1694405,-.0325813293457031,12575,-1.443606376647949,247419,156412,-.3987331390380859,99165,-.430811882019043,19977142,-.2726917266845703,240713,310005,.0275564193725586,349464,-.8608121871948242,475241,228449,-.2545633316040039,641885,-1.434702873229981,1516662,.0738353729248047,451990,-.380610466003418,100845,253621,.0403127670288086,261278,969619,-1.974928855895996,12511,-.8155117034912109,551018,-.105504035949707,11251,1.514621257781982,571458,243034,.1480236053466797,4204062,-.3067331314086914,195433,-.243250846862793,126648,-.1556997299194336,75668,-.6057987213134766,45401032,-.0592269897460938,652085,-.0096836090087891,73276,-.1454372406005859,757864,-.3973674774169922,matched (3),-745457.63,.8697713,349549.59,578649.5
201012,300420,611,1378,1569311,12,0,0,0,0,0,0,0,0,0,0,1,1168806,-.0986957550048828,1586722,.134063720703125,7080190,.0525646209716797,3992154,.1891717910766602,21615,.787440299987793,664117,.2015171051025391,204669,.1268320083618164,91759,1419116,.6095924377441406,245064,.3346443176269531,893822,908287,.3908233642578125,61543,.2922039031982422,18255,-.3603277206420898,19193,-.0378808975219727,6839,3750,-.4338579177856445,26391052,579934,.1178855895996094,1852214,.08905029296875,206010,2.796214103698731,99339,145331,-.0734796524047852,61627,-.4756851196289063,11366971,-.5638771057128906,125391,232421,-.2880373001098633,355089,.0159683227539063,527881,799660,1.252873420715332,829706,.2566623687744141,601065,-.9255638122558594,835882,.6148271560668945,101518,229785,-.0986967086791992,97539,1134176,.1567583084106445,67818,1.690219879150391,938011,.5319948196411133,3159,-1.270201683044434,545541,347448,.3574142456054688,4349898,.0341005325317383,548754,1.032432556152344,179573,.3491706848144531,73786,-.0251865386962891,45401636,.0000133514404297,771339,.1679534912109375,41458,-.5695524215698242,1116692,.3876218795776367,matched (3),1255261.9,.8697713,421418.56,624695.06
201101,300420,612,1378,2052024,01,0,0,0,0,0,0,0,0,0,0,0,1342039,.1382064819335938,2567845,.4813966751098633,6198792,-.1329460144042969,8580507,.765162467956543,16063,-.2968692779541016,684150,.0297183990478516,36829,-1.715107917785645,73238,1345334,-.0533914566040039,285660,.1532821655273438,1025206,311291,-1.070832252502441,37787,-.4877710342407227,33347,.6025295257568359,55551,1.062755584716797,11036,1785,-.742337703704834,32767416,709425,.2015399932861328,3090779,.5120410919189453,138182,-.39935302734375,370365,197775,.3081159591674805,61658,.0005025863647461,18139394,.4673748016357422,269824,339785,.3797626495361328,767679,.7710027694702148,489738,580417,-.320439338684082,2127976,.9418544769287109,1156625,.6545581817626953,1352807,.4814491271972656,88483,690,-5.808207511901856,297716,1640027,.3688068389892578,7654,-2.181599617004395,410606,-.8261280059814453,18143,1.748028755187988,679781,375670,.0780963897705078,5392800,.2149124145507813,334511,-.4949808120727539,30560,-1.770890235900879,497339,1.908102989196777,36024704,-.2313442230224609,669578,-.1414804458618164,96671,.8466329574584961,642373,-.5529565811157227,matched (3),955890.31,.8697713,353804.34,581229.63
201102,300420,613,1378,1544575,02,1,0,0,0,0,0,0,0,0,0,0,1200268,-.1116447448730469,1039085,-.9047260284423828,5394378,-.1389970779418945,5869587,-.3797092437744141,5129,-1.141607284545898,594284,-.1408195495605469,111302,1.105961799621582,54574,1549999,.1416120529174805,145086,-.6774749755859375,999107,107996,-1.058633804321289,46176,.2004947662353516,26984,-.2117242813110352,12052,-1.528070449829102,317,3380,.6384577751159668,32944496,636005,-.109248161315918,3729024,.1877231597900391,120521,-.1367473602294922,150451,105961,-.624058723449707,48909,-.2316408157348633,25351878,.3347663879394531,213923,283749,-.1802234649658203,207683,-1.307358741760254,437969,257475,-.8128242492675781,725213,-1.076460838317871,1422587,.2069711685180664,351425,-1.347940444946289,99105,37001,3.982008934020996,49355,714730,-.8305635452270508,5786,-.2797870635986328,205281,-.6932544708251953,19559,.0751514434814453,268895,273526,-.3173151016235352,3304392,-.489811897277832,274364,-.1982135772705078,127550,1.428816795349121,50024,-2.296769142150879,46585676,.2570877075195313,458865,-.3778915405273438,21891,-1.485238075256348,613574,-.0458688735961914,matched (3),-166929.25,.8697713,382783.16,599310.69
201103,300420,614,1378,2005471,03,0,1,0,0,0,0,0,0,0,0,0,1779193,.3936147689819336,2777864,.9833412170410156,6581248,.1988668441772461,3863940,-.4180965423583984,11671,.8221960067749023,645635,.0828771591186523,187073,.519251823425293,91676,1775204,.1356611251831055,230393,.4624595642089844,1023173,751059,1.939390182495117,56502,.2018156051635742,30630,.1267356872558594,28110,.8468942642211914,14560,10239,1.108327865600586,31810278,1119977,.56585693359375,3457047,-.0757312774658203,46953,-.9426765441894531,250659,178479,.5213994979858398,130293,.9798240661621094,25422020,.0027637481689453,247893,328613,.1467905044555664,1582223,2.030573844909668,535252,633907,.9009790420532227,1091235,.408599853515625,1546956,.0838117599487305,1038796,1.083821296691895,220750,407804,2.39984130859375,90363,1702745,.8680925369262695,9739,.5206975936889648,582806,1.043475151062012,12333,-.4611577987670898,254095,159673,-.5382680892944336,6151723,.6214799880981445,360462,.2729310989379883,234212,.6077184677124023,176401,1.260256767272949,50107460,.0728778839111328,789205,.5422697067260742,71973,1.190216064453125,1408651,.8310871124267578,matched (3),-589547,.8697713,336904,571099.5
201104,300420,615,1378,1012740,04,0,0,1,0,0,0,0,0,0,0,0,1571957,-.1238384246826172,2253082,-.2093830108642578,6319173,-.0406360626220703,5963876,.4340333938598633,15787,.3020792007446289,552340,-.1560707092285156,65421,-1.050656318664551,118570,2684635,.4136295318603516,414063,.5862312316894531,1027519,272407,-1.014186859130859,64559,.1333036422729492,52728,.5431671142578125,6947,-1.397814750671387,1284,8426,-.1948814392089844,26473340,630678,-.5742683410644531,1961084,-.5669174194335938,33491,-.3378705978393555,200252,158223,-.1204652786254883,99073,-.2739286422729492,19099012,-.285980224609375,329634,318865,-.0301122665405273,784201,-.7019205093383789,1008398,276784,-.8286647796630859,996804,-.0905113220214844,1390715,-.106471061706543,354515,-1.075066566467285,52208,191401,-.7564163208007813,20912,1991482,.1566371917724609,8265,-.1641092300415039,514742,-.1241884231567383,7004,-.5657968521118164,149655,131379,-.1950416564941406,5287485,-.1513900756835938,330358,-.0872097015380859,112164,-.7362651824951172,43470,-1.400688171386719,48270364,-.037353515625,1415215,.5840110778808594,79184,.0954828262329102,1061691,-.2827692031860352,matched (3),341410.44,.8697713,296939.28,548473.56
201105,300420,616,1378,607609,05,0,0,0,1,0,0,0,0,0,0,0,1885640,.18194580078125,1123482,-.695866584777832,8007149,.2367467880249023,4374584,-.3099098205566406,19706,.2217369079589844,803436,.3747339248657227,107078,.4927148818969727,63115,1923494,-.3334016799926758,265940,-.4427471160888672,976863,489524,.5861358642578125,52591,-.2050342559814453,25898,-.7109804153442383,20402,1.077322959899902,5061,3861,-.7803964614868164,25580170,251838,-.9180088043212891,1696395,-.1449918746948242,30001,-.11004638671875,394938,155676,-.0162286758422852,88285,-.1152868270874023,22145140,.1479816436767578,408337,309695,-.0291805267333984,211442,-1.310714721679688,839986,90401,-1.118982315063477,785873,-.2377586364746094,1524617,.0919256210327148,307362,-.1427249908447266,40073,290,-6.492244720458984,73652,2460149,.2113428115844727,20799,.9228754043579102,446199,-.1429014205932617,15079,.7668218612670898,215091,48883,-.9886569976806641,4697761,-.1182565689086914,285666,-.1453542709350586,151131,.2981853485107422,111611,.9429483413696289,46817176,-.0305671691894531,889006,-.4649333953857422,52130,-.4180335998535156,1044944,-.015899658203125,matched (3),-497078.72,.8697713,222288.75,511920.53
201106,300420,617,1378,2628865,06,0,0,0,0,1,0,0,0,0,0,0,1702716,-.1020421981811523,2321835,.7259254455566406,6291744,-.2410964965820313,5527963,.2340078353881836,23019,.1553964614868164,718044,-.1123666763305664,52068,-.7210073471069336,65377,2734486,.3517999649047852,577548,.7755212783813477,1210520,437294,-.1128273010253906,45807,-.1381082534790039,40675,.4514474868774414,7841,-.9562664031982422,6686,4990,.2565097808837891,31006500,467855,.6193723678588867,1717476,.0123500823974609,45610,.4188966751098633,216706,40230,-1.353163719177246,164431,.6219205856323242,31399290,.3491687774658203,365181,361628,.1550283432006836,266624,.2318887710571289,732953,252573,1.027445793151856,1783623,.8196067810058594,1073988,-.3503646850585938,309330,.006382942199707,92875,484599,7.421195983886719,172623,2696355,.0916786193847656,22161,.0634288787841797,274969,-.4841060638427734,7079,-.7561702728271484,358861,259085,1.667726516723633,5729853,.198603630065918,262298,-.0853414535522461,39039,-1.353586196899414,149549,.2926044464111328,47456200,.0135574340820313,630591,-.3434457778930664,66702,.2464942932128906,1152634,.0980863571166992,matched (3),875970.75,.8697713,288038.56,543706.31
201107,300420,618,1378,2843248,07,0,0,0,0,0,1,0,0,0,0,0,1200283,-.3496675491333008,2741027,.1659746170043945,8073463,.2493438720703125,5872717,.0604982376098633,23820,.034205436706543,695579,-.0317859649658203,237839,1.519043922424316,122008,3174165,.1491012573242188,763170,.2786884307861328,1336950,456858,.043766975402832,40649,-.1194629669189453,78295,.6548700332641602,20212,.9469099044799805,7011,1495,-1.205309391021729,34209680,589269,.2307243347167969,2853035,.5075273513793945,526327,2.445796012878418,329100,258408,1.859926223754883,273838,.5100460052490234,37926512,.1888637542724609,369767,340382,-.0605478286743164,325462,.1994056701660156,2098349,447023,.5709095001220703,1762733,-.0117816925048828,871990,-.2083559036254883,558806,.5913934707641602,102587,774123,.468409538269043,400587,1551565,-.5526361465454102,8303,-.9817171096801758,236354,-.1513280868530273,13365,.6355066299438477,361746,261559,.0095033645629883,5125175,-.1115245819091797,452478,.545257568359375,295437,2.023894309997559,88237,-.5275974273681641,42601192,-.1079254150390625,662838,.0498723983764648,63837,-.0439023971557617,765217,-.4096460342407227,matched (3),3270492.5,.8697713,426248.72,627963.63
201108,300420,619,1378,731550,08,0,0,0,0,0,0,1,0,0,0,0,1513277,.231719970703125,419461,-1.877117156982422,5185854,-.4426479339599609,3709673,-.4593734741210938,10058,-.862156867980957,619062,-.1165399551391602,84584,-1.033849716186523,202600,3015875,-.0511550903320313,479947,-.4638042449951172,1047699,197209,-.8401088714599609,37138,-.0903329849243164,10284,-2.029894828796387,8276,-.8929166793823242,920,2633,.5659976005554199,30892356,872698,.3927068710327148,2186246,-.2661972045898438,51606,-2.322284698486328,181671,197548,-.2685575485229492,40309,-1.915962219238281,31554112,-.1839466094970703,256481,302723,-.1172504425048828,992191,1.114669799804688,769473,230926,-.6605129241943359,1458260,-.1896209716796875,864361,-.0087881088256836,652871,.1555767059326172,40031,55356,-2.637946128845215,393740,5508890,1.267098426818848,6919,-.1823453903198242,173722,-.3078746795654297,2998,-1.494693756103516,324446,183002,-.3571624755859375,3979068,-.253117561340332,320370,-.3452625274658203,30931,-2.256696701049805,106009,.183497428894043,37448196,-.1289234161376953,582181,-.1297483444213867,103348,.4817695617675781,705087,-.0818376541137695,matched (3),73901.438,.8697713,332441.84,568478.63
