period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1064c376,Y1246c372,growth1246c372,Y1257c152,growth1257c152,Y1266c705,growth1266c705,Y1421c620,growth1421c620,Y1511c124,growth1511c124,Y1640c124,growth1640c124,Y2154c208,growth2154c208,Y2208c300,growth2208c300,Y256c352,growth256c352,Y260c428,growth260c428,Y2797c124,growth2797c124,Y2832c68,growth2832c68,Y3083c344,Y3204c703,growth3204c703,Y3414c818,Y3422c152,growth3422c152,Y3429c352,growth3429c352,Y3545c124,growth3545c124,Y3612c246,Y3730c152,growth3730c152,Y3826c600,growth3826c600,Y3832c688,growth3832c688,Y3834c484,growth3834c484,Y3862c752,growth3862c752,Y3865c792,growth3865c792,Y3912c600,growth3912c600,Y3915c191,growth3915c191,Y3928c372,growth3928c372,Y4026c428,Y409c268,growth409c268,Y4144c152,Y4152c203,Y4392c586,growth4392c586,Y4405c372,growth4405c372,Y4431c372,growth4431c372,Y4490c124,growth4490c124,Y4536c268,Y4570c300,Y4739c152,growth4739c152,Y4757c300,growth4757c300,Y4805c705,growth4805c705,Y4818c376,Y4851c428,growth4851c428,Y4851c498,Y5021c124,growth5021c124,Y5029c428,growth5029c428,Y664c124,growth664c124,Y959c586,growth959c586,Y966c807,growth966c807,_merge,x,r2,s,sf
201011,400942,610,1815,585330,11,0,0,0,0,0,0,0,0,0,1,0,156000,170183,-.7276277542114258,1256274,-.0812807083129883,95909,-.4878273010253906,66766,-.8745040893554688,878414,-.0491647720336914,48741516,-.0519809722900391,19607,.8046646118164063,54601,.2318305969238281,4981,.3147459030151367,87575,.0040159225463867,493026,-.0779409408569336,24764,-.1554880142211914,49382,44456,-1.641864776611328,2172999,286717,-1.011275291442871,810849,.8000078201293945,207869,-.2898454666137695,34503,27676,-.1816530227661133,183574,1.444511413574219,163459,-.438450813293457,1247961,-.141937255859375,626673,-.1468677520751953,3212164,.8712787628173828,85119,-.1535310745239258,43344,-.083465576171875,83645,-.1981945037841797,30966,79066,2.036295890808106,181680,251690,19535080,.9270362854003906,3302355,.3417701721191406,128971,-2.211470603942871,1924085,-.0395221710205078,427327,20781,1330275,-.5785770416259766,2331639,.1525068283081055,26989,-.3779048919677734,1463000,10726,-.1052112579345703,6999,1265450,-.7021245956420898,33493,1.925372123718262,87550,-.4221601486206055,291249,-.6934919357299805,15946,-1.000375747680664,matched (3),958276.75,.86756533,235668.47,391460.78
201012,400942,611,1815,875291,12,0,0,0,0,0,0,0,0,0,0,1,1018000,341474,.6963968276977539,1777691,.3471651077270508,178089,.6188831329345703,54493,-.2031221389770508,1118319,.2414646148681641,47760368,-.0203342437744141,1613,-2.497791290283203,238330,1.473604202270508,5680,.1313209533691406,115795,.2793254852294922,765345,.4397649765014648,19465,-.2407732009887695,3834,424063,2.255381584167481,9962756,489863,.5356302261352539,631772,-.2495527267456055,231653,.108332633972168,79033,72208,.9589853286743164,105972,-.5494422912597656,208213,.241999626159668,854919,-.3782596588134766,530643,-.1663351058959961,4113453,.2473182678222656,199858,.8535566329956055,94400,.7783727645874023,111075,.2836236953735352,228708,105951,.292694091796875,283102,204636,7912616,-.903752326965332,3821718,.1460647583007813,173088,.2942132949829102,2259975,.1609029769897461,325415,0,2756621,.7286205291748047,2113017,-.098454475402832,126113,1.541749000549316,1125000,18524,.5463962554931641,7325,2206325,.5559005737304688,44418,.2823076248168945,227212,.9536733627319336,592230,.709716796875,21023,.2764091491699219,matched (3),1072824.4,.86756533,227469.3,386580.13
201101,400942,612,1815,797733,01,0,0,0,0,0,0,0,0,0,0,0,803000,333909,-.0224027633666992,1083650,-.4949808120727539,42074,-1.442852973937988,94342,.548853874206543,827418,-.3012723922729492,61372828,.2507705688476563,655,-.9012155532836914,95284,-.9167947769165039,4417,-.251490592956543,81537,-.350764274597168,608020,-.2301197052001953,13484,-.3671140670776367,3060,30888,-2.619513511657715,3800735,442127,-.1025285720825195,429759,-.3853044509887695,242565,.0460290908813477,38196,8373,-2.154539108276367,46346,-.8270406723022461,14708,-2.65017032623291,839971,-.01763916015625,379504,-.3352241516113281,3062708,-.2949638366699219,84542,-.8603582382202148,15178,-1.827693939208984,123873,.1090507507324219,214259,22136,-1.56577205657959,451249,2461166,5154599,-.4285697937011719,802650,-1.560537338256836,68494,-.9270544052124023,1977522,-.1335086822509766,492743,2766,1472630,-.6269559860229492,1712044,-.2104282379150391,63039,-.693425178527832,1869000,15832,-.1570339202880859,890,1926303,-.1357259750366211,6905,-1.861398696899414,220969,-.0278615951538086,273766,-.7716217041015625,13,-7.388422966003418,matched (3),781745.69,.86756533,148866.86,346212.72
201102,400942,613,1815,811171,02,1,0,0,0,0,0,0,0,0,0,0,1218000,480909,.3648090362548828,1156920,.0654268264770508,90117,.7616786956787109,120732,.2466468811035156,965929,.154780387878418,52638508,-.1535186767578125,5023,2.037147521972656,147573,.4374618530273438,4891,.1019363403320313,148518,.5996494293212891,794256,.2671985626220703,14221,.0532159805297852,1359,52958,.5391311645507813,3605193,289368,-.4238977432250977,597542,.3296003341674805,310185,.2458992004394531,36211,62469,2.009658813476563,117804,.9328880310058594,212006,2.668223381042481,1140084,.3054895401000977,701381,.6141862869262695,5776287,.6344623565673828,133385,.4559907913208008,107620,1.958759307861328,111777,-.1027507781982422,4872,67977,1.121964454650879,1177894,1383708,6742295,.2685117721557617,1135437,.3468542098999023,128351,.6280221939086914,1907574,-.0360126495361328,626793,887,1640176,.1077537536621094,2152570,.2289743423461914,104883,.5090913772583008,1340000,24942,.4545202255249023,928,2282575,.1697015762329102,17400,.924224853515625,325574,.3875675201416016,368533,.2972564697265625,14670,7.028611183166504,matched (3),1883800.9,.86756533,238388.64,393104.38
201103,400942,614,1815,660117,03,0,1,0,0,0,0,0,0,0,0,0,2457000,439223,-.0906705856323242,1169085,.0104598999023438,134906,.4034690856933594,85135,-.349334716796875,995487,.0301418304443359,71653512,.3083934783935547,1890,-.9774508476257324,95123,-.439152717590332,7082,.3701591491699219,137104,-.0799665451049805,529441,-.4055843353271484,19274,.3040370941162109,532,25520,-.730036735534668,2503107,471852,.4889659881591797,334777,-.5793600082397461,259142,-.1797924041748047,121553,35584,-.562774658203125,68251,-.5458307266235352,215149,.0147161483764648,1009418,-.1217279434204102,559806,-.2254610061645508,4801346,-.1848649978637695,61029,-.781890869140625,79016,-.3089561462402344,51313,-.7785615921020508,15826,29626,-.8305168151855469,339230,148613,8773727,.2633609771728516,652657,-.5537204742431641,90534,-.3490428924560547,2088084,.0904150009155273,198966,896,1761656,.0714502334594727,2063789,-.042119026184082,26530,-1.374568939208984,1290000,9696,-.9448394775390625,4998,2103553,-.0816764831542969,12888,-.3001737594604492,169361,-.6535568237304688,399285,.0801448822021484,28759,.6731462478637695,matched (3),1204428.1,.86756533,199960.16,371060.59
201104,400942,615,1815,976452,04,0,0,1,0,0,0,0,0,0,0,0,1547000,472729,.0735149383544922,1334384,.1322479248046875,149922,.1055374145507813,173136,.7098388671875,928598,-.0695562362670898,91974808,.2496719360351563,1560,-.1918907165527344,45059,-.7471981048583984,6706,-.0545539855957031,153647,.1139183044433594,646684,.2000360488891602,14349,-.2950763702392578,1779,87562,1.232884407043457,6534483,472106,.0005378723144531,1902449,1.737432479858398,179771,-.3656930923461914,344832,52021,.3797512054443359,123087,.5896997451782227,153315,-.338836669921875,773063,-.2667684555053711,313940,-.5783882141113281,8425399,.5623540878295898,64130,.0495634078979492,51224,-.4334421157836914,69699,.3062419891357422,33518,45121,.4206953048706055,176777,628732,12710413,.3706607818603516,1323453,.7069473266601563,112547,.2176456451416016,2131167,.0204229354858398,491418,50460,2359176,.2920589447021484,1690667,-.1994209289550781,8711,-1.113689422607422,4200000,25009,.9475221633911133,6248,2129468,.0122442245483398,91028,1.954870223999023,110921,-.4232149124145508,943599,.8600263595581055,2145,-2.59581184387207,matched (3),1450405.4,.86756533,191211.61,366420.22
201105,400942,616,1815,918278,05,0,0,0,1,0,0,0,0,0,0,0,1352000,779607,.5002679824829102,1143315,-.1545372009277344,235520,.4516801834106445,131749,-.2731781005859375,902264,-.0287685394287109,91477976,-.0054149627685547,445,-1.254366874694824,27634,-.4889259338378906,6107,-.09356689453125,139869,-.0939521789550781,614565,-.0509433746337891,23525,.4943828582763672,4390,53503,-.4926090240478516,3676158,589387,.2218799591064453,1227798,-.4379196166992188,263698,.3831214904785156,48495,39989,-.2630434036254883,156249,.2385597229003906,189228,.2104587554931641,902784,.1551227569580078,568700,.5941505432128906,2616285,-1.169495582580566,67968,.0581245422363281,190787,1.314949035644531,34577,-.7009973526000977,59543,53343,.1673946380615234,242662,900576,12423703,-.0228157043457031,1085609,-.1981029510498047,110288,-.0202760696411133,2018266,-.0544319152832031,357009,22124,2242627,-.0506649017333984,2283867,.3007469177246094,35830,1.414198875427246,2307000,17853,-.3370647430419922,5531,1692258,-.2298078536987305,47881,-.6424484252929688,435709,1.368156433105469,762456,-.2131567001342773,22289,2.340953826904297,matched (3),866827.31,.86756533,132955.53,339674.97
201106,400942,617,1815,908230,06,0,0,0,0,1,0,0,0,0,0,0,1024000,635922,-.2037143707275391,842909,-.3048286437988281,174977,-.2971410751342773,45780,-1.057051658630371,843876,-.0669021606445313,86681304,-.0538616180419922,3237,1.984327793121338,121219,1.478551864624023,5346,-.133087158203125,79861,-.5604181289672852,672746,.0904531478881836,15222,-.4353218078613281,9311,20474,-.9605817794799805,8315389,338367,-.5549526214599609,522702,-.8539657592773438,236545,-.1086664199829102,20388,35605,-.1161174774169922,128272,-.1972980499267578,72121,-.9646072387695313,629506,-.3605480194091797,658524,.1466484069824219,3797714,.3726444244384766,55604,-.2007818222045898,174650,-.0883731842041016,73677,.7565021514892578,422,49095,-.0829849243164063,337961,220755,11687173,-.0611152648925781,1017747,-.064549446105957,117031,.0593433380126953,1890066,-.0656261444091797,926695,19510,1728909,-.260157585144043,1802989,-.2364234924316406,39030,.085545539855957,2453000,13060,-.312617301940918,2998,2065541,.1993284225463867,11388,-1.436158180236816,700150,.4743204116821289,720460,-.0566549301147461,3452,-1.865139007568359,matched (3),1059502.3,.86756533,146041.89,345007.44
201107,400942,618,1815,1010879,07,0,0,0,0,0,1,0,0,0,0,0,1724000,357670,-.575465202331543,528326,-.4671449661254883,186504,.0637979507446289,286219,1.83290958404541,968006,.137232780456543,103688096,.1791496276855469,6091,.6321649551391602,150428,.215886116027832,5347,.0001869201660156,101838,.2430953979492188,833752,.2145681381225586,15545,.0209970474243164,50911,55972,1.005695343017578,11184002,302304,-.1126976013183594,1168910,.8048152923583984,253518,.0692968368530273,41109,67884,.6453142166137695,155263,.1909675598144531,173698,.878972053527832,849531,.2997493743896484,418092,-.4542999267578125,5651733,.3975629806518555,120059,.7697286605834961,57446,-1.1119384765625,109800,.3989696502685547,22075,59417,.1908226013183594,48892,673189,13558812,.1485443115234375,674407,-.4115133285522461,125393,.0690145492553711,1752710,-.0754489898681641,498146,26445,3094844,.5822467803955078,1460391,-.2107419967651367,101146,.9522342681884766,2999000,15772,.1886825561523438,2389,1535837,-.2963171005249023,12991,.1316967010498047,589239,-.1724634170532227,912475,.2362709045410156,14825,1.457361221313477,matched (3),1442304.4,.86756533,154660.7,348743.22
201108,400942,619,1815,803221,08,0,0,0,0,0,0,1,0,0,0,0,329000,233497,-.4264411926269531,327594,-.4779386520385742,143853,-.2596607208251953,245191,-.154719352722168,875096,-.1009044647216797,94273440,-.0951881408691406,3414,-.5789270401000977,65046,-.8383893966674805,7187,.2957382202148438,84757,-.1835947036743164,674502,-.2119607925415039,13052,-.1747970581054688,1839,315603,1.729633331298828,8660987,621619,.7208938598632813,512801,-.823939323425293,472435,.6224651336669922,122174,48574,-.334712028503418,118647,-.2689685821533203,92435,-.6308116912841797,806738,-.0516862869262695,387605,-.0757150650024414,940341,-1.793475151062012,239219,.6893959045410156,55067,-.0422954559326172,15133,-1.981782913208008,11862,15599,-1.337372779846191,151737,157285,9534108,-.3521595001220703,565753,-.1756763458251953,74851,-.5159530639648438,2075796,.1691818237304688,480238,8419,1973258,-.4500513076782227,715658,-.7132568359375,24478,-1.418790817260742,2081000,17700,.1153278350830078,1889,1532213,-.0023622512817383,17628,.3052310943603516,669509,.1277132034301758,406407,-.8088054656982422,6227,-.8674211502075195,matched (3),1006279,.86756533,332817.5,456584.5
201109,400942,620,1815,1414195,09,0,0,0,0,0,0,0,1,0,0,0,1676000,224368,-.039881706237793,2003685,1.810968399047852,102544,-.3385000228881836,208335,-.1628904342651367,994682,.1280899047851563,117989664,.2243976593017578,8083,.8618783950805664,87550,.2971153259277344,4679,-.4291887283325195,125464,.3922300338745117,1048051,.4407129287719727,32933,.9255332946777344,7162,41232,-2.035269737243652,10849310,744432,.1802949905395508,613427,.179173469543457,345994,-.3114786148071289,30983,54897,.1223697662353516,158701,.2908697128295898,23837,-1.355266571044922,960691,.1746540069580078,833116,.7651863098144531,1387803,.3892345428466797,210114,-.1297292709350586,110044,.6923303604125977,99190,1.880159378051758,702274,22158,.3509912490844727,387100,1783504,12499873,.2708415985107422,1156809,.7152633666992188,46691,-.4719486236572266,2158637,.0391321182250977,573797,11016,4192338,.7535724639892578,2024548,1.039898872375488,40696,.5083551406860352,1013000,19354,.0893344879150391,5299,1970612,.2516307830810547,27778,.4547557830810547,631019,-.059208869934082,437092,.0727882385253906,23911,1.345444679260254,matched (3),1669147,.86756533,179585.92,360489.97
201110,400942,621,1815,1140027,10,0,0,0,0,0,0,0,0,1,0,0,1054000,503487,.8082704544067383,1613793,-.2164011001586914,98010,-.045222282409668,82354,-.9281206130981445,857386,-.1485357284545898,79735752,-.3918781280517578,2357,-1.232373714447022,61800,-.3483076095581055,4387,-.0644388198852539,100240,-.2244510650634766,774750,-.3021469116210938,20908,-.4543428421020508,18058,38829,-.0600471496582031,4261577,670835,-.1040983200073242,558050,-.0946130752563477,310792,-.1072978973388672,13062,22491,-.8923435211181641,119113,-.2869491577148438,575569,3.18411922454834,1167270,.1947708129882813,533945,-.4448795318603516,3500418,.9251604080200195,168176,-.2226390838623047,43870,-.9196500778198242,47417,-.7380561828613281,145769,23750,.0693836212158203,673144,579065,8562153,-.3783664703369141,1062685,-.0848665237426758,92410,.6826839447021484,2036850,-.0580730438232422,437035,49945,3057737,-.3155832290649414,1880491,-.0738134384155273,27374,-.3965358734130859,1375000,21157,.0890722274780273,2980,1886436,-.0436544418334961,18110,-.4277801513671875,545525,-.1455869674682617,254185,-.5420808792114258,16037,-.3994407653808594,matched (3),1296809.6,.86756533,152498.17,347789.59
201111,400942,622,1815,681943,11,0,0,0,0,0,0,0,0,0,1,0,319000,467376,-.0744237899780273,981818,-.4969367980957031,213453,.7783470153808594,89097,.0786991119384766,841032,-.0192584991455078,72918616,-.0893745422363281,8228,1.250153064727783,14912,-1.421736717224121,5115,.1535310745239258,26584,-1.327258110046387,779323,.005885124206543,34092,.4889307022094727,3878,22273,-.5557928085327148,2561928,357987,-.6280269622802734,612647,.0933408737182617,271787,-.1341056823730469,35232,33457,.3971462249755859,58994,-.70263671875,440131,-.2682867050170898,961568,-.1938581466674805,650037,.1967363357543945,4099154,.15789794921875,87488,-.6535091400146484,70017,.4675073623657227,59336,.2242355346679688,138098,47515,.6934633255004883,129168,506466,10769501,.2293663024902344,2824734,.9776153564453125,197432,.7591590881347656,2075396,.0187482833862305,364412,81363,4298375,.3405618667602539,1255936,-.4036521911621094,17330,-.4571542739868164,1175000,20429,-.0350160598754883,2539,1742031,-.0796375274658203,3198,-1.733938217163086,350611,-.4420719146728516,145959,-.5547370910644531,7840,-.7156591415405273,matched (3),561663,.86756533,146684.38,345279.91
