period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1028c792,growth1028c792,Y1080c705,growth1080c705,Y1086c757,growth1086c757,Y1119c251,growth1119c251,Y1288c381,Y1303c300,growth1303c300,Y1520c620,growth1520c620,Y1561c620,growth1561c620,Y1706c484,growth1706c484,Y1708c372,growth1708c372,Y1783c124,growth1783c124,Y1783c826,growth1783c826,Y1811c600,growth1811c600,Y2075c757,growth2075c757,Y245c440,growth245c440,Y2566c344,Y2688c300,growth2688c300,Y2729c757,growth2729c757,Y272c440,growth272c440,Y2915c608,Y2920c484,growth2920c484,Y3047c268,growth3047c268,Y3150c32,Y3262c300,growth3262c300,Y3277c826,growth3277c826,Y3379c440,growth3379c440,Y3424c352,growth3424c352,Y3537c344,Y3568c208,growth3568c208,Y3668c616,Y3670c251,growth3670c251,Y3737c608,Y3894c826,growth3894c826,Y3927c608,Y3956c152,growth3956c152,Y4104c442,Y4304c36,Y4352c440,growth4352c440,Y4448c428,growth4448c428,Y4529c352,growth4529c352,Y4535c300,growth4535c300,Y4602c608,Y4741c484,growth4741c484,Y4793c381,Y4807c826,growth4807c826,Y4818c428,growth4818c428,Y531c440,growth531c440,Y708c757,growth708c757,Y727c586,growth727c586,Y803c251,growth803c251,_merge,x,r2,s,sf
201011,840290,610,3787,544913,11,0,0,0,0,0,0,0,0,0,1,0,41415,-.3892288208007813,16804,-.5224103927612305,79707,-.0734281539916992,220847,-.0323972702026367,2848414,1316412,-.4795560836791992,4069,-3.677945137023926,109738,1.224298477172852,838253,.4730091094970703,19775,-.5790681838989258,11967537,.0429744720458984,9510961,.6185846328735352,4923,-.7523002624511719,95913,-1.179923057556152,276464,.3905277252197266,431709,94865,-.0121850967407227,281364,.2797050476074219,271,-1.240564346313477,158250,45449,-.0135927200317383,357787,.2422990798950195,580993,2024638,1.14122486114502,1356458,-1.861879348754883,92458,.5107326507568359,100037,.3152589797973633,202316,27184,.1187992095947266,35923,228083,.8126306533813477,61944,3481982,.6448593139648438,60232,16848012,-1.058000564575195,881913,3580467,357323,-.3301515579223633,28831,-.7222375869750977,111913,1.438390731811523,243812,.1125955581665039,203370,454515,.0858354568481445,7725589,1544918,.0042572021484375,55543,1.515557289123535,9193,-.6079235076904297,1845827,.2103872299194336,114363,-.0540714263916016,233463,-2.632431030273438,matched (3),1505387,.79859376,1499389.1,3024429.3
201012,840290,611,3787,3930149,12,0,0,0,0,0,0,0,0,0,0,1,33685,-.2065906524658203,119536,1.962000846862793,87666,.0951766967773438,501483,.8200998306274414,3198005,1698445,.2548027038574219,57136,2.642037391662598,86553,-.2373390197753906,1477493,.5667819976806641,28034,.3489999771118164,12862908,.0721492767333984,7449907,-.2442426681518555,45964,2.233940124511719,111048,.1465206146240234,546756,.6819219589233398,625265,134009,.3454523086547852,302621,.0728321075439453,135,-.6968441009521484,137517,2132,-3.059530258178711,106357,-1.213136672973633,370910,2686277,.2827653884887695,4594513,1.219985961914063,494647,1.677089691162109,112951,.1214141845703125,850630,49305,.5953969955444336,9160,430844,.6360359191894531,75050,5354008,.4302434921264648,176525,52948600,1.145088195800781,1570741,1205003,299098,-.1778688430786133,65979,.827885627746582,55150,-.7076644897460938,516817,.7512912750244141,241448,629251,.3252992630004883,7998343,1039582,-.3961524963378906,86011,.4373178482055664,14736,.4718513488769531,1563494,-.1660041809082031,184525,.4784069061279297,2346112,2.307491302490234,matched (3),6074893.5,.79859376,1511018.8,3030211.5
201101,840290,612,3787,3732524,01,0,0,0,0,0,0,0,0,0,0,0,17670,-.6451835632324219,82688,-.3685426712036133,30492,-1.056069374084473,119372,-1.435325622558594,3664220,5106205,1.100743293762207,2476,-3.138790130615234,83569,-.0350837707519531,846984,-.5564203262329102,103533,1.306471824645996,10307019,-.2215213775634766,5772006,-.2551822662353516,4129,-2.409823417663574,110224,-.0074481964111328,381732,-.359283447265625,499087,50180,-.9822902679443359,490921,.4838018417358398,188,.3311672210693359,46070,2054,-.0372714996337891,68991,-.4328250885009766,484012,936108,-1.054181098937988,4447007,-.0326309204101563,93216,-1.668925285339356,76368,-.3913898468017578,428536,27762,-.5743570327758789,67706,76994,-1.722018241882324,44092,1319765,-1.400391578674316,83601,16618371,-1.1588134765625,888894,268443,356869,.1765975952148438,39536,-.5121250152587891,19379,-1.045866966247559,122150,-1.442439079284668,151607,414117,-.4183816909790039,4644577,1134433,.0873146057128906,14888,-1.75391960144043,8904,-.5037937164306641,1392452,-.1158571243286133,86684,-.7555150985717773,1081920,-.774022102355957,matched (3),-1432435.3,.79859376,1238873.3,2904102.5
201102,840290,613,3787,3963911,02,1,0,0,0,0,0,0,0,0,0,0,40329,.8252019882202148,156945,.6408205032348633,273511,2.193877220153809,347190,1.067627906799316,5466479,1820763,-1.031200408935547,207059,4.426359176635742,17479,-1.564672470092773,594496,-.3539676666259766,148681,.361912727355957,12829050,.2188854217529297,8277356,.360504150390625,20059,1.580642700195313,85656,-.2521753311157227,344530,-.1025381088256836,556622,73336,.3794345855712891,777994,.4604358673095703,462,.8991227149963379,291174,6724,1.185894012451172,84796,.2062721252441406,454804,1152453,.2079172134399414,4563747,.0259122848510742,1231572,2.581127166748047,80161,.0484724044799805,195216,41356,.3985490798950195,78976,205144,.9799842834472656,13382,1578827,.1792287826538086,56682,69966248,1.437505722045898,1318807,2526337,250034,-.3557720184326172,45469,.1398191452026367,41892,.770904541015625,176509,.3681221008300781,225658,420707,.0157880783081055,5019010,1381068,.1967239379882813,1505,-2.291762351989746,6081,-.3813314437866211,2854423,.7178030014038086,248694,1.053954124450684,1165693,.0745782852172852,matched (3),-2920272.8,.79859376,1892699.9,3237486.3
201103,840290,614,3787,193122,03,0,1,0,0,0,0,0,0,0,0,0,34494,-.156285285949707,175209,.1100845336914063,6414,-3.752859115600586,666184,.6516933441162109,5255785,2031507,.1095218658447266,58517,-1.263686180114746,25053,.3599929809570313,1283522,.7696495056152344,131656,-.1216106414794922,11213826,-.1345634460449219,7453002,-.1049070358276367,6513,-1.1248779296875,34836,-.8996877670288086,456733,.2819185256958008,566961,116262,.4607954025268555,757635,-.0265169143676758,443,-.0419950485229492,294073,641,-2.350409030914307,44287,-.6495571136474609,205379,392042,-1.078278541564941,3963146,-.1411056518554688,110630,-2.409854888916016,247640,1.127939224243164,329976,70275,.5301990509033203,48356,216887,.0556640625,15451,2149220,.3084230422973633,54908,40399488,-.5491962432861328,1088282,3741491,422382,.5243139266967773,42359,-.0708494186401367,198165,1.55400562286377,105790,-.5119161605834961,558519,715737,.5313758850097656,10252980,1653154,.1798276901245117,66927,3.794809341430664,8429,.3265094757080078,1981962,-.3647823333740234,58790,-1.442252159118652,967667,-.186182975769043,matched (3),4987683.5,.79859376,2844209.5,3871502.5
201104,840290,615,3787,289032,04,0,0,1,0,0,0,0,0,0,0,0,55772,.4804868698120117,217471,.2160854339599609,135616,3.051344871520996,426198,-.4466619491577148,4417143,1037614,-.6718540191650391,5176,-2.425285339355469,67046,.9843854904174805,785323,-.4912681579589844,159551,.1921710968017578,14135200,.2315196990966797,10189506,.3127422332763672,31765,1.584565162658691,107746,1.129125595092773,328294,-.3301897048950195,511122,90306,-.2526426315307617,449484,-.5221014022827148,1782,1.391921997070313,168283,835,.2644023895263672,143881,1.178295135498047,675318,2690054,1.925947189331055,2476932,-.4700174331665039,742821,1.904263496398926,80207,-1.127365112304688,159417,15511,-1.510867118835449,87080,214651,-.0103626251220703,31620,2875503,.2911224365234375,77007,25776392,-.4493579864501953,1392252,1768678,308361,-.3146390914916992,101018,.8691177368164063,108039,-.6066083908081055,125876,.1738414764404297,160831,435024,-.4979114532470703,6316064,1234318,-.2921657562255859,10690,-1.834293365478516,4136,-.711949348449707,2811650,.3496847152709961,144516,.899418830871582,1962047,.7068557739257813,matched (3),-1355940.5,.79859376,1697637.3,3127455.3
201105,840290,616,3787,336344,05,0,0,0,1,0,0,0,0,0,0,0,53428,-.0429372787475586,260559,.1807641983032227,182013,.29425048828125,504365,.1683969497680664,6907499,2731113,.9677858352661133,189357,3.599601745605469,90501,.2999820709228516,1060007,.2999353408813477,327554,.7192897796630859,13368809,-.0557441711425781,12758248,.2248191833496094,24563,-.2571239471435547,161058,.4019880294799805,323305,-.0153131484985352,316690,160465,.5748720169067383,313067,-.3616828918457031,1768,-.0078873634338379,606396,11375,2.611741542816162,339687,.8590383529663086,597362,1266816,-.7530546188354492,4621501,.6236991882324219,1545835,.7328643798828125,178595,.8005094528198242,184127,37103,.8721485137939453,37638,340284,.4607667922973633,92450,3524228,.2034339904785156,214844,35874180,.3305587768554688,961540,8240098,366381,.1724023818969727,42250,-.8716945648193359,113255,.047149658203125,229750,.6016941070556641,47635,466158,.0691232681274414,9076269,1989433,.477330207824707,108551,2.317911148071289,7874,.6438369750976563,2190468,-.2496566772460938,55295,-.9607076644897461,395910,-1.600557327270508,matched (3),-3913108,.79859376,1667293.5,3111088.5
201106,840290,617,3787,317420,06,0,0,0,0,1,0,0,0,0,0,0,51806,-.0308294296264648,83484,-1.138175010681152,73704,-.9040212631225586,453179,-.1070137023925781,6554051,1144263,-.8699483871459961,86600,-.7823343276977539,73799,-.2040157318115234,1060004,-2.86102294922e-06,40512,-2.090055465698242,10736884,-.21923828125,10162028,-.2275199890136719,60904,.9080581665039063,188809,.158970832824707,179830,-.5865840911865234,353157,49970,-1.166653633117676,413187,.2774829864501953,87,-3.011696338653565,322019,1231,-2.223591327667236,35898,-2.247343063354492,560754,772017,-.4952554702758789,2355558,-.6739425659179688,88520,-2.860091209411621,137016,-.2650222778320313,188548,30373,-.2001438140869141,29746,470560,.3241434097290039,58121,2034188,-.549565315246582,173630,13757895,-.958404541015625,921537,3259051,273502,-.2923650741577148,72955,.546238899230957,151169,.28875732421875,151275,-.4178915023803711,9733,1105535,.863560676574707,11499321,1391936,-.3571538925170898,2505,-3.768931388854981,5054,-.4433860778808594,3416818,.4445943832397461,101625,.608607292175293,6782187,2.84086799621582,matched (3),2246415,.79859376,1389749.3,2971600
201107,840290,618,3787,2329934,07,0,0,0,0,0,1,0,0,0,0,0,52406,.0115156173706055,7270,-2.440897941589356,157522,.7595081329345703,435708,-.0393142700195313,18465432,444652,-.9452247619628906,166482,.6535873413085938,111149,.4095258712768555,866872,-.201136589050293,282372,1.941627502441406,11331656,.0539150238037109,13698711,.2986431121826172,10872,-1.723108291625977,259186,.3168106079101563,228615,.2400274276733398,385868,125523,.9210662841796875,426597,.0319395065307617,779,2.192102909088135,339635,4902,1.381816387176514,140308,1.363158226013184,508202,1361114,.567051887512207,7587438,1.169716835021973,191543,.7718839645385742,120460,-.1287803649902344,175177,35432,.1540613174438477,56756,610071,.2596521377563477,22823,2151653,.0561399459838867,188812,23543760,.5372467041015625,833645,6198542,335152,.2032756805419922,50586,-.3661680221557617,191567,.2368383407592773,290814,.6535844802856445,2898957,411673,-.9878559112548828,7656573,1594877,.1361017227172852,14401,1.749009132385254,7807,.4348411560058594,3889227,.1295013427734375,70020,-.3725090026855469,2798312,-.8852825164794922,matched (3),-43001844,.79859376,12824078,13090301
201108,840290,619,3787,465746,08,0,0,0,0,0,0,1,0,0,0,0,53891,.0279426574707031,54608,2.016424179077148,56242,-1.029901504516602,315288,-.323486328125,1171465,174583,-.9348917007446289,62397,-.9813699722290039,56598,-.6748971939086914,1097906,.2362689971923828,196171,-.3642387390136719,12217152,.0752410888671875,11665392,-.160675048828125,20230,.6209754943847656,186388,-.3297157287597656,176564,-.2583560943603516,418073,54001,-.8434858322143555,425850,-.0017528533935547,624,-.221860408782959,257427,1007,-1.582667350769043,63356,-.795069694519043,475065,405190,-1.211702346801758,1471111,-1.640476226806641,69557,-1.012966156005859,98107,-.2052583694458008,59608,22361,-.460296630859375,47017,207615,-1.077890396118164,44651,2359603,.0922565460205078,119928,54610132,.8413581848144531,1630139,955459,281418,-.17474365234375,46325,-.0879936218261719,94664,-.7049036026000977,70869,-1.411850929260254,157858,433391,.0514116287231445,8497568,1090116,-.3805131912231445,17467,.1930150985717773,4825,-.4812097549438477,3348373,-.1497364044189453,78940,.1199073791503906,108089,-3.253816604614258,matched (3),824172.44,.79859376,1195103.9,2885702.3
