period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1342c124,growth1342c124,Y1384c792,growth1384c792,Y1389c616,growth1389c616,Y1423c792,growth1423c792,Y1425c818,Y1507c792,growth1507c792,Y150c124,growth150c124,Y1595c792,growth1595c792,Y1599c826,growth1599c826,Y1615c208,growth1615c208,Y1618c757,growth1618c757,Y1708c251,growth1708c251,Y1732c352,growth1732c352,Y222c203,Y2714c344,Y3035c792,growth3035c792,Y3099c124,growth3099c124,Y3162c124,growth3162c124,Y3186c36,Y3502c792,growth3502c792,Y351c442,Y3553c484,growth3553c484,Y376c440,growth376c440,Y3836c484,growth3836c484,Y4039c348,growth4039c348,Y4197c348,growth4197c348,Y4198c348,growth4198c348,Y4205c344,Y4398c251,growth4398c251,Y4419c124,growth4419c124,Y4420c752,growth4420c752,Y4486c344,Y4492c792,growth4492c792,Y4576c124,growth4576c124,Y4680c440,growth4680c440,Y4725c251,growth4725c251,Y4747c191,growth4747c191,Y4748c616,growth4748c616,Y4760c792,growth4760c792,Y4792c484,growth4792c484,Y4794c752,growth4794c752,Y4795c757,growth4795c757,Y4804c124,growth4804c124,Y4821c344,Y4835c792,growth4835c792,Y4843c372,growth4843c372,Y4882c251,growth4882c251,Y4927c620,growth4927c620,Y536c372,growth536c372,Y86c757,growth86c757,_merge,x,r2,s,sf
201001,901812,600,4748,768269,01,0,0,0,0,0,0,0,0,0,0,0,518286,,162384432,,1223421,,823210,,469494,1783640,,1018953,,1168422,,130712,,122877,,23127442,,2605594,,34420,,45464,2715352,937994,,459264,,166547,,50950,8736320,,38371,11951580,,67935,,1090375,,2207581,,36632032,,13887526,,17679556,11568712,,37034024,,27413570,,116791352,1500753,,2361345,,90540,,1297011,,86377,,2936525,,1962252,,1331600,,3236077,,8505666,,2299155,,11759199,642172,,94061,,2273450,,197291,,933179,,31114,,matched (3),,.91872644,,
201002,901812,601,4748,2593802,02,1,0,0,0,0,0,0,0,0,0,0,252193,-.720332145690918,198013392,.1983680725097656,3651614,1.093518257141113,736376,-.1114711761474609,498559,2528267,.3488779067993164,1487572,.3783702850341797,1272414,.085261344909668,121645,-.0718898773193359,169603,.3222770690917969,22656472,-.0205726623535156,3326106,.2441415786743164,37532,.0865564346313477,111732,1408424,1103399,.1624069213867188,410015,-.1134309768676758,330921,.6866016387939453,125214,11143813,.2433948516845703,47334,15245805,.2434406280517578,28409,-.8718452453613281,3031280,1.022463798522949,2774793,.2286787033081055,42159264,.1405315399169922,14051682,.0117511749267578,13981281,13040933,.1197891235351563,31092564,-.1748676300048828,34288380,.2237682342529297,64368404,1923155,.2480001449584961,2319618,-.0178289413452148,214342,.861781120300293,3674016,1.04122257232666,92334,.0666904449462891,4648392,.459294319152832,4271571,.7778892517089844,826665,-.4767370223999023,3153109,-.0259723663330078,8588706,.0097150802612305,2547534,.1025838851928711,8720837,1195564,.6215171813964844,20130,-1.541732788085938,2634953,.1475667953491211,269609,.3122930526733398,1053396,.1211776733398438,31438,.0103597640991211,matched (3),195319.31,.91872644,500686.91,831760.19
201003,901812,602,4748,2608182,03,0,1,0,0,0,0,0,0,0,0,0,522974,.7293367385864258,221276912,.1110801696777344,5045818,.3233909606933594,1126590,.4252099990844727,1028758,2883005,.1312990188598633,2215727,.3984346389770508,1575674,.2137680053710938,85961,-.3472137451171875,192933,.1288824081420898,27907222,.2084388732910156,3383538,.0171194076538086,9986,-1.324009895324707,79693,2527166,2049570,.6192340850830078,473385,.1437149047851563,1346532,1.403408050537109,178678,14231874,.2446002960205078,56817,19140928,.2275257110595703,142835,1.614984512329102,1221030,-.9092903137207031,2207126,-.2288846969604492,42953624,.0186672210693359,23208672,.5017852783203125,22998524,14023852,.0726661682128906,44609600,.3609809875488281,47428428,.3244152069091797,143253744,1976538,.0273799896240234,2274250,-.0197515487670898,134728,-.4643144607543945,9334976,.9324827194213867,175409,.6417083740234375,12040108,.9517230987548828,6456076,.4130401611328125,948432,.1374111175537109,7843528,.9112997055053711,11161683,.2620382308959961,6439294,.9272937774658203,15257914,833022,-.3613128662109375,22641,.1175508499145508,3023443,.1375303268432617,517003,.6510753631591797,1219290,.1462497711181641,42578,.3033199310302734,matched (3),2002273.5,.91872644,546675.44,860227.69
201004,901812,603,4748,855131,04,0,0,1,0,0,0,0,0,0,0,0,321423,-.4867734909057617,193527360,-.1339969635009766,3798267,-.2840147018432617,707635,-.465022087097168,593604,2684010,-.0715217590332031,393561,-1.728098869323731,1161450,-.3050146102905273,166497,.6610841751098633,178751,-.0763492584228516,24463726,-.1316928863525391,3104124,-.0861902236938477,975,-2.326501846313477,71999,2622812,1409606,-.3743190765380859,305925,-.4365692138671875,346631,-1.357027053833008,0,14105822,-.0088958740234375,53148,16539959,-.1460494995117188,42036,-1.223164558410645,1143622,-.0654945373535156,1217406,-.5949687957763672,47737700,.1056003570556641,13901251,-.5125484466552734,17533642,11206357,-.2242794036865234,35023360,-.2419338226318359,37575228,-.2328758239746094,91303168,2016628,.0200796127319336,2253311,-.0092496871948242,299380,.7984561920166016,1774295,-1.660364151000977,50755,-1.240110397338867,3827872,-1.14593505859375,5541301,-.1527929306030273,685577,-.324549674987793,3219122,-.8905801773071289,9069340,-.2075862884521484,2985866,-.7685298919677734,15505929,461432,-.5907249450683594,21030,-.0738124847412109,2317910,-.2657299041748047,147656,-1.25316333770752,1252112,.0265626907348633,21875,-.6659927368164063,matched (3),523412.91,.91872644,544047.25,858559.81
201005,901812,604,4748,2885382,05,0,0,0,1,0,0,0,0,0,0,0,771670,.8757991790771484,200821488,.0369987487792969,4479460,.1649570465087891,1119919,.4590835571289063,681447,2725543,.0153560638427734,1177802,1.096168518066406,1867462,.4749116897583008,197889,.1727285385131836,165111,-.079376220703125,24287182,-.0072441101074219,3724764,.1822719573974609,641,-.4194083213806152,146059,2968173,2163140,.4282503128051758,379055,.2143421173095703,367692,.0589847564697266,0,14249381,.0101242065429688,39296,17623324,.0634441375732422,89090,.7511215209960938,777822,-.3854579925537109,1572826,.2561521530151367,40776952,-.1576042175292969,14519078,.0434856414794922,18967644,13658285,.1978664398193359,36452300,.0399875640869141,43476872,.1458835601806641,87132592,3045617,.4122772216796875,3022010,.2935209274291992,306256,.0227069854736328,2096754,.1669864654541016,101106,.6891593933105469,3854120,.0068330764770508,6491049,.1581954956054688,640046,-.068720817565918,4202978,.2666845321655273,7610955,-.1753110885620117,3290245,.0970726013183594,12505349,1083379,.8535051345825195,20015,-.0494670867919922,2310154,-.003352165222168,323762,.7851238250732422,1064897,-.1619539260864258,32584,.3984766006469727,matched (3),884586.38,.91872644,565905.56,872574.75
201006,901812,605,4748,3434495,06,0,0,0,0,1,0,0,0,0,0,0,57506,-2.596668243408203,201066448,.0012187957763672,2661941,-.52044677734375,866269,-.2568168640136719,554125,2783297,.0209684371948242,1228362,.0420322418212891,1459839,-.2462539672851563,110108,-.5862445831298828,190602,.1435699462890625,28950436,.1756362915039063,3554378,-.0468235015869141,31153,3.883635997772217,153504,2946671,2582170,.1770696640014648,433044,.1331577301025391,436830,.1722984313964844,0,14768664,.0357952117919922,50562,19320600,.0919475555419922,35100,-.9314460754394531,400270,-.6643581390380859,1935094,.2072811126708984,45017904,.0989418029785156,18958688,.2667980194091797,21731676,13728593,.0051345825195313,30985228,-.1624927520751953,45552000,.0466251373291016,105000872,2420049,-.2299165725708008,2006873,-.4093437194824219,203732,-.4076156616210938,3385151,.479008674621582,82303,-.2057619094848633,4839969,.2277660369873047,7321873,.1204414367675781,898016,.3386478424072266,3551961,-.1682929992675781,8463883,.1062192916870117,2892988,-.1286725997924805,13754573,1024787,-.0556001663208008,90901,1.513288497924805,2744046,.1721200942993164,309474,-.0451345443725586,1274867,.1799640655517578,27120,-.1835498809814453,matched (3),-589359.25,.91872644,678230.88,949281.19
201007,901812,606,4748,1626259,07,0,0,0,0,0,1,0,0,0,0,0,296741,1.640970230102539,194739856,-.0319709777832031,2435653,-.0888404846191406,791781,-.0899105072021484,699856,2922287,.0487308502197266,760124,-.4799556732177734,1490541,.02081298828125,112014,.0171623229980469,169017,-.1201877593994141,28043448,-.031829833984375,1831551,-.6630172729492188,9579,-1.179336547851563,166168,3982717,2097421,-.2079219818115234,239477,-.5923824310302734,242992,-.5865154266357422,111482,14074098,-.0481719970703125,52493,16753993,-.1425342559814453,57275,.4896631240844727,191272,-.7384433746337891,1533269,-.2327537536621094,34991760,-.2519474029541016,17603172,-.0741825103759766,21057248,13259031,-.0348014831542969,20191724,-.4282379150390625,33995508,-.2926254272460938,109125192,2329252,-.0382404327392578,1715556,-.1568412780761719,192208,-.0582275390625,933486,-1.288228034973145,108372,.2751617431640625,4331286,-.1110439300537109,6280680,-.1533880233764648,593603,-.4139766693115234,2151414,-.5013751983642578,9123965,.0750961303710938,2433773,-.172846794128418,15732405,982443,-.0421981811523438,27679,-1.189097404479981,3223646,.1610794067382813,173983,-.5759162902832031,737228,-.5476999282836914,21542,-.2302675247192383,matched (3),989748.88,.91872644,631464.06,916452.13
201008,901812,607,4748,3115573,08,0,0,0,0,0,0,1,0,0,0,0,8985,-3.497303009033203,198699856,.0201301574707031,2631539,.0773534774780273,723102,-.0907344818115234,771789,3470233,.1718549728393555,722809,-.0503368377685547,1736897,.1529607772827148,32149,-1.248242378234863,171368,.0138139724731445,26969428,-.0390510559082031,3632404,.6847314834594727,50760,1.667534828186035,44640,3778237,2274089,.0808706283569336,157099,-.4215812683105469,313132,.253596305847168,320343,12219114,-.1413345336914063,63796,19848920,.1695117950439453,453,-4.839727878570557,733776,1.344508171081543,1548458,.0098581314086914,37331772,.0647335052490234,21989212,.22247314453125,21943608,12773025,-.0373439788818359,22063154,.0886363983154297,35418020,.0409908294677734,102264048,2278564,-.0220012664794922,3189075,.6199941635131836,282571,.3853521347045898,2073801,.7982120513916016,114582,.0557212829589844,4491974,.0364274978637695,4884854,-.251338005065918,795322,.2925357818603516,4499374,.7378129959106445,11053145,.1918106079101563,2312143,-.0512676239013672,18351952,1173085,.1773500442504883,49777,.5868797302246094,2455518,-.2721757888793945,39187,-1.490612983703613,907172,.2074346542358398,31657,.3849554061889648,matched (3),262805.53,.91872644,612194.19,903282.56
201009,901812,608,4748,2295669,09,0,0,0,0,0,0,0,1,0,0,0,1046532,4.757680892944336,215266048,.0800800323486328,4383913,.5103731155395508,425222,-.5309391021728516,924045,3072670,-.1216745376586914,716966,-.0081167221069336,913260,-.6428346633911133,121442,1.329055786132813,184426,.0734348297119141,29577594,.0923137664794922,3585379,-.0130300521850586,43602,-.1520051956176758,147017,3415770,1678885,-.3034496307373047,152268,-.0312337875366211,1214592,1.355539321899414,124867,14276859,.1556377410888672,77318,17311324,-.1367874145507813,77481,5.141895771026611,199354,-1.303122520446777,3003291,.6624488830566406,32749446,-.1309604644775391,27608508,.2275714874267578,20348864,17284284,.3024616241455078,25087486,.1284599304199219,36791408,.0380439758300781,104682504,3103994,.3091440200805664,2681866,-.1732187271118164,229462,-.2081928253173828,3570670,.543370246887207,77755,-.3877277374267578,5335484,.1720876693725586,3964235,-.208827018737793,1522970,.6496706008911133,5280969,.1601715087890625,7774883,-.3518161773681641,4731369,.7160396575927734,14971210,962319,-.1980457305908203,55680,.1120681762695313,5018891,.7148714065551758,153686,1.36656665802002,1164167,.2494287490844727,23430,-.3009424209594727,matched (3),3627681.5,.91872644,533537.5,851938.88
201010,901812,609,4748,2150364,10,0,0,0,0,0,0,0,0,1,0,0,4483,-5.452944755554199,226285120,.0499210357666016,3024001,-.3713607788085938,561623,.2782201766967773,752628,2640401,-.151616096496582,841546,.160212516784668,1581100,.5488548278808594,46888,-.9516754150390625,171809,-.0708646774291992,28239532,-.046295166015625,2597002,-.3225069046020508,36994,-.1643476486206055,114345,3516436,1180506,-.3521862030029297,116332,-.2691936492919922,643326,-.6355123519897461,181800,15707254,.0954837799072266,73779,16757077,-.0325412750244141,16825,-1.527166366577148,24776,-2.085206031799316,2512633,-.1783771514892578,44314100,.3024177551269531,23841192,-.1467094421386719,18674600,18740256,.0808773040771484,26928132,.0708026885986328,41742072,.1262454986572266,99583528,2975885,-.0421485900878906,2579735,-.0388259887695313,108031,-.7533187866210938,2380223,-.4055585861206055,74805,-.0386781692504883,6259292,.1596879959106445,5597977,.3450927734375,1189724,-.2469406127929688,4237418,-.2201557159423828,9461809,.1963653564453125,3267576,-.3701658248901367,12747553,502668,-.6494159698486328,54526,-.0209436416625977,3256331,-.4326076507568359,215763,.339268684387207,899372,-.2580642700195313,26468,.1219196319580078,matched (3),127717.39,.91872644,489708.66,825198.25
