period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1180c440,Y1203c348,growth1203c348,Y1210c752,growth1210c752,Y1280c642,Y1366c620,growth1366c620,Y1390c498,Y1397c218,Y1528c203,Y1588c218,Y1726c586,growth1726c586,Y2011c688,growth2011c688,Y2038c372,growth2038c372,Y2098c703,Y2119c620,growth2119c620,Y2319c688,growth2319c688,Y2358c757,growth2358c757,Y2367c792,growth2367c792,Y2415c246,growth2415c246,Y2428c616,growth2428c616,Y2946c124,growth2946c124,Y3145c233,Y3235c792,growth3235c792,Y3716c300,growth3716c300,Y3727c440,growth3727c440,Y3798c372,growth3798c372,Y390c208,growth390c208,Y3927c554,Y3970c792,growth3970c792,Y4017c792,growth4017c792,Y4030c608,Y4166c251,growth4166c251,Y4183c484,growth4183c484,Y4214c68,Y4254c218,Y4301c586,growth4301c586,Y4411c620,growth4411c620,Y4467c807,Y4600c688,growth4600c688,Y4626c208,growth4626c208,Y4634c792,growth4634c792,Y4748c792,growth4748c792,Y4814c752,growth4814c752,Y4865c484,growth4865c484,Y492c554,Y4940c344,Y5018c703,growth5018c703,Y686c616,growth686c616,Y694c246,growth694c246,Y853c620,growth853c620,Y88c300,growth88c300,_merge,x,r2,s,sf
201011,841280,610,3830,737101,11,0,0,0,0,0,0,0,0,0,1,0,464,102866,2.141048431396484,467963,.999262809753418,58287,127437,2.219120979309082,112729,13604022,25341,9633721,79888,-.1137361526489258,9061,-.8007621765136719,34598,.7565650939941406,5516,157819,1.100178718566895,23359,.6733522415161133,66674,-.1975679397583008,1350101,-.1487436294555664,106580,-.4903430938720703,797247,.8267030715942383,251103,-.144648551940918,12752,85359,1.030648231506348,59735,-.4398279190063477,118135,1.870242118835449,300143,1.031739234924316,1365988,-.6630134582519531,486538,2294300,-.3410549163818359,369079,-.0334072113037109,396862,1012660,.2830038070678711,36668,-3.695430755615234,1416432,489056,1796557,-.6084623336791992,510721,.5179376602172852,8711,74166,.1287384033203125,664507,-.2166023254394531,814396,.9950237274169922,5182278,.4431018829345703,1104590,.4512882232666016,210989,.3573408126831055,869669,1643780,147896,2.158659934997559,1649423,.1541557312011719,4048374,-.415644645690918,13337,-1.692023277282715,10554,.0858230590820313,matched (3),1148229.5,.89358217,477816.53,511449.22
201012,841280,611,3830,763846,12,0,0,0,0,0,0,0,0,0,0,1,2385,4481,-3.133581161499023,394453,-.1708898544311523,57395,9721,-2.573333740234375,45448,9557297,69120,11843005,86962,.0848455429077148,10156,.1140851974487305,20169,-.5396490097045898,19471,181460,.1395864486694336,13125,-.5764636993408203,71332,.0675296783447266,1683764,.2208518981933594,148127,.3291740417480469,405887,-.6750898361206055,209405,-.1815929412841797,5248,160989,.6344699859619141,46423,-.2521228790283203,46650,-.9291553497314453,61824,-1.579967498779297,1128873,-.1906585693359375,1032713,5502724,.8748159408569336,1366070,1.308683395385742,196923,1295677,.2464532852172852,113597,1.130752563476563,615035,642561,3506090,.6686296463012695,340868,-.4043283462524414,732,112910,.4202852249145508,866486,.2654008865356445,713791,-.1318559646606445,7362524,.3511581420898438,1455397,.2758045196533203,81354,-.9529962539672852,1068959,1879388,47362,-1.138689041137695,1254951,-.2733287811279297,5214632,.2531528472900391,20438,.4268531799316406,11011,.0423898696899414,matched (3),1056371,.89358217,184827.94,259678.75
201101,841280,612,3830,794529,01,0,0,0,0,0,0,0,0,0,0,0,64,42912,2.259305000305176,424354,.0730686187744141,45451,71463,1.994891166687012,72848,12091015,92652,14473959,128189,.3880348205566406,5247,-.6604080200195313,21423,.0603179931640625,1015,43046,-1.438765525817871,28654,.7807741165161133,16088,-1.48927116394043,1780043,.0556058883666992,216592,.3799448013305664,447743,.09814453125,219938,.0490751266479492,18958,42014,-1.343332290649414,48644,.0467338562011719,5256,-2.183302879333496,330649,1.676765441894531,2255529,.692164421081543,292037,4642066,-.1700839996337891,917893,-.3976125717163086,185363,1229280,-.0526046752929688,140758,.2143850326538086,70101,926012,3319951,-.0545511245727539,150462,-.817784309387207,12087,123956,.0933361053466797,885755,.0219945907592773,773155,.0798892974853516,3717202,-.6834316253662109,828080,-.5639238357543945,165277,.7088127136230469,537323,2076826,18597,-.9348201751708984,1282303,.0215606689453125,3647120,-.3575305938720703,44604,.7804279327392578,36620,1.201699256896973,matched (3),1181298.5,.89358217,383788.72,424929.94
201102,841280,613,3830,892489,02,1,0,0,0,0,0,0,0,0,0,0,2305,69514,.4823770523071289,385994,-.0947465896606445,59372,431979,1.799197196960449,60853,16508301,36784,7579038,24021,-1.674577713012695,25810,1.593105316162109,32037,.4024267196655273,2102,56372,.2697029113769531,40857,.3547849655151367,49163,1.117067337036133,1903753,.0671901702880859,100689,-.7659788131713867,182580,-.8970308303833008,268140,.1981639862060547,17443,83662,.68878173828125,79464,.4907751083374023,17934,1.227328300476074,156641,-.747100830078125,1858789,-.1934595108032227,297261,5967932,.2512407302856445,223052,-1.414676666259766,291531,995012,-.2114295959472656,269442,.6493110656738281,1574160,716847,7229962,.7782831192016602,240561,.4692630767822266,31848,165064,.2864065170288086,747760,-.1693582534790039,745657,-.0362138748168945,3052621,-.1969709396362305,1398531,.5240678787231445,28322,-1.763983726501465,1039386,881025,23299,.2254104614257813,2376337,.6169023513793945,5314934,.3765830993652344,55506,.2186679840087891,62403,.5330190658569336,matched (3),1264278.3,.89358217,155392.7,239621.73
201103,841280,614,3830,567327,03,0,1,0,0,0,0,0,0,0,0,0,728,1624,-3.756635665893555,418458,.0807552337646484,134837,132747,-1.179931640625,25355,13893936,73537,7090863,93943,1.363759994506836,13789,-.6268901824951172,14975,-.7605094909667969,21894,77598,.3195695877075195,9287,-1.481462478637695,25351,-.662322998046875,2557071,.2950344085693359,130415,.2586851119995117,286255,.4496946334838867,266273,-.0069875717163086,10807,73551,-.1288061141967773,63821,-.2192211151123047,17283,-.0369749069213867,61719,-.9313650131225586,1355677,-.3156242370605469,148829,5039238,-.1691455841064453,1776175,2.074812889099121,185507,1289966,.2596168518066406,165630,-.4865970611572266,66408,635868,2084784,-1.243568420410156,159534,-.4107170104980469,1665,48709,-1.220469474792481,1246345,.5108880996704102,656300,-.1276483535766602,3145775,.030059814453125,2278281,.4879989624023438,12002,-.8585653305053711,1264843,1767261,126047,1.688244819641113,1426262,-.510502815246582,5626156,.0569057464599609,77920,.3391914367675781,98357,.4549903869628906,matched (3),634078.75,.89358217,141028.63,230566.17
201104,841280,615,3830,854286,04,0,0,1,0,0,0,0,0,0,0,0,2692,35007,3.070655822753906,516879,.2112321853637695,139907,11262,-2.467011451721191,103013,22259788,83619,9551042,171827,.6037998199462891,23422,.5298042297363281,39184,.9618864059448242,9041,108370,.3340091705322266,12244,.2764205932617188,50145,.6821002960205078,1988145,-.2516603469848633,159974,.204289436340332,306437,.0681295394897461,314721,.1671648025512695,26790,174427,.8635272979736328,72571,.1284828186035156,29918,.548736572265625,390334,1.84441089630127,1991638,.3846569061279297,779378,4549953,-.102137565612793,6335765,1.271748542785645,215219,1498112,.1495895385742188,537842,1.17780876159668,327463,730694,2894214,.3280487060546875,127413,-.224822998046875,3703,356370,1.990105628967285,536506,-.8428926467895508,529266,-.2151269912719727,5634171,.582789421081543,1003835,-.8195943832397461,25956,.7713289260864258,1281933,1548339,22789,-1.71037769317627,1465012,.0268068313598633,9194210,.4911470413208008,137189,.5656766891479492,62404,-.4549741744995117,matched (3),1040832.8,.89358217,151684.98,237234.09
201105,841280,616,3830,642262,05,0,0,0,1,0,0,0,0,0,0,0,3152,35783,.0219249725341797,205057,-.9245214462280273,42343,264120,3.154969215393066,49571,9778751,80060,8154290,74901,-.8303203582763672,6783,-1.239255905151367,28258,-.3268918991088867,5739,58024,-.62469482421875,9881,-.2144222259521484,62723,.2238092422485352,1854313,-.0696878433227539,174425,.0864839553833008,289363,-.0573301315307617,197335,-.4667835235595703,16385,84384,-.7261285781860352,48079,-.4117202758789063,86677,1.063728332519531,1218197,1.138124465942383,1550126,-.2506208419799805,280541,3776042,-.1864404678344727,955696,-1.891526222229004,325534,1858027,.2153100967407227,1309046,.8894891738891602,100207,573075,661430,-1.476064682006836,134666,.055363655090332,231,203633,-.5596504211425781,734588,.3142318725585938,708576,.2917671203613281,2383954,-.8600893020629883,1006864,.0030136108398438,10982,-.8601446151733398,1125081,1428584,32196,.3455648422241211,1013045,-.3689031600952148,4829135,-.6439065933227539,96640,-.3503665924072266,145457,.8462514877319336,matched (3),204299.05,.89358217,154203.47,238852.25
201106,841280,617,3830,703248,06,0,0,0,0,1,0,0,0,0,0,0,415,2057,-2.856224536895752,472631,.8350276947021484,85768,20611,-2.550578117370606,98952,10513530,89939,8862040,165008,.7898263931274414,48181,1.960544586181641,43230,.4251575469970703,39884,105012,.5932178497314453,78034,2.066531181335449,62845,.0019435882568359,3076211,.5061845779418945,247934,.3516674041748047,374560,.2580699920654297,375672,.6438131332397461,16906,70256,-.183232307434082,59020,.2050313949584961,47409,-.6033763885498047,1321262,.0812158584594727,1840124,.1714963912963867,505329,3995358,.0564565658569336,970144,.0150051116943359,167663,1189269,-.4461765289306641,1244486,-.0505762100219727,67007,1036065,12503971,2.939396858215332,172416,.2471132278442383,2760,49197,-1.420486450195313,604238,-.1953411102294922,667864,-.059173583984375,5260764,.7915163040161133,1144422,.1280584335327148,39654,1.283933639526367,1361963,1728747,71868,.8029890060424805,2217172,.7832717895507813,10744757,.7997503280639648,59635,-.4827499389648438,79954,-.5984296798706055,matched (3),931415.44,.89358217,164361.52,245532.88
201107,841280,618,3830,600894,07,0,0,0,0,0,1,0,0,0,0,0,230,7075,1.235318660736084,86939,-1.693108558654785,7157,8885,-.8414602279663086,56296,1292568,62077,6590604,214505,.2623395919799805,16831,-1.051741600036621,20861,-.7286529541015625,6761,81876,-.2488679885864258,43166,-.5920915603637695,47892,-.2717227935791016,2374792,-.2587881088256836,160142,-.4371013641357422,277872,-.2985916137695313,323122,-.1506862640380859,19770,94376,.2951412200927734,41851,-.3437614440917969,11409,-1.424409866333008,360496,-1.298861503601074,1402636,-.271479606628418,392200,2297732,-.5532102584838867,68269,-2.653988838195801,361576,1152859,-.0310945510864258,339017,-1.300427436828613,203,456794,11635345,-.0719985961914063,251553,.3777427673339844,3902,21080,-.8475074768066406,550191,-.0937032699584961,320103,-.7354412078857422,4850419,-.0812110900878906,1791587,.4482021331787109,6785,-1.765477180480957,848692,1471679,20554,-1.251775741577148,1750283,-.236454963684082,6509006,-.5012311935424805,21358,-1.026816368103027,36259,-.7907638549804688,matched (3),471024.84,.89358217,104659.59,210298.16
201108,841280,619,3830,628837,08,0,0,0,0,0,0,1,0,0,0,0,485,37034,1.655268669128418,42398,-.7181053161621094,71262,3303,-.9895334243774414,81364,11496190,42670,8162817,133519,-.4740896224975586,9608,-.5606269836425781,53489,.941594123840332,2395,65522,-.2228202819824219,13312,-1.176387786865234,42471,-.1201267242431641,2474878,.0412807464599609,214944,.294316291809082,301532,.0817155838012695,356594,.0985679626464844,69033,49155,-.652308464050293,44248,.055694580078125,8737,-.2668352127075195,100159,-1.280722618103027,992794,-.345585823059082,770044,7894386,1.23422908782959,3710624,3.995499610900879,240046,649465,-.5738506317138672,280364,-.1899614334106445,76739,1083741,1136276,-2.326291084289551,146331,-.5417823791503906,1405,24420,.1470775604248047,649881,.1665239334106445,460067,.3627290725708008,3208412,-.4132890701293945,2293589,.2470159530639648,11544,.5314512252807617,1208987,2096722,37148,.5918540954589844,1776583,.0149145126342773,7311387,.116246223449707,55534,.9555683135986328,33089,-.091486930847168,matched (3),1065971.6,.89358217,121228.73,219016.19
