period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1242c826,growth1242c826,Y1258c616,growth1258c616,Y1396c152,growth1396c152,Y1497c703,growth1497c703,Y1669c703,Y1755c124,growth1755c124,Y1778c484,growth1778c484,Y1787c826,growth1787c826,Y1926c642,Y199c428,growth199c428,Y2102c792,growth2102c792,Y2560c348,growth2560c348,Y2562c600,growth2562c600,Y2622c36,Y2635c352,growth2635c352,Y2696c792,growth2696c792,Y2728c752,growth2728c752,Y2755c208,growth2755c208,Y2999c826,growth2999c826,Y3022c124,growth3022c124,Y3093c498,Y3144c152,growth3144c152,Y3260c484,growth3260c484,Y3410c440,growth3410c440,Y3421c616,growth3421c616,Y3449c203,Y3633c376,Y3727c428,growth3727c428,Y3842c222,growth3842c222,Y3923c428,growth3923c428,Y4165c616,growth4165c616,Y4173c826,growth4173c826,Y4205c191,growth4205c191,Y4271c826,growth4271c826,Y4300c586,growth4300c586,Y4311c608,Y4312c372,growth4312c372,Y4359c484,growth4359c484,Y4380c300,growth4380c300,Y4506c246,growth4506c246,Y4584c376,Y4598c484,growth4598c484,Y460c792,growth460c792,Y4636c222,growth4636c222,Y4798c300,growth4798c300,Y4825c440,growth4825c440,Y748c826,growth748c826,Y776c440,growth776c440,Y780c616,growth780c616,Y983c348,growth983c348,_merge,x,r2,s,sf
201011,732020,610,3474,1186162,11,0,0,0,0,0,0,0,0,0,1,0,5959851,-.0626974105834961,65756,.0227956771850586,569165,.4436159133911133,15101,-.1157426834106445,25491,2754793,-.1174993515014648,19500082,.2073879241943359,636599,.1536493301391602,16220,380353,-.1355209350585938,3871239,-.1950473785400391,887,2.213134288787842,88551,-.2334556579589844,62721,4794,-2.324536323547363,175821,.137115478515625,1791311,-.2137413024902344,2133512,-.2190227508544922,8022022,-.1107807159423828,7280134,-.1598215103149414,72181,427000,.2062005996704102,351100,-.5436906814575195,379039,-.4322052001953125,826657,-.4824361801147461,421446,183000,30359,-.2025699615478516,273213,-.4726743698120117,15762,-1.730010986328125,1175165,.3213844299316406,19482008,-.1388874053955078,115434,.9775714874267578,32557924,-.1032352447509766,1812467,-.1762351989746094,4796716,98728,-.3168096542358398,119017,-.3653173446655273,791991,-.0138874053955078,5079,-.6223812103271484,5102000,11478190,.431218147277832,262404,.4571561813354492,47063,.2233924865722656,511983,.3223667144775391,245138,-.2431802749633789,1343664,-.0678482055664063,11538,-.1470680236816406,256073,.341252326965332,69661,-.5935535430908203,matched (3),1551452.3,.87418604,201470.09,301895.31
201012,732020,611,3474,968936,12,0,0,0,0,0,0,0,0,0,0,1,5185670,-.1391468048095703,51552,-.2433595657348633,508074,-.1135435104370117,62087,1.413775444030762,13,3133757,.1288900375366211,18742452,-.0396270751953125,644587,.0124692916870117,5195,206052,-.612971305847168,3592411,-.0747518539428711,555,-.468876838684082,62326,-.3511991500854492,93730,2794,-.539891242980957,61700,-1.047183036804199,971282,-.612086296081543,1922274,-.1042604446411133,7876613,-.0182924270629883,9161613,.2298727035522461,49973,533823,.2232799530029297,281101,-.2223567962646484,425283,.1151161193847656,817749,-.0108346939086914,397837,142000,17284,-.5633115768432617,206359,-.280634880065918,28144,.5797319412231445,864913,-.3065347671508789,15161950,-.250701904296875,22455,-1.637185096740723,25692308,-.2368278503417969,2148519,.1700897216796875,4255018,168944,.5371990203857422,79499,-.4035215377807617,667310,-.171295166015625,1401,-1.287927627563477,7288000,6301625,-.5996408462524414,107435,-.8929986953735352,9789,-1.57022762298584,451808,-.1250343322753906,2278153,2.229299545288086,709754,-.6382369995117188,7502,-.430476188659668,193545,-.2799520492553711,27970,-.9125080108642578,matched (3),4465890.5,.87418604,937787.63,964363.13
201101,732020,612,3474,1189354,01,0,0,0,0,0,0,0,0,0,0,0,5736599,.1009674072265625,28915,-.5782308578491211,297182,-.5362815856933594,128550,.7277812957763672,31089,3313584,.0557985305786133,15779396,-.1720867156982422,771565,.1798114776611328,9785,384751,.6244678497314453,3606636,.0039520263671875,2605,1.546219825744629,117354,.6328163146972656,75230,26733,2.258424758911133,87393,.3481311798095703,1350202,.3293924331665039,2195342,.1328287124633789,9940415,.2327108383178711,8010317,-.1342916488647461,21462,418512,-.2433586120605469,1168926,1.425126075744629,675179,.4622230529785156,949216,.1490812301635742,584994,228000,26660,.4333829879760742,376083,.6001930236816406,27602,-.0194463729858398,793692,-.0859336853027344,21608710,.3543071746826172,56190,.9172248840332031,29617726,.142181396484375,2302205,.0690889358520508,3172296,91054,-.6181154251098633,84871,.0653877258300781,999862,.404362678527832,19051,2.609932899475098,7608000,6995700,.1044883728027344,190449,.5724983215332031,31660,1.173794746398926,207654,-.7773838043212891,4964141,.778874397277832,1050015,.3916416168212891,1919,-1.363365650177002,190939,-.0135564804077148,77541,1.019674301147461,matched (3),8153970.5,.87418604,2390001.8,2400554
201102,732020,613,3474,1294004,02,1,0,0,0,0,0,0,0,0,0,0,7470245,.2640609741210938,56949,.67779541015625,71736,-1.421352386474609,52835,-.8891439437866211,66020,3474749,.0474920272827148,19729908,.2234306335449219,715500,-.075439453125,29751,322900,-.1752538681030273,4260042,.16650390625,4409,.5262150764465332,123971,.0548524856567383,37604,45006,.5208969116210938,42421,-.7227716445922852,1534148,.127720832824707,2173030,-.0102157592773438,10432233,.0482921600341797,6632190,-.1887950897216797,27220,376411,-.1060237884521484,906253,-.2545223236083984,545255,-.2137241363525391,1194501,.2298479080200195,538207,80000,12106,-.7894630432128906,297721,-.2336530685424805,16783,-.4975214004516602,1076713,.3049726486206055,16505189,-.2694225311279297,103022,.6062040328979492,34324540,.1474876403808594,1734077,-.2833919525146484,1872237,271098,1.091028213500977,103942,.2027006149291992,894706,-.1111221313476563,9459,-.7001523971557617,8341000,7606806,.0837478637695313,175581,-.0812835693359375,42065,.2841625213623047,321379,.4367475509643555,4841923,-.024928092956543,1159072,.0988149642944336,2629,.3147993087768555,61916,-1.126174926757813,79819,.0289545059204102,matched (3),7635821.5,.87418604,2372423.5,2383053.5
201103,732020,614,3474,788839,03,0,1,0,0,0,0,0,0,0,0,0,4155628,-.5864639282226563,157904,1.019831657409668,301056,1.434303283691406,9743,-1.690625190734863,40303,3608227,.037693977355957,17306630,-.1310462951660156,654638,-.0888986587524414,15560,437343,.303375244140625,5593227,.27227783203125,3822,-.1428737640380859,121173,-.0228290557861328,26207,18429,-.8928699493408203,10692,-1.378147125244141,2640295,.5429153442382813,2073854,-.0467138290405273,9720376,-.0706768035888672,5743051,-.1439447402954102,28039,288961,-.2643899917602539,937444,.033839225769043,596910,.0905122756958008,1424404,.1760244369506836,660039,339000,25311,.7375373840332031,607368,.712977409362793,20620,.2058954238891602,1148526,.0645666122436523,14894638,-.1026725769042969,44713,-.8346786499023438,36004652,.0477867126464844,1600467,-.0801801681518555,4203045,105165,-.9469499588012695,81862,-.2387981414794922,738993,-.1912069320678711,23658,.9167346954345703,6943000,8787168,.1442489624023438,24612,-1.964866638183594,22351,-.6323451995849609,126467,-.9326391220092773,238002,-3.012787818908691,1035503,-.11273193359375,9426,1.276868343353272,260552,1.437024116516113,62254,-.2485389709472656,matched (3),1062426.6,.87418604,344058.78,411007.34
201104,732020,615,3474,1215022,04,0,0,1,0,0,0,0,0,0,0,0,7549219,.5969810485839844,122973,-.2500228881835938,285905,-.0516366958618164,21793,.8050394058227539,33578,4052333,.1160764694213867,21085980,.1975193023681641,1285586,.6748867034912109,72295,186243,-.8536653518676758,5328809,-.0484294891357422,3639,-.0490655899047852,136378,.1182117462158203,39774,23092,.225560188293457,53554,1.611194610595703,2276998,-.1480321884155273,1903658,-.0856313705444336,9551398,-.0175361633300781,7480073,.264251708984375,31173,504251,.5567827224731445,1969773,.7425165176391602,671376,.1175632476806641,1119121,-.2412099838256836,953418,126000,28961,.1347112655639648,482800,-.2295322418212891,81377,1.372830390930176,697212,-.4991455078125,15301935,.0269775390625,53174,.1733055114746094,36755736,.0206470489501953,1232897,-.2609281539916992,4550326,77561,-.3044662475585938,77498,-.0547828674316406,892703,.1889657974243164,2181,-2.383918285369873,6114000,9404801,.067927360534668,266723,2.382976531982422,57852,.9510164260864258,128534,.0162115097045898,227197,-.0464620590209961,1714750,.5043802261352539,17922,.6425571441650391,126375,-.7235488891601563,103694,.5102214813232422,matched (3),2289130.5,.87418604,230277.53,321835.84
201105,732020,616,3474,1507760,05,0,0,0,1,0,0,0,0,0,0,0,9055354,.1819124221801758,103923,-.1683139801025391,434487,.4185066223144531,18293,-.1750698089599609,69400,4525645,.1104669570922852,29032928,.3198223114013672,786452,-.4914379119873047,190732,261600,.3397645950317383,5561940,.0428199768066406,660,-1.707223892211914,129723,-.0500288009643555,82381,6685,-1.239619255065918,221643,1.420377731323242,2404015,.0542821884155273,2607264,.3145246505737305,10549303,.0993709564208984,8786056,.1609230041503906,29973,556129,.097926139831543,1664756,-.1682395935058594,947909,.3449287414550781,1701169,.4187726974487305,617783,284000,21582,-.2940902709960938,607217,.2292842864990234,28434,-1.051506996154785,3010258,1.462692260742188,20846546,.3092098236083984,65536,.2090301513671875,42555168,.1465072631835938,1965554,.4664068222045898,5039134,178497,.8335075378417969,86355,.10821533203125,825839,-.0778541564941406,18465,2.136093616485596,10988000,16411761,.5567779541015625,476069,.5793523788452148,33806,-.5372495651245117,170207,.2808218002319336,238279,.0476255416870117,1936221,.1214704513549805,10163,-.5672750473022461,268355,.753056526184082,125901,.1940517425537109,matched (3),895991.88,.87418604,206798.81,305477.22
201106,732020,617,3474,1458204,06,0,0,0,0,1,0,0,0,0,0,0,7037430,-.2521142959594727,189458,.6005163192749023,387777,-.1137351989746094,14705,-.2183313369750977,48876,5024333,.1045322418212891,24703858,-.1614704132080078,1002311,.2425317764282227,590640,317406,.1933650970458984,5243987,-.0588655471801758,8244,2.52500057220459,144915,.1107454299926758,60526,13314,.6889495849609375,141072,-.4517974853515625,1364443,-.5663938522338867,1571256,-.5064268112182617,8777987,-.183812141418457,8320488,-.0544443130493164,52877,468421,-.1716327667236328,1961139,.1638460159301758,444259,-.7578506469726563,1760473,.034266471862793,546010,273000,23346,.0785655975341797,295018,-.7218503952026367,46875,.4998989105224609,1421666,-.7501964569091797,17391540,-.1812057495117188,45634,-.3619470596313477,35419360,-.1835441589355469,1913686,-.0267429351806641,6518252,139618,-.245661735534668,119404,.3240451812744141,1097603,.2844839096069336,7036,-.9648370742797852,7312000,12896175,-.2410659790039063,142056,-1.209342002868652,64504,.6460895538330078,264567,.4410791397094727,208708,-.1325063705444336,1892834,-.0226631164550781,6020,-.5236663818359375,257796,-.0401420593261719,73077,-.5439815521240234,matched (3),1469571,.87418604,244775.67,332363.81
201107,732020,618,3474,1374942,07,0,0,0,0,0,1,0,0,0,0,0,7784865,.1009387969970703,128011,-.3920507431030273,211317,-.6070709228515625,27629,.6306791305541992,18914,4717282,-.0630598068237305,23122772,-.0661411285400391,815175,-.206660270690918,185184,419163,.2780780792236328,4710448,-.1072988510131836,7959,-.035181999206543,204706,.3454275131225586,80942,20006,.4072160720825195,160702,.1302804946899414,1473386,.0768165588378906,2207425,.3399515151977539,8609406,-.0193920135498047,8242126,-.0094633102416992,40662,370607,-.2342252731323242,2003747,.0214939117431641,915971,.7235774993896484,1710091,-.0290355682373047,450001,212000,6906,-1.218034744262695,432616,.3828144073486328,37883,-.212982177734375,1065981,-.2879343032836914,15229245,-.1327648162841797,51445,.1198606491088867,35014996,-.0114822387695313,2258494,.1656675338745117,5134414,81603,-.5370445251464844,79787,-.4031515121459961,792508,-.3256807327270508,5135,-.3149604797363281,6109000,21558498,.5138378143310547,11708,-2.495948791503906,92514,.3606319427490234,247038,-.0685520172119141,252487,.1904230117797852,1826090,-.0358982086181641,12811,.7552165985107422,197559,-.2661314010620117,45031,-.4841632843017578,matched (3),1242634.4,.87418604,180503.19,288326.16
201108,732020,619,3474,1318805,08,0,0,0,0,0,0,1,0,0,0,0,7200086,-.0780887603759766,84903,-.4106063842773438,1194838,1.732405662536621,141694,1.634803771972656,17642,4641779,-.0161352157592773,27425980,.1706714630126953,750299,-.0829315185546875,69969,410618,-.0205965042114258,4327120,-.0848808288574219,3686,-.7697610855102539,187479,-.0879077911376953,35938,35812,.5822505950927734,95746,-.517852783203125,2521270,.5371999740600586,2914541,.2778854370117188,8704972,.0110387802124023,7634892,-.0765295028686523,26009,364090,-.0177412033081055,1485894,-.2990026473999023,971722,.0590848922729492,1456669,-.1603946685791016,393758,250000,16170,.8507671356201172,470736,.084446907043457,26980,-.3394060134887695,956001,-.108891487121582,18067276,.1708850860595703,109722,.7574367523193359,29503504,-.1712665557861328,1468122,-.4307146072387695,3998784,185648,.8219871520996094,106229,.2862367630004883,724235,-.0900869369506836,3127,-.4960050582885742,7592000,8403437,-.9421291351318359,54408,1.536238670349121,90857,-.0180730819702148,149196,-.5042810440063477,155345,-.4857110977172852,2037191,.1093950271606445,15622,.1983757019042969,137291,-.3639345169067383,90619,.6993131637573242,matched (3),1398902.1,.87418604,145981.06,268069.09
