period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1212c484,growth1212c484,Y137c124,growth137c124,Y147c124,growth147c124,Y1728c32,Y1735c152,growth1735c152,Y1759c152,growth1759c152,Y1776c620,growth1776c620,Y1900c124,growth1900c124,Y1900c36,Y1903c484,growth1903c484,Y2008c268,growth2008c268,Y2019c124,growth2019c124,Y2307c222,growth2307c222,Y2322c484,growth2322c484,Y2831c124,growth2831c124,Y2861c752,growth2861c752,Y2877c703,Y2925c152,growth2925c152,Y2963c36,Y2991c440,growth2991c440,Y3127c586,growth3127c586,Y3420c620,growth3420c620,Y3473c246,growth3473c246,Y3698c586,growth3698c586,Y3762c484,growth3762c484,Y3808c300,growth3808c300,Y4038c484,growth4038c484,Y4197c376,Y4240c251,Y4259c376,Y425c124,growth425c124,Y4291c376,Y4386c124,growth4386c124,Y4391c616,growth4391c616,Y4467c152,growth4467c152,Y4578c222,growth4578c222,Y4686c352,growth4686c352,Y4734c792,growth4734c792,Y4800c376,Y4917c376,Y4917c484,growth4917c484,Y4937c222,growth4937c222,Y4941c554,Y4943c251,growth4943c251,Y4961c586,Y4990c300,growth4990c300,Y4992c124,growth4992c124,Y598c807,growth598c807,Y679c792,growth679c792,Y890c484,growth890c484,_merge,x,r2,s,sf
201011,901839,610,4755,8898535,11,0,0,0,0,0,0,0,0,0,1,0,4839554,.3010406494140625,2899008,-.2251548767089844,6062348,-.1130313873291016,3346193,408595,-.3937578201293945,5369409,.2590007781982422,168376,1.199189186096191,11016716,.0642585754394531,13685678,7824558,.0171842575073242,115013,.6913833618164063,560386,-.0726423263549805,1245064,.9051742553710938,4483802,.0920343399047852,10655075,.2745504379272461,374327,.0999412536621094,5939,1080653,.4355201721191406,14798058,74473,.9405584335327148,27456,1.565473556518555,500840,-.1061458587646484,346952,.0827579498291016,5601,2.386533260345459,485569,-.2651901245117188,36346,.3614892959594727,3340902,.134490966796875,33193000,156470,4348000,197083,.2024946212768555,1954000,6989154,.2023048400878906,56861360,-.0055408477783203,115858,.2582721710205078,320448,.0626125335693359,15454,1.7186598777771,494623,.5950126647949219,1030000,965000,5816124,.000340461730957,17319,-.8895730972290039,255856,27950024,.1586227416992188,27999,251458,1.039302825927734,2560145,-.0306262969970703,8309,.1727161407470703,49424,-1.745102882385254,8791007,.0839443206787109,matched (3),13818964,.92419767,803943.19,1625762.8
201012,901839,611,4755,10126231,12,0,0,0,0,0,0,0,0,0,0,1,2915831,-.5066680908203125,3021103,.0412530899047852,8476627,.3352155685424805,3299321,461627,.1220331192016602,8079557,.4086189270019531,248139,.3877897262573242,7633097,-.3669195175170898,9670044,8966958,.1362800598144531,72920,-.4556827545166016,425138,-.2762126922607422,1218958,-.0211906433105469,5792428,.2560806274414063,10997659,.031646728515625,278633,-.2952337265014648,555,2135894,.6813201904296875,12919939,44435,-.5164089202880859,19667,-.3336420059204102,542618,.0801191329956055,363496,.0465822219848633,1081,-1.645058155059815,532457,.0921802520751953,42656,.1600837707519531,3750915,.1157588958740234,31294000,227847,4229000,96777,-.7112159729003906,2100000,5482710,-.2427606582641602,61295584,.0750923156738281,225056,.6639833450317383,319796,-.0020360946655273,13641,-.1247882843017578,286397,-.546417236328125,759000,1083000,5302412,-.0924720764160156,30778,.5749959945678711,459229,24026382,-.1512660980224609,52073,134036,-.6291675567626953,2389332,-.0690498352050781,8635,.0384836196899414,109752,.7977876663208008,11437665,.2631826400756836,matched (3),13452387,.92419767,969937,1713930.5
201101,901839,612,4755,10447039,01,0,0,0,0,0,0,0,0,0,0,0,3626362,.2180757522583008,4277331,.3477077484130859,8939249,.0531387329101563,3645476,491483,.0626697540283203,8237955,.0194158554077148,340007,.314976692199707,9133523,.1794576644897461,7299193,8120523,-.0991525650024414,21792,-1.207819938659668,807578,.6416263580322266,1287571,.0547609329223633,6064220,.0458536148071289,14431776,.2717494964599609,652730,.8512678146362305,10287,2525334,.1674880981445313,12823494,40255,-.0987939834594727,20947,.0630531311035156,535779,-.0126838684082031,423258,.1522130966186523,1774,.4953503608703613,420144,-.2369041442871094,42645,-.0002574920654297,3606956,-.0391359329223633,40367000,103821,4477000,133216,.3195629119873047,2412000,6518210,.1730003356933594,44550448,-.3190860748291016,234323,.0403518676757813,274056,-.1543512344360352,3985,-1.230542182922363,211961,-.3009767532348633,1404000,997000,5659026,.0650901794433594,8752,-1.257517814636231,416763,24598284,.0235233306884766,92244,2075449,2.739824295043945,2730120,.133331298828125,18256,.7486705780029297,248312,.816462516784668,14040212,.2050132751464844,matched (3),12616870,.92419767,834316.56,1640994.9
201102,901839,613,4755,9255169,02,1,0,0,0,0,0,0,0,0,0,0,4421589,.1982688903808594,2355937,-.5963907241821289,11231214,.2282447814941406,3354120,248579,-.681666374206543,6697787,-.206974983215332,88542,-1.345488548278809,7152614,-.2444734573364258,9296161,10306690,.238398551940918,123479,1.734528541564941,742540,-.0839633941650391,793068,-.4846038818359375,4354540,-.3311862945556641,15717374,.0853347778320313,383387,-.5321187973022461,9404,1761986,-.3599319458007813,12424115,21956,-.6061935424804688,11262,-.6205615997314453,492965,-.0832834243774414,498598,.163818359375,18183,2.327250480651856,703537,.5155229568481445,24718,-.5453786849975586,4097006,.1273927688598633,22828000,183019,4055000,132896,-.0024051666259766,1791000,5861054,-.1062698364257813,33491350,-.2853355407714844,101808,-.8336124420166016,247931,-.1001815795898438,11334,1.045269966125488,101974,-.7316837310791016,964000,1243000,5304801,-.0646390914916992,7888,-.1039400100708008,224528,29521012,.1824264526367188,446494,185258,-2.416182518005371,2266589,-.1860694885253906,20661,.123753547668457,129241,-.6530075073242188,13935896,-.0074577331542969,matched (3),9372336,.92419767,859673.25,1654030.9
201103,901839,614,4755,7993376,03,0,1,0,0,0,0,0,0,0,0,0,5237729,.1693887710571289,2353035,-.0012321472167969,7380508,-.4198541641235352,3206416,419504,.5233116149902344,4404440,-.4191646575927734,503057,1.737226486206055,5036102,-.3508453369140625,5836807,8330825,-.2128305435180664,123071,-.0033092498779297,434466,-.5359592437744141,501892,-.4575233459472656,4095455,-.0613412857055664,11814273,-.2854595184326172,331860,-.1443319320678711,9813,963221,-.6039142608642578,10004832,30839,.3397397994995117,16575,.3864612579345703,426886,-.1439208984375,550875,.0997076034545898,2335,-2.052475452423096,561317,-.225834846496582,7685,-1.168261528015137,2645553,-.4373760223388672,24447000,144918,5196000,72856,-.6010818481445313,1970000,5713247,-.0255422592163086,46531636,.3288459777832031,289034,1.043456077575684,178056,-.3310527801513672,1446,-2.059006214141846,207318,.7095355987548828,868000,1001000,4631646,-.1357002258300781,11333,.3623762130737305,167275,29430140,-.003082275390625,12049,178011,-.0399045944213867,2362751,.0415506362915039,2538,-2.09687089920044,292461,.8166522979736328,9377566,-.3961467742919922,matched (3),4718742,.92419767,768495.81,1608529.1
201104,901839,615,4755,9802462,04,0,0,1,0,0,0,0,0,0,0,0,3827366,-.3137111663818359,3253028,.3238801956176758,8499692,.1411876678466797,3560379,557412,.2842321395874023,3697483,-.1749601364135742,2364800,1.547744750976563,8105398,.4758977890014648,8112693,8427976,.0115938186645508,174030,.346466064453125,591375,.3083333969116211,1169136,.8456354141235352,5254981,.249298095703125,12134986,.0267848968505859,341106,.0274801254272461,5286,1055249,.0912494659423828,13850789,20310,-.4176664352416992,24917,.4076547622680664,325520,-.2710933685302734,455963,-.1890964508056641,3112,.2872538566589356,514322,-.0874357223510742,18341,.8698692321777344,3296914,.2201061248779297,27855000,252634,4720000,164423,.8139572143554688,1861000,5742535,.0051136016845703,43536236,-.0665397644042969,249447,-.1472978591918945,215212,.1895256042480469,4444,1.122753620147705,141380,-.3828029632568359,1031000,1179000,4923241,.0610542297363281,51166,1.507356643676758,475821,24295026,-.1917476654052734,40493,81568,-.7804079055786133,2823259,.178065299987793,14206,1.722287654876709,169684,-.5443935394287109,13302702,.3496475219726563,matched (3),12416116,.92419767,865175.44,1656897.3
201105,901839,616,4755,10584954,05,0,0,0,1,0,0,0,0,0,0,0,5389497,.3422756195068359,3366343,.03424072265625,7727124,-.0952930450439453,3930746,633315,.1276636123657227,3583482,-.0313177108764648,443457,-1.673847198486328,9720072,.1816635131835938,9232985,8714640,.033447265625,188420,.0794458389282227,646497,.0891180038452148,506205,-.8370790481567383,7989734,.4189815521240234,11164332,-.0833683013916016,633264,.6186943054199219,2195,1641668,.4419355392456055,13730315,48958,.8798494338989258,41301,.5053367614746094,457220,.3397407531738281,507062,.1062221527099609,7818,.9211626052856445,651228,.2360095977783203,17791,-.0304470062255859,1982267,-.5087451934814453,27433000,462326,6939000,100159,-.4956836700439453,2787000,5503192,-.0425729751586914,38499856,-.1229381561279297,186748,-.2894868850708008,359968,.5143918991088867,2592,-.5391249656677246,1893468,2.594714164733887,1361000,1588000,6605428,.2939252853393555,193231,1.328810691833496,466568,26602558,.0907344818115234,87129,200495,.8993520736694336,2929972,.0371017456054688,21081,.3947076797485352,595843,1.256039619445801,10912694,-.1980419158935547,matched (3),6896264.5,.92419767,1032958.8,1750366.9
201106,901839,617,4755,9236490,06,0,0,0,0,1,0,0,0,0,0,0,3765182,-.3586559295654297,4059166,.1871500015258789,6465647,-.1782341003417969,3436582,535831,-.167149543762207,2951621,-.1939802169799805,1415676,1.160760879516602,9498888,-.0230197906494141,10574549,9311358,.0662307739257813,227978,.1905755996704102,521161,-.2155094146728516,1448606,1.05141544342041,6784749,-.1634807586669922,12235777,.0916385650634766,385944,-.4951953887939453,1856,1496933,-.0922937393188477,12881700,96737,.6810331344604492,32591,-.2368507385253906,352073,-.2613258361816406,410058,-.2123346328735352,9373,.1814050674438477,492842,-.2786712646484375,7021,-.9297866821289063,5286190,.9808559417724609,24053000,131650,4721000,218171,.7785205841064453,2271000,4275632,-.2523965835571289,47758092,.2154941558837891,299208,.471379280090332,236202,-.4213285446166992,19798,2.033151149749756,994968,-.6434545516967773,1214000,1767000,5990261,-.0977573394775391,12463,-2.741122245788574,462200,29280804,.0959243774414063,32582,183073,-.0909042358398438,3119346,.0626296997070313,19272,-.0897188186645508,755729,.237706184387207,14419125,.2786293029785156,matched (3),11654362,.92419767,1040685.9,1754937.9
201107,901839,618,4755,8830313,07,0,0,0,0,0,1,0,0,0,0,0,3330408,-.1227016448974609,3625302,-.1130399703979492,7890293,.1991300582885742,3238664,491303,-.0867576599121094,2730082,-.0780229568481445,245563,-1.751808166503906,10094661,.0608329772949219,9189351,10525932,.1226062774658203,73986,-1.125373840332031,747967,.3612995147705078,977212,-.3936538696289063,5553555,-.2002382278442383,10743239,-.1300868988037109,1045708,.9967575073242188,4065,2799962,.6261873245239258,13974836,55748,-.5511550903320313,49210,.4120607376098633,460037,.2674684524536133,343135,-.1781749725341797,1306,-1.970864772796631,637101,.256739616394043,89721,2.547799110412598,3138860,-.5212373733520508,30220000,128590,6770000,184648,-.1668281555175781,2173000,5077520,.1718912124633789,45062064,-.0581092834472656,146773,-.7122516632080078,244819,.035832405090332,6139,-1.170919418334961,185079,-1.681927680969238,1119000,1642000,4370696,-.3152122497558594,39463,1.152599334716797,438504,22383196,-.2686214447021484,69120,94913,-.6569242477416992,2696858,-.1455354690551758,15855,-.1951684951782227,206354,-1.298089981079102,12565793,-.1375770568847656,matched (3),13185419,.92419767,723554.81,1587549
201108,901839,619,4755,10035822,08,0,0,0,0,0,0,1,0,0,0,0,4144306,.2186403274536133,3944193,.0843067169189453,10234794,.2601604461669922,4547080,772629,.4527378082275391,3608820,.2790489196777344,1779470,1.98051643371582,9731548,-.0366344451904297,11196361,9695764,-.0821514129638672,235929,1.159655570983887,484169,-.4349250793457031,1100956,.1192312240600586,5626156,.0129880905151367,12637274,.1623744964599609,835006,-.225010871887207,574,2626802,-.0638389587402344,17347794,4810,-2.450143814086914,77895,.4592647552490234,354425,-.2608108520507813,439943,.2485208511352539,2548,.668339729309082,693086,.0842266082763672,14702,-1.808721542358398,4034428,.2510042190551758,25915000,606938,6194000,131606,-.3386383056640625,2311000,5300150,.042912483215332,44495624,-.0126495361328125,345587,.8563566207885742,426150,.5542716979980469,11548,.6318502426147461,686034,1.310144424438477,1173000,1706000,5800287,.282984733581543,266004,1.908147811889648,415849,25912364,.1464099884033203,54978,206826,.7789173126220703,2559896,-.0521211624145508,10285,-.4327983856201172,379392,.6089763641357422,13767763,.0913505554199219,matched (3),13953046,.92419767,906631.56,1678916.6
