period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1090c376,Y1239c32,Y1243c826,growth1243c826,Y1377c218,Y1503c348,growth1503c348,Y1528c440,growth1528c440,Y1600c300,growth1600c300,Y1721c757,growth1721c757,Y1753c600,growth1753c600,Y1757c688,growth1757c688,Y1835c792,growth1835c792,Y1854c600,growth1854c600,Y1914c703,growth1914c703,Y2010c203,Y2049c352,growth2049c352,Y2061c124,growth2061c124,Y2118c348,growth2118c348,Y2148c222,growth2148c222,Y2481c688,growth2481c688,Y2504c381,Y2754c705,growth2754c705,Y2758c757,growth2758c757,Y2884c152,growth2884c152,Y2912c616,growth2912c616,Y3033c484,growth3033c484,Y3069c554,Y307c124,growth307c124,Y3144c352,growth3144c352,Y3179c620,growth3179c620,Y3313c300,growth3313c300,Y3428c620,growth3428c620,Y3492c586,growth3492c586,Y3844c642,Y3900c616,growth3900c616,Y3900c757,growth3900c757,Y411c124,growth411c124,Y4165c300,growth4165c300,Y4271c757,growth4271c757,Y4275c251,growth4275c251,Y4410c826,growth4410c826,Y4479c428,growth4479c428,Y4761c600,growth4761c600,Y4821c222,growth4821c222,Y4931c268,growth4931c268,Y4932c616,growth4932c616,Y5034c757,growth5034c757,Y505c757,growth505c757,Y596c484,growth596c484,Y619c440,growth619c440,Y705c428,growth705c428,_merge,x,r2,s,sf
201011,901420,610,4732,154741,11,0,0,0,0,0,0,0,0,0,1,0,186000,301574,1156282,.0260772705078125,2902157,2086994,.1529560089111328,6275,.1577959060668945,2254633,.1693229675292969,533331,-.1621780395507813,167231,.5867443084716797,378156,-.586461067199707,245967,.9554653167724609,48832,-.3141555786132813,259514,-.2075300216674805,821906,1162,-2.785626888275147,6829214,.1760063171386719,1051,-1.576749801635742,6051,1.49494743347168,168469,.4602508544921875,401307,482530,-.0495166778564453,650396,-.3896713256835938,841899,.3741750717163086,112055,.9064998626708984,3250070,.3218278884887695,485890,3880574,-.6294927597045898,62465,.1361665725708008,65297,-1.81861686706543,52020,.1735029220581055,3171876,.01739501953125,23274,.6289148330688477,367377,12290356,-.1109294891357422,13914419,.2379436492919922,967095,.7140493392944336,25095,.8759708404541016,14053372,.0048370361328125,8709495,.2142829895019531,5076531,.1341943740844727,32874,.2313985824584961,74214,-.9337825775146484,37569,-.263148307800293,147619,.3014621734619141,1795517,.2719478607177734,455824,1.177127838134766,509152,.3061008453369141,126581,.3745498657226563,213633,.6024360656738281,116687,.1859188079833984,matched (3),392222.34,.88721007,117445.23,161018.75
201012,901420,611,4732,245386,12,0,0,0,0,0,0,0,0,0,0,1,247000,48710,1316497,.1297645568847656,1683319,1231528,-.5274686813354492,48152,2.037789344787598,2883299,.2459478378295898,509971,-.0447883605957031,228955,.3141498565673828,239477,-.4568500518798828,310024,.2314529418945313,132788,1.000368118286133,302955,.1547737121582031,683476,17368,2.70448637008667,4909316,-.3300752639770508,3582,1.226179122924805,19755,1.183182716369629,277720,.4998617172241211,402754,369939,-.2657051086425781,642369,-.0124187469482422,1764562,.7399978637695313,56271,-.6888103485107422,2849058,-.131688117980957,531560,6780276,.5580348968505859,96620,.4361801147460938,161163,.9034700393676758,87295,.517664909362793,3989495,.2293415069580078,16560,-.3403463363647461,767876,12496175,.0166072845458984,10980263,-.2368259429931641,628334,-.4312248229980469,27521,.0922813415527344,10294444,-.3112564086914063,8608892,-.0116176605224609,4622417,-.0937108993530273,25085,-.2704124450683594,249809,1.213743209838867,53306,.3498697280883789,163445,.101841926574707,1850762,.0303049087524414,3607739,2.068729400634766,440116,-.1457080841064453,177028,.3354253768920898,163273,-.2688360214233398,114461,-.019261360168457,matched (3),147642.39,.88721007,178232.42,209524.34
201101,901420,612,4732,24972,01,0,0,0,0,0,0,0,0,0,0,0,167000,91180,2229139,.5266408920288086,3834700,1446380,.1608076095581055,5885,-2.101955413818359,2259550,-.243769645690918,540435,.0580205917358398,193988,-.1657295227050781,413474,.546137809753418,399800,.2543144226074219,36022,-1.304623603820801,298115,-.0161056518554688,452383,1921,-2.201783180236816,5839662,.1735382080078125,347,-2.334352016448975,7763,-.9340381622314453,167691,-.5044898986816406,346158,400224,.0786857604980469,616845,-.0405454635620117,613091,-1.057145118713379,34401,-.4920940399169922,1905851,-.4020605087280273,213478,5170267,-.2710933685302734,176878,.6046743392944336,584018,1.287515640258789,78891,-.1012258529663086,2259463,-.5685367584228516,28193,.5320835113525391,184250,10002894,-.2225475311279297,12527999,.131866455078125,1271454,.7048444747924805,17555,-.449610710144043,10368574,.0071735382080078,8575544,-.0038814544677734,5043427,.0871686935424805,16346,-.4282865524291992,75108,-1.20176887512207,46204,-.1429824829101563,100299,-.4883203506469727,691537,-.9844369888305664,252420,-2.65974235534668,738977,.5182285308837891,71143,-.911616325378418,83929,-.6654520034790039,145508,.2399969100952148,matched (3),-185463.09,.88721007,203538.09,231433.38
201102,901420,613,4732,14413,02,1,0,0,0,0,0,0,0,0,0,0,95000,63646,1604640,-.3287153244018555,2088521,1934459,.2907638549804688,16060,1.003924369812012,1363071,-.5054254531860352,472174,-.1350269317626953,85757,-.8162784576416016,223062,-.6171455383300781,117152,-1.227492332458496,27510,-.2695798873901367,307184,.02996826171875,322362,395,-1.58171558380127,5683315,-.0271377563476563,2416,1.940543651580811,4114,-.6349725723266602,115934,-.3691024780273438,447851,344735,-.1492481231689453,584017,-.0546875,586320,-.044647216796875,45160,.2721261978149414,2067678,.0814981460571289,439357,4577437,-.1217851638793945,17505,-2.312973976135254,232594,-.9206371307373047,73090,-.0763759613037109,2237848,-.009613037109375,5082,-1.71336841583252,158513,16746883,.5153369903564453,11498230,-.0857734680175781,862220,-.3884057998657227,15287,-.138336181640625,11625070,.1143856048583984,6612763,-.2599124908447266,4568866,-.098820686340332,16165,-.0111351013183594,102539,.3113155364990234,47004,.0171661376953125,44051,-.8228073120117188,839982,.1944646835327148,239104,-.0541954040527344,435151,-.5295743942260742,122274,.5415725708007813,177610,.7496185302734375,118483,-.2054615020751953,matched (3),-37627.91,.88721007,88675.453,141410.7
201103,901420,614,4732,69993,03,0,1,0,0,0,0,0,0,0,0,0,302000,239136,1751729,.0877037048339844,3199891,2101936,.0830316543579102,38123,.8644866943359375,6079766,1.49522590637207,779084,.5007715225219727,140727,.4953041076660156,614351,1.013116836547852,506993,1.465024948120117,70155,.9361572265625,341366,.1055078506469727,729096,16431,3.728039741516113,5316009,-.0668115615844727,3024,.2244672775268555,471,-2.167293071746826,132373,.1326026916503906,250820,724274,.7423934936523438,729194,.2220096588134766,1599495,1.00357723236084,29219,-.4353923797607422,2553227,.2109317779541016,529217,1393758,-1.189135551452637,73746,1.438139915466309,271298,.1539230346679688,14951,-1.586913108825684,2346916,.0475873947143555,21031,1.420291900634766,1546269,19426324,.1484165191650391,13583453,.1666584014892578,1202521,.3326644897460938,89790,1.77047061920166,14574142,.2260837554931641,7204095,.0856475830078125,5259042,.1406831741333008,22646,.3371353149414063,128810,.2280950546264648,61034,.2611980438232422,160997,1.296037673950195,1520170,.5931968688964844,620135,.953038215637207,886744,.7118635177612305,131149,.0700693130493164,179899,.0128059387207031,2073,-4.045772552490234,matched (3),318085.78,.88721007,190146.09,219748.02
201104,901420,615,4732,98494,04,0,0,1,0,0,0,0,0,0,0,0,206000,269459,1653178,-.0579042434692383,2022529,2398600,.1320257186889648,9757,-1.362833023071289,1849616,-1.189988136291504,622200,-.2248573303222656,148191,.0516805648803711,372109,-.5013790130615234,526823,.0383672714233398,92330,.2746620178222656,367419,.0735483169555664,760299,916,-2.886909008026123,5600828,.0521917343139648,18876,1.831311225891113,5540,2.464891910552979,351410,.9763298034667969,382005,444759,-.4876365661621094,472926,-.4330005645751953,1351860,-.1682062149047852,20383,-.3601179122924805,2134836,-.1789684295654297,393569,5581190,1.387397766113281,11337,-1.872554779052734,547189,.7015762329101563,47384,1.153506278991699,3116091,.283477783203125,6336,-1.199749946594238,411478,28562460,.3854656219482422,13405735,-.0131683349609375,912316,-.276188850402832,8160,-2.398229598999023,15223118,.0435676574707031,8551830,.1714954376220703,4815916,-.0880222320556641,25974,.1371126174926758,182759,.3498306274414063,42042,-.3727617263793945,169593,.0520153045654297,974785,-.4443607330322266,240950,-.945347785949707,1135031,.2468585968017578,130223,-.0070858001708984,118007,-.4216518402099609,204833,4.593197822570801,matched (3),-92991.32,.88721007,143365.16,180796.08
201105,901420,616,4732,147911,05,0,0,0,1,0,0,0,0,0,0,0,347000,265149,1872945,.1248130798339844,2643127,2097964,-.1339178085327148,26063,.9825315475463867,2583189,.3340463638305664,867917,.3328342437744141,269065,.5964508056640625,463785,.2202339172363281,605562,.1392927169799805,34436,-.98626708984375,254758,-.3661890029907227,735420,16854,2.912327289581299,6307521,.1188278198242188,36888,.6699943542480469,3520,-.4535341262817383,328720,-.066746711730957,476258,450984,.0138988494873047,401837,-.1628923416137695,293417,-1.527642250061035,105096,1.640172958374023,2950984,.3237485885620117,842220,7670243,.3179464340209961,4640,-.8933572769165039,613040,.1136360168457031,67018,.3466768264770508,3246453,.0409832000732422,11573,.6024274826049805,695870,31216484,.0888519287109375,14095866,.0501976013183594,1121991,.206873893737793,11909,.3780508041381836,19770076,.2613544464111328,7816096,-.0899600982666016,3975059,-.1918869018554688,24319,-.0658378601074219,298069,.4891567230224609,56889,.3024330139160156,176554,.0402250289916992,1263068,.2590818405151367,284435,.1659154891967773,826224,-.3175487518310547,135851,.0423107147216797,147905,.2258262634277344,220419,.0733356475830078,matched (3),373856.28,.88721007,141733.19,179504.73
201106,901420,617,4732,224513,06,0,0,0,0,1,0,0,0,0,0,0,206000,112927,1951564,.0411186218261719,2877152,2206774,.0505647659301758,35309,.3036212921142578,2588991,.0022439956665039,864472,-.0039768218994141,355063,.2773418426513672,634625,.3136129379272461,752821,.2176704406738281,68041,.6810083389282227,302465,.1716508865356445,898905,546,-3.42972469329834,6605750,.0461978912353516,12992,-1.043552398681641,5010,.3529748916625977,156312,-.7433528900146484,567995,340946,-.2797079086303711,445101,.1022548675537109,1031800,1.257465362548828,47928,-.7851743698120117,1760485,-.5165491104125977,2116252,10010905,.2663278579711914,39627,2.144796371459961,118186,-1.646170616149902,172627,.946171760559082,3656143,.1188459396362305,22788,.6775588989257813,881927,29767270,-.0475368499755859,13252681,-.0616817474365234,126954,-2.179035186767578,11064,-.0735979080200195,13304574,-.3960628509521484,5678253,-.3195409774780273,4382733,.0976333618164063,19795,-.2058286666870117,226824,-.2731513977050781,57822,.0162668228149414,500628,1.042236328125,1499097,.1713190078735352,344895,.1927356719970703,1016121,.2068815231323242,141691,.0420894622802734,277954,.630885124206543,239942,.0848665237426758,matched (3),587318.19,.88721007,137137.7,175898.84
201107,901420,618,4732,326241,07,0,0,0,0,0,1,0,0,0,0,0,278000,284113,2005928,.0274763107299805,3256844,2360050,.0671510696411133,60163,.5329198837280273,1941544,-.2877845764160156,826998,-.044316291809082,96240,-1.305449485778809,652112,.0271825790405273,978677,.2623739242553711,79117,.1508169174194336,285152,-.0589427947998047,689964,16413,3.403209686279297,8523142,.2548446655273438,23764,.6038379669189453,5358,.0671548843383789,175355,.1149587631225586,353348,488746,.3601188659667969,842795,.6384220123291016,913659,-.1216020584106445,31092,-.4327497482299805,2480579,.3429031372070313,1706200,10737308,.0700492858886719,28284,-.337214469909668,613806,1.647419929504395,405397,.853734016418457,2628640,-.3299427032470703,26983,.1689729690551758,369893,31277666,.0494956970214844,13657879,.0301170349121094,851160,1.902774810791016,18757,.5278701782226563,14892667,.112762451171875,8757796,.4333000183105469,6679429,.4213600158691406,21281,.0723848342895508,326761,.3650550842285156,87472,.4139499664306641,491646,-.0181035995483398,1735959,.1466970443725586,419035,.1947145462036133,806618,-.2308979034423828,114543,-.2126979827880859,210056,-.2800807952880859,203396,-.1652421951293945,matched (3),378534,.88721007,113800.31,158379.81
201108,901420,619,4732,236212,08,0,0,0,0,0,0,1,0,0,0,0,146000,48011,1756482,-.1327943801879883,4784220,1958149,-.1866836547851563,24542,-.896672248840332,2569290,.2801456451416016,472401,-.5599746704101563,149649,.4414472579956055,730536,.1135616302490234,873815,-.1133327484130859,93162,.1634120941162109,440000,.4337520599365234,765228,16275,-.0084428787231445,5989396,-.3527946472167969,10686,-.7992372512817383,2360,-.8199286460876465,250895,.3582220077514648,305678,505398,.033503532409668,738723,-.131800651550293,1609522,.5662345886230469,190736,1.813940048217773,2536596,.0223302841186523,1211076,6410342,-.515812873840332,8150,-1.244277954101563,145399,-1.440197944641113,17929,-3.118447303771973,3005568,.1340007781982422,15702,-.5414180755615234,2658780,20587944,-.4181995391845703,13601024,-.0041713714599609,987688,.1487674713134766,8305,-.8147087097167969,11315997,-.2746524810791016,7570637,-.1456670761108398,9025302,.300999641418457,25106,.1652927398681641,280570,-.1524057388305664,64939,-.2978706359863281,509457,.0355863571166992,1602478,-.0800085067749023,313439,-.2903499603271484,658160,-.2034015655517578,131886,.1409873962402344,162223,-.2584028244018555,128560,-.4587593078613281,matched (3),333832.25,.88721007,93215.391,144300.95
