period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1168c703,Y1319c251,growth1319c251,Y1489c620,growth1489c620,Y1515c484,growth1515c484,Y1554c703,growth1554c703,Y1571c203,Y1610c688,growth1610c688,Y1705c554,Y1762c222,growth1762c222,Y1821c348,growth1821c348,Y1848c372,growth1848c372,Y2134c348,growth2134c348,Y2305c124,Y2633c152,growth2633c152,Y2643c807,growth2643c807,Y2742c703,growth2742c703,Y2854c703,growth2854c703,Y2911c440,growth2911c440,Y2967c208,growth2967c208,Y2c554,Y3028c792,growth3028c792,Y3063c233,Y3064c203,Y3066c586,growth3066c586,Y329c352,growth329c352,Y3362c752,growth3362c752,Y3415c688,growth3415c688,Y3486c442,Y3658c251,growth3658c251,Y3682c554,Y3686c616,growth3686c616,Y3741c222,growth3741c222,Y3824c752,growth3824c752,Y3938c807,growth3938c807,Y4159c124,growth4159c124,Y4532c268,growth4532c268,Y4740c32,Y4754c818,Y488c372,growth488c372,Y4892c68,growth4892c68,Y4956c203,Y4958c68,growth4958c68,Y4984c818,Y5016c36,Y558c757,growth558c757,Y875c826,growth875c826,Y974c300,growth974c300,Y977c32,Y991c616,growth991c616,Y992c826,growth992c826,_merge,x,r2,s,sf
201011,760820,610,3591,605811,11,0,0,0,0,0,0,0,0,0,1,0,12316,1203346,.0849418640136719,123392,1.282381057739258,7352964,.6690568923950195,21095,-.3917989730834961,636162,281465,1.154929161071777,125213,135500,-.2294769287109375,250817,.144434928894043,374789,.3245840072631836,221666,.4400768280029297,184193,717667,.4894084930419922,523,3.36920976638794,872561,.0233602523803711,22324,.7135105133056641,14307,.3344478607177734,66725,-.4596376419067383,3427422,1142844,.2417411804199219,55911,68650,158486,2.59367561340332,1474,.0013575553894043,2908135,-.0262022018432617,148303,.4207391738891602,11797,79177,.3916864395141602,72692,567198,.4016351699829102,14780,.5975914001464844,11374104,-.140594482421875,114567,.9373464584350586,2318529,.5239753723144531,386031,.6195344924926758,192315,382488,1025385,.3692178726196289,9832,.6162385940551758,132576,10106,.0243387222290039,335619,667821,5062,1.982731819152832,14359710,.1560115814208984,221339,.1780052185058594,21392,61987,-.0344858169555664,803173,.3680686950683594,matched (3),191465.17,.8216542,38526.871,82189.773
201012,760820,611,3591,374576,12,0,0,0,0,0,0,0,0,0,0,1,7191,787862,-.4235391616821289,120557,-.0232439041137695,8322455,.1238546371459961,25498,.1895647048950195,438101,226490,-.2173080444335938,71571,95720,-.3475437164306641,126144,-.6872997283935547,499497,.2872381210327148,245851,.1035547256469727,51548,400146,-.5841760635375977,243,-.7665200233459473,926273,.0597362518310547,9570,-.8470287322998047,7634,-.6281366348266602,4032,-2.806316375732422,2505143,1284948,.1171979904174805,12227,80752,2904,-3.999576568603516,1125,-.2701964378356934,1956325,-.3964443206787109,138369,-.0693340301513672,7548,56417,-.3389148712158203,134870,329987,-.5416555404663086,5970,-.9065284729003906,11717249,.02972412109375,22179,-1.642014503479004,2757701,.1734647750854492,1327035,1.234784126281738,65235,351339,1018296,-.0069379806518555,3245,-1.108527183532715,12954,5154,-.6733560562133789,252918,328713,2689,-.6325926780700684,13187939,-.0851230621337891,34130,-1.869518280029297,112694,45115,-.3177099227905273,631316,-.2407636642456055,matched (3),246812.16,.8216542,57310.348,92494.945
201101,760820,612,3591,513890,01,0,0,0,0,0,0,0,0,0,0,0,15979,1705110,.7720623016357422,214416,.5757951736450195,3646316,-.8252401351928711,30220,.1699037551879883,586704,356445,.4534797668457031,136552,132611,.3259925842285156,233346,.6150979995727539,402407,-.2161378860473633,225263,-.0874576568603516,140077,629315,.4528026580810547,779,1.164949417114258,939235,.0138969421386719,6212,-.4321498870849609,8740,.1352977752685547,20708,1.636257171630859,2203672,1243940,-.0324344635009766,101710,212598,178100,4.116255760192871,1416,.2300529479980469,2194954,.1150932312011719,96404,-.3613758087158203,27455,104048,.6120815277099609,62343,502272,.4200887680053711,7253,.1946687698364258,12458881,.061370849609375,64145,1.062000274658203,2358721,-.1562786102294922,2599615,.6724166870117188,58228,368895,974963,-.0434865951538086,20624,1.849340438842773,20815,15309,1.088667869567871,1276177,220063,14361,1.675346851348877,13312776,.0094203948974609,175043,1.634855270385742,113469,44432,-.0152549743652344,562250,-.1158599853515625,matched (3),393762.31,.8216542,52786.809,89762.391
201102,760820,613,3591,455703,02,1,0,0,0,0,0,0,0,0,0,0,778,1250931,-.3097419738769531,55584,-1.350022315979004,7121302,.66937255859375,11929,-.9295320510864258,438542,95258,-1.319591522216797,186596,151015,.1299591064453125,322621,.3239564895629883,260832,-.4335870742797852,171513,-.2726097106933594,72646,1265963,.6989564895629883,319,-.892819881439209,918741,-.0220613479614258,3399,-.6030025482177734,7992,-.0894689559936523,12775,-.4830303192138672,1613541,883065,-.3426399230957031,17416,80161,142534,-.2227640151977539,823,-.5426349639892578,2368279,.0760030746459961,153899,.4677486419677734,13922,114774,.0981130599975586,136943,452517,-.1043167114257813,10120,.3330984115600586,13132126,.0526275634765625,144892,.8148431777954102,2198379,-.070399284362793,215247,-2.4913330078125,1207396,314999,1905020,.6698484420776367,4162,-1.600460052490234,58104,11193,-.3131523132324219,172829,145726,13405,-.0688886642456055,15093554,.1255435943603516,507292,1.064054489135742,60793,178136,1.38858699798584,968656,.5439624786376953,matched (3),198008.38,.8216542,53809.258,90367.445
201103,760820,614,3591,245187,03,0,1,0,0,0,0,0,0,0,0,0,3668,1528523,.2004146575927734,48964,-.1268100738525391,11711041,.4974422454833984,25716,.7681417465209961,361958,21419,-1.492310523986816,97262,95526,-.4579811096191406,300405,-.0713472366333008,223144,-.1560592651367188,171222,-.0016975402832031,35976,514444,-.9005022048950195,673,.7465543746948242,919286,.0005931854248047,322,-2.356684684753418,5501,-.3735113143920898,16645,.2646198272705078,1697733,1211306,.3160552978515625,30854,135734,136697,-.041813850402832,841,.0216350555419922,2673249,.1211309432983398,162158,.0522747039794922,12151,105244,-.0866842269897461,44274,376248,-.1845760345458984,12307,.1956548690795898,11393702,-.1420001983642578,18910,-2.036297798156738,1319651,-.5103521347045898,310222,.3655023574829102,443800,365981,1583946,-.1845731735229492,3754,-.1031732559204102,10457,3598,-1.134910583496094,252397,259168,2549,-1.659926414489746,17990146,.1755580902099609,315747,-.4741449356079102,25741,57386,-1.132746696472168,827883,-.1570377349853516,matched (3),162463.98,.8216542,63511.262,96459.938
201104,760820,615,3591,320370,04,0,0,1,0,0,0,0,0,0,0,0,9171,1047608,-.3777923583984375,32965,-.3956384658813477,7635572,-.4277143478393555,63270,.9002971649169922,556190,396088,2.9173583984375,43503,135447,.34918212890625,378236,.2303867340087891,318605,.3561344146728516,151930,-.1195411682128906,121154,330895,-.4412851333618164,169,-1.381846904754639,844554,-.0847892761230469,6253,2.966265678405762,6715,.1994142532348633,42792,.9442415237426758,3289711,1039204,-.1532440185546875,165794,146182,84868,-.4766702651977539,2519,1.097025871276856,2392144,-.1111049652099609,254179,.449467658996582,9402,228342,.7745637893676758,179637,403127,.0690031051635742,9043,-.3081779479980469,17420936,.4246120452880859,41139,.7772655487060547,2692820,.713221549987793,145803,-.7550315856933594,85052,501271,1699532,.0704336166381836,4865,.2592449188232422,2455,14268,1.377641677856445,526846,317721,5642,.7945375442504883,16030360,-.1153411865234375,119594,-.9708385467529297,94183,68446,.1762447357177734,810763,-.0208959579467773,matched (3),175709.16,.8216542,47515.73,86767.414
201105,760820,616,3591,219281,05,0,0,0,1,0,0,0,0,0,0,0,5395,1130355,.0760221481323242,34648,.0497932434082031,6776350,-.1193790435791016,47835,-.2796535491943359,603608,273714,-.3695526123046875,269326,147550,.0855865478515625,355364,-.0623750686645508,300053,-.059992790222168,152086,.0010261535644531,40219,572960,.5490150451660156,78,-.7731895446777344,1219138,.367091178894043,5352,-.1555910110473633,5619,-.1781902313232422,33344,-.2494735717773438,1544022,846415,-.2052011489868164,25281,142960,14100,-1.794921875,2418,-.0409212112426758,1808470,-.2797088623046875,79021,-1.168325424194336,7604,34793,-1.881428718566895,74810,362035,-.1075115203857422,1389,-1.873406410217285,16448533,-.0574359893798828,113969,1.018969535827637,1545841,-.5550212860107422,157948,.0800094604492188,64308,261463,1493029,-.1295461654663086,3311,-.3848171234130859,301,10593,-.297825813293457,47648,304355,9900,.5622959136962891,13695960,-.1573829650878906,193378,.4805440902709961,188802,84416,.209712028503418,666296,-.1962413787841797,matched (3),314010.13,.8216542,64637.055,97204.875
201106,760820,617,3591,362625,06,0,0,0,0,1,0,0,0,0,0,0,73537,1145860,.0136232376098633,208246,1.793479919433594,7949262,.1596403121948242,63595,.2847776412963867,555147,359647,.2730388641357422,84107,155992,.0556373596191406,362160,.0189428329467773,257486,-.1529941558837891,241920,.4641609191894531,205131,1317828,.8329238891601563,763,2.280549049377441,1272820,.0430908203125,32747,1.81134033203125,5774,.0272111892700195,115464,1.242081642150879,5013541,1483349,.5610485076904297,60502,159002,53685,1.336958885192871,2783,.1405887603759766,2698944,.4003801345825195,183369,.8417873382568359,10072,474574,2.613001823425293,179848,370456,.0229940414428711,12230,2.175307273864746,30880992,.6299037933349609,82368,-.3247289657592773,2418773,.4476919174194336,325595,.723388671875,184414,584345,2340020,.4493532180786133,3318,.0021123886108398,38704,7209,-.3848638534545898,211835,329934,11451,.1455421447753906,15206250,.1046047210693359,519493,.9882059097290039,48193,129265,.4261074066162109,677309,.0163936614990234,matched (3),590000.13,.8216542,74087.555,103729.48
201107,760820,618,3591,236417,07,0,0,0,0,0,1,0,0,0,0,0,5406,604922,-.6388111114501953,54698,-1.336893081665039,8073882,.0155553817749023,37671,-.5236444473266602,604280,130078,-1.016988754272461,94985,79713,-.6713714599609375,196772,-.6100397109985352,212662,-.1912612915039063,224087,-.0765724182128906,29097,902795,-.3782444000244141,173,-1.48396635055542,604637,-.7443618774414063,19998,-.4931783676147461,9885,.5376529693603516,68439,-.5230159759521484,474656,955355,-.4399747848510742,15548,132170,19151,-1.030778884887695,2551,-.0870442390441895,2243813,-.1846847534179688,207649,.1243486404418945,22209,1146840,.8823480606079102,77749,297013,-.2209587097167969,813,-2.710915565490723,17461518,-.5701408386230469,80860,-.0184783935546875,1581491,-.424891471862793,114971,-1.040974617004395,130545,306361,1869331,-.224578857421875,2013,-.4997363090515137,8088,4106,-.5628805160522461,158412,422339,3498,-1.185885429382324,14989575,-.0143508911132813,112529,-1.529642105102539,12791,65797,-.6752901077270508,1049752,.4381809234619141,matched (3),121385.21,.8216542,45899.938,85893.211
201108,760820,619,3591,355096,08,0,0,0,0,0,0,1,0,0,0,0,31555,985436,.4879846572875977,42490,-.2525577545166016,10635500,.2755632400512695,37019,-.0174589157104492,866231,545649,1.433841705322266,177473,272759,1.230155944824219,267827,.3082952499389648,533911,.9205255508422852,344332,.4295721054077148,107093,825240,-.0898218154907227,44473,5.549345970153809,1150280,.643132209777832,58835,1.079104423522949,19141,.6608142852783203,42627,-.4734554290771484,1492514,1374035,.3634243011474609,63583,62593,86386,1.506470680236816,3213,.2307200431823731,4160775,.6175251007080078,419803,.7039365768432617,12564,1542776,.2965726852416992,80429,341932,.1408357620239258,5627,1.934600830078125,18365968,.0504989624023438,57419,-.3423433303833008,2439695,.4335041046142578,168812,.3841056823730469,201795,357922,1811517,-.0314159393310547,8948,1.491803646087647,5293,26559,1.86691951751709,215949,450951,3207,-.0868549346923828,16938580,.1222400665283203,144836,.2523908615112305,109815,74469,.1238079071044922,952239,-.0974931716918945,matched (3),295330.75,.8216542,55213.133,91210.359
