period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1120c688,growth1120c688,Y1494c826,growth1494c826,Y1507c208,growth1507c208,Y1532c251,growth1532c251,Y1575c251,growth1575c251,Y1583c208,growth1583c208,Y1617c352,growth1617c352,Y1693c348,growth1693c348,Y1729c600,growth1729c600,Y1744c484,growth1744c484,Y1823c616,growth1823c616,Y1828c826,growth1828c826,Y1927c381,Y1993c616,growth1993c616,Y2090c222,growth2090c222,Y2093c826,growth2093c826,Y2659c705,growth2659c705,Y2665c124,growth2665c124,Y2745c251,growth2745c251,Y2871c251,growth2871c251,Y3030c826,growth3030c826,Y3031c616,growth3031c616,Y305c352,growth305c352,Y3119c705,growth3119c705,Y3132c616,growth3132c616,Y3158c372,growth3158c372,Y3173c757,growth3173c757,Y3248c484,growth3248c484,Y3306c757,growth3306c757,Y3439c222,Y3465c826,growth3465c826,Y3540c251,growth3540c251,Y3545c203,Y3842c705,growth3842c705,Y4030c826,growth4030c826,Y4206c36,Y4256c208,growth4256c208,Y4360c752,growth4360c752,Y4414c251,growth4414c251,Y4515c203,Y4630c251,growth4630c251,Y4755c616,growth4755c616,Y4762c251,growth4762c251,Y51c124,growth51c124,Y533c300,growth533c300,Y554c124,growth554c124,Y573c124,growth573c124,Y598c152,growth598c152,Y607c348,growth607c348,Y973c752,growth973c752,_merge,x,r2,s,sf
201011,300640,610,1390,111659,11,0,0,0,0,0,0,0,0,0,1,0,212095,-.101017951965332,15468314,-.3617172241210938,872110,-.1830472946166992,1470015,-.0122127532958984,4854305,-.0484657287597656,2376,-4.978829860687256,16906,-.9251241683959961,1055969,.7405147552490234,277735,-.1010332107543945,3172218,.0723171234130859,1693688,-.0096492767333984,1397883,-.3407983779907227,5671733,1106037,-.8400077819824219,141836,-.2587251663208008,43354288,-.0545024871826172,39445,-.6999311447143555,88889,-.3392124176025391,5847851,.118687629699707,1133221,.3666219711303711,111891,-1.22833251953125,57113,-.4322595596313477,23488,-.9573307037353516,153278,-.1719074249267578,59939,.20404052734375,3512693,1.586209297180176,683857,-.179347038269043,1788877,-.344447135925293,224086,-.3760604858398438,13458,578121,-.0381479263305664,3649908,.0469818115234375,966511,1445549,-.1106805801391602,2231162,-.1619720458984375,76476104,835259,-.1864681243896484,181265,-.5408191680908203,25400420,-.0348854064941406,624925,2881770,-.109318733215332,11398612,.1527786254882813,4454705,-.1793413162231445,154484,-.4046411514282227,397361,-.1917791366577148,448763,.3667078018188477,14321391,.1394290924072266,37164,2.075896263122559,246338,-.7634477615356445,79109,-.4975080490112305,matched (3),1068107.6,.82769138,314935.78,341177.88
201012,300640,611,1390,107132,12,0,0,0,0,0,0,0,0,0,0,1,101446,-.7375078201293945,12983171,-.175140380859375,762337,-.1345272064208984,1069059,-.3184938430786133,4335126,-.1131153106689453,19431,2.101451396942139,4000,-1.441374778747559,52491,-3.001572608947754,448660,.4795980453491211,2722942,-.1527175903320313,1594178,-.0605497360229492,937549,-.3994455337524414,4591882,211470,-1.65445613861084,47925,-1.085034370422363,33738384,-.2507705688476563,27996,-.3428459167480469,122777,.3229818344116211,4809987,-.1953802108764648,960152,-.1657276153564453,53892,-.7305431365966797,52398,-.0861635208129883,5744,-1.408333778381348,129136,-.17138671875,29279,-.716456413269043,13980770,1.38129997253418,655128,-.0429182052612305,1077093,-.5073223114013672,320381,.3574810028076172,4420,578019,-.0001764297485352,2781847,-.2715864181518555,701651,725458,-.6894416809082031,2504932,.1157388687133789,73574112,793850,-.050847053527832,151048,-.1823625564575195,17778260,-.3567886352539063,594066,2475521,-.1519546508789063,10273735,-.1039009094238281,3580997,-.2183189392089844,324133,.7410640716552734,388624,-.0222320556640625,347717,-.2551059722900391,9884438,-.3707923889160156,26776,-.3278350830078125,49001,-1.614864349365234,69688,-.1267986297607422,matched (3),3173040.8,.82769138,1188046.1,1195270.5
201101,300640,612,1390,132615,01,0,0,0,0,0,0,0,0,0,0,0,151265,.3995065689086914,13698658,.0536441802978516,961573,.232182502746582,1127450,.0531797409057617,3741308,-.1473150253295898,265931,2.616367340087891,52348,2.571619987487793,446986,2.141885757446289,602935,.2955436706542969,3837262,.3430461883544922,1388122,-.1384067535400391,970298,.0343341827392578,5575315,946894,1.499104499816895,438509,2.213743209838867,33316030,-.0125980377197266,66047,.8583049774169922,96343,-.2424554824829102,4582827,-.0483779907226563,577753,-.5079450607299805,452487,2.127777099609375,68494,.2678775787353516,17055,1.088287353515625,120792,-.0667963027954102,128273,1.477290153503418,639663,-3.08449649810791,874229,.2885122299194336,1873733,.5536670684814453,356213,.10601806640625,0,870005,.4088926315307617,3984206,.359222412109375,1089548,891117,.2056722640991211,2581373,.030059814453125,64754468,993476,.2243146896362305,229391,.4178304672241211,18787700,.0552253723144531,680318,3016060,.1975011825561523,12725194,.2139930725097656,4584003,.2469310760498047,387977,.1797914505004883,382083,-.0169744491577148,516014,.394744873046875,12555696,.2392120361328125,52244,.6684188842773438,362216,2.000400543212891,306278,1.480465888977051,matched (3),539679.75,.82769138,122991.06,179846.06
201102,300640,613,1390,70031,02,1,0,0,0,0,0,0,0,0,0,0,87283,-.5498771667480469,9129635,-.4057712554931641,1002505,.0416860580444336,1056624,-.0648794174194336,3719039,-.0059700012207031,206973,-.2506484985351563,13593,-1.348359107971191,328149,-.3090591430664063,348296,-.5487565994262695,3978538,.0361557006835938,1044801,-.2841253280639648,1119479,.1430158615112305,3127300,1978333,.7368230819702148,363946,-.1863746643066406,30195338,-.0983505249023438,36905,-.5820188522338867,79971,-.1862506866455078,4320018,-.059056282043457,520395,-.1045589447021484,107663,-1.435752868652344,60489,-.1242847442626953,9799,-.5541629791259766,110922,-.0852422714233398,18897,-1.915157318115234,1367069,.7594823837280273,781081,-.1126642227172852,642419,-1.070446968078613,344020,-.0348291397094727,14414,879522,.0108795166015625,3161081,-.2314233779907227,1067980,778946,-.1345338821411133,2883487,.1106786727905273,57232200,710772,-.3348579406738281,150303,-.4227752685546875,15461628,-.1948413848876953,517857,2998726,-.0057640075683594,11389178,-.1109199523925781,5321458,.149174690246582,480807,.2145204544067383,122718,-1.135748863220215,329123,-.449702262878418,11263877,-.1085720062255859,9197,-1.73704719543457,42899,-2.133392333984375,134142,-.8255949020385742,matched (3),242712.44,.82769138,134307.8,187766.84
201103,300640,614,1390,258656,03,0,1,0,0,0,0,0,0,0,0,0,221328,.9304895401000977,9601615,.0504055023193359,1061628,.0573015213012695,2138767,.7051506042480469,4073205,.0909652709960938,313074,.4138507843017578,19596,.3657703399658203,71913,-1.518011093139648,387398,.1063995361328125,4138371,.0393877029418945,1861548,.5775823593139648,1025948,-.0872468948364258,3251226,2947064,.398554801940918,640697,.5655508041381836,33860332,.1145572662353516,49060,.2846965789794922,177047,.7947511672973633,4191791,-.0301313400268555,737173,.3482351303100586,141015,.2698602676391602,68933,.1306734085083008,10428,.0622138977050781,145158,.2689952850341797,40321,.757868766784668,4115805,1.102165222167969,941288,.1865711212158203,1112410,.5490427017211914,353029,.0258502960205078,76340,1053900,.1808738708496094,4533324,.3605413436889648,1000369,1133887,.3754653930664063,3106247,.0744152069091797,78616216,945086,.2849245071411133,231963,.433924674987793,22106856,.3575267791748047,812194,3301972,.0963325500488281,13309490,.1558132171630859,6115421,.1390657424926758,664413,.3234376907348633,220204,.5846652984619141,402310,.2007913589477539,11998439,.0631752014160156,40716,1.487743377685547,466307,2.385995864868164,84064,-.467320442199707,matched (3),622964.69,.82769138,352602.81,376226.72
201104,300640,615,1390,301510,04,0,0,1,0,0,0,0,0,0,0,0,133754,-.5036430358886719,10319282,.07208251953125,1283417,.189723014831543,2237788,.0452585220336914,3402795,-.1798334121704102,28841,-2.384641647338867,39269,.6951103210449219,234841,1.183451652526856,468412,.1898956298828125,4156471,.004364013671875,1282527,-.3725767135620117,1560508,.4193944931030273,4984281,4846063,.4973564147949219,281702,-.8217067718505859,29146180,-.1499214172363281,44464,-.0983638763427734,195675,.1000404357910156,3821411,-.0925092697143555,843731,.1350107192993164,295101,.7384510040283203,107094,.4405717849731445,15964,.4258413314819336,140632,-.0316762924194336,209270,1.646753311157227,304458,-2.604056358337402,969900,.0299434661865234,1608209,.3685922622680664,279933,-.231999397277832,13721,1135214,.0743236541748047,4428928,-.0232982635498047,800953,1235755,.0860309600830078,2573083,-.1883106231689453,74475064,1199336,.2382469177246094,334275,.3653860092163086,15724753,-.3406505584716797,867025,2990938,-.098933219909668,13700839,.0289802551269531,5599135,-.088200569152832,774515,.1533327102661133,512532,.8448085784912109,560969,.3324432373046875,10076693,-.1745510101318359,34856,-.1553955078125,501022,.0718050003051758,111333,.2809476852416992,matched (3),506126.34,.82769138,94128.57,161486.81
201105,300640,616,1390,226882,05,0,0,0,1,0,0,0,0,0,0,0,242422,.5946779251098633,9826846,-.0488967895507813,825323,-.4415063858032227,1098087,-.7119178771972656,4991149,.3830690383911133,13257,-.7772722244262695,15692,-.9172849655151367,101955,-.8343772888183594,666925,.3533296585083008,3864612,-.0728054046630859,1048897,-.2010927200317383,1530413,-.0194740295410156,8912863,4381865,-.1006917953491211,313806,.1079254150390625,33621088,.1428298950195313,29467,-.4114093780517578,143565,-.3096675872802734,5089847,.2866287231445313,965572,.1348867416381836,143023,-.7243118286132813,50344,-.7548274993896484,6250,-.9377546310424805,187644,.2883996963500977,79341,-.9698705673217773,770146,.9280471801757813,951016,-.0196619033813477,1413323,-.1291770935058594,245622,-.1307573318481445,4028,1172241,.0320968627929688,3811093,-.1502418518066406,882398,898790,-.3183879852294922,2044049,-.2301721572875977,71465984,1133253,-.0566749572753906,103978,-1.167784690856934,15868642,.0091075897216797,828465,3453577,.1438236236572266,13527461,-.0127353668212891,5508197,-.0163755416870117,635241,-.1982316970825195,416083,-.2084789276123047,248203,-.8154191970825195,11172864,.1032619476318359,26946,-.257390022277832,246580,-.7089633941650391,143994,.2572460174560547,matched (3),261075.53,.82769138,75587.352,151430.67
201106,300640,617,1390,240164,06,0,0,0,0,1,0,0,0,0,0,0,202374,-.1805629730224609,10267487,.0438652038574219,896631,.0828695297241211,3105233,1.039518356323242,4672920,-.0658817291259766,126240,2.253659248352051,15740,.0030546188354492,252696,.9076557159423828,664765,-.0032444000244141,4474563,.1465473175048828,1956211,.6232700347900391,2722169,.5758914947509766,15010180,4120234,-.0615644454956055,101615,-1.127583503723145,34985444,.0397796630859375,40915,.3282260894775391,219388,.4240541458129883,5464260,.0709810256958008,597318,-.4802703857421875,202029,.3454055786132813,73509,.3785285949707031,8831,.3456869125366211,133371,-.3414115905761719,69430,-.1334362030029297,474223,-.4849023818969727,1031386,.0811271667480469,1468597,.0383634567260742,478468,.6667957305908203,12072,1344230,.1369037628173828,4557629,.1788873672485352,927638,907017,.0091114044189453,2544620,.2190485000610352,75805688,1123473,-.0086679458618164,1597715,2.732151031494141,23316776,.3848285675048828,1176780,3563116,.0312252044677734,13535899,.0006237030029297,5204672,-.0566806793212891,563569,-.1197147369384766,277473,-.4051609039306641,514549,.7290439605712891,12650034,.1241722106933594,26260,-.0257883071899414,425381,.5452985763549805,259315,.5882711410522461,matched (3),710141.44,.82769138,106898.38,169248.53
201107,300640,618,1390,218803,07,0,0,0,0,0,1,0,0,0,0,0,133491,-.4160833358764648,11480887,.1117019653320313,645460,-.3286809921264648,2139329,-.3725957870483398,3545702,-.2760486602783203,3666,-3.539083480834961,26038,.503352165222168,25333,-2.300079345703125,290418,-.8281116485595703,3795901,-.1644868850708008,1714516,-.1318788528442383,1737820,-.4487972259521484,21114044,2146635,-.652008056640625,153253,.4108982086181641,36555532,.0438995361328125,48424,.1684989929199219,119934,-.6039009094238281,5154525,-.058354377746582,339783,-.564143180847168,115894,-.5557355880737305,88829,.189305305480957,5464,-.4800872802734375,135470,.0156154632568359,36241,-.6501274108886719,410876,-.1433868408203125,1732919,.5189046859741211,1543959,.0500431060791016,382587,-.2236328125,2097,1259813,-.0648584365844727,4143678,-.095219612121582,862501,1013837,.1113357543945313,2389207,-.0630197525024414,58471672,922952,-.1966028213500977,250918,-1.851203918457031,19449378,-.1813583374023438,791452,3416856,-.0419149398803711,13325539,-.0156631469726563,4973629,-.0454063415527344,379946,-.394261360168457,261345,-.0598821640014648,374452,-.3178272247314453,13663904,.0770969390869141,14042,-.6259937286376953,345916,-.2067890167236328,70264,-1.305783271789551,matched (3),1167636.4,.82769138,148829.38,198413.67
201108,300640,619,1390,219002,08,0,0,0,0,0,0,1,0,0,0,0,139442,.043614387512207,12870244,.1142330169677734,932897,.3683309555053711,3120105,.3773736953735352,5102723,.3640384674072266,11431,1.137227058410645,28994,.1075315475463867,182744,1.975978851318359,565783,.6668891906738281,4014037,.0558757781982422,1674353,-.0237035751342773,2480454,.3558101654052734,14835338,2657285,.2134027481079102,230031,.4061241149902344,37041644,.0132102966308594,49985,.0317268371582031,218214,.5985355377197266,6467933,.2269821166992188,357858,.0518293380737305,329120,1.043746948242188,89343,.0057697296142578,3387,-.478236198425293,75297,-.5873098373413086,36912,.0183448791503906,625049,.4195384979248047,1172369,-.3907814025878906,1724834,.1107807159423828,104896,-1.293987274169922,3144,1167662,-.0759592056274414,2901919,-.3562107086181641,956090,1097793,.0795602798461914,2493952,.0429067611694336,67503448,1226169,.2840728759765625,409321,.4893732070922852,16261018,-.1790447235107422,855158,3572597,.0445718765258789,12499669,-.0639801025390625,4263285,-.1541099548339844,384475,.0118503570556641,238151,-.0929365158081055,395141,.0537796020507813,14963908,.0908851623535156,41391,1.081009864807129,298119,-.1487026214599609,188410,.9863605499267578,matched (3),464964.91,.82769138,90909.109,159631.67
