period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1450c428,growth1450c428,Y1589c752,growth1589c752,Y1845c428,growth1845c428,Y1935c124,growth1935c124,Y2014c246,growth2014c246,Y2015c703,growth2015c703,Y2195c344,Y2196c703,growth2196c703,Y22c124,growth22c124,Y230c124,growth230c124,Y230c208,Y230c352,growth230c352,Y234c300,growth234c300,Y242c191,Y245c428,growth245c428,Y259c246,growth259c246,Y264c191,Y264c442,Y264c757,growth264c757,Y2726c484,growth2726c484,Y2741c705,growth2741c705,Y2763c300,growth2763c300,Y2780c203,Y2780c703,growth2780c703,Y2832c246,growth2832c246,Y2846c620,growth2846c620,Y2848c752,growth2848c752,Y2857c428,growth2857c428,Y2857c705,growth2857c705,Y2857c792,growth2857c792,Y2865c620,growth2865c620,Y2889c246,growth2889c246,Y2889c428,Y2973c372,growth2973c372,Y2983c642,Y3223c752,growth3223c752,Y336c442,Y338c440,growth338c440,Y3848c124,growth3848c124,Y3954c124,growth3954c124,Y3980c428,Y3983c752,growth3983c752,Y3992c124,growth3992c124,Y4069c372,growth4069c372,Y4291c484,growth4291c484,Y449c124,growth449c124,Y4942c124,growth4942c124,Y4966c300,growth4966c300,Y4992c703,growth4992c703,Y86c124,growth86c124,_merge,x,r2,s,sf
201011,841459,610,3849,23088814,11,0,0,0,0,0,0,0,0,0,1,0,682043,-.219904899597168,400037,-1.489627838134766,4098,-.3740682601928711,217266,-.3292388916015625,42913,-.1923761367797852,13954,-.3750514984130859,912361,226732,-.4504566192626953,538013,-.3551025390625,4878632,-.0584402084350586,8792645,48480,.2238407135009766,320027,.1311969757080078,268238,7212,.4628200531005859,53945,-.5116558074951172,239634,178985,4250916,-.0277099609375,707598,-.2127923965454102,173453,-.4281578063964844,9808282,-.2280063629150391,690708,47870,.8194055557250977,72869,-.0948123931884766,1259009,-.210047721862793,655359,-.575840950012207,47943,-.7023658752441406,109409,-.3821229934692383,310893,-.5316600799560547,129679,-.1994171142578125,3086,.1663765907287598,328,172609,-.0485448837280273,3292293,12574119,.1008243560791016,175585,328212,-.2617931365966797,3394652,.1226072311401367,1324908,-.8235130310058594,60304,216573,.0229225158691406,11119095,-.4091682434082031,30575,-.3295564651489258,13570926,-.1218662261962891,155592,.0299243927001953,622687,-.3535871505737305,93732,-.2257518768310547,255828,-.3797769546508789,799417,-1.733844757080078,matched (3),18534736,.91805059,1891089,4654760
201012,841459,611,3849,22954768,12,0,0,0,0,0,0,0,0,0,0,1,457933,-.3983697891235352,116878,-1.230425834655762,8003,.6693172454833984,288811,.2846498489379883,12161,-1.260940551757813,9068,-.4310150146484375,1382373,189897,-.1772871017456055,593954,.0989198684692383,3351336,-.3755054473876953,7520705,7358,-1.885363578796387,294627,-.0826950073242188,555619,38787,1.682338714599609,36007,-.4042520523071289,497700,248389,5486583,.2551717758178711,673220,-.0498037338256836,291033,.5175304412841797,13375747,.3102169036865234,507167,420718,2.173474311828613,14501,-1.614445686340332,1894405,.4085798263549805,517584,-.2360115051269531,48460,.0107259750366211,71821,-.4209156036376953,585188,.6324844360351563,220585,.5312204360961914,18427,1.786941528320313,1232,12969,-2.588467597961426,2572796,9243935,-.3076725006103516,144214,402514,.2040700912475586,4208143,.2148199081420898,5664855,1.452939033508301,113084,62233,-1.247041702270508,12238072,.0958881378173828,9445,-1.174696922302246,11704969,-.1479167938232422,357182,.8310089111328125,932697,.4040355682373047,160975,.5408096313476563,176560,-.370844841003418,137841,-1.757781028747559,matched (3),15179285,.91805059,2292542,4831803
201101,841459,612,3849,30019660,01,0,0,0,0,0,0,0,0,0,0,0,587837,.2497272491455078,1065019,2.209616661071777,15760,.6776590347290039,702920,.8894710540771484,3233,-1.324824333190918,1683,-1.684173583984375,2283339,191716,.0095338821411133,891116,.4056720733642578,5572969,.5085687637329102,8687634,76080,2.335997581481934,329311,.1112918853759766,726518,43677,.1187362670898438,41603,.1444587707519531,590809,262644,5414528,-.0132198333740234,771196,.1358699798583984,418608,.3634977340698242,15955487,.1763591766357422,1141478,949335,.8137989044189453,76686,1.665501594543457,2989118,.4560737609863281,809576,.4473390579223633,99572,.7201423645019531,152098,.7503480911254883,941221,.4752445220947266,332136,.4092617034912109,30688,.5100545883178711,5434,187703,2.672299385070801,6797564,15598081,.5231800079345703,122685,312391,-.253474235534668,8720917,.7287025451660156,3321174,-.5339632034301758,726075,311382,1.610135078430176,14364805,.1602287292480469,19714,.7358427047729492,16208797,.3255405426025391,589812,.5015583038330078,1075241,.1422204971313477,96820,-.5083951950073242,334067,.6376810073852539,107585,-.2478199005126953,matched (3),32010980,.91805059,2319115,4844467.5
201102,841459,613,3849,25916472,02,1,0,0,0,0,0,0,0,0,0,0,552717,-.0616044998168945,1148113,.0751276016235352,9263,-.5314474105834961,541573,-.2607650756835938,3208,-.0077619552612305,11056,1.882394790649414,1747345,820728,1.45417594909668,1379906,.4372959136962891,7929739,.352691650390625,10072771,27227,-1.027576446533203,425972,.2573709487915039,712771,31929,-.3133068084716797,69528,.5135574340820313,498155,227201,5352526,-.0115175247192383,1024726,.2842388153076172,557425,.2863931655883789,20919044,.2708568572998047,1354581,844914,-.1165275573730469,162382,.7502317428588867,3468796,.148829460144043,1051874,.2618179321289063,135850,.3106698989868164,351491,.8376588821411133,1642389,.5567293167114258,559137,.5208501815795898,124738,1.40234375,8324,533500,1.044597625732422,8994158,13786869,-.1234302520751953,291379,529752,.5281534194946289,9631635,.099329948425293,8801697,.9746255874633789,223333,499826,.4732389450073242,14236453,-.0089740753173828,27555,.3348550796508789,17661452,.0858306884765625,416182,-.3486814498901367,1476805,.3173360824584961,97154,.003443717956543,504344,.4119167327880859,66855,-.4757556915283203,matched (3),24238314,.91805059,2926814.5,5163024
201103,841459,614,3849,31444514,03,0,1,0,0,0,0,0,0,0,0,0,866881,.4500560760498047,12904208,2.41943359375,2562,-1.285239696502686,859806,.4622287750244141,83420,3.25823974609375,1064,-2.340937614440918,6361627,1183055,.3656644821166992,2125750,.4321098327636719,17938928,.8163537979125977,15682660,154459,1.735719680786133,332252,-.2484798431396484,1164845,49312,.4346523284912109,113280,.488133430480957,610554,339434,6720105,.2275352478027344,1503813,.3835783004760742,719823,.2556781768798828,25343692,.1918697357177734,2465182,2521850,1.093513488769531,202384,.2202157974243164,5581425,.4756364822387695,1685088,.4712438583374023,213026,.4498634338378906,783565,.8016700744628906,2329431,.3494720458984375,639129,.1337118148803711,174260,.3343334197998047,23552,990809,.6190633773803711,11578695,11914409,-.1459693908691406,818242,594450,.1152276992797852,9355932,-.0290431976318359,17285060,.6748991012573242,755837,1290806,.9487619400024414,21964038,.4335994720458984,38069,.323216438293457,22151490,.2265205383300781,1149266,1.015755653381348,1766551,.1791477203369141,647384,1.896642684936523,379345,-.2848129272460938,3178206,3.861546516418457,matched (3),40357388,.91805059,3483932.5,5498032
201104,841459,615,3849,38392112,04,0,0,1,0,0,0,0,0,0,0,0,1057728,.1989765167236328,11117408,-.1490421295166016,21051,2.106159687042236,1331756,.4375467300415039,157187,.6335487365722656,7308,1.926934242248535,9101261,830574,-.3537387847900391,4649425,.782618522644043,23868386,.2855815887451172,21787548,206118,.2885198593139648,497700,.4041042327880859,2135520,51545,.0442876815795898,1047276,2.224084854125977,822997,435946,9462247,.3422060012817383,1267520,-.1709413528442383,558904,-.2530279159545898,19136314,-.2809429168701172,3011706,2803669,.1059360504150391,223071,.0973234176635742,5104347,-.0893516540527344,1409929,-.1782779693603516,370207,.552647590637207,606976,-.2553653717041016,2837264,.1972160339355469,796450,.220057487487793,190822,.0907926559448242,30174,763248,-.2609386444091797,7922850,17290150,.3723888397216797,1373925,842033,.3481826782226563,11854517,.2366981506347656,17998148,.0404262542724609,667547,1299072,.0063838958740234,23565976,.0703983306884766,46633,.2029085159301758,21734032,-.0190258026123047,985020,-.1542167663574219,1094350,-.4788684844970703,882608,.309941291809082,576062,.4177694320678711,3535113,.1064281463623047,matched (3),37835008,.91805059,2596910.8,4983424
201105,841459,616,3849,37246508,05,0,0,0,1,0,0,0,0,0,0,0,1141390,.0761241912841797,8439489,-.2755899429321289,10188,-.7257375717163086,1155099,-.1423120498657227,110477,-.3526296615600586,7289,-.0026035308837891,9044638,1072046,.2552070617675781,4022871,-.1447477340698242,20313516,-.1612682342529297,17081970,91302,-.8142757415771484,260583,-.6470766067504883,2951171,45402,-.1268987655639648,1130470,.0764408111572266,948633,352767,7801288,-.1930208206176758,832115,-.4208469390869141,452584,-.2110042572021484,16515394,-.1472930908203125,2920991,1659312,-.5245256423950195,88568,-.9237194061279297,3432346,-.3968486785888672,1538174,.0870561599731445,141193,-.9639339447021484,433637,-.3362808227539063,1458492,-.6654367446899414,436672,-.6009817123413086,180379,-.0562810897827148,37810,997646,.2678155899047852,5720917,11296073,-.4256820678710938,1322141,525812,-.4708757400512695,10626116,-.1093940734863281,15884607,-.1249198913574219,612820,1694564,.2657747268676758,30041600,.2427787780761719,18864,-.9050531387329102,23621684,.0832862854003906,549554,-.5835542678833008,3190224,1.069931030273438,888596,.0067615509033203,681573,.1681880950927734,5889397,.5104084014892578,matched (3),38138240,.91805059,1931109.3,4671162
201106,841459,617,3849,35564372,06,0,0,0,0,1,0,0,0,0,0,0,1115706,-.0227594375610352,2689650,-1.143509864807129,12409,.1972112655639648,1543488,.2898588180541992,79422,-.3300313949584961,5208,-.3361701965332031,8177386,626871,-.5365829467773438,2311738,-.5539960861206055,10388016,-.6706333160400391,10155540,81045,-.1191682815551758,185102,-.3420143127441406,762720,34189,-.2836523056030273,345154,-1.186397552490234,887323,252855,6197562,-.230133056640625,536342,-.4391984939575195,368186,-.206385612487793,15398311,-.0700359344482422,2098778,1125329,-.3883275985717773,344434,1.358131408691406,2734331,-.2273569107055664,944141,-.4880752563476563,105311,-.2932100296020508,234536,-.6145992279052734,905860,-.4762735366821289,326606,-.2904281616210938,154988,-.1517124176025391,3762,198193,-1.616157531738281,5005685,13841385,.2032089233398438,1336257,500050,-.0502357482910156,8257768,-.2521600723266602,14813637,-.0698013305664063,284005,640165,-.973454475402832,32770776,.0869541168212891,13941,-.3024215698242188,19736426,-.1796989440917969,203973,-.991119384765625,1684824,-.6384305953979492,373829,-.8658447265625,683243,.0024471282958984,5814838,-.0127401351928711,matched (3),26370896,.91805059,2050867.4,4721930.5
201107,841459,618,3849,33910880,07,0,0,0,0,0,1,0,0,0,0,0,1150527,.0307321548461914,1791573,-.4063177108764648,8793,-.3444662094116211,1425765,-.0793361663818359,20169,-1.370628356933594,10784,.7278680801391602,6663465,461683,-.3058624267578125,1723535,-.2936220169067383,5075442,-.7162399291992188,9207826,36750,-.7908668518066406,205387,.1039896011352539,454391,22952,-.39849853515625,131043,-.9684658050537109,414189,250447,5316063,-.1534233093261719,617575,.1410284042358398,456604,.2152280807495117,20060034,.2644710540771484,1147767,241033,-1.540897369384766,103343,-1.203848838806152,2559708,-.0659942626953125,959268,.015894889831543,69326,-.4180984497070313,173236,-.3029537200927734,857963,-.0543241500854492,165939,-.6771335601806641,22366,-1.935806274414063,25708,109897,-.5896978378295898,4924752,5395001,-.9421911239624023,661878,2473650,1.598742485046387,4991040,-.5035104751586914,9494473,-.4448375701904297,369279,582684,-.094080924987793,27071476,-.1910572052001953,27740,.6880416870117188,16846644,-.1583156585693359,181658,-.1158618927001953,1091021,-.4345474243164063,332365,-.1175642013549805,675971,-.0107002258300781,4888939,-.1734380722045898,matched (3),18704650,.91805059,3256276.8,5356669.5
201108,841459,619,3849,30980432,08,0,0,0,0,0,0,1,0,0,0,0,1351744,.1611757278442383,2280135,.2411403656005859,13440,.4242801666259766,698832,-.7130537033081055,36618,.5963926315307617,3586,-1.10102653503418,3672476,454530,-.0156145095825195,1443435,-.1773519515991211,6037211,.1735286712646484,11066356,113421,1.126968383789063,201935,-.0169506072998047,233424,11764,-.6683616638183594,85097,-.4317331314086914,486191,223507,6342426,.1765289306640625,1011167,.4930591583251953,407200,-.1145114898681641,17902044,-.1138134002685547,623261,216637,-.1067104339599609,66580,-.4396495819091797,2349236,-.0858030319213867,1044500,.0851230621337891,91256,.2748489379882813,174417,.0067939758300781,650108,-.2774229049682617,124572,-.2867364883422852,15046,-.3964290618896484,555,31377,-1.25346851348877,7007746,5849233,.0808382034301758,426919,1086442,-.8227872848510742,4582441,-.0854120254516602,10532874,.103790283203125,235083,388939,-.4042224884033203,35704652,.2768001556396484,21673,-.2468080520629883,19680804,.1554927825927734,180949,-.003911018371582,1030939,-.0566434860229492,289958,-.1364974975585938,633330,-.0651588439941406,5355441,.0911378860473633,matched (3),24758522,.91805059,2808344.8,5096800
