period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1412c222,growth1412c222,Y1417c600,Y1528c372,growth1528c372,Y1781c348,growth1781c348,Y2012c705,growth2012c705,Y22c124,growth22c124,Y253c246,growth253c246,Y253c428,growth253c428,Y2561c826,growth2561c826,Y259c246,growth259c246,Y262c246,growth262c246,Y272c246,growth272c246,Y2731c428,growth2731c428,Y2778c620,growth2778c620,Y2848c752,growth2848c752,Y2848c807,growth2848c807,Y2857c348,growth2857c348,Y2955c826,growth2955c826,Y2960c208,growth2960c208,Y2973c792,growth2973c792,Y3003c442,Y3063c372,growth3063c372,Y319c124,growth319c124,Y330c124,growth330c124,Y3348c233,Y3423c32,Y3848c300,growth3848c300,Y3848c376,Y3848c586,growth3848c586,Y3858c124,growth3858c124,Y3954c124,growth3954c124,Y3956c600,growth3956c600,Y4522c484,growth4522c484,Y4912c251,growth4912c251,Y4924c300,growth4924c300,Y4924c705,growth4924c705,Y4924c752,growth4924c752,Y4942c124,growth4942c124,Y4942c826,growth4942c826,Y4972c268,Y5016c124,growth5016c124,Y660c208,growth660c208,Y660c233,Y660c246,growth660c246,Y660c300,growth660c300,Y660c381,Y660c428,growth660c428,Y660c484,growth660c484,Y660c705,growth660c705,Y763c616,growth763c616,_merge,x,r2,s,sf
201011,841430,610,3846,5770260,11,0,0,0,0,0,0,0,0,0,1,0,24001,-1.33153247833252,991607,697132,-.0371618270874023,235825,-.7683858871459961,6747,-.2831134796142578,538013,-.3551025390625,134529,-.108515739440918,26913,.5581769943237305,40578,-.0872173309326172,53945,-.5116558074951172,123401,-.1185169219970703,121162,-.6113119125366211,7415,-1.469982147216797,149388,-.4690752029418945,655359,-.575840950012207,37232,1.686372756958008,78617,-.2651767730712891,2135655,-.3773126602172852,31130,-.3268346786499023,6138,-1.737644195556641,21245,947195,-.0147638320922852,3538677,.0882902145385742,11618741,-.0078392028808594,196940,107638,168499,-.0091276168823242,71000,129124,-1.031660079956055,31580328,-.1350822448730469,1324908,-.8235130310058594,428379,-.5183782577514648,1244224,-.0813894271850586,1631796,-.5769529342651367,1283807,-.0291223526000977,236362,.6001167297363281,6050211,.0118827819824219,622687,-.3535871505737305,1458259,-.5659055709838867,20,655550,-.2949705123901367,7233595,-.131195068359375,117462,2224622,.1305618286132813,419753,-.2615242004394531,5254042,474369,.6631507873535156,2250052,-.0514001846313477,136609,.7095088958740234,200995,-.0186166763305664,matched (3),12377069,.91327876,906813.38,3014233.8
201012,841430,611,3846,7509488,12,0,0,0,0,0,0,0,0,0,0,1,108989,1.513151168823242,1438955,673528,-.0344448089599609,298170,.2345743179321289,4748,-.351374626159668,593954,.0989198684692383,148536,.0990476608276367,89348,1.199929237365723,91327,.8112211227416992,36007,-.4042520523071289,118372,-.0416069030761719,157750,.2638835906982422,12049,.4854764938354492,231271,.4370431900024414,517584,-.2360115051269531,46735,.2273244857788086,181556,.8369760513305664,4573694,.7615480422973633,494160,2.764687538146973,87767,2.660186767578125,118358,678413,-.3337488174438477,3036964,-.1528949737548828,13436393,.1453475952148438,89079,189715,104373,-.4789590835571289,189000,120939,-.0654869079589844,31358428,-.0070514678955078,5664855,1.452939033508301,482686,.1193580627441406,1915879,.4316644668579102,1876776,.1398735046386719,1402509,.0884332656860352,273370,.1454620361328125,9462622,.4472570419311523,932697,.4040355682373047,1673898,.1379117965698242,37,559931,-.1576604843139648,5572880,-.2608242034912109,153097,4429162,.6886234283447266,393012,-.065826416015625,9585924,356205,-.2864799499511719,2051837,-.0922174453735352,83907,-.4874134063720703,62034,-1.17559814453125,matched (3),12575293,.91327876,1302809.4,3156042.8
201101,841430,612,3846,13321076,01,0,0,0,0,0,0,0,0,0,0,0,170810,.449305534362793,1767780,720736,.0677433013916016,335283,.1173114776611328,16216,1.228274345397949,891116,.4056720733642578,177554,.1784477233886719,98554,.0980653762817383,82413,-.1027040481567383,41603,.1444587707519531,102845,-.1406087875366211,170126,.0755271911621094,30986,.9445533752441406,225708,-.0243473052978516,809576,.4473390579223633,27113,-.5444803237915039,282016,.440399169921875,7553412,.501678466796875,363552,-.3069372177124023,623062,1.9599609375,116179,1278976,.634058952331543,3865136,.2411384582519531,13811361,.0275249481201172,22084,451973,303299,1.06674861907959,725000,186352,.4323501586914063,35493972,.1238803863525391,3321174,-.5339632034301758,312911,-.4334478378295898,945858,-.7058391571044922,1274718,-.3868303298950195,2067981,.388310432434082,278844,.0198259353637695,12254420,.2585372924804688,1075241,.1422204971313477,3357026,.6958999633789063,4,734256,.2710437774658203,6117103,.0931768417358398,165130,1003456,-1.484761238098145,1629025,1.421896934509277,6155420,323648,-.0958499908447266,1408160,-.3764524459838867,195247,.8445568084716797,232013,1.319110870361328,matched (3),14497995,.91327876,1425104.3,3208460
201102,841430,613,3846,21055392,02,1,0,0,0,0,0,0,0,0,0,0,151111,-.1225376129150391,1059201,861882,.1788454055786133,383578,.1345672607421875,31406,.6610012054443359,1379906,.4372959136962891,135084,-.2733783721923828,146614,.3971986770629883,160752,.6681203842163086,69528,.5135574340820313,182228,.5720357894897461,145635,-.1554355621337891,47161,.4200325012207031,257811,.1329841613769531,1051874,.2618179321289063,45013,.5069379806518555,345620,.2033767700195313,9420307,.2208681106567383,485932,.2901468276977539,1454950,.8480806350708008,151326,1121594,-.1313085556030273,5817123,.4088096618652344,15039622,.0851974487304688,104606,718347,373287,.2076282501220703,754000,797525,1.453876495361328,39677484,.111419677734375,8801697,.9746255874633789,991826,1.153629302978516,1811479,.6498069763183594,1279976,.0041170120239258,2240169,.0799779891967773,659493,.8608188629150391,11726811,-.0440101623535156,1476805,.3173360824584961,3663955,.0874881744384766,12,1000048,.3089456558227539,6377127,.0416288375854492,127809,2083001,.7303600311279297,1631124,.0012874603271484,11556786,428709,.2811222076416016,2031940,.3667078018188477,364739,.6249160766601563,256578,.1006393432617188,matched (3),20789100,.91327876,1530824.1,3256795.5
201103,841430,614,3846,14222273,03,0,1,0,0,0,0,0,0,0,0,0,399665,.9726123809814453,2015961,983448,.1319465637207031,423610,.0992708206176758,27385,-.1370038986206055,2125750,.4321098327636719,230732,.5353603363037109,360398,.8994054794311523,555727,1.240413665771484,113280,.488133430480957,199262,.0893611907958984,176345,.1913385391235352,21467,-.7870512008666992,810394,1.145294189453125,1685088,.4712438583374023,29543,-.4211044311523438,587230,.5300760269165039,12487832,.2818870544433594,713067,.3835058212280273,2125352,.3789653778076172,334142,1062786,-.0538568496704102,7224351,.2166509628295898,17556948,.1547603607177734,80144,348500,503418,.2990732192993164,1540000,881878,.1005401611328125,49946352,.2301654815673828,17285060,.6748991012573242,1114774,.1168584823608398,2090539,.1432781219482422,1155281,-.1024980545043945,1975329,-.1258163452148438,1163494,.5677118301391602,12070862,.0289173126220703,1766551,.1791477203369141,3584330,-.0219717025756836,1607,862515,-.1479501724243164,9126648,.3584804534912109,282780,3886150,.6236095428466797,2273144,.3318948745727539,14605549,644682,.4079790115356445,4872018,.8745174407958984,808469,.7959604263305664,291779,.1285638809204102,matched (3),20240470,.91327876,1156188.3,3098397.3
201104,841430,615,3846,21753752,04,0,0,1,0,0,0,0,0,0,0,0,578357,.3695640563964844,3465973,1104417,.1160078048706055,484428,.1341552734375,28285,.0323362350463867,4649425,.782618522644043,264910,.1381330490112305,554204,.4303245544433594,2765816,1.604814529418945,1047276,2.224084854125977,323501,.4845819473266602,315254,.5809364318847656,57126,.9787425994873047,443550,-.6027107238769531,1409929,-.1782779693603516,46436,.4522285461425781,436206,-.2973012924194336,16209388,.2608356475830078,465105,-.427311897277832,2340636,.0964860916137695,116778,605950,-.5618524551391602,8172834,.1233587265014648,16967284,-.0341625213623047,109066,141563,1197502,.866572380065918,2783000,990460,.1161155700683594,49920572,-.0005149841308594,17998148,.0404262542724609,1305011,.1575603485107422,748453,-1.027169227600098,1782475,.433659553527832,2735994,.3257598876953125,1527173,.2719907760620117,13259677,.09393310546875,1094350,-.4788684844970703,4252069,.1708345413208008,2819,1121628,.2626838684082031,10263756,.1174201965332031,485627,4726997,.1958713531494141,5925466,.958094596862793,21699856,1450395,.8108339309692383,6235340,.2467241287231445,2907290,1.279834747314453,156821,-.6208915710449219,matched (3),17214606,.91327876,1908144.6,3450262.3
201105,841430,616,3846,27300732,05,0,0,0,1,0,0,0,0,0,0,0,811556,.3387622833251953,13864031,1157379,.0468406677246094,512485,.0563030242919922,32393,.1356105804443359,4022871,-.1447477340698242,433028,.4914121627807617,657626,.1711034774780273,4921822,.5763425827026367,1130470,.0764408111572266,505283,.4459161758422852,765019,.8865222930908203,26819,-.7561483383178711,397180,-.1104202270507813,1538174,.0870561599731445,29391,-.4573869705200195,462599,.0587453842163086,21456984,.2804603576660156,546403,.1610937118530273,1632146,-.3605270385742188,188701,849821,.3382291793823242,8929491,.0885429382324219,19653710,.1469802856445313,137494,97413,2528438,.7473640441894531,4403000,792143,-.2234268188476563,56521380,.1241855621337891,15884607,-.1249198913574219,2143053,.4960193634033203,2532888,1.219107627868652,2834187,.4637517929077148,3043434,.1064920425415039,1452978,-.0498027801513672,14046240,.0576267242431641,3190224,1.069931030273438,5668861,.2875823974609375,11458,959699,-.1559171676635742,15186682,.3917999267578125,650023,6931360,.3827657699584961,8201088,.325007438659668,24101640,2286619,.4552383422851563,7267898,.1532344818115234,3144801,.0785284042358398,298276,.6429147720336914,matched (3),27179908,.91327876,1931200.8,3463066.5
201106,841430,617,3846,27323676,06,0,0,0,0,1,0,0,0,0,0,0,935494,.1421213150024414,14456089,1471305,.2399911880493164,670725,.2690877914428711,32779,.011845588684082,2311738,-.5539960861206055,742277,.5389204025268555,333071,-.6802806854248047,3904836,-.2314624786376953,345154,-1.186397552490234,729457,.3671817779541016,1158234,.4147510528564453,13217,-.7076072692871094,473847,.1764945983886719,944141,-.4880752563476563,44974,.4253959655761719,350895,-.2763738632202148,18250716,-.1618461608886719,684480,.2253026962280273,1040545,-.4501514434814453,287098,888696,.0447292327880859,10952131,.2041759490966797,21783272,.102874755859375,64314,602403,2012478,-.2282352447509766,3921000,1128758,.354130744934082,67169920,.1726055145263672,14813637,-.0698013305664063,695335,-1.125592231750488,996352,-.9330148696899414,4359866,.4306859970092773,2680585,-.1269521713256836,605294,-.8756561279296875,8220814,-.5356845855712891,1684824,-.6384305953979492,4301849,-.2759437561035156,7470,965859,.0063982009887695,14092240,-.0747947692871094,1156076,9916454,.3581399917602539,10370712,.2347202301025391,27468836,2985530,.2667026519775391,5159591,-.3426103591918945,3445826,.0914134979248047,370389,.2165346145629883,matched (3),23666530,.91327876,1824200.4,3404556
201107,841430,618,3846,17788960,07,0,0,0,0,0,1,0,0,0,0,0,356223,-.9655179977416992,12596058,190373,-2.044919967651367,653434,-.026118278503418,16171,-.7065677642822266,1723535,-.2936220169067383,416266,-.5783987045288086,230883,-.3664445877075195,2402660,-.4856395721435547,131043,-.9684658050537109,527625,-.3239145278930664,238722,-1.579352378845215,12089,-.089207649230957,277961,-.5334033966064453,959268,.015894889831543,9405,-1.56484317779541,90277,-1.357604026794434,11424995,-.4684009552001953,301912,-.8185234069824219,126161,-2.109940528869629,123284,746963,-.1737394332885742,7438134,-.3869152069091797,18924004,-.1407108306884766,141898,232498,847439,-.864903450012207,3354000,346634,-1.180603981018066,41748980,-.4755496978759766,9494473,-.4448375701904297,520234,-.2901153564453125,1476977,.3936519622802734,3111249,-.3374166488647461,1641986,-.4901285171508789,344462,-.5637311935424805,4034829,-.7117061614990234,1091021,-.4345474243164063,3963942,-.0818052291870117,5049,749363,-.2537946701049805,11176372,-.2318210601806641,877650,6086862,-.4880638122558594,8835393,-.1602210998535156,20840504,2254224,-.2809715270996094,4625733,-.109222412109375,2930337,-.1620464324951172,164135,-.8138647079467773,matched (3),19228146,.91327876,1607748.5,3293653
201108,841430,619,3846,21921292,08,0,0,0,0,0,0,1,0,0,0,0,323238,-.09716796875,9944707,207186,.0846319198608398,633731,-.0306167602539063,21806,.2989654541015625,1443435,-.1773519515991211,223665,-.6211748123168945,29345,-2.062788963317871,2596421,.0775575637817383,85097,-.4317331314086914,418228,-.2323589324951172,334565,.3375320434570313,23907,.6818752288818359,219762,-.2349357604980469,1044500,.0851230621337891,26889,1.05047607421875,151089,.5149860382080078,6470493,-.5685510635375977,312304,.0338411331176758,50962,-.9064788818359375,38956,753599,.0088443756103516,4257858,-.5578536987304688,20486624,.0793418884277344,101247,519728,212047,-1.385410308837891,1015000,329872,-.0495643615722656,50000668,.1803607940673828,10532874,.103790283203125,671888,.2558126449584961,3360216,.8220071792602539,3742160,.1846389770507813,1461394,-.1165151596069336,175453,-.6746120452880859,3494313,-.1438264846801758,1030939,-.0566434860229492,3157307,-.2275199890136719,2908,1229257,.4949417114257813,9415391,-.1714572906494141,397688,4323296,-.3421144485473633,5376287,-.4967670440673828,19991100,1916520,-.1622943878173828,4968517,.0714864730834961,1768113,-.5052042007446289,206725,.2306995391845703,matched (3),20127652,.91327876,964443.38,3032069.5
