period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1073c554,Y1084c752,growth1084c752,Y1135c705,growth1135c705,Y1148c344,Y1273c348,growth1273c348,Y1323c208,growth1323c208,Y1358c792,growth1358c792,Y1369c372,growth1369c372,Y1613c752,Y1735c251,growth1735c251,Y1846c251,growth1846c251,Y1871c251,growth1871c251,Y2043c752,growth2043c752,Y2102c233,Y2137c792,growth2137c792,Y2138c233,Y2346c705,growth2346c705,Y2647c124,growth2647c124,Y2753c616,growth2753c616,Y2934c616,growth2934c616,Y2999c208,growth2999c208,Y3073c372,growth3073c372,Y3114c300,growth3114c300,Y3146c251,growth3146c251,Y3169c826,growth3169c826,Y3182c620,growth3182c620,Y3187c208,growth3187c208,Y3209c752,growth3209c752,Y3228c752,growth3228c752,Y3332c348,growth3332c348,Y3516c124,growth3516c124,Y3570c642,Y3768c757,growth3768c757,Y3981c428,growth3981c428,Y398c381,Y4267c251,growth4267c251,Y426c203,Y4282c251,growth4282c251,Y4349c222,growth4349c222,Y4538c372,growth4538c372,Y4632c208,growth4632c208,Y463c752,growth463c752,Y4739c554,Y4800c376,Y483c484,growth483c484,Y4884c32,Y4988c344,Y5037c620,growth5037c620,Y570c348,growth570c348,Y970c620,growth970c620,_merge,x,r2,s,sf
201001,841199,600,3824,7529794,01,0,0,0,0,0,0,0,0,0,0,0,118604,2080908,,3691,,128884,1524214,,573817,,2357897,,1586573,,1327,6406184,,1067081,,411755,,706041,,252498,8118221,,329258,264535,,1304490,,10046,,40483,,1662318,,81963,,231099,,217129,,8118791,,1701902,,168569,,1804402,,504680,,93239,,1430470,,112260,593134,,138789,,317189,18670578,,64057,16936212,,28678,,46448,,66497,,35946,,1046208,508000,703974,,103101,308636,65889,,145366,,209780,,matched (3),,.90674543,,
201002,841199,601,3824,7840984,02,1,0,0,0,0,0,0,0,0,0,0,4251,2812999,.3014469146728516,75423,3.017214775085449,82244,1414204,-.0749120712280273,716195,.2216415405273438,5135931,.7784910202026367,1898807,.1796493530273438,27410,6732388,.0496664047241211,1053089,-.0131998062133789,1003292,.8906135559082031,866517,.2048091888427734,270746,25917,-5.746966361999512,321919,98935,-.9835109710693359,1606514,.2082548141479492,11166,.1056995391845703,59472,.3846235275268555,1818520,.0898094177246094,6764,-2.494653701782227,163787,-.3442792892456055,342025,.4543924331665039,7156157,-.1262083053588867,1800770,.0564680099487305,73006,-.8368034362792969,956218,-.6349983215332031,427429,-.1661357879638672,115755,.2163095474243164,2732101,.6470680236816406,148291,711310,.1816883087158203,268143,.6585664749145508,384105,20494004,.0931835174560547,106478,27815132,.4961261749267578,33287,.1490364074707031,112214,.8820743560791016,123254,.617091178894043,83570,.8436670303344727,2401229,881000,633545,-.1054105758666992,112556,236785,19989,-1.192790031433106,172231,.1695823669433594,175140,-.1804733276367188,matched (3),10089812,.90674543,1071158.6,1854288.4
201003,841199,602,3824,12641633,03,0,1,0,0,0,0,0,0,0,0,0,142733,3135623,.108576774597168,87158,.1446104049682617,463763,1604715,.1263799667358398,793713,.1027698516845703,4786700,-.0704202651977539,2199969,.147216796875,29183,7416449,.0967702865600586,1868045,.5731649398803711,905702,-.1023311614990234,933282,.0742254257202148,326016,8190203,5.755794525146484,464411,594200,1.792753219604492,2449946,.4219989776611328,12913,.1453609466552734,89059,.4037933349609375,1980197,.0851736068725586,72219,2.368088722229004,275631,.5204963684082031,677061,.6828775405883789,17166498,.8749866485595703,2850991,.4594526290893555,209326,1.053351402282715,2127188,.7995700836181641,942919,.7911920547485352,96779,-.1790456771850586,3126709,.1349105834960938,160976,892154,.2265300750732422,393935,.3846654891967773,609248,24128768,.1632709503173828,143483,20701978,-.2953510284423828,76028,.8259353637695313,145842,.262115478515625,200450,.4863166809082031,100884,.1882867813110352,783123,1321000,1386391,.7831287384033203,57504,237307,70194,1.256081581115723,172531,.0017404556274414,331443,.6378698348999023,matched (3),15802351,.90674543,1613268.1,2212157
201004,841199,603,3824,8568681,04,0,0,1,0,0,0,0,0,0,0,0,158313,875442,-1.275854110717773,67127,-.2611360549926758,216648,1561434,-.0273418426513672,643462,-.2098588943481445,3206195,-.4007558822631836,1278545,-.542719841003418,8353,6289244,-.1648597717285156,1400005,-.288416862487793,552102,-.4949779510498047,1544326,.5036354064941406,286992,47377,-5.152557373046875,647860,125277,-1.556689262390137,2539778,.0360107421875,35611,1.014419555664063,69331,-.2504072189331055,1881838,-.0509471893310547,103995,.3646402359008789,129049,-.7588710784912109,487370,-.3287382125854492,4059919,-1.44179630279541,1728322,-.5005159378051758,459723,.7867317199707031,1537622,-.3245639801025391,1045546,.1033143997192383,306353,1.152307510375977,2609909,-.1806659698486328,0,847256,-.0516357421875,686079,.5548067092895508,713357,22899024,-.0523090362548828,98480,31802328,.4293098449707031,33417,-.8220376968383789,124427,-.1588039398193359,186702,-.0710506439208984,56822,-.5740480422973633,1165248,1156000,949980,-.3780183792114258,93870,140695,5342,-2.575663566589356,427920,.9083595275878906,487147,.3851099014282227,matched (3),11909757,.90674543,1143045.3,1896722.8
201005,841199,604,3824,7530878,05,0,0,0,1,0,0,0,0,0,0,0,3713,642722,-.3090171813964844,19664,-1.22779655456543,361893,1714226,.0933570861816406,560813,-.1374759674072266,2135483,-.4063920974731445,1104187,-.1466140747070313,678,5618656,-.1127481460571289,1256382,-.1082391738891602,738470,.2908477783203125,880347,-.5620269775390625,282724,23533,-.699732780456543,454139,21674,-1.754413604736328,2145430,-.168736457824707,12433,-1.052300453186035,101475,.38092041015625,1203372,-.4471216201782227,99321,-.0459861755371094,633139,1.590497970581055,610810,.2257623672485352,3930302,-.0324468612670898,1355947,-.2426509857177734,19378,-3.166485786437988,1192709,-.2540102005004883,594609,-.5643911361694336,144677,-.7502336502075195,2275299,-.1372041702270508,125437,779451,-.0834131240844727,664893,-.031367301940918,843148,22720264,-.0078372955322266,90109,14516466,-.7842559814453125,32578,-.0254268646240234,96272,-.2565422058105469,211214,.1233577728271484,48929,-.1495532989501953,1152478,1150000,1348130,.3500328063964844,196252,165383,28588,1.677387237548828,198856,-.7663555145263672,583580,.1806154251098633,matched (3),15530175,.90674543,1609804.5,2209632.3
201006,841199,605,3824,7243565,06,0,0,0,0,1,0,0,0,0,0,0,570,656254,.0208358764648438,6255,-1.145408630371094,315034,1378792,-.2177534103393555,553018,-.0139970779418945,2635316,.2103099822998047,1309802,.1707668304443359,15430,6533838,.1509017944335938,1832127,.3772411346435547,706022,-.0449342727661133,887505,.0080986022949219,312221,7986246,5.827072143554688,489590,26535,.2023515701293945,870287,-.9022722244262695,7886,-.4552650451660156,32984,-1.123789787292481,1389827,.1440515518188477,54269,-.6044034957885742,501907,-.2322750091552734,551627,-.1019134521484375,8536034,.7755804061889648,1945376,.3609552383422852,5078,-1.339221000671387,1187604,-.0042886734008789,582291,-.0209331512451172,189613,.2704811096191406,1750992,-.2619285583496094,278908,711326,-.0914592742919922,644445,-.0312366485595703,504959,23390440,.0290699005126953,93335,25818480,.5758075714111328,26214,-.2173442840576172,155626,.4802780151367188,118909,-.5745134353637695,19275,-.9315614700317383,867596,1326000,832369,-.4821977615356445,111880,153011,555,-3.941773891448975,47461,-1.432672500610352,349373,-.5130414962768555,matched (3),14647453,.90674543,1201668,1932617.5
201007,841199,606,3824,9491850,07,0,0,0,0,0,1,0,0,0,0,0,107307,703555,.0695981979370117,55078,2.175369262695313,366670,1324729,-.0399999618530273,1528924,1.016929626464844,3665611,.3299922943115234,2061060,.4533443450927734,1112,7445244,.1305809020996094,1720252,-.0630064010620117,729725,.0330219268798828,907853,.0226678848266602,340347,53113,-5.013054847717285,529503,229888,2.159127235412598,1475412,.5278692245483398,9175,.1513938903808594,93626,1.043285369873047,1308743,-.0601119995117188,67818,.222874641418457,235119,-.7583227157592773,723783,.2716188430786133,10177249,.1758584976196289,1309447,-.3958501815795898,520086,4.629076957702637,1755111,.3905935287475586,296735,-.6741313934326172,261033,.3196620941162109,2168566,.2138833999633789,213600,885695,.2192420959472656,1479369,.8309822082519531,270489,26996364,.1433753967285156,108372,39499960,.4252090454101563,63597,.8862733840942383,51032,-1.115002632141113,70587,-.5215120315551758,33939,.5657558441162109,1640801,1595000,1498665,.5880537033081055,172927,188281,62761,4.728121280670166,184070,1.35540771484375,324637,-.0734319686889648,matched (3),7974187.5,.90674543,1785296.1,2340574
201008,841199,607,3824,8418824,08,0,0,0,0,0,0,1,0,0,0,0,200802,699599,-.0056390762329102,11286,-1.585187911987305,509723,1311193,-.0102710723876953,513007,-1.09203052520752,1893183,-.660736083984375,1476029,-.3338651657104492,48482,5940685,-.2257509231567383,1044783,-.498661994934082,534367,-.3115854263305664,825488,-.0951080322265625,250516,42739,-.2173089981079102,511009,90347,-.933934211730957,1045870,-.3440885543823242,24518,.9829244613647461,57905,-.480504035949707,1150808,-.1286029815673828,45433,-.4005889892578125,490784,.7359123229980469,348510,-.7308244705200195,6018312,-.5253486633300781,941061,-.3303518295288086,507645,-.0242118835449219,1261023,-.3306083679199219,354272,.1772260665893555,175364,-.3977832794189453,2097138,-.0334930419921875,297708,835818,-.0579614639282227,1034561,-.3576393127441406,211561,15543421,-.5520648956298828,111413,18070868,-.7819976806640625,59933,-.0593395233154297,72637,.3530216217041016,142351,.7014493942260742,16771,-.7049131393432617,716951,1180000,860861,-.5543966293334961,179841,272168,1970,-3.461300849914551,221963,.1871938705444336,202127,-.473811149597168,matched (3),15216541,.90674543,1864933.5,2401870.5
201009,841199,608,3824,13970927,09,0,0,0,0,0,0,0,1,0,0,0,8610,2533841,1.286984443664551,82013,1.983315467834473,776683,1528206,.1531572341918945,621933,.1925430297851563,2826737,.4008636474609375,1608639,.086033821105957,30628,6882923,.1472187042236328,1046317,.0014677047729492,764258,.3578224182128906,991622,.1833677291870117,332913,129594,1.109293937683106,714900,305785,1.219223976135254,1308900,.2243385314941406,26993,.0961704254150391,149995,.9517974853515625,1594077,.3258304595947266,94990,.7375326156616211,100431,-1.586533546447754,554347,.4641237258911133,5628732,-.0669221878051758,2065073,.7859125137329102,304914,-.5097532272338867,1483154,.1622476577758789,735808,.7309036254882813,185315,.0551929473876953,2349475,.1136188507080078,195795,935202,.1123514175415039,750452,-.3210563659667969,610563,25872904,.5095577239990234,119986,29399552,.4866771697998047,60287,.005889892578125,35928,-.7039575576782227,416186,1.072836875915527,85748,1.63176155090332,1577580,764000,933082,.0805597305297852,168738,150715,74810,3.636918067932129,423766,.6466712951660156,397867,.6772212982177734,matched (3),11446655,.90674543,2221002.8,2687723.5
201010,841199,609,3824,8839569,10,0,0,0,0,0,0,0,0,1,0,0,230,2549168,.0060310363769531,34921,-.8537893295288086,279674,1434587,-.0632171630859375,415451,-.403468132019043,2804905,-.0077533721923828,2252876,.3368186950683594,8352,7337991,.0640220642089844,922816,-.1256027221679688,715890,-.0653781890869141,878805,-.1207790374755859,355527,10064156,4.352329254150391,806707,366076,.1799592971801758,1045773,-.224431037902832,51141,.6390085220336914,66970,-.8063564300537109,1462576,-.086094856262207,35355,-.9883317947387695,57784,-.5527591705322266,312641,-.5727348327636719,6330014,.1174182891845703,1850873,-.1095085144042969,272548,-.1122150421142578,1583438,.0654277801513672,601045,-.2022991180419922,113664,-.4888105392456055,2680258,.1317214965820313,131480,804666,-.1503353118896484,608179,-.2102060317993164,448720,26728724,.0325431823730469,143459,35625128,.1920719146728516,49322,-.2007465362548828,47720,.2838335037231445,167917,-.9076623916625977,27183,-1.148820877075195,811787,1006000,898746,-.0374927520751953,117625,170616,69447,-.0743875503540039,286806,-.3903751373291016,182601,-.7788143157958984,matched (3),8059020,.90674543,969021.38,1797222
