period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1494c620,growth1494c620,Y1500c608,Y1575c440,growth1575c440,Y1610c620,growth1610c620,Y1674c752,growth1674c752,Y1713c372,growth1713c372,Y1764c752,growth1764c752,Y1789c484,growth1789c484,Y2051c688,growth2051c688,Y2093c191,growth2093c191,Y2549c484,growth2549c484,Y2620c484,growth2620c484,Y2622c826,growth2622c826,Y2645c428,growth2645c428,Y2902c352,growth2902c352,Y3046c372,growth3046c372,Y3108c440,growth3108c440,Y3238c484,growth3238c484,Y3308c222,growth3308c222,Y3319c246,growth3319c246,Y3340c484,growth3340c484,Y3462c246,growth3462c246,Y3482c152,growth3482c152,Y3606c246,growth3606c246,Y3837c705,growth3837c705,Y3844c203,Y403c484,growth403c484,Y4118c348,growth4118c348,Y4165c642,Y4169c703,growth4169c703,Y4197c428,growth4197c428,Y4257c484,growth4257c484,Y4277c36,Y4315c152,growth4315c152,Y4386c222,growth4386c222,Y4390c703,growth4390c703,Y4495c191,growth4495c191,Y4610c440,growth4610c440,Y4823c32,Y4884c348,growth4884c348,Y4987c218,Y5034c68,growth5034c68,Y539c826,growth539c826,Y580c620,growth580c620,Y658c428,growth658c428,Y666c203,Y666c208,growth666c208,Y677c251,growth677c251,Y847c484,growth847c484,Y857c620,growth857c620,_merge,x,r2,s,sf
201001,293499,600,1315,11153378,01,0,0,0,0,0,0,0,0,0,0,0,1161846,,947250,30777,,135463,,1631923,,101507,,4786005,,585301,,836668,,1346775,,6605731,,805031,,257390,,16764,,4612,,563773,,504764,,1256282,,35480,,476754,,5252736,,3195536,,124981,,3941975,,240088,,1914122,124035,,20477,,227837,1060503,,2043015,,5452704,,2315464,5678948,,5953,,191815,,23132,,117035,,19190,3068,,157507,65,,24301096,,574043,,381228,,4920998,2902249,,4453119,,159283792,,106329,,matched (3),,.89497519,,
201002,293499,601,1315,11579610,02,1,0,0,0,0,0,0,0,0,0,0,881317,-.2763481140136719,943215,145329,1.552231788635254,9959,-2.610221862792969,1496898,-.0863637924194336,218256,.7655410766601563,3920798,-.1994009017944336,867270,.393223762512207,716522,-.1550178527832031,1588985,.1653833389282227,6977957,.0548181533813477,873687,.0818414688110352,235206,-.0901298522949219,8045,-.7341823577880859,8888,.656041145324707,809232,.3614339828491211,534403,.0570592880249023,1412769,.1173954010009766,6853,-1.644283294677734,592517,.2173795700073242,7945520,.4138593673706055,3771653,.1657581329345703,334709,.9850997924804688,3379516,-.1539487838745117,309185,.252934455871582,2180320,141307,.13037109375,24741,.1891593933105469,455567,1086068,.0238199234008789,1719766,-.1722383499145508,6887670,.2336206436157227,2432142,8250316,.3734855651855469,6125,.0284833908081055,291161,.4173450469970703,63386,1.008026123046875,138151,.1658744812011719,36095,19705,1.859847068786621,97815,125,.6539263725280762,23485796,-.0341262817382813,625656,.0860958099365234,451460,.1690883636474609,4942140,2144234,-.302703857421875,3293346,-.3017005920410156,42675972,-1.317050933837891,143718,.3013153076171875,matched (3),8603400,.89497519,2104778.8,2893046
201003,293499,602,1315,12090531,03,0,1,0,0,0,0,0,0,0,0,0,2288670,.9543085098266602,1021059,114412,-.2391939163208008,299648,3.404131889343262,1580724,.0544881820678711,227690,.0423164367675781,5187670,.2799892425537109,1084675,.2236852645874023,1068598,.399693489074707,2237489,.3422584533691406,8034157,.1409463882446289,1109809,.2392215728759766,171620,-.3151798248291016,40644,1.619799613952637,5313,-.5145454406738281,984783,.1963357925415039,627898,.1612272262573242,2189503,.4381227493286133,13188,.6546211242675781,282971,-.7390356063842773,8122322,.022007942199707,3427225,-.0957622528076172,416393,.2183675765991211,5781558,.5369405746459961,318179,.0286741256713867,2423425,117413,-.185236930847168,17439,-.3497524261474609,466636,3046713,1.031499862670898,1320385,-.2642641067504883,9398489,.3108158111572266,3181212,6777629,-.196624755859375,2866,-.7594614028930664,1663911,1.743049621582031,83604,.2768487930297852,238004,.543940544128418,19670,39432,.6937046051025391,137077,215,.5423240661621094,27507406,.1580600738525391,756189,.1894912719726563,576376,.2442741394042969,6911266,2990318,.3325977325439453,4172466,.236602783203125,81421800,.6460056304931641,707318,1.593626976013184,matched (3),8667929,.89497519,1586067.8,2540715
201004,293499,603,1315,12971383,04,0,0,1,0,0,0,0,0,0,0,0,2374858,.0369672775268555,1588015,445,-5.549486637115479,562979,.6306333541870117,1449426,-.0867156982421875,78172,-1.069073677062988,6375777,.2062215805053711,978720,-.1027898788452148,938725,-.1295804977416992,2100485,-.0631856918334961,7271253,-.0997734069824219,1012230,-.0920324325561523,306245,.5791034698486328,24965,-.4873762130737305,10579,.6887140274047852,785567,-.2260160446166992,907174,.3679561614990234,1753578,-.2220163345336914,26561,.7001371383666992,576907,.712336540222168,6022103,-.2991800308227539,3984567,.1506776809692383,273555,-.4201269149780273,4814169,-.1831092834472656,216169,-.3865537643432617,2077362,198969,.5274505615234375,59074,1.22008228302002,0,1499209,-.7091255187988281,1495955,.1248407363891602,8002959,-.1607370376586914,0,5635266,-.1845827102661133,4540,.4600095748901367,247158,-1.906898498535156,78671,-.060816764831543,282285,.1706295013427734,57833,68929,.5584993362426758,181243,2877,2.593865394592285,32592148,.1696147918701172,663656,-.1305274963378906,442917,-.2633781433105469,6942936,3296591,.097508430480957,7177812,.5424871444702148,52388456,-.4409561157226563,1559696,.7907657623291016,matched (3),13844282,.89497519,1550500.6,2518665
201005,293499,604,1315,11515904,05,0,0,0,1,0,0,0,0,0,0,0,1791299,-.2819967269897461,1764962,218440,6.196192264556885,113736,-1.599362373352051,1449775,.0002412796020508,34156,-.827972412109375,5566387,-.1357593536376953,924697,-.0567789077758789,1719315,.605158805847168,1835739,-.1347217559814453,7105242,-.0230960845947266,943767,-.0700321197509766,317235,.0352573394775391,22304,-.1127080917358398,5305,-.690220832824707,888479,.1231060028076172,670795,-.3018703460693359,1576293,-.1065826416015625,27694,.0417718887329102,452946,-.241908073425293,6459842,.0701684951782227,3765028,-.0566730499267578,146737,-.6228599548339844,4615459,-.0421524047851563,277224,.2487659454345703,1712983,145197,-.3150568008422852,89243,.412571907043457,493862,1091347,-.3175249099731445,954740,-.4490804672241211,8028407,.0031747817993164,0,7033253,.2216053009033203,1552,-1.073382377624512,418221,.5259828567504883,65376,-.18511962890625,236273,-.1779289245605469,23167,38078,-.593440055847168,93266,1736,-.5051646232604981,23144060,-.3423328399658203,410350,-.4807538986206055,371267,-.1764612197875977,5439480,2666221,-.2122259140014648,2668858,-.9893436431884766,44531520,-.1624889373779297,209366,-2.008161544799805,matched (3),10095147,.89497519,1167202.5,2302603.8
201006,293499,605,1315,13974768,06,0,0,0,0,1,0,0,0,0,0,0,3144554,.5627307891845703,1334692,94837,-.8343515396118164,47224,-.8789777755737305,1562436,.0748376846313477,58448,.5371990203857422,6209093,.1092681884765625,784321,-.1646480560302734,2366649,.319549560546875,1837337,.0008707046508789,7153339,.0067462921142578,1004465,.0623311996459961,350307,.0991668701171875,27459,.2079277038574219,3246,-.4912271499633789,732957,-.1924238204956055,702187,.0457363128662109,2049577,.2625579833984375,32182,.1501913070678711,583402,.2531032562255859,6796477,.0507993698120117,4199633,.1092414855957031,319614,.7784719467163086,5482990,.1722393035888672,311256,.1157894134521484,1873106,107758,-.2982034683227539,16345,-1.697441101074219,574954,1520895,.3318862915039063,1184115,.2153120040893555,8742649,.0852270126342773,0,9574928,.3084993362426758,4816,1.132399559020996,693986,.5064411163330078,49912,-.2698936462402344,457457,.6606941223144531,29269,50855,.289341926574707,147134,3034,.5582985877990723,33331144,.3647537231445313,531963,.2595634460449219,392782,.0563335418701172,5602705,5026713,.6341037750244141,4231872,.460993766784668,22148514,-.6984272003173828,513752,.8976564407348633,matched (3),17073316,.89497519,1723271.6,2628552.3
201007,293499,606,1315,15802457,07,0,0,0,0,0,1,0,0,0,0,0,3252021,.033604621887207,1302139,73364,-.2567262649536133,335384,1.960373878479004,1128238,-.3255891799926758,35296,-.5043678283691406,4790675,-.259343147277832,1083778,.323390007019043,1087312,-.777766227722168,1916002,.0419235229492188,7412867,.0356378555297852,965788,-.0392656326293945,285043,-.2061700820922852,70878,.9482660293579102,6138,.6370754241943359,762939,.0400905609130859,966802,.319793701171875,1855814,-.0993099212646484,72703,.8149747848510742,339363,-.5418062210083008,8750788,.2527399063110352,4302126,.0241127014160156,228212,-.3368396759033203,4293756,-.2444887161254883,284932,-.0883646011352539,1890484,313823,1.068941116333008,20803,.2411746978759766,961726,3357945,.7920303344726563,1341922,.1251068115234375,10192029,.1533937454223633,2893820,9253582,-.0341377258300781,9217,.6491060256958008,949344,.3133201599121094,107085,.7633609771728516,325774,-.3394784927368164,51966,51138,.005549430847168,189856,575,-1.663267135620117,37735596,.1241111755371094,527375,-.008662223815918,339665,-.1452951431274414,6844349,3384907,-.3954401016235352,2232824,-.6393775939941406,18159336,-.1985855102539063,1092709,.754673957824707,matched (3),10150302,.89497519,1703801.3,2615828.8
201008,293499,607,1315,11638609,08,0,0,0,0,0,0,1,0,0,0,0,2822523,-.1416454315185547,1918981,84203,.1377973556518555,115572,-1.06538200378418,1343097,.174321174621582,38516,.0873041152954102,4436751,-.0767488479614258,1468848,.3040256500244141,1291818,.1723413467407227,1053227,-.5983819961547852,8502956,.1371965408325195,982537,.0171937942504883,148358,-.6530113220214844,40915,-.5494632720947266,6763,.0969676971435547,627303,-.1957483291625977,946702,-.0210094451904297,2335493,.2298994064331055,53630,-.3042736053466797,238038,-.354640007019043,8172510,-.0683679580688477,4180422,-.0286970138549805,182103,-.2257022857666016,5307601,.2119779586791992,187625,-.4178056716918945,2286702,183940,-.5342197418212891,5556,-1.320218086242676,725870,3152796,-.0630397796630859,2240566,.5126256942749023,8046992,-.2363080978393555,3239017,7392103,-.2245988845825195,1381,-1.898241996765137,658001,-.3665647506713867,73099,-.3818082809448242,375630,.1424007415771484,242125,77756,.4190473556518555,182326,3473,1.798403739929199,33986416,-.1046428680419922,596849,.1237525939941406,417867,.2072038650512695,5861962,3147382,-.0727548599243164,2072615,-.0744552612304688,59813744,1.192050933837891,275994,-1.376035690307617,matched (3),4559438.5,.89497519,2381669.5,3100318
201009,293499,608,1315,8982545,09,0,0,0,0,0,0,0,1,0,0,0,2586577,-.0872955322265625,2798254,120363,.3572807312011719,340800,1.081401824951172,1557868,.1483402252197266,37900,-.0161228179931641,5619747,.2363643646240234,1091293,-.2971153259277344,1056784,-.2008199691772461,1700912,.4793052673339844,7844230,-.0806350708007813,914684,-.0715599060058594,193939,.2679147720336914,28713,-.3541469573974609,4786,-.3457708358764648,561542,-.110743522644043,983321,.0379514694213867,2397807,.026331901550293,43368,-.2123870849609375,219475,-.0811910629272461,9236634,.1224021911621094,5505073,.2752571105957031,426229,.8504047393798828,4752236,-.1105251312255859,322796,.5425748825073242,2523399,123298,-.4000053405761719,35075,1.842610359191895,1114225,2418431,-.2651710510253906,2143302,-.0443811416625977,7633878,-.0527029037475586,3320446,10239621,.3258523941040039,9112,1.886784553527832,532536,-.2115564346313477,81228,.1054458618164063,311360,-.1876544952392578,133737,39613,-.6744184494018555,164894,891,-1.360429286956787,45616776,.2943153381347656,560728,-.0624284744262695,411871,-.0144529342651367,5763284,2942988,-.0671463012695313,1339282,-.4366779327392578,57312904,-.0427093505859375,789292,1.05075740814209,matched (3),11641222,.89497519,1693344.4,2609030
201010,293499,609,1315,8214265,10,0,0,0,0,0,0,0,0,1,0,0,3311081,.2469387054443359,1928788,8719,-2.625006675720215,135136,-.925013542175293,1531686,-.0169496536254883,63388,.5143232345581055,5897512,.048243522644043,1058351,-.0306510925292969,2300867,.7780561447143555,1828527,.0723466873168945,7963550,.0150966644287109,1013597,.1026821136474609,385294,.6864633560180664,14886,-.6569290161132813,9218,.6554622650146484,369789,-.4177532196044922,1110453,.1215877532958984,2313298,-.0358810424804688,11001,-1.371735572814941,294964,.2956142425537109,8031378,-.1398220062255859,4561829,-.1879463195800781,365995,-.1523571014404297,4228829,-.1166896820068359,261869,-.2091760635375977,3021778,244435,.6843452453613281,29211,-.1829433441162109,980864,2264071,-.0659542083740234,2218242,.034367561340332,7591190,-.0056076049804688,3200618,8135169,-.2300682067871094,3933,-.8401899337768555,207274,-.9436092376708984,59993,-.3030319213867188,295280,-.0530261993408203,82633,81992,.7274646759033203,197518,4644,1.650987148284912,26592036,-.5396633148193359,485321,-.1444253921508789,493787,.1813936233520508,5730456,2443940,-.1858139038085938,4017247,1.09846305847168,74198744,.2582206726074219,313073,-.9246997833251953,matched (3),10191523,.89497519,1139057.5,2288465.5
